VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,RELRIGHT,X6VOTE,UNION4,UNFAIR,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,GUNOWNER,GUN,WEIGHT
STATE ONLY,36.0,12.0,12.0,SECOND CALL,75+,BLACK,FEMALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,SOCIALSECUR,CARES,NO,CLINTON,MEANDSOMEONE,BOTHDID,SAME,APP/FAV,NO,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,,NO,NO,MODERATE,65+,SOCIALSECURI,STATE,COMPLETE,CINCI/DAYTON,60+,60+,DEMOCRAT,65+,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,NO,SUPPORT,1.1300000000000001
STATE ONLY,36.0,12.0,13.0,SECOND CALL,50-59,WHITE,MALE,GORE,CELESTE,APPROVE,UNFAVORABLE,GORE,OMITS,SUBURBS,ECON/JOBS,OMITS,NO,CLINTON,ME,OMITS,BETTER,APP/UNFAV,YES,DEMOCRAT,SUBURBS,HSGRAD,PROTESTANT,NEVER,,YES,NO,CONSERV,18-64,OMITS,STATE,COMPLETE,CINCI/DAYTON,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,BOTH,BOTH,PERSONALQUAL,,,YES,SUPPORT,1.173
STATE ONLY,36.0,12.0,14.0,SECOND CALL,30-39,WHITE,MALE,BUSH,CELESTE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,SOCIALSECUR,STRONGLEADER,NO,NOVOTE,NONE,NEITHERDID,BETTER,DIS/UNFAV,YES,REPUBLCN,SUBURBS,SOMCOL/ASSOC,NONE,NEVER,30-50K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,CINCI/DAYTON,30-44,30-39,REPUBLICAN,30-39,NONE,ONLYBUSH,BOTH,ISSUES,,,NO,OPPOSE,1.395
STATE ONLY,36.0,12.0,15.0,SECOND CALL,75+,BLACK,MALE,GORE,,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,MEDICARE/RX,CARES,OMITS,CLINTON,NONE,OMITS,SAME,APP/FAV,NO,DEMOCRAT,SUBURBS,HSGRAD,OTHERCHRIST,ONCEAWEEK,,NO,NO,,65+,OMITS,STATE,COMPLETE,CINCI/DAYTON,60+,60+,DEMOCRAT,65+,PROT/CHRIST,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,NO,SUPPORT,1.357
STATE ONLY,36.0,12.0,16.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,CELESTE,APPROVE,UNFAVORABLE,GORE,LESS,SUBURBS,EDUCATION,GOODJUDGMENT,NO,CLINTON,NONE,BOTHDID,BETTER,APP/UNFAV,NO,DEMOCRAT,SUBURBS,HSGRAD,PROTESTANT,AFEWAMONTH,15-30K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,CINCI/DAYTON,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,BOTH,NEITHER,ISSUES,,,NO,SUPPORT,1.091
STATE ONLY,36.0,12.0,17.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,SOCIALSECUR,EXPERIENCE,NO,CLINTON,NONE,BOTHDID,BETTER,APP/FAV,NO,DEMOCRAT,SUBURBS,HSGRAD,PROTESTANT,AFEWAYEAR,15-30K,YES,NO,MODERATE,65+,SOCIALSECURI,STATE,COMPLETE,CINCI/DAYTON,60+,60+,DEMOCRAT,65+,PROT/CHRIST,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,NO,SUPPORT,1.565
STATE ONLY,36.0,12.0,18.0,SECOND CALL,50-59,BLACK,FEMALE,GORE,DEWINE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,EXPERIENCE,NO,NOVOTE,NONE,BUSHDID,SAME,APP/FAV,YES,INDEPEND,SUBURBS,NOHS,NONE,ONCEAWEEK,LESS15K,NO,YES,LIBERAL,18-64,REDUCNATDEBT,STATE,COMPLETE,CINCI/DAYTON,45-59,50-59,IND/OTHER,50-64,NONE,BOTH,ONLYGORE,ISSUES,,,NO,SUPPORT,0.905
STATE ONLY,36.0,12.0,19.0,SECOND CALL,40-44,,MALE,BUSH,OTHER,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,SOCIALSECUR,GOODJUDGMENT,NO,DOLE,NONE,GOREDID,WORSE,DIS/UNFAV,NO,REPUBLCN,SUBURBS,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,15-30K,NO,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,CINCI/DAYTON,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,NO,OPPOSE,3.72
STATE ONLY,36.0,12.0,20.0,SECOND CALL,50-59,BLACK,MALE,GORE,CELESTE,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,EDUCATION,HONEST,NO,CLINTON,NONE,NEITHERDID,BETTER,APP/UNFAV,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,50-75K,YES,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,CINCI/DAYTON,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,BOTH,NEITHER,PERSONALQUAL,,,YES,SUPPORT,0.848
STATE ONLY,36.0,12.0,21.0,THIRD CALL,50-59,BLACK,MALE,GORE,DEWINE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,CARES,NO,CLINTON,NONE,BUSHDID,BETTER,APP/FAV,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,15-30K,NO,YES,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,CINCI/DAYTON,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,BOTH,BOTH,ISSUES,,,YES,SUPPORT,0.974
STATE ONLY,36.0,12.0,22.0,THIRD CALL,45-49,BLACK,FEMALE,GORE,DEWINE,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,MEDICARE/RX,CARES,NO,NOVOTE,NONE,BUSHDID,SAME,APP/UNFAV,YES,INDEPEND,SUBURBS,HSGRAD,OTHERCHRIST,ONCEAWEEK,30-50K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,CINCI/DAYTON,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,NO,SUPPORT,0.905
STATE ONLY,36.0,12.0,23.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,OMITS,OMITS,YES,CLINTON,ME,BUSHDID,BETTER,APP/FAV,YES,DEMOCRAT,SUBURBS,NOHS,PROTESTANT,AFEWAMONTH,15-30K,NO,NO,CONSERV,65+,CUTFEDINCTAX,STATE,COMPLETE,CINCI/DAYTON,60+,60+,DEMOCRAT,65+,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,NO,SUPPORT,1.565
STATE ONLY,36.0,12.0,24.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,ECON/JOBS,COMPLEXISSUE,NO,NOVOTE,NONE,BUSHDID,BETTER,APP/FAV,YES,DEMOCRAT,SUBURBS,HSGRAD,ELSE,MORETHAN1AWK,,NO,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,CINCI/DAYTON,18-29,18-24,DEMOCRAT,18-24,OTHER,BOTH,ONLYBUSH,ISSUES,,,NO,SUPPORT,0.995
STATE ONLY,36.0,12.0,25.0,THIRD CALL,18-24,WHITE,MALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,MEDICARE/RX,GOODJUDGMENT,NO,NOVOTE,SOMEONEELSE,BOTHDID,BETTER,APP/FAV,NO,DEMOCRAT,SUBURBS,NOHS,NONE,NEVER,50-75K,NO,YES,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,CINCI/DAYTON,18-29,18-24,DEMOCRAT,18-24,NONE,ONLYGORE,ONLYBUSH,ISSUES,,,NO,SUPPORT,1.073
STATE ONLY,36.0,12.0,26.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,DEWINE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,EXPERIENCE,NO,PEROT,ME,BOTHDID,SAME,APP/FAV,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,30-50K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,CINCI/DAYTON,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,ONLYGORE,BOTH,PERSONALQUAL,,,NO,OPPOSE,1.2550000000000001
STATE ONLY,36.0,12.0,27.0,THIRD CALL,25-29,WHITE,MALE,BUSH,DEWINE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,EDUCATION,OMITS,YES,NOVOTE,NONE,NEITHERDID,SAME,DIS/UNFAV,NO,REPUBLCN,SUBURBS,HSGRAD,PROTESTANT,ONCEAWEEK,15-30K,YES,YES,CONSERV,18-64,OTHRPROGRAMS,STATE,COMPLETE,CINCI/DAYTON,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,BOTH,ONLYGORE,PERSONALQUAL,,,YES,OPPOSE,1.464
STATE ONLY,36.0,12.0,28.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,WORLDAFFAIRS,COMPLEXISSUE,NO,CLINTON,ME,NEITHERDID,BETTER,APP/FAV,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,NONE,NEVER,OVER100K,YES,NO,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,CINCI/DAYTON,45-59,50-59,DEMOCRAT,50-64,NONE,ONLYGORE,ONLYBUSH,ISSUES,,,NO,SUPPORT,1.091
STATE ONLY,36.0,12.0,29.0,THIRD CALL,25-29,BLACK,FEMALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,CARES,YES,CLINTON,ME,NEITHERDID,BETTER,APP/FAV,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,30-50K,NO,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,CINCI/DAYTON,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,NO,SUPPORT,0.718
STATE ONLY,36.0,12.0,30.0,THIRD CALL,30-39,BLACK,MALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,MEDICARE/RX,COMPLEXISSUE,NO,CLINTON,NONE,BOTHDID,SAME,APP/FAV,YES,DEMOCRAT,SUBURBS,HSGRAD,ELSE,ONCEAWEEK,LESS15K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,CINCI/DAYTON,30-44,30-39,DEMOCRAT,30-39,OTHER,BOTH,ONLYBUSH,ISSUES,,,NO,SUPPORT,0.848
STATE ONLY,36.0,12.0,31.0,THIRD CALL,45-49,BLACK,FEMALE,GORE,CELESTE,APPROVE,UNFAVORABLE,GORE,LESS,SUBURBS,MEDICARE/RX,CARES,YES,CLINTON,ME,BUSHDID,SAME,APP/UNFAV,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,30-50K,YES,YES,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,CINCI/DAYTON,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,NO,SUPPORT,0.787
STATE ONLY,36.0,12.0,32.0,THIRD CALL,25-29,BLACK,FEMALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,CARES,OMITS,NOVOTE,NONE,BUSHDID,BETTER,APP/FAV,YES,REPUBLCN,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAMONTH,LESS15K,NO,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,CINCI/DAYTON,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,NO,SUPPORT,0.718
STATE ONLY,36.0,12.0,33.0,THIRD CALL,45-49,BLACK,MALE,GORE,DEWINE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,EXPERIENCE,NO,CLINTON,SOMEONEELSE,BUSHDID,SAME,APP/FAV,NO,DEMOCRAT,SUBURBS,COLGRAD,OTHERCHRIST,ONCEAWEEK,15-30K,YES,YES,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,CINCI/DAYTON,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,YES,SUPPORT,0.974
STATE ONLY,36.0,12.0,34.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,OMITS,SUBURBS,ECON/JOBS,CARES,NO,CLINTON,,OMITS,SAME,APP/FAV,YES,DEMOCRAT,SUBURBS,HSGRAD,ELSE,NEVER,15-30K,NO,YES,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,CINCI/DAYTON,30-44,30-39,DEMOCRAT,30-39,OTHER,BOTH,OMITS,ISSUES,,,NO,SUPPORT,1.091
STATE ONLY,36.0,12.0,35.0,THIRD CALL,18-24,BLACK,FEMALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,CARES,YES,CLINTON,SOMEONEELSE,BUSHDID,BETTER,APP/FAV,YES,DEMOCRAT,SUBURBS,HSGRAD,NONE,AFEWAYEAR,15-30K,NO,YES,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,CINCI/DAYTON,18-29,18-24,DEMOCRAT,18-24,NONE,ONLYGORE,ONLYBUSH,OMITS,,,NO,OMITS,0.718
STATE ONLY,36.0,18.0,1.0,FIRST CALL,60-64,BLACK,MALE,BUSH,DEWINE,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,SOCIALSECUR,STRONGLEADER,OMITS,DOLE,NONE,BOTHDID,SAME,DIS/UNFAV,NO,REPUBLCN,OVER500K,HSGRAD,NONE,NEVER,,NO,NO,,18-64,CUTFEDINCTAX,STATE,COMPLETE,CUYAHOGA,60+,60+,REPUBLICAN,50-64,NONE,BOTH,ONLYGORE,ISSUES,,,,OPPOSE,0.269
STATE ONLY,36.0,18.0,2.0,FIRST CALL,,BLACK,MALE,BUSH,,OMITS,OMITS,OMITS,LESS,CITYOVER50K,TAXES,OMITS,OMITS,OMITS,,OMITS,OMITS,,,,OVER500K,,,OMITS,,,,,,OMITS,STATE,NOTCOMPLETE,CUYAHOGA,,,,,,OMITS,OMITS,OMITS,,,,OMITS,0.213
STATE ONLY,36.0,18.0,3.0,FIRST CALL,50-59,BLACK,MALE,NADER,CELESTE,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,MORE,CITYOVER50K,ECON/JOBS,HONEST,YES,PEROT,NONE,BOTHDID,SAME,DIS/UNFAV,YES,INDEPEND,OVER500K,HSGRAD,NONE,AFEWAYEAR,15-30K,NO,NO,CONSERV,18-64,OTHRPROGRAMS,STATE,COMPLETE,CUYAHOGA,45-59,50-59,IND/OTHER,50-64,NONE,BOTH,BOTH,ISSUES,,,NO,SUPPORT,0.14100000000000001
STATE ONLY,36.0,18.0,4.0,FIRST CALL,30-39,BLACK,FEMALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,CARES,NO,CLINTON,ME,BUSHDID,BETTER,APP/FAV,YES,DEMOCRAT,OVER500K,COLGRAD,OTHERCHRIST,MORETHAN1AWK,50-75K,YES,YES,LIBERAL,18-64,OTHRPROGRAMS,STATE,COMPLETE,CUYAHOGA,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,YES,SUPPORT,0.20700000000000002
STATE ONLY,36.0,18.0,5.0,FIRST CALL,,BLACK,MALE,BUSH,DEWINE,OMITS,OMITS,OMITS,MORE,CITYOVER50K,SOCIALSECUR,STRONGLEADER,OMITS,OMITS,NONE,OMITS,OMITS,,,,OVER500K,,,OMITS,,,,,,OMITS,STATE,NOTCOMPLETE,CUYAHOGA,,,,,,OMITS,OMITS,OMITS,,,NO,OMITS,0.219
STATE ONLY,36.0,18.0,6.0,FIRST CALL,30-39,BLACK,FEMALE,GORE,CELESTE,OMITS,OMITS,OMITS,MORE,CITYOVER50K,EDUCATION,CARES,NO,CLINTON,NONE,BUSHDID,BETTER,OMITS,YES,,OVER500K,,,OMITS,,NO,YES,,18-64,OTHRPROGRAMS,STATE,COMPLETE,CUYAHOGA,30-44,30-39,,30-39,,ONLYGORE,BOTH,ISSUES,,,YES,OPPOSE,0.20700000000000002
STATE ONLY,36.0,18.0,7.0,FIRST CALL,65-74,BLACK,MALE,GORE,CELESTE,OMITS,OMITS,OMITS,MORE,CITYOVER50K,SOCIALSECUR,EXPERIENCE,OMITS,OMITS,ME,OMITS,OMITS,,,,OVER500K,,,OMITS,,,,,65+,OMITS,STATE,NOTCOMPLETE,CUYAHOGA,60+,60+,,65+,,OMITS,OMITS,OMITS,,,,OMITS,0.319
STATE ONLY,36.0,18.0,8.0,FIRST CALL,65-74,BLACK,FEMALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,SOCIALSECUR,CARES,NO,CLINTON,NONE,BUSHDID,SAME,APP/FAV,NO,DEMOCRAT,OVER500K,HSGRAD,OTHERCHRIST,AFEWAMONTH,15-30K,NO,NO,LIBERAL,65+,SOCIALSECURI,STATE,COMPLETE,CUYAHOGA,60+,60+,DEMOCRAT,65+,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,NO,SUPPORT,0.256
STATE ONLY,36.0,18.0,9.0,FIRST CALL,30-39,BLACK,FEMALE,GORE,DEWINE,OMITS,OMITS,GORE,MORE,CITYOVER50K,ECON/JOBS,CARES,NO,DOLE,NONE,BUSHDID,SAME,OMITS,YES,DEMOCRAT,OVER500K,SOMCOL/ASSOC,,OMITS,,YES,YES,LIBERAL,18-64,OMITS,STATE,COMPLETE,CUYAHOGA,30-44,30-39,DEMOCRAT,30-39,,ONLYGORE,BOTH,ISSUES,,,YES,SUPPORT,0.24
STATE ONLY,36.0,18.0,10.0,FIRST CALL,45-49,BLACK,MALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,OMITS,NO,CLINTON,ME,BUSHDID,BETTER,APP/FAV,YES,DEMOCRAT,OVER500K,HSGRAD,NONE,NEVER,30-50K,NO,YES,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,CUYAHOGA,45-59,40-49,DEMOCRAT,40-49,NONE,ONLYGORE,BOTH,PERSONALQUAL,,,YES,SUPPORT,0.26
STATE ONLY,36.0,18.0,11.0,SECOND CALL,65-74,BLACK,FEMALE,BUSH,DEWINE,DISAPPR,UNFAVORABLE,BUSH,MORE,CITYOVER50K,SOCIALSECUR,HONEST,NO,OMITS,NONE,GOREDID,BETTER,DIS/UNFAV,NO,REPUBLCN,OVER500K,HSGRAD,OTHERCHRIST,AFEWAMONTH,50-75K,YES,NO,CONSERV,65+,SOCIALSECURI,STATE,COMPLETE,CUYAHOGA,60+,60+,REPUBLICAN,65+,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,NO,OPPOSE,0.216
STATE ONLY,36.0,18.0,12.0,SECOND CALL,25-29,BLACK,MALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,EDUCATION,EXPERIENCE,NO,CLINTON,ME,BUSHDID,BETTER,APP/FAV,YES,REPUBLCN,OVER500K,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,30-50K,YES,YES,LIBERAL,18-64,OTHRPROGRAMS,STATE,COMPLETE,CUYAHOGA,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,YES,SUPPORT,0.35100000000000003
STATE ONLY,36.0,18.0,13.0,SECOND CALL,30-39,BLACK,FEMALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,EDUCATION,HONEST,NO,CLINTON,ME,BUSHDID,BETTER,APP/FAV,YES,DEMOCRAT,OVER500K,HSGRAD,OTHERCHRIST,ONCEAWEEK,15-30K,NO,YES,LIBERAL,18-64,OTHRPROGRAMS,STATE,COMPLETE,CUYAHOGA,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,YES,SUPPORT,0.20700000000000002
STATE ONLY,36.0,18.0,14.0,SECOND CALL,40-44,BLACK,FEMALE,NADER,DEWINE,OMITS,OMITS,OMITS,MORE,CITYOVER50K,ECON/JOBS,HONEST,NO,OMITS,SOMEONEELSE,BOTHDID,OMITS,,,,OVER500K,,,OMITS,,,,,18-64,OMITS,STATE,NOTCOMPLETE,CUYAHOGA,30-44,40-49,,40-49,,OMITS,OMITS,OMITS,,,,OPPOSE,0.13
STATE ONLY,36.0,18.0,15.0,SECOND CALL,50-59,BLACK,MALE,BUSH,DEWINE,DISAPPR,UNFAVORABLE,BUSH,MORE,CITYOVER50K,SOCIALSECUR,STRONGLEADER,NO,NOVOTE,NONE,GOREDID,BETTER,DIS/UNFAV,YES,REPUBLCN,OVER500K,HSGRAD,NONE,NEVER,,YES,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,CUYAHOGA,45-59,50-59,REPUBLICAN,50-64,NONE,ONLYBUSH,ONLYGORE,ISSUES,,,YES,OPPOSE,0.219
STATE ONLY,36.0,18.0,16.0,SECOND CALL,60-64,BLACK,MALE,BUSH,DEWINE,DISAPPR,UNFAVORABLE,BUSH,MORE,CITYOVER50K,MEDICARE/RX,CARES,YES,DOLE,NONE,GOREDID,SAME,DIS/UNFAV,NO,REPUBLCN,OVER500K,HSGRAD,OTHERCHRIST,ONCEAWEEK,50-75K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,CUYAHOGA,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,YES,OPPOSE,0.269
STATE ONLY,36.0,18.0,17.0,SECOND CALL,30-39,BLACK,MALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,EDUCATION,CARES,NO,CLINTON,ME,BOTHDID,BETTER,APP/FAV,YES,DEMOCRAT,OVER500K,HSGRAD,NONE,NEVER,15-30K,NO,YES,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,CUYAHOGA,30-44,30-39,DEMOCRAT,30-39,NONE,ONLYGORE,ONLYBUSH,ISSUES,,,YES,SUPPORT,0.26
STATE ONLY,36.0,18.0,18.0,SECOND CALL,25-29,BLACK,MALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,TAXES,CARES,NO,CLINTON,NONE,BUSHDID,BETTER,APP/FAV,YES,DEMOCRAT,OVER500K,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,30-50K,NO,NO,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,CUYAHOGA,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,YES,SUPPORT,0.35100000000000003
STATE ONLY,36.0,18.0,19.0,SECOND CALL,,BLACK,MALE,BUSH,DEWINE,OMITS,OMITS,OMITS,MORE,CITYOVER50K,SOCIALSECUR,STRONGLEADER,OMITS,OMITS,NONE,OMITS,OMITS,,,,OVER500K,,,OMITS,,,,,,OMITS,STATE,NOTCOMPLETE,CUYAHOGA,,,,,,OMITS,OMITS,OMITS,,,NO,OMITS,0.219
STATE ONLY,36.0,18.0,20.0,SECOND CALL,45-49,BLACK,MALE,BUSH,DEWINE,APPROVE,UNFAVORABLE,WOULDNOTVOTE,MORE,CITYOVER50K,SOCIALSECUR,STRONGLEADER,NO,DOLE,NONE,GOREDID,SAME,APP/UNFAV,YES,REPUBLCN,OVER500K,HSGRAD,NONE,AFEWAYEAR,30-50K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,CUYAHOGA,45-59,40-49,REPUBLICAN,40-49,NONE,ONLYBUSH,ONLYGORE,ISSUES,,,YES,OPPOSE,0.219
STATE ONLY,36.0,18.0,21.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,HEALTHCARE,STRONGLEADER,NO,CLINTON,NONE,BOTHDID,BETTER,APP/FAV,NO,DEMOCRAT,OVER500K,HSGRAD,NONE,AFEWAYEAR,15-30K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,CUYAHOGA,30-44,40-49,DEMOCRAT,40-49,NONE,ONLYGORE,ONLYBUSH,ISSUES,,,NO,OPPOSE,0.20700000000000002
STATE ONLY,36.0,18.0,22.0,THIRD CALL,,BLACK,MALE,GORE,,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,OMITS,OMITS,CLINTON,NONE,OMITS,BETTER,APP/FAV,YES,DEMOCRAT,OVER500K,HSGRAD,OTHERCHRIST,AFEWAMONTH,15-30K,NO,NO,MODERATE,,CUTFEDINCTAX,STATE,COMPLETE,CUYAHOGA,,,DEMOCRAT,,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,NO,OMITS,0.29
STATE ONLY,36.0,18.0,23.0,THIRD CALL,45-49,WHITE,MALE,BUSH,DEWINE,DISAPPR,UNFAVORABLE,BUSH,MORE,CITYOVER50K,WORLDAFFAIRS,STRONGLEADER,NO,DOLE,ME,BUSHDID,WORSE,DIS/UNFAV,YES,REPUBLCN,OVER500K,HSGRAD,NONE,NEVER,50-75K,YES,YES,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,CUYAHOGA,45-59,40-49,REPUBLICAN,40-49,NONE,ONLYBUSH,ONLYGORE,ISSUES,,,YES,OPPOSE,0.24
STATE ONLY,36.0,18.0,24.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,DEWINE,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,TAXES,EXPERIENCE,YES,DOLE,MEANDSOMEONE,GOREDID,SAME,DIS/UNFAV,YES,REPUBLCN,OVER500K,COLGRAD,CATHOLIC,MORETHAN1AWK,75-100K,YES,YES,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,CUYAHOGA,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,YES,OPPOSE,0.192
