VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,FORCANNY,X6VOTE,UNION4,FINSIT,JOBPERS,WORK,UNFAIRNY,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,CARPETBG,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,LATINO,QRACE,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,33.0,26.0,1.0,FIRST CALL,18-24,WHITE,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,HONEST,FORCAND,NOVOTE,NONE,SAME,APP/FAV,NO,BOTHDID,ELSE,50-500K,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,30-50K,NO,NO,LIBERAL,18-64,SOCIALSECURI,NOTATALLCONC,STATE,COMPLETE,URBANUPSTATE,18-29,18-24,IND/OTHER,18-24,NO,WHITE,CATHOLIC,BOTH,BOTH,ISSUES,,,0.364
STATE ONLY,33.0,26.0,2.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,CLINTON,APPROVE,UNFAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,HONEST,FORCAND,CLINTON,ME,BETTER,APP/UNFAV,YES,LAZIODID,DEMOCRAT,50-500K,COLGRAD,NONE,NEVER,50-75K,NO,NO,LIBERAL,18-64,CUTFEDINCTAX,NOTATALLCONC,STATE,COMPLETE,URBANUPSTATE,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,NONE,ONLYGORE,ONLYBUSH,ISSUES,,,0.359
STATE ONLY,33.0,26.0,3.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,LAZIO,APPROVE,FAVORABLE,OMITS,LESS,CITYOVER50K,TAXES,CARES,FORCAND,CLINTON,NONE,SAME,APP/FAV,NO,NEITHERDID,REPUBLCN,50-500K,COLGRAD,OTHERCHRIST,MORETHAN1AWK,50-75K,YES,NO,LIBERAL,65+,CUTFEDINCTAX,SOMEWHATCONC,STATE,COMPLETE,URBANUPSTATE,60+,60+,REPUBLICAN,65+,NO,WHITE,PROT/CHRIST,BOTH,OMITS,ISSUES,,,0.434
STATE ONLY,33.0,26.0,4.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,CLINTON,DISAPPR,UNFAVORABLE,GORE,LESS,CITYOVER50K,SOCIALSECUR,COMPLEXISSUE,OMITS,DOLE,ME,SAME,DIS/UNFAV,YES,BOTHDID,REPUBLCN,50-500K,COLGRAD,CATHOLIC,MORETHAN1AWK,30-50K,NO,NO,LIBERAL,18-64,CUTFEDINCTAX,SOMEWHATCONC,STATE,COMPLETE,URBANUPSTATE,45-59,50-59,REPUBLICAN,50-64,,WHITE,CATHOLIC,BOTH,BOTH,ISSUES,,,0.359
STATE ONLY,33.0,26.0,5.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,CLINTON,APPROVE,UNFAVORABLE,GORE,MORE,CITYOVER50K,SOCIALSECUR,EXPERIENCE,FORCAND,CLINTON,NONE,BETTER,APP/UNFAV,YES,LAZIODID,DEMOCRAT,50-500K,COLGRAD,CATHOLIC,NEVER,OVER100K,YES,NO,LIBERAL,18-64,REDUCNATDEBT,NOTATALLCONC,STATE,COMPLETE,URBANUPSTATE,30-44,40-49,DEMOCRAT,40-49,NO,WHITE,CATHOLIC,ONLYGORE,NEITHER,ISSUES,,,0.359
STATE ONLY,33.0,26.0,6.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,WORLDAFFAIRS,COMPLEXISSUE,FORCAND,CLINTON,ME,BETTER,APP/FAV,YES,LAZIODID,DEMOCRAT,50-500K,POSTGRAD,NONE,NEVER,OVER100K,YES,NO,LIBERAL,18-64,SOCIALSECURI,NOTATALLCONC,STATE,COMPLETE,URBANUPSTATE,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,NONE,BOTH,NEITHER,ISSUES,,,0.359
STATE ONLY,33.0,26.0,7.0,FIRST CALL,30-39,WHITE,MALE,BUSH,LAZIO,DISAPPR,OMITS,BUSH,LESS,CITYOVER50K,TAXES,STRONGLEADER,AGNOPPS,DOLE,NONE,BETTER,OMITS,YES,BOTHDID,REPUBLCN,50-500K,POSTGRAD,,ONCEAWEEK,75-100K,YES,YES,CONSERV,18-64,REDUCNATDEBT,NOTATALLCONC,STATE,COMPLETE,URBANUPSTATE,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,,BOTH,ONLYGORE,PERSONALQUAL,,,0.379
STATE ONLY,33.0,26.0,8.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,LAZIO,APPROVE,FAVORABLE,BUSH,MORE,CITYOVER50K,WORLDAFFAIRS,STRONGLEADER,FORCAND,DOLE,NONE,SAME,APP/FAV,YES,CLINTONDID,DEMOCRAT,50-500K,COLGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,NO,LIBERAL,18-64,REDUCNATDEBT,VERYCONC,STATE,COMPLETE,URBANUPSTATE,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,CATHOLIC,ONLYBUSH,NEITHER,PERSONALQUAL,,,0.343
STATE ONLY,33.0,26.0,9.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,SOCIALSECUR,COMPLEXISSUE,FORCAND,CLINTON,NONE,WORSE,APP/FAV,NO,LAZIODID,DEMOCRAT,50-500K,POSTGRAD,PROTESTANT,AFEWAYEAR,OVER100K,YES,YES,LIBERAL,18-64,SOCIALSECURI,NOTATALLCONC,STATE,COMPLETE,URBANUPSTATE,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,PROT/CHRIST,ONLYGORE,NEITHER,ISSUES,,,0.359
STATE ONLY,33.0,26.0,10.0,FIRST CALL,50-59,WHITE,MALE,BUCHANAN,,APPROVE,FAVORABLE,BUSH,LESS,CITYOVER50K,HEALTHCARE,EXPERIENCE,AGNOPPS,DOLE,SOMEONEELSE,WORSE,APP/FAV,NO,CLINTONDID,DEMOCRAT,50-500K,HSGRAD,CATHOLIC,ONCEAWEEK,15-30K,NO,YES,MODERATE,18-64,CUTFEDINCTAX,VERYCONC,STATE,COMPLETE,URBANUPSTATE,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,CATHOLIC,ONLYBUSH,ONLYBUSH,PERSONALQUAL,,,0.23600000000000002
STATE ONLY,33.0,26.0,11.0,FIRST CALL,65-74,WHITE,MALE,,LAZIO,DISAPPR,UNFAVORABLE,OMITS,LESS,CITYOVER50K,OMITS,HONEST,FORCAND,DOLE,NONE,BETTER,DIS/UNFAV,YES,CLINTONDID,REPUBLCN,50-500K,COLGRAD,PROTESTANT,ONCEAWEEK,,YES,NO,,65+,SOCIALSECURI,VERYCONC,STATE,COMPLETE,URBANUPSTATE,60+,60+,REPUBLICAN,65+,,WHITE,PROT/CHRIST,NEITHER,BOTH,ISSUES,,,0.47100000000000003
STATE ONLY,33.0,26.0,12.0,SECOND CALL,60-64,BLACK,FEMALE,GORE,CLINTON,APPROVE,UNFAVORABLE,GORE,MORE,CITYOVER50K,WORLDAFFAIRS,GOODJUDGMENT,FORCAND,CLINTON,ME,BETTER,APP/UNFAV,NO,NEITHERDID,DEMOCRAT,50-500K,COLGRAD,NONE,AFEWAYEAR,50-75K,NO,NO,MODERATE,18-64,REDUCNATDEBT,NOTTOOCONC,STATE,COMPLETE,URBANUPSTATE,60+,60+,DEMOCRAT,50-64,NO,BLACK,NONE,ONLYGORE,BOTH,PERSONALQUAL,,,0.419
STATE ONLY,33.0,26.0,13.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,TAXES,HONEST,FORCAND,DOLE,NONE,SAME,DIS/UNFAV,YES,OMITS,REPUBLCN,50-500K,COLGRAD,PROTESTANT,AFEWAMONTH,50-75K,YES,YES,MODERATE,18-64,OTHRPROGRAMS,VERYCONC,STATE,COMPLETE,URBANUPSTATE,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,0.343
STATE ONLY,33.0,26.0,14.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,LAZIO,APPROVE,UNFAVORABLE,BUSH,LESS,CITYOVER50K,OMITS,HONEST,FORCAND,DOLE,ME,BETTER,APP/UNFAV,YES,BOTHDID,REPUBLCN,50-500K,COLGRAD,ELSE,ONCEAWEEK,75-100K,YES,NO,CONSERV,65+,OTHRPROGRAMS,VERYCONC,STATE,COMPLETE,URBANUPSTATE,60+,60+,REPUBLICAN,65+,NO,WHITE,OTHER,NEITHER,BOTH,ISSUES,,,0.434
STATE ONLY,33.0,26.0,15.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,SOCIALSECUR,HONEST,AGNOPPS,CLINTON,ME,BETTER,DIS/UNFAV,YES,BOTHDID,DEMOCRAT,50-500K,POSTGRAD,PROTESTANT,ONCEAWEEK,OVER100K,YES,NO,LIBERAL,18-64,CUTFEDINCTAX,VERYCONC,STATE,COMPLETE,URBANUPSTATE,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,PROT/CHRIST,BOTH,NEITHER,PERSONALQUAL,,,0.343
STATE ONLY,33.0,26.0,16.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,TAXES,HONEST,AGNOPPS,DOLE,NONE,SAME,DIS/UNFAV,NO,CLINTONDID,INDEPEND,50-500K,POSTGRAD,CATHOLIC,ONCEAWEEK,50-75K,YES,NO,CONSERV,18-64,REDUCNATDEBT,VERYCONC,STATE,COMPLETE,URBANUPSTATE,45-59,50-59,IND/OTHER,50-64,NO,WHITE,CATHOLIC,ONLYBUSH,ONLYGORE,ISSUES,,,0.343
STATE ONLY,33.0,26.0,17.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,ECON/JOBS,LIKEABLE,AGNOPPS,DOLE,NONE,SAME,DIS/UNFAV,YES,CLINTONDID,REPUBLCN,50-500K,COLGRAD,PROTESTANT,ONCEAWEEK,OVER100K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,VERYCONC,STATE,COMPLETE,URBANUPSTATE,45-59,40-49,REPUBLICAN,40-49,,WHITE,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,0.343
STATE ONLY,33.0,26.0,18.0,SECOND CALL,45-49,WHITE,MALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,TAXES,HONEST,AGNOPPS,DOLE,NONE,SAME,DIS/UNFAV,YES,CLINTONDID,ELSE,50-500K,COLGRAD,OTHERCHRIST,AFEWAYEAR,OVER100K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,VERYCONC,STATE,COMPLETE,URBANUPSTATE,45-59,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,0.379
STATE ONLY,33.0,26.0,19.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,CLINTON,APPROVE,UNFAVORABLE,GORE,LESS,CITYOVER50K,TAXES,HONEST,FORCAND,DOLE,ME,SAME,APP/UNFAV,YES,OMITS,REPUBLCN,50-500K,SOMCOL/ASSOC,CATHOLIC,AFEWAMONTH,30-50K,NO,YES,MODERATE,18-64,CUTFEDINCTAX,NOTATALLCONC,STATE,COMPLETE,URBANUPSTATE,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,CATHOLIC,BOTH,ONLYBUSH,ISSUES,,,0.359
STATE ONLY,33.0,26.0,20.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,OMITS,CITYOVER50K,MEDICARE/RX,COMPLEXISSUE,FORCAND,CLINTON,NONE,BETTER,APP/FAV,NO,LAZIODID,DEMOCRAT,50-500K,HSGRAD,CATHOLIC,OMITS,,YES,YES,MODERATE,18-64,REDUCNATDEBT,NOTATALLCONC,STATE,COMPLETE,URBANUPSTATE,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,CATHOLIC,ONLYGORE,OMITS,ISSUES,,,0.359
STATE ONLY,33.0,26.0,21.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,ECON/JOBS,LIKEABLE,AGNOPPS,DOLE,NONE,BETTER,DIS/UNFAV,YES,BOTHDID,REPUBLCN,50-500K,COLGRAD,CATHOLIC,AFEWAMONTH,75-100K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,VERYCONC,STATE,COMPLETE,URBANUPSTATE,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,CATHOLIC,ONLYBUSH,BOTH,ISSUES,,,0.343
STATE ONLY,33.0,26.0,22.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,CARES,FORCAND,CLINTON,NONE,BETTER,APP/FAV,YES,NEITHERDID,DEMOCRAT,50-500K,COLGRAD,PROTESTANT,AFEWAYEAR,75-100K,YES,YES,LIBERAL,18-64,REDUCNATDEBT,NOTTOOCONC,STATE,COMPLETE,URBANUPSTATE,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,0.359
STATE ONLY,33.0,26.0,23.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,LESS,CITYOVER50K,ECON/JOBS,COMPLEXISSUE,FORCAND,CLINTON,NONE,BETTER,APP/FAV,YES,BOTHDID,DEMOCRAT,50-500K,COLGRAD,CATHOLIC,AFEWAMONTH,50-75K,YES,YES,LIBERAL,18-64,REDUCNATDEBT,VERYCONC,STATE,COMPLETE,URBANUPSTATE,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,CATHOLIC,ONLYBUSH,BOTH,ISSUES,,,0.359
STATE ONLY,33.0,26.0,24.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,TAXES,HONEST,AGNOPPS,DOLE,NONE,SAME,DIS/UNFAV,YES,NEITHERDID,REPUBLCN,50-500K,POSTGRAD,PROTESTANT,AFEWAMONTH,OVER100K,NO,YES,MODERATE,18-64,CUTFEDINCTAX,VERYCONC,STATE,COMPLETE,URBANUPSTATE,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,BOTH,ONLYGORE,PERSONALQUAL,,,0.343
STATE ONLY,33.0,26.0,25.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,EDUCATION,HONEST,FORCAND,DOLE,NONE,BETTER,DIS/UNFAV,YES,NEITHERDID,REPUBLCN,50-500K,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,50-75K,YES,NO,CONSERV,18-64,SOCIALSECURI,NOTTOOCONC,STATE,COMPLETE,URBANUPSTATE,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,BOTH,ONLYGORE,PERSONALQUAL,,,0.343
STATE ONLY,33.0,30.0,1.0,FIRST CALL,18-24,WHITE,FEMALE,GORE,LAZIO,DISAPPR,UNFAVORABLE,GORE,MORE,SUBURBS,EDUCATION,GOODJUDGMENT,AGNOPPS,NOVOTE,NONE,BETTER,DIS/UNFAV,NO,NEITHERDID,INDEPEND,SUBURBS,COLGRAD,JEWISH,NEVER,OVER100K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,VERYCONC,STATE,COMPLETE,URBANUPSTATE,18-29,18-24,IND/OTHER,18-24,NO,WHITE,JEWISH,ONLYGORE,ONLYGORE,ISSUES,,,0.648
STATE ONLY,33.0,30.0,2.0,FIRST CALL,45-49,WHITE,MALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,EXPERIENCE,FORCAND,CLINTON,NONE,BETTER,APP/FAV,YES,LAZIODID,DEMOCRAT,SUBURBS,POSTGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,YES,MODERATE,18-64,OTHRPROGRAMS,NOTATALLCONC,STATE,COMPLETE,URBANUPSTATE,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,CATHOLIC,BOTH,BOTH,PERSONALQUAL,,,0.6950000000000001
STATE ONLY,33.0,30.0,3.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,CLINTON,APPROVE,UNFAVORABLE,GORE,LESS,SUBURBS,EDUCATION,EXPERIENCE,FORCAND,CLINTON,NONE,WORSE,APP/UNFAV,NO,LAZIODID,INDEPEND,SUBURBS,COLGRAD,JEWISH,NEVER,OVER100K,YES,NO,LIBERAL,65+,SOCIALSECURI,NOTATALLCONC,STATE,COMPLETE,URBANUPSTATE,60+,60+,IND/OTHER,65+,NO,WHITE,JEWISH,ONLYGORE,BOTH,PERSONALQUAL,,,0.796
STATE ONLY,33.0,30.0,4.0,FIRST CALL,50-59,ASIAN,FEMALE,BUSH,LAZIO,APPROVE,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,STRONGLEADER,AGNOPPS,DOLE,NONE,SAME,APP/UNFAV,NO,BOTHDID,REPUBLCN,SUBURBS,POSTGRAD,CATHOLIC,AFEWAYEAR,OVER100K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,VERYCONC,STATE,COMPLETE,URBANUPSTATE,45-59,50-59,REPUBLICAN,50-64,NO,ASIAN,CATHOLIC,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,0.602
STATE ONLY,33.0,30.0,5.0,FIRST CALL,50-59,WHITE,MALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,COMPLEXISSUE,FORCAND,DOLE,NONE,BETTER,DIS/UNFAV,YES,CLINTONDID,REPUBLCN,SUBURBS,COLGRAD,CATHOLIC,AFEWAYEAR,OVER100K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,VERYCONC,STATE,COMPLETE,URBANUPSTATE,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,CATHOLIC,ONLYBUSH,ONLYGORE,ISSUES,,,0.664
STATE ONLY,33.0,30.0,6.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,SOCIALSECUR,COMPLEXISSUE,FORCAND,CLINTON,NONE,SAME,APP/FAV,YES,LAZIODID,DEMOCRAT,SUBURBS,POSTGRAD,JEWISH,AFEWAYEAR,75-100K,NO,NO,LIBERAL,65+,SOCIALSECURI,NOTATALLCONC,STATE,COMPLETE,URBANUPSTATE,60+,60+,DEMOCRAT,65+,NO,WHITE,JEWISH,ONLYGORE,ONLYBUSH,ISSUES,,,0.796
STATE ONLY,33.0,30.0,7.0,FIRST CALL,50-59,WHITE,MALE,BUSH,CLINTON,APPROVE,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,FORCAND,DOLE,SOMEONEELSE,BETTER,APP/UNFAV,YES,BOTHDID,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAMONTH,75-100K,YES,YES,MODERATE,18-64,SOCIALSECURI,NOTTOOCONC,STATE,COMPLETE,URBANUPSTATE,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,CATHOLIC,BOTH,BOTH,ISSUES,,,0.655
STATE ONLY,33.0,30.0,8.0,FIRST CALL,50-59,WHITE,MALE,BUSH,LAZIO,APPROVE,FAVORABLE,BUSH,LESS,SUBURBS,ECON/JOBS,STRONGLEADER,FORCAND,DOLE,NONE,BETTER,APP/FAV,YES,NEITHERDID,REPUBLCN,SUBURBS,COLGRAD,JEWISH,AFEWAYEAR,OVER100K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,NOTTOOCONC,STATE,COMPLETE,URBANUPSTATE,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,JEWISH,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,0.664
STATE ONLY,33.0,30.0,9.0,FIRST CALL,60-64,WHITE,MALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,HEALTHCARE,COMPLEXISSUE,FORCAND,CLINTON,NONE,SAME,APP/FAV,YES,BOTHDID,INDEPEND,SUBURBS,POSTGRAD,OTHERCHRIST,MORETHAN1AWK,30-50K,YES,NO,MODERATE,18-64,REDUCNATDEBT,NOTTOOCONC,STATE,COMPLETE,URBANUPSTATE,60+,60+,IND/OTHER,50-64,NO,WHITE,PROT/CHRIST,ONLYGORE,ONLYGORE,ISSUES,,,0.879
STATE ONLY,33.0,30.0,10.0,FIRST CALL,60-64,WHITE,MALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,STRONGLEADER,FORCAND,DOLE,ME,SAME,DIS/UNFAV,YES,CLINTONDID,REPUBLCN,SUBURBS,POSTGRAD,PROTESTANT,ONCEAWEEK,OVER100K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,VERYCONC,STATE,COMPLETE,URBANUPSTATE,60+,60+,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,BOTH,ONLYGORE,ISSUES,,,0.842
STATE ONLY,33.0,30.0,11.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,LAZIO,APPROVE,UNFAVORABLE,GORE,LESS,SUBURBS,WORLDAFFAIRS,COMPLEXISSUE,AGNOPPS,CLINTON,NONE,WORSE,APP/UNFAV,NO,NEITHERDID,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,OVER100K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,VERYCONC,STATE,COMPLETE,URBANUPSTATE,30-44,40-49,DEMOCRAT,40-49,NO,WHITE,CATHOLIC,BOTH,NEITHER,PERSONALQUAL,,,0.638
STATE ONLY,33.0,30.0,12.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,CLINTON,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,COMPLEXISSUE,FORCAND,CLINTON,NONE,WORSE,APP/UNFAV,YES,BOTHDID,DEMOCRAT,SUBURBS,POSTGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,NO,LIBERAL,18-64,OTHRPROGRAMS,NOTATALLCONC,STATE,COMPLETE,URBANUPSTATE,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,CATHOLIC,ONLYGORE,BOTH,ISSUES,,,0.629
STATE ONLY,33.0,30.0,13.0,FIRST CALL,60-64,WHITE,MALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,HONEST,AGNOPPS,DOLE,NONE,BETTER,DIS/UNFAV,NO,CLINTONDID,REPUBLCN,SUBURBS,COLGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,NO,CONSERV,18-64,REDUCNATDEBT,VERYCONC,STATE,COMPLETE,URBANUPSTATE,60+,60+,REPUBLICAN,50-64,NO,WHITE,CATHOLIC,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,0.842
STATE ONLY,33.0,30.0,14.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,SOCIALSECUR,EXPERIENCE,FORCAND,CLINTON,NONE,SAME,APP/FAV,NO,LAZIODID,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,JEWISH,AFEWAYEAR,30-50K,NO,NO,CONSERV,65+,OTHRPROGRAMS,NOTATALLCONC,STATE,COMPLETE,URBANUPSTATE,60+,60+,DEMOCRAT,65+,NO,WHITE,JEWISH,ONLYGORE,BOTH,ISSUES,,,0.796
STATE ONLY,33.0,30.0,15.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,LAZIO,APPROVE,FAVORABLE,BUSH,MORE,SUBURBS,ECON/JOBS,CARES,AGNOPPS,NOVOTE,ME,BETTER,APP/FAV,YES,BOTHDID,REPUBLCN,SUBURBS,POSTGRAD,CATHOLIC,AFEWAYEAR,30-50K,NO,NO,CONSERV,18-64,CUTFEDINCTAX,VERYCONC,STATE,COMPLETE,URBANUPSTATE,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,CATHOLIC,NEITHER,BOTH,ISSUES,,,0.602
STATE ONLY,33.0,30.0,16.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,CLINTON,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,COMPLEXISSUE,FORCAND,CLINTON,NONE,BETTER,APP/UNFAV,YES,LAZIODID,DEMOCRAT,SUBURBS,POSTGRAD,JEWISH,AFEWAYEAR,30-50K,NO,NO,LIBERAL,18-64,REDUCNATDEBT,NOTATALLCONC,STATE,COMPLETE,URBANUPSTATE,30-44,40-49,DEMOCRAT,40-49,NO,WHITE,JEWISH,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,0.629
STATE ONLY,33.0,30.0,17.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,CLINTON,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,COMPLEXISSUE,FORCAND,CLINTON,NONE,BETTER,APP/UNFAV,NO,LAZIODID,DEMOCRAT,SUBURBS,COLGRAD,PROTESTANT,ONCEAWEEK,30-50K,NO,NO,LIBERAL,18-64,REDUCNATDEBT,NOTATALLCONC,STATE,COMPLETE,URBANUPSTATE,60+,60+,DEMOCRAT,50-64,NO,WHITE,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,0.796
STATE ONLY,33.0,30.0,18.0,SECOND CALL,65-74,WHITE,MALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,ECON/JOBS,HONEST,FORCAND,CLINTON,NONE,SAME,APP/FAV,YES,NEITHERDID,REPUBLCN,SUBURBS,POSTGRAD,PROTESTANT,AFEWAYEAR,30-50K,YES,NO,MODERATE,65+,CUTFEDINCTAX,NOTATALLCONC,STATE,COMPLETE,URBANUPSTATE,60+,60+,REPUBLICAN,65+,NO,WHITE,PROT/CHRIST,BOTH,BOTH,PERSONALQUAL,,,0.879
STATE ONLY,33.0,30.0,19.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,CLINTON,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,EDUCATION,EXPERIENCE,FORCAND,CLINTON,NONE,BETTER,APP/UNFAV,NO,LAZIODID,REPUBLCN,SUBURBS,POSTGRAD,JEWISH,AFEWAMONTH,OVER100K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,NOTATALLCONC,STATE,COMPLETE,URBANUPSTATE,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,JEWISH,ONLYGORE,BOTH,ISSUES,,,0.629
