VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,X6VOTE,UNION4,FINSIT,JOBPERS,WORK,GOV98MN,PARTYID,ISQUASEN,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,UNFAIRMN,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,TRACK,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,24.0,13.0,30.0,THIRD CALL,50-59,WHITE,FEMALE,NADER,DAYTON,APPROVE,UNFAVORABLE,GORE,LESS,SMCITY/RURAL,ECON/JOBS,CARES,CLINTON,NONE,WORSE,APP/UNFAV,NO,VENTURA,INDEPEND,ISSUES,10-50K,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,15-30K,NO,NO,MODERATE,18-64,REDUCNATDEBT,NEITHERDID,STATE,COMPLETE,DEMOCRAT,45-59,50-59,IND/OTHER,50-64,CATHOLIC,WRONGTRACK,ONLYGORE,BOTH,ISSUES,,,0.584
STATE ONLY,24.0,13.0,31.0,THIRD CALL,50-59,WHITE,MALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,EDUCATION,HONEST,DOLE,NONE,SAME,DIS/UNFAV,YES,COLEMAN,REPUBLCN,ISSUES,10-50K,COLGRAD,PROTESTANT,ONCEAWEEK,,YES,YES,CONSERV,18-64,CUTFEDINCTAX,DAYTONDID,STATE,COMPLETE,DEMOCRAT,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,RIGHTDIR,BOTH,NEITHER,ISSUES,,,0.629
STATE ONLY,24.0,13.0,32.0,THIRD CALL,65-74,WHITE,MALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,EDUCATION,HONEST,DOLE,NONE,SAME,DIS/UNFAV,YES,COLEMAN,REPUBLCN,PERSONALQUAL,10-50K,SOMCOL/ASSOC,PROTESTANT,AFEWAMONTH,OVER100K,YES,NO,CONSERV,65+,SOCIALSECURI,BOTHDID,STATE,COMPLETE,DEMOCRAT,60+,60+,REPUBLICAN,65+,PROT/CHRIST,RIGHTDIR,BOTH,ONLYGORE,ISSUES,,,0.8200000000000001
STATE ONLY,24.0,13.0,33.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,GOODJUDGMENT,DOLE,ME,BETTER,DIS/UNFAV,YES,NOVOTE,INDEPEND,ISSUES,10-50K,POSTGRAD,PROTESTANT,ONCEAWEEK,30-50K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,BOTHDID,STATE,COMPLETE,DEMOCRAT,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,WRONGTRACK,BOTH,ONLYGORE,ISSUES,,,0.5720000000000001
STATE ONLY,24.0,13.0,34.0,THIRD CALL,18-24,WHITE,MALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,EDUCATION,HONEST,PEROT,ME,BETTER,DIS/UNFAV,NO,ELSE,ELSE,ISSUES,10-50K,POSTGRAD,OTHERCHRIST,ONCEAWEEK,15-30K,YES,NO,CONSERV,18-64,SOCIALSECURI,BOTHDID,STATE,COMPLETE,DEMOCRAT,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,WRONGTRACK,BOTH,ONLYGORE,PERSONALQUAL,,,0.809
STATE ONLY,24.0,13.0,35.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,GRAMS,APPROVE,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,STRONGLEADER,DOLE,NONE,SAME,APP/UNFAV,NO,COLEMAN,REPUBLCN,ISSUES,10-50K,POSTGRAD,PROTESTANT,MORETHAN1AWK,50-75K,YES,YES,MODERATE,18-64,REDUCNATDEBT,NEITHERDID,STATE,COMPLETE,DEMOCRAT,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,RIGHTDIR,BOTH,BOTH,PERSONALQUAL,,,0.5720000000000001
STATE ONLY,24.0,13.0,36.0,THIRD CALL,18-24,WHITE,MALE,BUSH,GRAMS,APPROVE,FAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,COMPLEXISSUE,NOVOTE,SOMEONEELSE,BETTER,APP/FAV,NO,NOVOTE,REPUBLCN,ISSUES,10-50K,SOMCOL/ASSOC,NONE,NEVER,LESS15K,NO,NO,CONSERV,18-64,CUTFEDINCTAX,BOTHDID,STATE,COMPLETE,DEMOCRAT,18-29,18-24,REPUBLICAN,18-24,NONE,RIGHTDIR,ONLYBUSH,BOTH,ISSUES,,,0.809
STATE ONLY,24.0,13.0,37.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,GRAMS,OMITS,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,OMITS,PEROT,NONE,WORSE,OMITS,NO,COLEMAN,INDEPEND,ISSUES,10-50K,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,15-30K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,BOTHDID,STATE,COMPLETE,DEMOCRAT,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,OMITS,BOTH,BOTH,ISSUES,,,0.5720000000000001
STATE ONLY,24.0,13.0,38.0,THIRD CALL,30-39,WHITE,MALE,BUSH,GRAMS,OMITS,OMITS,OMITS,LESS,SMCITY/RURAL,ECON/JOBS,OMITS,CLINTON,NONE,BETTER,OMITS,,COLEMAN,,ISSUES,10-50K,,,OMITS,,YES,YES,,18-64,OMITS,OMITS,STATE,COMPLETE,DEMOCRAT,30-44,30-39,,30-39,,WRONGTRACK,OMITS,OMITS,OMITS,,,0.629
STATE ONLY,24.0,13.0,39.0,THIRD CALL,45-49,WHITE,MALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,GOODJUDGMENT,DOLE,ME,BETTER,DIS/UNFAV,NO,VENTURA,INDEPEND,ISSUES,10-50K,COLGRAD,OTHERCHRIST,ONCEAWEEK,30-50K,NO,NO,MODERATE,18-64,SOCIALSECURI,BOTHDID,STATE,COMPLETE,DEMOCRAT,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,RIGHTDIR,BOTH,BOTH,PERSONALQUAL,,,0.629
STATE ONLY,24.0,18.0,1.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,DOLE,NONE,SAME,DIS/UNFAV,YES,OMITS,REPUBLCN,ISSUES,SUBURBS,SOMCOL/ASSOC,PROTESTANT,NEVER,75-100K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,DAYTONDID,STATE,COMPLETE,TWINCTYMETRO,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,WRONGTRACK,ONLYBUSH,ONLYGORE,ISSUES,,,0.261
STATE ONLY,24.0,18.0,2.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,DOLE,NONE,SAME,DIS/UNFAV,NO,COLEMAN,ELSE,ISSUES,SUBURBS,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,NEITHERDID,STATE,COMPLETE,TWINCTYMETRO,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,WRONGTRACK,BOTH,ONLYGORE,ISSUES,,,0.261
STATE ONLY,24.0,18.0,3.0,FIRST CALL,30-39,WHITE,MALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,DOLE,SOMEONEELSE,SAME,DIS/UNFAV,YES,COLEMAN,REPUBLCN,ISSUES,SUBURBS,COLGRAD,OTHERCHRIST,AFEWAMONTH,75-100K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,DAYTONDID,STATE,COMPLETE,TWINCTYMETRO,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,WRONGTRACK,ONLYBUSH,ONLYGORE,ISSUES,,,0.316
STATE ONLY,24.0,18.0,4.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,DOLE,NONE,SAME,DIS/UNFAV,NO,COLEMAN,REPUBLCN,ISSUES,SUBURBS,COLGRAD,OTHERCHRIST,ONCEAWEEK,30-50K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,DAYTONDID,STATE,COMPLETE,TWINCTYMETRO,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,RIGHTDIR,BOTH,ONLYGORE,ISSUES,,,0.261
STATE ONLY,24.0,18.0,5.0,FIRST CALL,65-74,WHITE,MALE,BUSH,DAYTON,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,MEDICARE/RX,CARES,PEROT,ME,SAME,DIS/UNFAV,YES,VENTURA,ELSE,ISSUES,SUBURBS,HSGRAD,PROTESTANT,AFEWAMONTH,30-50K,YES,NO,MODERATE,65+,SOCIALSECURI,GRAMSDID,STATE,COMPLETE,TWINCTYMETRO,60+,60+,IND/OTHER,65+,PROT/CHRIST,RIGHTDIR,NEITHER,BOTH,ISSUES,,,0.501
STATE ONLY,24.0,18.0,6.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,DAYTON,APPROVE,FAVORABLE,WOULDNOTVOTE,MORE,SUBURBS,ECON/JOBS,COMPLEXISSUE,PEROT,SOMEONEELSE,SAME,APP/FAV,NO,VENTURA,INDEPEND,PERSONALQUAL,SUBURBS,HSGRAD,PROTESTANT,ONCEAWEEK,LESS15K,NO,NO,MODERATE,18-64,REDUCNATDEBT,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,60+,60+,IND/OTHER,50-64,PROT/CHRIST,RIGHTDIR,BOTH,BOTH,ISSUES,,,0.41400000000000003
STATE ONLY,24.0,18.0,7.0,FIRST CALL,60-64,WHITE,MALE,GORE,DAYTON,OMITS,OMITS,OMITS,LESS,SUBURBS,OMITS,OMITS,OMITS,ME,OMITS,,,HUMPHREY,,PERSONALQUAL,SUBURBS,,,OMITS,,,,,18-64,OMITS,DAYTONDID,STATE,NOTCOMPLETE,TWINCTYMETRO,60+,60+,,50-64,,RIGHTDIR,OMITS,OMITS,OMITS,,,0.51
STATE ONLY,24.0,18.0,8.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,DAYTON,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,EDUCATION,HONEST,CLINTON,NONE,BETTER,APP/UNFAV,NO,VENTURA,DEMOCRAT,ISSUES,SUBURBS,SOMCOL/ASSOC,ELSE,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,30-44,30-39,DEMOCRAT,30-39,OTHER,RIGHTDIR,BOTH,NEITHER,ISSUES,,,0.263
STATE ONLY,24.0,18.0,9.0,FIRST CALL,30-39,WHITE,MALE,NADER,GIBSON,APPROVE,UNFAVORABLE,WOULDNOTVOTE,LESS,SUBURBS,OMITS,COMPLEXISSUE,DOLE,ME,SAME,APP/UNFAV,YES,COLEMAN,ELSE,PERSONALQUAL,SUBURBS,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,30-50K,YES,YES,,18-64,REDUCNATDEBT,OMITS,STATE,COMPLETE,TWINCTYMETRO,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,WRONGTRACK,NEITHER,BOTH,PERSONALQUAL,,,0.402
STATE ONLY,24.0,18.0,10.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,HEALTHCARE,HONEST,DOLE,NONE,BETTER,DIS/UNFAV,NO,COLEMAN,INDEPEND,ISSUES,SUBURBS,SOMCOL/ASSOC,CATHOLIC,MORETHAN1AWK,75-100K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,45-59,40-49,IND/OTHER,40-49,CATHOLIC,WRONGTRACK,BOTH,ONLYGORE,ISSUES,,,0.261
STATE ONLY,24.0,18.0,11.0,FIRST CALL,25-29,WHITE,MALE,BUSH,GRAMS,APPROVE,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,CLINTON,MEANDSOMEONE,BETTER,APP/UNFAV,YES,VENTURA,REPUBLCN,ISSUES,SUBURBS,COLGRAD,CATHOLIC,ONCEAWEEK,50-75K,YES,YES,CONSERV,18-64,SOCIALSECURI,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,RIGHTDIR,ONLYBUSH,BOTH,ISSUES,,,0.38
STATE ONLY,24.0,18.0,12.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,OMITS,MORE,SUBURBS,MEDICARE/RX,HONEST,OMITS,NONE,BETTER,DIS/UNFAV,NO,OMITS,REPUBLCN,ISSUES,SUBURBS,HSGRAD,ELSE,ONCEAWEEK,,YES,YES,CONSERV,18-64,OMITS,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,45-59,40-49,REPUBLICAN,40-49,OTHER,WRONGTRACK,ONLYBUSH,ONLYGORE,ISSUES,,,0.261
STATE ONLY,24.0,18.0,13.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,LESS,SUBURBS,OMITS,STRONGLEADER,DOLE,NONE,SAME,DIS/UNFAV,YES,COLEMAN,REPUBLCN,ISSUES,SUBURBS,POSTGRAD,PROTESTANT,MORETHAN1AWK,30-50K,NO,NO,CONSERV,18-64,REDUCNATDEBT,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,WRONGTRACK,BOTH,ONLYGORE,ISSUES,,,0.261
STATE ONLY,24.0,18.0,14.0,SECOND CALL,18-24,WHITE,FEMALE,GORE,GRAMS,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,EDUCATION,CARES,NOVOTE,NONE,SAME,APP/FAV,NO,NOVOTE,DEMOCRAT,ISSUES,SUBURBS,NOHS,NONE,AFEWAYEAR,15-30K,NO,NO,MODERATE,18-64,OTHRPROGRAMS,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,18-29,18-24,DEMOCRAT,18-24,NONE,RIGHTDIR,BOTH,BOTH,ISSUES,,,0.32
STATE ONLY,24.0,18.0,15.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,DAYTON,APPROVE,UNFAVORABLE,GORE,LESS,SUBURBS,OMITS,OMITS,CLINTON,SOMEONEELSE,BETTER,APP/UNFAV,YES,VENTURA,INDEPEND,ISSUES,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,50-75K,YES,YES,LIBERAL,18-64,REDUCNATDEBT,GRAMSDID,STATE,COMPLETE,TWINCTYMETRO,30-44,30-39,IND/OTHER,30-39,CATHOLIC,RIGHTDIR,BOTH,BOTH,ISSUES,,,0.263
STATE ONLY,24.0,18.0,16.0,SECOND CALL,45-49,WHITE,MALE,GORE,DAYTON,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,HEALTHCARE,EXPERIENCE,PEROT,ME,SAME,APP/UNFAV,YES,VENTURA,DEMOCRAT,ISSUES,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,75-100K,YES,NO,MODERATE,18-64,SOCIALSECURI,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,RIGHTDIR,BOTH,BOTH,ISSUES,,,0.318
STATE ONLY,24.0,18.0,17.0,SECOND CALL,30-39,WHITE,MALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,EDUCATION,GOODJUDGMENT,PEROT,NONE,SAME,DIS/UNFAV,YES,VENTURA,INDEPEND,ISSUES,SUBURBS,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,,NO,NO,CONSERV,18-64,CUTFEDINCTAX,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,30-44,30-39,IND/OTHER,30-39,CATHOLIC,RIGHTDIR,NEITHER,ONLYGORE,ISSUES,,,0.316
STATE ONLY,24.0,18.0,18.0,THIRD CALL,50-59,BLACK,MALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,HONEST,DOLE,MEANDSOMEONE,BETTER,DIS/UNFAV,YES,COLEMAN,INDEPEND,ISSUES,SUBURBS,POSTGRAD,PROTESTANT,ONCEAWEEK,50-75K,YES,YES,CONSERV,18-64,REDUCNATDEBT,DAYTONDID,STATE,COMPLETE,TWINCTYMETRO,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,WRONGTRACK,ONLYBUSH,ONLYGORE,ISSUES,,,0.245
STATE ONLY,24.0,18.0,19.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,HONEST,CLINTON,NONE,SAME,DIS/UNFAV,NO,COLEMAN,REPUBLCN,ISSUES,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,OVER100K,NO,YES,CONSERV,18-64,REDUCNATDEBT,DAYTONDID,STATE,COMPLETE,TWINCTYMETRO,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,WRONGTRACK,ONLYGORE,ONLYGORE,ISSUES,,,0.261
STATE ONLY,24.0,18.0,20.0,THIRD CALL,65-74,WHITE,FEMALE,BUSH,GRAMS,OMITS,OMITS,OMITS,LESS,SUBURBS,WORLDAFFAIRS,CARES,OMITS,NONE,OMITS,,,COLEMAN,,PERSONALQUAL,SUBURBS,,,OMITS,,,,,65+,OMITS,BOTHDID,STATE,NOTCOMPLETE,TWINCTYMETRO,60+,60+,,65+,,RIGHTDIR,OMITS,OMITS,OMITS,,,0.418
STATE ONLY,24.0,18.0,21.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,GRAMS,APPROVE,UNFAVORABLE,BUSH,LESS,SUBURBS,HEALTHCARE,HONEST,CLINTON,NONE,BETTER,APP/UNFAV,NO,VENTURA,REPUBLCN,ISSUES,SUBURBS,COLGRAD,OTHERCHRIST,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,SOCIALSECURI,NEITHERDID,STATE,COMPLETE,TWINCTYMETRO,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,RIGHTDIR,ONLYBUSH,ONLYGORE,ISSUES,,,0.313
STATE ONLY,24.0,18.0,22.0,THIRD CALL,50-59,WHITE,MALE,BUSH,GRAMS,OMITS,OMITS,OMITS,LESS,SUBURBS,OMITS,HONEST,OMITS,ME,OMITS,,,VENTURA,,ISSUES,SUBURBS,,,OMITS,,,,,18-64,OMITS,BOTHDID,STATE,NOTCOMPLETE,TWINCTYMETRO,45-59,50-59,,50-64,,WRONGTRACK,OMITS,OMITS,OMITS,,,0.316
STATE ONLY,24.0,18.0,23.0,THIRD CALL,30-39,WHITE,MALE,BUSH,GRAMS,APPROVE,FAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,HONEST,DOLE,NONE,BETTER,APP/FAV,YES,VENTURA,REPUBLCN,PERSONALQUAL,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,75-100K,YES,YES,LIBERAL,18-64,CUTFEDINCTAX,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,RIGHTDIR,BOTH,ONLYGORE,PERSONALQUAL,,,0.316
STATE ONLY,24.0,18.0,24.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,GRAMS,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,EDUCATION,GOODJUDGMENT,CLINTON,SOMEONEELSE,BETTER,APP/FAV,YES,HUMPHREY,INDEPEND,ISSUES,SUBURBS,COLGRAD,PROTESTANT,MORETHAN1AWK,50-75K,YES,YES,LIBERAL,18-64,SOCIALSECURI,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,RIGHTDIR,ONLYGORE,BOTH,ISSUES,,,0.32
STATE ONLY,24.0,18.0,25.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,GRAMS,OMITS,OMITS,OMITS,MORE,SUBURBS,HEALTHCARE,HONEST,CLINTON,MEANDSOMEONE,BETTER,OMITS,YES,VENTURA,,PERSONALQUAL,SUBURBS,,,OMITS,,YES,YES,,18-64,CUTFEDINCTAX,DAYTONDID,STATE,COMPLETE,TWINCTYMETRO,30-44,30-39,,30-39,,RIGHTDIR,BOTH,ONLYBUSH,PERSONALQUAL,,,0.266
STATE ONLY,24.0,18.0,26.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,DAYTON,OMITS,OMITS,OMITS,OMITS,SUBURBS,WORLDAFFAIRS,COMPLEXISSUE,OMITS,NONE,OMITS,,,VENTURA,,ISSUES,SUBURBS,,,OMITS,,,,,18-64,OMITS,BOTHDID,STATE,NOTCOMPLETE,TWINCTYMETRO,18-29,18-24,,18-24,,RIGHTDIR,OMITS,OMITS,OMITS,,,0.309
STATE ONLY,24.0,18.0,27.0,THIRD CALL,30-39,WHITE,MALE,GORE,DAYTON,OMITS,OMITS,OMITS,LESS,SUBURBS,OMITS,OMITS,OMITS,ME,OMITS,,,HUMPHREY,,ISSUES,SUBURBS,,,OMITS,,,,,18-64,OMITS,BOTHDID,STATE,NOTCOMPLETE,TWINCTYMETRO,30-44,30-39,,30-39,,RIGHTDIR,OMITS,OMITS,OMITS,,,0.318
STATE ONLY,24.0,18.0,28.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,GRAMS,APPROVE,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,DOLE,ME,SAME,APP/UNFAV,YES,COLEMAN,INDEPEND,ISSUES,SUBURBS,POSTGRAD,CATHOLIC,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,30-44,30-39,IND/OTHER,30-39,CATHOLIC,RIGHTDIR,BOTH,ONLYGORE,PERSONALQUAL,,,0.261
STATE ONLY,24.0,18.0,29.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,GRAMS,APPROVE,FAVORABLE,BUSH,LESS,SUBURBS,EDUCATION,STRONGLEADER,CLINTON,NONE,SAME,APP/FAV,YES,VENTURA,DEMOCRAT,PERSONALQUAL,SUBURBS,HSGRAD,PROTESTANT,AFEWAMONTH,30-50K,YES,YES,MODERATE,18-64,REDUCNATDEBT,DAYTONDID,STATE,COMPLETE,TWINCTYMETRO,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,RIGHTDIR,BOTH,BOTH,ISSUES,,,0.261
STATE ONLY,24.0,18.0,30.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,GRAMS,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,HEALTHCARE,EXPERIENCE,CLINTON,NONE,BETTER,APP/FAV,YES,VENTURA,INDEPEND,ISSUES,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,50-75K,YES,YES,LIBERAL,18-64,SOCIALSECURI,DAYTONDID,STATE,COMPLETE,TWINCTYMETRO,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,RIGHTDIR,NEITHER,ONLYBUSH,ISSUES,,,0.266
STATE ONLY,24.0,18.0,31.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,GRAMS,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,CARES,CLINTON,SOMEONEELSE,BETTER,APP/UNFAV,NO,VENTURA,DEMOCRAT,PERSONALQUAL,SUBURBS,SOMCOL/ASSOC,PROTESTANT,NEVER,75-100K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,RIGHTDIR,BOTH,BOTH,ISSUES,,,0.266
STATE ONLY,24.0,18.0,32.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,GRAMS,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,EXPERIENCE,CLINTON,ME,BETTER,APP/FAV,YES,HUMPHREY,DEMOCRAT,ISSUES,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,OVER100K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,DAYTONDID,STATE,COMPLETE,TWINCTYMETRO,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,RIGHTDIR,ONLYGORE,ONLYBUSH,ISSUES,,,0.266
STATE ONLY,24.0,18.0,33.0,THIRD CALL,45-49,WHITE,MALE,GORE,DAYTON,APPROVE,FAVORABLE,GORE,OMITS,SUBURBS,SOCIALSECUR,GOODJUDGMENT,CLINTON,NONE,SAME,APP/FAV,YES,VENTURA,INDEPEND,ISSUES,SUBURBS,SOMCOL/ASSOC,ELSE,NEVER,50-75K,YES,YES,LIBERAL,18-64,OMITS,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,45-59,40-49,IND/OTHER,40-49,OTHER,RIGHTDIR,ONLYGORE,BOTH,ISSUES,,,0.318
STATE ONLY,24.0,19.0,1.0,FIRST CALL,50-59,WHITE,FEMALE,NADER,DAYTON,APPROVE,UNFAVORABLE,WOULDNOTVOTE,LESS,SUBURBS,ECON/JOBS,CARES,PEROT,SOMEONEELSE,SAME,APP/UNFAV,YES,VENTURA,INDEPEND,PERSONALQUAL,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAMONTH,,YES,YES,MODERATE,18-64,OMITS,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,RIGHTDIR,BOTH,BOTH,ISSUES,,,2.795
STATE ONLY,24.0,19.0,2.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,GIBSON,APPROVE,UNFAVORABLE,GORE,LESS,SUBURBS,OMITS,OMITS,CLINTON,NONE,BETTER,APP/UNFAV,YES,VENTURA,DEMOCRAT,OMITS,SUBURBS,POSTGRAD,PROTESTANT,ONCEAWEEK,75-100K,YES,YES,MODERATE,18-64,REDUCNATDEBT,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,RIGHTDIR,BOTH,BOTH,ISSUES,,,1.187
STATE ONLY,24.0,19.0,3.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,GRAMS,APPROVE,UNFAVORABLE,GORE,OMITS,SUBURBS,EDUCATION,HONEST,DOLE,ME,WORSE,APP/UNFAV,YES,COLEMAN,REPUBLCN,ISSUES,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,30-50K,NO,YES,MODERATE,18-64,OTHRPROGRAMS,DAYTONDID,STATE,COMPLETE,TWINCTYMETRO,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,RIGHTDIR,ONLYGORE,ONLYBUSH,ISSUES,,,1.635
