VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,X6VOTE,FINSIT,JOBPERS,PARTYID,RELIGION,INCOME,PHIL3,OVER65,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,12.0,4.0,24.0,SECOND CALL,50-59,WHITE,MALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,INDEPEND,PROTESTANT,30-50K,CONSERV,18-64,STATE,HONOLULU,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.545
STATE ONLY,12.0,4.0,25.0,SECOND CALL,60-64,WHITE,MALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,OVER100K,MODERATE,18-64,STATE,HONOLULU,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,2.162
STATE ONLY,12.0,4.0,26.0,SECOND CALL,30-39,ASIAN,FEMALE,BUSH,CARROLL,APPROVE,UNFAVORABLE,BUSH,OMITS,BETTER,APP/UNFAV,DEMOCRAT,OTHERCHRIST,OVER100K,LIBERAL,18-64,STATE,HONOLULU,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.5010000000000001
STATE ONLY,12.0,4.0,27.0,SECOND CALL,50-59,ASIAN,FEMALE,BUSH,CARROLL,APPROVE,UNFAVORABLE,BUSH,DOLE,SAME,APP/UNFAV,INDEPEND,PROTESTANT,50-75K,MODERATE,18-64,STATE,HONOLULU,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.5010000000000001
STATE ONLY,12.0,4.0,28.0,SECOND CALL,65-74,ASIAN,FEMALE,BUSH,AKAKA,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,INDEPEND,PROTESTANT,OVER100K,CONSERV,65+,STATE,HONOLULU,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.946
STATE ONLY,12.0,4.0,29.0,SECOND CALL,50-59,ASIAN,FEMALE,BUSH,AKAKA,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,INDEPEND,OTHERCHRIST,OVER100K,CONSERV,18-64,STATE,HONOLULU,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.391
STATE ONLY,12.0,4.0,30.0,SECOND CALL,60-64,ASIAN,FEMALE,GORE,AKAKA,APPROVE,UNFAVORABLE,GORE,DOLE,SAME,APP/UNFAV,INDEPEND,ELSE,OVER100K,CONSERV,18-64,STATE,HONOLULU,60+,60+,IND/OTHER,50-64,OTHER,,,2.408
STATE ONLY,12.0,4.0,31.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,MODERATE,18-64,STATE,HONOLULU,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,2.102
STATE ONLY,12.0,4.0,32.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,75-100K,MODERATE,18-64,STATE,HONOLULU,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,2.102
STATE ONLY,12.0,4.0,33.0,SECOND CALL,30-39,ASIAN,FEMALE,GORE,AKAKA,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,REPUBLCN,PROTESTANT,OVER100K,MODERATE,18-64,STATE,HONOLULU,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.72
STATE ONLY,12.0,4.0,34.0,SECOND CALL,65-74,WHITE,MALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,OVER100K,CONSERV,65+,STATE,HONOLULU,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,2.162
STATE ONLY,12.0,4.0,35.0,THIRD CALL,50-59,WHITE,FEMALE,NADER,,APPROVE,UNFAVORABLE,GORE,CLINTON,SAME,APP/UNFAV,DEMOCRAT,PROTESTANT,OVER100K,LIBERAL,18-64,STATE,HONOLULU,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.361
STATE ONLY,12.0,4.0,36.0,THIRD CALL,65-74,OTHER,MALE,GORE,CARROLL,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,INDEPEND,CATHOLIC,30-50K,MODERATE,65+,STATE,HONOLULU,60+,60+,IND/OTHER,65+,CATHOLIC,,,2.6750000000000003
STATE ONLY,12.0,4.0,37.0,THIRD CALL,30-39,HISP,MALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,CATHOLIC,30-50K,LIBERAL,18-64,STATE,HONOLULU,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,1.229
STATE ONLY,12.0,4.0,38.0,THIRD CALL,60-64,ASIAN,MALE,BUSH,AKAKA,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,CATHOLIC,OVER100K,CONSERV,18-64,STATE,HONOLULU,60+,60+,REPUBLICAN,50-64,CATHOLIC,,,2.0020000000000002
STATE ONLY,12.0,4.0,39.0,THIRD CALL,60-64,WHITE,FEMALE,NADER,CARROLL,APPROVE,UNFAVORABLE,BUSH,PEROT,BETTER,APP/UNFAV,INDEPEND,PROTESTANT,OVER100K,MODERATE,18-64,STATE,HONOLULU,60+,60+,IND/OTHER,50-64,PROT/CHRIST,,,1.98
STATE ONLY,12.0,4.0,40.0,THIRD CALL,50-59,WHITE,FEMALE,NADER,AKAKA,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,CLINTON,SAME,DIS/UNFAV,INDEPEND,,,LIBERAL,18-64,STATE,HONOLULU,45-59,50-59,IND/OTHER,50-64,,,,1.313
STATE ONLY,12.0,4.0,41.0,THIRD CALL,45-49,ASIAN,FEMALE,BUSH,AKAKA,OMITS,UNFAVORABLE,BUSH,CLINTON,BETTER,OMITS,REPUBLCN,PROTESTANT,OVER100K,MODERATE,18-64,STATE,HONOLULU,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.391
STATE ONLY,12.0,5.0,1.0,FIRST CALL,18-24,WHITE,FEMALE,NADER,AKAKA,APPROVE,UNFAVORABLE,BUSH,OTHER,BETTER,APP/UNFAV,INDEPEND,PROTESTANT,50-75K,MODERATE,18-64,STATE,HONOLULU,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,0.663
STATE ONLY,12.0,5.0,2.0,FIRST CALL,60-64,WHITE,,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,30-50K,LIBERAL,18-64,STATE,HONOLULU,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,1.127
STATE ONLY,12.0,5.0,3.0,FIRST CALL,45-49,WHITE,MALE,NADER,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,HONOLULU,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.629
STATE ONLY,12.0,5.0,4.0,FIRST CALL,18-24,OTHER,MALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,CLINTON,SAME,DIS/UNFAV,DEMOCRAT,CATHOLIC,75-100K,LIBERAL,18-64,STATE,HONOLULU,18-29,18-24,DEMOCRAT,18-24,CATHOLIC,,,0.784
STATE ONLY,12.0,5.0,5.0,FIRST CALL,30-39,OTHER,MALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,CATHOLIC,75-100K,CONSERV,18-64,STATE,HONOLULU,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,0.724
STATE ONLY,12.0,5.0,6.0,FIRST CALL,40-44,WHITE,MALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,OVER100K,CONSERV,18-64,STATE,HONOLULU,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.724
STATE ONLY,12.0,5.0,7.0,FIRST CALL,50-59,ASIAN,MALE,BUSH,AKAKA,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,INDEPEND,NONE,OVER100K,CONSERV,18-64,STATE,HONOLULU,45-59,50-59,IND/OTHER,50-64,NONE,,,0.67
STATE ONLY,12.0,5.0,8.0,FIRST CALL,75+,WHITE,MALE,GORE,AKAKA,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,PROTESTANT,30-50K,MODERATE,65+,STATE,HONOLULU,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.16
STATE ONLY,12.0,5.0,9.0,FIRST CALL,50-59,ASIAN,FEMALE,GORE,AKAKA,DISAPPR,UNFAVORABLE,GORE,CLINTON,BETTER,DIS/UNFAV,DEMOCRAT,OTHERCHRIST,OVER100K,CONSERV,18-64,STATE,HONOLULU,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.806
STATE ONLY,12.0,5.0,10.0,FIRST CALL,45-49,ASIAN,FEMALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,75-100K,CONSERV,18-64,STATE,HONOLULU,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.704
STATE ONLY,12.0,5.0,11.0,FIRST CALL,40-44,ASIAN,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,OTHERCHRIST,50-75K,LIBERAL,18-64,STATE,HONOLULU,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.806
STATE ONLY,12.0,5.0,12.0,FIRST CALL,18-24,ASIAN,MALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,INDEPEND,OTHERCHRIST,75-100K,MODERATE,18-64,STATE,HONOLULU,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,0.784
STATE ONLY,12.0,5.0,13.0,FIRST CALL,40-44,ASIAN,MALE,BUSH,CARROLL,APPROVE,FAVORABLE,BUSH,DOLE,SAME,APP/FAV,REPUBLCN,ELSE,50-75K,MODERATE,18-64,STATE,HONOLULU,30-44,40-49,REPUBLICAN,40-49,OTHER,,,0.724
STATE ONLY,12.0,5.0,14.0,FIRST CALL,30-39,,MALE,GORE,AKAKA,APPROVE,UNFAVORABLE,GORE,CLINTON,WORSE,APP/UNFAV,INDEPEND,NONE,15-30K,MODERATE,18-64,STATE,HONOLULU,30-44,30-39,IND/OTHER,30-39,NONE,,,0.8290000000000001
STATE ONLY,12.0,5.0,15.0,SECOND CALL,40-44,ASIAN,FEMALE,GORE,AKAKA,DISAPPR,UNFAVORABLE,GORE,CLINTON,BETTER,DIS/UNFAV,DEMOCRAT,NONE,75-100K,MODERATE,18-64,STATE,HONOLULU,30-44,40-49,DEMOCRAT,40-49,NONE,,,0.806
STATE ONLY,12.0,5.0,16.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,65+,STATE,HONOLULU,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.984
STATE ONLY,12.0,5.0,17.0,SECOND CALL,65-74,,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,NONE,OVER100K,MODERATE,65+,STATE,HONOLULU,60+,60+,DEMOCRAT,65+,NONE,,,1.127
STATE ONLY,12.0,5.0,18.0,SECOND CALL,50-59,WHITE,MALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,CATHOLIC,50-75K,MODERATE,18-64,STATE,HONOLULU,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,,,0.724
STATE ONLY,12.0,5.0,19.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,JEWISH,50-75K,LIBERAL,65+,STATE,HONOLULU,60+,60+,DEMOCRAT,65+,JEWISH,,,1.127
STATE ONLY,12.0,5.0,20.0,SECOND CALL,60-64,WHITE,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,75-100K,CONSERV,18-64,STATE,HONOLULU,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,0.971
STATE ONLY,12.0,5.0,21.0,SECOND CALL,75+,ASIAN,,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,OTHERCHRIST,15-30K,MODERATE,65+,STATE,HONOLULU,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.16
STATE ONLY,12.0,5.0,22.0,SECOND CALL,25-29,ASIAN,MALE,BUSH,AKAKA,APPROVE,FAVORABLE,BUSH,CLINTON,BETTER,APP/FAV,INDEPEND,OTHERCHRIST,OVER100K,MODERATE,18-64,STATE,HONOLULU,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,,,0.726
STATE ONLY,12.0,5.0,23.0,SECOND CALL,65-74,ASIAN,MALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,PROTESTANT,50-75K,MODERATE,65+,STATE,HONOLULU,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.16
STATE ONLY,12.0,5.0,24.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,,APPROVE,UNFAVORABLE,GORE,NOVOTE,WORSE,APP/UNFAV,REPUBLCN,PROTESTANT,30-50K,MODERATE,18-64,STATE,HONOLULU,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.835
STATE ONLY,12.0,5.0,25.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,CARROLL,APPROVE,FAVORABLE,WOULDNOTVOTE,CLINTON,BETTER,APP/FAV,DEMOCRAT,CATHOLIC,50-75K,MODERATE,65+,STATE,HONOLULU,60+,60+,DEMOCRAT,65+,CATHOLIC,,,1.218
STATE ONLY,12.0,5.0,26.0,SECOND CALL,30-39,ASIAN,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,NONE,50-75K,LIBERAL,18-64,STATE,HONOLULU,30-44,30-39,DEMOCRAT,30-39,NONE,,,0.806
STATE ONLY,12.0,5.0,27.0,SECOND CALL,25-29,OTHER,FEMALE,BUSH,AKAKA,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,CATHOLIC,50-75K,MODERATE,18-64,STATE,HONOLULU,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,0.706
STATE ONLY,12.0,5.0,28.0,SECOND CALL,18-24,,MALE,BUSH,AKAKA,APPROVE,FAVORABLE,BUSH,NOVOTE,SAME,APP/FAV,ELSE,CATHOLIC,75-100K,MODERATE,18-64,STATE,HONOLULU,18-29,18-24,IND/OTHER,18-24,CATHOLIC,,,0.726
STATE ONLY,12.0,5.0,29.0,SECOND CALL,50-59,ASIAN,FEMALE,BUSH,AKAKA,DISAPPR,UNFAVORABLE,BUSH,CLINTON,SAME,DIS/UNFAV,REPUBLCN,CATHOLIC,75-100K,CONSERV,18-64,STATE,HONOLULU,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,,,0.65
STATE ONLY,12.0,5.0,30.0,SECOND CALL,60-64,WHITE,MALE,BUSH,CARROLL,APPROVE,UNFAVORABLE,BUSH,CLINTON,WORSE,APP/UNFAV,REPUBLCN,PROTESTANT,30-50K,MODERATE,18-64,STATE,HONOLULU,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,1.0110000000000001
STATE ONLY,12.0,5.0,31.0,SECOND CALL,45-49,OTHER,MALE,BUSH,CARROLL,APPROVE,UNFAVORABLE,BUSH,CLINTON,WORSE,APP/UNFAV,REPUBLCN,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,HONOLULU,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.724
STATE ONLY,12.0,5.0,32.0,SECOND CALL,50-59,ASIAN,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,ELSE,50-75K,CONSERV,18-64,STATE,HONOLULU,45-59,50-59,DEMOCRAT,50-64,OTHER,,,0.806
STATE ONLY,12.0,5.0,33.0,SECOND CALL,50-59,WHITE,MALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,OVER100K,MODERATE,18-64,STATE,HONOLULU,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.724
STATE ONLY,12.0,5.0,34.0,SECOND CALL,18-24,WHITE,MALE,BUSH,CARROLL,APPROVE,FAVORABLE,BUSH,NOVOTE,SAME,APP/FAV,DEMOCRAT,NONE,75-100K,LIBERAL,18-64,STATE,HONOLULU,18-29,18-24,DEMOCRAT,18-24,NONE,,,0.784
STATE ONLY,12.0,5.0,35.0,SECOND CALL,75+,OTHER,MALE,BUSH,AKAKA,APPROVE,OMITS,BUSH,DOLE,SAME,OMITS,REPUBLCN,CATHOLIC,30-50K,MODERATE,65+,STATE,HONOLULU,60+,60+,REPUBLICAN,65+,CATHOLIC,,,0.936
STATE ONLY,12.0,5.0,36.0,SECOND CALL,65-74,OTHER,MALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,NONE,50-75K,MODERATE,65+,STATE,HONOLULU,60+,60+,DEMOCRAT,65+,NONE,,,1.16
STATE ONLY,12.0,5.0,37.0,SECOND CALL,50-59,WHITE,MALE,OTHER,OTHER,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,ELSE,OVER100K,LIBERAL,18-64,STATE,HONOLULU,45-59,50-59,DEMOCRAT,50-64,OTHER,,,1.733
STATE ONLY,12.0,5.0,38.0,SECOND CALL,75+,ASIAN,MALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,PROTESTANT,30-50K,MODERATE,65+,STATE,HONOLULU,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.16
STATE ONLY,12.0,5.0,39.0,SECOND CALL,60-64,OTHER,MALE,BUSH,AKAKA,APPROVE,FAVORABLE,BUSH,CLINTON,SAME,APP/FAV,INDEPEND,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,HONOLULU,60+,60+,IND/OTHER,50-64,PROT/CHRIST,,,0.936
STATE ONLY,12.0,5.0,40.0,SECOND CALL,65-74,OTHER,MALE,GORE,AKAKA,DISAPPR,UNFAVORABLE,GORE,CLINTON,BETTER,DIS/UNFAV,DEMOCRAT,OTHERCHRIST,30-50K,MODERATE,65+,STATE,HONOLULU,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.16
STATE ONLY,12.0,5.0,41.0,SECOND CALL,65-74,ASIAN,MALE,GORE,,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,PROTESTANT,30-50K,MODERATE,65+,STATE,HONOLULU,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.202
STATE ONLY,12.0,5.0,42.0,SECOND CALL,45-49,OTHER,FEMALE,BUSH,AKAKA,DISAPPR,FAVORABLE,BUSH,CLINTON,BETTER,DIS/FAV,REPUBLCN,ELSE,15-30K,LIBERAL,18-64,STATE,HONOLULU,45-59,40-49,REPUBLICAN,40-49,OTHER,,,0.65
STATE ONLY,12.0,5.0,43.0,SECOND CALL,50-59,OTHER,FEMALE,NADER,AKAKA,APPROVE,UNFAVORABLE,GORE,CLINTON,SAME,APP/UNFAV,DEMOCRAT,CATHOLIC,OVER100K,LIBERAL,18-64,STATE,HONOLULU,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.612
STATE ONLY,12.0,5.0,44.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,CATHOLIC,50-75K,MODERATE,18-64,STATE,HONOLULU,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.806
STATE ONLY,12.0,5.0,45.0,SECOND CALL,65-74,ASIAN,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,CATHOLIC,15-30K,MODERATE,65+,STATE,HONOLULU,60+,60+,DEMOCRAT,65+,CATHOLIC,,,1.127
STATE ONLY,12.0,5.0,46.0,SECOND CALL,65-74,OTHER,FEMALE,BUSH,AKAKA,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,CONSERV,65+,STATE,HONOLULU,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.91
STATE ONLY,12.0,5.0,47.0,SECOND CALL,30-39,ASIAN,MALE,GORE,AKAKA,APPROVE,OMITS,GORE,CLINTON,SAME,OMITS,DEMOCRAT,NONE,50-75K,MODERATE,18-64,STATE,HONOLULU,30-44,30-39,DEMOCRAT,30-39,NONE,,,0.8290000000000001
STATE ONLY,12.0,5.0,48.0,SECOND CALL,50-59,ASIAN,FEMALE,NADER,,DISAPPR,UNFAVORABLE,GORE,OMITS,SAME,DIS/UNFAV,INDEPEND,NONE,15-30K,MODERATE,18-64,STATE,HONOLULU,45-59,50-59,IND/OTHER,50-64,NONE,,,0.635
STATE ONLY,12.0,5.0,49.0,THIRD CALL,25-29,ASIAN,MALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,50-75K,LIBERAL,18-64,STATE,HONOLULU,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,0.897
STATE ONLY,12.0,5.0,50.0,THIRD CALL,30-39,ASIAN,MALE,BUSH,AKAKA,DISAPPR,UNFAVORABLE,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,HONOLULU,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.67
STATE ONLY,12.0,5.0,51.0,THIRD CALL,18-24,ASIAN,MALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,WORSE,APP/FAV,DEMOCRAT,OTHERCHRIST,75-100K,CONSERV,18-64,STATE,HONOLULU,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,0.897
STATE ONLY,12.0,5.0,52.0,THIRD CALL,45-49,ASIAN,MALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,NOVOTE,WORSE,APP/FAV,INDEPEND,ELSE,50-75K,LIBERAL,18-64,STATE,HONOLULU,45-59,40-49,IND/OTHER,40-49,OTHER,,,0.8290000000000001
STATE ONLY,12.0,5.0,53.0,THIRD CALL,18-24,ASIAN,MALE,BUSH,AKAKA,APPROVE,UNFAVORABLE,BUSH,CLINTON,WORSE,APP/UNFAV,INDEPEND,OTHERCHRIST,LESS15K,CONSERV,18-64,STATE,HONOLULU,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,0.726
STATE ONLY,12.0,5.0,54.0,THIRD CALL,60-64,WHITE,MALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,NONE,OVER100K,LIBERAL,18-64,STATE,HONOLULU,60+,60+,DEMOCRAT,50-64,NONE,,,1.16
STATE ONLY,12.0,5.0,55.0,THIRD CALL,65-74,OTHER,FEMALE,BUSH,AKAKA,APPROVE,UNFAVORABLE,BUSH,DOLE,WORSE,APP/UNFAV,INDEPEND,OTHERCHRIST,LESS15K,MODERATE,65+,STATE,HONOLULU,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,0.91
STATE ONLY,12.0,5.0,56.0,THIRD CALL,40-44,ASIAN,MALE,BUSH,CARROLL,APPROVE,FAVORABLE,BUSH,DOLE,WORSE,APP/FAV,REPUBLCN,NONE,30-50K,MODERATE,18-64,STATE,HONOLULU,30-44,40-49,REPUBLICAN,40-49,NONE,,,0.724
STATE ONLY,12.0,5.0,57.0,THIRD CALL,30-39,ASIAN,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,ELSE,NONE,30-50K,LIBERAL,18-64,STATE,HONOLULU,30-44,30-39,IND/OTHER,30-39,NONE,,,0.806
STATE ONLY,12.0,5.0,58.0,THIRD CALL,30-39,ASIAN,MALE,BUSH,AKAKA,APPROVE,UNFAVORABLE,BUSH,CLINTON,SAME,APP/UNFAV,INDEPEND,CATHOLIC,75-100K,CONSERV,18-64,STATE,HONOLULU,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.67
STATE ONLY,12.0,5.0,59.0,THIRD CALL,30-39,ASIAN,FEMALE,BUSH,AKAKA,OMITS,UNFAVORABLE,BUSH,NOVOTE,SAME,OMITS,INDEPEND,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,HONOLULU,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.65
STATE ONLY,12.0,5.0,60.0,THIRD CALL,30-39,ASIAN,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,NONE,75-100K,MODERATE,18-64,STATE,HONOLULU,30-44,30-39,DEMOCRAT,30-39,NONE,,,0.806
STATE ONLY,12.0,5.0,61.0,THIRD CALL,30-39,OTHER,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,CATHOLIC,75-100K,MODERATE,18-64,STATE,HONOLULU,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.806
STATE ONLY,12.0,5.0,62.0,THIRD CALL,50-59,ASIAN,MALE,BUSH,AKAKA,DISAPPR,OMITS,BUSH,DOLE,BETTER,OMITS,DEMOCRAT,ELSE,OVER100K,LIBERAL,18-64,STATE,HONOLULU,45-59,50-59,DEMOCRAT,50-64,OTHER,,,0.67
STATE ONLY,12.0,5.0,63.0,THIRD CALL,50-59,ASIAN,MALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,NOVOTE,SAME,APP/FAV,DEMOCRAT,NONE,75-100K,CONSERV,18-64,STATE,HONOLULU,45-59,50-59,DEMOCRAT,50-64,NONE,,,0.8290000000000001
STATE ONLY,12.0,5.0,64.0,THIRD CALL,50-59,ASIAN,MALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,INDEPEND,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,HONOLULU,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.724
