VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,TIME,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,RELRIGHT,X6VOTE,UNION4,UNFAIR,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,TRACK,PRESKNOW,THOMPSON,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,50.0,8.0,11.0,SECOND CALL,40-44,WHITE,MALE,GORE,KOHL,LAST.MONTH,APPROVE,UNFAVORABLE,GORE,LESS,SUBURBS,WORLDAFFAIRS,COMPLEXISSUE,NO,CLINTON,NONE,BOTHDID,BETTER,APP/UNFAV,YES,DEMOCRAT,SUBURBS,HSGRAD,ELSE,ONCEAWEEK,75-100K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHCITIES,30-44,40-49,DEMOCRAT,40-49,OTHER,,NEITHER,DISAPPR,BOTH,ISSUES,,,0.852
STATE ONLY,50.0,8.0,12.0,SECOND CALL,40-44,WHITE,MALE,GORE,KOHL,LAST.3DAYS,OMITS,OMITS,OMITS,MORE,SUBURBS,TAXES,COMPLEXISSUE,OMITS,OMITS,NONE,BOTHDID,OMITS,,,,SUBURBS,,,OMITS,,,,,18-64,OMITS,STATE,NOTCOMPLETE,SOUTHCITIES,30-44,40-49,,40-49,,,OMITS,DISAPPR,OMITS,OMITS,,,0.852
STATE ONLY,50.0,8.0,13.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,KOHL,BEFORE,APPROVE,FAVORABLE,GORE,OMITS,SUBURBS,HEALTHCARE,OMITS,OMITS,CLINTON,ME,OMITS,SAME,APP/FAV,YES,DEMOCRAT,SUBURBS,HSGRAD,NONE,NEVER,15-30K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHCITIES,30-44,40-49,DEMOCRAT,40-49,NONE,,ONLYGORE,OMITS,ONLYBUSH,ISSUES,,,0.793
STATE ONLY,50.0,8.0,14.0,SECOND CALL,30-39,WHITE,MALE,BUSH,KOHL,LAST.MONTH,APPROVE,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,STRONGLEADER,NO,DOLE,NONE,BOTHDID,SAME,APP/UNFAV,YES,REPUBLCN,SUBURBS,POSTGRAD,PROTESTANT,AFEWAYEAR,30-50K,NO,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHCITIES,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,BOTH,APPROVE,NEITHER,PERSONALQUAL,,,0.764
STATE ONLY,50.0,8.0,15.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,,LASTWEEK,APPROVE,OMITS,GORE,OMITS,SUBURBS,OMITS,COMPLEXISSUE,NO,CLINTON,ME,OMITS,BETTER,OMITS,NO,,SUBURBS,POSTGRAD,NONE,NEVER,OVER100K,YES,YES,LIBERAL,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHCITIES,18-29,25-29,,25-29,NONE,,ONLYGORE,DISAPPR,BOTH,ISSUES,,,0.922
STATE ONLY,50.0,8.0,16.0,SECOND CALL,30-39,WHITE,MALE,GORE,KOHL,LAST.MONTH,APPROVE,UNFAVORABLE,GORE,LESS,SUBURBS,ECON/JOBS,COMPLEXISSUE,NO,CLINTON,NONE,BOTHDID,SAME,APP/UNFAV,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,PROTESTANT,AFEWAMONTH,30-50K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHCITIES,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,ONLYGORE,DISAPPR,BOTH,ISSUES,,,0.852
STATE ONLY,50.0,8.0,17.0,SECOND CALL,50-59,WHITE,MALE,BUSH,GILLESPIE,BEFORE,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,OMITS,STRONGLEADER,NO,PEROT,NONE,NEITHERDID,WORSE,DIS/UNFAV,YES,INDEPEND,SUBURBS,HSGRAD,PROTESTANT,AFEWAYEAR,75-100K,NO,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHCITIES,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,ONLYBUSH,APPROVE,BOTH,PERSONALQUAL,,,0.7000000000000001
STATE ONLY,50.0,8.0,18.0,SECOND CALL,25-29,WHITE,MALE,BUSH,KOHL,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,ECON/JOBS,HONEST,NO,PEROT,NONE,BOTHDID,WORSE,DIS/UNFAV,YES,REPUBLCN,SUBURBS,POSTGRAD,PROTESTANT,AFEWAMONTH,30-50K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHCITIES,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,BOTH,APPROVE,ONLYGORE,ISSUES,,,0.917
STATE ONLY,50.0,8.0,19.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,KOHL,LAST.3DAYS,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,EXPERIENCE,NO,NOVOTE,ME,NEITHERDID,BETTER,APP/UNFAV,YES,INDEPEND,SUBURBS,SOMCOL/ASSOC,PROTESTANT,AFEWAMONTH,30-50K,NO,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHCITIES,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,ONLYGORE,APPROVE,ONLYBUSH,ISSUES,,,0.793
STATE ONLY,50.0,8.0,20.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,NO,NOVOTE,ME,BUSHDID,BETTER,DIS/UNFAV,YES,REPUBLCN,SUBURBS,COLGRAD,OTHERCHRIST,ONCEAWEEK,OVER100K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHCITIES,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,BOTH,APPROVE,ONLYBUSH,ISSUES,,,0.6920000000000001
STATE ONLY,50.0,8.0,21.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,KOHL,BEFORE,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,HEALTHCARE,CARES,NO,CLINTON,SOMEONEELSE,BOTHDID,BETTER,APP/FAV,NO,DEMOCRAT,SUBURBS,COLGRAD,ELSE,AFEWAYEAR,50-75K,NO,NO,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHCITIES,45-59,50-59,DEMOCRAT,50-64,OTHER,,ONLYGORE,DISAPPR,BOTH,ISSUES,,,0.793
STATE ONLY,50.0,8.0,22.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,GILLESPIE,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,OMITS,HONEST,YES,DOLE,NONE,GOREDID,SAME,DIS/UNFAV,NO,REPUBLCN,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,30-50K,YES,NO,CONSERV,18-64,OMITS,STATE,COMPLETE,SOUTHCITIES,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,ONLYBUSH,APPROVE,ONLYGORE,ISSUES,,,0.654
STATE ONLY,50.0,8.0,23.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,GILLESPIE,LAST.3DAYS,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,OMITS,NO,CLINTON,MEANDSOMEONE,BOTHDID,SAME,APP/FAV,YES,INDEPEND,SUBURBS,HSGRAD,ELSE,NEVER,30-50K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHCITIES,30-44,30-39,IND/OTHER,30-39,OTHER,,NEITHER,DISAPPR,BOTH,ISSUES,,,0.726
STATE ONLY,50.0,8.0,24.0,THIRD CALL,30-39,ASIAN,MALE,GORE,KOHL,BEFORE,APPROVE,UNFAVORABLE,GORE,OMITS,SUBURBS,WORLDAFFAIRS,COMPLEXISSUE,NO,CLINTON,NONE,NEITHERDID,BETTER,APP/UNFAV,YES,ELSE,SUBURBS,POSTGRAD,PROTESTANT,AFEWAYEAR,OVER100K,YES,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHCITIES,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,ONLYGORE,DISAPPR,NEITHER,ISSUES,,,0.852
STATE ONLY,50.0,8.0,25.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,GILLESPIE,LAST.3DAYS,OMITS,OMITS,OMITS,MORE,SUBURBS,ECON/JOBS,HONEST,NO,OMITS,,OMITS,OMITS,OMITS,,,SUBURBS,,,OMITS,,,,,18-64,OMITS,STATE,COMPLETE,SOUTHCITIES,30-44,40-49,,40-49,,,OMITS,APPROVE,BOTH,OMITS,,,0.654
STATE ONLY,50.0,8.0,26.0,THIRD CALL,40-44,WHITE,MALE,GORE,KOHL,LAST.MONTH,APPROVE,UNFAVORABLE,GORE,LESS,SUBURBS,WORLDAFFAIRS,COMPLEXISSUE,NO,CLINTON,NONE,BOTHDID,BETTER,APP/UNFAV,YES,DEMOCRAT,SUBURBS,HSGRAD,ELSE,ONCEAWEEK,75-100K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHCITIES,30-44,40-49,DEMOCRAT,40-49,OTHER,,NEITHER,DISAPPR,BOTH,ISSUES,,,0.852
STATE ONLY,50.0,8.0,27.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,GILLESPIE,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,OMITS,HONEST,YES,DOLE,SOMEONEELSE,BOTHDID,BETTER,DIS/UNFAV,YES,REPUBLCN,SUBURBS,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHCITIES,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,BOTH,APPROVE,ONLYGORE,PERSONALQUAL,,,0.654
STATE ONLY,50.0,8.0,28.0,THIRD CALL,18-24,WHITE,MALE,GORE,KOHL,BEFORE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,CARES,NO,NOVOTE,SOMEONEELSE,BOTHDID,BETTER,APP/FAV,NO,DEMOCRAT,SUBURBS,NOHS,CATHOLIC,AFEWAMONTH,,NO,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHCITIES,18-29,18-24,DEMOCRAT,18-24,CATHOLIC,,ONLYGORE,DISAPPR,BOTH,PERSONALQUAL,,,1.0190000000000001
STATE ONLY,50.0,8.0,29.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,GILLESPIE,LAST.3DAYS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,OMITS,OMITS,OMITS,DOLE,NONE,BOTHDID,SAME,DIS/UNFAV,YES,INDEPEND,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,75-100K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHCITIES,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,NEITHER,DISAPPR,BOTH,ISSUES,,,0.654
NATIONAL WHITE,50.0,9.0,1.0,FIRST CALL,65-74,WHITE,MALE,BUSH,GILLESPIE,,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,SOCIALSECUR,HONEST,NO,DOLE,NONE,,SAME,DIS/UNFAV,NO,REPUBLCN,SUBURBS,,PROTESTANT,ONCEAWEEK,30-50K,YES,NO,CONSERV,65+,,NATIONAL,COMPLETE,SOUTHCITIES,60+,60+,REPUBLICAN,65+,PROT/CHRIST,WRONGTRACK,,,,ISSUES,,,0.673
NATIONAL WHITE,50.0,9.0,2.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,KOHL,,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,EDUCATION,HONEST,NO,CLINTON,NONE,,BETTER,APP/FAV,NO,DEMOCRAT,SUBURBS,POSTGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,YES,LIBERAL,18-64,,NATIONAL,COMPLETE,SOUTHCITIES,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,RIGHTDIR,,,,ISSUES,,,0.646
NATIONAL WHITE,50.0,9.0,3.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,KOHL,,APPROVE,UNFAVORABLE,BUSH,LESS,SUBURBS,HEALTHCARE,CARES,NO,CLINTON,ME,,WORSE,APP/UNFAV,NO,REPUBLCN,SUBURBS,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,30-50K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,SOUTHCITIES,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,WRONGTRACK,,,,ISSUES,,,0.582
NATIONAL WHITE,50.0,9.0,4.0,FIRST CALL,40-44,WHITE,MALE,GORE,KOHL,,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,EDUCATION,COMPLEXISSUE,NO,CLINTON,NONE,,BETTER,APP/UNFAV,YES,DEMOCRAT,SUBURBS,POSTGRAD,PROTESTANT,AFEWAMONTH,OVER100K,YES,YES,LIBERAL,18-64,,NATIONAL,COMPLETE,SOUTHCITIES,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,RIGHTDIR,,,,ISSUES,,,0.6910000000000001
NATIONAL YELLOW,50.0,9.0,5.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,KOHL,,OMITS,OMITS,OMITS,MORE,SUBURBS,SOCIALSECUR,EXPERIENCE,NO,OMITS,NONE,,OMITS,,YES,,SUBURBS,,,OMITS,,,,,18-64,,NATIONAL,NOTCOMPLETE,SOUTHCITIES,30-44,30-39,,30-39,,OMITS,,,,OMITS,SOCIALSECUR,EXPERIENCE,0.646
NATIONAL YELLOW,50.0,9.0,6.0,FIRST CALL,65-74,WHITE,MALE,GORE,KOHL,,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,TAXES,EXPERIENCE,NO,CLINTON,NONE,,SAME,APP/FAV,NO,ELSE,SUBURBS,POSTGRAD,CATHOLIC,ONCEAWEEK,,YES,NO,LIBERAL,65+,,NATIONAL,COMPLETE,SOUTHCITIES,60+,60+,IND/OTHER,65+,CATHOLIC,RIGHTDIR,,,,ISSUES,TAXES,EXPERIENCE,0.8160000000000001
NATIONAL YELLOW,50.0,9.0,7.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,KOHL,,DISAPPR,FAVORABLE,GORE,MORE,SUBURBS,SOCIALSECUR,COMPLEXISSUE,NO,CLINTON,NONE,,BETTER,DIS/FAV,YES,DEMOCRAT,SUBURBS,COLGRAD,PROTESTANT,AFEWAMONTH,75-100K,YES,NO,LIBERAL,18-64,,NATIONAL,COMPLETE,SOUTHCITIES,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,RIGHTDIR,,,,ISSUES,SOCIALSECUR,COMPLEXISSUE,0.646
NATIONAL YELLOW,50.0,9.0,8.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,KOHL,,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,OMITS,COMPLEXISSUE,NO,PEROT,SOMEONEELSE,,BETTER,APP/FAV,YES,INDEPEND,SUBURBS,SOMCOL/ASSOC,CATHOLIC,NEVER,75-100K,YES,NO,MODERATE,18-64,,NATIONAL,COMPLETE,SOUTHCITIES,45-59,50-59,IND/OTHER,50-64,CATHOLIC,WRONGTRACK,,,,PERSONALQUAL,OMITS,COMPLEXISSUE,0.646
NATIONAL GREY,50.0,9.0,9.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,GILLESPIE,LAST.MONTH,,,,,SUBURBS,,,,,,BOTHDID,,,,DEMOCRAT,SUBURBS,HSGRAD,,,30-50K,,,MODERATE,65+,REDUCNATDEBT,NATIONAL,COMPLETE,SOUTHCITIES,60+,60+,DEMOCRAT,65+,,,BOTH,,BOTH,,,,0.626
NATIONAL GREY,50.0,9.0,10.0,FIRST CALL,40-44,WHITE,MALE,BUSH,GILLESPIE,LAST.3DAYS,,,,,SUBURBS,,,,,,BOTHDID,,,,INDEPEND,SUBURBS,SOMCOL/ASSOC,,,30-50K,,,MODERATE,18-64,OMITS,NATIONAL,COMPLETE,SOUTHCITIES,30-44,40-49,IND/OTHER,40-49,,,NEITHER,,ONLYGORE,,,,0.5710000000000001
NATIONAL GREY,50.0,9.0,11.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,KOHL,LAST.MONTH,,,,,SUBURBS,,,,,,BOTHDID,,,,INDEPEND,SUBURBS,COLGRAD,,,15-30K,,,MODERATE,18-64,REDUCNATDEBT,NATIONAL,COMPLETE,SOUTHCITIES,30-44,30-39,IND/OTHER,30-39,,,BOTH,,BOTH,,,,0.582
NATIONAL GREY,50.0,9.0,12.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,KOHL,BEFORE,,,,,SUBURBS,,,,,,BOTHDID,,,,DEMOCRAT,SUBURBS,POSTGRAD,,,OVER100K,,,MODERATE,18-64,REDUCNATDEBT,NATIONAL,COMPLETE,SOUTHCITIES,30-44,40-49,DEMOCRAT,40-49,,,ONLYGORE,,NEITHER,,,,0.646
NATIONAL PINK,50.0,9.0,13.0,FIRST CALL,65-74,WHITE,MALE,BUSH,GILLESPIE,,,,,,SUBURBS,,,NO,,NONE,,,,NO,REPUBLCN,SUBURBS,,PROTESTANT,,OVER100K,YES,NO,CONSERV,65+,,NATIONAL,COMPLETE,SOUTHCITIES,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,,,,,,0.673
NATIONAL PINK,50.0,9.0,14.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,KOHL,,,,,,SUBURBS,,,YES,,NONE,,,,NO,DEMOCRAT,SUBURBS,,CATHOLIC,,15-30K,YES,NO,MODERATE,65+,,NATIONAL,COMPLETE,SOUTHCITIES,60+,60+,DEMOCRAT,65+,CATHOLIC,,,,,,,,0.761
NATIONAL PINK,50.0,9.0,15.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,KOHL,,,,,,SUBURBS,,,NO,,NONE,,,,YES,DEMOCRAT,SUBURBS,,PROTESTANT,,,NO,NO,LIBERAL,18-64,,NATIONAL,COMPLETE,SOUTHCITIES,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,,,,,,0.761
NATIONAL PINK,50.0,9.0,16.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,GILLESPIE,,,,,,SUBURBS,,,NO,,NONE,,,,YES,,SUBURBS,,,,,,,,18-64,,NATIONAL,NOTCOMPLETE,SOUTHCITIES,45-59,40-49,,40-49,,,,,,,,,0.532
NATIONAL WHITE,50.0,9.0,17.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,KOHL,,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,OMITS,EXPERIENCE,NO,CLINTON,NONE,,WORSE,APP/FAV,YES,REPUBLCN,SUBURBS,HSGRAD,CATHOLIC,ONCEAWEEK,,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,SOUTHCITIES,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,RIGHTDIR,,,,ISSUES,,,0.646
NATIONAL WHITE,50.0,9.0,18.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,KOHL,,APPROVE,UNFAVORABLE,GORE,OMITS,SUBURBS,HEALTHCARE,GOODJUDGMENT,NO,DOLE,,,SAME,APP/UNFAV,NO,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,50-75K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,SOUTHCITIES,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,RIGHTDIR,,,,ISSUES,,,0.646
NATIONAL WHITE,50.0,9.0,19.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,KOHL,,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,ECON/JOBS,EXPERIENCE,NO,CLINTON,NONE,,BETTER,APP/FAV,YES,DEMOCRAT,SUBURBS,COLGRAD,CATHOLIC,AFEWAYEAR,50-75K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,SOUTHCITIES,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,RIGHTDIR,,,,ISSUES,,,0.646
NATIONAL YELLOW,50.0,9.0,20.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,KOHL,,APPROVE,UNFAVORABLE,GORE,LESS,SUBURBS,OMITS,EXPERIENCE,NO,CLINTON,NONE,,BETTER,APP/UNFAV,NO,INDEPEND,SUBURBS,COLGRAD,OTHERCHRIST,MORETHAN1AWK,75-100K,YES,NO,MODERATE,18-64,,NATIONAL,COMPLETE,SOUTHCITIES,60+,60+,IND/OTHER,50-64,PROT/CHRIST,WRONGTRACK,,,,ISSUES,OMITS,EXPERIENCE,0.761
NATIONAL YELLOW,50.0,9.0,21.0,SECOND CALL,30-39,WHITE,MALE,BUSH,KOHL,,APPROVE,FAVORABLE,BUSH,LESS,SUBURBS,TAXES,GOODJUDGMENT,NO,NOVOTE,NONE,,SAME,APP/FAV,YES,DEMOCRAT,SUBURBS,HSGRAD,CATHOLIC,AFEWAMONTH,15-30K,NO,NO,MODERATE,18-64,,NATIONAL,COMPLETE,SOUTHCITIES,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,RIGHTDIR,,,,ISSUES,TAXES,GOODJUDGMENT,0.623
NATIONAL YELLOW,50.0,9.0,22.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,KOHL,,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,SOCIALSECUR,COMPLEXISSUE,NO,CLINTON,NONE,,SAME,APP/FAV,NO,DEMOCRAT,SUBURBS,HSGRAD,PROTESTANT,ONCEAWEEK,OVER100K,YES,NO,MODERATE,18-64,,NATIONAL,COMPLETE,SOUTHCITIES,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,RIGHTDIR,,,,ISSUES,SOCIALSECUR,COMPLEXISSUE,0.646
NATIONAL GREY,50.0,9.0,23.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,KOHL,BEFORE,,,,,SUBURBS,,,,,,BOTHDID,,,,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,,,OVER100K,,,MODERATE,18-64,SOCIALSECURI,NATIONAL,COMPLETE,SOUTHCITIES,30-44,40-49,DEMOCRAT,40-49,,,BOTH,,BOTH,,,,0.646
NATIONAL GREY,50.0,9.0,24.0,SECOND CALL,18-24,WHITE,MALE,BUSH,KOHL,LAST.3DAYS,,,,,SUBURBS,,,,,,GOREDID,,,,REPUBLCN,SUBURBS,SOMCOL/ASSOC,,,15-30K,,,MODERATE,18-64,CUTFEDINCTAX,NATIONAL,COMPLETE,SOUTHCITIES,18-29,18-24,REPUBLICAN,18-24,,,ONLYBUSH,,ONLYBUSH,,,,0.747
NATIONAL GREY,50.0,9.0,25.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,KOHL,LAST.MONTH,,,,,SUBURBS,,,,,,BOTHDID,,,,INDEPEND,SUBURBS,SOMCOL/ASSOC,,,50-75K,,,MODERATE,18-64,CUTFEDINCTAX,NATIONAL,COMPLETE,SOUTHCITIES,30-44,30-39,IND/OTHER,30-39,,,ONLYGORE,,ONLYBUSH,,,,0.646
NATIONAL PINK,50.0,9.0,26.0,SECOND CALL,50-59,WHITE,MALE,NADER,KOHL,,,,,,SUBURBS,,,NO,,NONE,,,,YES,INDEPEND,SUBURBS,,PROTESTANT,,75-100K,YES,NO,MODERATE,18-64,,NATIONAL,COMPLETE,SOUTHCITIES,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,,,,,,0.651
NATIONAL PINK,50.0,9.0,27.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,KOHL,,,,,,SUBURBS,,,NO,,ME,,,,NO,INDEPEND,SUBURBS,,NONE,,50-75K,YES,YES,LIBERAL,18-64,,NATIONAL,COMPLETE,SOUTHCITIES,30-44,30-39,IND/OTHER,30-39,NONE,,,,,,,,0.646
NATIONAL PINK,50.0,9.0,28.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,,,,,,,SUBURBS,,,NO,,NONE,,,,NO,DEMOCRAT,SUBURBS,,CATHOLIC,,30-50K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,SOUTHCITIES,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,,,,,,0.627
NATIONAL WHITE,50.0,9.0,29.0,THIRD CALL,30-39,WHITE,MALE,BUSH,KOHL,,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,OMITS,OMITS,YES,NOVOTE,NONE,,BETTER,DIS/UNFAV,YES,INDEPEND,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAMONTH,30-50K,NO,YES,MODERATE,18-64,,NATIONAL,COMPLETE,SOUTHCITIES,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,OMITS,,,,ISSUES,,,0.623
NATIONAL WHITE,50.0,9.0,30.0,THIRD CALL,60-64,WHITE,FEMALE,GORE,GILLESPIE,,OMITS,OMITS,OMITS,LESS,SUBURBS,MEDICARE/RX,HONEST,NO,OMITS,NONE,,OMITS,,YES,,SUBURBS,,,OMITS,,,,,18-64,,NATIONAL,NOTCOMPLETE,SOUTHCITIES,60+,60+,,50-64,,OMITS,,,,OMITS,,,0.6960000000000001
NATIONAL WHITE,50.0,9.0,31.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,GILLESPIE,,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,HEALTHCARE,HONEST,YES,DOLE,NONE,,WORSE,DIS/UNFAV,YES,REPUBLCN,SUBURBS,POSTGRAD,PROTESTANT,ONCEAWEEK,,YES,YES,CONSERV,18-64,,NATIONAL,COMPLETE,SOUTHCITIES,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,OMITS,,,,ISSUES,,,0.532
NATIONAL YELLOW,50.0,9.0,32.0,THIRD CALL,40-44,WHITE,MALE,BUSH,GILLESPIE,,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,YES,DOLE,ME,,BETTER,DIS/UNFAV,YES,INDEPEND,SUBURBS,POSTGRAD,OTHERCHRIST,ONCEAWEEK,50-75K,YES,YES,CONSERV,18-64,,NATIONAL,COMPLETE,SOUTHCITIES,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,RIGHTDIR,,,,PERSONALQUAL,TAXES,HONEST,0.5710000000000001
NATIONAL YELLOW,50.0,9.0,33.0,THIRD CALL,60-64,WHITE,MALE,GORE,KOHL,,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,EXPERIENCE,NO,CLINTON,NONE,,BETTER,APP/UNFAV,YES,INDEPEND,SUBURBS,POSTGRAD,PROTESTANT,ONCEAWEEK,OVER100K,YES,NO,LIBERAL,18-64,,NATIONAL,COMPLETE,SOUTHCITIES,60+,60+,IND/OTHER,50-64,PROT/CHRIST,RIGHTDIR,,,,ISSUES,ECON/JOBS,EXPERIENCE,0.8160000000000001
