VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,GOV,CLINTON,BCPERSON,XWAY2000,GOVTDO,ISSUE,RELRIGHT,X6VOTE,FINSIT,JOBPERS,MIGRATNC,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,UNFAIRNC,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
NATIONAL YELLOW,34.0,29.0,26.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,EASLEY,APPROVE,FAVORABLE,BUSH,MORE,SOCIALSECUR,NO,CLINTON,BETTER,APP/FAV,,REPUBLCN,COLGRAD,CATHOLIC,30-50K,MODERATE,18-64,,NATIONAL,COMPLETE,RALEIGH,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,SOCIALSECUR,COMPLEXISSUE,0.8230000000000001
NATIONAL GREY,34.0,29.0,27.0,SECOND CALL,40-44,BLACK,MALE,GORE,EASLEY,,,,,,,,,,,DEMOCRAT,SOMCOL/ASSOC,,,MODERATE,18-64,,NATIONAL,COMPLETE,RALEIGH,30-44,40-49,DEMOCRAT,40-49,,,,0.62
NATIONAL GREY,34.0,29.0,28.0,SECOND CALL,18-24,WHITE,,GORE,EASLEY,,,,,,,,,,,ELSE,HSGRAD,,50-75K,LIBERAL,18-64,,NATIONAL,COMPLETE,RALEIGH,18-29,18-24,IND/OTHER,18-24,,,,0.8310000000000001
NATIONAL GREY,34.0,29.0,29.0,SECOND CALL,18-24,WHITE,MALE,GORE,EASLEY,,,,,,,,,,,DEMOCRAT,COLGRAD,,,,18-64,,NATIONAL,COMPLETE,RALEIGH,18-29,18-24,DEMOCRAT,18-24,,,,0.8310000000000001
NATIONAL GREY,34.0,29.0,30.0,SECOND CALL,18-24,WHITE,MALE,GORE,EASLEY,,,,,,,,,,,DEMOCRAT,HSGRAD,,LESS15K,MODERATE,18-64,,NATIONAL,COMPLETE,RALEIGH,18-29,18-24,DEMOCRAT,18-24,,,,0.8310000000000001
NATIONAL GREY,34.0,29.0,31.0,SECOND CALL,30-39,BLACK,FEMALE,GORE,EASLEY,,,,,,,,,,,DEMOCRAT,NOHS,,,MODERATE,18-64,,NATIONAL,COMPLETE,RALEIGH,30-44,30-39,DEMOCRAT,30-39,,,,0.651
NATIONAL PINK,34.0,29.0,32.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,VINROOT,,,,,,NO,,,,,DEMOCRAT,,CATHOLIC,OVER100K,MODERATE,18-64,,NATIONAL,COMPLETE,RALEIGH,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.2710000000000001
NATIONAL PINK,34.0,29.0,33.0,SECOND CALL,25-29,BLACK,MALE,BUCHANAN,EASLEY,,,,,,YES,,,,,,,,,,18-64,,NATIONAL,NOTCOMPLETE,RALEIGH,18-29,25-29,,25-29,,,,0.137
NATIONAL PINK,34.0,29.0,34.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,EASLEY,,,,,,NO,,,,,DEMOCRAT,,CATHOLIC,OVER100K,MODERATE,18-64,,NATIONAL,COMPLETE,RALEIGH,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,1.2510000000000001
NATIONAL PINK,34.0,29.0,35.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,EASLEY,,,,,,NO,,,,,REPUBLCN,,CATHOLIC,15-30K,LIBERAL,18-64,,NATIONAL,COMPLETE,RALEIGH,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,0.8230000000000001
NATIONAL WHITE,34.0,29.0,36.0,THIRD CALL,30-39,BLACK,MALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,LESS,HEALTHCARE,NO,NOVOTE,BETTER,APP/FAV,,DEMOCRAT,POSTGRAD,ELSE,30-50K,LIBERAL,18-64,,NATIONAL,COMPLETE,RALEIGH,30-44,30-39,DEMOCRAT,30-39,OTHER,,,0.62
NATIONAL WHITE,34.0,29.0,37.0,THIRD CALL,18-24,BLACK,MALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,NO,CLINTON,BETTER,APP/FAV,,DEMOCRAT,COLGRAD,PROTESTANT,15-30K,LIBERAL,18-64,,NATIONAL,COMPLETE,RALEIGH,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,0.657
NATIONAL WHITE,34.0,29.0,38.0,THIRD CALL,25-29,HISP,FEMALE,GORE,EASLEY,APPROVE,UNFAVORABLE,GORE,MORE,ECON/JOBS,NO,CLINTON,BETTER,APP/UNFAV,,INDEPEND,POSTGRAD,CATHOLIC,50-75K,MODERATE,18-64,,NATIONAL,COMPLETE,RALEIGH,18-29,25-29,IND/OTHER,25-29,CATHOLIC,,,0.6900000000000001
NATIONAL YELLOW,34.0,29.0,39.0,THIRD CALL,25-29,BLACK,FEMALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,NO,CLINTON,BETTER,APP/FAV,,DEMOCRAT,POSTGRAD,PROTESTANT,15-30K,MODERATE,18-64,,NATIONAL,COMPLETE,RALEIGH,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,EDUCATION,CARES,0.6900000000000001
NATIONAL YELLOW,34.0,29.0,40.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,NO,CLINTON,SAME,APP/FAV,,DEMOCRAT,COLGRAD,OTHERCHRIST,30-50K,MODERATE,18-64,,NATIONAL,COMPLETE,RALEIGH,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,HEALTHCARE,EXPERIENCE,0.873
NATIONAL YELLOW,34.0,29.0,41.0,THIRD CALL,40-44,BLACK,MALE,GORE,EASLEY,OMITS,OMITS,OMITS,LESS,EDUCATION,YES,OMITS,OMITS,,,,,,,,18-64,,NATIONAL,NOTCOMPLETE,RALEIGH,30-44,40-49,,40-49,,EDUCATION,STRONGLEADER,0.62
NATIONAL GREY,34.0,29.0,42.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,VINROOT,,,,,,,,,,,REPUBLCN,SOMCOL/ASSOC,,OVER100K,MODERATE,18-64,,NATIONAL,COMPLETE,RALEIGH,45-59,50-59,REPUBLICAN,50-64,,,,1.2710000000000001
NATIONAL GREY,34.0,29.0,43.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,EASLEY,,,,,,,,,,,DEMOCRAT,POSTGRAD,,50-75K,MODERATE,18-64,,NATIONAL,COMPLETE,RALEIGH,30-44,30-39,DEMOCRAT,30-39,,,,0.8230000000000001
NATIONAL GREY,34.0,29.0,44.0,THIRD CALL,18-24,WHITE,MALE,BUSH,VINROOT,,,,,,,,,,,REPUBLCN,SOMCOL/ASSOC,,75-100K,CONSERV,18-64,,NATIONAL,COMPLETE,RALEIGH,18-29,18-24,REPUBLICAN,18-24,,,,1.284
NATIONAL PINK,34.0,29.0,45.0,THIRD CALL,25-29,BLACK,MALE,GORE,EASLEY,,,,,,NO,,,,,DEMOCRAT,,OTHERCHRIST,30-50K,LIBERAL,18-64,,NATIONAL,COMPLETE,RALEIGH,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,0.657
NATIONAL PINK,34.0,29.0,46.0,THIRD CALL,25-29,ASIAN,FEMALE,GORE,EASLEY,,,,,,NO,,,,,DEMOCRAT,,NONE,30-50K,LIBERAL,18-64,,NATIONAL,COMPLETE,RALEIGH,18-29,25-29,DEMOCRAT,25-29,NONE,,,0.873
NATIONAL PINK,34.0,29.0,47.0,THIRD CALL,30-39,WHITE,MALE,GORE,EASLEY,,,,,,NO,,,,,DEMOCRAT,,PROTESTANT,15-30K,MODERATE,18-64,,NATIONAL,COMPLETE,RALEIGH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.783
STATE ONLY,34.0,33.0,1.0,FIRST CALL,18-24,WHITE,FEMALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,MORE,EDUCATION,YES,NOVOTE,BETTER,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,75-100K,MODERATE,18-64,NEITHER,STATE,COMPLETE,CENTRALCTYS,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,1.7810000000000001
STATE ONLY,34.0,33.0,2.0,FIRST CALL,40-44,WHITE,MALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,LESS,ECON/JOBS,YES,DOLE,BETTER,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,50-75K,CONSERV,18-64,EASLEY,STATE,COMPLETE,CENTRALCTYS,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.7510000000000001
STATE ONLY,34.0,33.0,3.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,MORE,TAXES,YES,DOLE,BETTER,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,75-100K,CONSERV,18-64,BOTH,STATE,COMPLETE,CENTRALCTYS,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,,,1.596
STATE ONLY,34.0,33.0,4.0,FIRST CALL,30-39,WHITE,,GORE,EASLEY,APPROVE,FAVORABLE,GORE,MORE,MEDICARE/RX,YES,CLINTON,BETTER,APP/FAV,NO,DEMOCRAT,SOMCOL/ASSOC,ELSE,50-75K,CONSERV,18-64,BOTH,STATE,COMPLETE,CENTRALCTYS,30-44,30-39,DEMOCRAT,30-39,OTHER,,,1.296
STATE ONLY,34.0,33.0,5.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,EASLEY,APPROVE,UNFAVORABLE,GORE,MORE,HEALTHCARE,NO,CLINTON,SAME,APP/UNFAV,YES,DEMOCRAT,POSTGRAD,PROTESTANT,LESS15K,LIBERAL,18-64,BOTH,STATE,COMPLETE,CENTRALCTYS,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,1.447
STATE ONLY,34.0,33.0,6.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,NO,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,CONSERV,18-64,BOTH,STATE,COMPLETE,CENTRALCTYS,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.596
STATE ONLY,34.0,33.0,7.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,OMITS,OMITS,HEALTHCARE,YES,DOLE,SAME,DIS/UNFAV,NO,,COLGRAD,,,,18-64,BOTH,STATE,COMPLETE,CENTRALCTYS,45-59,40-49,,40-49,,,,1.596
STATE ONLY,34.0,33.0,8.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,MORE,TAXES,NO,DOLE,BETTER,DIS/UNFAV,YES,INDEPEND,COLGRAD,OTHERCHRIST,30-50K,LIBERAL,18-64,BOTH,STATE,COMPLETE,CENTRALCTYS,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.596
STATE ONLY,34.0,33.0,9.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,LESS,ECON/JOBS,NO,DOLE,WORSE,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,CONSERV,18-64,BOTH,STATE,COMPLETE,CENTRALCTYS,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.596
STATE ONLY,34.0,33.0,10.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,MORE,MEDICARE/RX,YES,CLINTON,BETTER,APP/FAV,NO,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,65+,VINROOT,STATE,COMPLETE,CENTRALCTYS,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.699
STATE ONLY,34.0,33.0,11.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,NO,DOLE,WORSE,DIS/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,65+,EASLEY,STATE,COMPLETE,CENTRALCTYS,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,2.093
STATE ONLY,34.0,33.0,12.0,SECOND CALL,60-64,WHITE,FEMALE,,VINROOT,DISAPPR,UNFAVORABLE,OMITS,LESS,OMITS,YES,DOLE,BETTER,DIS/UNFAV,NO,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,OVER100K,CONSERV,18-64,BOTH,STATE,COMPLETE,CENTRALCTYS,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,1.901
STATE ONLY,34.0,33.0,13.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,LESS,MEDICARE/RX,NO,DOLE,SAME,DIS/UNFAV,NO,INDEPEND,HSGRAD,PROTESTANT,LESS15K,MODERATE,18-64,NEITHER,STATE,COMPLETE,CENTRALCTYS,60+,60+,IND/OTHER,50-64,PROT/CHRIST,,,2.093
STATE ONLY,34.0,33.0,14.0,SECOND CALL,60-64,WHITE,MALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,NO,DOLE,WORSE,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,15-30K,CONSERV,18-64,EASLEY,STATE,COMPLETE,CENTRALCTYS,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,2.2960000000000003
STATE ONLY,34.0,33.0,15.0,SECOND CALL,25-29,BLACK,MALE,GORE,EASLEY,APPROVE,UNFAVORABLE,GORE,MORE,EDUCATION,YES,NOVOTE,SAME,APP/UNFAV,,INDEPEND,HSGRAD,ELSE,50-75K,MODERATE,18-64,NEITHER,STATE,COMPLETE,CENTRALCTYS,18-29,25-29,IND/OTHER,25-29,OTHER,,,1.2630000000000001
STATE ONLY,34.0,33.0,16.0,SECOND CALL,30-39,WHITE,MALE,BUSH,VINROOT,APPROVE,UNFAVORABLE,BUSH,LESS,TAXES,NO,DOLE,BETTER,APP/UNFAV,NO,REPUBLCN,COLGRAD,PROTESTANT,30-50K,CONSERV,18-64,EASLEY,STATE,COMPLETE,CENTRALCTYS,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.7510000000000001
STATE ONLY,34.0,33.0,17.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,EASLEY,APPROVE,UNFAVORABLE,BUSH,LESS,HEALTHCARE,YES,PEROT,BETTER,APP/UNFAV,YES,INDEPEND,COLGRAD,PROTESTANT,50-75K,CONSERV,18-64,VINROOT,STATE,COMPLETE,CENTRALCTYS,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,,,1.752
STATE ONLY,34.0,33.0,18.0,SECOND CALL,65-74,WHITE,,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,NO,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,HSGRAD,OTHERCHRIST,LESS15K,CONSERV,65+,EASLEY,STATE,COMPLETE,CENTRALCTYS,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,2.2960000000000003
STATE ONLY,34.0,33.0,19.0,SECOND CALL,30-39,BLACK,MALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,YES,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,HSGRAD,NONE,75-100K,LIBERAL,18-64,EASLEY,STATE,COMPLETE,CENTRALCTYS,30-44,30-39,DEMOCRAT,30-39,NONE,,,1.131
STATE ONLY,34.0,33.0,20.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,VINROOT,OMITS,OMITS,OMITS,MORE,MEDICARE/RX,YES,OMITS,OMITS,,,,,,,,18-64,BOTH,STATE,NOTCOMPLETE,CENTRALCTYS,45-59,50-59,,50-64,,,,1.596
STATE ONLY,34.0,33.0,21.0,SECOND CALL,50-59,WHITE,MALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,MORE,SOCIALSECUR,YES,DOLE,BETTER,APP/FAV,NO,DEMOCRAT,HSGRAD,PROTESTANT,30-50K,MODERATE,18-64,VINROOT,STATE,COMPLETE,CENTRALCTYS,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.423
STATE ONLY,34.0,33.0,22.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,NO,DEMOCRAT,HSGRAD,NONE,50-75K,LIBERAL,18-64,BOTH,STATE,COMPLETE,CENTRALCTYS,45-59,50-59,DEMOCRAT,50-64,NONE,,,1.296
STATE ONLY,34.0,33.0,23.0,SECOND CALL,25-29,WHITE,MALE,BUSH,OTHER,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,NO,DOLE,BETTER,DIS/UNFAV,NO,ELSE,SOMCOL/ASSOC,PROTESTANT,50-75K,MODERATE,18-64,NEITHER,STATE,COMPLETE,CENTRALCTYS,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,,,1.28
STATE ONLY,34.0,33.0,24.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,EASLEY,DISAPPR,UNFAVORABLE,GORE,LESS,WORLDAFFAIRS,NO,NOVOTE,BETTER,DIS/UNFAV,NO,DEMOCRAT,COLGRAD,PROTESTANT,OVER100K,MODERATE,18-64,NEITHER,STATE,COMPLETE,CENTRALCTYS,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.296
STATE ONLY,34.0,33.0,25.0,THIRD CALL,25-29,WHITE,MALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,NO,NOVOTE,BETTER,DIS/UNFAV,NO,REPUBLCN,COLGRAD,PROTESTANT,50-75K,CONSERV,18-64,BOTH,STATE,COMPLETE,CENTRALCTYS,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,1.954
STATE ONLY,34.0,33.0,26.0,THIRD CALL,40-44,BLACK,MALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,NO,CLINTON,BETTER,APP/FAV,NO,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,VINROOT,STATE,COMPLETE,CENTRALCTYS,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.131
STATE ONLY,34.0,33.0,27.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,OMITS,EDUCATION,NO,OMITS,BETTER,DIS/UNFAV,NO,REPUBLCN,COLGRAD,OTHERCHRIST,75-100K,CONSERV,18-64,OMITS,STATE,COMPLETE,CENTRALCTYS,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,1.7810000000000001
STATE ONLY,34.0,33.0,28.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,EASLEY,APPROVE,UNFAVORABLE,GORE,MORE,EDUCATION,NO,CLINTON,BETTER,APP/UNFAV,NO,DEMOCRAT,COLGRAD,PROTESTANT,50-75K,MODERATE,18-64,BOTH,STATE,COMPLETE,CENTRALCTYS,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,1.447
STATE ONLY,34.0,33.0,29.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,OMITS,EDUCATION,NO,CLINTON,SAME,APP/FAV,NO,DEMOCRAT,COLGRAD,ELSE,30-50K,MODERATE,18-64,BOTH,STATE,COMPLETE,CENTRALCTYS,30-44,30-39,DEMOCRAT,30-39,OTHER,,,1.032
STATE ONLY,34.0,33.0,30.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,LESS,MEDICARE/RX,NO,DOLE,WORSE,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,CONSERV,18-64,NEITHER,STATE,COMPLETE,CENTRALCTYS,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.596
STATE ONLY,34.0,33.0,31.0,THIRD CALL,30-39,BLACK,MALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,COLGRAD,NONE,30-50K,MODERATE,18-64,BOTH,STATE,COMPLETE,CENTRALCTYS,30-44,30-39,DEMOCRAT,30-39,NONE,,,1.131
STATE ONLY,34.0,33.0,32.0,THIRD CALL,18-24,BLACK,MALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,NO,CLINTON,SAME,APP/FAV,NO,DEMOCRAT,COLGRAD,OTHERCHRIST,30-50K,CONSERV,18-64,VINROOT,STATE,COMPLETE,CENTRALCTYS,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,1.2630000000000001
STATE ONLY,34.0,33.0,33.0,THIRD CALL,25-29,BLACK,FEMALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,YES,NOVOTE,SAME,APP/FAV,YES,DEMOCRAT,COLGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,NEITHER,STATE,COMPLETE,CENTRALCTYS,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,1.1500000000000001
STATE ONLY,34.0,33.0,34.0,THIRD CALL,45-49,WHITE,MALE,BUSH,VINROOT,APPROVE,UNFAVORABLE,OMITS,LESS,HEALTHCARE,NO,NOVOTE,BETTER,APP/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,30-50K,CONSERV,18-64,OMITS,STATE,COMPLETE,CENTRALCTYS,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.7510000000000001
STATE ONLY,34.0,33.0,35.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,MORE,ECON/JOBS,YES,DOLE,BETTER,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,CONSERV,18-64,NEITHER,STATE,COMPLETE,CENTRALCTYS,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.596
NATIONAL WHITE,34.0,35.0,1.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,MORE,MEDICARE/RX,NO,CLINTON,BETTER,APP/FAV,,DEMOCRAT,COLGRAD,PROTESTANT,75-100K,MODERATE,18-64,,NATIONAL,COMPLETE,CENTRALCTYS,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.647
NATIONAL WHITE,34.0,35.0,2.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,NO,DOLE,BETTER,DIS/UNFAV,,REPUBLCN,HSGRAD,OTHERCHRIST,75-100K,CONSERV,18-64,,NATIONAL,COMPLETE,CENTRALCTYS,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.795
NATIONAL WHITE,34.0,35.0,3.0,FIRST CALL,50-59,WHITE,MALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,NO,CLINTON,BETTER,APP/FAV,,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,30-50K,MODERATE,18-64,,NATIONAL,COMPLETE,CENTRALCTYS,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.709
NATIONAL YELLOW,34.0,35.0,4.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,MORE,ECON/JOBS,NO,PEROT,BETTER,DIS/UNFAV,,REPUBLCN,HSGRAD,CATHOLIC,50-75K,MODERATE,18-64,,NATIONAL,COMPLETE,CENTRALCTYS,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,ECON/JOBS,EXPERIENCE,0.795
NATIONAL YELLOW,34.0,35.0,5.0,FIRST CALL,30-39,WHITE,MALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,MORE,TAXES,NO,DOLE,SAME,DIS/UNFAV,,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,75-100K,CONSERV,18-64,,NATIONAL,COMPLETE,CENTRALCTYS,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,TAXES,GOODJUDGMENT,0.874
NATIONAL YELLOW,34.0,35.0,6.0,FIRST CALL,40-44,WHITE,MALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,LESS,ECON/JOBS,NO,DOLE,BETTER,DIS/UNFAV,,REPUBLCN,COLGRAD,PROTESTANT,OVER100K,CONSERV,18-64,,NATIONAL,COMPLETE,CENTRALCTYS,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,ECON/JOBS,HONEST,0.874
NATIONAL GREY,34.0,35.0,7.0,FIRST CALL,30-39,WHITE,MALE,BUSH,,,,,,,,,,,,REPUBLCN,COLGRAD,,OVER100K,MODERATE,18-64,,NATIONAL,COMPLETE,CENTRALCTYS,30-44,30-39,REPUBLICAN,30-39,,,,0.861
NATIONAL GREY,34.0,35.0,8.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,VINROOT,,,,,,,,,,,REPUBLCN,HSGRAD,,15-30K,CONSERV,18-64,,NATIONAL,COMPLETE,CENTRALCTYS,45-59,50-59,REPUBLICAN,50-64,,,,0.795
NATIONAL GREY,34.0,35.0,9.0,FIRST CALL,50-59,WHITE,MALE,BUSH,VINROOT,,,,,,,,,,,REPUBLCN,COLGRAD,,75-100K,CONSERV,18-64,,NATIONAL,COMPLETE,CENTRALCTYS,45-59,50-59,REPUBLICAN,50-64,,,,0.874
NATIONAL PINK,34.0,35.0,10.0,FIRST CALL,30-39,BLACK,MALE,GORE,EASLEY,,,,,,NO,,,,,DEMOCRAT,,OTHERCHRIST,50-75K,MODERATE,18-64,,NATIONAL,COMPLETE,CENTRALCTYS,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.5630000000000001
NATIONAL PINK,34.0,35.0,11.0,FIRST CALL,45-49,WHITE,MALE,BUSH,VINROOT,,,,,,NO,,,,,REPUBLCN,,OTHERCHRIST,50-75K,CONSERV,18-64,,NATIONAL,COMPLETE,CENTRALCTYS,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.874
NATIONAL PINK,34.0,35.0,12.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,EASLEY,,,,,,NO,,,,,DEMOCRAT,,PROTESTANT,30-50K,CONSERV,18-64,,NATIONAL,COMPLETE,CENTRALCTYS,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.647
NATIONAL WHITE,34.0,35.0,13.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,EASLEY,APPROVE,FAVORABLE,BUSH,LESS,ECON/JOBS,NO,CLINTON,WORSE,APP/FAV,,REPUBLCN,HSGRAD,PROTESTANT,50-75K,MODERATE,18-64,,NATIONAL,COMPLETE,CENTRALCTYS,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.782
