VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,PROPCA,GOVTDO,SIZEPLC3,ISSUE,QUAL,X6VOTE,UNION4,FINSIT,JOBPERS,WORK,IMMIG,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,TELEPOLL,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,MEXICAN,QRACE,REL5,PRESKNOW,FTVOTER,SAYANY,ISSVQUAL,BORNUSA,VNS1,VNS2,WEIGHT
NATIONAL WHITE,5.0,38.0,14.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,FEINSTEIN,APPROVE,UNFAVORABLE,GORE,,MORE,CITYOVER50K,ECON/JOBS,EXPERIENCE,CLINTON,ME,SAME,APP/UNFAV,NO,,DEMOCRAT,50-500K,POSTGRAD,CATHOLIC,ONCEAWEEK,75-100K,YES,NO,LIBERAL,18-64,,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,CATHOLIC,,NO,,ISSUES,,,,1.165
NATIONAL WHITE,5.0,38.0,15.0,SECOND CALL,60-64,HISP,MALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,,MORE,CITYOVER50K,SOCIALSECUR,CARES,CLINTON,ME,WORSE,APP/FAV,NO,,DEMOCRAT,50-500K,HSGRAD,OTHERCHRIST,AFEWAYEAR,30-50K,YES,NO,MODERATE,18-64,,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,60+,60+,DEMOCRAT,50-64,YES,HISP,PROT/CHRIST,,NO,,PERSONALQUAL,,,,0.974
NATIONAL YELLOW,5.0,38.0,16.0,SECOND CALL,40-44,WHITE,MALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,,MORE,CITYOVER50K,EDUCATION,EXPERIENCE,CLINTON,NONE,BETTER,APP/FAV,YES,,DEMOCRAT,50-500K,HSGRAD,CATHOLIC,NEVER,50-75K,YES,YES,LIBERAL,18-64,,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,30-44,40-49,DEMOCRAT,40-49,NO,WHITE,CATHOLIC,,NO,,ISSUES,,EDUCATION,EXPERIENCE,1.195
NATIONAL YELLOW,5.0,38.0,17.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,CAMPBELL,APPROVE,FAVORABLE,BUSH,,OMITS,CITYOVER50K,EDUCATION,HONEST,CLINTON,MEANDSOMEONE,SAME,APP/FAV,NO,,REPUBLCN,50-500K,COLGRAD,PROTESTANT,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,45-59,40-49,REPUBLICAN,40-49,NO,WHITE,PROT/CHRIST,,NO,,PERSONALQUAL,,EDUCATION,HONEST,1.228
NATIONAL YELLOW,5.0,38.0,18.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,FEINSTEIN,APPROVE,UNFAVORABLE,GORE,,MORE,CITYOVER50K,HEALTHCARE,COMPLEXISSUE,CLINTON,NONE,BETTER,APP/UNFAV,NO,,REPUBLCN,50-500K,HSGRAD,PROTESTANT,NEVER,,YES,NO,MODERATE,18-64,,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,,NO,,ISSUES,,HEALTHCARE,COMPLEXISSUE,1.165
NATIONAL GREY,5.0,38.0,19.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,FEINSTEIN,,,,,,CITYOVER50K,,,,,,,,,DEMOCRAT,50-500K,COLGRAD,,,75-100K,,,MODERATE,18-64,CUTFEDINCTAX,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,,ONLYGORE,,ONLYBUSH,,,,,1.165
NATIONAL GREY,5.0,38.0,20.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,FEINSTEIN,,,,,,CITYOVER50K,,,,,,,,,REPUBLCN,50-500K,SOMCOL/ASSOC,,,OVER100K,,,MODERATE,18-64,SOCIALSECURI,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,,BOTH,,BOTH,,,,,1.127
NATIONAL GREY,5.0,38.0,21.0,SECOND CALL,65-74,WHITE,,,FEINSTEIN,,,,,,CITYOVER50K,,,,,,,,,DEMOCRAT,50-500K,HSGRAD,,,30-50K,,,CONSERV,65+,SOCIALSECURI,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,60+,60+,DEMOCRAT,65+,NO,WHITE,,ONLYGORE,,ONLYBUSH,,,,,1.181
NATIONAL PINK,5.0,38.0,22.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,FEINSTEIN,,,,,,CITYOVER50K,,,,NONE,,,NO,,DEMOCRAT,50-500K,,PROTESTANT,,30-50K,NO,YES,MODERATE,65+,,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,60+,60+,DEMOCRAT,65+,NO,WHITE,PROT/CHRIST,,NO,,,,,,1.212
NATIONAL PINK,5.0,38.0,23.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,CAMPBELL,,,,,,CITYOVER50K,,,,NONE,,,NO,,REPUBLCN,50-500K,,OTHERCHRIST,,75-100K,YES,YES,CONSERV,18-64,,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,,NO,,,,,,1.228
NATIONAL PINK,5.0,38.0,24.0,SECOND CALL,65-74,WHITE,MALE,GORE,FEINSTEIN,,,,,,CITYOVER50K,,,,NONE,,,YES,,REPUBLCN,50-500K,,CATHOLIC,,50-75K,YES,NO,MODERATE,65+,,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,60+,60+,REPUBLICAN,65+,NO,WHITE,CATHOLIC,,NO,,,,,,1.239
NATIONAL WHITE,5.0,38.0,25.0,THIRD CALL,50-59,WHITE,MALE,BUSH,CAMPBELL,DISAPPR,OMITS,BUSH,,LESS,CITYOVER50K,OMITS,HONEST,PEROT,ME,WORSE,OMITS,NO,,INDEPEND,50-500K,HSGRAD,,OMITS,15-30K,YES,YES,MODERATE,18-64,,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,45-59,50-59,IND/OTHER,50-64,NO,WHITE,,,NO,,ISSUES,,,,1.2550000000000001
NATIONAL WHITE,5.0,38.0,26.0,THIRD CALL,50-59,WHITE,MALE,GORE,FEINSTEIN,DISAPPR,UNFAVORABLE,GORE,,LESS,CITYOVER50K,SOCIALSECUR,EXPERIENCE,CLINTON,NONE,BETTER,DIS/UNFAV,YES,,DEMOCRAT,50-500K,SOMCOL/ASSOC,OTHERCHRIST,NEVER,50-75K,YES,NO,LIBERAL,18-64,,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,PROT/CHRIST,,NO,,PERSONALQUAL,,,,1.195
NATIONAL WHITE,5.0,38.0,27.0,THIRD CALL,60-64,WHITE,MALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,,LESS,CITYOVER50K,TAXES,EXPERIENCE,CLINTON,ME,SAME,APP/FAV,YES,,DEMOCRAT,50-500K,SOMCOL/ASSOC,CATHOLIC,AFEWAMONTH,15-30K,NO,NO,CONSERV,18-64,,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,60+,60+,DEMOCRAT,50-64,NO,WHITE,CATHOLIC,,NO,,PERSONALQUAL,,,,1.239
NATIONAL WHITE,5.0,38.0,28.0,THIRD CALL,18-24,ASIAN,FEMALE,NADER,FEINSTEIN,APPROVE,UNFAVORABLE,WOULDNOTVOTE,,MORE,CITYOVER50K,WORLDAFFAIRS,COMPLEXISSUE,NOVOTE,NONE,SAME,APP/UNFAV,NO,,INDEPEND,50-500K,HSGRAD,ELSE,AFEWAMONTH,OVER100K,NO,YES,LIBERAL,18-64,,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,18-29,18-24,IND/OTHER,18-24,NO,ASIAN,OTHER,,YES,,ISSUES,,,,0.715
NATIONAL YELLOW,5.0,38.0,29.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,FEINSTEIN,OMITS,OMITS,GORE,,MORE,CITYOVER50K,ECON/JOBS,OMITS,PEROT,NONE,SAME,OMITS,NO,,INDEPEND,50-500K,COLGRAD,CATHOLIC,AFEWAMONTH,OVER100K,YES,YES,MODERATE,18-64,,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,30-44,30-39,IND/OTHER,30-39,NO,WHITE,CATHOLIC,,NO,,OMITS,,ECON/JOBS,OMITS,1.165
NATIONAL YELLOW,5.0,38.0,30.0,THIRD CALL,18-24,HISP,MALE,BUSH,CAMPBELL,DISAPPR,UNFAVORABLE,BUSH,,MORE,CITYOVER50K,SOCIALSECUR,HONEST,NOVOTE,SOMEONEELSE,SAME,DIS/UNFAV,NO,,REPUBLCN,50-500K,HSGRAD,,ONCEAWEEK,LESS15K,NO,YES,MODERATE,18-64,,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,18-29,18-24,REPUBLICAN,18-24,YES,WHITE,,,YES,,ISSUES,,SOCIALSECUR,HONEST,1.182
NATIONAL YELLOW,5.0,38.0,31.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,FEINSTEIN,APPROVE,UNFAVORABLE,GORE,,MORE,CITYOVER50K,OMITS,CARES,CLINTON,NONE,BETTER,APP/UNFAV,YES,,INDEPEND,50-500K,POSTGRAD,ELSE,NEVER,OVER100K,NO,NO,MODERATE,18-64,,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,30-44,30-39,IND/OTHER,30-39,NO,WHITE,OTHER,,NO,,ISSUES,,OMITS,CARES,1.165
NATIONAL YELLOW,5.0,38.0,32.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,FEINSTEIN,APPROVE,OMITS,GORE,,LESS,CITYOVER50K,TAXES,EXPERIENCE,CLINTON,SOMEONEELSE,BETTER,OMITS,YES,,INDEPEND,50-500K,COLGRAD,NONE,NEVER,75-100K,NO,NO,MODERATE,18-64,,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,30-44,30-39,IND/OTHER,30-39,NO,WHITE,NONE,,NO,,PERSONALQUAL,,TAXES,EXPERIENCE,1.165
NATIONAL GREY,5.0,38.0,33.0,THIRD CALL,75+,WHITE,FEMALE,BUSH,CAMPBELL,,,,,,CITYOVER50K,,,,,,,,,REPUBLCN,50-500K,SOMCOL/ASSOC,,,15-30K,,,MODERATE,65+,CUTFEDINCTAX,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,60+,60+,REPUBLICAN,65+,NO,WHITE,,NEITHER,,BOTH,,,,,1.2750000000000001
NATIONAL GREY,5.0,38.0,34.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,,,,,,,CITYOVER50K,,,,,,,,,REPUBLCN,50-500K,HSGRAD,,,50-75K,,,MODERATE,18-64,OMITS,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,,NEITHER,,BOTH,,,,,1.2550000000000001
NATIONAL GREY,5.0,38.0,35.0,THIRD CALL,65-74,WHITE,MALE,BUSH,CAMPBELL,,,,,,CITYOVER50K,,,,,,,,,REPUBLCN,50-500K,POSTGRAD,,,30-50K,,,CONSERV,65+,CUTFEDINCTAX,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,60+,60+,REPUBLICAN,65+,NO,WHITE,,ONLYBUSH,,ONLYGORE,,,,,1.305
NATIONAL GREY,5.0,38.0,36.0,THIRD CALL,60-64,WHITE,MALE,GORE,FEINSTEIN,,,,,,CITYOVER50K,,,,,,,,,DEMOCRAT,50-500K,HSGRAD,,,15-30K,,,LIBERAL,18-64,SOCIALSECURI,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,60+,60+,DEMOCRAT,50-64,NO,WHITE,,ONLYGORE,,BOTH,,,,,1.239
NATIONAL PINK,5.0,38.0,37.0,THIRD CALL,75+,WHITE,MALE,BUSH,FEINSTEIN,,,,,,CITYOVER50K,,,,NONE,,,NO,,REPUBLCN,50-500K,,PROTESTANT,,15-30K,YES,NO,MODERATE,65+,,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,60+,60+,REPUBLICAN,65+,NO,WHITE,PROT/CHRIST,,NO,,,,,,1.199
NATIONAL PINK,5.0,38.0,38.0,THIRD CALL,40-44,HISP,FEMALE,GORE,FEINSTEIN,,,,,,CITYOVER50K,,,,NONE,,,YES,,DEMOCRAT,50-500K,,NONE,,OVER100K,NO,NO,LIBERAL,18-64,,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,30-44,40-49,DEMOCRAT,40-49,YES,HISP,NONE,,NO,,,,,,0.917
NATIONAL PINK,5.0,38.0,39.0,THIRD CALL,30-39,WHITE,MALE,OTHER,CAMPBELL,,,,,,CITYOVER50K,,,,NONE,,,YES,,ELSE,50-500K,,PROTESTANT,,OVER100K,YES,YES,MODERATE,18-64,,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,30-44,30-39,IND/OTHER,30-39,NO,WHITE,PROT/CHRIST,,NO,,,,,,1.237
NATIONAL PINK,5.0,38.0,40.0,THIRD CALL,45-49,WHITE,MALE,GORE,FEINSTEIN,,,,,,CITYOVER50K,,,,ME,,,YES,,ELSE,50-500K,,ELSE,,OVER100K,NO,NO,LIBERAL,18-64,,EXITPOLL,NATIONAL,COMPLETE,LASUBURBAN,45-59,40-49,IND/OTHER,40-49,NO,WHITE,OTHER,,NO,,,,,,1.195
STATE ONLY,5.0,41.0,1.0,FIRST CALL,25-29,HISP,MALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,YES,LESS,SUBURBS,ECON/JOBS,EXPERIENCE,CLINTON,NONE,BETTER,APP/FAV,YES,STAYSAME,DEMOCRAT,SUBURBS,POSTGRAD,CATHOLIC,ONCEAWEEK,OVER100K,NO,NO,MODERATE,18-64,REDUCNATDEBT,EXITPOLL,STATE,COMPLETE,LASUBURBAN,18-29,25-29,DEMOCRAT,25-29,YES,HISP,CATHOLIC,ONLYGORE,NO,ONLYBUSH,ISSUES,YES,,,0.667
STATE ONLY,5.0,41.0,2.0,FIRST CALL,25-29,WHITE,MALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,NO,MORE,SUBURBS,EDUCATION,EXPERIENCE,CLINTON,NONE,BETTER,APP/FAV,YES,STAYSAME,DEMOCRAT,SUBURBS,COLGRAD,NONE,AFEWAYEAR,OVER100K,YES,YES,MODERATE,18-64,REDUCNATDEBT,EXITPOLL,STATE,COMPLETE,LASUBURBAN,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,NONE,BOTH,NO,BOTH,PERSONALQUAL,YES,,,1.094
STATE ONLY,5.0,41.0,3.0,FIRST CALL,50-59,ASIAN,MALE,BUSH,CAMPBELL,DISAPPR,UNFAVORABLE,BUSH,NO,MORE,SUBURBS,SOCIALSECUR,HONEST,DOLE,NONE,SAME,DIS/UNFAV,YES,DECREASE,REPUBLCN,SUBURBS,COLGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,NO,CONSERV,18-64,SOCIALSECURI,EXITPOLL,STATE,COMPLETE,LASUBURBAN,45-59,50-59,REPUBLICAN,50-64,NO,ASIAN,CATHOLIC,ONLYBUSH,NO,ONLYGORE,PERSONALQUAL,NO,,,0.967
STATE ONLY,5.0,41.0,4.0,FIRST CALL,18-24,ASIAN,FEMALE,GORE,,DISAPPR,FAVORABLE,GORE,NO,LESS,SUBURBS,HEALTHCARE,LIKEABLE,CLINTON,NONE,BETTER,DIS/FAV,YES,DECREASE,DEMOCRAT,SUBURBS,COLGRAD,,NEVER,OVER100K,NO,NO,LIBERAL,18-64,REDUCNATDEBT,EXITPOLL,STATE,COMPLETE,LASUBURBAN,18-29,18-24,DEMOCRAT,18-24,NO,ASIAN,,BOTH,NO,ONLYBUSH,ISSUES,YES,,,1.1520000000000001
STATE ONLY,5.0,41.0,5.0,FIRST CALL,60-64,WHITE,MALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,NO,MORE,SUBURBS,OMITS,OMITS,CLINTON,NONE,WORSE,APP/FAV,NO,INCREASE,DEMOCRAT,SUBURBS,NOHS,PROTESTANT,NEVER,15-30K,YES,NO,LIBERAL,18-64,OMITS,EXITPOLL,STATE,COMPLETE,LASUBURBAN,60+,60+,DEMOCRAT,50-64,NO,WHITE,PROT/CHRIST,ONLYGORE,NO,ONLYBUSH,ISSUES,YES,,,0.9530000000000001
STATE ONLY,5.0,41.0,6.0,FIRST CALL,30-39,ASIAN,MALE,BUSH,CAMPBELL,APPROVE,FAVORABLE,BUSH,YES,LESS,SUBURBS,OMITS,STRONGLEADER,CLINTON,NONE,SAME,APP/FAV,YES,STAYSAME,REPUBLCN,SUBURBS,POSTGRAD,CATHOLIC,ONCEAWEEK,75-100K,NO,YES,MODERATE,18-64,CUTFEDINCTAX,EXITPOLL,STATE,COMPLETE,LASUBURBAN,30-44,30-39,REPUBLICAN,30-39,NO,ASIAN,CATHOLIC,BOTH,NO,NEITHER,ISSUES,NO,,,0.744
STATE ONLY,5.0,41.0,7.0,FIRST CALL,50-59,HISP,MALE,BUSH,CAMPBELL,APPROVE,FAVORABLE,BUSH,YES,LESS,SUBURBS,ECON/JOBS,OMITS,CLINTON,ME,SAME,APP/FAV,YES,DECREASE,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAMONTH,50-75K,NO,NO,MODERATE,18-64,REDUCNATDEBT,EXITPOLL,STATE,COMPLETE,LASUBURBAN,45-59,50-59,DEMOCRAT,50-64,YES,HISP,CATHOLIC,BOTH,NO,BOTH,ISSUES,NO,,,0.587
STATE ONLY,5.0,41.0,8.0,FIRST CALL,40-44,ASIAN,MALE,BUSH,FEINSTEIN,DISAPPR,UNFAVORABLE,BUSH,YES,MORE,SUBURBS,OMITS,HONEST,NOVOTE,NONE,BETTER,DIS/UNFAV,YES,INCREASE,INDEPEND,SUBURBS,COLGRAD,OTHERCHRIST,MORETHAN1AWK,30-50K,YES,YES,LIBERAL,18-64,CUTFEDINCTAX,EXITPOLL,STATE,COMPLETE,LASUBURBAN,30-44,40-49,IND/OTHER,40-49,NO,ASIAN,PROT/CHRIST,ONLYBUSH,YES,NEITHER,PERSONALQUAL,NO,,,0.684
STATE ONLY,5.0,41.0,9.0,FIRST CALL,40-44,HISP,FEMALE,BUSH,FEINSTEIN,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SUBURBS,OMITS,CARES,DOLE,NONE,SAME,DIS/UNFAV,NO,STAYSAME,REPUBLCN,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,50-75K,YES,YES,CONSERV,18-64,OMITS,EXITPOLL,STATE,COMPLETE,LASUBURBAN,30-44,40-49,REPUBLICAN,40-49,YES,HISP,PROT/CHRIST,ONLYBUSH,NO,BOTH,ISSUES,YES,,,0.525
STATE ONLY,5.0,41.0,10.0,FIRST CALL,50-59,HISP,MALE,NADER,CAMPBELL,APPROVE,FAVORABLE,BUSH,YES,LESS,SUBURBS,EDUCATION,HONEST,CLINTON,SOMEONEELSE,BETTER,APP/FAV,YES,DECREASE,INDEPEND,SUBURBS,COLGRAD,CATHOLIC,AFEWAMONTH,OVER100K,YES,NO,LIBERAL,18-64,OTHRPROGRAMS,EXITPOLL,STATE,COMPLETE,LASUBURBAN,45-59,50-59,IND/OTHER,50-64,YES,HISP,CATHOLIC,BOTH,NO,ONLYGORE,PERSONALQUAL,YES,,,0.31
STATE ONLY,5.0,41.0,11.0,FIRST CALL,60-64,BLACK,MALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,NO,MORE,SUBURBS,ECON/JOBS,COMPLEXISSUE,CLINTON,NONE,BETTER,APP/FAV,YES,INCREASE,DEMOCRAT,SUBURBS,POSTGRAD,OTHERCHRIST,ONCEAWEEK,OVER100K,YES,NO,MODERATE,18-64,REDUCNATDEBT,EXITPOLL,STATE,COMPLETE,LASUBURBAN,60+,60+,DEMOCRAT,50-64,NO,BLACK,PROT/CHRIST,ONLYGORE,NO,ONLYGORE,ISSUES,NO,,,0.75
STATE ONLY,5.0,41.0,12.0,FIRST CALL,50-59,ASIAN,FEMALE,BUSH,CAMPBELL,DISAPPR,FAVORABLE,BUSH,YES,MORE,SUBURBS,SOCIALSECUR,GOODJUDGMENT,DOLE,NONE,WORSE,DIS/FAV,YES,DECREASE,REPUBLCN,SUBURBS,POSTGRAD,CATHOLIC,ONCEAWEEK,75-100K,YES,YES,MODERATE,18-64,SOCIALSECURI,EXITPOLL,STATE,COMPLETE,LASUBURBAN,45-59,50-59,REPUBLICAN,50-64,NO,ASIAN,CATHOLIC,ONLYBUSH,NO,BOTH,ISSUES,NO,,,0.728
STATE ONLY,5.0,41.0,13.0,FIRST CALL,50-59,HISP,FEMALE,BUSH,CAMPBELL,APPROVE,UNFAVORABLE,BUSH,NO,LESS,SUBURBS,TAXES,HONEST,DOLE,SOMEONEELSE,SAME,APP/UNFAV,NO,STAYSAME,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,,YES,NO,MODERATE,18-64,CUTFEDINCTAX,EXITPOLL,STATE,COMPLETE,LASUBURBAN,45-59,50-59,DEMOCRAT,50-64,YES,HISP,CATHOLIC,BOTH,NO,BOTH,ISSUES,NO,,,0.745
STATE ONLY,5.0,41.0,14.0,FIRST CALL,75+,HISP,FEMALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,YES,MORE,SUBURBS,MEDICARE/RX,HONEST,CLINTON,NONE,SAME,APP/FAV,NO,STAYSAME,DEMOCRAT,SUBURBS,HSGRAD,PROTESTANT,AFEWAMONTH,15-30K,YES,NO,CONSERV,65+,CUTFEDINCTAX,EXITPOLL,STATE,COMPLETE,LASUBURBAN,60+,60+,DEMOCRAT,65+,YES,WHITE,PROT/CHRIST,ONLYGORE,NO,NEITHER,OMITS,YES,,,0.5650000000000001
STATE ONLY,5.0,41.0,15.0,SECOND CALL,25-29,ASIAN,MALE,BUSH,CAMPBELL,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SUBURBS,HEALTHCARE,GOODJUDGMENT,NOVOTE,NONE,BETTER,DIS/UNFAV,NO,STAYSAME,ELSE,SUBURBS,COLGRAD,CATHOLIC,MORETHAN1AWK,30-50K,NO,YES,CONSERV,18-64,OTHRPROGRAMS,EXITPOLL,STATE,COMPLETE,LASUBURBAN,18-29,25-29,IND/OTHER,25-29,NO,ASIAN,CATHOLIC,NEITHER,YES,BOTH,ISSUES,YES,,,0.888
STATE ONLY,5.0,41.0,16.0,SECOND CALL,60-64,WHITE,MALE,BUSH,CAMPBELL,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SUBURBS,WORLDAFFAIRS,HONEST,DOLE,NONE,BETTER,DIS/UNFAV,YES,DECREASE,REPUBLCN,SUBURBS,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,EXITPOLL,STATE,COMPLETE,LASUBURBAN,60+,60+,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,ONLYBUSH,NO,ONLYGORE,ISSUES,YES,,,0.772
STATE ONLY,5.0,41.0,17.0,SECOND CALL,45-49,WHITE,MALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,NO,LESS,SUBURBS,TAXES,EXPERIENCE,CLINTON,ME,BETTER,APP/FAV,YES,DECREASE,INDEPEND,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAMONTH,OVER100K,YES,YES,MODERATE,18-64,REDUCNATDEBT,EXITPOLL,STATE,COMPLETE,LASUBURBAN,45-59,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,ONLYGORE,NO,BOTH,ISSUES,YES,,,0.914
STATE ONLY,5.0,41.0,18.0,SECOND CALL,50-59,HISP,FEMALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,NO,LESS,SUBURBS,HEALTHCARE,EXPERIENCE,CLINTON,SOMEONEELSE,BETTER,APP/FAV,NO,DECREASE,DEMOCRAT,SUBURBS,COLGRAD,CATHOLIC,ONCEAWEEK,75-100K,YES,YES,LIBERAL,18-64,SOCIALSECURI,EXITPOLL,STATE,COMPLETE,LASUBURBAN,45-59,50-59,DEMOCRAT,50-64,YES,HISP,CATHOLIC,ONLYGORE,NO,ONLYGORE,ISSUES,NO,,,0.707
STATE ONLY,5.0,41.0,19.0,SECOND CALL,18-24,WHITE,FEMALE,BUSH,,APPROVE,FAVORABLE,BUSH,YES,LESS,SUBURBS,ECON/JOBS,GOODJUDGMENT,NOVOTE,NONE,BETTER,APP/FAV,YES,INCREASE,INDEPEND,SUBURBS,COLGRAD,CATHOLIC,NEVER,75-100K,NO,YES,MODERATE,18-64,CUTFEDINCTAX,EXITPOLL,STATE,COMPLETE,LASUBURBAN,18-29,18-24,IND/OTHER,18-24,NO,WHITE,CATHOLIC,ONLYBUSH,NO,BOTH,PERSONALQUAL,YES,,,0.858
STATE ONLY,5.0,41.0,20.0,SECOND CALL,50-59,WHITE,MALE,NADER,OTHER,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,NO,MORE,SUBURBS,HEALTHCARE,COMPLEXISSUE,OTHER,ME,SAME,DIS/UNFAV,YES,INCREASE,ELSE,SUBURBS,POSTGRAD,NONE,NEVER,75-100K,NO,NO,LIBERAL,18-64,OTHRPROGRAMS,EXITPOLL,STATE,COMPLETE,LASUBURBAN,45-59,50-59,IND/OTHER,50-64,NO,WHITE,NONE,NEITHER,NO,ONLYGORE,ISSUES,YES,,,0.914
STATE ONLY,5.0,41.0,21.0,SECOND CALL,50-59,WHITE,MALE,BUSH,FEINSTEIN,APPROVE,UNFAVORABLE,BUSH,NO,LESS,SUBURBS,OMITS,HONEST,PEROT,SOMEONEELSE,SAME,APP/UNFAV,NO,INCREASE,REPUBLCN,SUBURBS,COLGRAD,CATHOLIC,AFEWAYEAR,50-75K,YES,NO,CONSERV,18-64,SOCIALSECURI,EXITPOLL,STATE,COMPLETE,LASUBURBAN,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,CATHOLIC,BOTH,NO,BOTH,OMITS,YES,,,0.887
STATE ONLY,5.0,41.0,22.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,CAMPBELL,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,SUBURBS,TAXES,STRONGLEADER,DOLE,NONE,BETTER,DIS/UNFAV,NO,DECREASE,REPUBLCN,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAMONTH,50-75K,NO,YES,MODERATE,18-64,CUTFEDINCTAX,EXITPOLL,STATE,COMPLETE,LASUBURBAN,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,CATHOLIC,ONLYBUSH,NO,ONLYGORE,ISSUES,YES,,,0.9430000000000001
