VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,RELIGION,INCOME,PHIL3,OVER65,LOGO,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,37.0,8.0,33.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,65+,YES,STATE,OKLAHOMACITY,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.907
STATE ONLY,37.0,8.0,34.0,SECOND CALL,25-29,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,CONSERV,18-64,NO,STATE,OKLAHOMACITY,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,0.768
STATE ONLY,37.0,8.0,35.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,CLINTON,BETTER,DIS/UNFAV,DEMOCRAT,PROTESTANT,50-75K,MODERATE,18-64,NO,STATE,OKLAHOMACITY,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.777
STATE ONLY,37.0,8.0,36.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,CATHOLIC,75-100K,CONSERV,18-64,NO,STATE,OKLAHOMACITY,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.777
STATE ONLY,37.0,8.0,37.0,SECOND CALL,18-24,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,OTHERCHRIST,50-75K,CONSERV,18-64,YES,STATE,OKLAHOMACITY,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.753
STATE ONLY,37.0,8.0,38.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,PEROT,SAME,APP/UNFAV,DEMOCRAT,PROTESTANT,30-50K,MODERATE,18-64,NO,STATE,OKLAHOMACITY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.875
STATE ONLY,37.0,8.0,39.0,SECOND CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,CATHOLIC,50-75K,MODERATE,18-64,NO,STATE,OKLAHOMACITY,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.793
STATE ONLY,37.0,8.0,40.0,SECOND CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,YES,STATE,OKLAHOMACITY,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.793
STATE ONLY,37.0,8.0,41.0,SECOND CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,CLINTON,BETTER,DIS/UNFAV,ELSE,CATHOLIC,OVER100K,MODERATE,18-64,YES,STATE,OKLAHOMACITY,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,,0.793
STATE ONLY,37.0,8.0,42.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,DOLE,SAME,APP/UNFAV,REPUBLCN,PROTESTANT,75-100K,CONSERV,18-64,NO,STATE,OKLAHOMACITY,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.777
STATE ONLY,37.0,8.0,43.0,SECOND CALL,30-39,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,DOLE,SAME,APP/UNFAV,REPUBLCN,OTHERCHRIST,50-75K,CONSERV,18-64,NO,STATE,OKLAHOMACITY,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.793
STATE ONLY,37.0,8.0,44.0,THIRD CALL,40-44,HISP,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,BETTER,APP/UNFAV,REPUBLCN,PROTESTANT,75-100K,MODERATE,18-64,YES,STATE,OKLAHOMACITY,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.875
STATE ONLY,37.0,8.0,45.0,THIRD CALL,45-49,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,ELSE,50-75K,MODERATE,18-64,NO,STATE,OKLAHOMACITY,45-59,40-49,DEMOCRAT,40-49,OTHER,,,0.892
STATE ONLY,37.0,8.0,46.0,THIRD CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,OTHERCHRIST,50-75K,CONSERV,18-64,NO,STATE,OKLAHOMACITY,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.793
STATE ONLY,37.0,8.0,47.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,OTHERCHRIST,50-75K,CONSERV,18-64,NO,STATE,OKLAHOMACITY,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.777
STATE ONLY,37.0,8.0,48.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,PEROT,BETTER,APP/UNFAV,INDEPEND,CATHOLIC,50-75K,MODERATE,18-64,YES,STATE,OKLAHOMACITY,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.875
STATE ONLY,37.0,8.0,49.0,THIRD CALL,65-74,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,,MODERATE,65+,YES,STATE,OKLAHOMACITY,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.925
STATE ONLY,37.0,8.0,50.0,THIRD CALL,65-74,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,65+,NO,STATE,OKLAHOMACITY,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.925
STATE ONLY,37.0,8.0,51.0,THIRD CALL,18-24,HISP,MALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,OTHERCHRIST,50-75K,LIBERAL,18-64,YES,STATE,OKLAHOMACITY,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,0.865
STATE ONLY,37.0,8.0,52.0,THIRD CALL,30-39,ASIAN,MALE,GORE,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,LESS15K,LIBERAL,18-64,YES,STATE,OKLAHOMACITY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.892
STATE ONLY,37.0,8.0,53.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,OTHERCHRIST,50-75K,CONSERV,18-64,NO,STATE,OKLAHOMACITY,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.753
STATE ONLY,37.0,8.0,54.0,THIRD CALL,18-24,BLACK,FEMALE,BUSH,APPROVE,FAVORABLE,BUSH,NO,NOVOTE,SAME,APP/FAV,REPUBLCN,NONE,,MODERATE,18-64,NO,STATE,OKLAHOMACITY,18-29,18-24,REPUBLICAN,18-24,NONE,,,0.754
STATE ONLY,37.0,8.0,55.0,THIRD CALL,30-39,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,75-100K,MODERATE,18-64,NO,STATE,OKLAHOMACITY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.892
STATE ONLY,37.0,8.0,56.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,DOLE,BETTER,APP/UNFAV,REPUBLCN,NONE,OVER100K,MODERATE,18-64,YES,STATE,OKLAHOMACITY,30-44,40-49,REPUBLICAN,40-49,NONE,,,0.777
STATE ONLY,37.0,8.0,57.0,THIRD CALL,65-74,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,NOVOTE,SAME,APP/UNFAV,DEMOCRAT,PROTESTANT,,MODERATE,65+,NO,STATE,OKLAHOMACITY,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.04
STATE ONLY,37.0,8.0,58.0,THIRD CALL,,ASIAN,,BUSH,OMITS,OMITS,OMITS,OMITS,OMITS,BETTER,OMITS,,,15-30K,,,YES,STATE,OKLAHOMACITY,,,,,,,,0.793
STATE ONLY,37.0,8.0,59.0,THIRD CALL,45-49,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,PEROT,SAME,APP/UNFAV,DEMOCRAT,ELSE,50-75K,MODERATE,18-64,NO,STATE,OKLAHOMACITY,45-59,40-49,DEMOCRAT,40-49,OTHER,,,0.892
STATE ONLY,37.0,8.0,60.0,THIRD CALL,25-29,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,MODERATE,18-64,YES,STATE,OKLAHOMACITY,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,0.768
STATE ONLY,37.0,10.0,1.0,FIRST CALL,30-39,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,PEROT,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,15-30K,LIBERAL,18-64,YES,STATE,EAST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.9590000000000001
STATE ONLY,37.0,10.0,2.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,30-50K,MODERATE,18-64,YES,STATE,EAST,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.881
STATE ONLY,37.0,10.0,3.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,OTHERCHRIST,,CONSERV,18-64,NO,STATE,EAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.881
STATE ONLY,37.0,10.0,4.0,FIRST CALL,75+,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,LESS15K,CONSERV,65+,NO,STATE,EAST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.23
STATE ONLY,37.0,10.0,5.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,PROTESTANT,30-50K,MODERATE,65+,YES,STATE,EAST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.442
STATE ONLY,37.0,10.0,6.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,PEROT,BETTER,APP/UNFAV,DEMOCRAT,CATHOLIC,50-75K,MODERATE,18-64,NO,STATE,EAST,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.881
STATE ONLY,37.0,10.0,7.0,FIRST CALL,65-74,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,30-50K,MODERATE,65+,NO,STATE,EAST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.57
STATE ONLY,37.0,10.0,8.0,FIRST CALL,50-59,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,DOLE,BETTER,APP/UNFAV,REPUBLCN,PROTESTANT,50-75K,MODERATE,18-64,NO,STATE,EAST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.8160000000000001
STATE ONLY,37.0,10.0,9.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,OTHERCHRIST,15-30K,MODERATE,18-64,NO,STATE,EAST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.881
STATE ONLY,37.0,10.0,10.0,FIRST CALL,30-39,OTHER,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,ELSE,30-50K,LIBERAL,18-64,NO,STATE,EAST,30-44,30-39,DEMOCRAT,30-39,OTHER,,,0.881
STATE ONLY,37.0,10.0,11.0,FIRST CALL,30-39,OTHER,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,NONE,15-30K,CONSERV,18-64,YES,STATE,EAST,30-44,30-39,DEMOCRAT,30-39,NONE,,,0.881
STATE ONLY,37.0,10.0,12.0,FIRST CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,NOVOTE,WORSE,DIS/UNFAV,DEMOCRAT,OTHERCHRIST,LESS15K,MODERATE,18-64,NO,STATE,EAST,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.8160000000000001
STATE ONLY,37.0,10.0,13.0,FIRST CALL,50-59,WHITE,MALE,BUCHANAN,DISAPPR,UNFAVORABLE,GORE,YES,CLINTON,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,MODERATE,18-64,YES,STATE,EAST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.453
STATE ONLY,37.0,10.0,14.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,WORSE,DIS/UNFAV,INDEPEND,OTHERCHRIST,30-50K,CONSERV,18-64,YES,STATE,EAST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.75
STATE ONLY,37.0,10.0,15.0,FIRST CALL,50-59,OTHER,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,CLINTON,BETTER,DIS/UNFAV,DEMOCRAT,OTHERCHRIST,15-30K,LIBERAL,18-64,NO,STATE,EAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.75
STATE ONLY,37.0,10.0,16.0,FIRST CALL,75+,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,PROTESTANT,,MODERATE,65+,YES,STATE,EAST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.57
STATE ONLY,37.0,10.0,17.0,FIRST CALL,,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,LESS15K,LIBERAL,,YES,STATE,EAST,,,DEMOCRAT,,PROT/CHRIST,,,0.881
STATE ONLY,37.0,10.0,18.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,APPROVE,FAVORABLE,BUSH,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,OTHERCHRIST,30-50K,LIBERAL,18-64,NO,STATE,EAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.75
STATE ONLY,37.0,10.0,19.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,REPUBLCN,PROTESTANT,50-75K,MODERATE,18-64,YES,STATE,EAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.881
STATE ONLY,37.0,10.0,20.0,FIRST CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,OVER100K,MODERATE,18-64,NO,STATE,EAST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.8160000000000001
STATE ONLY,37.0,10.0,21.0,FIRST CALL,75+,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,YES,CLINTON,BETTER,APP/UNFAV,,PROTESTANT,15-30K,LIBERAL,65+,NO,STATE,EAST,60+,60+,,65+,PROT/CHRIST,,,1.442
STATE ONLY,37.0,10.0,22.0,SECOND CALL,75+,WHITE,,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,DOLE,SAME,APP/UNFAV,REPUBLCN,PROTESTANT,30-50K,MODERATE,65+,,STATE,EAST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.23
STATE ONLY,37.0,10.0,23.0,SECOND CALL,25-29,BLACK,MALE,GORE,DISAPPR,FAVORABLE,BUSH,YES,NOVOTE,OMITS,DIS/FAV,REPUBLCN,CATHOLIC,15-30K,LIBERAL,18-64,,STATE,EAST,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,0.89
STATE ONLY,37.0,10.0,24.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,NOVOTE,SAME,DIS/UNFAV,INDEPEND,PROTESTANT,30-50K,CONSERV,18-64,NO,STATE,EAST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.75
STATE ONLY,37.0,10.0,25.0,SECOND CALL,50-59,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,YES,CLINTON,SAME,APP/UNFAV,DEMOCRAT,NONE,15-30K,LIBERAL,18-64,YES,STATE,EAST,45-59,50-59,DEMOCRAT,50-64,NONE,,,0.9590000000000001
STATE ONLY,37.0,10.0,26.0,SECOND CALL,60-64,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,CATHOLIC,OVER100K,CONSERV,18-64,YES,STATE,EAST,60+,60+,REPUBLICAN,50-64,CATHOLIC,,,1.339
STATE ONLY,37.0,10.0,27.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,15-30K,CONSERV,65+,YES,STATE,EAST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.23
STATE ONLY,37.0,10.0,28.0,SECOND CALL,18-24,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,NOVOTE,WORSE,DIS/UNFAV,INDEPEND,OTHERCHRIST,15-30K,MODERATE,18-64,YES,STATE,EAST,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,0.8220000000000001
STATE ONLY,37.0,10.0,29.0,SECOND CALL,18-24,WHITE,MALE,GORE,DISAPPR,UNFAVORABLE,GORE,NO,CLINTON,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,15-30K,LIBERAL,18-64,NO,STATE,EAST,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,1.053
STATE ONLY,37.0,10.0,30.0,SECOND CALL,25-29,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,PEROT,SAME,APP/UNFAV,DEMOCRAT,OTHERCHRIST,15-30K,MODERATE,18-64,YES,STATE,EAST,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,0.896
STATE ONLY,37.0,10.0,31.0,SECOND CALL,30-39,WHITE,MALE,BUSH,APPROVE,FAVORABLE,BUSH,NO,CLINTON,WORSE,APP/FAV,REPUBLCN,OTHERCHRIST,15-30K,LIBERAL,18-64,NO,STATE,EAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.8160000000000001
STATE ONLY,37.0,10.0,32.0,SECOND CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,PEROT,SAME,DIS/UNFAV,DEMOCRAT,PROTESTANT,50-75K,MODERATE,18-64,YES,STATE,EAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.8160000000000001
STATE ONLY,37.0,10.0,33.0,SECOND CALL,40-44,OTHER,MALE,BUSH,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,NO,OTHER,SAME,DIS/UNFAV,ELSE,OTHERCHRIST,50-75K,LIBERAL,18-64,YES,STATE,EAST,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.8160000000000001
STATE ONLY,37.0,10.0,34.0,SECOND CALL,30-39,OTHER,FEMALE,GORE,DISAPPR,FAVORABLE,GORE,NO,CLINTON,BETTER,DIS/FAV,ELSE,PROTESTANT,15-30K,LIBERAL,18-64,YES,STATE,EAST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.881
STATE ONLY,37.0,10.0,35.0,SECOND CALL,50-59,OTHER,MALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,PROTESTANT,50-75K,MODERATE,18-64,NO,STATE,EAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.9590000000000001
STATE ONLY,37.0,10.0,36.0,SECOND CALL,45-49,OTHER,FEMALE,OTHER,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,NO,PEROT,WORSE,DIS/UNFAV,ELSE,OTHERCHRIST,50-75K,LIBERAL,18-64,YES,STATE,EAST,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.86
STATE ONLY,37.0,10.0,37.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,NO,OTHER,BETTER,DIS/UNFAV,REPUBLCN,CATHOLIC,30-50K,CONSERV,18-64,YES,STATE,EAST,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,,,0.881
STATE ONLY,37.0,10.0,38.0,SECOND CALL,18-24,OTHER,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,DOLE,SAME,APP/FAV,DEMOCRAT,ELSE,LESS15K,LIBERAL,18-64,YES,STATE,EAST,18-29,18-24,DEMOCRAT,18-24,OTHER,,,1.053
STATE ONLY,37.0,10.0,39.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,30-50K,MODERATE,18-64,NO,STATE,EAST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.75
STATE ONLY,37.0,10.0,40.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,DEMOCRAT,ELSE,LESS15K,MODERATE,65+,YES,STATE,EAST,60+,60+,DEMOCRAT,65+,OTHER,,,1.23
STATE ONLY,37.0,10.0,41.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,WORSE,APP/FAV,ELSE,NONE,30-50K,LIBERAL,18-64,NO,STATE,EAST,30-44,30-39,IND/OTHER,30-39,NONE,,,0.881
STATE ONLY,37.0,10.0,42.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,15-30K,CONSERV,65+,YES,STATE,EAST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.23
STATE ONLY,37.0,10.0,43.0,SECOND CALL,50-59,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,INDEPEND,NONE,50-75K,MODERATE,18-64,YES,STATE,EAST,45-59,50-59,IND/OTHER,50-64,NONE,,,0.9590000000000001
STATE ONLY,37.0,25.0,1.0,FIRST CALL,,WHITE,FEMALE,BUSH,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,,,STATE,WEST,,,,,,,,0.915
STATE ONLY,37.0,25.0,2.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,YES,STATE,WEST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.915
STATE ONLY,37.0,25.0,3.0,FIRST CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,75-100K,CONSERV,18-64,NO,STATE,WEST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.909
STATE ONLY,37.0,25.0,4.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,18-64,YES,STATE,WEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.915
STATE ONLY,37.0,25.0,6.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,OTHERCHRIST,75-100K,MODERATE,18-64,NO,STATE,WEST,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.241
STATE ONLY,37.0,25.0,7.0,FIRST CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,MODERATE,18-64,YES,STATE,WEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.909
STATE ONLY,37.0,25.0,8.0,FIRST CALL,40-44,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,NO,STATE,WEST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.909
STATE ONLY,37.0,25.0,9.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,PEROT,BETTER,APP/FAV,ELSE,PROTESTANT,15-30K,LIBERAL,18-64,YES,STATE,WEST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.241
STATE ONLY,37.0,25.0,10.0,FIRST CALL,45-49,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,INDEPEND,CATHOLIC,30-50K,MODERATE,18-64,YES,STATE,WEST,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,,1.233
STATE ONLY,37.0,25.0,11.0,FIRST CALL,18-24,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,MODERATE,18-64,NO,STATE,WEST,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,1.002
STATE ONLY,37.0,25.0,12.0,FIRST CALL,18-24,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,YES,NOVOTE,SAME,APP/UNFAV,REPUBLCN,CATHOLIC,LESS15K,MODERATE,18-64,YES,STATE,WEST,18-29,18-24,REPUBLICAN,18-24,CATHOLIC,,,1.0090000000000001
