VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,GOV,CLINTON,BCPERSON,XWAY2000,GOVTDO,ISSUE,MCINTAX,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,15.0,37.0,40.0,THIRD CALL,25-29,WHITE,MALE,GORE,,,DISAPPR,UNFAVORABLE,GORE,OMITS,OMITS,OMITS,OMITS,NOVOTE,WORSE,DIS/UNFAV,INDEPEND,HSGRAD,ELSE,LESS15K,LIBERAL,18-64,STATE,COMPLETE,EASTCENTRAL,18-29,25-29,IND/OTHER,25-29,OTHER,,,0.31
STATE ONLY,15.0,37.0,41.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,LUGAR,OBANNON,APPROVE,UNFAVORABLE,BUSH,LESS,ECON/JOBS,NO,NO,NOVOTE,BETTER,APP/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,LESS15K,CONSERV,18-64,STATE,COMPLETE,EASTCENTRAL,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.389
STATE ONLY,15.0,37.0,42.0,THIRD CALL,60-64,WHITE,FEMALE,GORE,JOHNSON,OBANNON,DISAPPR,UNFAVORABLE,GORE,OMITS,MEDICARE/RX,NO,YES,NOVOTE,WORSE,DIS/UNFAV,DEMOCRAT,NOHS,CATHOLIC,15-30K,CONSERV,18-64,STATE,COMPLETE,EASTCENTRAL,60+,60+,DEMOCRAT,50-64,CATHOLIC,,,0.316
STATE ONLY,15.0,37.0,43.0,THIRD CALL,60-64,WHITE,MALE,GORE,JOHNSON,OBANNON,APPROVE,UNFAVORABLE,GORE,MORE,HEALTHCARE,NO,NO,CLINTON,SAME,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,75-100K,CONSERV,18-64,STATE,COMPLETE,EASTCENTRAL,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,0.329
STATE ONLY,15.0,37.0,44.0,THIRD CALL,60-64,WHITE,FEMALE,GORE,JOHNSON,OBANNON,DISAPPR,UNFAVORABLE,GORE,MORE,ECON/JOBS,NO,YES,OTHER,BETTER,DIS/UNFAV,DEMOCRAT,HSGRAD,NONE,30-50K,MODERATE,18-64,STATE,COMPLETE,EASTCENTRAL,60+,60+,DEMOCRAT,50-64,NONE,,,0.316
STATE ONLY,15.0,37.0,45.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,MORE,TAXES,YES,NO,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,COMPLETE,EASTCENTRAL,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,0.355
STATE ONLY,15.0,37.0,46.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,MORE,MEDICARE/RX,YES,NO,NOVOTE,SAME,DIS/UNFAV,ELSE,HSGRAD,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,EASTCENTRAL,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,0.388
STATE ONLY,15.0,37.0,47.0,THIRD CALL,50-59,WHITE,MALE,GORE,JOHNSON,OBANNON,APPROVE,FAVORABLE,GORE,MORE,SOCIALSECUR,NO,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,EASTCENTRAL,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.318
STATE ONLY,15.0,37.0,48.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,JOHNSON,OBANNON,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,NO,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,JEWISH,15-30K,CONSERV,18-64,STATE,COMPLETE,EASTCENTRAL,18-29,25-29,DEMOCRAT,25-29,JEWISH,,,0.277
STATE ONLY,15.0,37.0,49.0,THIRD CALL,45-49,WHITE,MALE,BUSH,LUGAR,MCINTOSH,OMITS,OMITS,OMITS,LESS,SOCIALSECUR,OMITS,NO,OMITS,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,EASTCENTRAL,45-59,40-49,,40-49,,,,0.405
STATE ONLY,15.0,37.0,50.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,LUGAR,OBANNON,DISAPPR,FAVORABLE,BUSH,MORE,HEALTHCARE,NO,YES,NOVOTE,BETTER,DIS/FAV,REPUBLCN,NOHS,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,EASTCENTRAL,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,0.34700000000000003
STATE ONLY,15.0,37.0,51.0,THIRD CALL,60-64,WHITE,FEMALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,MORE,MEDICARE/RX,YES,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,EASTCENTRAL,60+,60+,REPUBLICAN,50-64,CATHOLIC,,,0.404
STATE ONLY,15.0,37.0,52.0,THIRD CALL,45-49,WHITE,MALE,GORE,JOHNSON,OBANNON,APPROVE,FAVORABLE,GORE,LESS,HEALTHCARE,NO,YES,CLINTON,BETTER,APP/FAV,ELSE,HSGRAD,NONE,30-50K,LIBERAL,18-64,STATE,COMPLETE,EASTCENTRAL,45-59,40-49,IND/OTHER,40-49,NONE,,,0.318
STATE ONLY,15.0,37.0,53.0,THIRD CALL,25-29,BLACK,FEMALE,BUSH,JOHNSON,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,MEDICARE/RX,YES,NO,DOLE,SAME,DIS/UNFAV,INDEPEND,HSGRAD,OTHERCHRIST,15-30K,CONSERV,18-64,STATE,COMPLETE,EASTCENTRAL,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,,,0.28300000000000003
STATE ONLY,15.0,37.0,54.0,THIRD CALL,25-29,ASIAN,MALE,GORE,JOHNSON,OBANNON,APPROVE,FAVORABLE,WOULDNOTVOTE,OMITS,EDUCATION,YES,NO,CLINTON,WORSE,APP/FAV,ELSE,POSTGRAD,NONE,15-30K,LIBERAL,18-64,STATE,COMPLETE,EASTCENTRAL,18-29,25-29,IND/OTHER,25-29,NONE,,,0.29
STATE ONLY,15.0,38.0,1.0,FIRST CALL,60-64,WHITE,MALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,NO,NO,DOLE,OMITS,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,NONE,30-50K,CONSERV,18-64,STATE,COMPLETE,EASTCENTRAL,60+,60+,IND/OTHER,50-64,NONE,,,1.3880000000000001
STATE ONLY,15.0,38.0,2.0,FIRST CALL,30-39,WHITE,MALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,YES,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,EASTCENTRAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.332
STATE ONLY,15.0,38.0,3.0,FIRST CALL,30-39,BLACK,MALE,GORE,JOHNSON,OBANNON,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,NO,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,OVER100K,LIBERAL,18-64,STATE,COMPLETE,EASTCENTRAL,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.9480000000000001
STATE ONLY,15.0,38.0,4.0,FIRST CALL,30-39,BLACK,FEMALE,,JOHNSON,OBANNON,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,NO,YES,NOVOTE,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,OVER100K,CONSERV,18-64,STATE,COMPLETE,EASTCENTRAL,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.0150000000000001
STATE ONLY,15.0,38.0,5.0,FIRST CALL,30-39,BLACK,MALE,GORE,JOHNSON,OBANNON,APPROVE,UNFAVORABLE,GORE,MORE,MEDICARE/RX,NO,NO,NOVOTE,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,PROTESTANT,OVER100K,MODERATE,18-64,STATE,COMPLETE,EASTCENTRAL,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.9480000000000001
STATE ONLY,15.0,38.0,6.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,JOHNSON,OBANNON,OMITS,OMITS,OMITS,MORE,SOCIALSECUR,OMITS,OMITS,OMITS,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,EASTCENTRAL,45-59,50-59,,50-64,,,,0.988
STATE ONLY,15.0,38.0,7.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,YES,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,COMPLETE,EASTCENTRAL,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.2690000000000001
STATE ONLY,15.0,38.0,8.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,YES,OMITS,DOLE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,OVER100K,CONSERV,18-64,STATE,COMPLETE,EASTCENTRAL,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.2690000000000001
STATE ONLY,15.0,38.0,9.0,FIRST CALL,60-64,WHITE,MALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,YES,NO,DOLE,WORSE,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,EASTCENTRAL,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,1.3880000000000001
STATE ONLY,15.0,38.0,10.0,FIRST CALL,30-39,WHITE,MALE,BUSH,LUGAR,OBANNON,DISAPPR,UNFAVORABLE,BUSH,LESS,MEDICARE/RX,NO,NO,CLINTON,BETTER,DIS/UNFAV,INDEPEND,COLGRAD,NONE,75-100K,CONSERV,18-64,STATE,COMPLETE,EASTCENTRAL,30-44,30-39,IND/OTHER,30-39,NONE,,,1.469
STATE ONLY,15.0,38.0,11.0,FIRST CALL,65-74,WHITE,MALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,HEALTHCARE,YES,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,LIBERAL,65+,STATE,COMPLETE,EASTCENTRAL,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.3880000000000001
STATE ONLY,15.0,38.0,12.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,HEALTHCARE,YES,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,EASTCENTRAL,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,1.327
STATE ONLY,15.0,38.0,13.0,FIRST CALL,45-49,WHITE,MALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,YES,NO,DOLE,SAME,DIS/UNFAV,INDEPEND,HSGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,EASTCENTRAL,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.332
STATE ONLY,15.0,38.0,14.0,FIRST CALL,50-59,WHITE,MALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,YES,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,OVER100K,CONSERV,18-64,STATE,COMPLETE,EASTCENTRAL,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.332
STATE ONLY,15.0,38.0,15.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,YES,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,OTHERCHRIST,LESS15K,CONSERV,18-64,STATE,COMPLETE,EASTCENTRAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.2690000000000001
STATE ONLY,15.0,38.0,16.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,YES,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,EASTCENTRAL,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.2690000000000001
STATE ONLY,15.0,38.0,17.0,FIRST CALL,60-64,WHITE,MALE,GORE,LUGAR,OBANNON,APPROVE,UNFAVORABLE,GORE,LESS,SOCIALSECUR,NO,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,PROTESTANT,75-100K,MODERATE,18-64,STATE,COMPLETE,EASTCENTRAL,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,1.24
STATE ONLY,15.0,38.0,18.0,FIRST CALL,30-39,WHITE,MALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,ECON/JOBS,NO,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,CONSERV,18-64,STATE,COMPLETE,EASTCENTRAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.332
STATE ONLY,15.0,38.0,19.0,FIRST CALL,45-49,HISP,MALE,GORE,JOHNSON,OBANNON,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,NO,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,75-100K,MODERATE,18-64,STATE,COMPLETE,EASTCENTRAL,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.9480000000000001
STATE ONLY,15.0,38.0,20.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,MORE,ECON/JOBS,YES,YES,DOLE,BETTER,DIS/UNFAV,INDEPEND,HSGRAD,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,EASTCENTRAL,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.2690000000000001
STATE ONLY,15.0,38.0,21.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,OMITS,OMITS,OMITS,YES,DOLE,SAME,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,50-75K,,18-64,STATE,COMPLETE,EASTCENTRAL,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,1.2690000000000001
STATE ONLY,15.0,38.0,22.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,OMITS,YES,DOLE,SAME,DIS/UNFAV,,NOHS,PROTESTANT,,CONSERV,65+,STATE,COMPLETE,EASTCENTRAL,60+,60+,,65+,PROT/CHRIST,,,1.327
STATE ONLY,15.0,38.0,23.0,FIRST CALL,30-39,WHITE,MALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,YES,NO,DOLE,BETTER,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,NONE,50-75K,CONSERV,18-64,STATE,COMPLETE,EASTCENTRAL,30-44,30-39,IND/OTHER,30-39,NONE,,,1.332
STATE ONLY,15.0,38.0,24.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,JOHNSON,OBANNON,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,NO,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,NONE,30-50K,LIBERAL,65+,STATE,COMPLETE,EASTCENTRAL,60+,60+,DEMOCRAT,65+,NONE,,,1.03
STATE ONLY,15.0,38.0,25.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,YES,OMITS,DOLE,SAME,DIS/UNFAV,REPUBLCN,NOHS,PROTESTANT,15-30K,CONSERV,18-64,STATE,COMPLETE,EASTCENTRAL,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.2690000000000001
STATE ONLY,15.0,38.0,26.0,SECOND CALL,50-59,WHITE,,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,MEDICARE/RX,YES,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,NOHS,OTHERCHRIST,15-30K,CONSERV,18-64,STATE,COMPLETE,EASTCENTRAL,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.332
STATE ONLY,15.0,38.0,27.0,SECOND CALL,45-49,WHITE,FEMALE,OTHER,OTHER,OTHER,APPROVE,UNFAVORABLE,GORE,LESS,ECON/JOBS,NO,NO,CLINTON,BETTER,APP/UNFAV,INDEPEND,COLGRAD,CATHOLIC,OVER100K,LIBERAL,18-64,STATE,COMPLETE,EASTCENTRAL,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,,1.546
STATE ONLY,15.0,38.0,28.0,SECOND CALL,50-59,WHITE,MALE,BUSH,JOHNSON,OBANNON,APPROVE,FAVORABLE,BUSH,MORE,MEDICARE/RX,NO,NO,CLINTON,BETTER,APP/FAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,75-100K,CONSERV,18-64,STATE,COMPLETE,EASTCENTRAL,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.278
STATE ONLY,15.0,38.0,29.0,SECOND CALL,60-64,WHITE,MALE,OTHER,LUGAR,OBANNON,APPROVE,FAVORABLE,BUSH,MORE,SOCIALSECUR,NO,NO,DOLE,BETTER,APP/FAV,REPUBLCN,COLGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,EASTCENTRAL,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,0.501
STATE ONLY,15.0,38.0,30.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,GORE,LESS,ECON/JOBS,YES,YES,PEROT,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,EASTCENTRAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.029
STATE ONLY,15.0,38.0,31.0,SECOND CALL,65-74,WHITE,MALE,GORE,JOHNSON,OBANNON,APPROVE,UNFAVORABLE,GORE,MORE,HEALTHCARE,NO,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,NONE,50-75K,MODERATE,65+,STATE,COMPLETE,EASTCENTRAL,60+,60+,DEMOCRAT,65+,NONE,,,1.078
STATE ONLY,15.0,38.0,32.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,MEDICARE/RX,YES,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,CONSERV,65+,STATE,COMPLETE,EASTCENTRAL,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.327
STATE ONLY,15.0,38.0,33.0,SECOND CALL,65-74,WHITE,MALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,NO,NO,PEROT,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,50-75K,MODERATE,65+,STATE,COMPLETE,EASTCENTRAL,60+,60+,REPUBLICAN,65+,CATHOLIC,,,1.3880000000000001
STATE ONLY,15.0,38.0,34.0,THIRD CALL,30-39,HISP,MALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,NO,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,75-100K,CONSERV,18-64,STATE,COMPLETE,EASTCENTRAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.217
STATE ONLY,15.0,38.0,35.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,JOHNSON,OBANNON,APPROVE,UNFAVORABLE,GORE,MORE,OMITS,NO,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,HSGRAD,PROTESTANT,75-100K,MODERATE,18-64,STATE,COMPLETE,EASTCENTRAL,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.988
STATE ONLY,15.0,38.0,36.0,THIRD CALL,65-74,WHITE,MALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,ECON/JOBS,YES,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,LESS15K,CONSERV,65+,STATE,COMPLETE,EASTCENTRAL,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.3880000000000001
STATE ONLY,15.0,38.0,37.0,THIRD CALL,30-39,WHITE,MALE,GORE,LUGAR,OBANNON,APPROVE,UNFAVORABLE,GORE,MORE,SOCIALSECUR,NO,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,HSGRAD,PROTESTANT,75-100K,CONSERV,18-64,STATE,COMPLETE,EASTCENTRAL,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.188
STATE ONLY,15.0,38.0,38.0,THIRD CALL,30-39,WHITE,MALE,BUSH,LUGAR,OBANNON,DISAPPR,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,NO,NO,PEROT,SAME,DIS/UNFAV,ELSE,SOMCOL/ASSOC,NONE,50-75K,MODERATE,18-64,STATE,COMPLETE,EASTCENTRAL,30-44,30-39,IND/OTHER,30-39,NONE,,,1.469
STATE ONLY,15.0,38.0,39.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,MORE,EDUCATION,YES,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,COMPLETE,EASTCENTRAL,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,1.162
STATE ONLY,15.0,38.0,40.0,THIRD CALL,25-29,WHITE,MALE,OTHER,JOHNSON,OBANNON,OMITS,OMITS,OMITS,OMITS,OMITS,NO,NO,CLINTON,SAME,OMITS,,,ELSE,,,18-64,STATE,COMPLETE,EASTCENTRAL,18-29,25-29,,25-29,OTHER,,,0.382
STATE ONLY,15.0,38.0,41.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,LUGAR,OBANNON,APPROVE,FAVORABLE,BUSH,OMITS,EDUCATION,NO,NO,CLINTON,BETTER,APP/FAV,ELSE,COLGRAD,NONE,15-30K,,18-64,STATE,COMPLETE,EASTCENTRAL,18-29,25-29,IND/OTHER,25-29,NONE,,,1.281
STATE ONLY,15.0,38.0,42.0,THIRD CALL,65-74,WHITE,MALE,GORE,JOHNSON,OBANNON,OMITS,OMITS,OMITS,MORE,SOCIALSECUR,OMITS,NO,OMITS,OMITS,,,,,,,65+,STATE,NOTCOMPLETE,EASTCENTRAL,60+,60+,,65+,,,,1.078
STATE ONLY,15.0,38.0,43.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,LUGAR,OBANNON,APPROVE,UNFAVORABLE,GORE,LESS,EDUCATION,NO,NO,CLINTON,BETTER,APP/UNFAV,INDEPEND,POSTGRAD,PROTESTANT,50-75K,LIBERAL,18-64,STATE,COMPLETE,EASTCENTRAL,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.135
STATE ONLY,15.0,38.0,44.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,LUGAR,OBANNON,APPROVE,FAVORABLE,GORE,OMITS,OMITS,NO,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,OVER100K,MODERATE,18-64,STATE,COMPLETE,EASTCENTRAL,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.037
STATE ONLY,15.0,39.0,1.0,FIRST CALL,75+,WHITE,MALE,GORE,JOHNSON,OBANNON,APPROVE,FAVORABLE,GORE,OMITS,MEDICARE/RX,NO,OMITS,CLINTON,SAME,APP/FAV,DEMOCRAT,NOHS,PROTESTANT,LESS15K,CONSERV,65+,STATE,COMPLETE,NORTH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.116
STATE ONLY,15.0,39.0,2.0,FIRST CALL,18-24,WHITE,MALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,MORE,ECON/JOBS,YES,NO,PEROT,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,15-30K,LIBERAL,18-64,STATE,COMPLETE,NORTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.881
STATE ONLY,15.0,39.0,3.0,FIRST CALL,50-59,WHITE,MALE,BUSH,LUGAR,MCINTOSH,OMITS,UNFAVORABLE,BUSH,LESS,OMITS,YES,OMITS,DOLE,SAME,OMITS,REPUBLCN,HSGRAD,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,NORTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.935
STATE ONLY,15.0,39.0,4.0,FIRST CALL,30-39,HISP,MALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,MORE,SOCIALSECUR,NO,YES,OTHER,SAME,DIS/UNFAV,REPUBLCN,POSTGRAD,,50-75K,CONSERV,18-64,STATE,COMPLETE,NORTH,30-44,30-39,REPUBLICAN,30-39,,,,0.882
STATE ONLY,15.0,39.0,5.0,FIRST CALL,30-39,WHITE,MALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,YES,YES,DOLE,WORSE,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,50-75K,CONSERV,18-64,STATE,COMPLETE,NORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.935
STATE ONLY,15.0,39.0,6.0,FIRST CALL,30-39,WHITE,MALE,BUSH,LUGAR,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,YES,NO,PEROT,WORSE,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,50-75K,CONSERV,18-64,STATE,COMPLETE,NORTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.935
