VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,X6VOTE,FINSIT,JOBPERS,PARTYID,WARWEST,INCOME,REL7,PHIL3,OVER65,RELG6,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,13.0,13.0,26.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,DOLE,SAME,APP/UNFAV,REPUBLCN,HURTSTATE,30-50K,PROTESTANT,CONSERV,18-64,PROT/CHRIST,STATE,ADACOUNTY,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.751
STATE ONLY,13.0,13.0,27.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,INDEPEND,HELPSTATE,30-50K,CATHOLIC,MODERATE,65+,CATHOLIC,STATE,ADACOUNTY,60+,60+,IND/OTHER,65+,CATHOLIC,,,0.494
STATE ONLY,13.0,13.0,28.0,SECOND CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,HURTSTATE,75-100K,PROTESTANT,CONSERV,18-64,PROT/CHRIST,STATE,ADACOUNTY,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.6930000000000001
STATE ONLY,13.0,13.0,29.0,SECOND CALL,65-74,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,HELPSTATE,30-50K,CATHOLIC,MODERATE,65+,CATHOLIC,STATE,ADACOUNTY,60+,60+,DEMOCRAT,65+,CATHOLIC,,,0.456
STATE ONLY,13.0,13.0,30.0,SECOND CALL,18-24,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NOVOTE,BETTER,APP/UNFAV,REPUBLCN,NOTAFFECT,75-100K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,STATE,ADACOUNTY,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.605
STATE ONLY,13.0,13.0,31.0,SECOND CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,NOTAFFECT,75-100K,PROTESTANT,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.6930000000000001
STATE ONLY,13.0,13.0,32.0,SECOND CALL,45-49,BLACK,MALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,NOTAFFECT,OVER100K,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.219
STATE ONLY,13.0,13.0,33.0,SECOND CALL,18-24,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NOVOTE,SAME,APP/FAV,DEMOCRAT,HELPSTATE,50-75K,OTHERCHRIST,LIBERAL,18-64,PROT/CHRIST,STATE,ADACOUNTY,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,0.289
STATE ONLY,13.0,13.0,34.0,SECOND CALL,30-39,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,CLINTON,SAME,APP/UNFAV,REPUBLCN,NOTAFFECT,15-30K,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.6930000000000001
STATE ONLY,13.0,13.0,35.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,PEROT,SAME,DIS/UNFAV,REPUBLCN,NOTAFFECT,50-75K,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.751
STATE ONLY,13.0,13.0,36.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NOVOTE,BETTER,DIS/UNFAV,ELSE,HURTSTATE,75-100K,OTHERCHRIST,LIBERAL,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.751
STATE ONLY,13.0,13.0,37.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,CLINTON,BETTER,DIS/UNFAV,INDEPEND,HURTSTATE,30-50K,PROTESTANT,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.751
STATE ONLY,13.0,13.0,38.0,SECOND CALL,40-44,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,NOTAFFECT,50-75K,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.6930000000000001
STATE ONLY,13.0,13.0,39.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,OMITS,30-50K,PROTESTANT,CONSERV,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.751
STATE ONLY,13.0,13.0,40.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,NOTAFFECT,15-30K,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.655
STATE ONLY,13.0,13.0,41.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HELPSTATE,30-50K,PROTESTANT,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.331
STATE ONLY,13.0,13.0,42.0,THIRD CALL,50-59,WHITE,MALE,OTHER,DISAPPR,UNFAVORABLE,BUSH,CLINTON,SAME,DIS/UNFAV,DEMOCRAT,HURTSTATE,75-100K,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.1
STATE ONLY,13.0,13.0,43.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NOVOTE,SAME,APP/UNFAV,REPUBLCN,NOTAFFECT,30-50K,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.751
STATE ONLY,13.0,13.0,44.0,THIRD CALL,18-24,WHITE,MALE,GORE,OMITS,OMITS,GORE,NOVOTE,BETTER,OMITS,ELSE,OMITS,50-75K,NONE,,18-64,NONE,STATE,ADACOUNTY,18-29,18-24,IND/OTHER,18-24,NONE,,,0.266
STATE ONLY,13.0,13.0,45.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,HURTSTATE,15-30K,OTHERCHRIST,CONSERV,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.751
STATE ONLY,13.0,13.0,46.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,APPROVE,OMITS,GORE,DOLE,SAME,OMITS,DEMOCRAT,OMITS,LESS15K,PROTESTANT,LIBERAL,65+,PROT/CHRIST,STATE,ADACOUNTY,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.494
STATE ONLY,13.0,13.0,47.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,DISAPPR,UNFAVORABLE,GORE,NOVOTE,BETTER,DIS/UNFAV,DEMOCRAT,NOTAFFECT,15-30K,OTHERCHRIST,LIBERAL,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.331
STATE ONLY,13.0,13.0,48.0,THIRD CALL,30-39,WHITE,FEMALE,OTHER,APPROVE,UNFAVORABLE,WOULDNOTVOTE,PEROT,SAME,APP/UNFAV,ELSE,HURTSTATE,75-100K,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.109
STATE ONLY,13.0,13.0,49.0,THIRD CALL,30-39,WHITE,FEMALE,OTHER,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,HURTSTATE,30-50K,NONE,MODERATE,18-64,NONE,STATE,ADACOUNTY,30-44,30-39,DEMOCRAT,30-39,NONE,,,0.109
STATE ONLY,13.0,13.0,50.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,HELPSTATE,50-75K,OTHER,MODERATE,18-64,OTHER,STATE,ADACOUNTY,30-44,30-39,DEMOCRAT,30-39,OTHER,,,0.331
STATE ONLY,13.0,13.0,51.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,HELPSTATE,75-100K,PROTESTANT,CONSERV,18-64,PROT/CHRIST,STATE,ADACOUNTY,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.751
STATE ONLY,13.0,13.0,52.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,HURTSTATE,50-75K,OTHERCHRIST,CONSERV,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.751
STATE ONLY,13.0,13.0,53.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,SAME,APP/UNFAV,DEMOCRAT,NOTAFFECT,30-50K,NONE,LIBERAL,18-64,NONE,STATE,ADACOUNTY,45-59,50-59,DEMOCRAT,50-64,NONE,,,0.331
STATE ONLY,13.0,13.0,54.0,THIRD CALL,45-49,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HELPSTATE,50-75K,PROTESTANT,LIBERAL,18-64,PROT/CHRIST,STATE,ADACOUNTY,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.305
STATE ONLY,13.0,13.0,55.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HELPSTATE,OVER100K,NONE,MODERATE,18-64,NONE,STATE,ADACOUNTY,30-44,40-49,DEMOCRAT,40-49,NONE,,,0.331
STATE ONLY,13.0,13.0,56.0,THIRD CALL,30-39,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,INDEPEND,HELPSTATE,75-100K,OTHER,LIBERAL,18-64,OTHER,STATE,ADACOUNTY,30-44,30-39,IND/OTHER,30-39,OTHER,,,0.305
STATE ONLY,13.0,13.0,57.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NOVOTE,BETTER,APP/FAV,DEMOCRAT,NOTAFFECT,30-50K,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.331
STATE ONLY,13.0,13.0,58.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HELPSTATE,OVER100K,PROTESTANT,LIBERAL,18-64,PROT/CHRIST,STATE,ADACOUNTY,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.331
STATE ONLY,13.0,13.0,59.0,THIRD CALL,60-64,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,HURTSTATE,50-75K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,STATE,ADACOUNTY,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,1.035
STATE ONLY,13.0,13.0,60.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NOVOTE,BETTER,APP/FAV,DEMOCRAT,HELPSTATE,15-30K,PROTESTANT,CONSERV,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.331
STATE ONLY,13.0,13.0,61.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,CLINTON,BETTER,APP/UNFAV,REPUBLCN,OMITS,OVER100K,PROTESTANT,CONSERV,18-64,PROT/CHRIST,STATE,ADACOUNTY,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,0.655
STATE ONLY,13.0,13.0,62.0,THIRD CALL,18-24,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,PEROT,SAME,DIS/UNFAV,REPUBLCN,HURTSTATE,30-50K,NONE,MODERATE,18-64,NONE,STATE,ADACOUNTY,18-29,18-24,REPUBLICAN,18-24,NONE,,,0.605
STATE ONLY,13.0,13.0,63.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,FAVORABLE,BUSH,PEROT,BETTER,DIS/FAV,INDEPEND,HURTSTATE,50-75K,OTHER,MODERATE,18-64,OTHER,STATE,ADACOUNTY,45-59,50-59,IND/OTHER,50-64,OTHER,,,0.751
STATE ONLY,13.0,13.0,64.0,THIRD CALL,40-44,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,NOTAFFECT,50-75K,OTHERCHRIST,CONSERV,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.6930000000000001
STATE ONLY,13.0,23.0,1.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,SAME,APP/UNFAV,DEMOCRAT,OMITS,50-75K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,STATE,SOUTHEAST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.561
STATE ONLY,13.0,23.0,2.0,FIRST CALL,60-64,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,PEROT,SAME,DIS/UNFAV,INDEPEND,HURTSTATE,50-75K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,STATE,SOUTHEAST,60+,60+,IND/OTHER,50-64,PROT/CHRIST,,,1.029
STATE ONLY,13.0,23.0,3.0,FIRST CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,HURTSTATE,30-50K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,STATE,SOUTHEAST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.666
STATE ONLY,13.0,23.0,4.0,FIRST CALL,25-29,,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,HURTSTATE,30-50K,NONE,MODERATE,18-64,NONE,STATE,SOUTHEAST,18-29,25-29,REPUBLICAN,25-29,NONE,,,0.8
STATE ONLY,13.0,23.0,5.0,FIRST CALL,60-64,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,HURTSTATE,LESS15K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,STATE,SOUTHEAST,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,1.029
STATE ONLY,13.0,23.0,6.0,FIRST CALL,25-29,WHITE,MALE,BUSH,APPROVE,FAVORABLE,BUSH,NOVOTE,SAME,APP/FAV,DEMOCRAT,OMITS,50-75K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,STATE,SOUTHEAST,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,0.8
STATE ONLY,13.0,23.0,7.0,FIRST CALL,75+,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,OMITS,OMITS,DIS/UNFAV,REPUBLCN,HURTSTATE,30-50K,MORMON/LDS,CONSERV,65+,MORMON/LDS,STATE,SOUTHEAST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.066
STATE ONLY,13.0,23.0,8.0,FIRST CALL,50-59,OTHER,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,CLINTON,BETTER,APP/UNFAV,REPUBLCN,NOTAFFECT,50-75K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,STATE,SOUTHEAST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.6890000000000001
STATE ONLY,13.0,23.0,9.0,FIRST CALL,45-49,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,INDEPEND,HELPSTATE,30-50K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,STATE,SOUTHEAST,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.541
STATE ONLY,13.0,23.0,10.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,OMITS,BETTER,APP/UNFAV,REPUBLCN,HELPSTATE,50-75K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,STATE,SOUTHEAST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.6890000000000001
STATE ONLY,13.0,23.0,11.0,FIRST CALL,75+,WHITE,FEMALE,OTHER,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,PEROT,SAME,DIS/UNFAV,INDEPEND,OMITS,30-50K,NONE,MODERATE,65+,NONE,STATE,SOUTHEAST,60+,60+,IND/OTHER,65+,NONE,,,0.21
STATE ONLY,13.0,23.0,12.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,SAME,APP/UNFAV,DEMOCRAT,HURTSTATE,75-100K,CATHOLIC,MODERATE,18-64,CATHOLIC,STATE,SOUTHEAST,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.561
STATE ONLY,13.0,23.0,13.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,OMITS,15-30K,MORMON/LDS,,18-64,MORMON/LDS,STATE,SOUTHEAST,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,1.066
STATE ONLY,13.0,23.0,14.0,FIRST CALL,75+,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,DOLE,BETTER,APP/UNFAV,INDEPEND,NOTAFFECT,15-30K,MORMON/LDS,,65+,MORMON/LDS,STATE,SOUTHEAST,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.066
STATE ONLY,13.0,23.0,15.0,FIRST CALL,75+,WHITE,MALE,GORE,APPROVE,OMITS,GORE,CLINTON,SAME,OMITS,DEMOCRAT,HELPSTATE,LESS15K,NONE,MODERATE,65+,NONE,STATE,SOUTHEAST,60+,60+,DEMOCRAT,65+,NONE,,,0.837
STATE ONLY,13.0,23.0,16.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,ELSE,NOTAFFECT,LESS15K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,STATE,SOUTHEAST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.561
STATE ONLY,13.0,23.0,17.0,SECOND CALL,50-59,WHITE,MALE,BUSH,DISAPPR,OMITS,BUSH,CLINTON,SAME,OMITS,ELSE,HURTSTATE,50-75K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,STATE,SOUTHEAST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.666
STATE ONLY,13.0,23.0,18.0,SECOND CALL,75+,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,OMITS,BETTER,DIS/UNFAV,,HURTSTATE,15-30K,PROTESTANT,MODERATE,65+,PROT/CHRIST,STATE,SOUTHEAST,60+,60+,,65+,PROT/CHRIST,,,1.029
STATE ONLY,13.0,23.0,19.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,HURTSTATE,30-50K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,STATE,SOUTHEAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.6890000000000001
STATE ONLY,13.0,23.0,20.0,SECOND CALL,30-39,WHITE,MALE,GORE,DISAPPR,UNFAVORABLE,GORE,PEROT,SAME,DIS/UNFAV,INDEPEND,HURTSTATE,15-30K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,STATE,SOUTHEAST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.541
STATE ONLY,13.0,23.0,21.0,SECOND CALL,75+,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,NOTAFFECT,LESS15K,MORMON/LDS,MODERATE,65+,MORMON/LDS,STATE,SOUTHEAST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.837
STATE ONLY,13.0,23.0,22.0,SECOND CALL,60-64,WHITE,MALE,BUSH,OMITS,OMITS,BUSH,DOLE,SAME,OMITS,REPUBLCN,HURTSTATE,LESS15K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,STATE,SOUTHEAST,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,1.029
STATE ONLY,13.0,23.0,23.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,HURTSTATE,15-30K,MORMON/LDS,CONSERV,65+,MORMON/LDS,STATE,SOUTHEAST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.066
STATE ONLY,13.0,23.0,24.0,SECOND CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,PEROT,SAME,DIS/UNFAV,INDEPEND,HURTSTATE,30-50K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,STATE,SOUTHEAST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.666
STATE ONLY,13.0,23.0,25.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HELPSTATE,LESS15K,MORMON/LDS,MODERATE,65+,MORMON/LDS,STATE,SOUTHEAST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.867
STATE ONLY,13.0,23.0,26.0,SECOND CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,OMITS,,MORMON/LDS,CONSERV,18-64,MORMON/LDS,STATE,SOUTHEAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.666
STATE ONLY,13.0,23.0,27.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,OMITS,UNFAVORABLE,BUSH,CLINTON,SAME,OMITS,REPUBLCN,HURTSTATE,,MORMON/LDS,CONSERV,65+,MORMON/LDS,STATE,SOUTHEAST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.066
STATE ONLY,13.0,23.0,28.0,SECOND CALL,75+,WHITE,MALE,BUCHANAN,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,OTHER,BETTER,DIS/UNFAV,INDEPEND,HURTSTATE,,MORMON/LDS,LIBERAL,65+,MORMON/LDS,STATE,SOUTHEAST,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,0.677
STATE ONLY,13.0,23.0,29.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,CLINTON,WORSE,DIS/UNFAV,DEMOCRAT,HURTSTATE,30-50K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,STATE,SOUTHEAST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.6890000000000001
STATE ONLY,13.0,23.0,30.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,CLINTON,SAME,APP/UNFAV,REPUBLCN,OMITS,LESS15K,MORMON/LDS,MODERATE,65+,MORMON/LDS,STATE,SOUTHEAST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.066
STATE ONLY,13.0,23.0,31.0,SECOND CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,OMITS,PEROT,BETTER,DIS/UNFAV,INDEPEND,HURTSTATE,OVER100K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,STATE,SOUTHEAST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.666
STATE ONLY,13.0,23.0,32.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,OMITS,OMITS,SAME,DIS/UNFAV,,HURTSTATE,,MORMON/LDS,CONSERV,65+,MORMON/LDS,STATE,SOUTHEAST,60+,60+,,65+,PROT/CHRIST,,,1.066
STATE ONLY,13.0,23.0,33.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,CLINTON,BETTER,DIS/UNFAV,REPUBLCN,OMITS,30-50K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,STATE,SOUTHEAST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.6890000000000001
STATE ONLY,13.0,23.0,34.0,SECOND CALL,65-74,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,HELPSTATE,30-50K,MORMON/LDS,MODERATE,65+,MORMON/LDS,STATE,SOUTHEAST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.837
STATE ONLY,13.0,23.0,35.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NOVOTE,BETTER,APP/FAV,DEMOCRAT,OMITS,50-75K,PROTESTANT,MODERATE,18-64,PROT/CHRIST,STATE,SOUTHEAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.561
STATE ONLY,13.0,23.0,36.0,SECOND CALL,75+,WHITE,FEMALE,GORE,DISAPPR,OMITS,WOULDNOTVOTE,OMITS,SAME,OMITS,,OMITS,,,,65+,,STATE,SOUTHEAST,60+,60+,,65+,,,,0.867
STATE ONLY,13.0,23.0,37.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,HELPSTATE,15-30K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,STATE,SOUTHEAST,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.561
