VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,PROPMA4,GOVTDO,ISSUE,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,LOGO,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,22.0,36.0,48.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,EDUCATION,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,50-75K,LIBERAL,18-64,YES,STATE,COMPLETE,OTHLRGCITIES,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.721
STATE ONLY,22.0,36.0,49.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,WORLDAFFAIRS,CLINTON,WORSE,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,15-30K,LIBERAL,18-64,YES,STATE,COMPLETE,OTHLRGCITIES,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.967
STATE ONLY,22.0,36.0,50.0,THIRD CALL,30-39,HISP,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,OMITS,NO,LESS,MEDICARE/RX,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,MODERATE,18-64,YES,STATE,COMPLETE,OTHLRGCITIES,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.721
STATE ONLY,22.0,44.0,1.0,FIRST CALL,50-59,WHITE,MALE,BUSH,ROBINSON,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,EDUCATION,DOLE,BETTER,DIS/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,OVER100K,MODERATE,18-64,NO,STATE,COMPLETE,WEST,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,1.062
STATE ONLY,22.0,44.0,2.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,ROBINSON,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,SOCIALSECUR,DOLE,SAME,DIS/UNFAV,INDEPEND,COLGRAD,PROTESTANT,50-75K,MODERATE,65+,NO,STATE,COMPLETE,WEST,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.435
STATE ONLY,22.0,44.0,3.0,FIRST CALL,30-39,WHITE,MALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,YES,MORE,SOCIALSECUR,CLINTON,SAME,APP/FAV,INDEPEND,HSGRAD,CATHOLIC,50-75K,LIBERAL,18-64,YES,STATE,COMPLETE,WEST,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.799
STATE ONLY,22.0,44.0,4.0,FIRST CALL,25-29,WHITE,MALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,30-50K,MODERATE,18-64,NO,STATE,COMPLETE,WEST,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,1.427
STATE ONLY,22.0,44.0,5.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,KENNEDY,APPROVE,OMITS,GORE,NO,MORE,MEDICARE/RX,CLINTON,BETTER,OMITS,DEMOCRAT,NOHS,CATHOLIC,50-75K,MODERATE,65+,YES,STATE,COMPLETE,WEST,60+,60+,DEMOCRAT,65+,CATHOLIC,,,1.078
STATE ONLY,22.0,44.0,6.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,KENNEDY,OMITS,UNFAVORABLE,GORE,YES,LESS,EDUCATION,CLINTON,SAME,OMITS,REPUBLCN,POSTGRAD,CATHOLIC,50-75K,MODERATE,18-64,YES,STATE,COMPLETE,WEST,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,0.852
STATE ONLY,22.0,44.0,7.0,FIRST CALL,40-44,WHITE,FEMALE,NADER,KENNEDY,APPROVE,FAVORABLE,GORE,YES,LESS,SOCIALSECUR,CLINTON,SAME,APP/FAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,50-75K,MODERATE,18-64,YES,STATE,COMPLETE,WEST,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.364
STATE ONLY,22.0,44.0,8.0,FIRST CALL,30-39,WHITE,MALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,WORLDAFFAIRS,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,50-75K,MODERATE,18-64,YES,STATE,COMPLETE,WEST,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.803
STATE ONLY,22.0,44.0,9.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,YES,OMITS,MEDICARE/RX,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,LESS15K,MODERATE,65+,YES,STATE,COMPLETE,WEST,60+,60+,DEMOCRAT,65+,CATHOLIC,,,1.07
STATE ONLY,22.0,44.0,10.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,YES,MORE,HEALTHCARE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,,,18-64,NO,STATE,COMPLETE,WEST,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.852
STATE ONLY,22.0,44.0,11.0,FIRST CALL,75+,WHITE,FEMALE,GORE,KENNEDY,OMITS,FAVORABLE,GORE,NO,LESS,SOCIALSECUR,CLINTON,SAME,OMITS,DEMOCRAT,,CATHOLIC,50-75K,MODERATE,65+,NO,STATE,COMPLETE,WEST,60+,60+,DEMOCRAT,65+,CATHOLIC,,,1.078
STATE ONLY,22.0,44.0,12.0,FIRST CALL,25-29,WHITE,FEMALE,NADER,KENNEDY,APPROVE,OMITS,GORE,NO,MORE,OMITS,CLINTON,SAME,OMITS,DEMOCRAT,POSTGRAD,CATHOLIC,50-75K,LIBERAL,18-64,YES,STATE,COMPLETE,WEST,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,,,2.441
STATE ONLY,22.0,44.0,13.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,EDUCATION,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,50-75K,MODERATE,65+,NO,STATE,COMPLETE,WEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.078
STATE ONLY,22.0,44.0,14.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,WORLDAFFAIRS,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,NONE,30-50K,MODERATE,18-64,YES,STATE,COMPLETE,WEST,30-44,30-39,DEMOCRAT,30-39,NONE,,,0.856
STATE ONLY,22.0,44.0,15.0,SECOND CALL,30-39,WHITE,MALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,CATHOLIC,75-100K,MODERATE,18-64,YES,STATE,COMPLETE,WEST,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.803
STATE ONLY,22.0,44.0,16.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,ELSE,75-100K,MODERATE,18-64,YES,STATE,COMPLETE,WEST,30-44,40-49,DEMOCRAT,40-49,OTHER,,,0.856
STATE ONLY,22.0,44.0,17.0,SECOND CALL,75+,WHITE,FEMALE,NADER,KENNEDY,APPROVE,UNFAVORABLE,BUSH,YES,LESS,HEALTHCARE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,15-30K,LIBERAL,65+,YES,STATE,COMPLETE,WEST,60+,60+,DEMOCRAT,65+,CATHOLIC,,,1.707
STATE ONLY,22.0,44.0,18.0,SECOND CALL,75+,WHITE,,GORE,HOWELL,DISAPPR,UNFAVORABLE,GORE,YES,MORE,MEDICARE/RX,DOLE,WORSE,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,LESS15K,CONSERV,65+,NO,STATE,COMPLETE,WEST,60+,60+,IND/OTHER,65+,CATHOLIC,,,0.868
STATE ONLY,22.0,44.0,19.0,SECOND CALL,30-39,WHITE,MALE,BUSH,ROBINSON,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,TAXES,CLINTON,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,50-75K,CONSERV,18-64,NO,STATE,COMPLETE,WEST,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,1.062
STATE ONLY,22.0,44.0,20.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,KENNEDY,APPROVE,UNFAVORABLE,GORE,NO,MORE,OMITS,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,NONE,15-30K,LIBERAL,18-64,NO,STATE,COMPLETE,WEST,30-44,30-39,DEMOCRAT,30-39,NONE,,,0.856
STATE ONLY,22.0,44.0,21.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,YES,MORE,HEALTHCARE,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,LESS15K,CONSERV,65+,YES,STATE,COMPLETE,WEST,60+,60+,DEMOCRAT,65+,CATHOLIC,,,1.07
STATE ONLY,22.0,44.0,22.0,SECOND CALL,50-59,WHITE,MALE,BUSH,HOWELL,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,ECON/JOBS,DOLE,BETTER,DIS/UNFAV,INDEPEND,COLGRAD,PROTESTANT,50-75K,CONSERV,18-64,NO,STATE,COMPLETE,WEST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.786
STATE ONLY,22.0,44.0,23.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,WORLDAFFAIRS,CLINTON,BETTER,APP/FAV,INDEPEND,SOMCOL/ASSOC,NONE,50-75K,CONSERV,18-64,YES,STATE,COMPLETE,WEST,45-59,50-59,IND/OTHER,50-64,NONE,,,0.856
STATE ONLY,22.0,44.0,24.0,THIRD CALL,30-39,WHITE,MALE,BUSH,OTHER,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,OMITS,DOLE,BETTER,DIS/UNFAV,INDEPEND,POSTGRAD,PROTESTANT,50-75K,CONSERV,18-64,NO,STATE,COMPLETE,WEST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.925
STATE ONLY,22.0,44.0,25.0,THIRD CALL,45-49,WHITE,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,TAXES,DOLE,BETTER,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,75-100K,MODERATE,18-64,YES,STATE,COMPLETE,WEST,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,,0.906
STATE ONLY,22.0,44.0,26.0,THIRD CALL,60-64,WHITE,FEMALE,BUSH,ROBINSON,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,WORLDAFFAIRS,PEROT,SAME,DIS/UNFAV,DEMOCRAT,HSGRAD,PROTESTANT,15-30K,MODERATE,18-64,YES,STATE,COMPLETE,WEST,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,1.426
STATE ONLY,22.0,44.0,27.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,YES,MORE,EDUCATION,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,LIBERAL,18-64,YES,STATE,COMPLETE,WEST,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.852
STATE ONLY,22.0,44.0,28.0,THIRD CALL,25-29,WHITE,MALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,YES,MORE,WORLDAFFAIRS,PEROT,WORSE,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,50-75K,LIBERAL,18-64,YES,STATE,COMPLETE,WEST,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,,,1.419
STATE ONLY,22.0,44.0,29.0,THIRD CALL,30-39,WHITE,MALE,GORE,KENNEDY,OMITS,FAVORABLE,GORE,YES,MORE,OMITS,CLINTON,BETTER,OMITS,DEMOCRAT,COLGRAD,CATHOLIC,50-75K,CONSERV,18-64,YES,STATE,COMPLETE,WEST,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.799
STATE ONLY,22.0,44.0,30.0,THIRD CALL,60-64,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,OMITS,SOCIALSECUR,NOVOTE,BETTER,APP/FAV,INDEPEND,HSGRAD,PROTESTANT,LESS15K,,18-64,NO,STATE,COMPLETE,WEST,60+,60+,IND/OTHER,50-64,PROT/CHRIST,,,1.078
STATE ONLY,22.0,44.0,31.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,YES,MORE,EDUCATION,CLINTON,SAME,APP/FAV,INDEPEND,HSGRAD,CATHOLIC,30-50K,LIBERAL,65+,YES,STATE,COMPLETE,WEST,60+,60+,IND/OTHER,65+,CATHOLIC,,,1.07
STATE ONLY,22.0,44.0,32.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,KENNEDY,OMITS,UNFAVORABLE,BUSH,NO,OMITS,OMITS,NOVOTE,SAME,OMITS,INDEPEND,SOMCOL/ASSOC,,30-50K,MODERATE,18-64,YES,STATE,COMPLETE,WEST,30-44,40-49,IND/OTHER,40-49,,,,0.973
STATE ONLY,22.0,44.0,33.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,KENNEDY,APPROVE,UNFAVORABLE,BUSH,YES,LESS,WORLDAFFAIRS,CLINTON,BETTER,APP/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,50-75K,MODERATE,18-64,YES,STATE,COMPLETE,WEST,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.968
STATE ONLY,22.0,44.0,34.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,YES,MORE,TAXES,CLINTON,BETTER,APP/FAV,INDEPEND,COLGRAD,CATHOLIC,30-50K,CONSERV,18-64,NO,STATE,COMPLETE,WEST,18-29,25-29,IND/OTHER,25-29,CATHOLIC,,,1.5150000000000001
STATE ONLY,22.0,44.0,35.0,THIRD CALL,30-39,WHITE,MALE,BUSH,ROBINSON,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,WORLDAFFAIRS,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,OTHERCHRIST,50-75K,CONSERV,18-64,YES,STATE,COMPLETE,WEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.062
STATE ONLY,22.0,44.0,36.0,THIRD CALL,30-39,WHITE,MALE,BUSH,HOWELL,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,OMITS,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,JEWISH,50-75K,CONSERV,18-64,YES,STATE,COMPLETE,WEST,30-44,30-39,REPUBLICAN,30-39,JEWISH,,,0.79
STATE ONLY,22.0,44.0,37.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,YES,MORE,SOCIALSECUR,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,ELSE,15-30K,MODERATE,18-64,NO,STATE,COMPLETE,WEST,45-59,40-49,DEMOCRAT,40-49,OTHER,,,0.852
STATE ONLY,22.0,44.0,38.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,WOULDNOTVOTE,YES,MORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,INDEPEND,POSTGRAD,CATHOLIC,75-100K,MODERATE,18-64,YES,STATE,COMPLETE,WEST,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,,0.852
STATE ONLY,22.0,44.0,39.0,THIRD CALL,30-39,WHITE,MALE,BUCHANAN,ROBINSON,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,TAXES,DOLE,WORSE,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,30-50K,CONSERV,18-64,NO,STATE,COMPLETE,WEST,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,0.341
STATE ONLY,22.0,44.0,40.0,THIRD CALL,65-74,WHITE,MALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,YES,MORE,SOCIALSECUR,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,15-30K,MODERATE,65+,NO,STATE,COMPLETE,WEST,60+,60+,DEMOCRAT,65+,CATHOLIC,,,1.0010000000000001
STATE ONLY,22.0,44.0,41.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,KENNEDY,APPROVE,UNFAVORABLE,GORE,YES,MORE,WORLDAFFAIRS,CLINTON,SAME,APP/UNFAV,DEMOCRAT,POSTGRAD,CATHOLIC,50-75K,MODERATE,18-64,YES,STATE,COMPLETE,WEST,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.852
STATE ONLY,22.0,44.0,42.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,,APPROVE,FAVORABLE,GORE,NO,LESS,TAXES,CLINTON,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,NONE,15-30K,LIBERAL,18-64,YES,STATE,COMPLETE,WEST,18-29,18-24,DEMOCRAT,18-24,NONE,,,1.5270000000000001
STATE ONLY,22.0,44.0,43.0,THIRD CALL,30-39,WHITE,MALE,BUSH,HOWELL,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,OMITS,NOVOTE,BETTER,DIS/UNFAV,INDEPEND,HSGRAD,CATHOLIC,30-50K,MODERATE,18-64,YES,STATE,COMPLETE,WEST,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.786
STATE ONLY,22.0,44.0,44.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,SOCIALSECUR,CLINTON,BETTER,APP/FAV,DEMOCRAT,NOHS,CATHOLIC,LESS15K,LIBERAL,18-64,NO,STATE,COMPLETE,WEST,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.856
STATE ONLY,22.0,44.0,45.0,THIRD CALL,65-74,WHITE,MALE,BUSH,ROBINSON,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,WORLDAFFAIRS,DOLE,WORSE,DIS/UNFAV,INDEPEND,HSGRAD,PROTESTANT,LESS15K,CONSERV,65+,YES,STATE,COMPLETE,WEST,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.334
STATE ONLY,22.0,44.0,46.0,THIRD CALL,75+,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,YES,LESS,MEDICARE/RX,CLINTON,SAME,APP/FAV,INDEPEND,COLGRAD,PROTESTANT,15-30K,LIBERAL,65+,YES,STATE,COMPLETE,WEST,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.07
STATE ONLY,22.0,44.0,47.0,THIRD CALL,30-39,WHITE,MALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,ECON/JOBS,PEROT,BETTER,APP/FAV,INDEPEND,HSGRAD,CATHOLIC,50-75K,MODERATE,18-64,NO,STATE,COMPLETE,WEST,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.803
STATE ONLY,22.0,44.0,48.0,THIRD CALL,75+,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,,MORE,MEDICARE/RX,CLINTON,SAME,APP/FAV,DEMOCRAT,NOHS,CATHOLIC,,CONSERV,65+,NO,STATE,COMPLETE,WEST,60+,60+,DEMOCRAT,65+,CATHOLIC,,,1.072
STATE ONLY,22.0,44.0,49.0,THIRD CALL,30-39,HISP,MALE,NADER,HOWELL,OMITS,FAVORABLE,GORE,,LESS,MEDICARE/RX,CLINTON,SAME,OMITS,DEMOCRAT,NOHS,NONE,15-30K,LIBERAL,18-64,NO,STATE,COMPLETE,WEST,30-44,30-39,DEMOCRAT,30-39,NONE,,,0.796
STATE ONLY,22.0,44.0,50.0,THIRD CALL,50-59,WHITE,MALE,GORE,KENNEDY,APPROVE,UNFAVORABLE,GORE,NO,MORE,TAXES,CLINTON,BETTER,APP/UNFAV,INDEPEND,POSTGRAD,PROTESTANT,OVER100K,MODERATE,18-64,NO,STATE,COMPLETE,WEST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.803
STATE ONLY,22.0,44.0,51.0,THIRD CALL,18-24,WHITE,MALE,BUSH,KENNEDY,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,NO,MORE,EDUCATION,NOVOTE,SAME,DIS/UNFAV,ELSE,HSGRAD,PROTESTANT,LESS15K,CONSERV,18-64,NO,STATE,COMPLETE,WEST,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,1.62
STATE ONLY,22.0,44.0,52.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,ECON/JOBS,NOVOTE,BETTER,APP/FAV,INDEPEND,HSGRAD,CATHOLIC,50-75K,LIBERAL,18-64,NO,STATE,COMPLETE,WEST,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,,0.856
STATE ONLY,22.0,44.0,53.0,THIRD CALL,40-44,WHITE,MALE,NADER,KENNEDY,APPROVE,OMITS,GORE,YES,MORE,ECON/JOBS,PEROT,BETTER,OMITS,DEMOCRAT,COLGRAD,CATHOLIC,50-75K,LIBERAL,18-64,NO,STATE,COMPLETE,WEST,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.2750000000000001
STATE ONLY,22.0,44.0,54.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,KENNEDY,APPROVE,UNFAVORABLE,GORE,YES,MORE,HEALTHCARE,CLINTON,BETTER,APP/UNFAV,INDEPEND,COLGRAD,CATHOLIC,50-75K,LIBERAL,18-64,NO,STATE,COMPLETE,WEST,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,0.852
STATE ONLY,22.0,44.0,55.0,THIRD CALL,18-24,WHITE,MALE,BUSH,ROBINSON,APPROVE,FAVORABLE,BUSH,YES,MORE,WORLDAFFAIRS,NOVOTE,SAME,APP/FAV,DEMOCRAT,HSGRAD,ELSE,30-50K,MODERATE,18-64,YES,STATE,COMPLETE,WEST,18-29,18-24,DEMOCRAT,18-24,OTHER,,,1.8880000000000001
STATE ONLY,22.0,44.0,56.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,KENNEDY,APPROVE,UNFAVORABLE,GORE,NO,LESS,EDUCATION,CLINTON,BETTER,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,75-100K,MODERATE,18-64,YES,STATE,COMPLETE,WEST,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.856
STATE ONLY,22.0,45.0,1.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,YES,LESS,HEALTHCARE,CLINTON,BETTER,APP/FAV,INDEPEND,POSTGRAD,NONE,15-30K,LIBERAL,18-64,YES,STATE,COMPLETE,BOSTON,30-44,40-49,IND/OTHER,40-49,NONE,,,1.081
STATE ONLY,22.0,45.0,2.0,FIRST CALL,30-39,WHITE,MALE,NADER,ROBINSON,APPROVE,FAVORABLE,GORE,YES,MORE,ECON/JOBS,DOLE,BETTER,APP/FAV,INDEPEND,POSTGRAD,CATHOLIC,50-75K,LIBERAL,18-64,NO,STATE,COMPLETE,BOSTON,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,2.019
STATE ONLY,22.0,45.0,3.0,FIRST CALL,75+,WHITE,FEMALE,GORE,KENNEDY,OMITS,OMITS,OMITS,YES,MORE,HEALTHCARE,OMITS,OMITS,,,,,,,65+,,STATE,NOTCOMPLETE,BOSTON,60+,60+,,65+,,,,1.724
STATE ONLY,22.0,45.0,4.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,KENNEDY,APPROVE,UNFAVORABLE,GORE,YES,MORE,HEALTHCARE,CLINTON,SAME,APP/UNFAV,DEMOCRAT,HSGRAD,CATHOLIC,50-75K,MODERATE,18-64,YES,STATE,COMPLETE,BOSTON,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,1.081
STATE ONLY,22.0,45.0,5.0,FIRST CALL,25-29,WHITE,FEMALE,BUSH,ROBINSON,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,TAXES,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,30-50K,CONSERV,18-64,YES,STATE,COMPLETE,BOSTON,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,1.158
STATE ONLY,22.0,45.0,6.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,SOCIALSECUR,CLINTON,SAME,APP/FAV,DEMOCRAT,COLGRAD,NONE,50-75K,LIBERAL,18-64,YES,STATE,COMPLETE,BOSTON,45-59,40-49,DEMOCRAT,40-49,NONE,,,1.088
STATE ONLY,22.0,45.0,7.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,KENNEDY,APPROVE,UNFAVORABLE,GORE,YES,MORE,SOCIALSECUR,CLINTON,WORSE,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,LIBERAL,18-64,NO,STATE,COMPLETE,BOSTON,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.081
STATE ONLY,22.0,45.0,8.0,FIRST CALL,25-29,WHITE,FEMALE,BUSH,ROBINSON,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,TAXES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,CATHOLIC,50-75K,CONSERV,18-64,YES,STATE,COMPLETE,BOSTON,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,1.158
STATE ONLY,22.0,45.0,9.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,KENNEDY,APPROVE,FAVORABLE,GORE,NO,MORE,WORLDAFFAIRS,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,NONE,50-75K,LIBERAL,18-64,YES,STATE,COMPLETE,BOSTON,30-44,30-39,DEMOCRAT,30-39,NONE,,,1.088
STATE ONLY,22.0,45.0,10.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,KENNEDY,APPROVE,UNFAVORABLE,GORE,YES,MORE,WORLDAFFAIRS,CLINTON,SAME,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,30-50K,MODERATE,18-64,YES,STATE,COMPLETE,BOSTON,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.081
