VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,HOU,XWAY2000,PROPHEMP,PROPTAX,X6VOTE,FINSIT,JOBPERS,PARTYID,RELIGION,INCOME,PHIL3,OVER65,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,WEIGHT
STATE ONLY,2.0,3.0,40.0,SECOND CALL,50-59,WHITE,FEMALE,NADER,APPROVE,UNFAVORABLE,OTHER,GORE,YES,NO,OTHER,SAME,APP/UNFAV,ELSE,NONE,50-75K,LIBERAL,18-64,STATE,JUNEAU/RURAL,45-59,50-59,IND/OTHER,50-64,NONE,0.878
STATE ONLY,2.0,3.0,41.0,THIRD CALL,45-49,WHITE,FEMALE,NADER,OMITS,OMITS,GREENE,GORE,NO,NO,CLINTON,SAME,OMITS,INDEPEND,ELSE,75-100K,LIBERAL,18-64,STATE,JUNEAU/RURAL,45-59,40-49,IND/OTHER,40-49,OTHER,0.681
STATE ONLY,2.0,3.0,42.0,THIRD CALL,40-44,WHITE,MALE,NADER,APPROVE,FAVORABLE,GREENE,GORE,YES,YES,CLINTON,WORSE,APP/FAV,INDEPEND,ELSE,30-50K,MODERATE,18-64,STATE,JUNEAU/RURAL,30-44,40-49,IND/OTHER,40-49,OTHER,0.798
STATE ONLY,2.0,3.0,43.0,THIRD CALL,30-39,WHITE,MALE,BUCHANAN,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,75-100K,MODERATE,18-64,STATE,JUNEAU/RURAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,0.99
STATE ONLY,2.0,3.0,44.0,THIRD CALL,30-39,OTHER,FEMALE,GORE,APPROVE,FAVORABLE,GREENE,GORE,YES,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,JUNEAU/RURAL,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,1.353
STATE ONLY,2.0,3.0,45.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,OTHER,GORE,YES,YES,CLINTON,SAME,APP/FAV,DEMOCRAT,ELSE,30-50K,MODERATE,18-64,STATE,JUNEAU/RURAL,30-44,40-49,DEMOCRAT,40-49,OTHER,1.915
STATE ONLY,2.0,3.0,46.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,75-100K,CONSERV,18-64,STATE,JUNEAU/RURAL,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,1.103
STATE ONLY,2.0,3.0,47.0,THIRD CALL,18-24,BLACK,MALE,GORE,APPROVE,UNFAVORABLE,GREENE,GORE,NO,NO,CLINTON,WORSE,APP/UNFAV,INDEPEND,PROTESTANT,LESS15K,LIBERAL,18-64,STATE,JUNEAU/RURAL,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,1.315
STATE ONLY,2.0,3.0,48.0,THIRD CALL,30-39,WHITE,MALE,NADER,OMITS,OMITS,OTHER,OMITS,YES,YES,OMITS,BETTER,,,,,,18-64,STATE,JUNEAU/RURAL,30-44,30-39,,30-39,,1.1320000000000001
STATE ONLY,2.0,3.0,49.0,THIRD CALL,50-59,WHITE,FEMALE,OTHER,DISAPPR,UNFAVORABLE,YOUNG,WOULDNOTVOTE,NO,NO,OTHER,SAME,DIS/UNFAV,ELSE,CATHOLIC,15-30K,MODERATE,18-64,STATE,JUNEAU/RURAL,45-59,50-59,IND/OTHER,50-64,CATHOLIC,0.603
STATE ONLY,2.0,3.0,50.0,THIRD CALL,45-49,,MALE,,APPROVE,OMITS,,OMITS,NO,,OMITS,BETTER,OMITS,REPUBLCN,CATHOLIC,50-75K,MODERATE,18-64,STATE,JUNEAU/RURAL,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,1.191
STATE ONLY,2.0,3.0,51.0,THIRD CALL,75+,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GREENE,GORE,NO,NO,CLINTON,SAME,APP/UNFAV,INDEPEND,PROTESTANT,,MODERATE,65+,STATE,JUNEAU/RURAL,60+,60+,IND/OTHER,65+,PROT/CHRIST,1.788
STATE ONLY,2.0,3.0,52.0,THIRD CALL,75+,WHITE,MALE,GORE,APPROVE,FAVORABLE,OTHER,GORE,NO,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,75-100K,LIBERAL,65+,STATE,JUNEAU/RURAL,60+,60+,DEMOCRAT,65+,PROT/CHRIST,2.724
STATE ONLY,2.0,3.0,53.0,THIRD CALL,40-44,WHITE,MALE,GORE,APPROVE,FAVORABLE,YOUNG,GORE,NO,NO,CLINTON,SAME,APP/FAV,INDEPEND,NONE,30-50K,MODERATE,18-64,STATE,JUNEAU/RURAL,30-44,40-49,IND/OTHER,40-49,NONE,0.8150000000000001
STATE ONLY,2.0,3.0,54.0,THIRD CALL,18-24,WHITE,FEMALE,NADER,DISAPPR,UNFAVORABLE,GREENE,GORE,YES,NO,CLINTON,SAME,DIS/UNFAV,ELSE,NONE,15-30K,LIBERAL,18-64,STATE,JUNEAU/RURAL,18-29,18-24,IND/OTHER,18-24,NONE,0.677
STATE ONLY,2.0,4.0,1.0,FIRST CALL,25-29,WHITE,MALE,BUSH,OMITS,OMITS,YOUNG,OMITS,NO,NO,OMITS,SAME,,,,,,18-64,STATE,CORRIDOR,18-29,25-29,,25-29,,0.417
STATE ONLY,2.0,4.0,2.0,FIRST CALL,40-44,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,YES,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,,30-50K,CONSERV,18-64,STATE,CORRIDOR,30-44,40-49,REPUBLICAN,40-49,,0.47000000000000003
STATE ONLY,2.0,4.0,3.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,YES,NO,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,18-64,STATE,CORRIDOR,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,0.393
STATE ONLY,2.0,4.0,4.0,FIRST CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,YES,DOLE,BETTER,DIS/UNFAV,INDEPEND,CATHOLIC,15-30K,CONSERV,18-64,STATE,CORRIDOR,45-59,50-59,IND/OTHER,50-64,CATHOLIC,0.515
STATE ONLY,2.0,4.0,5.0,FIRST CALL,40-44,WHITE,MALE,BUSH,OMITS,FAVORABLE,YOUNG,GORE,YES,YES,PEROT,BETTER,OMITS,ELSE,CATHOLIC,50-75K,LIBERAL,18-64,STATE,CORRIDOR,30-44,40-49,IND/OTHER,40-49,CATHOLIC,0.47000000000000003
STATE ONLY,2.0,4.0,6.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,YOUNG,GORE,NO,NO,PEROT,BETTER,APP/FAV,ELSE,NONE,50-75K,,18-64,STATE,CORRIDOR,18-29,25-29,IND/OTHER,25-29,NONE,0.28500000000000003
STATE ONLY,2.0,4.0,7.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,DISAPPR,FAVORABLE,,GORE,YES,NO,DOLE,BETTER,DIS/FAV,DEMOCRAT,JEWISH,75-100K,MODERATE,18-64,STATE,CORRIDOR,45-59,40-49,DEMOCRAT,40-49,JEWISH,0.326
STATE ONLY,2.0,4.0,8.0,FIRST CALL,40-44,WHITE,MALE,BUSH,DISAPPR,OMITS,YOUNG,BUSH,NO,YES,NOVOTE,BETTER,OMITS,INDEPEND,NONE,OVER100K,CONSERV,18-64,STATE,CORRIDOR,30-44,40-49,IND/OTHER,40-49,NONE,0.515
STATE ONLY,2.0,4.0,9.0,FIRST CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,CATHOLIC,OVER100K,CONSERV,18-64,STATE,CORRIDOR,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,0.43
STATE ONLY,2.0,4.0,10.0,FIRST CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,YES,OTHER,SAME,DIS/UNFAV,INDEPEND,NONE,50-75K,CONSERV,18-64,STATE,CORRIDOR,45-59,50-59,IND/OTHER,50-64,NONE,0.515
STATE ONLY,2.0,4.0,11.0,FIRST CALL,50-59,BLACK,MALE,GORE,APPROVE,OMITS,YOUNG,GORE,NO,NO,CLINTON,SAME,OMITS,INDEPEND,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,CORRIDOR,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,0.225
STATE ONLY,2.0,4.0,12.0,FIRST CALL,65-74,WHITE,MALE,BUSH,OMITS,OMITS,YOUNG,OMITS,NO,NO,OMITS,SAME,,,,,,65+,STATE,CORRIDOR,60+,60+,,65+,,0.583
STATE ONLY,2.0,4.0,13.0,FIRST CALL,50-59,ASIAN,FEMALE,GORE,APPROVE,FAVORABLE,YOUNG,GORE,NO,NO,CLINTON,SAME,APP/FAV,INDEPEND,,,CONSERV,18-64,STATE,CORRIDOR,45-59,50-59,IND/OTHER,50-64,,0.295
STATE ONLY,2.0,4.0,14.0,FIRST CALL,30-39,OTHER,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,YES,YES,PEROT,SAME,DIS/UNFAV,INDEPEND,OTHERCHRIST,OVER100K,CONSERV,18-64,STATE,CORRIDOR,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,0.47000000000000003
STATE ONLY,2.0,4.0,15.0,SECOND CALL,40-44,WHITE,MALE,GORE,OMITS,OMITS,OTHER,WOULDNOTVOTE,YES,YES,PEROT,SAME,OMITS,,OTHERCHRIST,LESS15K,LIBERAL,18-64,STATE,CORRIDOR,30-44,40-49,,40-49,PROT/CHRIST,0.746
STATE ONLY,2.0,4.0,16.0,SECOND CALL,50-59,HISP,MALE,BUSH,APPROVE,UNFAVORABLE,YOUNG,WOULDNOTVOTE,NO,YES,OTHER,BETTER,APP/UNFAV,INDEPEND,,OVER100K,CONSERV,18-64,STATE,CORRIDOR,45-59,50-59,IND/OTHER,50-64,,0.395
STATE ONLY,2.0,4.0,17.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,YES,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,ELSE,75-100K,CONSERV,18-64,STATE,CORRIDOR,30-44,40-49,REPUBLICAN,40-49,OTHER,0.393
STATE ONLY,2.0,4.0,18.0,SECOND CALL,50-59,OTHER,MALE,BUSH,OMITS,OMITS,YOUNG,OMITS,YES,YES,OMITS,WORSE,,,,,,18-64,STATE,CORRIDOR,45-59,50-59,,50-64,,0.47000000000000003
STATE ONLY,2.0,4.0,19.0,SECOND CALL,40-44,HISP,FEMALE,GORE,APPROVE,FAVORABLE,GREENE,BUSH,YES,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,CATHOLIC,LESS15K,CONSERV,18-64,STATE,CORRIDOR,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,0.337
STATE ONLY,2.0,4.0,20.0,SECOND CALL,50-59,WHITE,MALE,NADER,APPROVE,UNFAVORABLE,YOUNG,BUSH,YES,NO,PEROT,SAME,APP/UNFAV,ELSE,ELSE,75-100K,MODERATE,18-64,STATE,CORRIDOR,45-59,50-59,IND/OTHER,50-64,OTHER,0.307
STATE ONLY,2.0,4.0,21.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,YOUNG,GORE,YES,YES,DOLE,OMITS,APP/UNFAV,DEMOCRAT,ELSE,50-75K,LIBERAL,18-64,STATE,CORRIDOR,30-44,30-39,DEMOCRAT,30-39,OTHER,0.323
STATE ONLY,2.0,4.0,22.0,SECOND CALL,18-24,WHITE,MALE,GORE,APPROVE,FAVORABLE,GREENE,GORE,YES,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,CATHOLIC,LESS15K,LIBERAL,18-64,STATE,CORRIDOR,18-29,18-24,DEMOCRAT,18-24,CATHOLIC,0.423
STATE ONLY,2.0,4.0,23.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,OMITS,UNFAVORABLE,YOUNG,BUSH,YES,YES,NOVOTE,BETTER,OMITS,INDEPEND,ELSE,15-30K,MODERATE,18-64,STATE,CORRIDOR,18-29,25-29,IND/OTHER,25-29,OTHER,0.456
STATE ONLY,2.0,4.0,24.0,SECOND CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,MODERATE,18-64,STATE,CORRIDOR,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,0.43
STATE ONLY,2.0,4.0,25.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,18-64,STATE,CORRIDOR,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,0.516
STATE ONLY,2.0,4.0,26.0,SECOND CALL,40-44,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,NO,OMITS,SAME,DIS/UNFAV,REPUBLCN,,75-100K,CONSERV,18-64,STATE,CORRIDOR,30-44,40-49,REPUBLICAN,40-49,,0.43
STATE ONLY,2.0,4.0,27.0,SECOND CALL,18-24,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GREENE,GORE,YES,YES,NOVOTE,BETTER,APP/UNFAV,INDEPEND,OTHERCHRIST,15-30K,LIBERAL,18-64,STATE,CORRIDOR,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,0.509
STATE ONLY,2.0,4.0,28.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GREENE,GORE,NO,NO,CLINTON,WORSE,APP/UNFAV,ELSE,NONE,OVER100K,LIBERAL,18-64,STATE,CORRIDOR,45-59,40-49,IND/OTHER,40-49,NONE,0.485
STATE ONLY,2.0,4.0,29.0,THIRD CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,NO,DOLE,BETTER,DIS/UNFAV,INDEPEND,OTHERCHRIST,75-100K,MODERATE,18-64,STATE,CORRIDOR,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,0.43
STATE ONLY,2.0,4.0,30.0,THIRD CALL,25-29,OTHER,MALE,BUSH,DISAPPR,UNFAVORABLE,,BUSH,NO,NO,PEROT,WORSE,DIS/UNFAV,ELSE,ELSE,LESS15K,MODERATE,18-64,STATE,CORRIDOR,18-29,25-29,IND/OTHER,25-29,OTHER,0.505
STATE ONLY,2.0,4.0,31.0,THIRD CALL,25-29,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,GREENE,BUSH,YES,YES,NOVOTE,WORSE,DIS/UNFAV,ELSE,OTHERCHRIST,LESS15K,MODERATE,18-64,STATE,CORRIDOR,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,0.744
STATE ONLY,2.0,4.0,32.0,THIRD CALL,45-49,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,YOUNG,GORE,YES,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,ELSE,OVER100K,LIBERAL,18-64,STATE,CORRIDOR,45-59,40-49,DEMOCRAT,40-49,OTHER,0.267
STATE ONLY,2.0,4.0,33.0,THIRD CALL,30-39,WHITE,MALE,NADER,APPROVE,UNFAVORABLE,OTHER,WOULDNOTVOTE,YES,,CLINTON,SAME,APP/UNFAV,INDEPEND,NONE,30-50K,MODERATE,18-64,STATE,CORRIDOR,30-44,30-39,IND/OTHER,30-39,NONE,0.749
STATE ONLY,2.0,4.0,34.0,THIRD CALL,18-24,WHITE,MALE,,DISAPPR,UNFAVORABLE,,WOULDNOTVOTE,YES,,NOVOTE,BETTER,DIS/UNFAV,ELSE,OTHERCHRIST,LESS15K,MODERATE,18-64,STATE,CORRIDOR,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,0.425
STATE ONLY,2.0,4.0,35.0,THIRD CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,NONE,30-50K,CONSERV,18-64,STATE,CORRIDOR,30-44,30-39,REPUBLICAN,30-39,NONE,0.43
STATE ONLY,2.0,4.0,36.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,CORRIDOR,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,0.418
STATE ONLY,2.0,4.0,37.0,THIRD CALL,30-39,OTHER,FEMALE,BUSH,DISAPPR,FAVORABLE,YOUNG,BUSH,YES,YES,NOVOTE,WORSE,DIS/FAV,ELSE,ELSE,15-30K,MODERATE,18-64,STATE,CORRIDOR,30-44,30-39,IND/OTHER,30-39,OTHER,0.47100000000000003
STATE ONLY,2.0,4.0,38.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,DISAPPR,UNFAVORABLE,GREENE,GORE,YES,NO,OTHER,WORSE,DIS/UNFAV,INDEPEND,NONE,15-30K,MODERATE,18-64,STATE,CORRIDOR,30-44,30-39,IND/OTHER,30-39,NONE,0.439
STATE ONLY,2.0,4.0,39.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,YOUNG,GORE,YES,NO,NOVOTE,SAME,APP/FAV,REPUBLCN,OTHERCHRIST,LESS15K,LIBERAL,18-64,STATE,CORRIDOR,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,0.258
STATE ONLY,2.0,4.0,40.0,THIRD CALL,50-59,OTHER,MALE,GORE,APPROVE,UNFAVORABLE,OTHER,GORE,YES,NO,CLINTON,SAME,APP/UNFAV,INDEPEND,ELSE,75-100K,MODERATE,18-64,STATE,CORRIDOR,45-59,50-59,IND/OTHER,50-64,OTHER,0.622
STATE ONLY,2.0,4.0,41.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,YES,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,MODERATE,18-64,STATE,CORRIDOR,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,0.393
STATE ONLY,2.0,4.0,42.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,YES,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,15-30K,CONSERV,18-64,STATE,CORRIDOR,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,0.393
STATE ONLY,2.0,4.0,43.0,THIRD CALL,18-24,OTHER,MALE,OTHER,DISAPPR,UNFAVORABLE,OTHER,WOULDNOTVOTE,YES,YES,OTHER,BETTER,DIS/UNFAV,ELSE,ELSE,15-30K,MODERATE,18-64,STATE,CORRIDOR,18-29,18-24,IND/OTHER,18-24,OTHER,0.642
STATE ONLY,2.0,4.0,44.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,CORRIDOR,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,0.516
STATE ONLY,2.0,4.0,45.0,THIRD CALL,30-39,WHITE,MALE,BUSH,APPROVE,FAVORABLE,YOUNG,BUSH,NO,NO,CLINTON,SAME,APP/FAV,INDEPEND,CATHOLIC,50-75K,MODERATE,18-64,STATE,CORRIDOR,30-44,30-39,IND/OTHER,30-39,CATHOLIC,0.43
STATE ONLY,2.0,4.0,46.0,THIRD CALL,40-44,OTHER,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,YES,OMITS,WORSE,DIS/UNFAV,REPUBLCN,,30-50K,CONSERV,18-64,STATE,CORRIDOR,30-44,40-49,REPUBLICAN,40-49,,0.515
STATE ONLY,2.0,4.0,47.0,THIRD CALL,30-39,OTHER,MALE,GORE,APPROVE,FAVORABLE,GREENE,GORE,YES,NO,CLINTON,SAME,APP/FAV,ELSE,NONE,30-50K,MODERATE,18-64,STATE,CORRIDOR,30-44,30-39,IND/OTHER,30-39,NONE,0.439
STATE ONLY,2.0,4.0,48.0,THIRD CALL,30-39,OTHER,FEMALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,YES,PEROT,SAME,DIS/UNFAV,INDEPEND,OTHERCHRIST,15-30K,LIBERAL,18-64,STATE,CORRIDOR,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,0.516
STATE ONLY,2.0,4.0,49.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,YES,,OTHER,SAME,DIS/UNFAV,ELSE,PROTESTANT,15-30K,CONSERV,18-64,STATE,CORRIDOR,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,0.41400000000000003
STATE ONLY,2.0,4.0,50.0,THIRD CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,NO,DOLE,BETTER,DIS/UNFAV,INDEPEND,PROTESTANT,75-100K,CONSERV,18-64,STATE,CORRIDOR,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,0.43
STATE ONLY,2.0,6.0,1.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,ANCHORAGE,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,0.9430000000000001
STATE ONLY,2.0,6.0,2.0,FIRST CALL,40-44,ASIAN,FEMALE,GORE,APPROVE,FAVORABLE,GREENE,GORE,,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,CATHOLIC,30-50K,CONSERV,18-64,STATE,ANCHORAGE,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,1.22
STATE ONLY,2.0,6.0,3.0,FIRST CALL,30-39,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,YOUNG,BUSH,NO,NO,DOLE,BETTER,APP/UNFAV,REPUBLCN,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,ANCHORAGE,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,0.899
STATE ONLY,2.0,6.0,4.0,FIRST CALL,25-29,WHITE,MALE,BUSH,APPROVE,FAVORABLE,YOUNG,BUSH,YES,NO,PEROT,BETTER,APP/FAV,ELSE,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,ANCHORAGE,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,0.662
STATE ONLY,2.0,6.0,5.0,FIRST CALL,50-59,OTHER,FEMALE,BUSH,APPROVE,UNFAVORABLE,YOUNG,BUSH,YES,NO,DOLE,BETTER,APP/UNFAV,REPUBLCN,OTHERCHRIST,OVER100K,CONSERV,18-64,STATE,ANCHORAGE,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,0.858
STATE ONLY,2.0,6.0,6.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,YOUNG,GORE,NO,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,,30-50K,LIBERAL,18-64,STATE,ANCHORAGE,18-29,25-29,DEMOCRAT,25-29,,0.624
STATE ONLY,2.0,6.0,7.0,FIRST CALL,40-44,WHITE,MALE,GORE,APPROVE,FAVORABLE,OTHER,GORE,YES,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,OVER100K,LIBERAL,18-64,STATE,ANCHORAGE,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,1.557
STATE ONLY,2.0,6.0,8.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,YES,NO,CLINTON,SAME,DIS/UNFAV,INDEPEND,PROTESTANT,50-75K,MODERATE,18-64,STATE,ANCHORAGE,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,0.858
STATE ONLY,2.0,6.0,9.0,FIRST CALL,60-64,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,YOUNG,GORE,NO,NO,DOLE,BETTER,APP/UNFAV,INDEPEND,CATHOLIC,75-100K,MODERATE,18-64,STATE,ANCHORAGE,60+,60+,IND/OTHER,50-64,CATHOLIC,0.968
STATE ONLY,2.0,6.0,10.0,FIRST CALL,40-44,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,CATHOLIC,50-75K,MODERATE,18-64,STATE,ANCHORAGE,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,1.078
STATE ONLY,2.0,6.0,11.0,FIRST CALL,65-74,BLACK,FEMALE,,APPROVE,FAVORABLE,OTHER,BUSH,NO,,CLINTON,BETTER,APP/FAV,REPUBLCN,OTHERCHRIST,LESS15K,MODERATE,65+,STATE,ANCHORAGE,60+,60+,REPUBLICAN,65+,PROT/CHRIST,2.525
STATE ONLY,2.0,6.0,12.0,FIRST CALL,30-39,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,YOUNG,BUSH,NO,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,PROTESTANT,30-50K,CONSERV,18-64,STATE,ANCHORAGE,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,0.899
STATE ONLY,2.0,6.0,13.0,FIRST CALL,30-39,WHITE,MALE,GORE,OMITS,OMITS,GREENE,OMITS,NO,YES,OMITS,BETTER,,,,,,18-64,STATE,ANCHORAGE,30-44,30-39,,30-39,,1.446
STATE ONLY,2.0,6.0,14.0,FIRST CALL,40-44,WHITE,FEMALE,NADER,APPROVE,FAVORABLE,OTHER,GORE,YES,YES,OMITS,BETTER,APP/FAV,INDEPEND,PROTESTANT,50-75K,LIBERAL,18-64,STATE,ANCHORAGE,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,1.75
STATE ONLY,2.0,6.0,15.0,SECOND CALL,40-44,ASIAN,MALE,GORE,APPROVE,FAVORABLE,GREENE,GORE,NO,YES,CLINTON,SAME,APP/FAV,DEMOCRAT,CATHOLIC,15-30K,LIBERAL,18-64,STATE,ANCHORAGE,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,1.446
STATE ONLY,2.0,6.0,16.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,YOUNG,BUSH,NO,NO,CLINTON,BETTER,APP/UNFAV,INDEPEND,OTHERCHRIST,OVER100K,MODERATE,18-64,STATE,ANCHORAGE,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,0.9430000000000001
STATE ONLY,2.0,6.0,17.0,SECOND CALL,18-24,WHITE,MALE,BUSH,DISAPPR,FAVORABLE,YOUNG,BUSH,NO,YES,NOVOTE,BETTER,DIS/FAV,REPUBLCN,PROTESTANT,15-30K,CONSERV,18-64,STATE,ANCHORAGE,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,0.871
