VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,ISSUE,DROPOUT,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,7.0,19.0,27.0,THIRD CALL,50-59,WHITE,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,OMITS,NO,CLINTON,WORSE,APP/FAV,DEMOCRAT,POSTGRAD,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.328
STATE ONLY,7.0,19.0,28.0,THIRD CALL,65-74,WHITE,MALE,NADER,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,YES,PEROT,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,15-30K,MODERATE,65+,STATE,COMPLETE,CONNVALLEY,60+,60+,REPUBLICAN,65+,CATHOLIC,,,0.911
STATE ONLY,7.0,19.0,29.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,LESS,OMITS,NO,CLINTON,SAME,APP/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,75-100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,1.333
STATE ONLY,7.0,19.0,30.0,THIRD CALL,50-59,WHITE,MALE,BUSH,GIORDANO,APPROVE,FAVORABLE,BUSH,LESS,WORLDAFFAIRS,YES,CLINTON,BETTER,APP/FAV,INDEPEND,COLGRAD,PROTESTANT,OVER100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.191
STATE ONLY,7.0,19.0,31.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.197
STATE ONLY,7.0,19.0,32.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,WORLDAFFAIRS,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,CATHOLIC,OVER100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,1.333
STATE ONLY,7.0,19.0,33.0,THIRD CALL,75+,WHITE,MALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,NO,DOLE,WORSE,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,,50-75K,CONSERV,65+,STATE,COMPLETE,CONNVALLEY,60+,60+,REPUBLICAN,65+,,,,1.764
STATE ONLY,7.0,19.0,34.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,LESS,TAXES,NO,CLINTON,SAME,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,75-100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,1.333
STATE ONLY,7.0,19.0,35.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,TAXES,YES,DOLE,BETTER,APP/UNFAV,INDEPEND,COLGRAD,OTHERCHRIST,OVER100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.333
STATE ONLY,7.0,19.0,36.0,THIRD CALL,45-49,WHITE,MALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,OMITS,NO,CLINTON,SAME,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,ELSE,75-100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,45-59,40-49,IND/OTHER,40-49,OTHER,,,1.328
STATE ONLY,7.0,19.0,37.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,,APPROVE,UNFAVORABLE,BUSH,LESS,ECON/JOBS,OMITS,OTHER,BETTER,APP/UNFAV,INDEPEND,HSGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.342
STATE ONLY,7.0,19.0,38.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,OMITS,GORE,OMITS,SOCIALSECUR,NO,OMITS,BETTER,OMITS,DEMOCRAT,HSGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.333
STATE ONLY,7.0,19.0,39.0,THIRD CALL,50-59,WHITE,MALE,NADER,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,LESS,ECON/JOBS,NO,PEROT,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,CATHOLIC,75-100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.719
STATE ONLY,7.0,19.0,40.0,THIRD CALL,30-39,WHITE,MALE,GORE,LIEBERMAN,DISAPPR,UNFAVORABLE,GORE,LESS,WORLDAFFAIRS,NO,CLINTON,BETTER,DIS/UNFAV,INDEPEND,COLGRAD,PROTESTANT,OVER100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.328
STATE ONLY,7.0,19.0,41.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,OTHER,DISAPPR,UNFAVORABLE,GORE,MORE,EDUCATION,YES,PEROT,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,50-75K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,2.312
STATE ONLY,7.0,23.0,1.0,FIRST CALL,50-59,WHITE,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,YES,NOVOTE,BETTER,APP/FAV,INDEPEND,HSGRAD,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.449
STATE ONLY,7.0,23.0,2.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,PROTESTANT,50-75K,LIBERAL,18-64,STATE,COMPLETE,LARGECITY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.369
STATE ONLY,7.0,23.0,3.0,FIRST CALL,45-49,WHITE,MALE,GORE,GIORDANO,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,LESS,MEDICARE/RX,YES,CLINTON,SAME,DIS/UNFAV,INDEPEND,HSGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,,0.384
STATE ONLY,7.0,23.0,4.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,OMITS,NO,CLINTON,WORSE,APP/FAV,DEMOCRAT,POSTGRAD,CATHOLIC,OVER100K,LIBERAL,18-64,STATE,COMPLETE,LARGECITY,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.369
STATE ONLY,7.0,23.0,5.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,SOCIALSECUR,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,HSGRAD,NONE,30-50K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,30-44,40-49,DEMOCRAT,40-49,NONE,,,0.369
STATE ONLY,7.0,23.0,6.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,LIEBERMAN,OMITS,OMITS,GORE,MORE,OMITS,NO,OMITS,BETTER,OMITS,DEMOCRAT,SOMCOL/ASSOC,,,,18-64,STATE,COMPLETE,LARGECITY,45-59,50-59,DEMOCRAT,50-64,,,,0.369
STATE ONLY,7.0,23.0,7.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,LESS,HEALTHCARE,NO,CLINTON,BETTER,APP/FAV,INDEPEND,,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.369
STATE ONLY,7.0,23.0,8.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,EDUCATION,NO,CLINTON,BETTER,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.369
STATE ONLY,7.0,23.0,9.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,75-100K,LIBERAL,18-64,STATE,COMPLETE,LARGECITY,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.369
STATE ONLY,7.0,23.0,10.0,FIRST CALL,40-44,WHITE,FEMALE,,OTHER,OMITS,UNFAVORABLE,OMITS,OMITS,OMITS,OMITS,PEROT,BETTER,OMITS,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.686
STATE ONLY,7.0,23.0,11.0,SECOND CALL,30-39,BLACK,MALE,GORE,LIEBERMAN,DISAPPR,UNFAVORABLE,GORE,MORE,OMITS,YES,NOVOTE,BETTER,DIS/UNFAV,INDEPEND,HSGRAD,OTHERCHRIST,50-75K,LIBERAL,18-64,STATE,COMPLETE,LARGECITY,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.395
STATE ONLY,7.0,23.0,12.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,GIORDANO,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,OMITS,NOVOTE,BETTER,APP/FAV,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,50-75K,LIBERAL,18-64,STATE,COMPLETE,LARGECITY,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.313
STATE ONLY,7.0,23.0,13.0,SECOND CALL,,,,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,MEDICARE/RX,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,,PROTESTANT,,,,STATE,COMPLETE,LARGECITY,,,DEMOCRAT,,PROT/CHRIST,,,0.369
STATE ONLY,7.0,23.0,14.0,SECOND CALL,50-59,WHITE,MALE,GORE,LIEBERMAN,OMITS,OMITS,OMITS,LESS,ECON/JOBS,NO,OMITS,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,LARGECITY,45-59,50-59,,50-64,,,,0.449
STATE ONLY,7.0,23.0,15.0,SECOND CALL,65-74,WHITE,MALE,GORE,,APPROVE,FAVORABLE,GORE,MORE,MEDICARE/RX,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,50-75K,MODERATE,65+,STATE,COMPLETE,LARGECITY,60+,60+,DEMOCRAT,65+,CATHOLIC,,,0.634
STATE ONLY,7.0,23.0,16.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.369
STATE ONLY,7.0,23.0,17.0,SECOND CALL,30-39,HISP,MALE,BUSH,GIORDANO,APPROVE,UNFAVORABLE,BUSH,LESS,OMITS,YES,DOLE,SAME,APP/UNFAV,INDEPEND,COLGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.514
STATE ONLY,7.0,23.0,18.0,SECOND CALL,25-29,HISP,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,LESS,SOCIALSECUR,NO,NOVOTE,BETTER,APP/FAV,DEMOCRAT,HSGRAD,ELSE,50-75K,CONSERV,18-64,STATE,COMPLETE,LARGECITY,18-29,25-29,DEMOCRAT,25-29,OTHER,,,0.34900000000000003
STATE ONLY,7.0,23.0,19.0,SECOND CALL,60-64,WHITE,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,MEDICARE/RX,NO,CLINTON,WORSE,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,LARGECITY,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,0.66
STATE ONLY,7.0,23.0,20.0,SECOND CALL,50-59,BLACK,,GORE,LIEBERMAN,OMITS,OMITS,OMITS,MORE,WORLDAFFAIRS,NO,OMITS,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,LARGECITY,45-59,50-59,,50-64,,,,0.395
STATE ONLY,7.0,23.0,21.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,YES,CLINTON,SAME,DIS/UNFAV,INDEPEND,COLGRAD,CATHOLIC,50-75K,MODERATE,65+,STATE,COMPLETE,LARGECITY,60+,60+,IND/OTHER,65+,CATHOLIC,,,0.7000000000000001
STATE ONLY,7.0,23.0,22.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,WORLDAFFAIRS,YES,CLINTON,SAME,APP/UNFAV,DEMOCRAT,COLGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.369
STATE ONLY,7.0,23.0,23.0,SECOND CALL,50-59,WHITE,MALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,ECON/JOBS,YES,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,CATHOLIC,OVER100K,LIBERAL,18-64,STATE,COMPLETE,LARGECITY,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.449
STATE ONLY,7.0,23.0,24.0,SECOND CALL,50-59,BLACK,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,50-75K,LIBERAL,18-64,STATE,COMPLETE,LARGECITY,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.322
STATE ONLY,7.0,23.0,25.0,SECOND CALL,18-24,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,YES,PEROT,BETTER,DIS/UNFAV,REPUBLCN,HSGRAD,NONE,15-30K,CONSERV,18-64,STATE,COMPLETE,LARGECITY,18-29,18-24,REPUBLICAN,18-24,NONE,,,0.423
STATE ONLY,7.0,23.0,26.0,SECOND CALL,25-29,WHITE,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,OMITS,OMITS,CLINTON,BETTER,APP/FAV,ELSE,POSTGRAD,PROTESTANT,,LIBERAL,18-64,STATE,COMPLETE,LARGECITY,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,,,0.397
STATE ONLY,7.0,23.0,27.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,LESS,OMITS,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,15-30K,LIBERAL,65+,STATE,COMPLETE,LARGECITY,60+,60+,DEMOCRAT,65+,CATHOLIC,,,0.541
STATE ONLY,7.0,23.0,28.0,SECOND CALL,30-39,BLACK,FEMALE,BUSH,LIEBERMAN,OMITS,UNFAVORABLE,WOULDNOTVOTE,LESS,OMITS,NO,CLINTON,SAME,OMITS,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,15-30K,,18-64,STATE,COMPLETE,LARGECITY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.489
STATE ONLY,7.0,23.0,29.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.47600000000000003
STATE ONLY,7.0,23.0,30.0,THIRD CALL,45-49,WHITE,MALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,LARGECITY,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.584
STATE ONLY,7.0,23.0,31.0,THIRD CALL,45-49,,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,WORLDAFFAIRS,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,LARGECITY,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.449
STATE ONLY,7.0,23.0,32.0,THIRD CALL,60-64,HISP,MALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,SOCIALSECUR,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,60+,60+,DEMOCRAT,50-64,CATHOLIC,,,0.581
STATE ONLY,7.0,23.0,33.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,LIEBERMAN,OMITS,OMITS,OMITS,MORE,OMITS,YES,OMITS,OMITS,,,,,,,65+,STATE,NOTCOMPLETE,LARGECITY,60+,60+,,65+,,,,0.541
STATE ONLY,7.0,23.0,34.0,THIRD CALL,50-59,WHITE,MALE,GORE,GIORDANO,APPROVE,FAVORABLE,GORE,LESS,OMITS,NO,CLINTON,SAME,APP/FAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,LARGECITY,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.384
STATE ONLY,7.0,23.0,35.0,THIRD CALL,40-44,WHITE,MALE,GORE,GIORDANO,OMITS,OMITS,OMITS,MORE,ECON/JOBS,NO,OMITS,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,LARGECITY,30-44,40-49,,40-49,,,,0.384
STATE ONLY,7.0,23.0,36.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,GIORDANO,OMITS,OMITS,OMITS,LESS,HEALTHCARE,NO,OMITS,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,LARGECITY,30-44,40-49,,40-49,,,,0.313
STATE ONLY,7.0,23.0,37.0,THIRD CALL,45-49,WHITE,MALE,NADER,GIORDANO,APPROVE,UNFAVORABLE,GORE,MORE,HEALTHCARE,YES,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,50-75K,LIBERAL,18-64,STATE,COMPLETE,LARGECITY,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.149
STATE ONLY,7.0,23.0,38.0,THIRD CALL,18-24,WHITE,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,LESS,TAXES,NO,NOVOTE,SAME,APP/FAV,INDEPEND,COLGRAD,NONE,15-30K,LIBERAL,18-64,STATE,COMPLETE,LARGECITY,18-29,18-24,IND/OTHER,18-24,NONE,,,0.397
STATE ONLY,7.0,23.0,39.0,THIRD CALL,45-49,WHITE,MALE,GORE,LIEBERMAN,OMITS,OMITS,OMITS,MORE,OMITS,NO,OMITS,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,LARGECITY,45-59,40-49,,40-49,,,,0.449
STATE ONLY,7.0,23.0,40.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,OMITS,NO,CLINTON,SAME,APP/FAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,65+,STATE,COMPLETE,LARGECITY,60+,60+,IND/OTHER,65+,CATHOLIC,,,0.541
STATE ONLY,7.0,23.0,41.0,THIRD CALL,18-24,BLACK,MALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,YES,DOLE,WORSE,DIS/UNFAV,INDEPEND,HSGRAD,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,0.454
STATE ONLY,7.0,23.0,42.0,THIRD CALL,50-59,WHITE,MALE,GORE,OTHER,APPROVE,FAVORABLE,GORE,MORE,TAXES,NO,CLINTON,BETTER,APP/FAV,INDEPEND,HSGRAD,CATHOLIC,,MODERATE,18-64,STATE,COMPLETE,LARGECITY,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.784
STATE ONLY,7.0,23.0,43.0,THIRD CALL,40-44,WHITE,MALE,BUSH,LIEBERMAN,DISAPPR,UNFAVORABLE,BUSH,MORE,OMITS,NO,OMITS,WORSE,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,LARGECITY,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.682
STATE ONLY,7.0,23.0,44.0,THIRD CALL,25-29,WHITE,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,OVER100K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,,,0.397
STATE ONLY,7.0,23.0,45.0,THIRD CALL,30-39,ASIAN,MALE,GORE,LIEBERMAN,OMITS,OMITS,GORE,MORE,OMITS,OMITS,OMITS,SAME,OMITS,REPUBLCN,COLGRAD,,30-50K,LIBERAL,18-64,STATE,COMPLETE,LARGECITY,30-44,30-39,REPUBLICAN,30-39,,,,0.449
STATE ONLY,7.0,23.0,46.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,,APPROVE,FAVORABLE,GORE,MORE,MEDICARE/RX,YES,CLINTON,WORSE,APP/FAV,INDEPEND,POSTGRAD,NONE,15-30K,LIBERAL,18-64,STATE,COMPLETE,LARGECITY,45-59,40-49,IND/OTHER,40-49,NONE,,,0.353
STATE ONLY,7.0,23.0,47.0,THIRD CALL,30-39,OTHER,MALE,GORE,,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,YES,OTHER,BETTER,APP/FAV,ELSE,SOMCOL/ASSOC,ELSE,LESS15K,LIBERAL,18-64,STATE,COMPLETE,LARGECITY,30-44,30-39,IND/OTHER,30-39,OTHER,,,0.431
STATE ONLY,7.0,23.0,48.0,THIRD CALL,45-49,WHITE,MALE,BUSH,GIORDANO,OMITS,OMITS,OMITS,LESS,WORLDAFFAIRS,YES,OMITS,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,LARGECITY,45-59,40-49,,40-49,,,,0.584
STATE ONLY,7.0,23.0,49.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.369
STATE ONLY,7.0,23.0,50.0,THIRD CALL,40-44,BLACK,MALE,GORE,OTHER,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,YES,NOVOTE,BETTER,APP/FAV,ELSE,COLGRAD,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.6890000000000001
STATE ONLY,7.0,23.0,51.0,THIRD CALL,40-44,WHITE,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,CATHOLIC,75-100K,LIBERAL,18-64,STATE,COMPLETE,LARGECITY,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.449
STATE ONLY,7.0,26.0,1.0,FIRST CALL,45-49,WHITE,MALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,YES,PEROT,BETTER,DIS/UNFAV,INDEPEND,COLGRAD,CATHOLIC,OVER100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,,0.872
STATE ONLY,7.0,26.0,2.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,MORE,EDUCATION,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,POSTGRAD,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,0.874
STATE ONLY,7.0,26.0,3.0,FIRST CALL,40-44,WHITE,MALE,BUSH,LIEBERMAN,APPROVE,UNFAVORABLE,BUSH,LESS,ECON/JOBS,YES,DOLE,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,OTHERCHRIST,OVER100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.0150000000000001
STATE ONLY,7.0,26.0,4.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,OMITS,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,POSTGRAD,ELSE,15-30K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,DEMOCRAT,50-64,OTHER,,,0.974
STATE ONLY,7.0,26.0,5.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,YES,CLINTON,BETTER,APP/FAV,REPUBLCN,POSTGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,0.974
