VERSION,STATEID,PRECINCT,SEQ,CALL,WGT,AGE9,RACE,SEX,PRES,SEN,TIME,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,X6VOTE,UNION4,UNFAIR,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,RIDGEVP,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
NATIONAL WHITE,39.0,51.0,10.0,SECOND CALL,1662.0,45-49,WHITE,FEMALE,GORE,SANTORUM,,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,HEALTHCARE,OMITS,CLINTON,ME,,BETTER,APP/UNFAV,YES,REPUBLCN,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAMONTH,75-100K,YES,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILLYSUBURB,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,ISSUES,,,1.6620000000000001
NATIONAL WHITE,39.0,51.0,11.0,SECOND CALL,1450.0,40-44,WHITE,FEMALE,BUSH,SANTORUM,,APPROVE,OMITS,BUSH,MORE,SUBURBS,TAXES,CARES,DOLE,NONE,,BETTER,OMITS,NO,REPUBLCN,SUBURBS,COLGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILLYSUBURB,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,,,ISSUES,,,1.45
NATIONAL YELLOW,39.0,51.0,12.0,SECOND CALL,1836.0,65-74,WHITE,FEMALE,GORE,SANTORUM,,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,HEALTHCARE,COMPLEXISSUE,CLINTON,NONE,,BETTER,APP/FAV,NO,INDEPEND,SUBURBS,HSGRAD,PROTESTANT,AFEWAYEAR,30-50K,YES,NO,MODERATE,65+,,,NATIONAL,COMPLETE,PHILLYSUBURB,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,ISSUES,HEALTHCARE,COMPLEXISSUE,1.836
NATIONAL YELLOW,39.0,51.0,13.0,SECOND CALL,1798.0,50-59,WHITE,FEMALE,GORE,KLINK,,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,SOCIALSECUR,EXPERIENCE,CLINTON,NONE,,BETTER,APP/FAV,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,,AFEWAYEAR,30-50K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILLYSUBURB,45-59,50-59,DEMOCRAT,50-64,,,,ISSUES,SOCIALSECUR,EXPERIENCE,1.798
NATIONAL YELLOW,39.0,51.0,14.0,SECOND CALL,1450.0,45-49,WHITE,FEMALE,BUSH,SANTORUM,,APPROVE,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,DOLE,NONE,,BETTER,APP/UNFAV,NO,REPUBLCN,SUBURBS,HSGRAD,CATHOLIC,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILLYSUBURB,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,PERSONALQUAL,TAXES,HONEST,1.45
NATIONAL GREY,39.0,51.0,15.0,SECOND CALL,1798.0,45-49,WHITE,FEMALE,GORE,KLINK,LAST.3DAYS,,,,,SUBURBS,,,,,BUSHDID,,,,INDEPEND,SUBURBS,SOMCOL/ASSOC,,,30-50K,,,MODERATE,18-64,REDUCNATDEBT,,NATIONAL,COMPLETE,PHILLYSUBURB,45-59,40-49,IND/OTHER,40-49,,ONLYGORE,ONLYBUSH,,,,1.798
NATIONAL GREY,39.0,51.0,16.0,SECOND CALL,1911.0,60-64,WHITE,FEMALE,GORE,,BEFORE,,,,,SUBURBS,,,,,OMITS,,,,INDEPEND,SUBURBS,SOMCOL/ASSOC,,,30-50K,,,MODERATE,18-64,SOCIALSECURI,,NATIONAL,COMPLETE,PHILLYSUBURB,60+,60+,IND/OTHER,50-64,,ONLYGORE,NEITHER,,,,1.911
NATIONAL GREY,39.0,51.0,17.0,SECOND CALL,1798.0,30-39,WHITE,FEMALE,GORE,KLINK,BEFORE,,,,,SUBURBS,,,,,BOTHDID,,,,INDEPEND,SUBURBS,SOMCOL/ASSOC,,,75-100K,,,LIBERAL,18-64,SOCIALSECURI,,NATIONAL,COMPLETE,PHILLYSUBURB,30-44,30-39,IND/OTHER,30-39,,ONLYGORE,BOTH,,,,1.798
NATIONAL PINK,39.0,51.0,18.0,SECOND CALL,1621.0,30-39,WHITE,MALE,BUSH,SANTORUM,,,,,,SUBURBS,,,,NONE,,,,YES,REPUBLCN,SUBURBS,,PROTESTANT,,OVER100K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILLYSUBURB,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,,,,1.621
NATIONAL PINK,39.0,51.0,19.0,SECOND CALL,1621.0,30-39,WHITE,MALE,BUSH,SANTORUM,,,,,,SUBURBS,,,,NONE,,,,YES,,SUBURBS,,,,,,,,18-64,,,NATIONAL,COMPLETE,PHILLYSUBURB,30-44,30-39,,30-39,,,,,,,1.621
NATIONAL PINK,39.0,51.0,20.0,SECOND CALL,1755.0,50-59,WHITE,MALE,BUSH,KLINK,,,,,,SUBURBS,,,,NONE,,,,YES,INDEPEND,SUBURBS,,CATHOLIC,,75-100K,YES,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILLYSUBURB,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,,,,1.7550000000000001
NATIONAL WHITE,39.0,51.0,21.0,THIRD CALL,1450.0,50-59,WHITE,FEMALE,BUSH,SANTORUM,,APPROVE,UNFAVORABLE,BUSH,MORE,SUBURBS,OMITS,HONEST,DOLE,NONE,,SAME,APP/UNFAV,YES,REPUBLCN,SUBURBS,COLGRAD,PROTESTANT,MORETHAN1AWK,50-75K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILLYSUBURB,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,PERSONALQUAL,,,1.45
NATIONAL WHITE,39.0,51.0,22.0,THIRD CALL,1620.0,25-29,WHITE,FEMALE,GORE,SANTORUM,,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,WORLDAFFAIRS,COMPLEXISSUE,CLINTON,NONE,,BETTER,APP/UNFAV,YES,ELSE,SUBURBS,POSTGRAD,CATHOLIC,AFEWAYEAR,LESS15K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILLYSUBURB,18-29,25-29,IND/OTHER,25-29,CATHOLIC,,,ISSUES,,,1.62
NATIONAL WHITE,39.0,51.0,23.0,THIRD CALL,1859.0,30-39,WHITE,MALE,GORE,SANTORUM,,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,TAXES,COMPLEXISSUE,CLINTON,NONE,,BETTER,APP/FAV,YES,INDEPEND,SUBURBS,COLGRAD,CATHOLIC,ONCEAWEEK,75-100K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILLYSUBURB,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,PERSONALQUAL,,,1.859
NATIONAL WHITE,39.0,51.0,24.0,THIRD CALL,1258.0,50-59,BLACK,MALE,BUSH,SANTORUM,,OMITS,OMITS,OMITS,LESS,SUBURBS,WORLDAFFAIRS,STRONGLEADER,OMITS,NONE,,OMITS,,YES,,SUBURBS,,,OMITS,,,,,18-64,,,NATIONAL,NOTCOMPLETE,PHILLYSUBURB,45-59,50-59,,50-64,,,,OMITS,,,1.258
NATIONAL WHITE,39.0,51.0,25.0,THIRD CALL,1688.0,45-49,WHITE,MALE,BUSH,,,APPROVE,UNFAVORABLE,BUSH,LESS,SUBURBS,ECON/JOBS,STRONGLEADER,PEROT,NONE,,BETTER,APP/UNFAV,YES,REPUBLCN,SUBURBS,POSTGRAD,NONE,AFEWAYEAR,75-100K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILLYSUBURB,45-59,40-49,REPUBLICAN,40-49,NONE,,,ISSUES,,,1.688
NATIONAL YELLOW,39.0,51.0,26.0,THIRD CALL,1792.0,60-64,WHITE,MALE,BUSH,SANTORUM,,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,DOLE,NONE,,SAME,DIS/UNFAV,YES,REPUBLCN,SUBURBS,COLGRAD,PROTESTANT,MORETHAN1AWK,75-100K,YES,NO,CONSERV,18-64,,,NATIONAL,COMPLETE,PHILLYSUBURB,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,PERSONALQUAL,TAXES,HONEST,1.792
NATIONAL YELLOW,39.0,51.0,27.0,THIRD CALL,1601.0,65-74,WHITE,FEMALE,BUSH,SANTORUM,,APPROVE,UNFAVORABLE,BUSH,LESS,SUBURBS,SOCIALSECUR,CARES,CLINTON,NONE,,WORSE,APP/UNFAV,NO,INDEPEND,SUBURBS,POSTGRAD,PROTESTANT,AFEWAYEAR,50-75K,YES,NO,CONSERV,65+,,,NATIONAL,COMPLETE,PHILLYSUBURB,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,ISSUES,SOCIALSECUR,CARES,1.601
NATIONAL YELLOW,39.0,51.0,28.0,THIRD CALL,1960.0,25-29,WHITE,MALE,GORE,KLINK,,APPROVE,OMITS,GORE,MORE,SUBURBS,ECON/JOBS,STRONGLEADER,CLINTON,,,SAME,OMITS,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,30-50K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILLYSUBURB,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,ISSUES,ECON/JOBS,STRONGLEADER,1.96
NATIONAL YELLOW,39.0,51.0,29.0,THIRD CALL,1036.0,45-49,WHITE,MALE,NADER,KLINK,,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,WORLDAFFAIRS,HONEST,CLINTON,NONE,,BETTER,APP/UNFAV,YES,INDEPEND,SUBURBS,POSTGRAD,ELSE,AFEWAYEAR,OVER100K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILLYSUBURB,45-59,40-49,IND/OTHER,40-49,OTHER,,,ISSUES,WORLDAFFAIRS,HONEST,1.036
NATIONAL GREY,39.0,51.0,30.0,THIRD CALL,1621.0,40-44,WHITE,MALE,BUSH,SANTORUM,BEFORE,,,,,SUBURBS,,,,,GOREDID,,,,REPUBLCN,SUBURBS,COLGRAD,,,75-100K,,,CONSERV,18-64,CUTFEDINCTAX,,NATIONAL,COMPLETE,PHILLYSUBURB,30-44,40-49,REPUBLICAN,40-49,,ONLYBUSH,ONLYGORE,,,,1.621
NATIONAL GREY,39.0,51.0,31.0,THIRD CALL,1450.0,30-39,ASIAN,FEMALE,BUSH,SANTORUM,BEFORE,,,,,SUBURBS,,,,,NEITHERDID,,,,INDEPEND,SUBURBS,COLGRAD,,,30-50K,,,MODERATE,18-64,CUTFEDINCTAX,,NATIONAL,COMPLETE,PHILLYSUBURB,30-44,30-39,IND/OTHER,30-39,,NEITHER,NEITHER,,,,1.45
NATIONAL GREY,39.0,51.0,32.0,THIRD CALL,1621.0,50-59,WHITE,MALE,BUSH,SANTORUM,LAST.3DAYS,,,,,SUBURBS,,,,,BOTHDID,,,,REPUBLCN,SUBURBS,COLGRAD,,,,,,MODERATE,18-64,SOCIALSECURI,,NATIONAL,COMPLETE,PHILLYSUBURB,45-59,50-59,REPUBLICAN,50-64,,ONLYBUSH,ONLYGORE,,,,1.621
NATIONAL GREY,39.0,51.0,33.0,THIRD CALL,1988.0,60-64,WHITE,FEMALE,GORE,KLINK,BEFORE,,,,,SUBURBS,,,,,OMITS,,,,,SUBURBS,,,,,,,,18-64,OMITS,,NATIONAL,NOTCOMPLETE,PHILLYSUBURB,60+,60+,,50-64,,OMITS,OMITS,,,,1.988
NATIONAL GREY,39.0,51.0,34.0,THIRD CALL,1859.0,50-59,WHITE,MALE,GORE,SANTORUM,LAST.MONTH,,,,,SUBURBS,,,,,BOTHDID,,,,INDEPEND,SUBURBS,POSTGRAD,,,50-75K,,,MODERATE,18-64,SOCIALSECURI,,NATIONAL,COMPLETE,PHILLYSUBURB,45-59,50-59,IND/OTHER,50-64,,ONLYGORE,BOTH,,,,1.859
NATIONAL PINK,39.0,51.0,35.0,THIRD CALL,1621.0,50-59,WHITE,MALE,BUSH,SANTORUM,,,,,,SUBURBS,,,,NONE,,,,YES,,SUBURBS,,,,,,,,18-64,,,NATIONAL,NOTCOMPLETE,PHILLYSUBURB,45-59,50-59,,50-64,,,,,,,1.621
NATIONAL PINK,39.0,51.0,36.0,THIRD CALL,1621.0,30-39,WHITE,MALE,BUSH,SANTORUM,,,,,,SUBURBS,,,,NONE,,,,YES,INDEPEND,SUBURBS,,PROTESTANT,,OVER100K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILLYSUBURB,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,,,,1.621
NATIONAL PINK,39.0,51.0,37.0,THIRD CALL,1859.0,50-59,WHITE,MALE,GORE,SANTORUM,,,,,,SUBURBS,,,,NONE,,,,YES,,SUBURBS,,,,,,,,18-64,,,NATIONAL,NOTCOMPLETE,PHILLYSUBURB,45-59,50-59,,50-64,,,,,,,1.859
NATIONAL PINK,39.0,51.0,38.0,THIRD CALL,1798.0,45-49,WHITE,FEMALE,GORE,KLINK,,,,,,SUBURBS,,,,ME,,,,YES,DEMOCRAT,SUBURBS,,CATHOLIC,,OVER100K,YES,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,PHILLYSUBURB,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,,,,1.798
NATIONAL PINK,39.0,51.0,39.0,THIRD CALL,1581.0,18-24,WHITE,MALE,BUSH,SANTORUM,,,,,,SUBURBS,,,,NONE,,,,NO,REPUBLCN,SUBURBS,,ELSE,,OVER100K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILLYSUBURB,18-29,18-24,REPUBLICAN,18-24,OTHER,,,,,,1.581
STATE ONLY,39.0,55.0,1.0,FIRST CALL,1166.0,30-39,WHITE,MALE,GORE,KLINK,LAST.3DAYS,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,OMITS,OMITS,CLINTON,SOMEONEELSE,BOTHDID,SAME,APP/UNFAV,YES,INDEPEND,SUBURBS,HSGRAD,OTHERCHRIST,AFEWAYEAR,15-30K,YES,YES,MODERATE,18-64,REDUCNATDEBT,GORE/LIEBERM,STATE,COMPLETE,CENTRALNORTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,BOTH,BOTH,ISSUES,,,1.166
STATE ONLY,39.0,55.0,2.0,FIRST CALL,972.0,30-39,WHITE,MALE,BUSH,SANTORUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,SOCIALSECUR,HONEST,DOLE,SOMEONEELSE,GOREDID,WORSE,DIS/UNFAV,NO,REPUBLCN,SUBURBS,HSGRAD,PROTESTANT,AFEWAMONTH,LESS15K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,BUSH/RIDGE,STATE,COMPLETE,CENTRALNORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,ONLYBUSH,BOTH,PERSONALQUAL,,,0.972
STATE ONLY,39.0,55.0,3.0,FIRST CALL,1166.0,45-49,,MALE,GORE,KLINK,BEFORE,APPROVE,FAVORABLE,GORE,OMITS,SUBURBS,EDUCATION,COMPLEXISSUE,CLINTON,ME,BUSHDID,BETTER,APP/FAV,YES,DEMOCRAT,SUBURBS,POSTGRAD,ELSE,NEVER,75-100K,YES,NO,LIBERAL,18-64,REDUCNATDEBT,GORE/LIEBERM,STATE,COMPLETE,CENTRALNORTH,45-59,40-49,DEMOCRAT,40-49,OTHER,ONLYGORE,BOTH,PERSONALQUAL,,,1.166
STATE ONLY,39.0,55.0,4.0,FIRST CALL,947.0,25-29,,MALE,BUSH,SANTORUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,OMITS,HONEST,DOLE,SOMEONEELSE,GOREDID,BETTER,DIS/UNFAV,YES,REPUBLCN,SUBURBS,COLGRAD,NONE,NEVER,15-30K,YES,YES,CONSERV,18-64,REDUCNATDEBT,BUSH/RIDGE,STATE,COMPLETE,CENTRALNORTH,18-29,25-29,REPUBLICAN,25-29,NONE,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,0.9470000000000001
STATE ONLY,39.0,55.0,5.0,FIRST CALL,972.0,40-44,WHITE,MALE,BUSH,SANTORUM,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,SOCIALSECUR,HONEST,PEROT,ME,GOREDID,WORSE,DIS/UNFAV,YES,INDEPEND,SUBURBS,HSGRAD,OTHERCHRIST,NEVER,LESS15K,NO,NO,CONSERV,18-64,REDUCNATDEBT,BUSH/RIDGE,STATE,COMPLETE,CENTRALNORTH,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,ONLYBUSH,BOTH,ISSUES,,,0.972
STATE ONLY,39.0,55.0,6.0,FIRST CALL,1257.0,18-24,WHITE,FEMALE,BUSH,OTHER,LAST.MONTH,APPROVE,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,PEROT,NONE,BOTHDID,SAME,APP/UNFAV,NO,DEMOCRAT,SUBURBS,COLGRAD,OTHERCHRIST,AFEWAYEAR,30-50K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,BUSH/RIDGE,STATE,COMPLETE,CENTRALNORTH,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,BOTH,BOTH,ISSUES,,,1.2570000000000001
STATE ONLY,39.0,55.0,7.0,FIRST CALL,972.0,30-39,WHITE,MALE,BUSH,SANTORUM,BEFORE,APPROVE,UNFAVORABLE,BUSH,LESS,SUBURBS,SOCIALSECUR,OMITS,DOLE,,OMITS,SAME,APP/UNFAV,YES,INDEPEND,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,,YES,YES,CONSERV,18-64,REDUCNATDEBT,BUSH/RIDGE,STATE,COMPLETE,CENTRALNORTH,30-44,30-39,IND/OTHER,30-39,CATHOLIC,OMITS,ONLYGORE,ISSUES,,,0.972
STATE ONLY,39.0,55.0,8.0,SECOND CALL,1126.0,50-59,WHITE,FEMALE,GORE,SANTORUM,LAST.3DAYS,DISAPPR,UNFAVORABLE,GORE,MORE,SUBURBS,WORLDAFFAIRS,EXPERIENCE,PEROT,NONE,BOTHDID,BETTER,DIS/UNFAV,YES,REPUBLCN,SUBURBS,HSGRAD,OTHERCHRIST,AFEWAYEAR,50-75K,YES,NO,MODERATE,18-64,SOCIALSECURI,GORE/LIEBERM,STATE,COMPLETE,CENTRALNORTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,ONLYGORE,BOTH,PERSONALQUAL,,,1.1260000000000001
STATE ONLY,39.0,55.0,9.0,SECOND CALL,1015.0,30-39,WHITE,FEMALE,BUSH,SANTORUM,LAST.3DAYS,OMITS,UNFAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,CARES,OMITS,NONE,GOREDID,SAME,OMITS,NO,REPUBLCN,SUBURBS,SOMCOL/ASSOC,PROTESTANT,AFEWAMONTH,15-30K,NO,YES,MODERATE,18-64,SOCIALSECURI,BUSH/RIDGE,STATE,COMPLETE,CENTRALNORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,BOTH,BOTH,ISSUES,,,1.0150000000000001
STATE ONLY,39.0,55.0,10.0,SECOND CALL,1290.0,40-44,WHITE,FEMALE,BUSH,OTHER,LAST.3DAYS,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,MEDICARE/RX,OMITS,NOVOTE,NONE,BOTHDID,SAME,DIS/UNFAV,NO,INDEPEND,SUBURBS,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,15-30K,YES,NO,MODERATE,18-64,REDUCNATDEBT,BUSH/RIDGE,STATE,COMPLETE,CENTRALNORTH,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,NEITHER,BOTH,ISSUES,,,1.29
STATE ONLY,39.0,55.0,11.0,SECOND CALL,1491.0,60-64,WHITE,FEMALE,GORE,KLINK,BEFORE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,SOCIALSECUR,HONEST,CLINTON,NONE,NEITHERDID,BETTER,APP/FAV,NO,DEMOCRAT,SUBURBS,HSGRAD,PROTESTANT,AFEWAYEAR,LESS15K,NO,NO,MODERATE,18-64,SOCIALSECURI,GORE/LIEBERM,STATE,COMPLETE,CENTRALNORTH,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,1.491
STATE ONLY,39.0,55.0,12.0,SECOND CALL,1491.0,65-74,WHITE,FEMALE,GORE,KLINK,BEFORE,APPROVE,UNFAVORABLE,GORE,LESS,SUBURBS,MEDICARE/RX,EXPERIENCE,CLINTON,NONE,BOTHDID,SAME,APP/UNFAV,NO,DEMOCRAT,SUBURBS,HSGRAD,PROTESTANT,ONCEAWEEK,15-30K,YES,NO,,65+,SOCIALSECURI,GORE/LIEBERM,STATE,COMPLETE,CENTRALNORTH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,1.491
STATE ONLY,39.0,55.0,13.0,SECOND CALL,680.0,50-59,WHITE,MALE,BUCHANAN,KLINK,LAST.MONTH,APPROVE,UNFAVORABLE,GORE,LESS,SUBURBS,TAXES,EXPERIENCE,CLINTON,ME,NEITHERDID,BETTER,APP/UNFAV,NO,DEMOCRAT,SUBURBS,HSGRAD,CATHOLIC,NEVER,30-50K,YES,NO,MODERATE,18-64,OMITS,GORE/LIEBERM,STATE,COMPLETE,CENTRALNORTH,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,ONLYGORE,ONLYBUSH,ISSUES,,,0.68
STATE ONLY,39.0,55.0,14.0,SECOND CALL,1240.0,60-64,WHITE,FEMALE,BUSH,SANTORUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,MEDICARE/RX,HONEST,DOLE,NONE,NEITHERDID,WORSE,DIS/UNFAV,NO,INDEPEND,SUBURBS,NOHS,PROTESTANT,AFEWAMONTH,LESS15K,NO,NO,MODERATE,18-64,SOCIALSECURI,BUSH/RIDGE,STATE,COMPLETE,CENTRALNORTH,60+,60+,IND/OTHER,50-64,PROT/CHRIST,BOTH,BOTH,ISSUES,,,1.24
STATE ONLY,39.0,55.0,15.0,SECOND CALL,1015.0,50-59,WHITE,FEMALE,BUSH,SANTORUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,SOCIALSECUR,COMPLEXISSUE,PEROT,NONE,GOREDID,WORSE,DIS/UNFAV,YES,REPUBLCN,SUBURBS,HSGRAD,CATHOLIC,AFEWAYEAR,15-30K,YES,YES,CONSERV,18-64,SOCIALSECURI,OTHERCANDS,STATE,COMPLETE,CENTRALNORTH,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,BOTH,BOTH,PERSONALQUAL,,,1.0150000000000001
STATE ONLY,39.0,55.0,16.0,SECOND CALL,1218.0,50-59,WHITE,FEMALE,GORE,KLINK,BEFORE,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,SOCIALSECUR,GOODJUDGMENT,NOVOTE,SOMEONEELSE,BOTHDID,BETTER,APP/UNFAV,NO,DEMOCRAT,SUBURBS,HSGRAD,PROTESTANT,AFEWAYEAR,30-50K,YES,NO,MODERATE,18-64,SOCIALSECURI,GORE/LIEBERM,STATE,COMPLETE,CENTRALNORTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,ONLYGORE,BOTH,PERSONALQUAL,,,1.218
STATE ONLY,39.0,55.0,17.0,SECOND CALL,1166.0,40-44,WHITE,MALE,GORE,KLINK,BEFORE,APPROVE,UNFAVORABLE,GORE,LESS,SUBURBS,ECON/JOBS,STRONGLEADER,CLINTON,ME,BOTHDID,BETTER,APP/UNFAV,YES,DEMOCRAT,SUBURBS,HSGRAD,CATHOLIC,NEVER,30-50K,YES,NO,CONSERV,18-64,REDUCNATDEBT,GORE/LIEBERM,STATE,COMPLETE,CENTRALNORTH,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,ONLYGORE,ONLYBUSH,ISSUES,,,1.166
STATE ONLY,39.0,55.0,18.0,SECOND CALL,1015.0,50-59,WHITE,FEMALE,BUSH,SANTORUM,LAST.MONTH,APPROVE,UNFAVORABLE,BUSH,LESS,SUBURBS,OMITS,GOODJUDGMENT,DOLE,NONE,BOTHDID,SAME,APP/UNFAV,YES,REPUBLCN,SUBURBS,POSTGRAD,PROTESTANT,AFEWAYEAR,75-100K,YES,NO,CONSERV,18-64,SOCIALSECURI,BUSH/RIDGE,STATE,COMPLETE,CENTRALNORTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,BOTH,BOTH,PERSONALQUAL,,,1.0150000000000001
STATE ONLY,39.0,55.0,19.0,SECOND CALL,1491.0,65-74,WHITE,FEMALE,GORE,KLINK,BEFORE,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,SOCIALSECUR,HONEST,CLINTON,NONE,BUSHDID,BETTER,APP/UNFAV,NO,DEMOCRAT,SUBURBS,HSGRAD,PROTESTANT,ONCEAWEEK,15-30K,YES,YES,,65+,CUTFEDINCTAX,GORE/LIEBERM,STATE,COMPLETE,CENTRALNORTH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,1.491
STATE ONLY,39.0,55.0,20.0,SECOND CALL,1187.0,65-74,WHITE,MALE,BUSH,SANTORUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,STRONGLEADER,CLINTON,NONE,BOTHDID,SAME,DIS/UNFAV,NO,DEMOCRAT,SUBURBS,HSGRAD,PROTESTANT,AFEWAYEAR,15-30K,YES,YES,CONSERV,65+,REDUCNATDEBT,BUSH/RIDGE,STATE,COMPLETE,CENTRALNORTH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,ONLYBUSH,NEITHER,ISSUES,,,1.187
STATE ONLY,39.0,55.0,21.0,SECOND CALL,1187.0,60-64,,MALE,BUSH,SANTORUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,OMITS,CARES,DOLE,NONE,GOREDID,SAME,DIS/UNFAV,YES,ELSE,SUBURBS,COLGRAD,ELSE,MORETHAN1AWK,15-30K,NO,NO,CONSERV,18-64,SOCIALSECURI,BUSH/RIDGE,STATE,COMPLETE,CENTRALNORTH,60+,60+,IND/OTHER,50-64,OTHER,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,1.187
STATE ONLY,39.0,55.0,22.0,SECOND CALL,1425.0,75+,WHITE,MALE,GORE,KLINK,BEFORE,DISAPPR,UNFAVORABLE,GORE,LESS,SUBURBS,SOCIALSECUR,EXPERIENCE,CLINTON,NONE,BOTHDID,BETTER,DIS/UNFAV,NO,DEMOCRAT,SUBURBS,COLGRAD,CATHOLIC,MORETHAN1AWK,15-30K,YES,NO,MODERATE,65+,CUTFEDINCTAX,GORE/LIEBERM,STATE,COMPLETE,CENTRALNORTH,60+,60+,DEMOCRAT,65+,CATHOLIC,ONLYBUSH,BOTH,ISSUES,,,1.425
