VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,TIME,CLINTON,BCPERSON,XWAY2000,ISSUE,QUAL,RELRIGHT,X6VOTE,FINSIT,JOBPERS,BCRUN,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
NATIONAL GREY,4.0,23.0,21.0,SECOND CALL,40-44,WHITE,MALE,GORE,LAST.3DAYS,,,,,,,,,,,DEMOCRAT,SOMCOL/ASSOC,,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,30-44,40-49,DEMOCRAT,40-49,,,,0.559
NATIONAL GREY,4.0,23.0,22.0,SECOND CALL,30-39,WHITE,MALE,BUSH,BEFORE,,,,,,,,,,,REPUBLCN,COLGRAD,,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,30-44,30-39,REPUBLICAN,30-39,,,,0.651
NATIONAL PINK,4.0,23.0,23.0,SECOND CALL,40-44,WHITE,MALE,BUSH,,,,,,,NO,,,,,INDEPEND,,PROTESTANT,15-30K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.651
NATIONAL PINK,4.0,23.0,24.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,,,,,,,YES,,,,,,,,,,18-64,NATIONAL,NOTCOMPLETE,SOUTH,60+,60+,,50-64,,,,0.661
NATIONAL PINK,4.0,23.0,25.0,THIRD CALL,18-24,WHITE,MALE,BUSH,,,,,,,NO,,,,,REPUBLCN,,OTHERCHRIST,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.979
STATE ONLY,4.0,25.0,1.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,LAST.MONTH,APPROVE,UNFAVORABLE,WOULDNOTVOTE,HEALTHCARE,CARES,NO,CLINTON,SAME,APP/UNFAV,NO,DEMOCRAT,SOMCOL/ASSOC,ELSE,15-30K,MODERATE,18-64,STATE,COMPLETE,SOUTH,45-59,40-49,DEMOCRAT,40-49,OTHER,,,1.389
STATE ONLY,4.0,25.0,2.0,FIRST CALL,40-44,WHITE,MALE,GORE,LAST.3DAYS,APPROVE,FAVORABLE,GORE,TAXES,EXPERIENCE,NO,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,HSGRAD,ELSE,15-30K,LIBERAL,18-64,STATE,COMPLETE,SOUTH,30-44,40-49,DEMOCRAT,40-49,OTHER,,,1.262
STATE ONLY,4.0,25.0,3.0,FIRST CALL,50-59,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,ECON/JOBS,EXPERIENCE,YES,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,HSGRAD,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,SOUTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.262
STATE ONLY,4.0,25.0,4.0,FIRST CALL,50-59,WHITE,MALE,GORE,LAST.MONTH,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,GOODJUDGMENT,YES,CLINTON,BETTER,APP/UNFAV,NO,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,COMPLETE,SOUTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.262
STATE ONLY,4.0,25.0,5.0,FIRST CALL,75+,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,HEALTHCARE,CARES,YES,NOVOTE,WORSE,DIS/UNFAV,NO,INDEPEND,NOHS,PROTESTANT,15-30K,CONSERV,65+,STATE,COMPLETE,SOUTH,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.577
STATE ONLY,4.0,25.0,6.0,FIRST CALL,60-64,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,MEDICARE/RX,COMPLEXISSUE,NO,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,NOHS,PROTESTANT,,MODERATE,18-64,STATE,COMPLETE,SOUTH,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,1.354
STATE ONLY,4.0,25.0,7.0,FIRST CALL,60-64,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,GOODJUDGMENT,OMITS,DOLE,SAME,DIS/UNFAV,NO,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,15-30K,CONSERV,18-64,STATE,COMPLETE,SOUTH,60+,60+,IND/OTHER,50-64,PROT/CHRIST,,,1.577
STATE ONLY,4.0,25.0,8.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,LAST.3DAYS,DISAPPR,UNFAVORABLE,BUSH,EDUCATION,HONEST,YES,PEROT,BETTER,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,COMPLETE,SOUTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.618
STATE ONLY,4.0,25.0,9.0,FIRST CALL,75+,WHITE,,GORE,BEFORE,APPROVE,FAVORABLE,GORE,MEDICARE/RX,EXPERIENCE,NO,CLINTON,SAME,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,LESS15K,,65+,STATE,COMPLETE,SOUTH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.492
STATE ONLY,4.0,25.0,10.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,BEFORE,APPROVE,UNFAVORABLE,GORE,WORLDAFFAIRS,EXPERIENCE,NO,OTHER,BETTER,APP/UNFAV,NO,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,65+,STATE,COMPLETE,SOUTH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.492
STATE ONLY,4.0,25.0,11.0,FIRST CALL,65-74,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,SOCIALSECUR,EXPERIENCE,NO,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,65+,STATE,COMPLETE,SOUTH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.354
STATE ONLY,4.0,25.0,12.0,FIRST CALL,75+,WHITE,FEMALE,BUSH,BEFORE,APPROVE,OMITS,OMITS,WORLDAFFAIRS,GOODJUDGMENT,YES,CLINTON,OMITS,OMITS,YES,,,,,,65+,STATE,COMPLETE,SOUTH,60+,60+,,65+,,,,1.737
STATE ONLY,4.0,25.0,13.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,HONEST,NO,DOLE,SAME,DIS/UNFAV,NO,INDEPEND,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,SOUTH,60+,60+,IND/OTHER,50-64,PROT/CHRIST,,,1.737
STATE ONLY,4.0,25.0,14.0,FIRST CALL,65-74,BLACK,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,MEDICARE/RX,HONEST,OMITS,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,NOHS,OTHERCHRIST,LESS15K,LIBERAL,65+,STATE,COMPLETE,SOUTH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.395
STATE ONLY,4.0,25.0,15.0,FIRST CALL,50-59,WHITE,MALE,GORE,LAST.MONTH,OMITS,OMITS,OMITS,SOCIALSECUR,CARES,YES,OMITS,OMITS,,OMITS,,,,,,18-64,STATE,NOTCOMPLETE,SOUTH,45-59,50-59,,50-64,,,,1.262
STATE ONLY,4.0,25.0,16.0,FIRST CALL,75+,BLACK,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,MEDICARE/RX,GOODJUDGMENT,NO,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,POSTGRAD,OTHERCHRIST,LESS15K,MODERATE,65+,STATE,COMPLETE,SOUTH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.395
STATE ONLY,4.0,25.0,17.0,FIRST CALL,30-39,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,ECON/JOBS,GOODJUDGMENT,NO,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,LESS15K,CONSERV,18-64,STATE,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.262
STATE ONLY,4.0,25.0,18.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,SOCIALSECUR,CARES,YES,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,NOHS,OTHERCHRIST,LESS15K,MODERATE,18-64,STATE,COMPLETE,SOUTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.431
STATE ONLY,4.0,25.0,19.0,SECOND CALL,60-64,BLACK,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,SOCIALSECUR,EXPERIENCE,OMITS,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,HSGRAD,,LESS15K,,18-64,STATE,COMPLETE,SOUTH,60+,60+,DEMOCRAT,50-64,,,,1.537
STATE ONLY,4.0,25.0,20.0,SECOND CALL,75+,BLACK,FEMALE,GORE,BEFORE,OMITS,FAVORABLE,GORE,SOCIALSECUR,EXPERIENCE,OMITS,CLINTON,BETTER,OMITS,YES,DEMOCRAT,NOHS,,LESS15K,,65+,STATE,COMPLETE,SOUTH,60+,60+,DEMOCRAT,65+,,,,1.537
STATE ONLY,4.0,25.0,21.0,SECOND CALL,,BLACK,,BUSH,BEFORE,OMITS,OMITS,OMITS,HEALTHCARE,CARES,YES,OMITS,OMITS,,OMITS,,,,,,,STATE,NOTCOMPLETE,SOUTH,,,,,,,,1.5130000000000001
STATE ONLY,4.0,25.0,22.0,SECOND CALL,75+,BLACK,FEMALE,GORE,LAST.MONTH,OMITS,FAVORABLE,WOULDNOTVOTE,OMITS,CARES,NO,CLINTON,SAME,OMITS,YES,DEMOCRAT,SOMCOL/ASSOC,,LESS15K,MODERATE,65+,STATE,COMPLETE,SOUTH,60+,60+,DEMOCRAT,65+,,,,1.537
STATE ONLY,4.0,25.0,23.0,SECOND CALL,30-39,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,MEDICARE/RX,COMPLEXISSUE,YES,OTHER,WORSE,DIS/UNFAV,NO,INDEPEND,COLGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,SOUTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.469
STATE ONLY,4.0,25.0,24.0,SECOND CALL,65-74,BLACK,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,MEDICARE/RX,GOODJUDGMENT,YES,CLINTON,SAME,APP/FAV,NO,DEMOCRAT,HSGRAD,OTHERCHRIST,,,65+,STATE,COMPLETE,SOUTH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.537
STATE ONLY,4.0,25.0,25.0,SECOND CALL,50-59,WHITE,MALE,GORE,BEFORE,DISAPPR,UNFAVORABLE,GORE,WORLDAFFAIRS,OMITS,OMITS,CLINTON,SAME,DIS/UNFAV,NO,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,CONSERV,18-64,STATE,COMPLETE,SOUTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.262
STATE ONLY,4.0,25.0,26.0,SECOND CALL,50-59,WHITE,MALE,GORE,BEFORE,APPROVE,UNFAVORABLE,GORE,SOCIALSECUR,GOODJUDGMENT,NO,CLINTON,SAME,APP/UNFAV,YES,DEMOCRAT,HSGRAD,PROTESTANT,,,18-64,STATE,COMPLETE,SOUTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.262
STATE ONLY,4.0,25.0,27.0,THIRD CALL,30-39,BLACK,MALE,GORE,BEFORE,OMITS,OMITS,OMITS,ECON/JOBS,LIKEABLE,NO,OMITS,OMITS,,OMITS,,,,,,18-64,STATE,NOTCOMPLETE,SOUTH,30-44,30-39,,30-39,,,,1.299
STATE ONLY,4.0,25.0,28.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,BEFORE,APPROVE,UNFAVORABLE,GORE,SOCIALSECUR,EXPERIENCE,NO,CLINTON,SAME,APP/UNFAV,NO,DEMOCRAT,COLGRAD,OTHERCHRIST,15-30K,LIBERAL,18-64,STATE,COMPLETE,SOUTH,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.389
STATE ONLY,4.0,25.0,29.0,THIRD CALL,50-59,WHITE,MALE,OTHER,LASTWEEK,APPROVE,FAVORABLE,WOULDNOTVOTE,SOCIALSECUR,CARES,YES,CLINTON,WORSE,APP/FAV,NO,DEMOCRAT,HSGRAD,OTHERCHRIST,LESS15K,MODERATE,18-64,STATE,COMPLETE,SOUTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,2.1710000000000003
STATE ONLY,4.0,25.0,30.0,THIRD CALL,25-29,WHITE,MALE,GORE,BEFORE,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,EXPERIENCE,NO,NOVOTE,SAME,APP/UNFAV,NO,DEMOCRAT,COLGRAD,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,COMPLETE,SOUTH,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,1.8980000000000001
STATE ONLY,4.0,25.0,31.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,ECON/JOBS,HONEST,NO,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,HSGRAD,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.389
STATE ONLY,4.0,25.0,32.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,LAST.3DAYS,APPROVE,FAVORABLE,GORE,EDUCATION,OMITS,NO,CLINTON,SAME,APP/FAV,NO,INDEPEND,POSTGRAD,OTHERCHRIST,75-100K,MODERATE,18-64,STATE,COMPLETE,SOUTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.389
STATE ONLY,4.0,25.0,33.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,BEFORE,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,EXPERIENCE,NO,OTHER,WORSE,APP/UNFAV,NO,DEMOCRAT,COLGRAD,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,SOUTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.389
STATE ONLY,4.0,25.0,34.0,THIRD CALL,30-39,BLACK,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,SOCIALSECUR,COMPLEXISSUE,YES,NOVOTE,SAME,APP/FAV,YES,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.299
STATE ONLY,4.0,25.0,35.0,THIRD CALL,30-39,WHITE,MALE,GORE,LAST.MONTH,APPROVE,FAVORABLE,GORE,SOCIALSECUR,GOODJUDGMENT,NO,CLINTON,SAME,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.262
STATE ONLY,4.0,25.0,36.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,LAST.3DAYS,APPROVE,UNFAVORABLE,BUSH,WORLDAFFAIRS,EXPERIENCE,YES,CLINTON,BETTER,APP/UNFAV,NO,DEMOCRAT,COLGRAD,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.618
STATE ONLY,4.0,25.0,37.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,HEALTHCARE,CARES,NO,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,HSGRAD,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,SOUTH,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.389
STATE ONLY,4.0,25.0,38.0,THIRD CALL,18-24,WHITE,MALE,GORE,LAST.3DAYS,APPROVE,FAVORABLE,GORE,ECON/JOBS,HONEST,OMITS,NOVOTE,BETTER,APP/FAV,YES,DEMOCRAT,HSGRAD,PROTESTANT,LESS15K,MODERATE,18-64,STATE,COMPLETE,SOUTH,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,1.8980000000000001
STATE ONLY,4.0,25.0,39.0,THIRD CALL,45-49,WHITE,MALE,BUSH,LASTWEEK,DISAPPR,UNFAVORABLE,BUSH,TAXES,HONEST,YES,DOLE,BETTER,DIS/UNFAV,NO,REPUBLCN,COLGRAD,OTHERCHRIST,75-100K,CONSERV,18-64,STATE,COMPLETE,SOUTH,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.469
STATE ONLY,4.0,25.0,40.0,THIRD CALL,30-39,WHITE,MALE,GORE,LAST.3DAYS,APPROVE,UNFAVORABLE,GORE,EDUCATION,HONEST,NO,CLINTON,BETTER,APP/UNFAV,YES,INDEPEND,POSTGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,SOUTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.262
STATE ONLY,4.0,25.0,41.0,THIRD CALL,50-59,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,ECON/JOBS,CARES,NO,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,POSTGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,SOUTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.262
STATE ONLY,4.0,25.0,42.0,THIRD CALL,45-49,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,MEDICARE/RX,EXPERIENCE,NO,CLINTON,WORSE,DIS/UNFAV,NO,ELSE,SOMCOL/ASSOC,ELSE,15-30K,MODERATE,18-64,STATE,COMPLETE,SOUTH,45-59,40-49,IND/OTHER,40-49,OTHER,,,1.469
STATE ONLY,4.0,25.0,43.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,SOCIALSECUR,CARES,NO,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.431
STATE ONLY,4.0,25.0,44.0,THIRD CALL,40-44,BLACK,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,EDUCATION,COMPLEXISSUE,NO,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,POSTGRAD,PROTESTANT,LESS15K,LIBERAL,18-64,STATE,COMPLETE,SOUTH,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.299
STATE ONLY,4.0,25.0,45.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,LAST.3DAYS,OMITS,OMITS,BUSH,OMITS,OMITS,OMITS,OMITS,WORSE,OMITS,NO,ELSE,HSGRAD,OTHERCHRIST,LESS15K,MODERATE,18-64,STATE,COMPLETE,SOUTH,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.618
STATE ONLY,4.0,25.0,46.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,LAST.MONTH,APPROVE,UNFAVORABLE,BUSH,WORLDAFFAIRS,STRONGLEADER,NO,NOVOTE,BETTER,APP/UNFAV,YES,DEMOCRAT,HSGRAD,,30-50K,MODERATE,18-64,STATE,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,,,,1.618
STATE ONLY,4.0,25.0,47.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,EDUCATION,HONEST,NO,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,COLGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,SOUTH,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,1.618
STATE ONLY,4.0,25.0,48.0,THIRD CALL,30-39,WHITE,MALE,BUSH,LAST.MONTH,APPROVE,UNFAVORABLE,BUSH,HEALTHCARE,CARES,NO,CLINTON,BETTER,APP/UNFAV,YES,INDEPEND,SOMCOL/ASSOC,NONE,30-50K,MODERATE,18-64,STATE,COMPLETE,SOUTH,30-44,30-39,IND/OTHER,30-39,NONE,,,1.469
STATE ONLY,4.0,29.0,1.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,HONEST,YES,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,15-30K,CONSERV,18-64,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.471
STATE ONLY,4.0,29.0,2.0,FIRST CALL,50-59,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,SOCIALSECUR,CARES,OMITS,CLINTON,BETTER,APP/FAV,YES,INDEPEND,POSTGRAD,PROTESTANT,75-100K,LIBERAL,18-64,STATE,COMPLETE,EAST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.992
STATE ONLY,4.0,29.0,3.0,FIRST CALL,45-49,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,ECON/JOBS,COMPLEXISSUE,NO,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,COLGRAD,CATHOLIC,OVER100K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.992
STATE ONLY,4.0,29.0,4.0,FIRST CALL,60-64,WHITE,MALE,NADER,BEFORE,APPROVE,FAVORABLE,GORE,HEALTHCARE,COMPLEXISSUE,NO,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,POSTGRAD,ELSE,50-75K,LIBERAL,18-64,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,50-64,OTHER,,,1.024
STATE ONLY,4.0,29.0,5.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,HEALTHCARE,COMPLEXISSUE,NO,CLINTON,SAME,APP/FAV,YES,DEMOCRAT,POSTGRAD,ELSE,50-75K,LIBERAL,18-64,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,50-64,OTHER,,,1.038
STATE ONLY,4.0,29.0,6.0,FIRST CALL,50-59,WHITE,MALE,BUSH,BEFORE,APPROVE,UNFAVORABLE,BUSH,TAXES,HONEST,NO,CLINTON,BETTER,APP/UNFAV,NO,REPUBLCN,COLGRAD,PROTESTANT,OVER100K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.667
STATE ONLY,4.0,29.0,7.0,FIRST CALL,50-59,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,OMITS,OMITS,NO,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,POSTGRAD,PROTESTANT,OVER100K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.992
STATE ONLY,4.0,29.0,8.0,FIRST CALL,30-39,WHITE,MALE,BUSH,BEFORE,APPROVE,UNFAVORABLE,BUSH,SOCIALSECUR,STRONGLEADER,NO,DOLE,SAME,APP/UNFAV,YES,INDEPEND,COLGRAD,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.667
STATE ONLY,4.0,29.0,9.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,ECON/JOBS,CARES,NO,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,COLGRAD,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.874
STATE ONLY,4.0,29.0,10.0,FIRST CALL,18-24,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,TAXES,HONEST,YES,NOVOTE,BETTER,DIS/UNFAV,NO,REPUBLCN,HSGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,EAST,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,1.423
STATE ONLY,4.0,29.0,11.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,LAST.MONTH,APPROVE,FAVORABLE,GORE,SOCIALSECUR,COMPLEXISSUE,NO,NOVOTE,BETTER,APP/FAV,YES,INDEPEND,POSTGRAD,PROTESTANT,OVER100K,MODERATE,18-64,STATE,COMPLETE,EAST,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.874
STATE ONLY,4.0,29.0,12.0,FIRST CALL,18-24,WHITE,FEMALE,GORE,LAST.3DAYS,DISAPPR,UNFAVORABLE,GORE,EDUCATION,LIKEABLE,NO,NOVOTE,SAME,DIS/UNFAV,NO,DEMOCRAT,HSGRAD,NONE,50-75K,CONSERV,18-64,STATE,COMPLETE,EAST,18-29,18-24,DEMOCRAT,18-24,NONE,,,0.747
STATE ONLY,4.0,29.0,13.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,BEFORE,APPROVE,UNFAVORABLE,GORE,EDUCATION,EXPERIENCE,YES,DOLE,BETTER,APP/UNFAV,NO,REPUBLCN,,PROTESTANT,50-75K,CONSERV,18-64,STATE,COMPLETE,EAST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.874
STATE ONLY,4.0,29.0,14.0,FIRST CALL,50-59,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,ECON/JOBS,EXPERIENCE,OMITS,CLINTON,BETTER,APP/FAV,YES,INDEPEND,SOMCOL/ASSOC,NONE,30-50K,CONSERV,18-64,STATE,COMPLETE,EAST,45-59,50-59,IND/OTHER,50-64,NONE,,,0.992
STATE ONLY,4.0,29.0,15.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,HEALTHCARE,COMPLEXISSUE,NO,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.874
STATE ONLY,4.0,29.0,16.0,FIRST CALL,75+,WHITE,FEMALE,GORE,BEFORE,APPROVE,OMITS,GORE,OMITS,OMITS,YES,CLINTON,BETTER,OMITS,YES,DEMOCRAT,,ELSE,,CONSERV,65+,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,65+,OTHER,,,1.038
STATE ONLY,4.0,29.0,17.0,FIRST CALL,25-29,WHITE,MALE,GORE,LAST.MONTH,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,EXPERIENCE,OMITS,CLINTON,BETTER,APP/UNFAV,YES,INDEPEND,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,EAST,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,,,0.846
