VERSION,STATEID,PRECINCT,SEQ,CALL,WGT,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,X6VOTE,UNION4,FINSIT,JOBPERS,WORK,RACPRO,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,CORZMONY,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,LATINO,QRACE,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,31.0,13.0,27.0,SECOND CALL,774.0,50-59,WHITE,FEMALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,HONEST,DOLE,SOMEONEELSE,BETTER,DIS/UNFAV,NO,NOTTOOSERIO,REPUBLCN,SUBURBS,SOMCOL/ASSOC,PROTESTANT,NEVER,OVER100K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,NOTATALLCONC,STATE,COMPLETE,BERGEN,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,0.774
STATE ONLY,31.0,13.0,28.0,SECOND CALL,774.0,40-44,ASIAN,FEMALE,BUSH,FRANKS,APPROVE,UNFAVORABLE,BUSH,MORE,SUBURBS,ECON/JOBS,CARES,NOVOTE,NONE,BETTER,APP/UNFAV,YES,NOTTOOSERIO,INDEPEND,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,OVER100K,YES,YES,MODERATE,18-64,SOCIALSECURI,VERYCONC,STATE,COMPLETE,BERGEN,30-44,40-49,IND/OTHER,40-49,NO,ASIAN,PROT/CHRIST,BOTH,BOTH,ISSUES,,,0.774
STATE ONLY,31.0,13.0,29.0,THIRD CALL,1309.0,30-39,WHITE,FEMALE,GORE,FRANKS,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,COMPLEXISSUE,DOLE,NONE,SAME,APP/UNFAV,NO,SOMEWHTSERI,REPUBLCN,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,OVER100K,YES,YES,MODERATE,18-64,SOCIALSECURI,VERYCONC,STATE,COMPLETE,BERGEN,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,CATHOLIC,BOTH,BOTH,ISSUES,,,1.309
STATE ONLY,31.0,13.0,30.0,THIRD CALL,1340.0,18-24,WHITE,FEMALE,GORE,CORZINE,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,HEALTHCARE,COMPLEXISSUE,NOVOTE,NONE,BETTER,APP/FAV,NO,SOMEWHTSERI,DEMOCRAT,SUBURBS,POSTGRAD,JEWISH,AFEWAYEAR,OVER100K,NO,NO,LIBERAL,18-64,SOCIALSECURI,NOTATALLCONC,STATE,COMPLETE,BERGEN,18-29,18-24,DEMOCRAT,18-24,NO,WHITE,JEWISH,BOTH,BOTH,ISSUES,,,1.34
STATE ONLY,31.0,13.0,31.0,THIRD CALL,774.0,30-39,WHITE,FEMALE,BUSH,FRANKS,APPROVE,UNFAVORABLE,BUSH,LESS,SUBURBS,HEALTHCARE,HONEST,CLINTON,ME,SAME,APP/UNFAV,YES,SOMEWHTSERI,INDEPEND,SUBURBS,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,30-50K,NO,NO,CONSERV,18-64,CUTFEDINCTAX,NOTTOOCONC,STATE,COMPLETE,BERGEN,30-44,30-39,IND/OTHER,30-39,NO,WHITE,CATHOLIC,ONLYBUSH,ONLYGORE,ISSUES,,,0.774
STATE ONLY,31.0,13.0,32.0,THIRD CALL,1204.0,60-64,WHITE,FEMALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,OMITS,COMPLEXISSUE,DOLE,NONE,SAME,DIS/UNFAV,NO,VERYSERIOUS,REPUBLCN,SUBURBS,HSGRAD,CATHOLIC,MORETHAN1AWK,OVER100K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,NOTTOOCONC,STATE,COMPLETE,BERGEN,60+,60+,REPUBLICAN,50-64,NO,WHITE,CATHOLIC,ONLYBUSH,ONLYGORE,ISSUES,,,1.204
STATE ONLY,31.0,13.0,33.0,THIRD CALL,1186.0,45-49,WHITE,FEMALE,GORE,CORZINE,DISAPPR,UNFAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,HONEST,CLINTON,NONE,BETTER,DIS/UNFAV,YES,NOTTOOSERIO,DEMOCRAT,SUBURBS,POSTGRAD,JEWISH,AFEWAYEAR,50-75K,NO,YES,LIBERAL,18-64,CUTFEDINCTAX,SOMEWHATCONC,STATE,COMPLETE,BERGEN,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,JEWISH,ONLYGORE,ONLYBUSH,ISSUES,,,1.186
STATE ONLY,31.0,13.0,34.0,THIRD CALL,1279.0,60-64,WHITE,MALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,OMITS,HONEST,DOLE,NONE,WORSE,DIS/UNFAV,YES,NOTATALLSERI,REPUBLCN,SUBURBS,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,OVER100K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,VERYCONC,STATE,COMPLETE,BERGEN,60+,60+,REPUBLICAN,50-64,NO,WHITE,CATHOLIC,ONLYBUSH,ONLYGORE,ISSUES,,,1.2790000000000001
STATE ONLY,31.0,13.0,35.0,THIRD CALL,1964.0,65-74,WHITE,MALE,GORE,CORZINE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,MEDICARE/RX,COMPLEXISSUE,CLINTON,NONE,BETTER,APP/FAV,YES,SOMEWHTSERI,DEMOCRAT,SUBURBS,COLGRAD,JEWISH,OMITS,50-75K,YES,NO,MODERATE,65+,SOCIALSECURI,NOTTOOCONC,STATE,COMPLETE,BERGEN,60+,60+,DEMOCRAT,65+,NO,WHITE,JEWISH,ONLYGORE,BOTH,ISSUES,,,1.964
STATE ONLY,31.0,13.0,36.0,THIRD CALL,1262.0,45-49,WHITE,MALE,GORE,CORZINE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,TAXES,COMPLEXISSUE,CLINTON,NONE,BETTER,APP/FAV,YES,SOMEWHTSERI,INDEPEND,SUBURBS,COLGRAD,JEWISH,NEVER,75-100K,NO,YES,MODERATE,18-64,REDUCNATDEBT,NOTTOOCONC,STATE,COMPLETE,BERGEN,45-59,40-49,IND/OTHER,40-49,NO,WHITE,JEWISH,ONLYGORE,ONLYGORE,PERSONALQUAL,,,1.262
STATE ONLY,31.0,13.0,37.0,THIRD CALL,1279.0,60-64,WHITE,,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,CARES,DOLE,NONE,SAME,DIS/UNFAV,YES,NOTTOOSERIO,REPUBLCN,SUBURBS,HSGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,NOTATALLCONC,STATE,COMPLETE,BERGEN,60+,60+,REPUBLICAN,50-64,NO,WHITE,CATHOLIC,ONLYBUSH,ONLYGORE,ISSUES,,,1.2790000000000001
STATE ONLY,31.0,13.0,38.0,THIRD CALL,1279.0,65-74,WHITE,MALE,BUSH,FRANKS,APPROVE,UNFAVORABLE,BUSH,MORE,SUBURBS,MEDICARE/RX,GOODJUDGMENT,DOLE,NONE,BETTER,APP/UNFAV,YES,NOTTOOSERIO,INDEPEND,SUBURBS,SOMCOL/ASSOC,CATHOLIC,MORETHAN1AWK,75-100K,YES,NO,CONSERV,65+,REDUCNATDEBT,VERYCONC,STATE,COMPLETE,BERGEN,60+,60+,IND/OTHER,65+,NO,WHITE,CATHOLIC,NEITHER,ONLYGORE,ISSUES,,,1.2790000000000001
STATE ONLY,31.0,13.0,39.0,THIRD CALL,1262.0,50-59,WHITE,MALE,GORE,CORZINE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,WORLDAFFAIRS,COMPLEXISSUE,CLINTON,ME,BETTER,APP/FAV,YES,SOMEWHTSERI,DEMOCRAT,SUBURBS,POSTGRAD,JEWISH,AFEWAYEAR,OVER100K,YES,YES,LIBERAL,18-64,REDUCNATDEBT,VERYCONC,STATE,COMPLETE,BERGEN,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,JEWISH,ONLYGORE,BOTH,ISSUES,,,1.262
STATE ONLY,31.0,13.0,40.0,THIRD CALL,774.0,50-59,WHITE,FEMALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,OMITS,STRONGLEADER,DOLE,NONE,WORSE,DIS/UNFAV,YES,SOMEWHTSERI,REPUBLCN,SUBURBS,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,30-50K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,NOTTOOCONC,STATE,COMPLETE,BERGEN,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,ONLYBUSH,NEITHER,PERSONALQUAL,,,0.774
STATE ONLY,31.0,16.0,1.0,FIRST CALL,818.0,40-44,WHITE,MALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,ECON/JOBS,HONEST,DOLE,NONE,BETTER,DIS/UNFAV,YES,SOMEWHTSERI,REPUBLCN,SUBURBS,POSTGRAD,JEWISH,AFEWAYEAR,OVER100K,YES,NO,CONSERV,18-64,REDUCNATDEBT,VERYCONC,STATE,COMPLETE,BERGEN,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,JEWISH,BOTH,ONLYGORE,PERSONALQUAL,,,0.8180000000000001
STATE ONLY,31.0,16.0,2.0,FIRST CALL,865.0,60-64,HISP,MALE,BUSH,FRANKS,APPROVE,FAVORABLE,BUSH,LESS,SUBURBS,OMITS,OMITS,CLINTON,NONE,SAME,APP/FAV,NO,NOTTOOSERIO,INDEPEND,SUBURBS,POSTGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,NO,LIBERAL,18-64,REDUCNATDEBT,NOTATALLCONC,STATE,COMPLETE,BERGEN,60+,60+,IND/OTHER,50-64,YES,HISP,CATHOLIC,NEITHER,BOTH,ISSUES,,,0.865
STATE ONLY,31.0,16.0,3.0,FIRST CALL,1257.0,30-39,WHITE,MALE,GORE,CORZINE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,COMPLEXISSUE,CLINTON,NONE,BETTER,APP/FAV,YES,SOMEWHTSERI,DEMOCRAT,SUBURBS,POSTGRAD,JEWISH,AFEWAYEAR,OVER100K,YES,NO,MODERATE,18-64,REDUCNATDEBT,NOTTOOCONC,STATE,COMPLETE,BERGEN,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,JEWISH,ONLYGORE,ONLYBUSH,ISSUES,,,1.2570000000000001
STATE ONLY,31.0,16.0,4.0,FIRST CALL,1182.0,45-49,WHITE,FEMALE,GORE,CORZINE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,WORLDAFFAIRS,COMPLEXISSUE,CLINTON,NONE,BETTER,APP/FAV,YES,SOMEWHTSERI,DEMOCRAT,SUBURBS,COLGRAD,PROTESTANT,AFEWAYEAR,75-100K,NO,NO,MODERATE,18-64,SOCIALSECURI,NOTATALLCONC,STATE,COMPLETE,BERGEN,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,PROT/CHRIST,ONLYGORE,NEITHER,ISSUES,,,1.182
STATE ONLY,31.0,16.0,5.0,FIRST CALL,1182.0,40-44,WHITE,FEMALE,GORE,CORZINE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,GOODJUDGMENT,CLINTON,NONE,BETTER,APP/FAV,YES,SOMEWHTSERI,DEMOCRAT,SUBURBS,POSTGRAD,JEWISH,AFEWAYEAR,OVER100K,YES,YES,LIBERAL,18-64,OTHRPROGRAMS,NOTATALLCONC,STATE,COMPLETE,BERGEN,30-44,40-49,DEMOCRAT,40-49,NO,WHITE,JEWISH,ONLYGORE,BOTH,ISSUES,,,1.182
STATE ONLY,31.0,16.0,6.0,FIRST CALL,1182.0,45-49,WHITE,FEMALE,GORE,CORZINE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,COMPLEXISSUE,CLINTON,NONE,BETTER,APP/FAV,YES,SOMEWHTSERI,DEMOCRAT,SUBURBS,POSTGRAD,JEWISH,AFEWAYEAR,OVER100K,YES,YES,MODERATE,18-64,REDUCNATDEBT,SOMEWHATCONC,STATE,COMPLETE,BERGEN,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,JEWISH,ONLYGORE,ONLYBUSH,ISSUES,,,1.182
STATE ONLY,31.0,16.0,7.0,FIRST CALL,818.0,40-44,WHITE,MALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,OMITS,HONEST,DOLE,NONE,SAME,DIS/UNFAV,YES,SOMEWHTSERI,INDEPEND,SUBURBS,POSTGRAD,CATHOLIC,AFEWAYEAR,OVER100K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,NOTATALLCONC,STATE,COMPLETE,BERGEN,30-44,40-49,IND/OTHER,40-49,NO,WHITE,CATHOLIC,BOTH,ONLYGORE,ISSUES,,,0.8180000000000001
STATE ONLY,31.0,16.0,8.0,FIRST CALL,1182.0,45-49,WHITE,FEMALE,GORE,CORZINE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,MEDICARE/RX,COMPLEXISSUE,CLINTON,NONE,SAME,APP/FAV,NO,SOMEWHTSERI,INDEPEND,SUBURBS,POSTGRAD,JEWISH,AFEWAYEAR,OVER100K,YES,YES,MODERATE,18-64,REDUCNATDEBT,VERYCONC,STATE,COMPLETE,BERGEN,45-59,40-49,IND/OTHER,40-49,NO,WHITE,JEWISH,ONLYGORE,NEITHER,ISSUES,,,1.182
STATE ONLY,31.0,16.0,9.0,FIRST CALL,877.0,50-59,WHITE,FEMALE,NADER,FRANKS,APPROVE,UNFAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,GOODJUDGMENT,OTHER,NONE,SAME,APP/UNFAV,YES,NOTATALLSERI,REPUBLCN,SUBURBS,COLGRAD,PROTESTANT,NEVER,OVER100K,YES,NO,MODERATE,18-64,OTHRPROGRAMS,VERYCONC,STATE,COMPLETE,BERGEN,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,BOTH,ONLYGORE,ISSUES,,,0.877
STATE ONLY,31.0,16.0,10.0,FIRST CALL,1387.0,45-49,WHITE,MALE,GORE,FRANKS,DISAPPR,UNFAVORABLE,GORE,MORE,SUBURBS,OMITS,EXPERIENCE,OMITS,NONE,BETTER,DIS/UNFAV,NO,NOTTOOSERIO,DEMOCRAT,SUBURBS,POSTGRAD,JEWISH,AFEWAYEAR,OVER100K,YES,YES,MODERATE,18-64,SOCIALSECURI,VERYCONC,STATE,COMPLETE,BERGEN,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,JEWISH,ONLYGORE,BOTH,ISSUES,,,1.387
STATE ONLY,31.0,16.0,11.0,FIRST CALL,1387.0,50-59,WHITE,MALE,GORE,FRANKS,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,EXPERIENCE,CLINTON,NONE,BETTER,APP/UNFAV,YES,SOMEWHTSERI,INDEPEND,SUBURBS,COLGRAD,JEWISH,NEVER,OVER100K,YES,YES,LIBERAL,18-64,REDUCNATDEBT,VERYCONC,STATE,COMPLETE,BERGEN,45-59,50-59,IND/OTHER,50-64,NO,WHITE,JEWISH,ONLYGORE,BOTH,PERSONALQUAL,,,1.387
STATE ONLY,31.0,16.0,12.0,FIRST CALL,818.0,30-39,WHITE,MALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,ECON/JOBS,HONEST,NOVOTE,NONE,SAME,DIS/UNFAV,YES,NOTTOOSERIO,REPUBLCN,SUBURBS,POSTGRAD,JEWISH,NEVER,OVER100K,YES,YES,MODERATE,18-64,REDUCNATDEBT,SOMEWHATCONC,STATE,COMPLETE,BERGEN,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,JEWISH,NEITHER,ONLYGORE,PERSONALQUAL,,,0.8180000000000001
STATE ONLY,31.0,16.0,13.0,FIRST CALL,1182.0,45-49,WHITE,FEMALE,GORE,CORZINE,APPROVE,OMITS,GORE,MORE,SUBURBS,WORLDAFFAIRS,COMPLEXISSUE,CLINTON,NONE,SAME,OMITS,YES,VERYSERIOUS,DEMOCRAT,SUBURBS,POSTGRAD,JEWISH,NEVER,OVER100K,YES,YES,LIBERAL,18-64,SOCIALSECURI,SOMEWHATCONC,STATE,COMPLETE,BERGEN,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,JEWISH,ONLYGORE,BOTH,ISSUES,,,1.182
STATE ONLY,31.0,16.0,14.0,FIRST CALL,1182.0,45-49,WHITE,FEMALE,GORE,CORZINE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,HEALTHCARE,COMPLEXISSUE,CLINTON,NONE,BETTER,APP/FAV,YES,VERYSERIOUS,DEMOCRAT,SUBURBS,HSGRAD,JEWISH,AFEWAYEAR,OVER100K,NO,YES,MODERATE,18-64,SOCIALSECURI,NOTTOOCONC,STATE,COMPLETE,BERGEN,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,JEWISH,ONLYGORE,ONLYBUSH,ISSUES,,,1.182
STATE ONLY,31.0,16.0,15.0,SECOND CALL,928.0,50-59,WHITE,FEMALE,,CORZINE,APPROVE,FAVORABLE,GORE,OMITS,SUBURBS,OMITS,COMPLEXISSUE,CLINTON,NONE,BETTER,APP/FAV,YES,OMITS,DEMOCRAT,SUBURBS,POSTGRAD,CATHOLIC,AFEWAYEAR,OVER100K,YES,NO,MODERATE,18-64,REDUCNATDEBT,SOMEWHATCONC,STATE,COMPLETE,BERGEN,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,CATHOLIC,BOTH,BOTH,ISSUES,,,0.928
STATE ONLY,31.0,16.0,16.0,SECOND CALL,771.0,40-44,ASIAN,FEMALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,GORE,LESS,SUBURBS,TAXES,HONEST,NOVOTE,NONE,BETTER,DIS/UNFAV,YES,NOTTOOSERIO,REPUBLCN,SUBURBS,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,30-50K,YES,YES,CONSERV,18-64,REDUCNATDEBT,VERYCONC,STATE,COMPLETE,BERGEN,30-44,40-49,REPUBLICAN,40-49,NO,ASIAN,PROT/CHRIST,ONLYBUSH,ONLYBUSH,PERSONALQUAL,,,0.771
STATE ONLY,31.0,16.0,17.0,SECOND CALL,1182.0,30-39,WHITE,FEMALE,GORE,CORZINE,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,WORLDAFFAIRS,EXPERIENCE,CLINTON,NONE,SAME,APP/UNFAV,NO,SOMEWHTSERI,INDEPEND,SUBURBS,COLGRAD,CATHOLIC,NEVER,50-75K,YES,NO,MODERATE,18-64,REDUCNATDEBT,NOTATALLCONC,STATE,COMPLETE,BERGEN,30-44,30-39,IND/OTHER,30-39,NO,WHITE,CATHOLIC,ONLYGORE,BOTH,ISSUES,,,1.182
STATE ONLY,31.0,16.0,18.0,SECOND CALL,1182.0,50-59,WHITE,FEMALE,GORE,CORZINE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,WORLDAFFAIRS,COMPLEXISSUE,CLINTON,NONE,WORSE,APP/FAV,YES,VERYSERIOUS,DEMOCRAT,SUBURBS,POSTGRAD,JEWISH,NEVER,OVER100K,NO,YES,LIBERAL,18-64,REDUCNATDEBT,VERYCONC,STATE,COMPLETE,BERGEN,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,JEWISH,ONLYGORE,BOTH,ISSUES,,,1.182
STATE ONLY,31.0,16.0,19.0,SECOND CALL,1257.0,30-39,WHITE,MALE,GORE,CORZINE,OMITS,OMITS,OMITS,MORE,SUBURBS,SOCIALSECUR,CARES,OMITS,NONE,OMITS,,,OMITS,,SUBURBS,,,OMITS,,,,,18-64,OMITS,NOTATALLCONC,STATE,NOTCOMPLETE,BERGEN,30-44,30-39,,30-39,NO,WHITE,,OMITS,OMITS,OMITS,,,1.2570000000000001
STATE ONLY,31.0,16.0,20.0,SECOND CALL,771.0,40-44,WHITE,FEMALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,EDUCATION,STRONGLEADER,DOLE,NONE,SAME,DIS/UNFAV,YES,NOTTOOSERIO,REPUBLCN,SUBURBS,POSTGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,YES,MODERATE,18-64,REDUCNATDEBT,VERYCONC,STATE,COMPLETE,BERGEN,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,CATHOLIC,ONLYBUSH,ONLYGORE,ISSUES,,,0.771
STATE ONLY,31.0,16.0,21.0,SECOND CALL,1838.0,60-64,WHITE,FEMALE,GORE,CORZINE,APPROVE,FAVORABLE,OMITS,OMITS,SUBURBS,WORLDAFFAIRS,COMPLEXISSUE,CLINTON,NONE,BETTER,APP/FAV,NO,SOMEWHTSERI,DEMOCRAT,SUBURBS,,JEWISH,AFEWAYEAR,OVER100K,NO,NO,LIBERAL,18-64,REDUCNATDEBT,NOTATALLCONC,STATE,COMPLETE,BERGEN,60+,60+,DEMOCRAT,50-64,,WHITE,JEWISH,OMITS,ONLYBUSH,ISSUES,,,1.838
STATE ONLY,31.0,16.0,22.0,SECOND CALL,1182.0,30-39,WHITE,FEMALE,GORE,CORZINE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,HEALTHCARE,STRONGLEADER,CLINTON,NONE,BETTER,APP/FAV,YES,NOTTOOSERIO,DEMOCRAT,SUBURBS,COLGRAD,JEWISH,AFEWAYEAR,OVER100K,YES,NO,LIBERAL,18-64,OTHRPROGRAMS,NOTATALLCONC,STATE,COMPLETE,BERGEN,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,JEWISH,ONLYGORE,ONLYBUSH,ISSUES,,,1.182
STATE ONLY,31.0,16.0,23.0,SECOND CALL,771.0,50-59,WHITE,FEMALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,OMITS,GOODJUDGMENT,CLINTON,NONE,BETTER,DIS/UNFAV,NO,SOMEWHTSERI,DEMOCRAT,SUBURBS,POSTGRAD,JEWISH,AFEWAYEAR,OVER100K,YES,YES,LIBERAL,18-64,CUTFEDINCTAX,VERYCONC,STATE,COMPLETE,BERGEN,45-59,50-59,DEMOCRAT,50-64,,WHITE,JEWISH,ONLYGORE,BOTH,PERSONALQUAL,,,0.771
STATE ONLY,31.0,16.0,24.0,SECOND CALL,1838.0,60-64,WHITE,FEMALE,GORE,CORZINE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,EXPERIENCE,CLINTON,NONE,BETTER,APP/FAV,YES,SOMEWHTSERI,DEMOCRAT,SUBURBS,POSTGRAD,JEWISH,AFEWAYEAR,OVER100K,YES,NO,MODERATE,18-64,REDUCNATDEBT,NOTTOOCONC,STATE,COMPLETE,BERGEN,60+,60+,DEMOCRAT,50-64,NO,WHITE,JEWISH,ONLYGORE,ONLYBUSH,ISSUES,,,1.838
STATE ONLY,31.0,16.0,25.0,SECOND CALL,1955.0,75+,WHITE,MALE,GORE,CORZINE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,WORLDAFFAIRS,OMITS,CLINTON,NONE,SAME,APP/FAV,NO,NOTTOOSERIO,DEMOCRAT,SUBURBS,HSGRAD,JEWISH,AFEWAYEAR,OVER100K,YES,NO,CONSERV,65+,REDUCNATDEBT,NOTATALLCONC,STATE,COMPLETE,BERGEN,60+,60+,DEMOCRAT,65+,NO,WHITE,JEWISH,ONLYGORE,BOTH,OMITS,,,1.955
STATE ONLY,31.0,16.0,26.0,SECOND CALL,1838.0,60-64,WHITE,FEMALE,GORE,CORZINE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,WORLDAFFAIRS,COMPLEXISSUE,CLINTON,NONE,BETTER,APP/FAV,NO,SOMEWHTSERI,DEMOCRAT,SUBURBS,POSTGRAD,JEWISH,AFEWAYEAR,75-100K,YES,NO,LIBERAL,18-64,OTHRPROGRAMS,NOTATALLCONC,STATE,COMPLETE,BERGEN,60+,60+,DEMOCRAT,50-64,NO,WHITE,JEWISH,ONLYGORE,NEITHER,OMITS,,,1.838
STATE ONLY,31.0,16.0,27.0,SECOND CALL,1182.0,30-39,WHITE,FEMALE,GORE,CORZINE,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,EDUCATION,EXPERIENCE,CLINTON,NONE,SAME,APP/FAV,YES,SOMEWHTSERI,DEMOCRAT,SUBURBS,POSTGRAD,ELSE,NEVER,75-100K,YES,NO,MODERATE,18-64,SOCIALSECURI,NOTTOOCONC,STATE,COMPLETE,BERGEN,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,OTHER,ONLYGORE,BOTH,ISSUES,,,1.182
STATE ONLY,31.0,16.0,28.0,SECOND CALL,1257.0,45-49,WHITE,MALE,GORE,CORZINE,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,OMITS,STRONGLEADER,CLINTON,NONE,BETTER,APP/UNFAV,YES,SOMEWHTSERI,DEMOCRAT,SUBURBS,POSTGRAD,JEWISH,AFEWAYEAR,OVER100K,YES,YES,LIBERAL,18-64,OTHRPROGRAMS,SOMEWHATCONC,STATE,COMPLETE,BERGEN,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,JEWISH,ONLYGORE,BOTH,PERSONALQUAL,,,1.2570000000000001
STATE ONLY,31.0,16.0,29.0,SECOND CALL,1252.0,50-59,WHITE,FEMALE,GORE,,OMITS,UNFAVORABLE,GORE,MORE,SUBURBS,OMITS,OMITS,NOVOTE,ME,SAME,OMITS,NO,OMITS,INDEPEND,SUBURBS,POSTGRAD,OTHERCHRIST,AFEWAYEAR,OVER100K,YES,YES,LIBERAL,18-64,SOCIALSECURI,VERYCONC,STATE,COMPLETE,BERGEN,45-59,50-59,IND/OTHER,50-64,NO,WHITE,PROT/CHRIST,NEITHER,BOTH,OMITS,,,1.252
STATE ONLY,31.0,16.0,30.0,SECOND CALL,1320.0,30-39,WHITE,MALE,NADER,OTHER,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,WORLDAFFAIRS,COMPLEXISSUE,DOLE,NONE,SAME,APP/FAV,YES,NOTTOOSERIO,INDEPEND,SUBURBS,POSTGRAD,OTHERCHRIST,AFEWAYEAR,75-100K,YES,YES,LIBERAL,18-64,OTHRPROGRAMS,NOTATALLCONC,STATE,COMPLETE,BERGEN,30-44,30-39,IND/OTHER,30-39,NO,WHITE,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,1.32
STATE ONLY,31.0,16.0,31.0,SECOND CALL,1182.0,50-59,WHITE,FEMALE,GORE,CORZINE,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,OMITS,COMPLEXISSUE,CLINTON,NONE,SAME,APP/FAV,NO,NOTTOOSERIO,INDEPEND,SUBURBS,POSTGRAD,JEWISH,AFEWAYEAR,OVER100K,YES,YES,LIBERAL,18-64,SOCIALSECURI,VERYCONC,STATE,COMPLETE,BERGEN,45-59,50-59,IND/OTHER,50-64,NO,WHITE,JEWISH,ONLYGORE,BOTH,ISSUES,,,1.182
