VERSION,STATEID,PRECINCT,SEQ,CALL,WGT,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,RELIGION,INCOME,PHIL3,OVER65,EVOLCREA,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,17.0,16.0,14.0,FIRST CALL,182.0,45-49,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,NONE,75-100K,LIBERAL,18-64,EVOLUTION,STATE,TOPEKAKCAREA,45-59,40-49,DEMOCRAT,40-49,NONE,,,0.182
STATE ONLY,17.0,16.0,15.0,FIRST CALL,538.0,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,DEMOCRAT,CATHOLIC,OVER100K,MODERATE,18-64,BOTH,STATE,TOPEKAKCAREA,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.538
STATE ONLY,17.0,16.0,16.0,FIRST CALL,538.0,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,CREATIONISM,STATE,TOPEKAKCAREA,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.538
STATE ONLY,17.0,16.0,17.0,FIRST CALL,538.0,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,NOVOTE,SAME,DIS/UNFAV,INDEPEND,PROTESTANT,50-75K,MODERATE,18-64,BOTH,STATE,TOPEKAKCAREA,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.538
STATE ONLY,17.0,16.0,18.0,FIRST CALL,538.0,40-44,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,GORE,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,MODERATE,18-64,CREATIONISM,STATE,TOPEKAKCAREA,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.538
STATE ONLY,17.0,16.0,19.0,FIRST CALL,538.0,40-44,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,BOTH,STATE,TOPEKAKCAREA,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.538
STATE ONLY,17.0,16.0,20.0,FIRST CALL,442.0,65-74,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,MODERATE,65+,BOTH,STATE,TOPEKAKCAREA,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.442
STATE ONLY,17.0,16.0,21.0,FIRST CALL,502.0,60-64,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,75-100K,MODERATE,18-64,BOTH,STATE,TOPEKAKCAREA,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,0.502
STATE ONLY,17.0,16.0,22.0,FIRST CALL,328.0,40-44,HISP,FEMALE,BUCHANAN,OMITS,UNFAVORABLE,GORE,NO,DOLE,WORSE,OMITS,REPUBLCN,PROTESTANT,30-50K,MODERATE,18-64,BOTH,STATE,TOPEKAKCAREA,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.328
STATE ONLY,17.0,16.0,23.0,FIRST CALL,502.0,65-74,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,65+,BOTH,STATE,TOPEKAKCAREA,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.502
STATE ONLY,17.0,16.0,24.0,FIRST CALL,150.0,65-74,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,SAME,APP/UNFAV,DEMOCRAT,OTHERCHRIST,LESS15K,CONSERV,65+,BOTH,STATE,TOPEKAKCAREA,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.15
STATE ONLY,17.0,16.0,25.0,SECOND CALL,206.0,18-24,BLACK,MALE,GORE,APPROVE,FAVORABLE,BUSH,NO,NOVOTE,BETTER,APP/FAV,ELSE,OTHERCHRIST,50-75K,LIBERAL,18-64,BOTH,STATE,TOPEKAKCAREA,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,0.20600000000000002
STATE ONLY,17.0,16.0,26.0,SECOND CALL,1099.0,40-44,WHITE,MALE,NADER,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,BETTER,APP/UNFAV,ELSE,PROTESTANT,75-100K,LIBERAL,18-64,EVOLUTION,STATE,TOPEKAKCAREA,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.099
STATE ONLY,17.0,16.0,27.0,SECOND CALL,375.0,30-39,WHITE,MALE,BUCHANAN,APPROVE,UNFAVORABLE,BUSH,NO,DOLE,SAME,APP/UNFAV,ELSE,OTHERCHRIST,30-50K,CONSERV,18-64,BOTH,STATE,TOPEKAKCAREA,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.375
STATE ONLY,17.0,16.0,28.0,SECOND CALL,474.0,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,OVER100K,CONSERV,18-64,CREATIONISM,STATE,TOPEKAKCAREA,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.47400000000000003
STATE ONLY,17.0,16.0,29.0,SECOND CALL,538.0,30-39,WHITE,MALE,BUSH,APPROVE,FAVORABLE,BUSH,NO,CLINTON,BETTER,APP/FAV,ELSE,NONE,30-50K,MODERATE,18-64,BOTH,STATE,TOPEKAKCAREA,30-44,30-39,IND/OTHER,30-39,NONE,,,0.538
STATE ONLY,17.0,16.0,30.0,SECOND CALL,538.0,40-44,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,CLINTON,SAME,APP/UNFAV,REPUBLCN,OTHERCHRIST,OVER100K,MODERATE,18-64,BOTH,STATE,TOPEKAKCAREA,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.538
STATE ONLY,17.0,16.0,31.0,SECOND CALL,170.0,65-74,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,30-50K,LIBERAL,65+,EVOLUTION,STATE,TOPEKAKCAREA,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.17
STATE ONLY,17.0,16.0,32.0,THIRD CALL,1099.0,45-49,WHITE,MALE,NADER,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,OTHERCHRIST,50-75K,LIBERAL,18-64,EVOLUTION,STATE,TOPEKAKCAREA,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.099
STATE ONLY,17.0,16.0,33.0,THIRD CALL,612.0,25-29,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,NOVOTE,BETTER,DIS/UNFAV,INDEPEND,PROTESTANT,30-50K,MODERATE,18-64,CREATIONISM,STATE,TOPEKAKCAREA,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,,,0.612
STATE ONLY,17.0,16.0,34.0,THIRD CALL,161.0,40-44,WHITE,FEMALE,GORE,DISAPPR,UNFAVORABLE,GORE,NO,CLINTON,SAME,DIS/UNFAV,INDEPEND,CATHOLIC,50-75K,MODERATE,18-64,CREATIONISM,STATE,TOPEKAKCAREA,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,0.161
STATE ONLY,17.0,16.0,35.0,THIRD CALL,182.0,40-44,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,CATHOLIC,LESS15K,LIBERAL,18-64,EVOLUTION,STATE,TOPEKAKCAREA,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.182
STATE ONLY,17.0,16.0,36.0,THIRD CALL,161.0,50-59,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,SAME,APP/UNFAV,DEMOCRAT,CATHOLIC,30-50K,LIBERAL,18-64,EVOLUTION,STATE,TOPEKAKCAREA,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.161
STATE ONLY,17.0,16.0,37.0,THIRD CALL,161.0,40-44,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,PEROT,SAME,APP/UNFAV,INDEPEND,OTHERCHRIST,50-75K,MODERATE,18-64,BOTH,STATE,TOPEKAKCAREA,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.161
STATE ONLY,17.0,16.0,38.0,THIRD CALL,538.0,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,MODERATE,18-64,CREATIONISM,STATE,TOPEKAKCAREA,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.538
STATE ONLY,17.0,16.0,39.0,THIRD CALL,182.0,30-39,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,BETTER,APP/UNFAV,INDEPEND,PROTESTANT,50-75K,MODERATE,18-64,BOTH,STATE,TOPEKAKCAREA,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.182
STATE ONLY,17.0,16.0,40.0,THIRD CALL,1099.0,45-49,WHITE,MALE,NADER,APPROVE,UNFAVORABLE,OMITS,NO,OTHER,BETTER,APP/UNFAV,ELSE,ELSE,,,18-64,OMITS,STATE,TOPEKAKCAREA,45-59,40-49,IND/OTHER,40-49,OTHER,,,1.099
STATE ONLY,17.0,16.0,41.0,THIRD CALL,538.0,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,CONSERV,18-64,CREATIONISM,STATE,TOPEKAKCAREA,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.538
STATE ONLY,17.0,16.0,42.0,THIRD CALL,538.0,45-49,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,CATHOLIC,75-100K,MODERATE,18-64,BOTH,STATE,TOPEKAKCAREA,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.538
STATE ONLY,17.0,16.0,43.0,THIRD CALL,474.0,45-49,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,CATHOLIC,75-100K,MODERATE,18-64,BOTH,STATE,TOPEKAKCAREA,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.47400000000000003
STATE ONLY,17.0,16.0,44.0,THIRD CALL,538.0,40-44,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,MODERATE,18-64,BOTH,STATE,TOPEKAKCAREA,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.538
STATE ONLY,17.0,16.0,45.0,THIRD CALL,182.0,30-39,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,50-75K,MODERATE,18-64,EVOLUTION,STATE,TOPEKAKCAREA,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.182
STATE ONLY,17.0,16.0,46.0,THIRD CALL,538.0,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,WORSE,DIS/UNFAV,INDEPEND,ELSE,75-100K,CONSERV,18-64,BOTH,STATE,TOPEKAKCAREA,45-59,40-49,IND/OTHER,40-49,OTHER,,,0.538
STATE ONLY,17.0,16.0,47.0,THIRD CALL,968.0,40-44,WHITE,FEMALE,NADER,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,SAME,APP/UNFAV,DEMOCRAT,CATHOLIC,50-75K,MODERATE,18-64,EVOLUTION,STATE,TOPEKAKCAREA,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.968
STATE ONLY,17.0,16.0,48.0,THIRD CALL,474.0,45-49,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,BOTH,STATE,TOPEKAKCAREA,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.47400000000000003
STATE ONLY,17.0,16.0,49.0,THIRD CALL,538.0,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,OMITS,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,CONSERV,18-64,CREATIONISM,STATE,TOPEKAKCAREA,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.538
NATIONAL WHITE,17.0,20.0,1.0,FIRST CALL,1023.0,65-74,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,DOLE,WORSE,APP/UNFAV,REPUBLCN,PROTESTANT,30-50K,MODERATE,65+,,NATIONAL,RURAL,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.0230000000000001
NATIONAL WHITE,17.0,20.0,2.0,FIRST CALL,997.0,40-44,WHITE,FEMALE,GORE,DISAPPR,UNFAVORABLE,GORE,YES,PEROT,WORSE,DIS/UNFAV,INDEPEND,OTHERCHRIST,50-75K,LIBERAL,18-64,,NATIONAL,RURAL,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.997
NATIONAL WHITE,17.0,20.0,3.0,FIRST CALL,953.0,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,CATHOLIC,75-100K,CONSERV,18-64,,NATIONAL,RURAL,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,,,0.9530000000000001
NATIONAL WHITE,17.0,20.0,4.0,FIRST CALL,997.0,50-59,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,CLINTON,WORSE,APP/FAV,INDEPEND,OTHERCHRIST,30-50K,LIBERAL,18-64,,NATIONAL,RURAL,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.997
NATIONAL YELLOW,17.0,20.0,5.0,FIRST CALL,768.0,25-29,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,INDEPEND,PROTESTANT,15-30K,LIBERAL,18-64,,NATIONAL,RURAL,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,EDUCATION,CARES,0.768
NATIONAL YELLOW,17.0,20.0,6.0,FIRST CALL,975.0,60-64,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,WORSE,DIS/UNFAV,INDEPEND,PROTESTANT,15-30K,CONSERV,18-64,,NATIONAL,RURAL,60+,60+,IND/OTHER,50-64,PROT/CHRIST,SOCIALSECUR,CARES,0.975
NATIONAL YELLOW,17.0,20.0,7.0,FIRST CALL,523.0,75+,WHITE,MALE,BUCHANAN,APPROVE,OMITS,GORE,OMITS,PEROT,SAME,OMITS,REPUBLCN,,15-30K,,65+,,NATIONAL,RURAL,60+,60+,REPUBLICAN,65+,,OMITS,OMITS,0.523
NATIONAL YELLOW,17.0,20.0,8.0,FIRST CALL,1140.0,50-59,WHITE,MALE,OTHER,APPROVE,FAVORABLE,WOULDNOTVOTE,NO,CLINTON,SAME,APP/FAV,ELSE,ELSE,15-30K,,18-64,,NATIONAL,RURAL,45-59,50-59,IND/OTHER,50-64,OTHER,OMITS,OMITS,1.1400000000000001
NATIONAL GREY,17.0,20.0,9.0,FIRST CALL,1023.0,65-74,WHITE,,BUSH,,,,,,,,DEMOCRAT,,50-75K,MODERATE,65+,,NATIONAL,RURAL,60+,60+,DEMOCRAT,65+,,,,1.0230000000000001
NATIONAL GREY,17.0,20.0,10.0,FIRST CALL,1102.0,45-49,BLACK,FEMALE,BUSH,,,,,,,,,,,,18-64,,NATIONAL,RURAL,45-59,40-49,,40-49,,,,1.102
NATIONAL GREY,17.0,20.0,11.0,FIRST CALL,1126.0,75+,HISP,MALE,BUSH,,,,,,,,DEMOCRAT,,LESS15K,CONSERV,65+,,NATIONAL,RURAL,60+,60+,DEMOCRAT,65+,,,,1.1260000000000001
NATIONAL GREY,17.0,20.0,12.0,FIRST CALL,950.0,30-39,WHITE,MALE,GORE,,,,,,,,INDEPEND,,30-50K,MODERATE,18-64,,NATIONAL,RURAL,30-44,30-39,IND/OTHER,30-39,,,,0.9500000000000001
NATIONAL PINK,17.0,20.0,13.0,FIRST CALL,908.0,50-59,WHITE,MALE,BUSH,,,,YES,,,,REPUBLCN,,,CONSERV,18-64,,NATIONAL,RURAL,45-59,50-59,REPUBLICAN,50-64,,,,0.908
NATIONAL PINK,17.0,20.0,14.0,FIRST CALL,975.0,60-64,WHITE,MALE,BUSH,,,,NO,,,,REPUBLCN,PROTESTANT,75-100K,MODERATE,18-64,,NATIONAL,RURAL,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,0.975
NATIONAL PINK,17.0,20.0,15.0,FIRST CALL,908.0,45-49,WHITE,MALE,BUSH,,,,OMITS,,,,INDEPEND,OTHERCHRIST,30-50K,MODERATE,18-64,,NATIONAL,RURAL,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.908
NATIONAL PINK,17.0,20.0,16.0,FIRST CALL,908.0,50-59,WHITE,MALE,BUSH,,,,YES,,,,REPUBLCN,,,CONSERV,18-64,,NATIONAL,RURAL,45-59,50-59,REPUBLICAN,50-64,,,,0.908
NATIONAL WHITE,17.0,20.0,17.0,SECOND CALL,997.0,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,PEROT,BETTER,APP/UNFAV,DEMOCRAT,PROTESTANT,30-50K,LIBERAL,18-64,,NATIONAL,RURAL,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.997
NATIONAL YELLOW,17.0,20.0,18.0,SECOND CALL,1050.0,,HISP,MALE,BUSH,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,,,,NATIONAL,RURAL,,,,,,OMITS,OMITS,1.05
NATIONAL YELLOW,17.0,20.0,19.0,SECOND CALL,975.0,65-74,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,DOLE,SAME,APP/UNFAV,REPUBLCN,PROTESTANT,,MODERATE,65+,,NATIONAL,RURAL,60+,60+,REPUBLICAN,65+,PROT/CHRIST,WORLDAFFAIRS,STRONGLEADER,0.975
NATIONAL GREY,17.0,20.0,20.0,SECOND CALL,734.0,25-29,WHITE,MALE,BUSH,,,,,,,,INDEPEND,,15-30K,LIBERAL,18-64,,NATIONAL,RURAL,18-29,25-29,IND/OTHER,25-29,,,,0.734
NATIONAL GREY,17.0,20.0,21.0,SECOND CALL,908.0,50-59,WHITE,MALE,BUSH,,,,,,,,REPUBLCN,,50-75K,CONSERV,18-64,,NATIONAL,RURAL,45-59,50-59,REPUBLICAN,50-64,,,,0.908
NATIONAL PINK,17.0,20.0,22.0,SECOND CALL,953.0,50-59,WHITE,FEMALE,BUSH,,,,NO,,,,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,,NATIONAL,RURAL,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.9530000000000001
NATIONAL PINK,17.0,20.0,23.0,SECOND CALL,734.0,18-24,WHITE,MALE,BUSH,,,,NO,,,,REPUBLCN,PROTESTANT,30-50K,LIBERAL,18-64,,NATIONAL,RURAL,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.734
NATIONAL WHITE,17.0,20.0,24.0,THIRD CALL,770.0,25-29,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,OMITS,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,OVER100K,LIBERAL,18-64,,NATIONAL,RURAL,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,0.77
NATIONAL WHITE,17.0,20.0,25.0,THIRD CALL,997.0,40-44,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,PEROT,SAME,APP/FAV,DEMOCRAT,PROTESTANT,50-75K,LIBERAL,18-64,,NATIONAL,RURAL,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.997
NATIONAL WHITE,17.0,20.0,26.0,THIRD CALL,891.0,18-24,BLACK,FEMALE,BUSH,DISAPPR,OMITS,BUSH,YES,NOVOTE,BETTER,OMITS,ELSE,OTHERCHRIST,LESS15K,,18-64,,NATIONAL,RURAL,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,0.891
NATIONAL WHITE,17.0,20.0,27.0,THIRD CALL,908.0,30-39,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,DOLE,SAME,APP/UNFAV,REPUBLCN,OTHERCHRIST,15-30K,MODERATE,18-64,,NATIONAL,RURAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.908
NATIONAL WHITE,17.0,20.0,28.0,THIRD CALL,950.0,40-44,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,ELSE,15-30K,MODERATE,18-64,,NATIONAL,RURAL,30-44,40-49,DEMOCRAT,40-49,OTHER,,,0.9500000000000001
NATIONAL YELLOW,17.0,20.0,29.0,THIRD CALL,908.0,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,OTHER,WORSE,DIS/UNFAV,REPUBLCN,OTHERCHRIST,15-30K,CONSERV,18-64,,NATIONAL,RURAL,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,OMITS,HONEST,0.908
NATIONAL YELLOW,17.0,20.0,30.0,THIRD CALL,1050.0,30-39,HISP,MALE,BUSH,APPROVE,FAVORABLE,BUSH,YES,CLINTON,SAME,APP/FAV,DEMOCRAT,CATHOLIC,30-50K,MODERATE,18-64,,NATIONAL,RURAL,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,MEDICARE/RX,HONEST,1.05
NATIONAL YELLOW,17.0,20.0,31.0,THIRD CALL,908.0,30-39,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,DOLE,SAME,APP/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,18-64,,NATIONAL,RURAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,TAXES,GOODJUDGMENT,0.908
NATIONAL YELLOW,17.0,20.0,32.0,THIRD CALL,908.0,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,18-64,,NATIONAL,RURAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,WORLDAFFAIRS,HONEST,0.908
NATIONAL GREY,17.0,20.0,33.0,THIRD CALL,1019.0,75+,WHITE,MALE,GORE,,,,,,,,,,,,65+,,NATIONAL,RURAL,60+,60+,,65+,,,,1.0190000000000001
NATIONAL GREY,17.0,20.0,34.0,THIRD CALL,734.0,25-29,WHITE,MALE,BUSH,,,,,,,,REPUBLCN,,30-50K,,18-64,,NATIONAL,RURAL,18-29,25-29,REPUBLICAN,25-29,,,,0.734
NATIONAL GREY,17.0,20.0,35.0,THIRD CALL,734.0,18-24,WHITE,MALE,BUSH,,,,,,,,REPUBLCN,,30-50K,MODERATE,18-64,,NATIONAL,RURAL,18-29,18-24,REPUBLICAN,18-24,,,,0.734
NATIONAL GREY,17.0,20.0,36.0,THIRD CALL,1023.0,60-64,WHITE,FEMALE,BUSH,,,,,,,,DEMOCRAT,,OVER100K,MODERATE,18-64,,NATIONAL,RURAL,60+,60+,DEMOCRAT,50-64,,,,1.0230000000000001
NATIONAL GREY,17.0,20.0,37.0,THIRD CALL,908.0,50-59,WHITE,MALE,BUSH,,,,,,,,INDEPEND,,,MODERATE,18-64,,NATIONAL,RURAL,45-59,50-59,IND/OTHER,50-64,,,,0.908
NATIONAL PINK,17.0,20.0,38.0,THIRD CALL,908.0,45-49,WHITE,MALE,BUSH,,,,NO,,,,INDEPEND,OTHERCHRIST,15-30K,MODERATE,18-64,,NATIONAL,RURAL,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.908
NATIONAL PINK,17.0,20.0,39.0,THIRD CALL,908.0,30-39,WHITE,MALE,BUSH,,,,NO,,,,REPUBLCN,OTHERCHRIST,15-30K,MODERATE,18-64,,NATIONAL,RURAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.908
NATIONAL PINK,17.0,20.0,40.0,THIRD CALL,953.0,50-59,WHITE,FEMALE,BUSH,,,,OMITS,,,,REPUBLCN,PROTESTANT,,CONSERV,18-64,,NATIONAL,RURAL,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.9530000000000001
NATIONAL PINK,17.0,20.0,41.0,THIRD CALL,908.0,50-59,WHITE,MALE,BUSH,,,,NO,,,,REPUBLCN,PROTESTANT,75-100K,MODERATE,18-64,,NATIONAL,RURAL,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.908
NATIONAL PINK,17.0,20.0,42.0,THIRD CALL,908.0,45-49,WHITE,MALE,BUSH,,,,NO,,,,REPUBLCN,PROTESTANT,30-50K,CONSERV,18-64,,NATIONAL,RURAL,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.908
STATE ONLY,17.0,27.0,1.0,FIRST CALL,717.0,65-74,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,REPUBLCN,PROTESTANT,15-30K,MODERATE,65+,EVOLUTION,STATE,RURAL,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.717
STATE ONLY,17.0,27.0,2.0,FIRST CALL,719.0,65-74,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,DOLE,SAME,APP/UNFAV,REPUBLCN,PROTESTANT,15-30K,,65+,BOTH,STATE,RURAL,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.719
STATE ONLY,17.0,27.0,4.0,FIRST CALL,719.0,65-74,WHITE,FEMALE,BUSH,APPROVE,FAVORABLE,BUSH,NO,DOLE,BETTER,APP/FAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,65+,BOTH,STATE,RURAL,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.719
STATE ONLY,17.0,27.0,5.0,FIRST CALL,670.0,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,,CONSERV,18-64,CREATIONISM,STATE,RURAL,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.67
STATE ONLY,17.0,27.0,6.0,FIRST CALL,717.0,75+,,MALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,,75-100K,MODERATE,65+,BOTH,STATE,RURAL,60+,60+,DEMOCRAT,65+,,,,0.717
