VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,X6VOTE,UNION4,ABORTION,FINSIT,JOBPERS,WORK,RYAN,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,DEATHPEN,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,HISPANIC,QRACE,REL5,TRACK,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,14.0,30.0,43.0,THIRD CALL,25-29,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,COMPLEXISSUE,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,YES,DISAPPR,DEMOCRAT,OVER500K,COLGRAD,NONE,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,FAVOR,STATE,COMPLETE,CHICAGO,18-29,25-29,DEMOCRAT,25-29,,BLACK,NONE,RIGHTDIR,ONLYGORE,BOTH,ISSUES,,,0.34500000000000003
NATIONAL WHITE,14.0,32.0,1.0,FIRST CALL,18-24,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,COMPLEXISSUE,NOVOTE,NONE,ALWYSLGL,BETTER,APP/FAV,YES,,DEMOCRAT,OVER500K,COLGRAD,NONE,NEVER,15-30K,NO,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,CHICAGO,18-29,18-24,DEMOCRAT,18-24,NO,BLACK,NONE,RIGHTDIR,,,PERSONALQUAL,,,0.7030000000000001
NATIONAL WHITE,14.0,32.0,2.0,FIRST CALL,25-29,WHITE,FEMALE,NADER,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,EXPERIENCE,CLINTON,SOMEONEELSE,ALWYSLGL,SAME,APP/FAV,YES,,DEMOCRAT,OVER500K,POSTGRAD,OTHERCHRIST,AFEWAYEAR,30-50K,NO,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,CHICAGO,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,PROT/CHRIST,WRONGTRACK,,,ISSUES,,,1.691
NATIONAL WHITE,14.0,32.0,3.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,MORE,CITYOVER50K,OMITS,COMPLEXISSUE,CLINTON,SOMEONEELSE,ALWYSLGL,BETTER,APP/UNFAV,YES,,INDEPEND,OVER500K,POSTGRAD,ELSE,AFEWAYEAR,30-50K,NO,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,CHICAGO,30-44,30-39,IND/OTHER,30-39,NO,WHITE,OTHER,RIGHTDIR,,,ISSUES,,,1.04
NATIONAL YELLOW,14.0,32.0,4.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,COMPLEXISSUE,CLINTON,SOMEONEELSE,MOSTILL,SAME,APP/FAV,YES,,DEMOCRAT,OVER500K,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,15-30K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,CHICAGO,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,PROT/CHRIST,WRONGTRACK,,,ISSUES,ECON/JOBS,COMPLEXISSUE,0.961
NATIONAL YELLOW,14.0,32.0,5.0,FIRST CALL,50-59,ASIAN,MALE,GORE,APPROVE,FAVORABLE,GORE,LESS,CITYOVER50K,ECON/JOBS,GOODJUDGMENT,OMITS,NONE,ALWYSLGL,SAME,APP/FAV,YES,,DEMOCRAT,OVER500K,COLGRAD,NONE,NEVER,15-30K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,CHICAGO,45-59,50-59,DEMOCRAT,50-64,NO,ASIAN,NONE,RIGHTDIR,,,PERSONALQUAL,ECON/JOBS,GOODJUDGMENT,1.149
NATIONAL GREY,14.0,32.0,6.0,FIRST CALL,18-24,WHITE,FEMALE,GORE,,,,OMITS,CITYOVER50K,,,,,,,,,,DEMOCRAT,OVER500K,COLGRAD,,,30-50K,,,LIBERAL,18-64,OTHRPROGRAMS,,NATIONAL,COMPLETE,CHICAGO,18-29,18-24,DEMOCRAT,18-24,NO,WHITE,,,ONLYGORE,BOTH,,,,0.961
NATIONAL GREY,14.0,32.0,7.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,,,,MORE,CITYOVER50K,,,,,,,,,,DEMOCRAT,OVER500K,COLGRAD,,,15-30K,,,MODERATE,18-64,CUTFEDINCTAX,,NATIONAL,COMPLETE,CHICAGO,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,,,BOTH,NEITHER,,,,0.961
NATIONAL PINK,14.0,32.0,8.0,FIRST CALL,30-39,WHITE,MALE,GORE,,,,,CITYOVER50K,,,,NONE,,,,YES,,INDEPEND,OVER500K,,NONE,,50-75K,YES,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,CHICAGO,30-44,30-39,IND/OTHER,30-39,NO,WHITE,NONE,,,,,,,1.149
NATIONAL PINK,14.0,32.0,9.0,FIRST CALL,25-29,WHITE,FEMALE,,,,,,CITYOVER50K,,,,NONE,,,,YES,,INDEPEND,OVER500K,,JEWISH,,OVER100K,YES,NO,CONSERV,18-64,,,NATIONAL,COMPLETE,CHICAGO,18-29,25-29,IND/OTHER,25-29,NO,WHITE,JEWISH,,,,,,,1.054
NATIONAL PINK,14.0,32.0,10.0,FIRST CALL,25-29,ASIAN,MALE,NADER,,,,,CITYOVER50K,,,,NONE,,,,YES,,,OVER500K,,,,,,,,18-64,,,NATIONAL,NOTCOMPLETE,CHICAGO,18-29,25-29,,25-29,NO,ASIAN,,,,,,,,1.87
NATIONAL WHITE,14.0,32.0,11.0,SECOND CALL,30-39,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,CARES,CLINTON,NONE,ALWYSLGL,BETTER,APP/FAV,YES,,DEMOCRAT,OVER500K,HSGRAD,NONE,AFEWAMONTH,30-50K,NO,YES,CONSERV,18-64,,,NATIONAL,COMPLETE,CHICAGO,30-44,30-39,DEMOCRAT,30-39,NO,BLACK,NONE,RIGHTDIR,,,ISSUES,,,0.761
NATIONAL WHITE,14.0,32.0,12.0,SECOND CALL,25-29,HISP,MALE,GORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,MEDICARE/RX,HONEST,CLINTON,MEANDSOMEONE,MOSTILL,BETTER,APP/FAV,YES,,DEMOCRAT,OVER500K,HSGRAD,CATHOLIC,AFEWAMONTH,LESS15K,,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,CHICAGO,18-29,25-29,DEMOCRAT,25-29,YES,HISP,CATHOLIC,RIGHTDIR,,,PERSONALQUAL,,,0.7030000000000001
NATIONAL WHITE,14.0,32.0,13.0,SECOND CALL,25-29,HISP,FEMALE,GORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,WORLDAFFAIRS,HONEST,PEROT,SOMEONEELSE,MOSTLGL,SAME,APP/FAV,YES,,INDEPEND,OVER500K,COLGRAD,OTHERCHRIST,MORETHAN1AWK,30-50K,NO,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,CHICAGO,18-29,25-29,IND/OTHER,25-29,YES,HISP,PROT/CHRIST,RIGHTDIR,,,PERSONALQUAL,,,0.636
NATIONAL WHITE,14.0,32.0,14.0,SECOND CALL,30-39,HISP,MALE,GORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,MEDICARE/RX,COMPLEXISSUE,NOVOTE,NONE,MOSTLGL,WORSE,APP/FAV,NO,,DEMOCRAT,OVER500K,HSGRAD,CATHOLIC,AFEWAYEAR,LESS15K,NO,NO,CONSERV,18-64,,,NATIONAL,COMPLETE,CHICAGO,30-44,30-39,DEMOCRAT,30-39,YES,HISP,CATHOLIC,RIGHTDIR,,,PERSONALQUAL,,,0.761
NATIONAL YELLOW,14.0,32.0,15.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,OMITS,GOODJUDGMENT,NOVOTE,NONE,ALWYSLGL,BETTER,APP/FAV,YES,,DEMOCRAT,OVER500K,COLGRAD,ELSE,AFEWAMONTH,30-50K,NO,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,CHICAGO,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,OTHER,RIGHTDIR,,,ISSUES,OMITS,GOODJUDGMENT,0.961
NATIONAL YELLOW,14.0,32.0,16.0,SECOND CALL,45-49,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,WORLDAFFAIRS,EXPERIENCE,CLINTON,ME,MOSTILL,SAME,APP/FAV,YES,,DEMOCRAT,OVER500K,HSGRAD,OTHERCHRIST,AFEWAMONTH,LESS15K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,CHICAGO,45-59,40-49,DEMOCRAT,40-49,NO,BLACK,PROT/CHRIST,WRONGTRACK,,,ISSUES,WORLDAFFAIRS,EXPERIENCE,0.761
NATIONAL YELLOW,14.0,32.0,17.0,SECOND CALL,60-64,HISP,FEMALE,,OMITS,OMITS,OMITS,MORE,CITYOVER50K,EDUCATION,STRONGLEADER,OMITS,ME,OMITS,OMITS,,NO,,,OVER500K,,,OMITS,,,,,18-64,,,NATIONAL,NOTCOMPLETE,CHICAGO,60+,60+,,50-64,YES,,,OMITS,,,OMITS,EDUCATION,STRONGLEADER,0.8300000000000001
NATIONAL GREY,14.0,32.0,18.0,SECOND CALL,18-24,BLACK,FEMALE,GORE,,,,MORE,CITYOVER50K,,,,,,,,,,DEMOCRAT,OVER500K,COLGRAD,,,15-30K,,,LIBERAL,18-64,OTHRPROGRAMS,,NATIONAL,COMPLETE,CHICAGO,18-29,18-24,DEMOCRAT,18-24,,BLACK,,,ONLYGORE,OMITS,,,,0.636
NATIONAL GREY,14.0,32.0,19.0,SECOND CALL,25-29,BLACK,MALE,GORE,,,,MORE,CITYOVER50K,,,,,,,,,,DEMOCRAT,OVER500K,HSGRAD,,,15-30K,,,LIBERAL,18-64,CUTFEDINCTAX,,NATIONAL,COMPLETE,CHICAGO,18-29,25-29,DEMOCRAT,25-29,NO,BLACK,,,BOTH,ONLYBUSH,,,,0.7030000000000001
NATIONAL GREY,14.0,32.0,20.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,,,,MORE,CITYOVER50K,,,,,,,,,,INDEPEND,OVER500K,COLGRAD,,,50-75K,,,LIBERAL,18-64,OTHRPROGRAMS,,NATIONAL,COMPLETE,CHICAGO,30-44,30-39,IND/OTHER,30-39,NO,WHITE,,,ONLYGORE,OMITS,,,,1.04
NATIONAL GREY,14.0,32.0,21.0,SECOND CALL,18-24,HISP,FEMALE,GORE,,,,MORE,CITYOVER50K,,,,,,,,,,INDEPEND,OVER500K,SOMCOL/ASSOC,,,30-50K,,,MODERATE,18-64,REDUCNATDEBT,,NATIONAL,COMPLETE,CHICAGO,18-29,18-24,IND/OTHER,18-24,YES,HISP,,,NEITHER,ONLYBUSH,,,,0.636
NATIONAL PINK,14.0,32.0,22.0,SECOND CALL,45-49,BLACK,FEMALE,GORE,,,,,CITYOVER50K,,,,ME,,,,YES,,DEMOCRAT,OVER500K,,OTHERCHRIST,,30-50K,YES,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,CHICAGO,45-59,40-49,DEMOCRAT,40-49,NO,BLACK,PROT/CHRIST,,,,,,,0.6880000000000001
NATIONAL PINK,14.0,32.0,23.0,SECOND CALL,40-44,HISP,FEMALE,GORE,,,,,CITYOVER50K,,,,SOMEONEELSE,,,,YES,,DEMOCRAT,OVER500K,,PROTESTANT,,15-30K,NO,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,CHICAGO,30-44,40-49,DEMOCRAT,40-49,YES,HISP,PROT/CHRIST,,,,,,,0.6880000000000001
NATIONAL PINK,14.0,32.0,24.0,SECOND CALL,25-29,HISP,FEMALE,GORE,,,,,CITYOVER50K,,,,SOMEONEELSE,,,,YES,,DEMOCRAT,OVER500K,,CATHOLIC,,15-30K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,CHICAGO,18-29,25-29,DEMOCRAT,25-29,YES,WHITE,CATHOLIC,,,,,,,0.636
NATIONAL WHITE,14.0,32.0,25.0,THIRD CALL,,HISP,FEMALE,GORE,OMITS,OMITS,OMITS,MORE,CITYOVER50K,ECON/JOBS,OMITS,OMITS,,OMITS,OMITS,,,,,OVER500K,,,OMITS,,,,,,,,NATIONAL,NOTCOMPLETE,CHICAGO,,,,,,HISP,,OMITS,,,OMITS,,,0.6880000000000001
NATIONAL WHITE,14.0,32.0,26.0,THIRD CALL,25-29,HISP,MALE,GORE,OMITS,OMITS,OMITS,OMITS,CITYOVER50K,OMITS,LIKEABLE,OMITS,,OMITS,OMITS,,NO,,,OVER500K,,,OMITS,,,,,18-64,,,NATIONAL,NOTCOMPLETE,CHICAGO,18-29,25-29,,25-29,,HISP,,OMITS,,,OMITS,,,0.7030000000000001
NATIONAL WHITE,14.0,32.0,27.0,THIRD CALL,25-29,BLACK,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,LESS,CITYOVER50K,WORLDAFFAIRS,GOODJUDGMENT,CLINTON,ME,MOSTLGL,SAME,APP/UNFAV,YES,,DEMOCRAT,OVER500K,SOMCOL/ASSOC,NONE,AFEWAYEAR,LESS15K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,CHICAGO,18-29,25-29,DEMOCRAT,25-29,NO,BLACK,NONE,RIGHTDIR,,,ISSUES,,,0.636
NATIONAL WHITE,14.0,32.0,28.0,THIRD CALL,30-39,HISP,FEMALE,GORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,HEALTHCARE,COMPLEXISSUE,OMITS,,OMITS,WORSE,APP/FAV,NO,,DEMOCRAT,OVER500K,NOHS,CATHOLIC,AFEWAMONTH,LESS15K,NO,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,CHICAGO,30-44,30-39,DEMOCRAT,30-39,YES,HISP,CATHOLIC,OMITS,,,ISSUES,,,0.6880000000000001
NATIONAL WHITE,14.0,32.0,29.0,THIRD CALL,50-59,HISP,FEMALE,GORE,OMITS,OMITS,OMITS,MORE,CITYOVER50K,SOCIALSECUR,EXPERIENCE,OMITS,SOMEONEELSE,OMITS,OMITS,,NO,,,OVER500K,,,OMITS,,,,,18-64,,,NATIONAL,NOTCOMPLETE,CHICAGO,45-59,50-59,,50-64,YES,BLACK,,OMITS,,,OMITS,,,0.6880000000000001
NATIONAL WHITE,14.0,32.0,30.0,THIRD CALL,25-29,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,WORLDAFFAIRS,COMPLEXISSUE,CLINTON,NONE,MOSTLGL,SAME,APP/FAV,YES,,DEMOCRAT,OVER500K,HSGRAD,NONE,AFEWAYEAR,15-30K,YES,YES,CONSERV,18-64,,,NATIONAL,COMPLETE,CHICAGO,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,NONE,RIGHTDIR,,,ISSUES,,,1.062
NATIONAL WHITE,14.0,32.0,31.0,THIRD CALL,30-39,WHITE,MALE,BUCHANAN,APPROVE,UNFAVORABLE,GORE,MORE,CITYOVER50K,WORLDAFFAIRS,CARES,CLINTON,ME,ALWYSILL,SAME,APP/UNFAV,YES,,DEMOCRAT,OVER500K,SOMCOL/ASSOC,NONE,AFEWAYEAR,15-30K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,CHICAGO,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,NONE,WRONGTRACK,,,ISSUES,,,0.23800000000000002
NATIONAL WHITE,14.0,32.0,32.0,THIRD CALL,45-49,HISP,MALE,BUCHANAN,OMITS,OMITS,OMITS,MORE,CITYOVER50K,ECON/JOBS,EXPERIENCE,OMITS,NONE,OMITS,OMITS,,NO,,,OVER500K,,,OMITS,,,,,18-64,,,NATIONAL,NOTCOMPLETE,CHICAGO,45-59,40-49,,40-49,YES,HISP,,OMITS,,,OMITS,,,0.157
NATIONAL WHITE,14.0,32.0,33.0,THIRD CALL,25-29,WHITE,FEMALE,NADER,APPROVE,FAVORABLE,WOULDNOTVOTE,MORE,CITYOVER50K,WORLDAFFAIRS,EXPERIENCE,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,YES,,ELSE,OVER500K,COLGRAD,ELSE,AFEWAMONTH,15-30K,NO,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,CHICAGO,18-29,25-29,IND/OTHER,25-29,NO,WHITE,OTHER,WRONGTRACK,,,ISSUES,,,1.691
NATIONAL YELLOW,14.0,32.0,34.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,OMITS,OMITS,OMITS,LESS,CITYOVER50K,EDUCATION,GOODJUDGMENT,OMITS,,OMITS,OMITS,,YES,,,OVER500K,,,OMITS,,,,,18-64,,,NATIONAL,NOTCOMPLETE,CHICAGO,18-29,18-24,,18-24,,WHITE,,OMITS,,,OMITS,EDUCATION,GOODJUDGMENT,1.9040000000000001
NATIONAL YELLOW,14.0,32.0,35.0,THIRD CALL,30-39,HISP,MALE,GORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,OMITS,OMITS,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,YES,,DEMOCRAT,OVER500K,COLGRAD,NONE,NEVER,LESS15K,NO,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,CHICAGO,30-44,30-39,DEMOCRAT,30-39,YES,HISP,NONE,RIGHTDIR,,,ISSUES,OMITS,OMITS,0.761
NATIONAL YELLOW,14.0,32.0,36.0,THIRD CALL,25-29,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,HEALTHCARE,EXPERIENCE,CLINTON,NONE,ALWYSLGL,BETTER,APP/FAV,NO,,INDEPEND,OVER500K,COLGRAD,CATHOLIC,AFEWAYEAR,15-30K,NO,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,CHICAGO,18-29,25-29,IND/OTHER,25-29,NO,BLACK,CATHOLIC,WRONGTRACK,,,ISSUES,HEALTHCARE,EXPERIENCE,0.7030000000000001
NATIONAL YELLOW,14.0,32.0,37.0,THIRD CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,EDUCATION,HONEST,NOVOTE,NONE,ALWYSLGL,BETTER,DIS/UNFAV,YES,,REPUBLCN,OVER500K,COLGRAD,PROTESTANT,MORETHAN1AWK,LESS15K,YES,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,CHICAGO,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,WRONGTRACK,,,PERSONALQUAL,EDUCATION,HONEST,2.279
NATIONAL YELLOW,14.0,32.0,38.0,THIRD CALL,60-64,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,LESS,CITYOVER50K,OMITS,OMITS,CLINTON,,ALWYSLGL,SAME,APP/FAV,YES,,DEMOCRAT,OVER500K,POSTGRAD,CATHOLIC,ONCEAWEEK,30-50K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,CHICAGO,60+,60+,DEMOCRAT,50-64,NO,BLACK,CATHOLIC,RIGHTDIR,,,OMITS,OMITS,OMITS,0.836
NATIONAL YELLOW,14.0,32.0,39.0,THIRD CALL,50-59,OTHER,FEMALE,GORE,OMITS,OMITS,OMITS,MORE,CITYOVER50K,OMITS,OMITS,OMITS,ME,OMITS,OMITS,,,,,OVER500K,,,OMITS,,,,,18-64,,,NATIONAL,NOTCOMPLETE,CHICAGO,45-59,50-59,,50-64,,OTHER,,OMITS,,,OMITS,OMITS,OMITS,1.04
NATIONAL YELLOW,14.0,32.0,40.0,THIRD CALL,25-29,HISP,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,GOODJUDGMENT,CLINTON,ME,MOSTILL,SAME,APP/UNFAV,YES,,DEMOCRAT,OVER500K,HSGRAD,,AFEWAMONTH,LESS15K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,CHICAGO,18-29,25-29,DEMOCRAT,25-29,YES,HISP,,WRONGTRACK,,,ISSUES,ECON/JOBS,GOODJUDGMENT,0.636
NATIONAL YELLOW,14.0,32.0,41.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,HEALTHCARE,COMPLEXISSUE,CLINTON,MEANDSOMEONE,MOSTLGL,BETTER,APP/FAV,YES,,INDEPEND,OVER500K,SOMCOL/ASSOC,ELSE,MORETHAN1AWK,30-50K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,CHICAGO,30-44,30-39,IND/OTHER,30-39,NO,BLACK,OTHER,RIGHTDIR,,,ISSUES,HEALTHCARE,COMPLEXISSUE,0.6880000000000001
NATIONAL GREY,14.0,32.0,42.0,THIRD CALL,25-29,HISP,FEMALE,BUSH,,,,OMITS,CITYOVER50K,,,,,,,,,,,OVER500K,,,,,,,,18-64,OMITS,,NATIONAL,COMPLETE,CHICAGO,18-29,25-29,,25-29,YES,WHITE,,,OMITS,OMITS,,,,1.2590000000000001
NATIONAL GREY,14.0,32.0,43.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,,,,MORE,CITYOVER50K,,,,,,,,,,DEMOCRAT,OVER500K,COLGRAD,,,30-50K,,,LIBERAL,18-64,OTHRPROGRAMS,,NATIONAL,COMPLETE,CHICAGO,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,,,ONLYGORE,BOTH,,,,1.04
NATIONAL GREY,14.0,32.0,44.0,THIRD CALL,40-44,HISP,FEMALE,NADER,,,,MORE,CITYOVER50K,,,,,,,,,,INDEPEND,OVER500K,POSTGRAD,,,50-75K,,,LIBERAL,18-64,OTHRPROGRAMS,,NATIONAL,COMPLETE,CHICAGO,30-44,40-49,IND/OTHER,40-49,YES,OTHER,,,NEITHER,BOTH,,,,1.21
NATIONAL GREY,14.0,32.0,45.0,THIRD CALL,65-74,OTHER,,GORE,,,,MORE,CITYOVER50K,,,,,,,,,,DEMOCRAT,OVER500K,COLGRAD,,,30-50K,,,MODERATE,65+,CUTFEDINCTAX,,NATIONAL,COMPLETE,CHICAGO,60+,60+,DEMOCRAT,65+,,OTHER,,,ONLYGORE,ONLYGORE,,,,1.143
NATIONAL GREY,14.0,32.0,46.0,THIRD CALL,25-29,BLACK,FEMALE,GORE,,,,MORE,CITYOVER50K,,,,,,,,,,REPUBLCN,OVER500K,HSGRAD,,,LESS15K,,,MODERATE,18-64,CUTFEDINCTAX,,NATIONAL,COMPLETE,CHICAGO,18-29,25-29,REPUBLICAN,25-29,NO,BLACK,,,BOTH,BOTH,,,,0.636
NATIONAL GREY,14.0,32.0,47.0,THIRD CALL,50-59,HISP,FEMALE,GORE,,,,MORE,CITYOVER50K,,,,,,,,,,,OVER500K,,,,,,,,18-64,OMITS,,NATIONAL,NOTCOMPLETE,CHICAGO,45-59,50-59,,50-64,YES,HISP,,,OMITS,OMITS,,,,0.6880000000000001
NATIONAL GREY,14.0,32.0,48.0,THIRD CALL,30-39,HISP,MALE,BUSH,,,,MORE,CITYOVER50K,,,,,,,,,,,OVER500K,,,,,,,,18-64,OMITS,,NATIONAL,NOTCOMPLETE,CHICAGO,30-44,30-39,,30-39,YES,,,,OMITS,OMITS,,,,1.5070000000000001
NATIONAL GREY,14.0,32.0,49.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,,,,LESS,CITYOVER50K,,,,,,,,,,DEMOCRAT,OVER500K,NOHS,,,15-30K,,,MODERATE,18-64,SOCIALSECURI,,NATIONAL,COMPLETE,CHICAGO,18-29,18-24,DEMOCRAT,18-24,NO,WHITE,,,ONLYGORE,ONLYBUSH,,,,1.9040000000000001
NATIONAL PINK,14.0,32.0,50.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,,,,,CITYOVER50K,,,,NONE,,,,YES,,INDEPEND,OVER500K,,NONE,,30-50K,NO,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,CHICAGO,18-29,25-29,IND/OTHER,25-29,NO,WHITE,NONE,,,,,,,0.961
NATIONAL PINK,14.0,32.0,51.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,,,,,CITYOVER50K,,,,NONE,,,,YES,,INDEPEND,OVER500K,,PROTESTANT,,15-30K,YES,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,CHICAGO,45-59,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,,,,,,,2.061
NATIONAL PINK,14.0,32.0,52.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,,,,,CITYOVER50K,,,,SOMEONEELSE,,,,NO,,INDEPEND,OVER500K,,CATHOLIC,,30-50K,NO,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,CHICAGO,30-44,40-49,IND/OTHER,40-49,NO,WHITE,CATHOLIC,,,,,,,1.04
NATIONAL PINK,14.0,32.0,53.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,,,,,CITYOVER50K,,,,NONE,,,,YES,,DEMOCRAT,OVER500K,,NONE,,75-100K,NO,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,CHICAGO,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,NONE,,,,,,,0.961
NATIONAL PINK,14.0,32.0,54.0,THIRD CALL,30-39,HISP,FEMALE,,,,,,CITYOVER50K,,,,NONE,,,,YES,,DEMOCRAT,OVER500K,,CATHOLIC,,50-75K,NO,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,CHICAGO,30-44,30-39,DEMOCRAT,30-39,YES,WHITE,CATHOLIC,,,,,,,0.755
NATIONAL PINK,14.0,32.0,55.0,THIRD CALL,18-24,HISP,FEMALE,BUSH,,,,,CITYOVER50K,,,,MEANDSOMEONE,,,,NO,,DEMOCRAT,OVER500K,,CATHOLIC,,15-30K,NO,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,CHICAGO,18-29,18-24,DEMOCRAT,18-24,YES,HISP,CATHOLIC,,,,,,,1.2590000000000001
NATIONAL PINK,14.0,32.0,56.0,THIRD CALL,25-29,BLACK,FEMALE,GORE,,,,,CITYOVER50K,,,,NONE,,,,YES,,DEMOCRAT,OVER500K,,PROTESTANT,,30-50K,YES,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,CHICAGO,18-29,25-29,DEMOCRAT,25-29,NO,BLACK,PROT/CHRIST,,,,,,,0.636
NATIONAL PINK,14.0,32.0,57.0,THIRD CALL,18-24,WHITE,MALE,GORE,,,,,CITYOVER50K,,,,NONE,,,,YES,,DEMOCRAT,OVER500K,,NONE,,LESS15K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,CHICAGO,18-29,18-24,DEMOCRAT,18-24,NO,WHITE,NONE,,,,,,,1.062
NATIONAL PINK,14.0,32.0,58.0,THIRD CALL,18-24,WHITE,FEMALE,BUCHANAN,,,,,CITYOVER50K,,,,MEANDSOMEONE,,,,NO,,REPUBLCN,OVER500K,,NONE,,15-30K,NO,YES,CONSERV,18-64,,,NATIONAL,COMPLETE,CHICAGO,18-29,18-24,REPUBLICAN,18-24,NO,WHITE,NONE,,,,,,,0.199
