VERSION,STATEID,PRECINCT,SEQ,CALL,WGT,AGE9,RACE,SEX,PRES,TIME,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,RELRIGHT,X6VOTE,UNFAIR,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,BUSHWIN,PRESKNOW,SAYANY,ISSVQUAL,GOREWIN,VNS1,VNS2,WEIGHT
STATE ONLY,18.0,28.0,24.0,THIRD CALL,763.0,18-24,WHITE,MALE,BUSH,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,WORLDAFFAIRS,EXPERIENCE,NO,NOVOTE,GOREDID,BETTER,DIS/UNFAV,YES,ELSE,50-500K,SOMCOL/ASSOC,OTHERCHRIST,NEVER,75-100K,NO,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,EAST,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,EXCITED,ONLYBUSH,ONLYGORE,ISSUES,SCARED,,,0.763
STATE ONLY,18.0,28.0,25.0,THIRD CALL,1277.0,50-59,BLACK,MALE,GORE,LAST.3DAYS,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,HEALTHCARE,COMPLEXISSUE,NO,CLINTON,BOTHDID,BETTER,APP/FAV,YES,DEMOCRAT,50-500K,POSTGRAD,PROTESTANT,AFEWAYEAR,30-50K,YES,YES,LIBERAL,18-64,REDUCNATDEBT,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,OPTIMIST,BOTH,BOTH,PERSONALQUAL,EXCITED,,,1.2770000000000001
STATE ONLY,18.0,28.0,26.0,THIRD CALL,846.0,45-49,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,ECON/JOBS,GOODJUDGMENT,YES,DOLE,GOREDID,BETTER,DIS/UNFAV,YES,REPUBLCN,50-500K,POSTGRAD,PROTESTANT,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,EAST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,EXCITED,ONLYBUSH,ONLYGORE,ISSUES,SCARED,,,0.846
STATE ONLY,18.0,28.0,27.0,THIRD CALL,712.0,45-49,WHITE,FEMALE,BUSH,BEFORE,OMITS,OMITS,OMITS,LESS,CITYOVER50K,EDUCATION,HONEST,NO,OMITS,NEITHERDID,OMITS,,,,50-500K,,,OMITS,,,,,18-64,OMITS,STATE,NOTCOMPLETE,EAST,45-59,40-49,,40-49,,OPTIMIST,OMITS,OMITS,OMITS,CONCERND,,,0.712
STATE ONLY,18.0,28.0,28.0,THIRD CALL,1019.0,30-39,WHITE,FEMALE,GORE,LAST.MONTH,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,HEALTHCARE,STRONGLEADER,NO,PEROT,NEITHERDID,BETTER,APP/FAV,YES,INDEPEND,50-500K,POSTGRAD,PROTESTANT,AFEWAYEAR,OVER100K,YES,YES,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,CONCERND,NEITHER,BOTH,ISSUES,OPTIMIST,,,1.0190000000000001
STATE ONLY,18.0,28.0,29.0,THIRD CALL,1074.0,40-44,BLACK,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,EDUCATION,COMPLEXISSUE,NO,CLINTON,BOTHDID,BETTER,APP/FAV,YES,DEMOCRAT,50-500K,POSTGRAD,PROTESTANT,MORETHAN1AWK,75-100K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,EAST,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,CONCERND,ONLYGORE,NEITHER,ISSUES,EXCITED,,,1.074
STATE ONLY,18.0,28.0,30.0,THIRD CALL,712.0,30-39,WHITE,FEMALE,BUSH,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,EDUCATION,HONEST,YES,CLINTON,NEITHERDID,BETTER,DIS/UNFAV,NO,REPUBLCN,50-500K,COLGRAD,PROTESTANT,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,OPTIMIST,BOTH,BOTH,ISSUES,CONCERND,,,0.712
STATE ONLY,18.0,28.0,31.0,THIRD CALL,846.0,50-59,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,WORLDAFFAIRS,HONEST,YES,DOLE,GOREDID,SAME,DIS/UNFAV,NO,REPUBLCN,50-500K,HSGRAD,PROTESTANT,ONCEAWEEK,50-75K,YES,NO,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,EAST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,EXCITED,ONLYBUSH,ONLYGORE,PERSONALQUAL,SCARED,,,0.846
STATE ONLY,18.0,28.0,32.0,THIRD CALL,1539.0,65-74,WHITE,,GORE,LASTWEEK,APPROVE,UNFAVORABLE,GORE,MORE,CITYOVER50K,WORLDAFFAIRS,GOODJUDGMENT,YES,PEROT,BUSHDID,BETTER,APP/UNFAV,NO,DEMOCRAT,50-500K,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,,YES,NO,CONSERV,65+,SOCIALSECURI,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,CONCERND,ONLYGORE,ONLYBUSH,ISSUES,EXCITED,,,1.539
STATE ONLY,18.0,28.0,33.0,THIRD CALL,712.0,50-59,WHITE,FEMALE,BUSH,BEFORE,APPROVE,UNFAVORABLE,BUSH,LESS,CITYOVER50K,OMITS,OMITS,YES,DOLE,GOREDID,BETTER,APP/UNFAV,YES,INDEPEND,50-500K,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,75-100K,NO,NO,CONSERV,18-64,OMITS,STATE,COMPLETE,EAST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,OPTIMIST,ONLYBUSH,ONLYGORE,ISSUES,SCARED,,,0.712
STATE ONLY,18.0,30.0,1.0,FIRST CALL,695.0,45-49,WHITE,MALE,BUSH,BEFORE,OMITS,OMITS,OMITS,LESS,CITYOVER50K,HEALTHCARE,CARES,NO,OMITS,GOREDID,OMITS,,,,50-500K,,,OMITS,,,,,18-64,OMITS,STATE,NOTCOMPLETE,EAST,45-59,40-49,,40-49,,OPTIMIST,OMITS,OMITS,OMITS,CONCERND,,,0.6950000000000001
STATE ONLY,18.0,30.0,2.0,FIRST CALL,836.0,30-39,WHITE,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,GOODJUDGMENT,NO,CLINTON,BUSHDID,BETTER,APP/FAV,YES,INDEPEND,50-500K,POSTGRAD,PROTESTANT,AFEWAMONTH,30-50K,NO,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,SCARED,ONLYGORE,ONLYBUSH,ISSUES,OPTIMIST,,,0.836
STATE ONLY,18.0,30.0,3.0,FIRST CALL,836.0,45-49,WHITE,FEMALE,GORE,LAST.3DAYS,APPROVE,UNFAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,EXPERIENCE,NO,CLINTON,BOTHDID,SAME,APP/UNFAV,YES,DEMOCRAT,50-500K,HSGRAD,OTHERCHRIST,MORETHAN1AWK,15-30K,NO,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,EAST,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,SCARED,BOTH,ONLYBUSH,ISSUES,CONCERND,,,0.836
STATE ONLY,18.0,30.0,4.0,FIRST CALL,695.0,30-39,WHITE,MALE,BUSH,BEFORE,APPROVE,UNFAVORABLE,BUSH,LESS,CITYOVER50K,HEALTHCARE,STRONGLEADER,YES,PEROT,BOTHDID,BETTER,APP/UNFAV,YES,INDEPEND,50-500K,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,75-100K,YES,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,EXCITED,BOTH,NEITHER,PERSONALQUAL,CONCERND,,,0.6950000000000001
STATE ONLY,18.0,30.0,5.0,FIRST CALL,695.0,40-44,WHITE,MALE,BUSH,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,EDUCATION,HONEST,NO,DOLE,GOREDID,SAME,DIS/UNFAV,YES,REPUBLCN,50-500K,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,30-50K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,EAST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,EXCITED,ONLYBUSH,ONLYGORE,PERSONALQUAL,CONCERND,,,0.6950000000000001
STATE ONLY,18.0,30.0,6.0,FIRST CALL,695.0,,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,MORE,CITYOVER50K,WORLDAFFAIRS,GOODJUDGMENT,NO,PEROT,GOREDID,BETTER,DIS/UNFAV,YES,INDEPEND,50-500K,HSGRAD,PROTESTANT,AFEWAYEAR,50-75K,YES,NO,MODERATE,,CUTFEDINCTAX,STATE,COMPLETE,EAST,,,IND/OTHER,,PROT/CHRIST,EXCITED,ONLYBUSH,BOTH,PERSONALQUAL,SCARED,,,0.6950000000000001
STATE ONLY,18.0,30.0,7.0,FIRST CALL,695.0,30-39,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,TAXES,HONEST,YES,DOLE,GOREDID,SAME,DIS/UNFAV,YES,REPUBLCN,50-500K,POSTGRAD,PROTESTANT,MORETHAN1AWK,30-50K,YES,YES,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,EXCITED,BOTH,ONLYGORE,PERSONALQUAL,CONCERND,,,0.6950000000000001
STATE ONLY,18.0,30.0,8.0,FIRST CALL,993.0,30-39,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,OMITS,NO,CLINTON,BOTHDID,SAME,APP/FAV,YES,DEMOCRAT,50-500K,COLGRAD,PROTESTANT,AFEWAMONTH,30-50K,NO,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,CONCERND,ONLYGORE,ONLYBUSH,ISSUES,OPTIMIST,,,0.993
STATE ONLY,18.0,30.0,9.0,FIRST CALL,836.0,30-39,WHITE,FEMALE,GORE,BEFORE,APPROVE,UNFAVORABLE,GORE,MORE,CITYOVER50K,TAXES,EXPERIENCE,NO,CLINTON,BOTHDID,BETTER,APP/UNFAV,NO,DEMOCRAT,50-500K,POSTGRAD,PROTESTANT,AFEWAYEAR,50-75K,YES,YES,MODERATE,18-64,OTHRPROGRAMS,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,CONCERND,ONLYGORE,NEITHER,ISSUES,OPTIMIST,,,0.836
STATE ONLY,18.0,30.0,10.0,FIRST CALL,527.0,25-29,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,TAXES,HONEST,NO,NOVOTE,NEITHERDID,BETTER,DIS/UNFAV,YES,REPUBLCN,50-500K,POSTGRAD,PROTESTANT,AFEWAYEAR,50-75K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,EAST,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,OPTIMIST,BOTH,BOTH,ISSUES,CONCERND,,,0.527
STATE ONLY,18.0,30.0,11.0,FIRST CALL,836.0,40-44,WHITE,FEMALE,GORE,BEFORE,OMITS,OMITS,OMITS,MORE,CITYOVER50K,OMITS,OMITS,NO,OMITS,NEITHERDID,OMITS,,,,50-500K,,,OMITS,,,,,18-64,OMITS,STATE,NOTCOMPLETE,EAST,30-44,40-49,,40-49,,CONCERND,OMITS,OMITS,OMITS,OPTIMIST,,,0.836
STATE ONLY,18.0,30.0,12.0,SECOND CALL,836.0,40-44,WHITE,FEMALE,GORE,BEFORE,APPROVE,UNFAVORABLE,GORE,LESS,CITYOVER50K,HEALTHCARE,COMPLEXISSUE,NO,CLINTON,NEITHERDID,BETTER,APP/UNFAV,YES,DEMOCRAT,50-500K,POSTGRAD,JEWISH,AFEWAYEAR,50-75K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,EAST,30-44,40-49,DEMOCRAT,40-49,JEWISH,SCARED,ONLYGORE,NEITHER,PERSONALQUAL,EXCITED,,,0.836
STATE ONLY,18.0,30.0,13.0,SECOND CALL,752.0,25-29,WHITE,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,LESS,CITYOVER50K,HEALTHCARE,CARES,NO,CLINTON,BOTHDID,BETTER,APP/FAV,NO,DEMOCRAT,50-500K,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,LESS15K,NO,YES,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,EAST,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,SCARED,BOTH,BOTH,ISSUES,EXCITED,,,0.752
STATE ONLY,18.0,30.0,14.0,SECOND CALL,695.0,40-44,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,TAXES,GOODJUDGMENT,NO,DOLE,GOREDID,BETTER,DIS/UNFAV,YES,REPUBLCN,50-500K,HSGRAD,NONE,NEVER,50-75K,NO,NO,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,EAST,30-44,40-49,REPUBLICAN,40-49,NONE,EXCITED,ONLYBUSH,ONLYGORE,ISSUES,SCARED,,,0.6950000000000001
STATE ONLY,18.0,30.0,15.0,SECOND CALL,695.0,30-39,WHITE,MALE,BUSH,BEFORE,APPROVE,UNFAVORABLE,BUSH,LESS,CITYOVER50K,OMITS,HONEST,YES,DOLE,BOTHDID,SAME,APP/UNFAV,YES,REPUBLCN,50-500K,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,30-50K,YES,YES,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,OPTIMIST,ONLYBUSH,BOTH,PERSONALQUAL,SCARED,,,0.6950000000000001
STATE ONLY,18.0,30.0,16.0,SECOND CALL,836.0,45-49,WHITE,FEMALE,GORE,LAST.MONTH,APPROVE,FAVORABLE,GORE,LESS,CITYOVER50K,WORLDAFFAIRS,COMPLEXISSUE,NO,CLINTON,BOTHDID,WORSE,APP/FAV,YES,DEMOCRAT,50-500K,SOMCOL/ASSOC,PROTESTANT,NEVER,30-50K,YES,NO,LIBERAL,18-64,REDUCNATDEBT,STATE,COMPLETE,EAST,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,SCARED,ONLYGORE,ONLYBUSH,PERSONALQUAL,OPTIMIST,,,0.836
STATE ONLY,18.0,30.0,17.0,SECOND CALL,836.0,50-59,WHITE,FEMALE,GORE,BEFORE,DISAPPR,UNFAVORABLE,GORE,MORE,CITYOVER50K,MEDICARE/RX,GOODJUDGMENT,YES,PEROT,BUSHDID,BETTER,DIS/UNFAV,NO,REPUBLCN,50-500K,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,30-50K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,EAST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,CONCERND,ONLYGORE,ONLYBUSH,PERSONALQUAL,OPTIMIST,,,0.836
STATE ONLY,18.0,30.0,18.0,SECOND CALL,993.0,30-39,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,OMITS,MORE,CITYOVER50K,OMITS,OMITS,YES,CLINTON,OMITS,BETTER,APP/FAV,YES,DEMOCRAT,50-500K,,OTHERCHRIST,MORETHAN1AWK,OVER100K,NO,NO,,18-64,OMITS,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,OMITS,OMITS,BOTH,ISSUES,OMITS,,,0.993
STATE ONLY,18.0,30.0,19.0,SECOND CALL,584.0,40-44,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,HEALTHCARE,HONEST,NO,DOLE,BOTHDID,SAME,DIS/UNFAV,YES,REPUBLCN,50-500K,COLGRAD,PROTESTANT,MORETHAN1AWK,30-50K,YES,YES,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,EAST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,OPTIMIST,BOTH,ONLYGORE,ISSUES,SCARED,,,0.584
STATE ONLY,18.0,30.0,20.0,THIRD CALL,695.0,40-44,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,TAXES,HONEST,NO,DOLE,GOREDID,SAME,DIS/UNFAV,YES,REPUBLCN,50-500K,SOMCOL/ASSOC,NONE,NEVER,30-50K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,EAST,30-44,40-49,REPUBLICAN,40-49,NONE,EXCITED,ONLYBUSH,ONLYGORE,PERSONALQUAL,SCARED,,,0.6950000000000001
STATE ONLY,18.0,30.0,21.0,THIRD CALL,695.0,40-44,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,TAXES,GOODJUDGMENT,YES,DOLE,GOREDID,BETTER,DIS/UNFAV,YES,REPUBLCN,50-500K,POSTGRAD,OTHERCHRIST,AFEWAMONTH,30-50K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,EAST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,EXCITED,ONLYBUSH,ONLYGORE,ISSUES,CONCERND,,,0.6950000000000001
STATE ONLY,18.0,30.0,22.0,THIRD CALL,584.0,45-49,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,EDUCATION,HONEST,YES,DOLE,GOREDID,SAME,DIS/UNFAV,YES,REPUBLCN,50-500K,POSTGRAD,PROTESTANT,MORETHAN1AWK,30-50K,NO,YES,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,EAST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,EXCITED,BOTH,NEITHER,ISSUES,CONCERND,,,0.584
STATE ONLY,18.0,30.0,23.0,THIRD CALL,1048.0,30-39,BLACK,MALE,GORE,LASTWEEK,APPROVE,FAVORABLE,GORE,LESS,CITYOVER50K,ECON/JOBS,EXPERIENCE,NO,NOVOTE,BOTHDID,BETTER,APP/FAV,YES,INDEPEND,50-500K,HSGRAD,ELSE,NEVER,15-30K,NO,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,OTHER,SCARED,ONLYGORE,ONLYBUSH,ISSUES,OPTIMIST,,,1.048
STATE ONLY,18.0,30.0,24.0,THIRD CALL,584.0,30-39,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,TAXES,STRONGLEADER,NO,NOVOTE,GOREDID,BETTER,DIS/UNFAV,YES,REPUBLCN,50-500K,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,,NO,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,EXCITED,ONLYBUSH,ONLYGORE,ISSUES,SCARED,,,0.584
STATE ONLY,18.0,30.0,25.0,THIRD CALL,1048.0,40-44,BLACK,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,OMITS,NO,CLINTON,BUSHDID,BETTER,APP/FAV,YES,DEMOCRAT,50-500K,NOHS,OTHERCHRIST,MORETHAN1AWK,30-50K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,EAST,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,SCARED,ONLYGORE,BOTH,ISSUES,OPTIMIST,,,1.048
STATE ONLY,18.0,30.0,26.0,THIRD CALL,883.0,60-64,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,MORE,CITYOVER50K,MEDICARE/RX,GOODJUDGMENT,YES,DOLE,BOTHDID,BETTER,DIS/UNFAV,YES,DEMOCRAT,50-500K,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,15-30K,NO,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,EXCITED,ONLYBUSH,OMITS,PERSONALQUAL,CONCERND,,,0.883
STATE ONLY,18.0,30.0,27.0,THIRD CALL,695.0,50-59,WHITE,MALE,BUSH,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,MEDICARE/RX,STRONGLEADER,NO,PEROT,BOTHDID,SAME,DIS/UNFAV,YES,INDEPEND,50-500K,COLGRAD,PROTESTANT,MORETHAN1AWK,50-75K,YES,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,EAST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,CONCERND,BOTH,BOTH,ISSUES,CONCERND,,,0.6950000000000001
STATE ONLY,18.0,30.0,28.0,THIRD CALL,695.0,30-39,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,ECON/JOBS,HONEST,NO,DOLE,BOTHDID,BETTER,DIS/UNFAV,YES,REPUBLCN,50-500K,COLGRAD,PROTESTANT,AFEWAYEAR,30-50K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,OPTIMIST,BOTH,BOTH,ISSUES,CONCERND,,,0.6950000000000001
STATE ONLY,18.0,30.0,29.0,THIRD CALL,882.0,40-44,BLACK,FEMALE,GORE,LAST.3DAYS,APPROVE,FAVORABLE,GORE,LESS,CITYOVER50K,ECON/JOBS,EXPERIENCE,NO,CLINTON,BOTHDID,WORSE,APP/FAV,YES,INDEPEND,50-500K,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,15-30K,NO,YES,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,EAST,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,SCARED,ONLYGORE,BOTH,PERSONALQUAL,OPTIMIST,,,0.882
STATE ONLY,18.0,30.0,30.0,THIRD CALL,625.0,18-24,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,MORE,CITYOVER50K,EDUCATION,CARES,NO,DOLE,BOTHDID,SAME,DIS/UNFAV,YES,REPUBLCN,50-500K,HSGRAD,ELSE,MORETHAN1AWK,50-75K,NO,NO,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,EAST,18-29,18-24,REPUBLICAN,18-24,OTHER,OPTIMIST,BOTH,BOTH,ISSUES,SCARED,,,0.625
STATE ONLY,18.0,30.0,31.0,THIRD CALL,836.0,50-59,WHITE,FEMALE,GORE,LAST.MONTH,DISAPPR,UNFAVORABLE,GORE,LESS,CITYOVER50K,ECON/JOBS,EXPERIENCE,OMITS,CLINTON,BOTHDID,SAME,DIS/UNFAV,YES,DEMOCRAT,50-500K,HSGRAD,PROTESTANT,OMITS,50-75K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,CONCERND,BOTH,BOTH,ISSUES,OPTIMIST,,,0.836
STATE ONLY,18.0,30.0,32.0,THIRD CALL,836.0,30-39,WHITE,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,LESS,CITYOVER50K,HEALTHCARE,EXPERIENCE,NO,CLINTON,BOTHDID,BETTER,APP/FAV,YES,DEMOCRAT,50-500K,COLGRAD,PROTESTANT,NEVER,50-75K,YES,NO,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,CONCERND,ONLYGORE,BOTH,ISSUES,OPTIMIST,,,0.836
STATE ONLY,18.0,30.0,33.0,THIRD CALL,544.0,40-44,WHITE,FEMALE,NADER,BEFORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,WORLDAFFAIRS,EXPERIENCE,NO,CLINTON,BUSHDID,BETTER,APP/FAV,NO,DEMOCRAT,50-500K,COLGRAD,OTHERCHRIST,AFEWAYEAR,OVER100K,YES,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,EAST,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,SCARED,ONLYGORE,BOTH,PERSONALQUAL,OPTIMIST,,,0.544
STATE ONLY,18.0,30.0,34.0,THIRD CALL,584.0,40-44,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,TAXES,STRONGLEADER,NO,PEROT,GOREDID,SAME,DIS/UNFAV,NO,REPUBLCN,50-500K,HSGRAD,PROTESTANT,ONCEAWEEK,30-50K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,EAST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,OPTIMIST,BOTH,NEITHER,ISSUES,CONCERND,,,0.584
STATE ONLY,18.0,30.0,35.0,THIRD CALL,584.0,50-59,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,OMITS,EXPERIENCE,YES,NOVOTE,NEITHERDID,BETTER,DIS/UNFAV,YES,REPUBLCN,50-500K,HSGRAD,OTHERCHRIST,MORETHAN1AWK,50-75K,YES,NO,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,EAST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,EXCITED,BOTH,NEITHER,ISSUES,CONCERND,,,0.584
STATE ONLY,18.0,32.0,1.0,FIRST CALL,504.0,30-39,WHITE,FEMALE,NADER,BEFORE,APPROVE,FAVORABLE,GORE,LESS,CITYOVER50K,WORLDAFFAIRS,HONEST,NO,CLINTON,BUSHDID,BETTER,APP/FAV,YES,INDEPEND,50-500K,HSGRAD,NONE,NEVER,30-50K,NO,NO,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,NONE,SCARED,ONLYGORE,BOTH,ISSUES,OPTIMIST,,,0.504
STATE ONLY,18.0,32.0,2.0,FIRST CALL,776.0,50-59,WHITE,FEMALE,GORE,LASTWEEK,APPROVE,UNFAVORABLE,GORE,LESS,CITYOVER50K,OMITS,OMITS,NO,DOLE,NEITHERDID,BETTER,APP/UNFAV,YES,INDEPEND,50-500K,POSTGRAD,OTHERCHRIST,AFEWAMONTH,75-100K,YES,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,EAST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,CONCERND,ONLYGORE,BOTH,ISSUES,CONCERND,,,0.776
