VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,TIME,CLINTON,BCPERSON,XWAY2000,ISSUE,QUAL,RELRIGHT,X6VOTE,UNFAIR,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,16.0,38.0,11.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,LASTWEEK,DISAPPR,UNFAVORABLE,BUSH,OMITS,OMITS,YES,CLINTON,GOREDID,SAME,DIS/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.875
STATE ONLY,16.0,38.0,12.0,FIRST CALL,60-64,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,STRONGLEADER,NO,DOLE,GOREDID,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,OVER100K,MODERATE,18-64,STATE,COMPLETE,EAST,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,1.193
STATE ONLY,16.0,38.0,13.0,FIRST CALL,25-29,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,HONEST,YES,DOLE,GOREDID,SAME,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,LESS15K,CONSERV,18-64,STATE,COMPLETE,EAST,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,1.1480000000000001
STATE ONLY,16.0,38.0,14.0,FIRST CALL,40-44,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,ECON/JOBS,EXPERIENCE,NO,PEROT,NEITHERDID,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,EAST,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.16
STATE ONLY,16.0,38.0,15.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,BEFORE,APPROVE,UNFAVORABLE,GORE,EDUCATION,CARES,NO,CLINTON,NEITHERDID,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,PROTESTANT,30-50K,LIBERAL,18-64,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.109
STATE ONLY,16.0,38.0,16.0,FIRST CALL,75+,WHITE,FEMALE,BUSH,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,COMPLEXISSUE,OMITS,DOLE,NEITHERDID,SAME,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,30-50K,,65+,STATE,COMPLETE,EAST,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.1400000000000001
STATE ONLY,16.0,38.0,17.0,SECOND CALL,50-59,WHITE,MALE,BUSH,LAST.MONTH,APPROVE,UNFAVORABLE,BUSH,SOCIALSECUR,CARES,NO,OTHER,NEITHERDID,SAME,APP/UNFAV,INDEPEND,COLGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.916
STATE ONLY,16.0,38.0,18.0,SECOND CALL,30-39,WHITE,MALE,GORE,BEFORE,APPROVE,UNFAVORABLE,GORE,EDUCATION,CARES,NO,CLINTON,BOTHDID,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,PROTESTANT,50-75K,LIBERAL,18-64,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.16
STATE ONLY,16.0,38.0,19.0,SECOND CALL,60-64,WHITE,MALE,GORE,LAST.MONTH,APPROVE,FAVORABLE,GORE,SOCIALSECUR,EXPERIENCE,NO,CLINTON,BOTHDID,BETTER,APP/FAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,75-100K,CONSERV,18-64,STATE,COMPLETE,EAST,60+,60+,IND/OTHER,50-64,CATHOLIC,,,1.5110000000000001
STATE ONLY,16.0,38.0,20.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,OMITS,GOODJUDGMENT,YES,DOLE,GOREDID,SAME,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,15-30K,CONSERV,18-64,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.875
STATE ONLY,16.0,38.0,21.0,SECOND CALL,50-59,WHITE,MALE,GORE,BEFORE,APPROVE,UNFAVORABLE,GORE,EDUCATION,GOODJUDGMENT,NO,CLINTON,BUSHDID,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,CATHOLIC,50-75K,LIBERAL,18-64,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,1.16
STATE ONLY,16.0,38.0,22.0,SECOND CALL,18-24,WHITE,FEMALE,GORE,LAST.3DAYS,DISAPPR,UNFAVORABLE,GORE,EDUCATION,CARES,NO,DOLE,BUSHDID,WORSE,DIS/UNFAV,DEMOCRAT,HSGRAD,OTHERCHRIST,LESS15K,MODERATE,18-64,STATE,COMPLETE,EAST,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,1.3900000000000001
STATE ONLY,16.0,38.0,23.0,SECOND CALL,25-29,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,SOCIALSECUR,HONEST,YES,PEROT,GOREDID,WORSE,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,15-30K,CONSERV,18-64,STATE,COMPLETE,EAST,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,1.1480000000000001
STATE ONLY,16.0,38.0,24.0,SECOND CALL,45-49,WHITE,MALE,GORE,LASTWEEK,DISAPPR,UNFAVORABLE,GORE,ECON/JOBS,HONEST,NO,CLINTON,BOTHDID,SAME,DIS/UNFAV,INDEPEND,HSGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,,1.16
STATE ONLY,16.0,38.0,25.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,BEFORE,APPROVE,UNFAVORABLE,BUSH,HEALTHCARE,GOODJUDGMENT,NO,DOLE,GOREDID,BETTER,APP/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,30-50K,CONSERV,18-64,STATE,COMPLETE,EAST,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.875
STATE ONLY,16.0,38.0,26.0,THIRD CALL,50-59,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,OMITS,EXPERIENCE,NO,CLINTON,NEITHERDID,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.16
STATE ONLY,16.0,38.0,27.0,THIRD CALL,45-49,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,ECON/JOBS,EXPERIENCE,NO,CLINTON,NEITHERDID,SAME,APP/FAV,DEMOCRAT,NOHS,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.16
STATE ONLY,16.0,38.0,28.0,THIRD CALL,45-49,WHITE,MALE,GORE,LAST.3DAYS,APPROVE,FAVORABLE,GORE,HEALTHCARE,EXPERIENCE,NO,CLINTON,BUSHDID,BETTER,APP/FAV,DEMOCRAT,HSGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.16
STATE ONLY,16.0,38.0,29.0,THIRD CALL,50-59,OTHER,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,EDUCATION,EXPERIENCE,NO,CLINTON,BUSHDID,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,LIBERAL,18-64,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.109
STATE ONLY,16.0,38.0,30.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,ECON/JOBS,COMPLEXISSUE,NO,CLINTON,BOTHDID,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,15-30K,LIBERAL,18-64,STATE,COMPLETE,EAST,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.109
STATE ONLY,16.0,38.0,31.0,THIRD CALL,25-29,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,TAXES,HONEST,NO,DOLE,GOREDID,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,CATHOLIC,75-100K,CONSERV,18-64,STATE,COMPLETE,EAST,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,1.1480000000000001
STATE ONLY,16.0,38.0,32.0,THIRD CALL,30-39,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,ECON/JOBS,GOODJUDGMENT,NO,NOVOTE,BUSHDID,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,1.16
STATE ONLY,16.0,39.0,1.0,FIRST CALL,65-74,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,TAXES,HONEST,NO,DOLE,GOREDID,SAME,DIS/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,75-100K,CONSERV,65+,STATE,COMPLETE,EAST,60+,60+,IND/OTHER,65+,CATHOLIC,,,1.309
STATE ONLY,16.0,39.0,2.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,ECON/JOBS,COMPLEXISSUE,NO,CLINTON,BUSHDID,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,NONE,30-50K,LIBERAL,18-64,STATE,COMPLETE,EAST,45-59,40-49,DEMOCRAT,40-49,NONE,,,1.217
STATE ONLY,16.0,39.0,3.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,BEFORE,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,CARES,NO,CLINTON,BOTHDID,BETTER,APP/UNFAV,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,MODERATE,65+,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,65+,CATHOLIC,,,1.583
STATE ONLY,16.0,39.0,4.0,FIRST CALL,45-49,WHITE,MALE,GORE,LAST.3DAYS,APPROVE,OMITS,GORE,ECON/JOBS,HONEST,NO,NOVOTE,BOTHDID,SAME,OMITS,DEMOCRAT,HSGRAD,OTHERCHRIST,OVER100K,CONSERV,18-64,STATE,COMPLETE,EAST,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.272
STATE ONLY,16.0,39.0,5.0,FIRST CALL,50-59,WHITE,MALE,GORE,LAST.MONTH,APPROVE,FAVORABLE,GORE,EDUCATION,EXPERIENCE,NO,CLINTON,NEITHERDID,BETTER,APP/FAV,DEMOCRAT,COLGRAD,NONE,OVER100K,LIBERAL,18-64,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,NONE,,,1.272
STATE ONLY,16.0,39.0,6.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,SOCIALSECUR,HONEST,NO,CLINTON,OMITS,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,50-64,CATHOLIC,,,1.583
STATE ONLY,16.0,39.0,7.0,FIRST CALL,50-59,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,ECON/JOBS,CARES,NO,CLINTON,BOTHDID,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,CONSERV,18-64,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,1.272
STATE ONLY,16.0,39.0,8.0,FIRST CALL,75+,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,TAXES,HONEST,OMITS,CLINTON,GOREDID,SAME,DIS/UNFAV,DEMOCRAT,HSGRAD,PROTESTANT,30-50K,MODERATE,65+,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.309
STATE ONLY,16.0,39.0,9.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,LAST.3DAYS,APPROVE,UNFAVORABLE,GORE,SOCIALSECUR,GOODJUDGMENT,YES,CLINTON,BOTHDID,WORSE,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,ELSE,30-50K,CONSERV,18-64,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,OTHER,,,1.217
STATE ONLY,16.0,39.0,10.0,FIRST CALL,60-64,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,TAXES,HONEST,NO,DOLE,GOREDID,WORSE,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,30-50K,CONSERV,18-64,STATE,COMPLETE,EAST,60+,60+,IND/OTHER,50-64,CATHOLIC,,,1.309
STATE ONLY,16.0,39.0,11.0,FIRST CALL,50-59,WHITE,MALE,GORE,LAST.3DAYS,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,OMITS,NO,CLINTON,BOTHDID,SAME,APP/UNFAV,INDEPEND,HSGRAD,CATHOLIC,75-100K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,1.272
STATE ONLY,16.0,39.0,12.0,FIRST CALL,60-64,WHITE,,GORE,BEFORE,APPROVE,FAVORABLE,GORE,OMITS,OMITS,OMITS,CLINTON,BOTHDID,SAME,APP/FAV,DEMOCRAT,HSGRAD,PROTESTANT,LESS15K,LIBERAL,18-64,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,1.657
STATE ONLY,16.0,39.0,13.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,LASTWEEK,APPROVE,FAVORABLE,GORE,EDUCATION,STRONGLEADER,NO,NOVOTE,NEITHERDID,SAME,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,EAST,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,,,1.5250000000000001
STATE ONLY,16.0,39.0,14.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,BEFORE,APPROVE,UNFAVORABLE,BUSH,HEALTHCARE,HONEST,NO,DOLE,GOREDID,SAME,APP/UNFAV,INDEPEND,COLGRAD,CATHOLIC,50-75K,LIBERAL,18-64,STATE,COMPLETE,EAST,60+,60+,IND/OTHER,50-64,CATHOLIC,,,1.249
STATE ONLY,16.0,39.0,15.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,BEFORE,APPROVE,UNFAVORABLE,GORE,OMITS,COMPLEXISSUE,NO,CLINTON,BOTHDID,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.217
STATE ONLY,16.0,39.0,16.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,LAST.3DAYS,APPROVE,FAVORABLE,GORE,EDUCATION,GOODJUDGMENT,NO,CLINTON,BOTHDID,SAME,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.217
STATE ONLY,16.0,39.0,17.0,SECOND CALL,30-39,WHITE,MALE,GORE,LAST.MONTH,APPROVE,FAVORABLE,GORE,ECON/JOBS,COMPLEXISSUE,NO,NOVOTE,BUSHDID,BETTER,APP/FAV,INDEPEND,COLGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,1.272
STATE ONLY,16.0,39.0,18.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,BEFORE,APPROVE,UNFAVORABLE,BUSH,TAXES,CARES,NO,CLINTON,BOTHDID,BETTER,APP/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.9590000000000001
STATE ONLY,16.0,39.0,19.0,SECOND CALL,30-39,WHITE,MALE,BUSH,BEFORE,APPROVE,UNFAVORABLE,BUSH,OMITS,OMITS,NO,PEROT,GOREDID,SAME,APP/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,30-50K,CONSERV,18-64,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,1.004
STATE ONLY,16.0,39.0,20.0,SECOND CALL,30-39,WHITE,MALE,GORE,LAST.MONTH,APPROVE,FAVORABLE,GORE,SOCIALSECUR,HONEST,NO,CLINTON,BOTHDID,SAME,APP/FAV,INDEPEND,COLGRAD,CATHOLIC,50-75K,LIBERAL,18-64,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,1.272
STATE ONLY,16.0,39.0,21.0,SECOND CALL,75+,WHITE,,BUSH,LASTWEEK,APPROVE,OMITS,BUSH,MEDICARE/RX,CARES,OMITS,PEROT,BUSHDID,SAME,OMITS,REPUBLCN,HSGRAD,CATHOLIC,15-30K,LIBERAL,65+,STATE,COMPLETE,EAST,60+,60+,REPUBLICAN,65+,CATHOLIC,,,1.249
STATE ONLY,16.0,39.0,22.0,SECOND CALL,25-29,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,HEALTHCARE,HONEST,YES,DOLE,BOTHDID,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,COMPLETE,EAST,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,1.26
STATE ONLY,16.0,39.0,23.0,SECOND CALL,75+,WHITE,FEMALE,GORE,BEFORE,APPROVE,UNFAVORABLE,GORE,MEDICARE/RX,CARES,YES,CLINTON,BUSHDID,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,CATHOLIC,LESS15K,MODERATE,65+,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,65+,CATHOLIC,,,1.583
STATE ONLY,16.0,39.0,24.0,SECOND CALL,75+,WHITE,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,HEALTHCARE,STRONGLEADER,NO,CLINTON,NEITHERDID,SAME,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,15-30K,MODERATE,65+,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,65+,CATHOLIC,,,1.583
STATE ONLY,16.0,39.0,25.0,SECOND CALL,30-39,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,TAXES,COMPLEXISSUE,NO,DOLE,BOTHDID,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,15-30K,CONSERV,18-64,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,1.004
STATE ONLY,16.0,39.0,26.0,SECOND CALL,50-59,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,SOCIALSECUR,GOODJUDGMENT,OMITS,CLINTON,BUSHDID,BETTER,APP/FAV,DEMOCRAT,NOHS,CATHOLIC,,CONSERV,18-64,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,1.272
STATE ONLY,16.0,39.0,27.0,THIRD CALL,50-59,WHITE,MALE,NADER,LAST.3DAYS,DISAPPR,UNFAVORABLE,GORE,ECON/JOBS,COMPLEXISSUE,NO,PEROT,NEITHERDID,SAME,DIS/UNFAV,DEMOCRAT,COLGRAD,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.866
STATE ONLY,16.0,39.0,28.0,THIRD CALL,45-49,WHITE,MALE,GORE,BEFORE,OMITS,UNFAVORABLE,GORE,TAXES,CARES,NO,CLINTON,BOTHDID,WORSE,OMITS,INDEPEND,HSGRAD,NONE,50-75K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,40-49,IND/OTHER,40-49,NONE,,,1.272
STATE ONLY,16.0,39.0,29.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,EDUCATION,COMPLEXISSUE,NO,DOLE,GOREDID,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,0.9590000000000001
STATE ONLY,16.0,39.0,30.0,THIRD CALL,45-49,WHITE,MALE,BUSH,LASTWEEK,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,COMPLEXISSUE,OMITS,OMITS,OMITS,BETTER,DIS/UNFAV,INDEPEND,HSGRAD,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,,1.004
STATE ONLY,16.0,39.0,31.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,OMITS,OMITS,NO,CLINTON,OMITS,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.217
STATE ONLY,16.0,39.0,32.0,THIRD CALL,45-49,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,ECON/JOBS,CARES,NO,CLINTON,BOTHDID,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,OVER100K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.272
STATE ONLY,16.0,39.0,33.0,THIRD CALL,30-39,WHITE,MALE,BUSH,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,HEALTHCARE,COMPLEXISSUE,NO,CLINTON,GOREDID,WORSE,DIS/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,1.004
STATE ONLY,16.0,39.0,34.0,THIRD CALL,50-59,WHITE,MALE,GORE,LAST.MONTH,APPROVE,FAVORABLE,GORE,EDUCATION,EXPERIENCE,NO,CLINTON,BOTHDID,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,1.272
STATE ONLY,16.0,39.0,35.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,LAST.3DAYS,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,GOODJUDGMENT,NO,CLINTON,BOTHDID,BETTER,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,75-100K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.217
STATE ONLY,16.0,39.0,36.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,SOCIALSECUR,CARES,NO,CLINTON,BUSHDID,BETTER,APP/FAV,INDEPEND,HSGRAD,CATHOLIC,50-75K,LIBERAL,18-64,STATE,COMPLETE,EAST,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,,1.217
STATE ONLY,16.0,39.0,37.0,THIRD CALL,50-59,WHITE,MALE,GORE,LAST.MONTH,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,COMPLEXISSUE,NO,CLINTON,BOTHDID,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,CATHOLIC,OVER100K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,1.272
STATE ONLY,16.0,39.0,38.0,THIRD CALL,18-24,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,ECON/JOBS,COMPLEXISSUE,NO,NOVOTE,NEITHERDID,SAME,APP/FAV,INDEPEND,HSGRAD,CATHOLIC,15-30K,CONSERV,18-64,STATE,COMPLETE,EAST,18-29,18-24,IND/OTHER,18-24,CATHOLIC,,,1.597
STATE ONLY,16.0,39.0,39.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,LAST.MONTH,APPROVE,FAVORABLE,GORE,MEDICARE/RX,OMITS,OMITS,CLINTON,NEITHERDID,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.217
STATE ONLY,16.0,40.0,1.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,TAXES,HONEST,NO,DOLE,GOREDID,WORSE,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,0.608
STATE ONLY,16.0,40.0,2.0,FIRST CALL,18-24,WHITE,MALE,BUSH,LAST.3DAYS,APPROVE,FAVORABLE,BUSH,WORLDAFFAIRS,COMPLEXISSUE,NO,NOVOTE,NEITHERDID,SAME,APP/FAV,REPUBLCN,HSGRAD,CATHOLIC,30-50K,CONSERV,18-64,STATE,COMPLETE,EAST,18-29,18-24,REPUBLICAN,18-24,CATHOLIC,,,0.799
STATE ONLY,16.0,40.0,3.0,FIRST CALL,75+,WHITE,MALE,BUSH,BEFORE,OMITS,OMITS,OMITS,SOCIALSECUR,OMITS,OMITS,OMITS,BOTHDID,OMITS,,,,,,,65+,STATE,NOTCOMPLETE,EAST,60+,60+,,65+,,,,0.8300000000000001
STATE ONLY,16.0,40.0,4.0,FIRST CALL,30-39,WHITE,MALE,GORE,LAST.MONTH,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,EXPERIENCE,NO,CLINTON,BOTHDID,BETTER,APP/UNFAV,DEMOCRAT,HSGRAD,OTHERCHRIST,,MODERATE,18-64,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.807
STATE ONLY,16.0,40.0,5.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,BEFORE,OMITS,OMITS,GORE,ECON/JOBS,STRONGLEADER,NO,CLINTON,BOTHDID,BETTER,OMITS,DEMOCRAT,COLGRAD,OTHERCHRIST,75-100K,MODERATE,18-64,STATE,COMPLETE,EAST,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.77
