VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,GOV,TIME,CLINTON,BCPERSON,XWAY2000,ISSUE,RELRIGHT,X6VOTE,ENVIRON,UNION4,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,49.0,16.0,4.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,BYRD,WISE,LAST.MONTH,APPROVE,UNFAVORABLE,BUSH,HEALTHCARE,OMITS,CLINTON,PROENVIR,NONE,BETTER,APP/UNFAV,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,COMPLETE,APPALACHIAN,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.5740000000000001
STATE ONLY,49.0,16.0,5.0,FIRST CALL,50-59,WHITE,MALE,GORE,BYRD,WISE,LAST.MONTH,APPROVE,FAVORABLE,GORE,MEDICARE/RX,NO,CLINTON,PROENVIR,ME,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,75-100K,MODERATE,18-64,STATE,COMPLETE,APPALACHIAN,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.54
STATE ONLY,49.0,16.0,6.0,SECOND CALL,45-49,WHITE,MALE,GORE,BYRD,UNDERWOOD,LASTWEEK,APPROVE,FAVORABLE,GORE,ECON/JOBS,NO,CLINTON,PROGRWTH,ME,BETTER,APP/FAV,DEMOCRAT,HSGRAD,ELSE,30-50K,MODERATE,18-64,STATE,COMPLETE,APPALACHIAN,45-59,40-49,DEMOCRAT,40-49,OTHER,,,0.448
STATE ONLY,49.0,16.0,7.0,SECOND CALL,25-29,WHITE,MALE,NADER,BYRD,,LAST.MONTH,APPROVE,UNFAVORABLE,WOULDNOTVOTE,ECON/JOBS,YES,PEROT,PROENVIR,NONE,SAME,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,APPALACHIAN,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,,,0.41200000000000003
STATE ONLY,49.0,16.0,8.0,SECOND CALL,30-39,WHITE,MALE,GORE,BYRD,WISE,LAST.3DAYS,APPROVE,FAVORABLE,GORE,HEALTHCARE,OMITS,CLINTON,PROENVIR,NONE,SAME,APP/FAV,DEMOCRAT,POSTGRAD,ELSE,75-100K,LIBERAL,18-64,STATE,COMPLETE,APPALACHIAN,30-44,30-39,DEMOCRAT,30-39,OTHER,,,0.54
STATE ONLY,49.0,16.0,9.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,BYRD,UNDERWOOD,BEFORE,APPROVE,UNFAVORABLE,GORE,HEALTHCARE,YES,CLINTON,PROGRWTH,SOMEONEELSE,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,APPALACHIAN,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.40700000000000003
STATE ONLY,49.0,16.0,10.0,SECOND CALL,18-24,WHITE,MALE,BUSH,BYRD,UNDERWOOD,BEFORE,APPROVE,UNFAVORABLE,BUSH,ECON/JOBS,OMITS,DOLE,PROGRWTH,NONE,BETTER,APP/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,COMPLETE,APPALACHIAN,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.5700000000000001
STATE ONLY,49.0,16.0,11.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,GALLAHER,UNDERWOOD,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,MEDICARE/RX,NO,DOLE,PROENVIR,NONE,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,COMPLETE,APPALACHIAN,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,0.506
STATE ONLY,49.0,16.0,12.0,SECOND CALL,30-39,,MALE,BUSH,BYRD,UNDERWOOD,LAST.3DAYS,APPROVE,UNFAVORABLE,BUSH,TAXES,YES,DOLE,PROGRWTH,MEANDSOMEONE,SAME,APP/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,COMPLETE,APPALACHIAN,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.525
STATE ONLY,49.0,16.0,13.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,BYRD,WISE,BEFORE,APPROVE,UNFAVORABLE,BUSH,MEDICARE/RX,YES,DOLE,PROGRWTH,NONE,SAME,APP/UNFAV,INDEPEND,NOHS,PROTESTANT,15-30K,CONSERV,65+,STATE,COMPLETE,APPALACHIAN,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,0.8210000000000001
STATE ONLY,49.0,16.0,14.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,GALLAHER,UNDERWOOD,BEFORE,DISAPPR,UNFAVORABLE,BUSH,OMITS,YES,NOVOTE,PROGRWTH,NONE,SAME,DIS/UNFAV,INDEPEND,HSGRAD,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,COMPLETE,APPALACHIAN,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.46900000000000003
STATE ONLY,49.0,16.0,15.0,SECOND CALL,45-49,WHITE,MALE,GORE,BYRD,WISE,BEFORE,APPROVE,UNFAVORABLE,GORE,WORLDAFFAIRS,NO,CLINTON,OMITS,NONE,SAME,APP/UNFAV,INDEPEND,POSTGRAD,PROTESTANT,30-50K,LIBERAL,18-64,STATE,COMPLETE,APPALACHIAN,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.54
STATE ONLY,49.0,16.0,16.0,SECOND CALL,30-39,WHITE,MALE,NADER,BYRD,UNDERWOOD,LAST.MONTH,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,WORLDAFFAIRS,NO,PEROT,PROENVIR,SOMEONEELSE,SAME,DIS/UNFAV,ELSE,POSTGRAD,ELSE,75-100K,MODERATE,18-64,STATE,COMPLETE,APPALACHIAN,30-44,30-39,IND/OTHER,30-39,OTHER,,,0.35000000000000003
STATE ONLY,49.0,16.0,17.0,SECOND CALL,65-74,WHITE,MALE,GORE,BYRD,WISE,BEFORE,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,NO,CLINTON,PROENVIR,NONE,SAME,APP/UNFAV,DEMOCRAT,POSTGRAD,PROTESTANT,30-50K,LIBERAL,65+,STATE,COMPLETE,APPALACHIAN,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.773
STATE ONLY,49.0,16.0,18.0,SECOND CALL,40-44,WHITE,MALE,BUSH,BYRD,UNDERWOOD,BEFORE,APPROVE,FAVORABLE,BUSH,OMITS,NO,CLINTON,PROENVIR,NONE,SAME,APP/FAV,INDEPEND,HSGRAD,NONE,LESS15K,LIBERAL,18-64,STATE,COMPLETE,APPALACHIAN,30-44,40-49,IND/OTHER,40-49,NONE,,,0.525
STATE ONLY,49.0,16.0,19.0,SECOND CALL,65-74,WHITE,MALE,GORE,BYRD,WISE,BEFORE,APPROVE,FAVORABLE,GORE,OMITS,NO,CLINTON,PROENVIR,ME,BETTER,APP/FAV,DEMOCRAT,NOHS,PROTESTANT,50-75K,CONSERV,65+,STATE,COMPLETE,APPALACHIAN,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.773
STATE ONLY,49.0,16.0,20.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,BYRD,UNDERWOOD,BEFORE,DISAPPR,UNFAVORABLE,BUSH,SOCIALSECUR,YES,DOLE,PROGRWTH,NONE,BETTER,DIS/UNFAV,DEMOCRAT,COLGRAD,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,APPALACHIAN,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.47800000000000004
STATE ONLY,49.0,16.0,21.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,BYRD,WISE,BEFORE,APPROVE,FAVORABLE,GORE,MEDICARE/RX,YES,CLINTON,PROENVIR,NONE,WORSE,APP/FAV,DEMOCRAT,NOHS,PROTESTANT,,MODERATE,65+,STATE,COMPLETE,APPALACHIAN,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.7010000000000001
STATE ONLY,49.0,16.0,22.0,SECOND CALL,50-59,WHITE,MALE,BUSH,,UNDERWOOD,LAST.3DAYS,APPROVE,UNFAVORABLE,BUSH,WORLDAFFAIRS,NO,PEROT,PROENVIR,NONE,BETTER,APP/UNFAV,REPUBLCN,POSTGRAD,NONE,OVER100K,MODERATE,18-64,STATE,COMPLETE,APPALACHIAN,45-59,50-59,REPUBLICAN,50-64,NONE,,,0.531
STATE ONLY,49.0,16.0,23.0,SECOND CALL,30-39,OTHER,MALE,BUSH,GALLAHER,UNDERWOOD,BEFORE,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,OMITS,DOLE,OMITS,MEANDSOMEONE,WORSE,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,LESS15K,CONSERV,18-64,STATE,COMPLETE,APPALACHIAN,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.517
STATE ONLY,49.0,16.0,24.0,SECOND CALL,65-74,WHITE,MALE,BUSH,BYRD,UNDERWOOD,LAST.3DAYS,DISAPPR,UNFAVORABLE,BUSH,TAXES,NO,OMITS,OMITS,NONE,SAME,DIS/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,50-75K,MODERATE,65+,STATE,COMPLETE,APPALACHIAN,60+,60+,IND/OTHER,65+,CATHOLIC,,,0.754
STATE ONLY,49.0,16.0,25.0,SECOND CALL,45-49,WHITE,MALE,BUCHANAN,BYRD,WISE,LASTWEEK,OMITS,OMITS,OMITS,TAXES,OMITS,OMITS,OMITS,,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,APPALACHIAN,45-59,40-49,,40-49,,,,0.877
STATE ONLY,49.0,16.0,26.0,THIRD CALL,30-39,WHITE,MALE,BUSH,BYRD,UNDERWOOD,BEFORE,DISAPPR,UNFAVORABLE,BUSH,OMITS,YES,NOVOTE,PROGRWTH,NONE,BETTER,DIS/UNFAV,ELSE,HSGRAD,PROTESTANT,75-100K,CONSERV,18-64,STATE,COMPLETE,APPALACHIAN,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.525
STATE ONLY,49.0,16.0,27.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,BYRD,WISE,LASTWEEK,APPROVE,FAVORABLE,GORE,HEALTHCARE,OMITS,CLINTON,PROGRWTH,NONE,BETTER,APP/FAV,DEMOCRAT,COLGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,APPALACHIAN,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.488
STATE ONLY,49.0,16.0,28.0,THIRD CALL,50-59,WHITE,MALE,BUSH,GALLAHER,UNDERWOOD,BEFORE,DISAPPR,UNFAVORABLE,BUSH,HEALTHCARE,OMITS,DOLE,PROGRWTH,SOMEONEELSE,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,APPALACHIAN,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.517
STATE ONLY,49.0,16.0,29.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,GALLAHER,UNDERWOOD,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,TAXES,OMITS,DOLE,OMITS,NONE,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,COMPLETE,APPALACHIAN,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.46900000000000003
STATE ONLY,49.0,16.0,30.0,THIRD CALL,60-64,WHITE,MALE,BUSH,BYRD,WISE,BEFORE,DISAPPR,UNFAVORABLE,OMITS,OMITS,YES,DOLE,OMITS,NONE,SAME,DIS/UNFAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,15-30K,,18-64,STATE,COMPLETE,APPALACHIAN,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,0.905
STATE ONLY,49.0,16.0,31.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,BYRD,WISE,BEFORE,APPROVE,UNFAVORABLE,GORE,MEDICARE/RX,NO,CLINTON,PROENVIR,SOMEONEELSE,BETTER,APP/UNFAV,DEMOCRAT,HSGRAD,OTHERCHRIST,75-100K,MODERATE,18-64,STATE,COMPLETE,APPALACHIAN,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.488
STATE ONLY,49.0,16.0,32.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,OTHER,UNDERWOOD,BEFORE,DISAPPR,UNFAVORABLE,BUSH,OMITS,OMITS,OTHER,PROGRWTH,NONE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,ELSE,30-50K,CONSERV,18-64,STATE,COMPLETE,APPALACHIAN,45-59,40-49,REPUBLICAN,40-49,OTHER,,,1.2770000000000001
STATE ONLY,49.0,16.0,33.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,BYRD,WISE,BEFORE,DISAPPR,UNFAVORABLE,BUSH,EDUCATION,YES,DOLE,PROGRWTH,NONE,BETTER,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,APPALACHIAN,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.5740000000000001
STATE ONLY,49.0,16.0,34.0,THIRD CALL,40-44,WHITE,MALE,BUSH,GALLAHER,UNDERWOOD,BEFORE,OMITS,UNFAVORABLE,BUSH,TAXES,NO,NOVOTE,PROENVIR,NONE,BETTER,OMITS,ELSE,HSGRAD,ELSE,50-75K,CONSERV,18-64,STATE,COMPLETE,APPALACHIAN,30-44,40-49,IND/OTHER,40-49,OTHER,,,0.517
STATE ONLY,49.0,16.0,35.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,,UNDERWOOD,BEFORE,APPROVE,UNFAVORABLE,GORE,HEALTHCARE,NO,CLINTON,PROGRWTH,NONE,SAME,APP/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,APPALACHIAN,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.41200000000000003
STATE ONLY,49.0,18.0,1.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,BYRD,WISE,BEFORE,APPROVE,FAVORABLE,GORE,MEDICARE/RX,NO,CLINTON,PROGRWTH,NONE,BETTER,APP/FAV,DEMOCRAT,NOHS,OTHERCHRIST,,LIBERAL,65+,STATE,COMPLETE,CHARLESTON,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.305
STATE ONLY,49.0,18.0,2.0,FIRST CALL,50-59,WHITE,MALE,BUSH,BYRD,UNDERWOOD,BEFORE,OMITS,OMITS,OMITS,OMITS,NO,OMITS,PROGRWTH,NONE,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,CHARLESTON,45-59,50-59,,50-64,,,,1.034
STATE ONLY,49.0,18.0,3.0,FIRST CALL,45-49,BLACK,FEMALE,GORE,,WISE,BEFORE,OMITS,OMITS,OMITS,OMITS,NO,OMITS,PROGRWTH,NONE,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,CHARLESTON,45-59,40-49,,40-49,,,,0.965
STATE ONLY,49.0,18.0,4.0,FIRST CALL,60-64,WHITE,MALE,GORE,BYRD,WISE,BEFORE,OMITS,OMITS,OMITS,WORLDAFFAIRS,NO,OMITS,PROENVIR,NONE,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,CHARLESTON,60+,60+,,50-64,,,,1.389
STATE ONLY,49.0,18.0,5.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,BYRD,WISE,BEFORE,APPROVE,FAVORABLE,GORE,HEALTHCARE,NO,CLINTON,PROGRWTH,NONE,WORSE,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,OVER100K,LIBERAL,18-64,STATE,COMPLETE,CHARLESTON,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,,,0.983
STATE ONLY,49.0,18.0,6.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,BYRD,UNDERWOOD,LAST.MONTH,APPROVE,OMITS,GORE,ECON/JOBS,NO,CLINTON,PROENVIR,NONE,BETTER,OMITS,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,OVER100K,MODERATE,18-64,STATE,COMPLETE,CHARLESTON,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.897
STATE ONLY,49.0,18.0,7.0,SECOND CALL,75+,WHITE,,BUSH,GALLAHER,UNDERWOOD,LAST.MONTH,OMITS,OMITS,OMITS,OMITS,NO,OMITS,PROENVIR,NONE,OMITS,,,,,,,65+,STATE,NOTCOMPLETE,CHARLESTON,60+,60+,,65+,,,,1.159
STATE ONLY,49.0,18.0,8.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,BYRD,GIARDINA,BEFORE,APPROVE,FAVORABLE,GORE,TAXES,NO,CLINTON,PROGRWTH,NONE,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,15-30K,LIBERAL,18-64,STATE,COMPLETE,CHARLESTON,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,0.583
STATE ONLY,49.0,18.0,9.0,SECOND CALL,60-64,WHITE,MALE,BUSH,BYRD,UNDERWOOD,BEFORE,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,YES,DOLE,PROGRWTH,NONE,SAME,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,,CONSERV,18-64,STATE,COMPLETE,CHARLESTON,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,1.2550000000000001
STATE ONLY,49.0,18.0,10.0,SECOND CALL,50-59,BLACK,FEMALE,GORE,BYRD,WISE,BEFORE,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,YES,CLINTON,PROGRWTH,ME,SAME,APP/FAV,DEMOCRAT,HSGRAD,ELSE,30-50K,MODERATE,18-64,STATE,COMPLETE,CHARLESTON,45-59,50-59,DEMOCRAT,50-64,OTHER,,,0.9520000000000001
STATE ONLY,49.0,18.0,11.0,SECOND CALL,30-39,WHITE,MALE,GORE,BYRD,WISE,BEFORE,OMITS,OMITS,OMITS,HEALTHCARE,NO,OMITS,PROENVIR,NONE,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,CHARLESTON,30-44,30-39,,30-39,,,,1.1440000000000001
STATE ONLY,49.0,18.0,12.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,BYRD,WISE,BEFORE,APPROVE,FAVORABLE,GORE,ECON/JOBS,NO,CLINTON,PROENVIR,NONE,WORSE,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,CHARLESTON,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.075
STATE ONLY,49.0,18.0,13.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,,UNDERWOOD,BEFORE,OMITS,OMITS,OMITS,OMITS,NO,OMITS,OMITS,NONE,OMITS,,,,,,,65+,STATE,NOTCOMPLETE,CHARLESTON,60+,60+,,65+,,,,1.194
STATE ONLY,49.0,18.0,14.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,BYRD,WISE,BEFORE,OMITS,OMITS,OMITS,OMITS,NO,OMITS,PROENVIR,NONE,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,CHARLESTON,45-59,40-49,,40-49,,,,1.075
STATE ONLY,49.0,18.0,15.0,SECOND CALL,50-59,WHITE,MALE,GORE,BYRD,WISE,BEFORE,APPROVE,FAVORABLE,GORE,MEDICARE/RX,NO,CLINTON,OMITS,NONE,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,OVER100K,LIBERAL,18-64,STATE,COMPLETE,CHARLESTON,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.1440000000000001
STATE ONLY,49.0,18.0,16.0,SECOND CALL,30-39,WHITE,MALE,GORE,BYRD,WISE,BEFORE,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,NO,CLINTON,PROENVIR,NONE,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,CATHOLIC,50-75K,LIBERAL,18-64,STATE,COMPLETE,CHARLESTON,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,1.1440000000000001
STATE ONLY,49.0,18.0,17.0,SECOND CALL,75+,WHITE,FEMALE,,GALLAHER,GIARDINA,LASTWEEK,OMITS,OMITS,OMITS,EDUCATION,OMITS,OMITS,PROENVIR,NONE,OMITS,,,,,,,65+,STATE,NOTCOMPLETE,CHARLESTON,60+,60+,,65+,,,,0.805
STATE ONLY,49.0,18.0,18.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,GALLAHER,UNDERWOOD,BEFORE,OMITS,OMITS,OMITS,OMITS,YES,OMITS,PROGRWTH,NONE,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,CHARLESTON,60+,60+,,50-64,,,,1.159
STATE ONLY,49.0,18.0,19.0,SECOND CALL,25-29,WHITE,MALE,GORE,BYRD,UNDERWOOD,LASTWEEK,APPROVE,FAVORABLE,GORE,EDUCATION,NO,NOVOTE,PROENVIR,NONE,BETTER,APP/FAV,INDEPEND,COLGRAD,NONE,50-75K,LIBERAL,18-64,STATE,COMPLETE,CHARLESTON,18-29,25-29,IND/OTHER,25-29,NONE,,,0.869
STATE ONLY,49.0,18.0,20.0,SECOND CALL,30-39,WHITE,MALE,BUSH,GALLAHER,UNDERWOOD,BEFORE,DISAPPR,UNFAVORABLE,BUSH,TAXES,YES,DOLE,PROGRWTH,NONE,SAME,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,50-75K,CONSERV,18-64,STATE,COMPLETE,CHARLESTON,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.016
STATE ONLY,49.0,18.0,21.0,SECOND CALL,45-49,WHITE,MALE,GORE,BYRD,UNDERWOOD,LAST.MONTH,APPROVE,UNFAVORABLE,GORE,WORLDAFFAIRS,NO,DOLE,OMITS,NONE,SAME,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,75-100K,MODERATE,18-64,STATE,COMPLETE,CHARLESTON,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.9510000000000001
STATE ONLY,49.0,18.0,22.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,,UNDERWOOD,BEFORE,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,YES,OMITS,OMITS,NONE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,30-50K,CONSERV,18-64,STATE,COMPLETE,CHARLESTON,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.986
STATE ONLY,49.0,18.0,23.0,THIRD CALL,30-39,WHITE,MALE,GORE,BYRD,WISE,LAST.3DAYS,APPROVE,FAVORABLE,GORE,OMITS,NO,DOLE,PROGRWTH,NONE,BETTER,APP/FAV,INDEPEND,POSTGRAD,PROTESTANT,OVER100K,MODERATE,18-64,STATE,COMPLETE,CHARLESTON,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.1440000000000001
STATE ONLY,49.0,18.0,24.0,THIRD CALL,50-59,WHITE,MALE,GORE,,WISE,BEFORE,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,NO,CLINTON,PROENVIR,NONE,SAME,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,15-30K,LIBERAL,18-64,STATE,COMPLETE,CHARLESTON,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.157
STATE ONLY,49.0,18.0,25.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,BYRD,WISE,BEFORE,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,NO,CLINTON,PROENVIR,NONE,SAME,APP/UNFAV,DEMOCRAT,HSGRAD,PROTESTANT,75-100K,LIBERAL,18-64,STATE,COMPLETE,CHARLESTON,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.075
STATE ONLY,49.0,18.0,26.0,THIRD CALL,25-29,WHITE,MALE,GORE,,WISE,BEFORE,APPROVE,FAVORABLE,GORE,HEALTHCARE,NO,CLINTON,PROENVIR,NONE,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,75-100K,LIBERAL,18-64,STATE,COMPLETE,CHARLESTON,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,,,1.056
STATE ONLY,49.0,18.0,27.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,GALLAHER,WISE,LAST.3DAYS,APPROVE,UNFAVORABLE,BUSH,OMITS,YES,OMITS,PROGRWTH,NONE,BETTER,APP/UNFAV,REPUBLCN,HSGRAD,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,COMPLETE,CHARLESTON,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.149
STATE ONLY,49.0,18.0,28.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,GALLAHER,UNDERWOOD,LAST.MONTH,OMITS,OMITS,OMITS,WORLDAFFAIRS,YES,OMITS,OMITS,NONE,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,CHARLESTON,45-59,50-59,,50-64,,,,0.9560000000000001
STATE ONLY,49.0,18.0,29.0,THIRD CALL,50-59,WHITE,MALE,BUSH,BYRD,,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,OMITS,YES,DOLE,PROGRWTH,NONE,BETTER,DIS/UNFAV,DEMOCRAT,POSTGRAD,OTHERCHRIST,OVER100K,CONSERV,18-64,STATE,COMPLETE,CHARLESTON,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.123
STATE ONLY,49.0,18.0,30.0,THIRD CALL,45-49,BLACK,MALE,GORE,BYRD,WISE,LASTWEEK,OMITS,OMITS,OMITS,SOCIALSECUR,NO,OMITS,PROGRWTH,SOMEONEELSE,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,CHARLESTON,45-59,40-49,,40-49,,,,1.0150000000000001
STATE ONLY,49.0,18.0,31.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,BYRD,UNDERWOOD,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,NO,DOLE,PROGRWTH,NONE,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,CHARLESTON,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.972
STATE ONLY,49.0,18.0,32.0,THIRD CALL,25-29,WHITE,FEMALE,NADER,GALLAHER,GIARDINA,LAST.3DAYS,APPROVE,UNFAVORABLE,GORE,EDUCATION,NO,CLINTON,PROENVIR,NONE,SAME,APP/UNFAV,ELSE,POSTGRAD,NONE,15-30K,LIBERAL,18-64,STATE,COMPLETE,CHARLESTON,18-29,25-29,IND/OTHER,25-29,NONE,,,1.725
