VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,LOGO,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,HISPANIC,QRACE,REL5,WEIGHT
STATE ONLY,9.0,3.0,13.0,FIRST CALL,40-44,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,OVER100K,MODERATE,18-64,YES,STATE,NESESW,30-44,40-49,DEMOCRAT,40-49,NO,BLACK,PROT/CHRIST,0.875
STATE ONLY,9.0,3.0,14.0,FIRST CALL,,BLACK,,BUSH,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,,,NO,STATE,NESESW,,,,,,BLACK,,0.899
STATE ONLY,9.0,3.0,15.0,FIRST CALL,25-29,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,OTHERCHRIST,30-50K,CONSERV,18-64,YES,STATE,NESESW,18-29,25-29,DEMOCRAT,25-29,NO,BLACK,PROT/CHRIST,1.0010000000000001
STATE ONLY,9.0,3.0,16.0,FIRST CALL,45-49,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,NOHS,CATHOLIC,50-75K,LIBERAL,18-64,NO,STATE,NESESW,45-59,40-49,DEMOCRAT,40-49,NO,BLACK,CATHOLIC,0.9390000000000001
STATE ONLY,9.0,3.0,17.0,FIRST CALL,75+,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,LESS15K,LIBERAL,65+,NO,STATE,NESESW,60+,60+,DEMOCRAT,65+,,BLACK,PROT/CHRIST,1.19
STATE ONLY,9.0,3.0,18.0,SECOND CALL,45-49,HISP,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,LESS15K,MODERATE,18-64,YES,STATE,NESESW,45-59,40-49,DEMOCRAT,40-49,YES,HISP,CATHOLIC,0.875
STATE ONLY,9.0,3.0,19.0,SECOND CALL,45-49,BLACK,FEMALE,GORE,DISAPPR,FAVORABLE,GORE,CLINTON,WORSE,DIS/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,LESS15K,LIBERAL,18-64,YES,STATE,NESESW,45-59,40-49,DEMOCRAT,40-49,NO,BLACK,PROT/CHRIST,0.9390000000000001
STATE ONLY,9.0,3.0,20.0,SECOND CALL,60-64,BLACK,,GORE,OMITS,FAVORABLE,GORE,CLINTON,WORSE,OMITS,DEMOCRAT,SOMCOL/ASSOC,ELSE,,MODERATE,18-64,NO,STATE,NESESW,60+,60+,DEMOCRAT,50-64,NO,BLACK,OTHER,1.19
STATE ONLY,9.0,3.0,21.0,SECOND CALL,45-49,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,CONSERV,18-64,YES,STATE,NESESW,45-59,40-49,DEMOCRAT,40-49,NO,BLACK,PROT/CHRIST,0.875
STATE ONLY,9.0,3.0,22.0,SECOND CALL,50-59,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,LIBERAL,18-64,YES,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,PROT/CHRIST,0.9390000000000001
STATE ONLY,9.0,3.0,23.0,SECOND CALL,45-49,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,NOVOTE,SAME,APP/FAV,DEMOCRAT,NOHS,ELSE,15-30K,MODERATE,18-64,NO,STATE,NESESW,45-59,40-49,DEMOCRAT,40-49,NO,BLACK,OTHER,0.875
STATE ONLY,9.0,3.0,24.0,SECOND CALL,30-39,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,MODERATE,18-64,YES,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,NO,BLACK,PROT/CHRIST,0.875
STATE ONLY,9.0,3.0,25.0,SECOND CALL,18-24,BLACK,MALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,OVER100K,MODERATE,18-64,YES,STATE,NESESW,18-29,18-24,IND/OTHER,18-24,NO,BLACK,PROT/CHRIST,0.933
STATE ONLY,9.0,3.0,26.0,SECOND CALL,30-39,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,30-50K,LIBERAL,18-64,NO,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,NO,BLACK,PROT/CHRIST,0.875
STATE ONLY,9.0,3.0,27.0,SECOND CALL,18-24,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,OVER100K,MODERATE,18-64,YES,STATE,NESESW,18-29,18-24,DEMOCRAT,18-24,NO,BLACK,PROT/CHRIST,1.0010000000000001
STATE ONLY,9.0,3.0,28.0,SECOND CALL,45-49,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,NO,STATE,NESESW,45-59,40-49,DEMOCRAT,40-49,NO,BLACK,CATHOLIC,0.9390000000000001
STATE ONLY,9.0,3.0,29.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,ELSE,30-50K,MODERATE,18-64,YES,STATE,NESESW,30-44,40-49,DEMOCRAT,40-49,NO,BLACK,OTHER,0.9390000000000001
STATE ONLY,9.0,3.0,30.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,OTHERCHRIST,50-75K,CONSERV,18-64,YES,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,PROT/CHRIST,0.9390000000000001
STATE ONLY,9.0,3.0,31.0,THIRD CALL,45-49,BLACK,MALE,NADER,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,ELSE,COLGRAD,OTHERCHRIST,OVER100K,LIBERAL,18-64,YES,STATE,NESESW,45-59,40-49,IND/OTHER,40-49,NO,BLACK,PROT/CHRIST,0.962
STATE ONLY,9.0,3.0,32.0,THIRD CALL,40-44,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,75-100K,LIBERAL,18-64,YES,STATE,NESESW,30-44,40-49,DEMOCRAT,40-49,NO,WHITE,PROT/CHRIST,0.656
STATE ONLY,9.0,3.0,33.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,15-30K,LIBERAL,18-64,YES,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,NO,BLACK,PROT/CHRIST,0.9390000000000001
STATE ONLY,9.0,3.0,34.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,,50-75K,LIBERAL,18-64,YES,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,,0.9390000000000001
STATE ONLY,9.0,3.0,35.0,THIRD CALL,60-64,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,PROTESTANT,15-30K,LIBERAL,18-64,YES,STATE,NESESW,60+,60+,DEMOCRAT,50-64,NO,BLACK,PROT/CHRIST,1.19
STATE ONLY,9.0,3.0,36.0,THIRD CALL,25-29,WHITE,FEMALE,NADER,DISAPPR,UNFAVORABLE,GORE,CLINTON,SAME,DIS/UNFAV,INDEPEND,COLGRAD,PROTESTANT,15-30K,LIBERAL,18-64,NO,STATE,NESESW,18-29,25-29,IND/OTHER,25-29,NO,WHITE,PROT/CHRIST,0.8260000000000001
STATE ONLY,9.0,3.0,37.0,THIRD CALL,25-29,HISP,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,15-30K,MODERATE,18-64,NO,STATE,NESESW,18-29,25-29,DEMOCRAT,25-29,YES,HISP,CATHOLIC,1.0010000000000001
STATE ONLY,9.0,3.0,38.0,THIRD CALL,25-29,HISP,MALE,GORE,APPROVE,FAVORABLE,GORE,NOVOTE,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,CATHOLIC,50-75K,LIBERAL,18-64,YES,STATE,NESESW,18-29,25-29,DEMOCRAT,25-29,YES,HISP,CATHOLIC,0.933
STATE ONLY,9.0,3.0,39.0,THIRD CALL,65-74,HISP,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,CATHOLIC,15-30K,MODERATE,65+,YES,STATE,NESESW,60+,60+,DEMOCRAT,65+,YES,HISP,CATHOLIC,1.19
STATE ONLY,9.0,3.0,40.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,30-50K,LIBERAL,18-64,YES,STATE,NESESW,30-44,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,0.704
STATE ONLY,9.0,3.0,41.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,NONE,50-75K,MODERATE,18-64,NO,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,NONE,0.9390000000000001
STATE ONLY,9.0,3.0,42.0,THIRD CALL,45-49,HISP,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,75-100K,MODERATE,18-64,YES,STATE,NESESW,45-59,40-49,DEMOCRAT,40-49,YES,HISP,CATHOLIC,0.875
STATE ONLY,9.0,3.0,43.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,PROTESTANT,15-30K,LIBERAL,18-64,NO,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,PROT/CHRIST,0.9390000000000001
STATE ONLY,9.0,3.0,44.0,THIRD CALL,50-59,BLACK,MALE,GORE,OMITS,FAVORABLE,GORE,CLINTON,BETTER,OMITS,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,50-75K,LIBERAL,18-64,NO,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,PROT/CHRIST,0.875
STATE ONLY,9.0,3.0,45.0,THIRD CALL,75+,BLACK,FEMALE,GORE,OMITS,OMITS,GORE,CLINTON,BETTER,OMITS,DEMOCRAT,NOHS,PROTESTANT,,,65+,YES,STATE,NESESW,60+,60+,DEMOCRAT,65+,,BLACK,PROT/CHRIST,1.2770000000000001
STATE ONLY,9.0,3.0,46.0,THIRD CALL,45-49,BLACK,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,PROTESTANT,30-50K,MODERATE,18-64,YES,STATE,NESESW,45-59,40-49,DEMOCRAT,40-49,NO,BLACK,PROT/CHRIST,0.9390000000000001
STATE ONLY,9.0,3.0,47.0,THIRD CALL,50-59,WHITE,,GORE,OMITS,OMITS,GORE,CLINTON,BETTER,OMITS,DEMOCRAT,HSGRAD,OTHERCHRIST,75-100K,LIBERAL,18-64,,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,PROT/CHRIST,0.704
STATE ONLY,9.0,3.0,48.0,THIRD CALL,65-74,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,30-50K,MODERATE,65+,YES,STATE,NESESW,60+,60+,DEMOCRAT,65+,NO,BLACK,PROT/CHRIST,1.19
STATE ONLY,9.0,3.0,49.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,REPUBLCN,NOHS,OTHERCHRIST,15-30K,LIBERAL,18-64,YES,STATE,NESESW,45-59,50-59,REPUBLICAN,50-64,NO,BLACK,PROT/CHRIST,0.9390000000000001
STATE ONLY,9.0,3.0,50.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,NO,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,PROT/CHRIST,0.9390000000000001
STATE ONLY,9.0,3.0,51.0,THIRD CALL,40-44,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,OVER100K,MODERATE,18-64,YES,STATE,NESESW,30-44,40-49,DEMOCRAT,40-49,NO,BLACK,PROT/CHRIST,0.875
STATE ONLY,9.0,3.0,52.0,THIRD CALL,,BLACK,,BUSH,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,,,NO,STATE,NESESW,,,,,,BLACK,,0.839
STATE ONLY,9.0,3.0,53.0,THIRD CALL,25-29,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,OTHERCHRIST,30-50K,CONSERV,18-64,YES,STATE,NESESW,18-29,25-29,DEMOCRAT,25-29,NO,BLACK,PROT/CHRIST,1.0010000000000001
STATE ONLY,9.0,3.0,54.0,THIRD CALL,45-49,HISP,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,NOHS,CATHOLIC,50-75K,LIBERAL,18-64,NO,STATE,NESESW,45-59,40-49,DEMOCRAT,40-49,YES,BLACK,CATHOLIC,0.9390000000000001
STATE ONLY,9.0,3.0,55.0,THIRD CALL,75+,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,LESS15K,LIBERAL,65+,NO,STATE,NESESW,60+,60+,DEMOCRAT,65+,,BLACK,PROT/CHRIST,1.19
STATE ONLY,9.0,3.0,56.0,THIRD CALL,75+,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NOVOTE,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,LESS15K,LIBERAL,65+,NO,STATE,NESESW,60+,60+,DEMOCRAT,65+,NO,BLACK,PROT/CHRIST,1.2770000000000001
STATE ONLY,9.0,3.0,57.0,THIRD CALL,45-49,HISP,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,LESS15K,MODERATE,18-64,YES,STATE,NESESW,45-59,40-49,DEMOCRAT,40-49,YES,HISP,CATHOLIC,0.9390000000000001
STATE ONLY,9.0,3.0,58.0,THIRD CALL,45-49,BLACK,FEMALE,GORE,DISAPPR,FAVORABLE,GORE,CLINTON,WORSE,DIS/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,LESS15K,LIBERAL,18-64,YES,STATE,NESESW,45-59,40-49,DEMOCRAT,40-49,NO,BLACK,PROT/CHRIST,0.9390000000000001
STATE ONLY,9.0,3.0,59.0,THIRD CALL,60-64,BLACK,,GORE,OMITS,FAVORABLE,GORE,CLINTON,WORSE,OMITS,DEMOCRAT,SOMCOL/ASSOC,ELSE,,MODERATE,18-64,NO,STATE,NESESW,60+,60+,DEMOCRAT,50-64,NO,BLACK,OTHER,1.2770000000000001
STATE ONLY,9.0,3.0,60.0,THIRD CALL,45-49,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,CONSERV,18-64,YES,STATE,NESESW,45-59,40-49,DEMOCRAT,40-49,NO,BLACK,PROT/CHRIST,0.875
STATE ONLY,9.0,3.0,61.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,LIBERAL,18-64,YES,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,PROT/CHRIST,0.9390000000000001
STATE ONLY,9.0,3.0,62.0,THIRD CALL,45-49,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,NOVOTE,SAME,APP/FAV,DEMOCRAT,NOHS,ELSE,15-30K,MODERATE,18-64,NO,STATE,NESESW,45-59,40-49,DEMOCRAT,40-49,NO,BLACK,OTHER,0.875
STATE ONLY,9.0,3.0,63.0,THIRD CALL,30-39,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,MODERATE,18-64,YES,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,NO,BLACK,PROT/CHRIST,0.875
STATE ONLY,9.0,4.0,1.0,FIRST CALL,50-59,BLACK,MALE,BUSH,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,OVER100K,LIBERAL,18-64,NO,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,PROT/CHRIST,0.846
STATE ONLY,9.0,4.0,2.0,FIRST CALL,60-64,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,REPUBLCN,HSGRAD,ELSE,LESS15K,MODERATE,18-64,YES,STATE,NESESW,60+,60+,REPUBLICAN,50-64,NO,BLACK,OTHER,1.288
STATE ONLY,9.0,4.0,3.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,INDEPEND,COLGRAD,NONE,OVER100K,LIBERAL,18-64,YES,STATE,NESESW,30-44,40-49,IND/OTHER,40-49,NO,WHITE,NONE,0.71
STATE ONLY,9.0,4.0,4.0,FIRST CALL,30-39,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,NOVOTE,SAME,APP/FAV,DEMOCRAT,HSGRAD,NONE,15-30K,MODERATE,18-64,YES,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,NO,BLACK,NONE,0.882
STATE ONLY,9.0,4.0,5.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,,ELSE,30-50K,LIBERAL,18-64,YES,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,OTHER,0.9470000000000001
STATE ONLY,9.0,4.0,6.0,FIRST CALL,75+,BLACK,,GORE,APPROVE,OMITS,GORE,CLINTON,SAME,OMITS,DEMOCRAT,NOHS,,,,65+,YES,STATE,NESESW,60+,60+,DEMOCRAT,65+,,BLACK,,1.2
STATE ONLY,9.0,4.0,7.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,COLGRAD,OTHERCHRIST,50-75K,LIBERAL,18-64,YES,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,,BLACK,PROT/CHRIST,0.9470000000000001
STATE ONLY,9.0,4.0,8.0,FIRST CALL,65-74,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,15-30K,LIBERAL,65+,NO,STATE,NESESW,60+,60+,DEMOCRAT,65+,NO,BLACK,PROT/CHRIST,1.2
STATE ONLY,9.0,4.0,9.0,FIRST CALL,50-59,HISP,,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,50-75K,LIBERAL,18-64,NO,STATE,NESESW,45-59,50-59,IND/OTHER,50-64,,HISP,CATHOLIC,0.9470000000000001
STATE ONLY,9.0,4.0,10.0,FIRST CALL,18-24,HISP,FEMALE,GORE,APPROVE,OMITS,GORE,NOVOTE,SAME,OMITS,DEMOCRAT,COLGRAD,CATHOLIC,30-50K,MODERATE,18-64,NO,STATE,NESESW,18-29,18-24,DEMOCRAT,18-24,YES,HISP,CATHOLIC,1.01
STATE ONLY,9.0,4.0,11.0,FIRST CALL,,HISP,FEMALE,GORE,OMITS,OMITS,OMITS,OMITS,WORSE,OMITS,,,,,,,,STATE,NESESW,,,,,,HISP,,0.9470000000000001
STATE ONLY,9.0,4.0,12.0,FIRST CALL,50-59,WHITE,MALE,NADER,DISAPPR,UNFAVORABLE,GORE,OTHER,BETTER,DIS/UNFAV,ELSE,POSTGRAD,NONE,OVER100K,LIBERAL,18-64,YES,STATE,NESESW,45-59,50-59,IND/OTHER,50-64,NO,WHITE,NONE,0.728
STATE ONLY,9.0,4.0,13.0,FIRST CALL,40-44,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,NOVOTE,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,ELSE,LESS15K,LIBERAL,18-64,NO,STATE,NESESW,30-44,40-49,DEMOCRAT,40-49,NO,BLACK,OTHER,0.882
STATE ONLY,9.0,4.0,14.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,NONE,50-75K,LIBERAL,18-64,YES,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,NONE,0.71
STATE ONLY,9.0,4.0,15.0,FIRST CALL,50-59,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,NONE,OVER100K,MODERATE,18-64,NO,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,NONE,0.661
STATE ONLY,9.0,4.0,16.0,FIRST CALL,25-29,WHITE,FEMALE,NADER,DISAPPR,OMITS,GORE,OTHER,SAME,OMITS,INDEPEND,POSTGRAD,ELSE,15-30K,LIBERAL,18-64,YES,STATE,NESESW,18-29,25-29,IND/OTHER,25-29,NO,WHITE,OTHER,0.833
STATE ONLY,9.0,4.0,17.0,FIRST CALL,25-29,HISP,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,INDEPEND,POSTGRAD,ELSE,50-75K,MODERATE,18-64,YES,STATE,NESESW,18-29,25-29,IND/OTHER,25-29,YES,OTHER,OTHER,1.01
STATE ONLY,9.0,4.0,18.0,SECOND CALL,45-49,WHITE,MALE,NADER,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,OTHER,WORSE,DIS/UNFAV,ELSE,POSTGRAD,JEWISH,15-30K,LIBERAL,18-64,NO,STATE,NESESW,45-59,40-49,IND/OTHER,40-49,NO,WHITE,JEWISH,0.728
STATE ONLY,9.0,4.0,19.0,SECOND CALL,50-59,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,NOHS,PROTESTANT,15-30K,LIBERAL,18-64,YES,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,PROT/CHRIST,0.9470000000000001
STATE ONLY,9.0,4.0,20.0,SECOND CALL,75+,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,30-50K,LIBERAL,65+,NO,STATE,NESESW,60+,60+,DEMOCRAT,65+,NO,BLACK,PROT/CHRIST,1.2
STATE ONLY,9.0,4.0,21.0,SECOND CALL,30-39,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,PEROT,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,30-50K,LIBERAL,18-64,NO,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,NO,BLACK,PROT/CHRIST,0.882
STATE ONLY,9.0,4.0,22.0,SECOND CALL,25-29,OTHER,FEMALE,NADER,OMITS,OMITS,GORE,CLINTON,SAME,OMITS,ELSE,POSTGRAD,ELSE,30-50K,LIBERAL,18-64,NO,STATE,NESESW,18-29,25-29,IND/OTHER,25-29,NO,OTHER,OTHER,0.833
STATE ONLY,9.0,4.0,23.0,SECOND CALL,60-64,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,OVER100K,CONSERV,18-64,YES,STATE,NESESW,60+,60+,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,0.862
STATE ONLY,9.0,4.0,24.0,SECOND CALL,30-39,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,50-75K,LIBERAL,18-64,YES,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,NO,BLACK,PROT/CHRIST,0.882
STATE ONLY,9.0,4.0,25.0,SECOND CALL,65-74,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,WORSE,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,,CONSERV,65+,YES,STATE,NESESW,60+,60+,DEMOCRAT,65+,NO,BLACK,CATHOLIC,1.288
STATE ONLY,9.0,4.0,26.0,SECOND CALL,30-39,BLACK,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,COLGRAD,OTHERCHRIST,50-75K,CONSERV,18-64,NO,STATE,NESESW,30-44,30-39,REPUBLICAN,30-39,NO,BLACK,PROT/CHRIST,0.908
STATE ONLY,9.0,4.0,27.0,THIRD CALL,18-24,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,COLGRAD,OTHERCHRIST,LESS15K,MODERATE,18-64,YES,STATE,NESESW,18-29,18-24,DEMOCRAT,18-24,NO,BLACK,PROT/CHRIST,1.01
STATE ONLY,9.0,4.0,28.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,,,18-64,YES,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,NO,BLACK,PROT/CHRIST,0.9470000000000001
