VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,ISSUE,X6VOTE,UNION4,FINSIT,JOBPERS,WORK,PARTYID,EDUC,RELIGION,INCOME,MARRIED,CHILD,PHIL3,OVER65,LOGO,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,21.0,26.0,37.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,EDUCATION,CLINTON,NONE,BETTER,APP/FAV,NO,DEMOCRAT,COLGRAD,ELSE,30-50K,YES,NO,LIBERAL,18-64,NO,STATE,COMPLETE,BALTSUBURBAN,30-44,30-39,DEMOCRAT,30-39,OTHER,,,0.619
STATE ONLY,21.0,26.0,38.0,THIRD CALL,18-24,WHITE,MALE,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,OMITS,NOVOTE,NONE,SAME,DIS/UNFAV,YES,REPUBLCN,COLGRAD,OTHERCHRIST,15-30K,NO,NO,MODERATE,18-64,NO,STATE,COMPLETE,BALTSUBURBAN,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.601
STATE ONLY,21.0,26.0,39.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,SARBANES,APPROVE,UNFAVORABLE,GORE,OMITS,CLINTON,SOMEONEELSE,BETTER,APP/UNFAV,YES,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,15-30K,NO,,LIBERAL,18-64,YES,STATE,COMPLETE,BALTSUBURBAN,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.619
STATE ONLY,21.0,26.0,40.0,THIRD CALL,40-44,BLACK,,GORE,SARBANES,APPROVE,FAVORABLE,GORE,ECON/JOBS,PEROT,NONE,BETTER,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,50-75K,YES,NO,CONSERV,18-64,NO,STATE,COMPLETE,BALTSUBURBAN,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.51
STATE ONLY,21.0,26.0,41.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,NOVOTE,ME,BETTER,DIS/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,NO,NO,MODERATE,18-64,NO,STATE,COMPLETE,BALTSUBURBAN,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.65
STATE ONLY,21.0,26.0,42.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,SARBANES,APPROVE,UNFAVORABLE,GORE,EDUCATION,NOVOTE,NONE,BETTER,APP/UNFAV,NO,DEMOCRAT,SOMCOL/ASSOC,ELSE,50-75K,NO,NO,LIBERAL,18-64,YES,STATE,COMPLETE,BALTSUBURBAN,18-29,18-24,DEMOCRAT,18-24,OTHER,,,0.597
STATE ONLY,21.0,26.0,43.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,TAXES,DOLE,ME,SAME,DIS/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,50-75K,YES,NO,CONSERV,18-64,NO,STATE,COMPLETE,BALTSUBURBAN,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.65
STATE ONLY,21.0,28.0,1.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,NONE,BETTER,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,NO,NO,MODERATE,18-64,YES,STATE,COMPLETE,BALTIMRECITY,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,1.062
STATE ONLY,21.0,28.0,2.0,FIRST CALL,60-64,WHITE,MALE,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,OMITS,DOLE,NONE,SAME,DIS/UNFAV,YES,INDEPEND,SOMCOL/ASSOC,CATHOLIC,75-100K,YES,NO,CONSERV,18-64,YES,STATE,COMPLETE,BALTIMRECITY,60+,60+,IND/OTHER,50-64,CATHOLIC,,,2.4
STATE ONLY,21.0,28.0,3.0,FIRST CALL,40-44,WHITE,MALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,ECON/JOBS,CLINTON,NONE,BETTER,APP/FAV,YES,DEMOCRAT,POSTGRAD,PROTESTANT,OVER100K,YES,NO,MODERATE,18-64,YES,STATE,COMPLETE,BALTIMRECITY,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.999
STATE ONLY,21.0,28.0,4.0,FIRST CALL,30-39,WHITE,MALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,ECON/JOBS,CLINTON,NONE,SAME,APP/FAV,YES,DEMOCRAT,HSGRAD,CATHOLIC,15-30K,NO,NO,MODERATE,18-64,YES,STATE,COMPLETE,BALTIMRECITY,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.999
STATE ONLY,21.0,28.0,5.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,SARBANES,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,CLINTON,NONE,BETTER,APP/UNFAV,YES,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,LESS15K,NO,NO,MODERATE,18-64,YES,STATE,COMPLETE,BALTIMRECITY,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,1.453
STATE ONLY,21.0,28.0,6.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,CLINTON,SOMEONEELSE,OMITS,APP/FAV,NO,DEMOCRAT,SOMCOL/ASSOC,JEWISH,LESS15K,NO,NO,,18-64,YES,STATE,COMPLETE,BALTIMRECITY,45-59,50-59,DEMOCRAT,50-64,JEWISH,,,1.062
STATE ONLY,21.0,28.0,7.0,FIRST CALL,30-39,WHITE,MALE,NADER,SARBANES,APPROVE,FAVORABLE,GORE,ECON/JOBS,CLINTON,NONE,BETTER,APP/FAV,YES,INDEPEND,COLGRAD,PROTESTANT,30-50K,NO,NO,LIBERAL,18-64,NO,STATE,COMPLETE,BALTIMRECITY,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.8290000000000001
STATE ONLY,21.0,28.0,8.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,EDUCATION,CLINTON,NONE,BETTER,APP/FAV,YES,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,YES,YES,LIBERAL,18-64,YES,STATE,COMPLETE,BALTIMRECITY,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,,,0.933
STATE ONLY,21.0,28.0,9.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,RAPPAPORT,DISAPPR,UNFAVORABLE,GORE,EDUCATION,CLINTON,SOMEONEELSE,BETTER,DIS/UNFAV,YES,DEMOCRAT,COLGRAD,PROTESTANT,30-50K,YES,NO,MODERATE,18-64,NO,STATE,COMPLETE,BALTIMRECITY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.064
STATE ONLY,21.0,28.0,10.0,SECOND CALL,30-39,BLACK,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,EDUCATION,CLINTON,MEANDSOMEONE,BETTER,APP/FAV,YES,INDEPEND,HSGRAD,OTHERCHRIST,15-30K,NO,YES,LIBERAL,18-64,YES,STATE,COMPLETE,BALTIMRECITY,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.7890000000000001
STATE ONLY,21.0,28.0,11.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,SARBANES,DISAPPR,UNFAVORABLE,GORE,MEDICARE/RX,DOLE,NONE,WORSE,DIS/UNFAV,NO,INDEPEND,HSGRAD,OTHERCHRIST,LESS15K,NO,NO,MODERATE,65+,NO,STATE,COMPLETE,BALTIMRECITY,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.453
STATE ONLY,21.0,28.0,12.0,SECOND CALL,50-59,BLACK,,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,OMITS,DOLE,NONE,SAME,DIS/UNFAV,NO,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,75-100K,YES,NO,MODERATE,18-64,YES,STATE,COMPLETE,BALTIMRECITY,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,3.1430000000000002
STATE ONLY,21.0,28.0,13.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,NONE,BETTER,APP/FAV,YES,DEMOCRAT,HSGRAD,JEWISH,30-50K,YES,NO,CONSERV,18-64,YES,STATE,COMPLETE,BALTIMRECITY,45-59,40-49,DEMOCRAT,40-49,JEWISH,,,1.062
STATE ONLY,21.0,28.0,14.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,MEDICARE/RX,CLINTON,NONE,BETTER,APP/FAV,NO,DEMOCRAT,HSGRAD,CATHOLIC,50-75K,YES,NO,MODERATE,18-64,NO,STATE,COMPLETE,BALTIMRECITY,60+,60+,DEMOCRAT,50-64,CATHOLIC,,,1.453
STATE ONLY,21.0,28.0,15.0,SECOND CALL,40-44,WHITE,MALE,GORE,SARBANES,DISAPPR,UNFAVORABLE,GORE,ECON/JOBS,CLINTON,ME,SAME,DIS/UNFAV,YES,DEMOCRAT,COLGRAD,ELSE,50-75K,YES,YES,MODERATE,18-64,NO,STATE,COMPLETE,BALTIMRECITY,30-44,40-49,DEMOCRAT,40-49,OTHER,,,0.999
STATE ONLY,21.0,28.0,16.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,CLINTON,NONE,BETTER,APP/FAV,YES,INDEPEND,SOMCOL/ASSOC,ELSE,30-50K,YES,NO,LIBERAL,18-64,YES,STATE,COMPLETE,BALTIMRECITY,18-29,25-29,IND/OTHER,25-29,OTHER,,,0.933
STATE ONLY,21.0,28.0,17.0,SECOND CALL,30-39,BLACK,MALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,MEDICARE/RX,CLINTON,NONE,SAME,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,50-75K,YES,NO,MODERATE,18-64,NO,STATE,COMPLETE,BALTIMRECITY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.681
STATE ONLY,21.0,28.0,18.0,SECOND CALL,40-44,WHITE,FEMALE,NADER,SARBANES,DISAPPR,UNFAVORABLE,GORE,EDUCATION,CLINTON,SOMEONEELSE,SAME,DIS/UNFAV,YES,ELSE,HSGRAD,NONE,50-75K,YES,YES,MODERATE,18-64,NO,STATE,COMPLETE,BALTIMRECITY,30-44,40-49,IND/OTHER,40-49,NONE,,,0.883
STATE ONLY,21.0,28.0,19.0,SECOND CALL,50-59,WHITE,MALE,GORE,,APPROVE,FAVORABLE,GORE,EDUCATION,CLINTON,ME,SAME,APP/FAV,YES,DEMOCRAT,COLGRAD,OTHERCHRIST,15-30K,YES,NO,MODERATE,18-64,NO,STATE,COMPLETE,BALTIMRECITY,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.0
STATE ONLY,21.0,28.0,20.0,THIRD CALL,50-59,WHITE,MALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,MEDICARE/RX,CLINTON,NONE,BETTER,APP/FAV,NO,DEMOCRAT,NOHS,PROTESTANT,LESS15K,NO,NO,MODERATE,18-64,YES,STATE,COMPLETE,BALTIMRECITY,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.999
STATE ONLY,21.0,28.0,21.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,MEDICARE/RX,CLINTON,NONE,SAME,APP/FAV,NO,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,LESS15K,NO,NO,MODERATE,65+,YES,STATE,COMPLETE,BALTIMRECITY,60+,60+,DEMOCRAT,65+,CATHOLIC,,,1.453
STATE ONLY,21.0,28.0,22.0,THIRD CALL,45-49,BLACK,MALE,GORE,SARBANES,OMITS,OMITS,OMITS,WORLDAFFAIRS,OMITS,SOMEONEELSE,OMITS,,YES,,,,,YES,YES,,18-64,,STATE,NOTCOMPLETE,BALTIMRECITY,45-59,40-49,,40-49,,,,1.681
STATE ONLY,21.0,28.0,23.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,MEDICARE/RX,PEROT,NONE,BETTER,APP/FAV,NO,DEMOCRAT,HSGRAD,PROTESTANT,LESS15K,YES,NO,MODERATE,18-64,YES,STATE,COMPLETE,BALTIMRECITY,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.062
STATE ONLY,21.0,28.0,24.0,THIRD CALL,60-64,WHITE,FEMALE,GORE,SARBANES,DISAPPR,UNFAVORABLE,GORE,MEDICARE/RX,CLINTON,SOMEONEELSE,BETTER,DIS/UNFAV,NO,DEMOCRAT,HSGRAD,PROTESTANT,15-30K,YES,NO,MODERATE,18-64,NO,STATE,COMPLETE,BALTIMRECITY,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,1.453
STATE ONLY,21.0,28.0,25.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,NONE,BETTER,APP/FAV,YES,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,YES,YES,MODERATE,18-64,YES,STATE,COMPLETE,BALTIMRECITY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.7890000000000001
STATE ONLY,21.0,28.0,26.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,SARBANES,APPROVE,UNFAVORABLE,GORE,OMITS,CLINTON,NONE,BETTER,APP/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,NO,YES,MODERATE,18-64,YES,STATE,COMPLETE,BALTIMRECITY,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.062
STATE ONLY,21.0,28.0,27.0,THIRD CALL,65-74,BLACK,,GORE,SARBANES,OMITS,OMITS,GORE,OMITS,CLINTON,NONE,SAME,OMITS,NO,DEMOCRAT,NOHS,,,NO,,,65+,YES,STATE,COMPLETE,BALTIMRECITY,60+,60+,DEMOCRAT,65+,,,,2.295
STATE ONLY,21.0,28.0,28.0,THIRD CALL,45-49,BLACK,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,NONE,BETTER,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,NO,NO,LIBERAL,18-64,NO,STATE,COMPLETE,BALTIMRECITY,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.7890000000000001
STATE ONLY,21.0,28.0,29.0,THIRD CALL,18-24,BLACK,MALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,NOVOTE,SOMEONEELSE,BETTER,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,30-50K,NO,YES,MODERATE,18-64,NO,STATE,COMPLETE,BALTIMRECITY,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,1.475
STATE ONLY,21.0,28.0,30.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,ECON/JOBS,CLINTON,NONE,SAME,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,ELSE,LESS15K,YES,NO,MODERATE,18-64,NO,STATE,COMPLETE,BALTIMRECITY,30-44,30-39,DEMOCRAT,30-39,OTHER,,,1.7890000000000001
STATE ONLY,21.0,28.0,31.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,SARBANES,APPROVE,UNFAVORABLE,GORE,OMITS,NOVOTE,NONE,BETTER,APP/UNFAV,YES,DEMOCRAT,COLGRAD,PROTESTANT,50-75K,NO,YES,MODERATE,18-64,YES,STATE,COMPLETE,BALTIMRECITY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.062
STATE ONLY,21.0,28.0,32.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,CLINTON,ME,BETTER,APP/FAV,YES,DEMOCRAT,NOHS,CATHOLIC,50-75K,YES,YES,LIBERAL,18-64,NO,STATE,COMPLETE,BALTIMRECITY,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,1.062
STATE ONLY,21.0,28.0,33.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,MEDICARE/RX,CLINTON,NONE,SAME,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,YES,YES,LIBERAL,18-64,NO,STATE,COMPLETE,BALTIMRECITY,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,1.062
STATE ONLY,21.0,28.0,34.0,THIRD CALL,50-59,WHITE,MALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,NONE,SAME,APP/FAV,NO,DEMOCRAT,COLGRAD,CATHOLIC,LESS15K,NO,NO,,18-64,NO,STATE,COMPLETE,BALTIMRECITY,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.999
STATE ONLY,21.0,28.0,35.0,THIRD CALL,65-74,WHITE,FEMALE,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,HEALTHCARE,DOLE,,SAME,DIS/UNFAV,,DEMOCRAT,HSGRAD,NONE,15-30K,YES,,MODERATE,65+,NO,STATE,COMPLETE,BALTIMRECITY,60+,60+,DEMOCRAT,65+,NONE,,,2.5540000000000003
STATE ONLY,21.0,28.0,36.0,THIRD CALL,40-44,WHITE,MALE,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,EDUCATION,DOLE,NONE,BETTER,DIS/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,OVER100K,YES,YES,CONSERV,18-64,YES,STATE,COMPLETE,BALTIMRECITY,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,,,1.7570000000000001
STATE ONLY,21.0,28.0,37.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,SARBANES,DISAPPR,UNFAVORABLE,BUSH,EDUCATION,CLINTON,NONE,SAME,DIS/UNFAV,NO,REPUBLCN,NOHS,CATHOLIC,15-30K,YES,YES,MODERATE,18-64,NO,STATE,COMPLETE,BALTIMRECITY,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,1.865
STATE ONLY,21.0,30.0,1.0,FIRST CALL,40-44,,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,EDUCATION,CLINTON,NONE,SAME,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,15-30K,YES,YES,CONSERV,18-64,YES,STATE,COMPLETE,BALTIMRECITY,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.179
STATE ONLY,21.0,30.0,2.0,FIRST CALL,50-59,BLACK,MALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,ME,BETTER,APP/FAV,YES,DEMOCRAT,NOHS,NONE,30-50K,YES,NO,CONSERV,18-64,YES,STATE,COMPLETE,BALTIMRECITY,45-59,50-59,DEMOCRAT,50-64,NONE,,,0.28200000000000003
STATE ONLY,21.0,30.0,3.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,HEALTHCARE,CLINTON,ME,BETTER,APP/FAV,YES,DEMOCRAT,HSGRAD,ELSE,30-50K,NO,NO,LIBERAL,18-64,NO,STATE,COMPLETE,BALTIMRECITY,45-59,50-59,DEMOCRAT,50-64,OTHER,,,0.3
STATE ONLY,21.0,30.0,4.0,FIRST CALL,30-39,BLACK,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,EDUCATION,CLINTON,SOMEONEELSE,SAME,APP/FAV,YES,DEMOCRAT,COLGRAD,ELSE,50-75K,NO,YES,LIBERAL,18-64,YES,STATE,COMPLETE,BALTIMRECITY,30-44,30-39,DEMOCRAT,30-39,OTHER,,,0.3
STATE ONLY,21.0,30.0,5.0,FIRST CALL,40-44,BLACK,MALE,GORE,,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,NOVOTE,NONE,SAME,APP/FAV,YES,DEMOCRAT,HSGRAD,NONE,30-50K,YES,YES,MODERATE,18-64,NO,STATE,COMPLETE,BALTIMRECITY,30-44,40-49,DEMOCRAT,40-49,NONE,,,0.28200000000000003
STATE ONLY,21.0,30.0,6.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,HEALTHCARE,CLINTON,ME,BETTER,APP/FAV,YES,DEMOCRAT,POSTGRAD,PROTESTANT,30-50K,NO,NO,LIBERAL,18-64,NO,STATE,COMPLETE,BALTIMRECITY,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.3
STATE ONLY,21.0,30.0,7.0,FIRST CALL,30-39,BLACK,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,ME,SAME,APP/FAV,YES,DEMOCRAT,,OTHERCHRIST,,YES,YES,LIBERAL,18-64,YES,STATE,COMPLETE,BALTIMRECITY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.3
STATE ONLY,21.0,30.0,8.0,FIRST CALL,45-49,OTHER,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,BUSH,WORLDAFFAIRS,CLINTON,NONE,WORSE,APP/FAV,NO,ELSE,COLGRAD,OTHERCHRIST,30-50K,NO,NO,LIBERAL,18-64,YES,STATE,COMPLETE,BALTIMRECITY,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.179
STATE ONLY,21.0,30.0,9.0,SECOND CALL,65-74,BLACK,MALE,GORE,SARBANES,OMITS,OMITS,OMITS,SOCIALSECUR,OMITS,,OMITS,,,,,,,,NO,,65+,,STATE,NOTCOMPLETE,BALTIMRECITY,60+,60+,,65+,,,,0.385
STATE ONLY,21.0,30.0,10.0,SECOND CALL,65-74,BLACK,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,SOCIALSECUR,CLINTON,NONE,SAME,APP/FAV,NO,DEMOCRAT,HSGRAD,OTHERCHRIST,,YES,NO,,65+,NO,STATE,COMPLETE,BALTIMRECITY,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.40900000000000003
STATE ONLY,21.0,30.0,11.0,SECOND CALL,60-64,BLACK,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,CLINTON,SOMEONEELSE,BETTER,APP/FAV,NO,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,YES,NO,LIBERAL,18-64,YES,STATE,COMPLETE,BALTIMRECITY,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,0.40900000000000003
STATE ONLY,21.0,30.0,12.0,SECOND CALL,60-64,BLACK,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,MEDICARE/RX,CLINTON,NONE,BETTER,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,15-30K,NO,NO,LIBERAL,18-64,NO,STATE,COMPLETE,BALTIMRECITY,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,0.40900000000000003
STATE ONLY,21.0,30.0,13.0,SECOND CALL,18-24,BLACK,MALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,ECON/JOBS,CLINTON,SOMEONEELSE,BETTER,APP/FAV,NO,DEMOCRAT,POSTGRAD,CATHOLIC,75-100K,NO,NO,MODERATE,18-64,YES,STATE,COMPLETE,BALTIMRECITY,18-29,18-24,DEMOCRAT,18-24,CATHOLIC,,,0.248
STATE ONLY,21.0,30.0,14.0,SECOND CALL,65-74,BLACK,MALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,SOCIALSECUR,CLINTON,,BETTER,APP/FAV,NO,DEMOCRAT,,OTHERCHRIST,15-30K,YES,,,65+,NO,STATE,COMPLETE,BALTIMRECITY,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.385
STATE ONLY,21.0,30.0,15.0,SECOND CALL,50-59,BLACK,MALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,MEDICARE/RX,CLINTON,ME,BETTER,APP/FAV,YES,DEMOCRAT,POSTGRAD,,50-75K,NO,NO,,18-64,NO,STATE,COMPLETE,BALTIMRECITY,45-59,50-59,DEMOCRAT,50-64,,,,0.28200000000000003
STATE ONLY,21.0,30.0,16.0,SECOND CALL,30-39,BLACK,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,EDUCATION,CLINTON,SOMEONEELSE,BETTER,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,ELSE,30-50K,YES,YES,,18-64,NO,STATE,COMPLETE,BALTIMRECITY,30-44,30-39,DEMOCRAT,30-39,OTHER,,,0.3
STATE ONLY,21.0,30.0,17.0,SECOND CALL,,,,GORE,SARBANES,OMITS,OMITS,OMITS,MEDICARE/RX,OMITS,,OMITS,,,,,,,,,,,,STATE,NOTCOMPLETE,BALTIMRECITY,,,,,,,,0.179
STATE ONLY,21.0,30.0,18.0,SECOND CALL,18-24,BLACK,MALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,EDUCATION,NOVOTE,SOMEONEELSE,SAME,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,50-75K,NO,NO,LIBERAL,18-64,NO,STATE,COMPLETE,BALTIMRECITY,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,0.248
STATE ONLY,21.0,30.0,19.0,SECOND CALL,65-74,BLACK,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,MEDICARE/RX,CLINTON,ME,SAME,APP/FAV,NO,DEMOCRAT,POSTGRAD,PROTESTANT,50-75K,NO,YES,LIBERAL,65+,YES,STATE,COMPLETE,BALTIMRECITY,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.40900000000000003
STATE ONLY,21.0,30.0,20.0,SECOND CALL,50-59,BLACK,MALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,CLINTON,ME,SAME,APP/FAV,NO,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,YES,YES,MODERATE,18-64,NO,STATE,COMPLETE,BALTIMRECITY,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.28200000000000003
STATE ONLY,21.0,30.0,21.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,SARBANES,DISAPPR,UNFAVORABLE,GORE,MEDICARE/RX,NOVOTE,NONE,WORSE,DIS/UNFAV,NO,DEMOCRAT,HSGRAD,ELSE,LESS15K,NO,NO,MODERATE,18-64,NO,STATE,COMPLETE,BALTIMRECITY,30-44,40-49,DEMOCRAT,40-49,OTHER,,,0.3
STATE ONLY,21.0,30.0,22.0,THIRD CALL,75+,BLACK,MALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,SOCIALSECUR,CLINTON,NONE,WORSE,APP/FAV,NO,DEMOCRAT,NOHS,OTHERCHRIST,,YES,NO,LIBERAL,65+,NO,STATE,COMPLETE,BALTIMRECITY,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.385
