VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,PROPME6,GOVTDO,ISSUE,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,20.0,17.0,16.0,SECOND CALL,18-24,WHITE,MALE,BUSH,SNOWE,APPROVE,FAVORABLE,BUSH,NO,LESS,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,REPUBLCN,HSGRAD,NONE,75-100K,CONSERV,18-64,STATE,COMPLETE,CD1,18-29,18-24,REPUBLICAN,18-24,NONE,,,1.348
STATE ONLY,20.0,17.0,17.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,LAWRENCE,OMITS,FAVORABLE,GORE,YES,OMITS,WORLDAFFAIRS,NO,CLINTON,BETTER,OMITS,DEMOCRAT,COLGRAD,PROTESTANT,OVER100K,LIBERAL,18-64,STATE,COMPLETE,CD1,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.968
STATE ONLY,20.0,17.0,18.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,OMITS,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,OVER100K,CONSERV,18-64,STATE,COMPLETE,CD1,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.104
STATE ONLY,20.0,17.0,19.0,SECOND CALL,50-59,WHITE,MALE,GORE,SNOWE,APPROVE,UNFAVORABLE,GORE,NO,MORE,SOCIALSECUR,NO,CLINTON,BETTER,APP/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,OVER100K,MODERATE,18-64,STATE,COMPLETE,CD1,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,1.145
STATE ONLY,20.0,17.0,20.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,LAWRENCE,APPROVE,UNFAVORABLE,GORE,YES,MORE,WORLDAFFAIRS,NO,CLINTON,BETTER,APP/UNFAV,INDEPEND,COLGRAD,CATHOLIC,OVER100K,MODERATE,18-64,STATE,COMPLETE,CD1,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,0.968
STATE ONLY,20.0,17.0,21.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,LAWRENCE,APPROVE,UNFAVORABLE,GORE,YES,MORE,WORLDAFFAIRS,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,PROTESTANT,OVER100K,LIBERAL,18-64,STATE,COMPLETE,CD1,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.968
STATE ONLY,20.0,17.0,22.0,SECOND CALL,60-64,WHITE,MALE,BUSH,SNOWE,APPROVE,UNFAVORABLE,BUSH,NO,LESS,MEDICARE/RX,NO,PEROT,WORSE,APP/UNFAV,INDEPEND,HSGRAD,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,CD1,60+,60+,IND/OTHER,50-64,PROT/CHRIST,,,1.629
STATE ONLY,20.0,17.0,23.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,MEDICARE/RX,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,CD1,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.104
STATE ONLY,20.0,17.0,24.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,TAXES,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,OVER100K,MODERATE,18-64,STATE,COMPLETE,CD1,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.983
STATE ONLY,20.0,17.0,25.0,THIRD CALL,45-49,WHITE,MALE,GORE,LAWRENCE,APPROVE,FAVORABLE,GORE,YES,LESS,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,CD1,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.065
STATE ONLY,20.0,17.0,26.0,THIRD CALL,30-39,WHITE,MALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,TAXES,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,HSGRAD,NONE,30-50K,CONSERV,18-64,STATE,COMPLETE,CD1,30-44,30-39,REPUBLICAN,30-39,NONE,,,1.213
STATE ONLY,20.0,17.0,27.0,THIRD CALL,50-59,,MALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,OMITS,NO,PEROT,SAME,DIS/UNFAV,INDEPEND,COLGRAD,NONE,75-100K,MODERATE,18-64,STATE,COMPLETE,CD1,45-59,50-59,IND/OTHER,50-64,NONE,,,1.213
STATE ONLY,20.0,17.0,28.0,THIRD CALL,40-44,WHITE,MALE,GORE,LAWRENCE,APPROVE,FAVORABLE,GORE,YES,LESS,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,OVER100K,MODERATE,18-64,STATE,COMPLETE,CD1,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.065
STATE ONLY,20.0,17.0,29.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,YES,OMITS,EDUCATION,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,OVER100K,CONSERV,18-64,STATE,COMPLETE,CD1,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.983
STATE ONLY,20.0,17.0,30.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,ECON/JOBS,NO,PEROT,SAME,DIS/UNFAV,ELSE,COLGRAD,PROTESTANT,OVER100K,MODERATE,18-64,STATE,COMPLETE,CD1,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.983
STATE ONLY,20.0,17.0,31.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,SNOWE,OMITS,OMITS,OMITS,YES,MORE,WORLDAFFAIRS,NO,OMITS,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,CD1,45-59,40-49,,40-49,,,,0.93
STATE ONLY,20.0,17.0,32.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,SNOWE,APPROVE,UNFAVORABLE,GORE,YES,MORE,EDUCATION,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CD1,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.93
STATE ONLY,20.0,17.0,33.0,THIRD CALL,30-39,WHITE,MALE,GORE,LAWRENCE,APPROVE,FAVORABLE,GORE,YES,MORE,EDUCATION,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,OVER100K,MODERATE,18-64,STATE,COMPLETE,CD1,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,1.065
STATE ONLY,20.0,18.0,1.0,FIRST CALL,50-59,WHITE,MALE,GORE,LAWRENCE,APPROVE,FAVORABLE,GORE,YES,MORE,ECON/JOBS,NO,CLINTON,SAME,APP/FAV,INDEPEND,COLGRAD,PROTESTANT,75-100K,LIBERAL,18-64,STATE,COMPLETE,CD1,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.0190000000000001
STATE ONLY,20.0,18.0,2.0,FIRST CALL,30-39,WHITE,MALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,TAXES,NO,PEROT,SAME,DIS/UNFAV,ELSE,HSGRAD,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,COMPLETE,CD1,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.163
STATE ONLY,20.0,18.0,3.0,FIRST CALL,50-59,WHITE,MALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,TAXES,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,CONSERV,18-64,STATE,COMPLETE,CD1,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.163
STATE ONLY,20.0,18.0,4.0,FIRST CALL,30-39,WHITE,MALE,BUSH,SNOWE,APPROVE,FAVORABLE,BUSH,YES,LESS,SOCIALSECUR,NO,CLINTON,BETTER,APP/FAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,CD1,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,1.036
STATE ONLY,20.0,18.0,5.0,FIRST CALL,30-39,WHITE,MALE,GORE,SNOWE,OMITS,OMITS,OMITS,NO,LESS,OMITS,NO,OMITS,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,CD1,30-44,30-39,,30-39,,,,1.099
STATE ONLY,20.0,18.0,6.0,FIRST CALL,65-74,WHITE,MALE,BUSH,SNOWE,OMITS,OMITS,OMITS,,LESS,ECON/JOBS,NO,OMITS,OMITS,,,,,,,65+,STATE,NOTCOMPLETE,CD1,60+,60+,,65+,,,,1.473
STATE ONLY,20.0,18.0,7.0,FIRST CALL,40-44,WHITE,MALE,GORE,SNOWE,APPROVE,FAVORABLE,GORE,YES,MORE,WORLDAFFAIRS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,OVER100K,LIBERAL,18-64,STATE,COMPLETE,CD1,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.979
STATE ONLY,20.0,18.0,8.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,SNOWE,APPROVE,UNFAVORABLE,GORE,YES,MORE,ECON/JOBS,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,OVER100K,MODERATE,18-64,STATE,COMPLETE,CD1,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.889
STATE ONLY,20.0,18.0,9.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,MEDICARE/RX,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,50-75K,MODERATE,65+,STATE,COMPLETE,CD1,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.421
STATE ONLY,20.0,18.0,10.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,LAWRENCE,APPROVE,UNFAVORABLE,GORE,YES,MORE,WORLDAFFAIRS,NO,CLINTON,SAME,APP/UNFAV,INDEPEND,POSTGRAD,PROTESTANT,50-75K,LIBERAL,65+,STATE,COMPLETE,CD1,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.246
STATE ONLY,20.0,18.0,11.0,FIRST CALL,18-24,WHITE,FEMALE,BUSH,SNOWE,APPROVE,FAVORABLE,WOULDNOTVOTE,YES,LESS,EDUCATION,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,NONE,15-30K,LIBERAL,18-64,STATE,COMPLETE,CD1,18-29,18-24,DEMOCRAT,18-24,NONE,,,1.045
STATE ONLY,20.0,18.0,12.0,FIRST CALL,40-44,WHITE,MALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,TAXES,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,CONSERV,18-64,STATE,COMPLETE,CD1,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.163
STATE ONLY,20.0,18.0,13.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,SNOWE,DISAPPR,UNFAVORABLE,GORE,YES,LESS,MEDICARE/RX,NO,OTHER,SAME,DIS/UNFAV,INDEPEND,HSGRAD,PROTESTANT,LESS15K,,18-64,STATE,COMPLETE,CD1,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.889
STATE ONLY,20.0,18.0,14.0,FIRST CALL,30-39,WHITE,MALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,OMITS,NO,NOVOTE,BETTER,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,75-100K,MODERATE,18-64,STATE,COMPLETE,CD1,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.036
STATE ONLY,20.0,18.0,15.0,SECOND CALL,40-44,WHITE,MALE,BUSH,SNOWE,OMITS,OMITS,OMITS,YES,LESS,TAXES,NO,OMITS,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,CD1,30-44,40-49,,40-49,,,,1.036
STATE ONLY,20.0,18.0,16.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,SNOWE,APPROVE,UNFAVORABLE,BUSH,YES,LESS,EDUCATION,NO,OMITS,SAME,APP/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,75-100K,MODERATE,18-64,STATE,COMPLETE,CD1,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,0.9420000000000001
STATE ONLY,20.0,18.0,17.0,SECOND CALL,65-74,WHITE,MALE,GORE,LAWRENCE,OMITS,OMITS,OMITS,NO,MORE,ECON/JOBS,NO,OMITS,OMITS,,,,,,,65+,STATE,NOTCOMPLETE,CD1,60+,60+,,65+,,,,1.537
STATE ONLY,20.0,18.0,18.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,SNOWE,APPROVE,FAVORABLE,GORE,YES,LESS,HEALTHCARE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,50-75K,LIBERAL,18-64,STATE,COMPLETE,CD1,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.889
STATE ONLY,20.0,18.0,19.0,SECOND CALL,45-49,BLACK,MALE,BUSH,,APPROVE,UNFAVORABLE,BUSH,NO,LESS,WORLDAFFAIRS,NO,DOLE,SAME,APP/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,15-30K,CONSERV,18-64,STATE,COMPLETE,CD1,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.051
STATE ONLY,20.0,18.0,20.0,THIRD CALL,45-49,WHITE,MALE,BUSH,SNOWE,OMITS,OMITS,OMITS,NO,LESS,TAXES,NO,OMITS,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,CD1,45-59,40-49,,40-49,,,,1.163
STATE ONLY,20.0,18.0,21.0,THIRD CALL,65-74,WHITE,MALE,GORE,LAWRENCE,APPROVE,FAVORABLE,GORE,YES,MORE,WORLDAFFAIRS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,30-50K,MODERATE,65+,STATE,COMPLETE,CD1,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.369
STATE ONLY,20.0,18.0,22.0,THIRD CALL,40-44,WHITE,MALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,SOCIALSECUR,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,50-75K,CONSERV,18-64,STATE,COMPLETE,CD1,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.163
STATE ONLY,20.0,18.0,23.0,THIRD CALL,30-39,WHITE,MALE,BUSH,SNOWE,APPROVE,FAVORABLE,BUSH,NO,MORE,WORLDAFFAIRS,NO,CLINTON,SAME,APP/FAV,INDEPEND,COLGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,CD1,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.163
STATE ONLY,20.0,18.0,24.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,SNOWE,APPROVE,FAVORABLE,GORE,NO,LESS,EDUCATION,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,CD1,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.0010000000000001
STATE ONLY,20.0,18.0,25.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,SNOWE,APPROVE,UNFAVORABLE,GORE,NO,OMITS,EDUCATION,NO,CLINTON,SAME,APP/UNFAV,INDEPEND,COLGRAD,NONE,,MODERATE,18-64,STATE,COMPLETE,CD1,45-59,50-59,IND/OTHER,50-64,NONE,,,1.0010000000000001
STATE ONLY,20.0,18.0,26.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,SNOWE,APPROVE,FAVORABLE,GORE,YES,LESS,WORLDAFFAIRS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,30-50K,LIBERAL,18-64,STATE,COMPLETE,CD1,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.889
STATE ONLY,20.0,18.0,27.0,THIRD CALL,50-59,WHITE,MALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,TAXES,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,30-50K,CONSERV,18-64,STATE,COMPLETE,CD1,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,,,1.163
STATE ONLY,20.0,18.0,28.0,THIRD CALL,65-74,WHITE,MALE,BUSH,LAWRENCE,OMITS,OMITS,OMITS,NO,LESS,WORLDAFFAIRS,NO,OMITS,OMITS,,,,,,,65+,STATE,NOTCOMPLETE,CD1,60+,60+,,65+,,,,1.627
STATE ONLY,20.0,18.0,29.0,THIRD CALL,40-44,WHITE,MALE,GORE,LAWRENCE,DISAPPR,UNFAVORABLE,GORE,NO,LESS,ECON/JOBS,NO,CLINTON,WORSE,DIS/UNFAV,DEMOCRAT,HSGRAD,ELSE,30-50K,LIBERAL,18-64,STATE,COMPLETE,CD1,30-44,40-49,DEMOCRAT,40-49,OTHER,,,1.143
STATE ONLY,20.0,18.0,30.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,MEDICARE/RX,NO,DOLE,SAME,DIS/UNFAV,INDEPEND,HSGRAD,CATHOLIC,75-100K,MODERATE,18-64,STATE,COMPLETE,CD1,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,1.058
STATE ONLY,20.0,18.0,31.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,SNOWE,APPROVE,UNFAVORABLE,GORE,YES,MORE,WORLDAFFAIRS,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,NOHS,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,CD1,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.889
STATE ONLY,20.0,18.0,32.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,SNOWE,APPROVE,UNFAVORABLE,GORE,YES,LESS,ECON/JOBS,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,NONE,30-50K,MODERATE,18-64,STATE,COMPLETE,CD1,30-44,30-39,DEMOCRAT,30-39,NONE,,,0.889
STATE ONLY,20.0,18.0,33.0,THIRD CALL,30-39,WHITE,MALE,BUSH,SNOWE,OMITS,UNFAVORABLE,BUSH,NO,LESS,ECON/JOBS,NO,DOLE,SAME,OMITS,REPUBLCN,COLGRAD,CATHOLIC,30-50K,CONSERV,18-64,STATE,COMPLETE,CD1,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,1.163
STATE ONLY,20.0,18.0,34.0,THIRD CALL,40-44,WHITE,MALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,TAXES,NO,PEROT,SAME,DIS/UNFAV,INDEPEND,COLGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,CD1,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.163
STATE ONLY,20.0,18.0,35.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,LAWRENCE,APPROVE,FAVORABLE,GORE,YES,MORE,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,CD1,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.928
STATE ONLY,20.0,18.0,36.0,THIRD CALL,18-24,WHITE,MALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,NO,MORE,ECON/JOBS,NO,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,HSGRAD,OTHERCHRIST,75-100K,CONSERV,18-64,STATE,COMPLETE,CD1,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,1.29
STATE ONLY,20.0,18.0,37.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,EDUCATION,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,75-100K,MODERATE,18-64,STATE,COMPLETE,CD1,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.058
STATE ONLY,20.0,18.0,38.0,THIRD CALL,40-44,WHITE,MALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,YES,LESS,ECON/JOBS,NO,DOLE,SAME,DIS/UNFAV,INDEPEND,HSGRAD,ELSE,OVER100K,MODERATE,18-64,STATE,COMPLETE,CD1,30-44,40-49,IND/OTHER,40-49,OTHER,,,1.036
STATE ONLY,20.0,18.0,39.0,THIRD CALL,45-49,WHITE,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,EDUCATION,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,COMPLETE,CD1,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.178
STATE ONLY,20.0,18.0,40.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,SNOWE,APPROVE,FAVORABLE,GORE,NO,LESS,EDUCATION,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,OTHERCHRIST,50-75K,LIBERAL,18-64,STATE,COMPLETE,CD1,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.0010000000000001
STATE ONLY,20.0,21.0,1.0,FIRST CALL,30-39,WHITE,MALE,BUSH,SNOWE,APPROVE,UNFAVORABLE,BUSH,NO,LESS,EDUCATION,NO,CLINTON,SAME,APP/UNFAV,INDEPEND,COLGRAD,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,COMPLETE,CD1,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.8200000000000001
STATE ONLY,20.0,21.0,2.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,LAWRENCE,APPROVE,FAVORABLE,GORE,YES,MORE,OMITS,NO,CLINTON,WORSE,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,30-50K,LIBERAL,18-64,STATE,COMPLETE,CD1,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.654
STATE ONLY,20.0,21.0,3.0,FIRST CALL,50-59,WHITE,MALE,GORE,SNOWE,APPROVE,FAVORABLE,GORE,YES,MORE,ECON/JOBS,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,POSTGRAD,CATHOLIC,75-100K,MODERATE,18-64,STATE,COMPLETE,CD1,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.6890000000000001
STATE ONLY,20.0,21.0,4.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,SNOWE,APPROVE,FAVORABLE,GORE,YES,MORE,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,ELSE,50-75K,LIBERAL,18-64,STATE,COMPLETE,CD1,30-44,40-49,DEMOCRAT,40-49,OTHER,,,0.627
STATE ONLY,20.0,21.0,5.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,SNOWE,APPROVE,FAVORABLE,GORE,YES,MORE,WORLDAFFAIRS,NO,CLINTON,SAME,APP/FAV,INDEPEND,HSGRAD,PROTESTANT,30-50K,MODERATE,65+,STATE,COMPLETE,CD1,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,0.842
STATE ONLY,20.0,21.0,6.0,FIRST CALL,40-44,WHITE,MALE,NADER,LAWRENCE,APPROVE,FAVORABLE,GORE,NO,LESS,TAXES,NO,PEROT,BETTER,APP/FAV,INDEPEND,SOMCOL/ASSOC,NONE,OVER100K,MODERATE,18-64,STATE,COMPLETE,CD1,30-44,40-49,IND/OTHER,40-49,NONE,,,0.52
STATE ONLY,20.0,21.0,7.0,FIRST CALL,45-49,WHITE,FEMALE,NADER,LAWRENCE,APPROVE,FAVORABLE,GORE,YES,OMITS,OMITS,OMITS,OMITS,WORSE,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,CD1,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.422
STATE ONLY,20.0,21.0,8.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,SNOWE,APPROVE,FAVORABLE,GORE,NO,OMITS,MEDICARE/RX,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,CD1,60+,60+,DEMOCRAT,50-64,CATHOLIC,,,0.9460000000000001
STATE ONLY,20.0,21.0,9.0,FIRST CALL,50-59,WHITE,MALE,BUSH,SNOWE,APPROVE,FAVORABLE,BUSH,NO,LESS,MEDICARE/RX,NO,PEROT,SAME,APP/FAV,REPUBLCN,COLGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,CD1,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,,,0.8200000000000001
STATE ONLY,20.0,21.0,10.0,FIRST CALL,18-24,WHITE,FEMALE,GORE,LAWRENCE,APPROVE,FAVORABLE,GORE,YES,MORE,HEALTHCARE,NO,NOVOTE,BETTER,APP/FAV,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,15-30K,LIBERAL,18-64,STATE,COMPLETE,CD1,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,0.726
STATE ONLY,20.0,21.0,11.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,LAWRENCE,APPROVE,FAVORABLE,GORE,YES,MORE,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,30-50K,LIBERAL,18-64,STATE,COMPLETE,CD1,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.654
STATE ONLY,20.0,21.0,12.0,FIRST CALL,40-44,WHITE,FEMALE,NADER,LAWRENCE,APPROVE,FAVORABLE,GORE,YES,MORE,HEALTHCARE,NO,CLINTON,WORSE,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,NONE,LESS15K,LIBERAL,18-64,STATE,COMPLETE,CD1,30-44,40-49,DEMOCRAT,40-49,NONE,,,0.422
