VERSION,STATEID,PRECINCT,SEQ,CALL,WGT,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,HOU,XWAY2000,GOVTDO,ISSUE,QUAL,RELRIGHT,X6VOTE,UNION4,ABORTION,FINSIT,JOBPERS,WORK,PARTYID,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,HISPANIC,QRACE,REL5,TRACK,PRESKNOW,FTVOTER,SAYANY,ISSVQUAL,VNS1,VNS2,GAY,CLINPRES,NEC,FEC,CLINECON,WEIGHT
NATIONAL YELLOW,44.0,39.0,8.0,FIRST CALL,1337.0,40-44,WHITE,MALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,REP,BUSH,LESS,WORLDAFFAIRS,STRONGLEADER,NO,CLINTON,NONE,MOSTILL,SAME,DIS/UNFAV,YES,ELSE,COLGRAD,OTHERCHRIST,ONCEAWEEK,50-75K,YES,YES,CONSERV,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,30-44,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,RIGHTDIR,,NO,,PERSONALQUAL,WORLDAFFAIRS,STRONGLEADER,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,1.337
NATIONAL YELLOW,44.0,39.0,9.0,FIRST CALL,1337.0,45-49,WHITE,MALE,BUSH,HUTCHISON,APPROVE,FAVORABLE,REP,BUSH,LESS,EDUCATION,STRONGLEADER,NO,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,YES,INDEPEND,POSTGRAD,PROTESTANT,AFEWAYEAR,75-100K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,45-59,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,RIGHTDIR,,NO,,PERSONALQUAL,EDUCATION,STRONGLEADER,NO,NEITHER,GOOD,BETTER,SOMEWHATRESP,1.337
NATIONAL YELLOW,44.0,39.0,10.0,FIRST CALL,1568.0,30-39,WHITE,FEMALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,REP,BUSH,LESS,EDUCATION,GOODJUDGMENT,YES,CLINTON,NONE,ALWYSILL,BETTER,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,WRONGTRACK,,NO,,ISSUES,EDUCATION,GOODJUDGMENT,NO,NEITHER,NOTGOOD,BETTER,SOMEWHATRESP,1.568
NATIONAL GREY,44.0,39.0,11.0,FIRST CALL,2814.0,75+,WHITE,FEMALE,BUSH,HUTCHISON,,,REP,,,,,,,,,,,,REPUBLCN,SOMCOL/ASSOC,,,LESS15K,,,LIBERAL,65+,OMITS,NATIONAL,COMPLETE,DALLAS/FTWTH,60+,60+,REPUBLICAN,65+,NO,WHITE,,,ONLYBUSH,,BOTH,,,,,,,,,2.814
NATIONAL GREY,44.0,39.0,12.0,FIRST CALL,1725.0,25-29,WHITE,FEMALE,BUSH,HUTCHISON,,,REP,,,,,,,,,,,,REPUBLCN,SOMCOL/ASSOC,,,OVER100K,,,CONSERV,18-64,CUTFEDINCTAX,NATIONAL,COMPLETE,DALLAS/FTWTH,18-29,25-29,REPUBLICAN,25-29,NO,WHITE,,,NEITHER,,BOTH,,,,,,,,,1.725
NATIONAL GREY,44.0,39.0,13.0,FIRST CALL,1337.0,45-49,WHITE,MALE,BUSH,HUTCHISON,,,REP,,,,,,,,,,,,INDEPEND,SOMCOL/ASSOC,,,75-100K,,,LIBERAL,18-64,SOCIALSECURI,NATIONAL,COMPLETE,DALLAS/FTWTH,45-59,40-49,IND/OTHER,40-49,NO,WHITE,,,NEITHER,,BOTH,,,,,,,,,1.337
NATIONAL GREY,44.0,39.0,14.0,FIRST CALL,1337.0,45-49,ASIAN,MALE,BUSH,HUTCHISON,,,REP,,,,,,,,,,,,REPUBLCN,COLGRAD,,,OVER100K,,,MODERATE,18-64,REDUCNATDEBT,NATIONAL,COMPLETE,DALLAS/FTWTH,45-59,40-49,REPUBLICAN,40-49,NO,ASIAN,,,BOTH,,BOTH,,,,,,,,,1.337
NATIONAL GREY,44.0,39.0,15.0,FIRST CALL,1568.0,40-44,WHITE,FEMALE,BUSH,HUTCHISON,,,REP,,,,,,,,,,,,REPUBLCN,SOMCOL/ASSOC,,,OVER100K,,,MODERATE,18-64,REDUCNATDEBT,NATIONAL,COMPLETE,DALLAS/FTWTH,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,,,ONLYBUSH,,ONLYGORE,,,,,,,,,1.568
NATIONAL PINK,44.0,39.0,16.0,FIRST CALL,1469.0,25-29,WHITE,MALE,BUSH,HUTCHISON,,,REP,,,,,NO,,NONE,,,,YES,REPUBLCN,,NONE,,50-75K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,18-29,25-29,REPUBLICAN,25-29,NO,WHITE,NONE,,,NO,,,,,,,,,,1.469
NATIONAL PINK,44.0,39.0,17.0,FIRST CALL,1777.0,45-49,WHITE,MALE,BUSH,KELLY,,,REP,,,,,NO,,NONE,,,,YES,REPUBLCN,,PROTESTANT,,50-75K,YES,NO,MODERATE,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,45-59,40-49,REPUBLICAN,40-49,NO,WHITE,PROT/CHRIST,,,NO,,,,,,,,,,1.7770000000000001
NATIONAL PINK,44.0,39.0,18.0,FIRST CALL,2014.0,18-24,HISP,FEMALE,GORE,KELLY,,,DEM,,,,,NO,,NONE,,,,NO,DEMOCRAT,,CATHOLIC,,50-75K,NO,NO,MODERATE,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,18-29,18-24,DEMOCRAT,18-24,YES,HISP,CATHOLIC,,,NO,,,,,,,,,,2.0140000000000002
NATIONAL PINK,44.0,39.0,19.0,FIRST CALL,1725.0,25-29,WHITE,FEMALE,BUSH,HUTCHISON,,,REP,,,,,NO,,NONE,,,,NO,REPUBLCN,,OTHERCHRIST,,50-75K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,18-29,25-29,REPUBLICAN,25-29,NO,WHITE,PROT/CHRIST,,,NO,,,,,,,,,,1.725
NATIONAL PINK,44.0,39.0,20.0,FIRST CALL,1563.0,45-49,BLACK,MALE,GORE,KELLY,,,DEM,,,,,NO,,NONE,,,,YES,DEMOCRAT,,OTHERCHRIST,,30-50K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,45-59,40-49,DEMOCRAT,40-49,NO,BLACK,PROT/CHRIST,,,NO,,,,,,,,,,1.563
NATIONAL WHITE,44.0,39.0,21.0,SECOND CALL,1544.0,25-29,ASIAN,FEMALE,GORE,HUTCHISON,APPROVE,FAVORABLE,DEM,GORE,MORE,OMITS,OMITS,NO,PEROT,SOMEONEELSE,MOSTLGL,BETTER,APP/FAV,NO,INDEPEND,POSTGRAD,OTHERCHRIST,AFEWAYEAR,30-50K,NO,NO,MODERATE,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,18-29,25-29,IND/OTHER,25-29,NO,ASIAN,PROT/CHRIST,RIGHTDIR,,NO,,ISSUES,,,NO,SUPPORTCLIN,GOOD,SAME,SOMEWHATRESP,1.544
NATIONAL WHITE,44.0,39.0,22.0,SECOND CALL,1337.0,40-44,WHITE,MALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,REP,BUSH,LESS,TAXES,HONEST,YES,DOLE,NONE,MOSTILL,WORSE,DIS/UNFAV,YES,REPUBLCN,COLGRAD,PROTESTANT,ONCEAWEEK,75-100K,YES,YES,CONSERV,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,PROT/CHRIST,WRONGTRACK,,NO,,PERSONALQUAL,,,NO,NEITHER,GOOD,SAME,NOTATALLRESP,1.337
NATIONAL WHITE,44.0,39.0,23.0,SECOND CALL,1541.0,30-39,HISP,FEMALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,REP,BUSH,LESS,WORLDAFFAIRS,HONEST,YES,DOLE,NONE,MOSTILL,SAME,DIS/UNFAV,NO,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,30-44,30-39,IND/OTHER,30-39,YES,HISP,PROT/CHRIST,WRONGTRACK,,NO,,ISSUES,,,NO,OPPOSECLIN,GOOD,SAME,NOTTOORESPON,1.541
NATIONAL WHITE,44.0,39.0,24.0,SECOND CALL,1337.0,40-44,WHITE,MALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,REP,BUSH,LESS,TAXES,HONEST,YES,DOLE,SOMEONEELSE,MOSTILL,BETTER,DIS/UNFAV,YES,REPUBLCN,COLGRAD,PROTESTANT,ONCEAWEEK,75-100K,YES,YES,CONSERV,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,PROT/CHRIST,RIGHTDIR,,NO,,PERSONALQUAL,,,NO,OPPOSECLIN,EXCEL,SAME,NOTATALLRESP,1.337
NATIONAL WHITE,44.0,39.0,25.0,SECOND CALL,1337.0,50-59,WHITE,MALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,REP,BUSH,LESS,SOCIALSECUR,HONEST,NO,DOLE,NONE,MOSTILL,SAME,DIS/UNFAV,YES,REPUBLCN,POSTGRAD,PROTESTANT,MORETHAN1AWK,30-50K,YES,YES,CONSERV,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,RIGHTDIR,,NO,,PERSONALQUAL,,,YES,NEITHER,GOOD,SAME,SOMEWHATRESP,1.337
NATIONAL YELLOW,44.0,39.0,26.0,SECOND CALL,1312.0,40-44,HISP,MALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,REP,BUSH,LESS,SOCIALSECUR,HONEST,NO,NOVOTE,NONE,MOSTILL,SAME,DIS/UNFAV,YES,REPUBLCN,COLGRAD,PROTESTANT,ONCEAWEEK,75-100K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,30-44,40-49,REPUBLICAN,40-49,YES,WHITE,PROT/CHRIST,WRONGTRACK,,NO,,ISSUES,SOCIALSECUR,HONEST,NO,OPPOSECLIN,NOTGOOD,BETTER,NOTTOORESPON,1.312
NATIONAL YELLOW,44.0,39.0,27.0,SECOND CALL,1337.0,30-39,WHITE,MALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,REP,BUSH,LESS,TAXES,GOODJUDGMENT,NO,DOLE,NONE,MOSTILL,WORSE,DIS/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,AFEWAMONTH,75-100K,YES,YES,CONSERV,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,WRONGTRACK,,NO,,ISSUES,TAXES,GOODJUDGMENT,NO,OPPOSECLIN,GOOD,BETTER,SOMEWHATRESP,1.337
NATIONAL YELLOW,44.0,39.0,28.0,SECOND CALL,1568.0,50-59,ASIAN,FEMALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,REP,BUSH,LESS,HEALTHCARE,STRONGLEADER,NO,DOLE,NONE,MOSTLGL,BETTER,DIS/UNFAV,YES,REPUBLCN,COLGRAD,CATHOLIC,ONCEAWEEK,75-100K,YES,NO,MODERATE,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,45-59,50-59,REPUBLICAN,50-64,NO,ASIAN,CATHOLIC,RIGHTDIR,,NO,,PERSONALQUAL,HEALTHCARE,STRONGLEADER,NO,NEITHER,GOOD,BETTER,NOTATALLRESP,1.568
NATIONAL YELLOW,44.0,39.0,29.0,SECOND CALL,1568.0,30-39,WHITE,FEMALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,REP,BUSH,LESS,TAXES,STRONGLEADER,NO,DOLE,NONE,MOSTILL,SAME,DIS/UNFAV,NO,REPUBLCN,COLGRAD,OTHERCHRIST,AFEWAMONTH,75-100K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,WRONGTRACK,,NO,,PERSONALQUAL,TAXES,STRONGLEADER,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,1.568
NATIONAL YELLOW,44.0,39.0,30.0,SECOND CALL,1337.0,30-39,WHITE,MALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,REP,BUSH,LESS,SOCIALSECUR,HONEST,NO,DOLE,NONE,MOSTILL,SAME,DIS/UNFAV,YES,REPUBLCN,COLGRAD,ELSE,AFEWAYEAR,50-75K,YES,NO,CONSERV,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,OTHER,RIGHTDIR,,NO,,PERSONALQUAL,SOCIALSECUR,HONEST,NO,OPPOSECLIN,GOOD,SAME,NOTTOORESPON,1.337
NATIONAL GREY,44.0,39.0,31.0,SECOND CALL,1568.0,30-39,WHITE,FEMALE,BUSH,HUTCHISON,,,REP,,,,,,,,,,,,REPUBLCN,COLGRAD,,,OVER100K,,,CONSERV,18-64,CUTFEDINCTAX,NATIONAL,COMPLETE,DALLAS/FTWTH,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,,,BOTH,,BOTH,,,,,,,,,1.568
NATIONAL GREY,44.0,39.0,32.0,SECOND CALL,1568.0,45-49,WHITE,FEMALE,BUSH,HUTCHISON,,,REP,,,,,,,,,,,,REPUBLCN,SOMCOL/ASSOC,,,75-100K,,,CONSERV,18-64,SOCIALSECURI,NATIONAL,COMPLETE,DALLAS/FTWTH,45-59,40-49,REPUBLICAN,40-49,NO,WHITE,,,ONLYBUSH,,ONLYGORE,,,,,,,,,1.568
NATIONAL GREY,44.0,39.0,33.0,SECOND CALL,1725.0,18-24,WHITE,FEMALE,BUSH,HUTCHISON,,,REP,,,,,,,,,,,,REPUBLCN,SOMCOL/ASSOC,,,75-100K,,,LIBERAL,18-64,CUTFEDINCTAX,NATIONAL,COMPLETE,DALLAS/FTWTH,18-29,18-24,REPUBLICAN,18-24,NO,WHITE,,,BOTH,,BOTH,,,,,,,,,1.725
NATIONAL GREY,44.0,39.0,34.0,SECOND CALL,1568.0,30-39,WHITE,FEMALE,BUSH,HUTCHISON,,,REP,,,,,,,,,,,,REPUBLCN,SOMCOL/ASSOC,,,50-75K,,,MODERATE,18-64,SOCIALSECURI,NATIONAL,COMPLETE,DALLAS/FTWTH,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,,,ONLYBUSH,,ONLYGORE,,,,,,,,,1.568
NATIONAL PINK,44.0,39.0,35.0,SECOND CALL,1835.0,40-44,BLACK,FEMALE,GORE,KELLY,,,DEM,,,,,NO,,ME,,,,YES,DEMOCRAT,,OTHERCHRIST,,30-50K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,30-44,40-49,DEMOCRAT,40-49,NO,BLACK,PROT/CHRIST,,,NO,,,,,,,,,,1.835
NATIONAL PINK,44.0,39.0,36.0,SECOND CALL,2855.0,60-64,,MALE,GORE,KELLY,,,DEM,,,,,NO,,NONE,,,,NO,DEMOCRAT,,PROTESTANT,,50-75K,YES,NO,LIBERAL,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,60+,60+,DEMOCRAT,50-64,NO,,PROT/CHRIST,,,NO,,,,,,,,,,2.855
NATIONAL PINK,44.0,39.0,37.0,SECOND CALL,2397.0,60-64,WHITE,MALE,BUSH,HUTCHISON,,,REP,,,,,OMITS,,NONE,,,,YES,REPUBLCN,,OTHERCHRIST,,50-75K,YES,NO,CONSERV,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,60+,60+,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,,,NO,,,,,,,,,,2.3970000000000002
NATIONAL PINK,44.0,39.0,38.0,SECOND CALL,1406.0,30-39,WHITE,FEMALE,GORE,HUTCHISON,,,DEM,,,,,NO,,NONE,,,,YES,DEMOCRAT,,PROTESTANT,,OVER100K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,PROT/CHRIST,,,NO,,,,,,,,,,1.4060000000000001
NATIONAL WHITE,44.0,39.0,39.0,THIRD CALL,1868.0,50-59,WHITE,FEMALE,GORE,KELLY,APPROVE,FAVORABLE,DEM,GORE,MORE,TAXES,CARES,NO,CLINTON,NONE,MOSTLGL,SAME,APP/FAV,YES,DEMOCRAT,COLGRAD,PROTESTANT,ONCEAWEEK,OVER100K,YES,NO,MODERATE,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,PROT/CHRIST,RIGHTDIR,,NO,,ISSUES,,,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,1.868
NATIONAL WHITE,44.0,39.0,40.0,THIRD CALL,1312.0,40-44,HISP,MALE,BUSH,HUTCHISON,APPROVE,UNFAVORABLE,REP,BUSH,LESS,ECON/JOBS,HONEST,NO,DOLE,NONE,MOSTLGL,BETTER,APP/UNFAV,YES,INDEPEND,COLGRAD,PROTESTANT,AFEWAYEAR,50-75K,YES,NO,CONSERV,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,30-44,40-49,IND/OTHER,40-49,YES,HISP,PROT/CHRIST,RIGHTDIR,,NO,,PERSONALQUAL,,,NO,NEITHER,GOOD,BETTER,NOTATALLRESP,1.312
NATIONAL WHITE,44.0,39.0,41.0,THIRD CALL,1337.0,30-39,WHITE,MALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,REP,BUSH,LESS,ECON/JOBS,HONEST,NO,DOLE,NONE,MOSTLGL,BETTER,DIS/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,OVER100K,YES,YES,CONSERV,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,RIGHTDIR,,NO,,OMITS,,,NO,OPPOSECLIN,GOOD,BETTER,VERYRESPONSI,1.337
NATIONAL YELLOW,44.0,39.0,42.0,THIRD CALL,1337.0,30-39,WHITE,MALE,BUSH,HUTCHISON,APPROVE,UNFAVORABLE,REP,BUSH,LESS,SOCIALSECUR,STRONGLEADER,NO,NOVOTE,NONE,MOSTLGL,BETTER,APP/UNFAV,YES,INDEPEND,COLGRAD,PROTESTANT,AFEWAYEAR,50-75K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,30-44,30-39,IND/OTHER,30-39,NO,WHITE,PROT/CHRIST,RIGHTDIR,,NO,,PERSONALQUAL,SOCIALSECUR,STRONGLEADER,NO,OPPOSECLIN,GOOD,SAME,SOMEWHATRESP,1.337
NATIONAL YELLOW,44.0,39.0,43.0,THIRD CALL,1542.0,40-44,BLACK,FEMALE,GORE,,APPROVE,FAVORABLE,DEM,GORE,MORE,EDUCATION,STRONGLEADER,OMITS,CLINTON,NONE,MOSTILL,SAME,APP/FAV,NO,DEMOCRAT,POSTGRAD,OTHERCHRIST,MORETHAN1AWK,50-75K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,30-44,40-49,DEMOCRAT,40-49,,BLACK,PROT/CHRIST,RIGHTDIR,,NO,,PERSONALQUAL,EDUCATION,STRONGLEADER,NO,NEITHER,GOOD,WORSE,SOMEWHATRESP,1.542
NATIONAL YELLOW,44.0,39.0,44.0,THIRD CALL,1592.0,45-49,WHITE,MALE,GORE,KELLY,APPROVE,FAVORABLE,DEM,GORE,MORE,TAXES,COMPLEXISSUE,NO,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,ELSE,AFEWAYEAR,75-100K,YES,NO,LIBERAL,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,OTHER,RIGHTDIR,,NO,,ISSUES,TAXES,COMPLEXISSUE,NO,SUPPORTCLIN,GOOD,SAME,VERYRESPONSI,1.592
NATIONAL YELLOW,44.0,39.0,45.0,THIRD CALL,1568.0,50-59,WHITE,FEMALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,REP,BUSH,LESS,SOCIALSECUR,HONEST,YES,DOLE,NONE,MOSTILL,SAME,DIS/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,AFEWAMONTH,LESS15K,YES,NO,CONSERV,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,WRONGTRACK,,NO,,PERSONALQUAL,SOCIALSECUR,HONEST,NO,OPPOSECLIN,GOOD,SAME,NOTTOORESPON,1.568
NATIONAL GREY,44.0,39.0,46.0,THIRD CALL,2014.0,18-24,BLACK,FEMALE,GORE,KELLY,,,DEM,,,,,,,,,,,,DEMOCRAT,SOMCOL/ASSOC,,,15-30K,,,LIBERAL,18-64,OMITS,NATIONAL,COMPLETE,DALLAS/FTWTH,18-29,18-24,DEMOCRAT,18-24,NO,BLACK,,,ONLYGORE,,ONLYBUSH,,,,,,,,,2.0140000000000002
NATIONAL GREY,44.0,39.0,47.0,THIRD CALL,1592.0,45-49,WHITE,MALE,GORE,KELLY,,,DEM,,,,,,,,,,,,,,,,,,,,18-64,OMITS,NATIONAL,NOTCOMPLETE,DALLAS/FTWTH,45-59,40-49,,40-49,NO,WHITE,,,OMITS,,OMITS,,,,,,,,,1.592
NATIONAL GREY,44.0,39.0,48.0,THIRD CALL,1568.0,50-59,WHITE,FEMALE,BUSH,HUTCHISON,,,REP,,,,,,,,,,,,REPUBLCN,SOMCOL/ASSOC,,,,,,CONSERV,18-64,REDUCNATDEBT,NATIONAL,COMPLETE,DALLAS/FTWTH,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,,,ONLYBUSH,,ONLYGORE,,,,,,,,,1.568
NATIONAL GREY,44.0,39.0,49.0,THIRD CALL,1542.0,40-44,BLACK,FEMALE,GORE,,,,,,,,,,,,,,,,DEMOCRAT,COLGRAD,,,50-75K,,,CONSERV,18-64,REDUCNATDEBT,NATIONAL,COMPLETE,DALLAS/FTWTH,30-44,40-49,DEMOCRAT,40-49,,BLACK,,,ONLYGORE,,BOTH,,,,,,,,,1.542
NATIONAL PINK,44.0,39.0,50.0,THIRD CALL,1406.0,45-49,ASIAN,FEMALE,GORE,HUTCHISON,,,,,,,,NO,,NONE,,,,YES,,,ELSE,,30-50K,YES,NO,,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,45-59,40-49,,40-49,NO,ASIAN,OTHER,,,NO,,,,,,,,,,1.4060000000000001
NATIONAL PINK,44.0,39.0,51.0,THIRD CALL,1493.0,40-44,WHITE,MALE,BUSH,,,,REP,,,,,OMITS,,NONE,,,,YES,DEMOCRAT,,OTHERCHRIST,,50-75K,YES,NO,MODERATE,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,30-44,40-49,DEMOCRAT,40-49,NO,WHITE,PROT/CHRIST,,,NO,,,,,,,,,,1.493
NATIONAL PINK,44.0,39.0,52.0,THIRD CALL,1312.0,45-49,HISP,MALE,BUSH,HUTCHISON,,,REP,,,,,NO,,NONE,,,,YES,REPUBLCN,,CATHOLIC,,75-100K,YES,NO,CONSERV,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,45-59,40-49,REPUBLICAN,40-49,YES,HISP,CATHOLIC,,,NO,,,,,,,,,,1.312
NATIONAL PINK,44.0,39.0,53.0,THIRD CALL,2765.0,60-64,BLACK,FEMALE,GORE,,,,DEM,,,,,NO,,NONE,,,,NO,DEMOCRAT,,OTHERCHRIST,,,NO,NO,MODERATE,18-64,,NATIONAL,COMPLETE,DALLAS/FTWTH,60+,60+,DEMOCRAT,50-64,NO,BLACK,PROT/CHRIST,,,YES,,,,,,,,,,2.765
STATE ONLY,44.0,41.0,1.0,FIRST CALL,99.0,40-44,BLACK,FEMALE,GORE,KELLY,APPROVE,FAVORABLE,DEM,GORE,MORE,WORLDAFFAIRS,CARES,NO,CLINTON,SOMEONEELSE,ALWYSLGL,BETTER,APP/FAV,YES,DEMOCRAT,COLGRAD,NONE,AFEWAYEAR,30-50K,NO,YES,LIBERAL,18-64,,STATE,COMPLETE,DALLAS/FTWTH,30-44,40-49,DEMOCRAT,40-49,NO,BLACK,NONE,RIGHTDIR,,NO,,PERSONALQUAL,,,NO,NEITHER,GOOD,BETTER,VERYRESPONSI,0.099
STATE ONLY,44.0,41.0,2.0,FIRST CALL,108.0,25-29,BLACK,FEMALE,GORE,KELLY,APPROVE,FAVORABLE,DEM,GORE,MORE,ECON/JOBS,CARES,YES,OMITS,NONE,ALWYSLGL,BETTER,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,15-30K,NO,YES,,18-64,,STATE,COMPLETE,DALLAS/FTWTH,18-29,25-29,DEMOCRAT,25-29,NO,BLACK,PROT/CHRIST,RIGHTDIR,,YES,,PERSONALQUAL,,,NO,NEITHER,GOOD,BETTER,VERYRESPONSI,0.108
STATE ONLY,44.0,41.0,3.0,FIRST CALL,83.0,50-59,BLACK,FEMALE,GORE,,APPROVE,FAVORABLE,DEM,GORE,MORE,ECON/JOBS,EXPERIENCE,NO,CLINTON,ME,ALWYSLGL,SAME,APP/FAV,YES,DEMOCRAT,POSTGRAD,PROTESTANT,AFEWAMONTH,50-75K,NO,NO,MODERATE,18-64,,STATE,COMPLETE,DALLAS/FTWTH,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,PROT/CHRIST,RIGHTDIR,,NO,,ISSUES,,,NO,NEITHER,GOOD,BETTER,VERYRESPONSI,0.083
STATE ONLY,44.0,41.0,4.0,FIRST CALL,99.0,50-59,BLACK,FEMALE,GORE,KELLY,OMITS,OMITS,DEM,OMITS,MORE,ECON/JOBS,EXPERIENCE,NO,OMITS,NONE,OMITS,OMITS,,YES,,,,OMITS,,,,,18-64,,STATE,NOTCOMPLETE,DALLAS/FTWTH,45-59,50-59,,50-64,NO,BLACK,,OMITS,,NO,,OMITS,,,,NEITHER,OMITS,OMITS,OMITS,0.099
STATE ONLY,44.0,41.0,5.0,FIRST CALL,99.0,45-49,BLACK,FEMALE,GORE,KELLY,APPROVE,FAVORABLE,DEM,GORE,MORE,SOCIALSECUR,EXPERIENCE,NO,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,YES,DEMOCRAT,HSGRAD,ELSE,MORETHAN1AWK,15-30K,NO,NO,LIBERAL,18-64,,STATE,COMPLETE,DALLAS/FTWTH,45-59,40-49,DEMOCRAT,40-49,NO,BLACK,OTHER,RIGHTDIR,,NO,,ISSUES,,,NO,SUPPORTCLIN,GOOD,SAME,VERYRESPONSI,0.099
