VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,HOU,XWAY2000,X6VOTE,FINSIT,JOBPERS,PARTYID,RELIGION,INCOME,PHIL3,OVER65,LOGO,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,WEIGHT
STATE ONLY,51.0,8.0,1.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,WORSE,DIS/UNFAV,INDEPEND,OTHERCHRIST,15-30K,CONSERV,18-64,,STATE,NORTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,1.043
STATE ONLY,51.0,8.0,2.0,SECOND CALL,30-39,WHITE,MALE,BUCHANAN,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,WOULDNOTVOTE,DOLE,SAME,DIS/UNFAV,ELSE,OTHERCHRIST,15-30K,CONSERV,18-64,YES,STATE,NORTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,0.481
STATE ONLY,51.0,8.0,3.0,SECOND CALL,30-39,WHITE,FEMALE,BUCHANAN,OTHER,DISAPPR,UNFAVORABLE,OTHER,WOULDNOTVOTE,PEROT,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,CONSERV,18-64,NO,STATE,NORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,0.7030000000000001
STATE ONLY,51.0,8.0,4.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,PEROT,WORSE,DIS/UNFAV,DEMOCRAT,OTHERCHRIST,15-30K,LIBERAL,18-64,NO,STATE,NORTH,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,1.043
STATE ONLY,51.0,8.0,5.0,SECOND CALL,30-39,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,CONSERV,18-64,NO,STATE,NORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,1.169
STATE ONLY,51.0,8.0,6.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,OTHERCHRIST,50-75K,CONSERV,18-64,YES,STATE,NORTH,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,1.043
STATE ONLY,51.0,8.0,7.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,CLINTON,SAME,DIS/UNFAV,REPUBLCN,ELSE,15-30K,CONSERV,18-64,YES,STATE,NORTH,30-44,30-39,REPUBLICAN,30-39,OTHER,1.043
STATE ONLY,51.0,8.0,8.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,PEROT,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,MODERATE,18-64,NO,STATE,NORTH,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,1.1420000000000001
STATE ONLY,51.0,8.0,9.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,OMITS,CUBIN,BUSH,DOLE,SAME,OMITS,REPUBLCN,OTHERCHRIST,,MODERATE,65+,NO,STATE,NORTH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,1.1420000000000001
STATE ONLY,51.0,8.0,10.0,SECOND CALL,40-44,,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,OTHERCHRIST,15-30K,CONSERV,18-64,NO,STATE,NORTH,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,1.169
STATE ONLY,51.0,8.0,11.0,SECOND CALL,65-74,WHITE,MALE,BUSH,THOMAS,APPROVE,UNFAVORABLE,CUBIN,BUSH,DOLE,SAME,APP/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,CONSERV,65+,YES,STATE,NORTH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,1.2790000000000001
STATE ONLY,51.0,8.0,12.0,SECOND CALL,30-39,,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,PEROT,SAME,DIS/UNFAV,INDEPEND,OTHERCHRIST,30-50K,CONSERV,18-64,YES,STATE,NORTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,1.169
STATE ONLY,51.0,8.0,13.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,THOMAS,OMITS,UNFAVORABLE,CUBIN,BUSH,NOVOTE,BETTER,OMITS,REPUBLCN,OTHERCHRIST,30-50K,MODERATE,18-64,YES,STATE,NORTH,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,1.1280000000000001
STATE ONLY,51.0,8.0,14.0,SECOND CALL,25-29,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,ELSE,30-50K,CONSERV,18-64,YES,STATE,NORTH,18-29,25-29,REPUBLICAN,25-29,OTHER,1.2630000000000001
STATE ONLY,51.0,8.0,15.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,CONSERV,18-64,YES,STATE,NORTH,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,1.1280000000000001
STATE ONLY,51.0,8.0,16.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,PEROT,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,MODERATE,18-64,NO,STATE,NORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,1.043
STATE ONLY,51.0,8.0,17.0,SECOND CALL,30-39,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,MODERATE,18-64,NO,STATE,NORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,1.169
STATE ONLY,51.0,8.0,18.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,THOMAS,APPROVE,UNFAVORABLE,GREEN,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,PROTESTANT,30-50K,MODERATE,18-64,YES,STATE,NORTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,1.224
STATE ONLY,51.0,8.0,19.0,SECOND CALL,75+,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,OMITS,WORSE,DIS/UNFAV,REPUBLCN,OTHERCHRIST,15-30K,CONSERV,65+,YES,STATE,NORTH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,1.2790000000000001
STATE ONLY,51.0,8.0,20.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,CLINTON,WORSE,DIS/UNFAV,REPUBLCN,OTHERCHRIST,15-30K,CONSERV,18-64,NO,STATE,NORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,1.043
STATE ONLY,51.0,8.0,21.0,SECOND CALL,25-29,WHITE,MALE,BUSH,THOMAS,APPROVE,UNFAVORABLE,CUBIN,BUSH,CLINTON,BETTER,APP/UNFAV,REPUBLCN,OTHERCHRIST,15-30K,CONSERV,18-64,NO,STATE,NORTH,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,1.2630000000000001
STATE ONLY,51.0,8.0,22.0,SECOND CALL,18-24,WHITE,MALE,BUSH,LOGAN,DISAPPR,UNFAVORABLE,GREEN,BUSH,NOVOTE,BETTER,DIS/UNFAV,INDEPEND,ELSE,15-30K,CONSERV,18-64,NO,STATE,NORTH,18-29,18-24,IND/OTHER,18-24,OTHER,1.189
STATE ONLY,51.0,8.0,23.0,SECOND CALL,18-24,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,OTHERCHRIST,15-30K,CONSERV,18-64,NO,STATE,NORTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,1.1280000000000001
STATE ONLY,51.0,8.0,24.0,SECOND CALL,50-59,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,ELSE,30-50K,CONSERV,18-64,NO,STATE,NORTH,45-59,50-59,REPUBLICAN,50-64,OTHER,1.169
STATE ONLY,51.0,8.0,25.0,SECOND CALL,45-49,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,CATHOLIC,50-75K,CONSERV,18-64,YES,STATE,NORTH,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,1.169
STATE ONLY,51.0,8.0,26.0,SECOND CALL,65-74,WHITE,FEMALE,BUCHANAN,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,WOULDNOTVOTE,OTHER,SAME,DIS/UNFAV,REPUBLCN,ELSE,15-30K,MODERATE,65+,YES,STATE,NORTH,60+,60+,REPUBLICAN,65+,OTHER,0.47000000000000003
STATE ONLY,51.0,8.0,27.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,,DISAPPR,UNFAVORABLE,,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,CATHOLIC,,CONSERV,18-64,NO,STATE,NORTH,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,1.037
STATE ONLY,51.0,8.0,28.0,SECOND CALL,30-39,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,15-30K,CONSERV,18-64,YES,STATE,NORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,1.169
STATE ONLY,51.0,8.0,29.0,SECOND CALL,65-74,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,15-30K,CONSERV,65+,YES,STATE,NORTH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,1.2790000000000001
STATE ONLY,51.0,8.0,30.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,THOMAS,APPROVE,UNFAVORABLE,,BUSH,NOVOTE,BETTER,APP/UNFAV,REPUBLCN,OTHERCHRIST,LESS15K,MODERATE,18-64,YES,STATE,NORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,1.0130000000000001
STATE ONLY,51.0,8.0,31.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,PEROT,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,15-30K,MODERATE,18-64,NO,STATE,NORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,1.043
STATE ONLY,51.0,8.0,32.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,ELSE,LESS15K,MODERATE,18-64,NO,STATE,NORTH,45-59,40-49,REPUBLICAN,40-49,OTHER,1.043
STATE ONLY,51.0,8.0,33.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,,BUSH,PEROT,BETTER,DIS/UNFAV,REPUBLCN,OTHERCHRIST,LESS15K,CONSERV,18-64,NO,STATE,NORTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,1.096
STATE ONLY,51.0,8.0,34.0,THIRD CALL,60-64,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,PEROT,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,LESS15K,CONSERV,18-64,NO,STATE,NORTH,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,1.2790000000000001
STATE ONLY,51.0,8.0,35.0,THIRD CALL,25-29,WHITE,MALE,BUSH,THOMAS,APPROVE,UNFAVORABLE,CUBIN,BUSH,DOLE,BETTER,APP/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,CONSERV,18-64,YES,STATE,NORTH,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,1.2630000000000001
STATE ONLY,51.0,8.0,36.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,OTHERCHRIST,50-75K,CONSERV,18-64,YES,STATE,NORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,1.043
STATE ONLY,51.0,8.0,37.0,THIRD CALL,50-59,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,50-75K,CONSERV,18-64,NO,STATE,NORTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,1.169
STATE ONLY,51.0,8.0,38.0,THIRD CALL,30-39,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,,CONSERV,18-64,YES,STATE,NORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,1.169
STATE ONLY,51.0,8.0,39.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,OTHERCHRIST,15-30K,CONSERV,18-64,NO,STATE,NORTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,1.043
STATE ONLY,51.0,8.0,40.0,THIRD CALL,40-44,HISP,FEMALE,GORE,THOMAS,APPROVE,UNFAVORABLE,CUBIN,WOULDNOTVOTE,CLINTON,SAME,APP/UNFAV,REPUBLCN,ELSE,30-50K,MODERATE,18-64,YES,STATE,NORTH,30-44,40-49,REPUBLICAN,40-49,OTHER,1.35
STATE ONLY,51.0,9.0,1.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,LOGAN,APPROVE,UNFAVORABLE,CUBIN,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,CATHOLIC,30-50K,CONSERV,18-64,YES,STATE,NORTH,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,0.6950000000000001
STATE ONLY,51.0,9.0,2.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,18-64,YES,STATE,NORTH,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,0.481
STATE ONLY,51.0,9.0,3.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,NO,STATE,NORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,0.439
STATE ONLY,51.0,9.0,4.0,FIRST CALL,40-44,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,18-64,NO,STATE,NORTH,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,0.494
STATE ONLY,51.0,9.0,5.0,FIRST CALL,45-49,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,SAME,DIS/UNFAV,INDEPEND,NONE,50-75K,MODERATE,18-64,NO,STATE,NORTH,45-59,40-49,IND/OTHER,40-49,NONE,0.494
STATE ONLY,51.0,9.0,6.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,LOGAN,APPROVE,UNFAVORABLE,CUBIN,GORE,CLINTON,WORSE,APP/UNFAV,INDEPEND,OTHERCHRIST,30-50K,MODERATE,18-64,YES,STATE,NORTH,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,0.644
STATE ONLY,51.0,9.0,7.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,CLINTON,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,MODERATE,18-64,NO,STATE,NORTH,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,0.439
STATE ONLY,51.0,9.0,8.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,15-30K,CONSERV,18-64,YES,STATE,NORTH,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,0.481
STATE ONLY,51.0,9.0,9.0,FIRST CALL,45-49,WHITE,MALE,GORE,LOGAN,APPROVE,UNFAVORABLE,GREEN,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,PROTESTANT,50-75K,MODERATE,18-64,YES,STATE,NORTH,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,0.628
STATE ONLY,51.0,9.0,10.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,GORE,NOVOTE,WORSE,DIS/UNFAV,INDEPEND,CATHOLIC,30-50K,LIBERAL,18-64,NO,STATE,NORTH,30-44,40-49,IND/OTHER,40-49,CATHOLIC,0.439
STATE ONLY,51.0,9.0,11.0,FIRST CALL,65-74,WHITE,MALE,GORE,LOGAN,APPROVE,UNFAVORABLE,GREEN,GORE,CLINTON,SAME,APP/UNFAV,DEMOCRAT,PROTESTANT,15-30K,MODERATE,65+,YES,STATE,NORTH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,0.685
STATE ONLY,51.0,9.0,12.0,FIRST CALL,45-49,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,OTHERCHRIST,75-100K,MODERATE,18-64,NO,STATE,NORTH,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,0.494
STATE ONLY,51.0,9.0,13.0,FIRST CALL,45-49,WHITE,FEMALE,BUCHANAN,LOGAN,DISAPPR,UNFAVORABLE,GREEN,WOULDNOTVOTE,PEROT,SAME,DIS/UNFAV,REPUBLCN,JEWISH,30-50K,LIBERAL,18-64,NO,STATE,NORTH,45-59,40-49,REPUBLICAN,40-49,JEWISH,0.171
STATE ONLY,51.0,9.0,14.0,FIRST CALL,75+,WHITE,FEMALE,GORE,LOGAN,DISAPPR,UNFAVORABLE,GREEN,GORE,CLINTON,SAME,DIS/UNFAV,DEMOCRAT,PROTESTANT,50-75K,LIBERAL,65+,YES,STATE,NORTH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,0.612
STATE ONLY,51.0,9.0,15.0,SECOND CALL,30-39,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,WORSE,DIS/UNFAV,INDEPEND,OTHERCHRIST,15-30K,CONSERV,18-64,YES,STATE,NORTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,0.494
STATE ONLY,51.0,9.0,16.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,CATHOLIC,30-50K,CONSERV,18-64,YES,STATE,NORTH,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,0.439
STATE ONLY,51.0,9.0,17.0,SECOND CALL,30-39,WHITE,MALE,BUSH,THOMAS,DISAPPR,FAVORABLE,CUBIN,BUSH,DOLE,WORSE,DIS/FAV,INDEPEND,CATHOLIC,30-50K,CONSERV,18-64,NO,STATE,NORTH,30-44,30-39,IND/OTHER,30-39,CATHOLIC,0.494
STATE ONLY,51.0,9.0,18.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,MODERATE,18-64,NO,STATE,NORTH,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,0.47500000000000003
STATE ONLY,51.0,9.0,19.0,SECOND CALL,60-64,WHITE,MALE,BUSH,THOMAS,OMITS,UNFAVORABLE,CUBIN,BUSH,PEROT,SAME,OMITS,REPUBLCN,PROTESTANT,,CONSERV,18-64,NO,STATE,NORTH,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,0.539
STATE ONLY,51.0,9.0,20.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,LOGAN,APPROVE,UNFAVORABLE,GREEN,GORE,CLINTON,SAME,APP/UNFAV,DEMOCRAT,PROTESTANT,75-100K,MODERATE,18-64,YES,STATE,NORTH,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,0.558
STATE ONLY,51.0,9.0,21.0,SECOND CALL,30-39,WHITE,MALE,BUSH,THOMAS,APPROVE,UNFAVORABLE,CUBIN,BUSH,DOLE,WORSE,APP/UNFAV,REPUBLCN,CATHOLIC,50-75K,MODERATE,18-64,NO,STATE,NORTH,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,0.494
STATE ONLY,51.0,9.0,22.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,THOMAS,APPROVE,UNFAVORABLE,CUBIN,BUSH,DOLE,BETTER,APP/UNFAV,REPUBLCN,PROTESTANT,30-50K,MODERATE,18-64,NO,STATE,NORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,0.439
STATE ONLY,51.0,9.0,23.0,SECOND CALL,18-24,WHITE,MALE,BUSH,THOMAS,APPROVE,FAVORABLE,CUBIN,BUSH,PEROT,WORSE,APP/FAV,INDEPEND,OTHERCHRIST,15-30K,LIBERAL,18-64,YES,STATE,NORTH,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,0.534
STATE ONLY,51.0,9.0,24.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,,APPROVE,UNFAVORABLE,,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,OTHERCHRIST,50-75K,MODERATE,18-64,YES,STATE,NORTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,0.591
STATE ONLY,51.0,9.0,25.0,SECOND CALL,45-49,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,50-75K,MODERATE,18-64,NO,STATE,NORTH,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,0.494
STATE ONLY,51.0,9.0,26.0,SECOND CALL,25-29,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,MODERATE,18-64,YES,STATE,NORTH,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,0.534
STATE ONLY,51.0,9.0,27.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,LOGAN,APPROVE,OMITS,GREEN,GORE,PEROT,BETTER,OMITS,INDEPEND,CATHOLIC,30-50K,LIBERAL,18-64,YES,STATE,NORTH,45-59,40-49,IND/OTHER,40-49,CATHOLIC,0.558
STATE ONLY,51.0,9.0,28.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,THOMAS,APPROVE,UNFAVORABLE,CUBIN,BUSH,PEROT,WORSE,APP/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,NO,STATE,NORTH,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,0.439
STATE ONLY,51.0,9.0,29.0,SECOND CALL,18-24,WHITE,FEMALE,BUSH,,DISAPPR,UNFAVORABLE,,BUSH,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,NONE,75-100K,MODERATE,18-64,YES,STATE,NORTH,18-29,18-24,REPUBLICAN,18-24,NONE,0.47200000000000003
STATE ONLY,51.0,9.0,30.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,OTHER,DISAPPR,UNFAVORABLE,OTHER,BUSH,OTHER,BETTER,DIS/UNFAV,REPUBLCN,CATHOLIC,OVER100K,CONSERV,18-64,YES,STATE,NORTH,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,0.72
STATE ONLY,51.0,9.0,31.0,SECOND CALL,30-39,,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,CLINTON,BETTER,DIS/UNFAV,INDEPEND,OTHERCHRIST,50-75K,MODERATE,18-64,YES,STATE,NORTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,0.494
STATE ONLY,51.0,9.0,32.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,15-30K,CONSERV,18-64,YES,STATE,NORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,0.439
STATE ONLY,51.0,9.0,33.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,THOMAS,OMITS,UNFAVORABLE,CUBIN,BUSH,DOLE,SAME,OMITS,REPUBLCN,OTHERCHRIST,30-50K,MODERATE,18-64,NO,STATE,NORTH,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,0.47500000000000003
STATE ONLY,51.0,9.0,34.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,,OMITS,OMITS,CUBIN,BUSH,NOVOTE,SAME,OMITS,REPUBLCN,OTHERCHRIST,15-30K,LIBERAL,18-64,YES,STATE,NORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,0.45
STATE ONLY,51.0,9.0,35.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,THOMAS,APPROVE,FAVORABLE,CUBIN,WOULDNOTVOTE,CLINTON,BETTER,APP/FAV,DEMOCRAT,NONE,50-75K,LIBERAL,18-64,YES,STATE,NORTH,30-44,30-39,DEMOCRAT,30-39,NONE,0.594
STATE ONLY,51.0,9.0,36.0,THIRD CALL,18-24,WHITE,MALE,BUCHANAN,LOGAN,DISAPPR,UNFAVORABLE,GREEN,GORE,DOLE,BETTER,DIS/UNFAV,DEMOCRAT,PROTESTANT,30-50K,MODERATE,18-64,NO,STATE,NORTH,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,0.20800000000000002
STATE ONLY,51.0,9.0,37.0,THIRD CALL,30-39,WHITE,MALE,BUSH,THOMAS,APPROVE,UNFAVORABLE,CUBIN,BUSH,DOLE,BETTER,APP/UNFAV,REPUBLCN,OTHERCHRIST,50-75K,CONSERV,18-64,YES,STATE,NORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,0.494
