VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,PROPSC,GOVTDO,ISSLOTT,ISSUE,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,41.0,23.0,31.0,THIRD CALL,25-29,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,LESS,MONEYFOREDUC,EDUCATION,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,COMPLETE,COLUMBIA,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,0.212
STATE ONLY,41.0,23.0,32.0,THIRD CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,MONEYFOREDUC,EDUCATION,NO,PEROT,BETTER,DIS/UNFAV,ELSE,SOMCOL/ASSOC,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,COMPLETE,COLUMBIA,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.227
STATE ONLY,41.0,23.0,33.0,THIRD CALL,40-44,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,MORE,MORALISSUES,TAXES,YES,CLINTON,WORSE,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,ELSE,15-30K,MODERATE,18-64,STATE,COMPLETE,COLUMBIA,30-44,40-49,DEMOCRAT,40-49,OTHER,,,0.264
STATE ONLY,41.0,23.0,34.0,THIRD CALL,45-49,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,MORE,CHURCHPOSITI,WORLDAFFAIRS,YES,CLINTON,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,COMPLETE,COLUMBIA,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.264
STATE ONLY,41.0,23.0,35.0,THIRD CALL,50-59,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,YES,MORE,MONEYFOREDUC,MEDICARE/RX,YES,CLINTON,WORSE,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,COMPLETE,COLUMBIA,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.257
STATE ONLY,41.0,23.0,36.0,THIRD CALL,25-29,BLACK,FEMALE,GORE,OMITS,OMITS,OMITS,YES,MORE,MONEYFOREDUC,MEDICARE/RX,YES,OMITS,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,COLUMBIA,18-29,25-29,,25-29,,,,0.212
STATE ONLY,41.0,23.0,37.0,THIRD CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,MONEYFOREDUC,ECON/JOBS,NO,DOLE,SAME,DIS/UNFAV,INDEPEND,HSGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,COLUMBIA,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.227
STATE ONLY,41.0,23.0,38.0,THIRD CALL,45-49,BLACK,FEMALE,GORE,APPROVE,OMITS,GORE,YES,MORE,PEOPLEFREE,SOCIALSECUR,YES,CLINTON,SAME,OMITS,DEMOCRAT,HSGRAD,OTHERCHRIST,LESS15K,CONSERV,18-64,STATE,COMPLETE,COLUMBIA,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.228
STATE ONLY,41.0,23.0,39.0,THIRD CALL,,BLACK,MALE,GORE,OMITS,OMITS,GORE,,OMITS,PEOPLEFREE,OMITS,YES,CLINTON,WORSE,OMITS,DEMOCRAT,NOHS,PROTESTANT,LESS15K,,,STATE,COMPLETE,COLUMBIA,,,DEMOCRAT,,PROT/CHRIST,,,0.26
STATE ONLY,41.0,23.0,40.0,THIRD CALL,45-49,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,YES,LESS,MONEYFOREDUC,ECON/JOBS,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,LESS15K,CONSERV,18-64,STATE,COMPLETE,COLUMBIA,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.257
STATE ONLY,41.0,23.0,41.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,OMITS,OMITS,OMITS,NO,MORE,MONEYFOREDUC,OMITS,YES,OMITS,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,COLUMBIA,45-59,50-59,,50-64,,,,0.234
STATE ONLY,41.0,23.0,42.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,MORE,MONEYFOREDUC,HEALTHCARE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,ELSE,15-30K,LIBERAL,18-64,STATE,COMPLETE,COLUMBIA,30-44,40-49,DEMOCRAT,40-49,OTHER,,,0.228
STATE ONLY,41.0,23.0,43.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,MORE,MONEYFOREDUC,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,ELSE,50-75K,MODERATE,18-64,STATE,COMPLETE,COLUMBIA,30-44,40-49,DEMOCRAT,40-49,OTHER,,,0.228
STATE ONLY,41.0,23.0,44.0,THIRD CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,MYPARTYPOSIT,SOCIALSECUR,NO,CLINTON,WORSE,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,ELSE,50-75K,LIBERAL,18-64,STATE,COMPLETE,COLUMBIA,45-59,50-59,IND/OTHER,50-64,OTHER,,,0.234
STATE ONLY,41.0,23.0,45.0,THIRD CALL,45-49,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,MORE,MONEYFOREDUC,ECON/JOBS,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,LIBERAL,18-64,STATE,COMPLETE,COLUMBIA,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.228
STATE ONLY,41.0,23.0,46.0,THIRD CALL,50-59,BLACK,FEMALE,BUSH,APPROVE,OMITS,BUSH,YES,MORE,MONEYFOREDUC,SOCIALSECUR,YES,OMITS,SAME,OMITS,DEMOCRAT,HSGRAD,NONE,LESS15K,,18-64,STATE,COMPLETE,COLUMBIA,45-59,50-59,DEMOCRAT,50-64,NONE,,,0.19
STATE ONLY,41.0,23.0,47.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,MORE,MONEYFOREDUC,TAXES,NO,PEROT,SAME,DIS/UNFAV,ELSE,SOMCOL/ASSOC,OTHERCHRIST,15-30K,,18-64,STATE,COMPLETE,COLUMBIA,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,0.187
STATE ONLY,41.0,23.0,48.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,MORE,MORALISSUES,WORLDAFFAIRS,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,COMPLETE,COLUMBIA,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.234
STATE ONLY,41.0,23.0,49.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,LESS,MONEYFOREDUC,EDUCATION,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,COMPLETE,COLUMBIA,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,0.225
STATE ONLY,41.0,23.0,50.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,LESS,MONEYFOREDUC,HEALTHCARE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,15-30K,CONSERV,18-64,STATE,COMPLETE,COLUMBIA,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.242
STATE ONLY,41.0,26.0,1.0,FIRST CALL,60-64,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,MONEYFOREDUC,TAXES,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,COLUMBIA,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,1.105
STATE ONLY,41.0,26.0,2.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,OMITS,OMITS,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,COLUMBIA,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,0.981
STATE ONLY,41.0,26.0,3.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,APPROVE,FAVORABLE,BUSH,YES,LESS,MONEYFOREDUC,OMITS,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,65+,STATE,COMPLETE,COLUMBIA,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.981
STATE ONLY,41.0,26.0,4.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,LESS,PEOPLEFREE,TAXES,NO,CLINTON,BETTER,APP/FAV,INDEPEND,HSGRAD,PROTESTANT,30-50K,LIBERAL,18-64,STATE,COMPLETE,COLUMBIA,60+,60+,IND/OTHER,50-64,PROT/CHRIST,,,1.178
STATE ONLY,41.0,26.0,5.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,YES,MORE,MONEYFOREDUC,SOCIALSECUR,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,CATHOLIC,30-50K,CONSERV,18-64,STATE,COMPLETE,COLUMBIA,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.855
STATE ONLY,41.0,26.0,6.0,FIRST CALL,25-29,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,MONEYFOREDUC,ECON/JOBS,NO,CLINTON,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,COLUMBIA,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,0.659
STATE ONLY,41.0,26.0,7.0,FIRST CALL,45-49,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,MORE,CHURCHPOSITI,SOCIALSECUR,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,OTHERCHRIST,LESS15K,LIBERAL,18-64,STATE,COMPLETE,COLUMBIA,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.8260000000000001
STATE ONLY,41.0,26.0,8.0,FIRST CALL,60-64,WHITE,MALE,OTHER,APPROVE,FAVORABLE,BUSH,NO,LESS,MORALISSUES,TAXES,NO,DOLE,SAME,APP/FAV,ELSE,POSTGRAD,JEWISH,OVER100K,CONSERV,18-64,STATE,COMPLETE,COLUMBIA,60+,60+,IND/OTHER,50-64,JEWISH,,,2.052
STATE ONLY,41.0,26.0,9.0,FIRST CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,MONEYFOREDUC,OMITS,NO,CLINTON,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,OVER100K,,18-64,STATE,COMPLETE,COLUMBIA,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.8
STATE ONLY,41.0,26.0,10.0,FIRST CALL,65-74,WHITE,MALE,OTHER,APPROVE,UNFAVORABLE,WOULDNOTVOTE,NO,LESS,MORALISSUES,WORLDAFFAIRS,NO,OTHER,SAME,APP/UNFAV,DEMOCRAT,POSTGRAD,PROTESTANT,75-100K,MODERATE,65+,STATE,COMPLETE,COLUMBIA,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,2.052
STATE ONLY,41.0,26.0,11.0,FIRST CALL,65-74,WHITE,FEMALE,NADER,DISAPPR,UNFAVORABLE,GORE,NO,LESS,MORALISSUES,WORLDAFFAIRS,NO,CLINTON,SAME,DIS/UNFAV,DEMOCRAT,POSTGRAD,PROTESTANT,75-100K,LIBERAL,65+,STATE,COMPLETE,COLUMBIA,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.577
STATE ONLY,41.0,26.0,12.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,OMITS,UNFAVORABLE,BUSH,NO,MORE,CHURCHPOSITI,WORLDAFFAIRS,NO,OTHER,SAME,OMITS,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,15-30K,,18-64,STATE,COMPLETE,COLUMBIA,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.729
STATE ONLY,41.0,26.0,13.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,MORALISSUES,EDUCATION,NO,DOLE,WORSE,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,COLUMBIA,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.729
STATE ONLY,41.0,26.0,14.0,FIRST CALL,65-74,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,YES,MORE,MONEYFOREDUC,WORLDAFFAIRS,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,75-100K,MODERATE,65+,STATE,COMPLETE,COLUMBIA,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.327
STATE ONLY,41.0,26.0,15.0,FIRST CALL,65-74,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,MYPARTYPOSIT,WORLDAFFAIRS,NO,OTHER,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,CONSERV,65+,STATE,COMPLETE,COLUMBIA,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.1340000000000001
STATE ONLY,41.0,26.0,16.0,FIRST CALL,25-29,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,LESS,MORALISSUES,ECON/JOBS,YES,DOLE,BETTER,APP/UNFAV,REPUBLCN,COLGRAD,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,COMPLETE,COLUMBIA,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,0.762
STATE ONLY,41.0,26.0,17.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,MORE,MORALISSUES,HEALTHCARE,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,LESS15K,CONSERV,18-64,STATE,COMPLETE,COLUMBIA,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.711
STATE ONLY,41.0,26.0,18.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,MORALISSUES,MEDICARE/RX,YES,DOLE,SAME,DIS/UNFAV,INDEPEND,COLGRAD,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,COLUMBIA,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.729
STATE ONLY,41.0,26.0,19.0,SECOND CALL,50-59,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,YES,MORE,MONEYFOREDUC,SOCIALSECUR,NO,CLINTON,BETTER,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,75-100K,MODERATE,18-64,STATE,COMPLETE,COLUMBIA,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.963
STATE ONLY,41.0,26.0,20.0,SECOND CALL,18-24,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,MORE,MYPARTYPOSIT,MEDICARE/RX,NO,NOVOTE,BETTER,APP/UNFAV,REPUBLCN,COLGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,COLUMBIA,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.8130000000000001
STATE ONLY,41.0,26.0,21.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,MORE,MORALISSUES,ECON/JOBS,NO,DOLE,BETTER,APP/UNFAV,DEMOCRAT,HSGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,COLUMBIA,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.876
STATE ONLY,41.0,26.0,22.0,SECOND CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,MORE,MONEYFOREDUC,TAXES,YES,NOVOTE,SAME,DIS/UNFAV,INDEPEND,COLGRAD,OTHERCHRIST,15-30K,CONSERV,18-64,STATE,COMPLETE,COLUMBIA,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.8210000000000001
STATE ONLY,41.0,26.0,23.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,YES,LESS,MONEYFOREDUC,ECON/JOBS,OMITS,NOVOTE,BETTER,APP/UNFAV,REPUBLCN,SOMCOL/ASSOC,ELSE,30-50K,MODERATE,18-64,STATE,COMPLETE,COLUMBIA,30-44,40-49,REPUBLICAN,40-49,OTHER,,,0.711
STATE ONLY,41.0,26.0,24.0,SECOND CALL,30-39,BLACK,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,MONEYFOREDUC,TAXES,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,OTHERCHRIST,OVER100K,CONSERV,18-64,STATE,COMPLETE,COLUMBIA,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.754
STATE ONLY,41.0,26.0,25.0,SECOND CALL,50-59,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,YES,MORE,MONEYFOREDUC,WORLDAFFAIRS,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,CONSERV,18-64,STATE,COMPLETE,COLUMBIA,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.908
STATE ONLY,41.0,26.0,26.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,MORE,MORALISSUES,MEDICARE/RX,NO,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,COMPLETE,COLUMBIA,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,0.677
STATE ONLY,41.0,26.0,27.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,MORALISSUES,OMITS,YES,DOLE,SAME,DIS/UNFAV,,HSGRAD,PROTESTANT,LESS15K,CONSERV,65+,STATE,COMPLETE,COLUMBIA,60+,60+,,65+,PROT/CHRIST,,,1.0050000000000001
STATE ONLY,41.0,26.0,28.0,SECOND CALL,40-44,WHITE,MALE,NADER,APPROVE,FAVORABLE,GORE,,MORE,OMITS,WORLDAFFAIRS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,OVER100K,LIBERAL,18-64,STATE,COMPLETE,COLUMBIA,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.465
STATE ONLY,41.0,26.0,29.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,DISAPPR,UNFAVORABLE,GORE,YES,LESS,MONEYFOREDUC,ECON/JOBS,NO,CLINTON,BETTER,DIS/UNFAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,COLUMBIA,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.855
STATE ONLY,41.0,26.0,30.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,OMITS,MYPARTYPOSIT,EDUCATION,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,COLUMBIA,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.876
STATE ONLY,41.0,26.0,31.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,MORE,MORALISSUES,EDUCATION,NO,CLINTON,BETTER,APP/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,50-75K,CONSERV,18-64,STATE,COMPLETE,COLUMBIA,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.729
STATE ONLY,41.0,26.0,32.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,MONEYFOREDUC,OMITS,NO,DOLE,SAME,DIS/UNFAV,INDEPEND,HSGRAD,PROTESTANT,75-100K,MODERATE,18-64,STATE,COMPLETE,COLUMBIA,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.711
STATE ONLY,41.0,26.0,33.0,THIRD CALL,50-59,WHITE,,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,MONEYFOREDUC,OMITS,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,LESS15K,MODERATE,18-64,STATE,COMPLETE,COLUMBIA,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.711
STATE ONLY,41.0,26.0,34.0,THIRD CALL,30-39,WHITE,MALE,NADER,APPROVE,UNFAVORABLE,GORE,YES,MORE,MORALISSUES,HEALTHCARE,NO,CLINTON,BETTER,APP/UNFAV,ELSE,POSTGRAD,PROTESTANT,50-75K,LIBERAL,18-64,STATE,COMPLETE,COLUMBIA,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.459
STATE ONLY,41.0,26.0,35.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,MORE,CHURCHPOSITI,HEALTHCARE,YES,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,LIBERAL,18-64,STATE,COMPLETE,COLUMBIA,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.805
STATE ONLY,41.0,26.0,36.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,MORE,MORALISSUES,OMITS,OMITS,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,OTHERCHRIST,,CONSERV,18-64,STATE,COMPLETE,COLUMBIA,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.677
STATE ONLY,41.0,26.0,37.0,THIRD CALL,40-44,WHITE,FEMALE,NADER,APPROVE,FAVORABLE,GORE,YES,MORE,MONEYFOREDUC,HEALTHCARE,NO,CLINTON,SAME,APP/FAV,ELSE,POSTGRAD,PROTESTANT,30-50K,LIBERAL,18-64,STATE,COMPLETE,COLUMBIA,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.406
STATE ONLY,41.0,26.0,38.0,THIRD CALL,45-49,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,LESS,CASTPARTISAN,WORLDAFFAIRS,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,COLGRAD,OTHERCHRIST,15-30K,CONSERV,18-64,STATE,COMPLETE,COLUMBIA,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.805
STATE ONLY,41.0,26.0,39.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,MORE,MYPARTYPOSIT,EDUCATION,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,NOHS,ELSE,30-50K,MODERATE,18-64,STATE,COMPLETE,COLUMBIA,30-44,30-39,REPUBLICAN,30-39,OTHER,,,0.729
STATE ONLY,41.0,26.0,40.0,THIRD CALL,75+,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,MORE,PEOPLEFREE,TAXES,YES,CLINTON,BETTER,DIS/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,OVER100K,CONSERV,65+,STATE,COMPLETE,COLUMBIA,60+,60+,REPUBLICAN,65+,CATHOLIC,,,1.1340000000000001
STATE ONLY,41.0,26.0,41.0,THIRD CALL,25-29,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,YES,LESS,MONEYFOREDUC,WORLDAFFAIRS,NO,NOVOTE,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,75-100K,MODERATE,18-64,STATE,COMPLETE,COLUMBIA,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,0.841
STATE ONLY,41.0,26.0,42.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,OMITS,MORALISSUES,WORLDAFFAIRS,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,50-75K,CONSERV,18-64,STATE,COMPLETE,COLUMBIA,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.729
STATE ONLY,41.0,26.0,43.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,MORE,MORALISSUES,OMITS,YES,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,75-100K,CONSERV,18-64,STATE,COMPLETE,COLUMBIA,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,0.677
STATE ONLY,41.0,26.0,44.0,THIRD CALL,40-44,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,MORALISSUES,TAXES,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,75-100K,CONSERV,18-64,STATE,COMPLETE,COLUMBIA,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.8210000000000001
STATE ONLY,41.0,26.0,45.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,DISAPPR,UNFAVORABLE,GORE,NO,MORE,MORALISSUES,MEDICARE/RX,NO,DOLE,BETTER,DIS/UNFAV,DEMOCRAT,POSTGRAD,PROTESTANT,OVER100K,LIBERAL,18-64,STATE,COMPLETE,COLUMBIA,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.876
STATE ONLY,41.0,26.0,46.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,MORE,MONEYFOREDUC,SOCIALSECUR,NO,CLINTON,WORSE,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,LESS15K,LIBERAL,18-64,STATE,COMPLETE,COLUMBIA,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.711
