VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,GOV,CLINTON,BCPERSON,HOU,XWAY2000,ISSUE,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,FORESTS,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,27.0,17.0,28.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,ECON/JOBS,DOLE,WORSE,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,30-50K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,1.039
STATE ONLY,27.0,17.0,29.0,THIRD CALL,25-29,WHITE,MALE,BUSH,BURNS,MARTZ,OMITS,OMITS,REHBERG,OMITS,EDUCATION,OMITS,OMITS,,,,,,,18-64,OMITS,STATE,NOTCOMPLETE,RURALWEST,18-29,25-29,,25-29,,,,1.133
STATE ONLY,27.0,17.0,30.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,WORLDAFFAIRS,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,15-30K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,1.039
STATE ONLY,27.0,17.0,31.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,SCHWEITZER,OKEEFE,DISAPPR,UNFAVORABLE,REHBERG,WOULDNOTVOTE,TAXES,CLINTON,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,1.243
STATE ONLY,27.0,17.0,32.0,THIRD CALL,30-39,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,TAXES,PEROT,WORSE,DIS/UNFAV,REPUBLCN,NOHS,NONE,30-50K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,30-44,30-39,REPUBLICAN,30-39,NONE,,,1.08
STATE ONLY,27.0,17.0,33.0,THIRD CALL,18-24,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,WORLDAFFAIRS,NOVOTE,SAME,DIS/UNFAV,INDEPEND,HSGRAD,OTHERCHRIST,,CONSERV,18-64,OMITS,STATE,COMPLETE,RURALWEST,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,1.133
STATE ONLY,27.0,17.0,34.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,SOCIALSECUR,DOLE,WORSE,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,75-100K,MODERATE,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.99
STATE ONLY,27.0,17.0,35.0,THIRD CALL,30-39,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,HEALTHCARE,DOLE,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,OTHERCHRIST,30-50K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.08
STATE ONLY,27.0,17.0,36.0,THIRD CALL,40-44,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,TAXES,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,OTHERCHRIST,50-75K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.08
STATE ONLY,27.0,17.0,37.0,THIRD CALL,45-49,WHITE,MALE,GORE,SCHWEITZER,OKEEFE,APPROVE,FAVORABLE,KEENAN,GORE,EDUCATION,CLINTON,BETTER,APP/FAV,INDEPEND,POSTGRAD,PROTESTANT,OVER100K,MODERATE,18-64,HELPSTATE,STATE,COMPLETE,RURALWEST,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.038
STATE ONLY,27.0,20.0,1.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,SCHWEITZER,OKEEFE,OMITS,UNFAVORABLE,KEENAN,GORE,OMITS,OMITS,OMITS,OMITS,DEMOCRAT,,,,,18-64,OMITS,STATE,COMPLETE,RURALWEST,45-59,50-59,DEMOCRAT,50-64,,,,1.43
STATE ONLY,27.0,20.0,2.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,SCHWEITZER,OKEEFE,APPROVE,UNFAVORABLE,KEENAN,GORE,EDUCATION,CLINTON,SAME,APP/UNFAV,DEMOCRAT,COLGRAD,PROTESTANT,50-75K,LIBERAL,18-64,OMITS,STATE,COMPLETE,RURALWEST,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,1.502
STATE ONLY,27.0,20.0,3.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,SCHWEITZER,OKEEFE,APPROVE,UNFAVORABLE,REHBERG,GORE,OMITS,CLINTON,BETTER,APP/UNFAV,INDEPEND,COLGRAD,CATHOLIC,75-100K,MODERATE,18-64,HELPSTATE,STATE,COMPLETE,RURALWEST,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,1.311
STATE ONLY,27.0,20.0,4.0,FIRST CALL,30-39,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,WORLDAFFAIRS,DOLE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,50-75K,MODERATE,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,1.618
STATE ONLY,27.0,20.0,5.0,FIRST CALL,25-29,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,ECON/JOBS,DOLE,WORSE,DIS/UNFAV,REPUBLCN,COLGRAD,OTHERCHRIST,30-50K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,1.698
STATE ONLY,27.0,20.0,6.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,SCHWEITZER,OKEEFE,APPROVE,UNFAVORABLE,KEENAN,GORE,WORLDAFFAIRS,CLINTON,SAME,APP/UNFAV,DEMOCRAT,POSTGRAD,PROTESTANT,75-100K,LIBERAL,18-64,HELPSTATE,STATE,COMPLETE,RURALWEST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.43
STATE ONLY,27.0,20.0,7.0,FIRST CALL,50-59,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,EDUCATION,DOLE,SAME,DIS/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,75-100K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,1.618
STATE ONLY,27.0,20.0,8.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,OMITS,DOLE,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,ELSE,30-50K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,45-59,50-59,REPUBLICAN,50-64,OTHER,,,1.485
STATE ONLY,27.0,20.0,9.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,OMITS,DOLE,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,LESS15K,MODERATE,65+,HURTSTATE,STATE,COMPLETE,RURALWEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.897
STATE ONLY,27.0,20.0,10.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,SCHWEITZER,OKEEFE,APPROVE,FAVORABLE,KEENAN,GORE,OMITS,PEROT,BETTER,APP/FAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,75-100K,CONSERV,18-64,HELPSTATE,STATE,COMPLETE,RURALWEST,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,1.43
STATE ONLY,27.0,20.0,11.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,SCHWEITZER,OKEEFE,APPROVE,UNFAVORABLE,KEENAN,GORE,MEDICARE/RX,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,NONE,30-50K,LIBERAL,18-64,HELPSTATE,STATE,COMPLETE,RURALWEST,30-44,30-39,DEMOCRAT,30-39,NONE,,,1.43
STATE ONLY,27.0,20.0,12.0,SECOND CALL,18-24,WHITE,MALE,,SCHWEITZER,OKEEFE,DISAPPR,UNFAVORABLE,KEENAN,WOULDNOTVOTE,ECON/JOBS,NOVOTE,BETTER,DIS/UNFAV,INDEPEND,HSGRAD,NONE,15-30K,LIBERAL,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,18-29,18-24,IND/OTHER,18-24,NONE,,,1.924
STATE ONLY,27.0,20.0,13.0,SECOND CALL,50-59,WHITE,FEMALE,NADER,SCHWEITZER,OKEEFE,APPROVE,UNFAVORABLE,KEENAN,GORE,EDUCATION,CLINTON,WORSE,APP/UNFAV,DEMOCRAT,POSTGRAD,ELSE,15-30K,LIBERAL,18-64,HELPSTATE,STATE,COMPLETE,RURALWEST,45-59,50-59,DEMOCRAT,50-64,OTHER,,,1.052
STATE ONLY,27.0,20.0,14.0,SECOND CALL,25-29,WHITE,MALE,NADER,SCHWEITZER,,APPROVE,FAVORABLE,OTHER,WOULDNOTVOTE,OMITS,CLINTON,SAME,APP/FAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,,LIBERAL,18-64,NOTAFFECT,STATE,COMPLETE,RURALWEST,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,,,3.406
STATE ONLY,27.0,20.0,15.0,SECOND CALL,30-39,WHITE,MALE,GORE,SCHWEITZER,OKEEFE,APPROVE,UNFAVORABLE,KEENAN,GORE,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,PROTESTANT,15-30K,MODERATE,18-64,HELPSTATE,STATE,COMPLETE,RURALWEST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.557
STATE ONLY,27.0,20.0,16.0,SECOND CALL,30-39,WHITE,FEMALE,NADER,SCHWEITZER,OKEEFE,APPROVE,FAVORABLE,KEENAN,GORE,EDUCATION,CLINTON,SAME,APP/FAV,DEMOCRAT,COLGRAD,NONE,15-30K,LIBERAL,18-64,HELPSTATE,STATE,COMPLETE,RURALWEST,30-44,30-39,DEMOCRAT,30-39,NONE,,,1.052
STATE ONLY,27.0,20.0,17.0,SECOND CALL,30-39,WHITE,MALE,GORE,SCHWEITZER,OKEEFE,APPROVE,UNFAVORABLE,KEENAN,GORE,EDUCATION,NOVOTE,BETTER,APP/UNFAV,INDEPEND,POSTGRAD,NONE,50-75K,MODERATE,18-64,NOTAFFECT,STATE,COMPLETE,RURALWEST,30-44,30-39,IND/OTHER,30-39,NONE,,,1.557
STATE ONLY,27.0,20.0,18.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,BURNS,MARTZ,DISAPPR,OMITS,REHBERG,BUSH,OMITS,CLINTON,SAME,OMITS,DEMOCRAT,HSGRAD,PROTESTANT,15-30K,,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,1.897
STATE ONLY,27.0,20.0,19.0,SECOND CALL,40-44,WHITE,FEMALE,NADER,SCHWEITZER,OKEEFE,APPROVE,FAVORABLE,KEENAN,WOULDNOTVOTE,WORLDAFFAIRS,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,ELSE,75-100K,LIBERAL,18-64,HELPSTATE,STATE,COMPLETE,RURALWEST,30-44,40-49,DEMOCRAT,40-49,OTHER,,,1.052
STATE ONLY,27.0,20.0,20.0,SECOND CALL,30-39,WHITE,FEMALE,NADER,SCHWEITZER,OKEEFE,APPROVE,FAVORABLE,KEENAN,GORE,ECON/JOBS,CLINTON,WORSE,APP/FAV,DEMOCRAT,COLGRAD,NONE,15-30K,LIBERAL,18-64,HELPSTATE,STATE,COMPLETE,RURALWEST,30-44,30-39,DEMOCRAT,30-39,NONE,,,1.052
STATE ONLY,27.0,20.0,21.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,SCHWEITZER,OKEEFE,APPROVE,FAVORABLE,KEENAN,BUSH,ECON/JOBS,CLINTON,BETTER,APP/FAV,INDEPEND,HSGRAD,CATHOLIC,50-75K,LIBERAL,18-64,HELPSTATE,STATE,COMPLETE,RURALWEST,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,1.935
STATE ONLY,27.0,20.0,22.0,SECOND CALL,60-64,WHITE,MALE,NADER,SCHWEITZER,OKEEFE,APPROVE,FAVORABLE,KEENAN,GORE,WORLDAFFAIRS,CLINTON,BETTER,APP/FAV,INDEPEND,COLGRAD,,30-50K,MODERATE,18-64,HELPSTATE,STATE,COMPLETE,RURALWEST,60+,60+,IND/OTHER,50-64,,,,1.466
STATE ONLY,27.0,20.0,23.0,SECOND CALL,45-49,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,TAXES,PEROT,OMITS,DIS/UNFAV,ELSE,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.618
STATE ONLY,27.0,20.0,24.0,SECOND CALL,65-74,WHITE,MALE,GORE,SCHWEITZER,OKEEFE,APPROVE,UNFAVORABLE,KEENAN,GORE,EDUCATION,CLINTON,SAME,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,,LESS15K,MODERATE,65+,HELPSTATE,STATE,COMPLETE,RURALWEST,60+,60+,IND/OTHER,65+,,,,1.99
STATE ONLY,27.0,20.0,25.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,SCHWEITZER,OKEEFE,APPROVE,FAVORABLE,KEENAN,GORE,MEDICARE/RX,CLINTON,SAME,APP/FAV,INDEPEND,HSGRAD,CATHOLIC,,,18-64,OMITS,STATE,COMPLETE,RURALWEST,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,1.43
STATE ONLY,27.0,20.0,26.0,SECOND CALL,30-39,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,KEENAN,BUSH,ECON/JOBS,DOLE,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.7630000000000001
STATE ONLY,27.0,20.0,27.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,SCHWEITZER,OKEEFE,APPROVE,UNFAVORABLE,KEENAN,GORE,EDUCATION,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,CATHOLIC,75-100K,MODERATE,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,1.43
STATE ONLY,27.0,20.0,28.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,ECON/JOBS,DOLE,WORSE,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,30-50K,CONSERV,18-64,NOTAFFECT,STATE,COMPLETE,RURALWEST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.485
STATE ONLY,27.0,20.0,29.0,THIRD CALL,30-39,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,ECON/JOBS,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,15-30K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.618
STATE ONLY,27.0,20.0,30.0,THIRD CALL,40-44,WHITE,MALE,GORE,SCHWEITZER,OKEEFE,APPROVE,FAVORABLE,KEENAN,GORE,ECON/JOBS,CLINTON,WORSE,APP/FAV,DEMOCRAT,COLGRAD,OTHERCHRIST,15-30K,LIBERAL,18-64,HELPSTATE,STATE,COMPLETE,RURALWEST,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.557
STATE ONLY,27.0,20.0,31.0,THIRD CALL,40-44,WHITE,MALE,GORE,SCHWEITZER,OKEEFE,APPROVE,UNFAVORABLE,KEENAN,GORE,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,INDEPEND,COLGRAD,NONE,30-50K,MODERATE,18-64,NOTAFFECT,STATE,COMPLETE,RURALWEST,30-44,40-49,IND/OTHER,40-49,NONE,,,1.557
STATE ONLY,27.0,20.0,32.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,BURNS,MARTZ,OMITS,OMITS,REHBERG,OMITS,EDUCATION,OMITS,OMITS,,,,,,,18-64,OMITS,STATE,NOTCOMPLETE,RURALWEST,45-59,40-49,,40-49,,,,1.485
STATE ONLY,27.0,20.0,33.0,THIRD CALL,18-24,WHITE,MALE,OTHER,SCHWEITZER,OKEEFE,APPROVE,FAVORABLE,KEENAN,GORE,OMITS,CLINTON,OMITS,APP/FAV,DEMOCRAT,COLGRAD,,LESS15K,LIBERAL,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,18-29,18-24,DEMOCRAT,18-24,,,,1.308
STATE ONLY,27.0,22.0,1.0,FIRST CALL,30-39,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,ECON/JOBS,DOLE,BETTER,DIS/UNFAV,INDEPEND,HSGRAD,OTHERCHRIST,30-50K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.17
STATE ONLY,27.0,22.0,2.0,FIRST CALL,75+,WHITE,MALE,GORE,SCHWEITZER,OKEEFE,APPROVE,FAVORABLE,KEENAN,GORE,MEDICARE/RX,CLINTON,BETTER,APP/FAV,DEMOCRAT,,PROTESTANT,15-30K,LIBERAL,65+,HELPSTATE,STATE,COMPLETE,RURALWEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.437
STATE ONLY,27.0,22.0,3.0,FIRST CALL,75+,WHITE,FEMALE,GORE,SCHWEITZER,MARTZ,APPROVE,FAVORABLE,KEENAN,GORE,ECON/JOBS,CLINTON,SAME,APP/FAV,DEMOCRAT,NOHS,PROTESTANT,15-30K,MODERATE,65+,NOTAFFECT,STATE,COMPLETE,RURALWEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.4040000000000001
STATE ONLY,27.0,22.0,4.0,FIRST CALL,,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,TAXES,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,CONSERV,,HURTSTATE,STATE,COMPLETE,RURALWEST,,,REPUBLICAN,,PROT/CHRIST,,,1.17
STATE ONLY,27.0,22.0,5.0,FIRST CALL,50-59,OTHER,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,ECON/JOBS,DOLE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,30-50K,MODERATE,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.17
STATE ONLY,27.0,22.0,6.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,SCHWEITZER,OKEEFE,APPROVE,FAVORABLE,KEENAN,GORE,EDUCATION,PEROT,BETTER,APP/FAV,DEMOCRAT,COLGRAD,NONE,50-75K,LIBERAL,18-64,HELPSTATE,STATE,COMPLETE,RURALWEST,45-59,40-49,DEMOCRAT,40-49,NONE,,,1.036
STATE ONLY,27.0,22.0,7.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,SCHWEITZER,OKEEFE,APPROVE,FAVORABLE,KEENAN,GORE,OMITS,CLINTON,BETTER,APP/FAV,,SOMCOL/ASSOC,,15-30K,CONSERV,18-64,NOTAFFECT,STATE,COMPLETE,RURALWEST,45-59,50-59,,50-64,,,,1.036
STATE ONLY,27.0,22.0,8.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,SCHWEITZER,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,ECON/JOBS,CLINTON,SAME,DIS/UNFAV,INDEPEND,HSGRAD,PROTESTANT,50-75K,LIBERAL,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.367
STATE ONLY,27.0,22.0,9.0,FIRST CALL,40-44,WHITE,MALE,BUSH,BURNS,OKEEFE,DISAPPR,UNFAVORABLE,REHBERG,BUSH,SOCIALSECUR,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,OTHERCHRIST,50-75K,CONSERV,18-64,NOTAFFECT,STATE,COMPLETE,RURALWEST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.102
STATE ONLY,27.0,22.0,10.0,FIRST CALL,30-39,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,ECON/JOBS,PEROT,BETTER,DIS/UNFAV,INDEPEND,HSGRAD,OTHERCHRIST,30-50K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.17
STATE ONLY,27.0,22.0,11.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,,OKEEFE,OMITS,OMITS,,OMITS,TAXES,OMITS,OMITS,,,,,,,18-64,OMITS,STATE,NOTCOMPLETE,RURALWEST,60+,60+,,50-64,,,,1.5270000000000001
STATE ONLY,27.0,22.0,12.0,SECOND CALL,75+,,MALE,GORE,SCHWEITZER,OKEEFE,DISAPPR,FAVORABLE,KEENAN,OMITS,MEDICARE/RX,CLINTON,SAME,DIS/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,,65+,HURTSTATE,STATE,COMPLETE,RURALWEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.437
STATE ONLY,27.0,22.0,13.0,SECOND CALL,45-49,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,ECON/JOBS,DOLE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,75-100K,MODERATE,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,1.17
STATE ONLY,27.0,22.0,14.0,SECOND CALL,65-74,WHITE,MALE,GORE,SCHWEITZER,OKEEFE,APPROVE,OMITS,KEENAN,GORE,ECON/JOBS,CLINTON,BETTER,OMITS,DEMOCRAT,POSTGRAD,PROTESTANT,50-75K,LIBERAL,65+,HELPSTATE,STATE,COMPLETE,RURALWEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.437
STATE ONLY,27.0,22.0,15.0,SECOND CALL,50-59,OTHER,MALE,BUSH,BURNS,MARTZ,APPROVE,FAVORABLE,KEENAN,BUSH,ECON/JOBS,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,PROTESTANT,50-75K,LIBERAL,18-64,HELPSTATE,STATE,COMPLETE,RURALWEST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.274
STATE ONLY,27.0,22.0,16.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,ECON/JOBS,CLINTON,SAME,DIS/UNFAV,INDEPEND,HSGRAD,PROTESTANT,15-30K,LIBERAL,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.078
STATE ONLY,27.0,22.0,17.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,BURNS,OKEEFE,DISAPPR,UNFAVORABLE,REHBERG,BUSH,ECON/JOBS,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,ELSE,LESS15K,MODERATE,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,30-44,30-39,REPUBLICAN,30-39,OTHER,,,1.0150000000000001
STATE ONLY,27.0,22.0,18.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,WORLDAFFAIRS,DOLE,WORSE,DIS/UNFAV,INDEPEND,HSGRAD,PROTESTANT,15-30K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.078
STATE ONLY,27.0,22.0,19.0,SECOND CALL,30-39,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,ECON/JOBS,DOLE,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.17
STATE ONLY,27.0,22.0,20.0,SECOND CALL,75+,WHITE,FEMALE,BUCHANAN,BURNS,OKEEFE,APPROVE,UNFAVORABLE,REHBERG,WOULDNOTVOTE,SOCIALSECUR,OMITS,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,PROTESTANT,50-75K,MODERATE,65+,NOTAFFECT,STATE,COMPLETE,RURALWEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.735
STATE ONLY,27.0,22.0,21.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,OMITS,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,30-50K,MODERATE,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.078
STATE ONLY,27.0,22.0,22.0,THIRD CALL,30-39,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,HEALTHCARE,DOLE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,50-75K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,RURALWEST,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,1.17
