VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,GOV,CLINTON,BCPERSON,XWAY2000,ISSUE,X6VOTE,FINSIT,JOBPERS,MIGRATNH,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,MCSUPP,STINCTAX,VNS1,VNS2,WEIGHT
STATE ONLY,30.0,24.0,32.0,THIRD CALL,40-44,WHITE,MALE,BUSH,HUMPHREY,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,NO,,,,,,18-64,STATE,NOTCOMPLETE,RURALNORTH,30-44,40-49,,40-49,,YES,NO,,,0.522
STATE ONLY,30.0,24.0,33.0,THIRD CALL,,WHITE,MALE,BUSH,,OMITS,OMITS,BUSH,SOCIALSECUR,DOLE,SAME,OMITS,NO,INDEPEND,HSGRAD,PROTESTANT,LESS15K,MODERATE,,STATE,COMPLETE,RURALNORTH,,,IND/OTHER,,PROT/CHRIST,YES,NO,,,0.527
STATE ONLY,30.0,24.0,34.0,THIRD CALL,30-39,WHITE,MALE,BUSH,BROWN,APPROVE,UNFAVORABLE,BUSH,WORLDAFFAIRS,NOVOTE,BETTER,APP/UNFAV,NO,REPUBLCN,COLGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,YES,NO,,,0.534
STATE ONLY,30.0,24.0,35.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,UNFAVORABLE,GORE,OMITS,DOLE,BETTER,APP/UNFAV,NO,INDEPEND,SOMCOL/ASSOC,ELSE,30-50K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,IND/OTHER,30-39,OTHER,NO,NO,,,0.54
STATE ONLY,30.0,24.0,36.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,HSGRAD,PROTESTANT,LESS15K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,NO,NO,,,0.517
STATE ONLY,30.0,24.0,37.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,UNFAVORABLE,GORE,MEDICARE/RX,PEROT,BETTER,APP/UNFAV,NO,INDEPEND,SOMCOL/ASSOC,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,IND/OTHER,30-39,CATHOLIC,YES,NO,,,0.54
STATE ONLY,30.0,24.0,38.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,UNFAVORABLE,GORE,WORLDAFFAIRS,DOLE,BETTER,APP/UNFAV,NO,DEMOCRAT,COLGRAD,ELSE,75-100K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,DEMOCRAT,30-39,OTHER,YES,YES,,,0.54
STATE ONLY,30.0,24.0,39.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,FAVORABLE,GORE,EDUCATION,CLINTON,BETTER,APP/FAV,NO,INDEPEND,HSGRAD,PROTESTANT,50-75K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,NO,NO,,,0.54
STATE ONLY,30.0,24.0,40.0,THIRD CALL,45-49,WHITE,MALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,TAXES,CLINTON,WORSE,DIS/UNFAV,NO,INDEPEND,NOHS,,15-30K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,45-59,40-49,IND/OTHER,40-49,,YES,NO,,,0.522
STATE ONLY,30.0,24.0,41.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,DOLE,SAME,DIS/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,OVER100K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,YES,NO,,,0.527
STATE ONLY,30.0,24.0,42.0,THIRD CALL,60-64,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,HSGRAD,PROTESTANT,15-30K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,YES,NO,,,0.583
STATE ONLY,30.0,24.0,43.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,HUMPHREY,DISAPPR,UNFAVORABLE,GORE,EDUCATION,PEROT,SAME,DIS/UNFAV,NO,INDEPEND,COLGRAD,OTHERCHRIST,OVER100K,LIBERAL,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,NO,YES,,,0.532
STATE ONLY,30.0,26.0,1.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,EDUCATION,DOLE,BETTER,DIS/UNFAV,NO,REPUBLCN,HSGRAD,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,YES,NO,,,1.07
STATE ONLY,30.0,26.0,2.0,FIRST CALL,40-44,WHITE,MALE,NADER,,APPROVE,FAVORABLE,WOULDNOTVOTE,WORLDAFFAIRS,OTHER,BETTER,APP/FAV,NO,ELSE,SOMCOL/ASSOC,NONE,30-50K,LIBERAL,18-64,STATE,COMPLETE,RURALNORTH,30-44,40-49,IND/OTHER,40-49,NONE,NO,NO,,,1.004
STATE ONLY,30.0,26.0,3.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,BROWN,OMITS,OMITS,OMITS,WORLDAFFAIRS,OMITS,OMITS,,NO,,,,,,65+,STATE,NOTCOMPLETE,RURALNORTH,60+,60+,,65+,,YES,YES,,,1.206
STATE ONLY,30.0,26.0,4.0,FIRST CALL,40-44,WHITE,MALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,DOLE,SAME,DIS/UNFAV,YES,REPUBLCN,COLGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,YES,NO,,,1.058
STATE ONLY,30.0,26.0,5.0,FIRST CALL,40-44,WHITE,FEMALE,NADER,BROWN,DISAPPR,UNFAVORABLE,GORE,OMITS,CLINTON,SAME,DIS/UNFAV,YES,INDEPEND,COLGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,NO,YES,,,1.026
STATE ONLY,30.0,26.0,6.0,FIRST CALL,50-59,WHITE,MALE,GORE,SHAHEEN,APPROVE,UNFAVORABLE,GORE,HEALTHCARE,CLINTON,BETTER,APP/UNFAV,NO,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,YES,YES,,,1.082
STATE ONLY,30.0,26.0,7.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,SHAHEEN,APPROVE,UNFAVORABLE,BUSH,SOCIALSECUR,CLINTON,BETTER,APP/UNFAV,YES,INDEPEND,POSTGRAD,PROTESTANT,,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,NO,NO,,,1.084
STATE ONLY,30.0,26.0,8.0,FIRST CALL,60-64,WHITE,MALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,TAXES,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,OVER100K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,60+,60+,REPUBLICAN,50-64,CATHOLIC,YES,NO,,,1.171
STATE ONLY,30.0,26.0,9.0,FIRST CALL,45-49,WHITE,MALE,GORE,SHAHEEN,DISAPPR,FAVORABLE,GORE,ECON/JOBS,CLINTON,BETTER,DIS/FAV,NO,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,RURALNORTH,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,NO,YES,,,1.082
STATE ONLY,30.0,26.0,10.0,FIRST CALL,30-39,WHITE,MALE,GORE,SHAHEEN,APPROVE,FAVORABLE,GORE,TAXES,CLINTON,BETTER,APP/FAV,YES,INDEPEND,HSGRAD,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,YES,YES,,,1.082
STATE ONLY,30.0,26.0,11.0,FIRST CALL,40-44,WHITE,MALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,OMITS,PEROT,WORSE,DIS/UNFAV,YES,INDEPEND,SOMCOL/ASSOC,CATHOLIC,15-30K,,18-64,STATE,COMPLETE,RURALNORTH,30-44,40-49,IND/OTHER,40-49,CATHOLIC,OMITS,NO,,,1.058
STATE ONLY,30.0,26.0,12.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,EDUCATION,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,NO,NO,,,1.07
STATE ONLY,30.0,26.0,13.0,SECOND CALL,75+,WHITE,MALE,BUSH,HUMPHREY,OMITS,OMITS,OMITS,HEALTHCARE,OMITS,OMITS,,NO,,,,,,65+,STATE,NOTCOMPLETE,RURALNORTH,60+,60+,,65+,,YES,NO,,,1.171
STATE ONLY,30.0,26.0,14.0,SECOND CALL,50-59,WHITE,MALE,BUSH,SHAHEEN,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,DOLE,BETTER,DIS/UNFAV,YES,INDEPEND,POSTGRAD,PROTESTANT,,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,YES,YES,,,1.072
STATE ONLY,30.0,26.0,15.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,TAXES,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,COLGRAD,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,YES,NO,,,1.07
STATE ONLY,30.0,26.0,16.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,TAXES,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,COLGRAD,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,YES,NO,,,1.048
STATE ONLY,30.0,26.0,17.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,HEALTHCARE,CLINTON,SAME,DIS/UNFAV,NO,DEMOCRAT,HSGRAD,CATHOLIC,LESS15K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,NO,NO,,,1.07
STATE ONLY,30.0,26.0,18.0,SECOND CALL,40-44,WHITE,MALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,OMITS,DOLE,BETTER,DIS/UNFAV,NO,REPUBLCN,HSGRAD,ELSE,50-75K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,30-44,40-49,REPUBLICAN,40-49,OTHER,YES,NO,,,1.058
STATE ONLY,30.0,26.0,19.0,SECOND CALL,40-44,WHITE,MALE,BUSH,SHAHEEN,OMITS,OMITS,OMITS,TAXES,OMITS,OMITS,,NO,,,,,,18-64,STATE,NOTCOMPLETE,RURALNORTH,30-44,40-49,,40-49,,NO,NO,,,1.072
STATE ONLY,30.0,26.0,20.0,SECOND CALL,50-59,WHITE,MALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,TAXES,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,HSGRAD,NONE,50-75K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,REPUBLICAN,50-64,NONE,NO,NO,,,1.058
STATE ONLY,30.0,26.0,21.0,SECOND CALL,65-74,WHITE,MALE,NADER,BROWN,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,OMITS,DOLE,SAME,DIS/UNFAV,NO,INDEPEND,POSTGRAD,,30-50K,MODERATE,65+,STATE,COMPLETE,RURALNORTH,60+,60+,IND/OTHER,65+,,YES,YES,,,1.123
STATE ONLY,30.0,26.0,22.0,SECOND CALL,65-74,WHITE,MALE,GORE,SHAHEEN,OMITS,OMITS,OMITS,MEDICARE/RX,OMITS,OMITS,,NO,,,,,,65+,STATE,NOTCOMPLETE,RURALNORTH,60+,60+,,65+,,NO,YES,,,1.196
STATE ONLY,30.0,26.0,23.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,UNFAVORABLE,GORE,OMITS,NOVOTE,BETTER,APP/UNFAV,YES,INDEPEND,COLGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,IND/OTHER,30-39,CATHOLIC,NO,NO,,,1.093
STATE ONLY,30.0,26.0,24.0,THIRD CALL,30-39,WHITE,MALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,TAXES,DOLE,BETTER,DIS/UNFAV,NO,REPUBLCN,COLGRAD,PROTESTANT,OVER100K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,NO,NO,,,1.058
STATE ONLY,30.0,26.0,25.0,THIRD CALL,45-49,WHITE,MALE,GORE,SHAHEEN,APPROVE,UNFAVORABLE,GORE,EDUCATION,CLINTON,BETTER,APP/UNFAV,NO,DEMOCRAT,SOMCOL/ASSOC,NONE,,LIBERAL,18-64,STATE,COMPLETE,RURALNORTH,45-59,40-49,DEMOCRAT,40-49,NONE,NO,NO,,,1.082
STATE ONLY,30.0,26.0,26.0,THIRD CALL,30-39,WHITE,MALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,OMITS,DOLE,WORSE,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,NO,NO,,,1.058
STATE ONLY,30.0,26.0,27.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,EDUCATION,CLINTON,SAME,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,YES,YES,,,1.07
STATE ONLY,30.0,26.0,28.0,THIRD CALL,30-39,WHITE,MALE,BUSH,HUMPHREY,OMITS,OMITS,OMITS,EDUCATION,OMITS,OMITS,,NO,,,,,,18-64,STATE,NOTCOMPLETE,RURALNORTH,30-44,30-39,,30-39,,YES,NO,,,1.058
STATE ONLY,30.0,26.0,29.0,THIRD CALL,30-39,WHITE,MALE,GORE,SHAHEEN,APPROVE,FAVORABLE,GORE,EDUCATION,CLINTON,BETTER,APP/FAV,NO,DEMOCRAT,COLGRAD,NONE,50-75K,LIBERAL,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,DEMOCRAT,30-39,NONE,NO,NO,,,1.082
STATE ONLY,30.0,26.0,30.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,BROWN,APPROVE,UNFAVORABLE,GORE,EDUCATION,CLINTON,BETTER,APP/UNFAV,NO,DEMOCRAT,SOMCOL/ASSOC,NONE,50-75K,LIBERAL,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,DEMOCRAT,30-39,NONE,NO,NO,,,1.102
STATE ONLY,30.0,26.0,31.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,UNFAVORABLE,GORE,OMITS,CLINTON,SAME,APP/UNFAV,NO,INDEPEND,COLGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,IND/OTHER,30-39,CATHOLIC,NO,NO,,,1.093
STATE ONLY,30.0,26.0,32.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,UNFAVORABLE,GORE,WORLDAFFAIRS,CLINTON,SAME,APP/UNFAV,NO,DEMOCRAT,COLGRAD,NONE,30-50K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,18-29,25-29,DEMOCRAT,25-29,NONE,NO,NO,,,1.072
STATE ONLY,30.0,26.0,33.0,THIRD CALL,30-39,WHITE,MALE,BUSH,HUMPHREY,APPROVE,UNFAVORABLE,BUSH,OMITS,CLINTON,BETTER,APP/UNFAV,NO,INDEPEND,HSGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,IND/OTHER,30-39,CATHOLIC,NO,NO,,,1.058
STATE ONLY,30.0,26.0,34.0,THIRD CALL,50-59,WHITE,MALE,GORE,SHAHEEN,APPROVE,FAVORABLE,GORE,HEALTHCARE,CLINTON,BETTER,APP/FAV,NO,INDEPEND,POSTGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,IND/OTHER,50-64,CATHOLIC,NO,YES,,,1.082
STATE ONLY,30.0,26.0,35.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,HUMPHREY,APPROVE,FAVORABLE,BUSH,SOCIALSECUR,CLINTON,SAME,APP/FAV,NO,INDEPEND,POSTGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,YES,NO,,,1.07
STATE ONLY,30.0,26.0,36.0,THIRD CALL,45-49,WHITE,MALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,NONE,50-75K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,45-59,40-49,REPUBLICAN,40-49,NONE,YES,NO,,,1.058
STATE ONLY,30.0,26.0,37.0,THIRD CALL,50-59,WHITE,MALE,GORE,SHAHEEN,APPROVE,FAVORABLE,GORE,TAXES,PEROT,SAME,APP/FAV,NO,DEMOCRAT,,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,YES,NO,,,1.082
STATE ONLY,30.0,26.0,38.0,THIRD CALL,50-59,WHITE,MALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,DOLE,SAME,DIS/UNFAV,NO,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,YES,NO,,,1.058
STATE ONLY,30.0,26.0,39.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,FAVORABLE,GORE,MEDICARE/RX,CLINTON,BETTER,APP/FAV,NO,INDEPEND,SOMCOL/ASSOC,PROTESTANT,15-30K,LIBERAL,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,NO,NO,,,1.093
STATE ONLY,30.0,26.0,40.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,FAVORABLE,GORE,EDUCATION,CLINTON,BETTER,APP/FAV,NO,DEMOCRAT,SOMCOL/ASSOC,ELSE,30-50K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,DEMOCRAT,30-39,OTHER,YES,NO,,,1.093
STATE ONLY,30.0,26.0,41.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,FAVORABLE,GORE,TAXES,NOVOTE,BETTER,APP/FAV,YES,INDEPEND,COLGRAD,NONE,30-50K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,IND/OTHER,30-39,NONE,NO,NO,,,1.093
STATE ONLY,30.0,26.0,42.0,THIRD CALL,,,,NADER,SHAHEEN,APPROVE,FAVORABLE,GORE,OMITS,OTHER,BETTER,APP/FAV,NO,INDEPEND,POSTGRAD,,,LIBERAL,,STATE,COMPLETE,RURALNORTH,,,IND/OTHER,,,NO,YES,,,1.018
STATE ONLY,30.0,26.0,43.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,SHAHEEN,DISAPPR,UNFAVORABLE,BUSH,EDUCATION,NOVOTE,WORSE,DIS/UNFAV,NO,DEMOCRAT,HSGRAD,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,NO,NO,,,1.084
STATE ONLY,30.0,29.0,1.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,SHAHEEN,OMITS,OMITS,OMITS,HEALTHCARE,OMITS,OMITS,,NO,,,,,,18-64,STATE,NOTCOMPLETE,CONCORD,45-59,50-59,,50-64,,NO,YES,,,0.376
STATE ONLY,30.0,29.0,2.0,SECOND CALL,18-24,WHITE,MALE,GORE,HUMPHREY,DISAPPR,UNFAVORABLE,GORE,WORLDAFFAIRS,NOVOTE,WORSE,DIS/UNFAV,YES,INDEPEND,SOMCOL/ASSOC,PROTESTANT,OVER100K,MODERATE,18-64,STATE,COMPLETE,CONCORD,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,YES,YES,,,0.371
STATE ONLY,30.0,29.0,3.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,UNFAVORABLE,GORE,WORLDAFFAIRS,CLINTON,SAME,APP/UNFAV,NO,INDEPEND,POSTGRAD,NONE,30-50K,,18-64,STATE,COMPLETE,CONCORD,45-59,50-59,IND/OTHER,50-64,NONE,YES,YES,,,0.376
STATE ONLY,30.0,29.0,4.0,SECOND CALL,18-24,WHITE,MALE,NADER,SHAHEEN,DISAPPR,UNFAVORABLE,GORE,OMITS,NOVOTE,SAME,DIS/UNFAV,YES,INDEPEND,SOMCOL/ASSOC,ELSE,,MODERATE,18-64,STATE,COMPLETE,CONCORD,18-29,18-24,IND/OTHER,18-24,OTHER,NO,NO,,,0.359
STATE ONLY,30.0,29.0,5.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,DOLE,SAME,DIS/UNFAV,YES,INDEPEND,POSTGRAD,CATHOLIC,75-100K,MODERATE,18-64,STATE,COMPLETE,CONCORD,30-44,30-39,IND/OTHER,30-39,CATHOLIC,YES,NO,,,0.41400000000000003
STATE ONLY,30.0,29.0,6.0,SECOND CALL,18-24,WHITE,MALE,NADER,,OMITS,OMITS,GORE,ECON/JOBS,CLINTON,BETTER,OMITS,YES,INDEPEND,HSGRAD,,OVER100K,MODERATE,18-64,STATE,COMPLETE,CONCORD,18-29,18-24,IND/OTHER,18-24,,OMITS,YES,,,0.357
STATE ONLY,30.0,29.0,7.0,THIRD CALL,45-49,WHITE,MALE,GORE,SHAHEEN,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,CLINTON,BETTER,APP/FAV,NO,ELSE,POSTGRAD,JEWISH,OVER100K,LIBERAL,18-64,STATE,COMPLETE,CONCORD,45-59,40-49,IND/OTHER,40-49,JEWISH,NO,YES,,,0.382
STATE ONLY,30.0,29.0,8.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,SHAHEEN,OMITS,OMITS,OMITS,ECON/JOBS,OMITS,OMITS,,NO,,,,,,65+,STATE,NOTCOMPLETE,CONCORD,60+,60+,,65+,,YES,YES,,,0.435
STATE ONLY,30.0,29.0,9.0,THIRD CALL,18-24,WHITE,MALE,GORE,SHAHEEN,APPROVE,UNFAVORABLE,GORE,WORLDAFFAIRS,CLINTON,SAME,APP/UNFAV,NO,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,75-100K,LIBERAL,18-64,STATE,COMPLETE,CONCORD,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,YES,YES,,,0.376
STATE ONLY,30.0,29.0,10.0,THIRD CALL,18-24,,,GORE,SHAHEEN,DISAPPR,FAVORABLE,GORE,WORLDAFFAIRS,NOVOTE,BETTER,DIS/FAV,YES,INDEPEND,COLGRAD,JEWISH,OVER100K,MODERATE,18-64,STATE,COMPLETE,CONCORD,18-29,18-24,IND/OTHER,18-24,JEWISH,YES,YES,,,0.376
STATE ONLY,30.0,29.0,11.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,FAVORABLE,GORE,EDUCATION,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,COLGRAD,PROTESTANT,75-100K,LIBERAL,18-64,STATE,COMPLETE,CONCORD,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,OMITS,OMITS,,,0.376
STATE ONLY,30.0,29.0,12.0,THIRD CALL,60-64,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,UNFAVORABLE,GORE,HEALTHCARE,CLINTON,BETTER,APP/UNFAV,NO,DEMOCRAT,POSTGRAD,PROTESTANT,OVER100K,LIBERAL,18-64,STATE,COMPLETE,CONCORD,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,NO,YES,,,0.435
STATE ONLY,30.0,29.0,13.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,CLINTON,SAME,APP/FAV,YES,INDEPEND,POSTGRAD,JEWISH,75-100K,LIBERAL,65+,STATE,COMPLETE,CONCORD,60+,60+,IND/OTHER,65+,JEWISH,NO,YES,,,0.435
STATE ONLY,30.0,29.0,14.0,THIRD CALL,18-24,OTHER,MALE,GORE,SHAHEEN,APPROVE,FAVORABLE,GORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,COMPLETE,CONCORD,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,YES,NO,,,0.376
STATE ONLY,30.0,29.0,15.0,THIRD CALL,18-24,WHITE,MALE,GORE,SHAHEEN,APPROVE,UNFAVORABLE,GORE,HEALTHCARE,NOVOTE,BETTER,APP/UNFAV,YES,DEMOCRAT,HSGRAD,NONE,OVER100K,MODERATE,18-64,STATE,COMPLETE,CONCORD,18-29,18-24,DEMOCRAT,18-24,NONE,YES,NO,,,0.376
