VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,TIME,CLINTON,BCPERSON,XWAY2000,GOVTDO,CUBAN3,SIZEPLC3,ISSUE,QUAL,X6VOTE,ENVIRON,UNFAIR,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,QRACE,REL5,PRESKNOW,JEBBUSH,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,10.0,12.0,33.0,THIRD CALL,50-59,WHITE,MALE,BUSH,MCCOLLUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,NO,CITYOVER50K,ECON/JOBS,HONEST,DOLE,PROGRWTH,GOREDID,BETTER,DIS/UNFAV,YES,REPUBLCN,50-500K,COLGRAD,PROTESTANT,AFEWAYEAR,75-100K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,CENTRAL,45-59,50-59,REPUBLICAN,50-64,WHITE,PROT/CHRIST,BOTH,FAVORABLE,ONLYGORE,ISSUES,,,1.481
STATE ONLY,10.0,17.0,1.0,FIRST CALL,50-59,WHITE,MALE,GORE,NELSON,BEFORE,APPROVE,FAVORABLE,GORE,MORE,NO,CITYOVER50K,WORLDAFFAIRS,COMPLEXISSUE,CLINTON,PROENVIR,NEITHERDID,BETTER,APP/FAV,YES,DEMOCRAT,50-500K,POSTGRAD,PROTESTANT,NEVER,OVER100K,YES,NO,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,MIAMI,45-59,50-59,DEMOCRAT,50-64,WHITE,PROT/CHRIST,ONLYGORE,FAVORABLE,BOTH,PERSONALQUAL,,,1.536
STATE ONLY,10.0,17.0,2.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,NELSON,BEFORE,APPROVE,FAVORABLE,GORE,MORE,NO,CITYOVER50K,SOCIALSECUR,COMPLEXISSUE,CLINTON,PROGRWTH,BOTHDID,BETTER,APP/FAV,NO,DEMOCRAT,50-500K,POSTGRAD,CATHOLIC,ONCEAWEEK,50-75K,YES,NO,LIBERAL,65+,REDUCNATDEBT,STATE,COMPLETE,MIAMI,60+,60+,DEMOCRAT,65+,WHITE,CATHOLIC,ONLYGORE,UNFAVORABLE,BOTH,ISSUES,,,1.583
STATE ONLY,10.0,17.0,3.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,NELSON,LAST.3DAYS,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,LESS,NO,CITYOVER50K,EDUCATION,LIKEABLE,PEROT,PROENVIR,GOREDID,BETTER,DIS/UNFAV,NO,INDEPEND,50-500K,COLGRAD,NONE,AFEWAYEAR,75-100K,YES,NO,CONSERV,65+,REDUCNATDEBT,STATE,COMPLETE,MIAMI,60+,60+,IND/OTHER,65+,WHITE,NONE,NEITHER,FAVORABLE,BOTH,ISSUES,,,1.583
STATE ONLY,10.0,17.0,4.0,FIRST CALL,60-64,WHITE,MALE,BUSH,MCCOLLUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,NO,CITYOVER50K,TAXES,LIKEABLE,DOLE,PROGRWTH,BOTHDID,BETTER,DIS/UNFAV,NO,REPUBLCN,50-500K,POSTGRAD,PROTESTANT,AFEWAYEAR,OVER100K,NO,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,MIAMI,60+,60+,REPUBLICAN,50-64,WHITE,PROT/CHRIST,BOTH,FAVORABLE,ONLYGORE,ISSUES,,,1.804
STATE ONLY,10.0,17.0,5.0,FIRST CALL,75+,WHITE,FEMALE,BUSH,NELSON,LAST.3DAYS,APPROVE,UNFAVORABLE,BUSH,MORE,NO,CITYOVER50K,TAXES,GOODJUDGMENT,CLINTON,PROENVIR,BOTHDID,SAME,APP/UNFAV,NO,DEMOCRAT,50-500K,SOMCOL/ASSOC,JEWISH,AFEWAYEAR,75-100K,NO,NO,MODERATE,65+,CUTFEDINCTAX,STATE,COMPLETE,MIAMI,60+,60+,DEMOCRAT,65+,WHITE,JEWISH,NEITHER,UNFAVORABLE,BOTH,ISSUES,,,1.723
STATE ONLY,10.0,17.0,6.0,FIRST CALL,50-59,WHITE,MALE,BUSH,MCCOLLUM,OMITS,DISAPPR,UNFAVORABLE,BUSH,LESS,NO,CITYOVER50K,OMITS,STRONGLEADER,DOLE,PROGRWTH,OMITS,SAME,DIS/UNFAV,YES,REPUBLCN,50-500K,POSTGRAD,NONE,NEVER,75-100K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,MIAMI,45-59,50-59,REPUBLICAN,50-64,WHITE,NONE,ONLYBUSH,FAVORABLE,OMITS,PERSONALQUAL,,,1.678
STATE ONLY,10.0,17.0,7.0,FIRST CALL,50-59,WHITE,MALE,GORE,NELSON,BEFORE,OMITS,OMITS,OMITS,MORE,NO,CITYOVER50K,HEALTHCARE,GOODJUDGMENT,OMITS,PROENVIR,NEITHERDID,OMITS,OMITS,,,50-500K,,,OMITS,,,,,18-64,OMITS,STATE,COMPLETE,MIAMI,45-59,50-59,,50-64,WHITE,,OMITS,UNFAVORABLE,ONLYGORE,OMITS,,,1.536
STATE ONLY,10.0,17.0,8.0,FIRST CALL,75+,WHITE,FEMALE,GORE,NELSON,BEFORE,APPROVE,FAVORABLE,GORE,MORE,NO,CITYOVER50K,OMITS,STRONGLEADER,CLINTON,PROENVIR,BOTHDID,SAME,APP/FAV,NO,DEMOCRAT,50-500K,HSGRAD,JEWISH,MORETHAN1AWK,LESS15K,NO,NO,CONSERV,65+,SOCIALSECURI,STATE,COMPLETE,MIAMI,60+,60+,DEMOCRAT,65+,WHITE,JEWISH,ONLYGORE,UNFAVORABLE,ONLYBUSH,PERSONALQUAL,,,1.583
STATE ONLY,10.0,17.0,9.0,FIRST CALL,60-64,WHITE,MALE,GORE,NELSON,BEFORE,APPROVE,FAVORABLE,GORE,LESS,NO,CITYOVER50K,ECON/JOBS,COMPLEXISSUE,CLINTON,PROENVIR,BUSHDID,SAME,APP/FAV,NO,INDEPEND,50-500K,COLGRAD,JEWISH,NEVER,50-75K,NO,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,MIAMI,60+,60+,IND/OTHER,50-64,WHITE,JEWISH,ONLYGORE,FAVORABLE,BOTH,ISSUES,,,1.649
STATE ONLY,10.0,17.0,10.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,NELSON,BEFORE,APPROVE,UNFAVORABLE,GORE,LESS,NO,CITYOVER50K,WORLDAFFAIRS,COMPLEXISSUE,OMITS,PROENVIR,NEITHERDID,BETTER,APP/UNFAV,NO,DEMOCRAT,50-500K,SOMCOL/ASSOC,CATHOLIC,NEVER,OVER100K,YES,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,MIAMI,60+,60+,DEMOCRAT,50-64,WHITE,CATHOLIC,ONLYGORE,OMITS,NEITHER,ISSUES,,,1.583
STATE ONLY,10.0,17.0,11.0,FIRST CALL,75+,WHITE,FEMALE,BUSH,NELSON,LASTWEEK,OMITS,UNFAVORABLE,BUSH,LESS,NO,CITYOVER50K,OMITS,HONEST,CLINTON,PROENVIR,GOREDID,SAME,OMITS,NO,INDEPEND,50-500K,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,30-50K,YES,NO,MODERATE,65+,OMITS,STATE,COMPLETE,MIAMI,60+,60+,IND/OTHER,65+,WHITE,CATHOLIC,NEITHER,FAVORABLE,ONLYGORE,ISSUES,,,1.723
STATE ONLY,10.0,17.0,12.0,FIRST CALL,75+,WHITE,FEMALE,GORE,NELSON,BEFORE,APPROVE,FAVORABLE,GORE,MORE,NO,CITYOVER50K,OMITS,OMITS,CLINTON,PROENVIR,BUSHDID,BETTER,APP/FAV,NO,DEMOCRAT,50-500K,SOMCOL/ASSOC,JEWISH,AFEWAYEAR,50-75K,NO,NO,LIBERAL,65+,OMITS,STATE,COMPLETE,MIAMI,60+,60+,DEMOCRAT,65+,WHITE,JEWISH,ONLYGORE,UNFAVORABLE,BOTH,ISSUES,,,1.583
STATE ONLY,10.0,17.0,13.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,NELSON,BEFORE,APPROVE,UNFAVORABLE,GORE,MORE,NO,CITYOVER50K,OMITS,EXPERIENCE,CLINTON,PROENVIR,BUSHDID,SAME,APP/UNFAV,NO,INDEPEND,50-500K,SOMCOL/ASSOC,CATHOLIC,AFEWAMONTH,30-50K,NO,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,MIAMI,60+,60+,IND/OTHER,50-64,WHITE,CATHOLIC,ONLYGORE,UNFAVORABLE,BOTH,PERSONALQUAL,,,1.583
STATE ONLY,10.0,17.0,14.0,FIRST CALL,50-59,WHITE,MALE,BUSH,MCCOLLUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,NO,CITYOVER50K,TAXES,HONEST,DOLE,PROGRWTH,GOREDID,SAME,DIS/UNFAV,NO,REPUBLCN,50-500K,HSGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,MIAMI,45-59,50-59,REPUBLICAN,50-64,WHITE,CATHOLIC,ONLYBUSH,FAVORABLE,ONLYGORE,ISSUES,,,1.678
STATE ONLY,10.0,17.0,15.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,NELSON,BEFORE,APPROVE,UNFAVORABLE,BUSH,LESS,NO,CITYOVER50K,OMITS,EXPERIENCE,CLINTON,PROENVIR,BOTHDID,SAME,APP/UNFAV,NO,REPUBLCN,50-500K,COLGRAD,PROTESTANT,ONCEAWEEK,,NO,NO,MODERATE,65+,OMITS,STATE,COMPLETE,MIAMI,60+,60+,REPUBLICAN,65+,WHITE,PROT/CHRIST,BOTH,FAVORABLE,NEITHER,ISSUES,,,1.723
STATE ONLY,10.0,17.0,16.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,NELSON,BEFORE,APPROVE,OMITS,OMITS,LESS,NO,CITYOVER50K,HEALTHCARE,HONEST,CLINTON,PROENVIR,NEITHERDID,BETTER,OMITS,NO,DEMOCRAT,50-500K,,CATHOLIC,AFEWAYEAR,,YES,NO,,65+,SOCIALSECURI,STATE,COMPLETE,MIAMI,60+,60+,DEMOCRAT,65+,WHITE,CATHOLIC,ONLYGORE,UNFAVORABLE,NEITHER,PERSONALQUAL,,,1.583
STATE ONLY,10.0,17.0,17.0,SECOND CALL,65-74,WHITE,MALE,GORE,MCCOLLUM,BEFORE,APPROVE,UNFAVORABLE,GORE,LESS,NO,CITYOVER50K,WORLDAFFAIRS,EXPERIENCE,DOLE,PROGRWTH,NEITHERDID,SAME,APP/UNFAV,NO,INDEPEND,50-500K,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,30-50K,YES,NO,MODERATE,65+,REDUCNATDEBT,STATE,COMPLETE,MIAMI,60+,60+,IND/OTHER,65+,WHITE,PROT/CHRIST,ONLYGORE,FAVORABLE,BOTH,ISSUES,,,1.6560000000000001
STATE ONLY,10.0,17.0,18.0,SECOND CALL,60-64,WHITE,MALE,GORE,NELSON,BEFORE,APPROVE,FAVORABLE,GORE,OMITS,NO,CITYOVER50K,MEDICARE/RX,HONEST,CLINTON,PROGRWTH,NEITHERDID,BETTER,APP/FAV,NO,DEMOCRAT,50-500K,HSGRAD,JEWISH,AFEWAYEAR,50-75K,NO,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,MIAMI,60+,60+,DEMOCRAT,50-64,WHITE,JEWISH,BOTH,UNFAVORABLE,ONLYBUSH,PERSONALQUAL,,,1.649
STATE ONLY,10.0,17.0,19.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,MCCOLLUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,NO,CITYOVER50K,HEALTHCARE,HONEST,DOLE,PROGRWTH,GOREDID,SAME,DIS/UNFAV,NO,REPUBLCN,50-500K,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,75-100K,YES,NO,CONSERV,65+,CUTFEDINCTAX,STATE,COMPLETE,MIAMI,60+,60+,REPUBLICAN,65+,WHITE,PROT/CHRIST,BOTH,FAVORABLE,ONLYGORE,PERSONALQUAL,,,1.73
STATE ONLY,10.0,17.0,20.0,SECOND CALL,75+,WHITE,MALE,GORE,NELSON,BEFORE,OMITS,OMITS,OMITS,MORE,NO,CITYOVER50K,TAXES,GOODJUDGMENT,OMITS,PROENVIR,BOTHDID,OMITS,,,,50-500K,,,OMITS,,,,,65+,OMITS,STATE,NOTCOMPLETE,MIAMI,60+,60+,,65+,WHITE,,OMITS,UNFAVORABLE,OMITS,OMITS,,,1.649
STATE ONLY,10.0,17.0,21.0,SECOND CALL,75+,,FEMALE,BUSH,MCCOLLUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,,CITYOVER50K,EDUCATION,HONEST,DOLE,PROGRWTH,OMITS,SAME,DIS/UNFAV,NO,REPUBLCN,50-500K,COLGRAD,,OMITS,,NO,NO,CONSERV,65+,CUTFEDINCTAX,STATE,COMPLETE,MIAMI,60+,60+,REPUBLICAN,65+,,,ONLYBUSH,FAVORABLE,ONLYGORE,PERSONALQUAL,,,1.73
STATE ONLY,10.0,17.0,22.0,SECOND CALL,75+,WHITE,FEMALE,GORE,NELSON,BEFORE,APPROVE,FAVORABLE,GORE,MORE,NO,CITYOVER50K,WORLDAFFAIRS,COMPLEXISSUE,CLINTON,PROGRWTH,BOTHDID,BETTER,APP/FAV,NO,DEMOCRAT,50-500K,SOMCOL/ASSOC,JEWISH,MORETHAN1AWK,50-75K,YES,NO,LIBERAL,65+,REDUCNATDEBT,STATE,COMPLETE,MIAMI,60+,60+,DEMOCRAT,65+,WHITE,JEWISH,ONLYGORE,FAVORABLE,NEITHER,ISSUES,,,1.583
STATE ONLY,10.0,17.0,23.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,MCCOLLUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,NO,CITYOVER50K,WORLDAFFAIRS,GOODJUDGMENT,DOLE,PROENVIR,GOREDID,BETTER,DIS/UNFAV,NO,REPUBLCN,50-500K,SOMCOL/ASSOC,JEWISH,NEVER,50-75K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,MIAMI,45-59,50-59,REPUBLICAN,50-64,WHITE,JEWISH,ONLYBUSH,UNFAVORABLE,ONLYGORE,ISSUES,,,1.61
STATE ONLY,10.0,17.0,24.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,MCCOLLUM,BEFORE,APPROVE,UNFAVORABLE,BUSH,LESS,NO,CITYOVER50K,HEALTHCARE,HONEST,DOLE,PROGRWTH,GOREDID,SAME,APP/UNFAV,NO,REPUBLCN,50-500K,HSGRAD,CATHOLIC,ONCEAWEEK,50-75K,YES,NO,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,MIAMI,60+,60+,REPUBLICAN,50-64,WHITE,CATHOLIC,BOTH,FAVORABLE,ONLYGORE,ISSUES,,,1.73
STATE ONLY,10.0,17.0,25.0,SECOND CALL,65-74,HISP,FEMALE,GORE,,BEFORE,APPROVE,FAVORABLE,GORE,MORE,OTHERHISP,CITYOVER50K,SOCIALSECUR,HONEST,CLINTON,PROENVIR,OMITS,BETTER,APP/FAV,NO,DEMOCRAT,50-500K,POSTGRAD,CATHOLIC,ONCEAWEEK,30-50K,YES,NO,LIBERAL,65+,REDUCNATDEBT,STATE,COMPLETE,MIAMI,60+,60+,DEMOCRAT,65+,,CATHOLIC,ONLYGORE,OMITS,ONLYGORE,PERSONALQUAL,,,1.8920000000000001
STATE ONLY,10.0,17.0,26.0,THIRD CALL,75+,WHITE,MALE,BUSH,MCCOLLUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,NO,CITYOVER50K,ECON/JOBS,HONEST,DOLE,PROGRWTH,GOREDID,BETTER,DIS/UNFAV,YES,REPUBLCN,50-500K,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,OVER100K,NO,NO,CONSERV,65+,REDUCNATDEBT,STATE,COMPLETE,MIAMI,60+,60+,REPUBLICAN,65+,WHITE,PROT/CHRIST,ONLYBUSH,FAVORABLE,ONLYGORE,PERSONALQUAL,,,1.804
STATE ONLY,10.0,17.0,27.0,THIRD CALL,25-29,ASIAN,MALE,GORE,NELSON,LASTWEEK,APPROVE,UNFAVORABLE,GORE,MORE,NO,CITYOVER50K,SOCIALSECUR,COMPLEXISSUE,NOVOTE,PROENVIR,NEITHERDID,BETTER,APP/UNFAV,YES,DEMOCRAT,50-500K,COLGRAD,CATHOLIC,AFEWAMONTH,30-50K,YES,YES,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,MIAMI,18-29,25-29,DEMOCRAT,25-29,ASIAN,CATHOLIC,NEITHER,FAVORABLE,BOTH,ISSUES,,,1.565
STATE ONLY,10.0,17.0,28.0,THIRD CALL,65-74,WHITE,FEMALE,BUSH,MCCOLLUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,NO,CITYOVER50K,WORLDAFFAIRS,HONEST,DOLE,PROGRWTH,GOREDID,SAME,DIS/UNFAV,NO,DEMOCRAT,50-500K,POSTGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,NO,MODERATE,65+,CUTFEDINCTAX,STATE,COMPLETE,MIAMI,60+,60+,DEMOCRAT,65+,WHITE,CATHOLIC,BOTH,FAVORABLE,ONLYGORE,PERSONALQUAL,,,1.73
STATE ONLY,10.0,17.0,29.0,THIRD CALL,60-64,WHITE,MALE,BUSH,MCCOLLUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,NO,CITYOVER50K,TAXES,GOODJUDGMENT,DOLE,PROGRWTH,GOREDID,SAME,DIS/UNFAV,YES,REPUBLCN,50-500K,POSTGRAD,PROTESTANT,ONCEAWEEK,75-100K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,MIAMI,60+,60+,REPUBLICAN,50-64,WHITE,PROT/CHRIST,BOTH,FAVORABLE,ONLYGORE,ISSUES,,,1.804
STATE ONLY,10.0,17.0,30.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,NELSON,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,NO,CITYOVER50K,OMITS,HONEST,DOLE,PROGRWTH,BOTHDID,SAME,DIS/UNFAV,NO,INDEPEND,50-500K,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,OVER100K,YES,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,MIAMI,45-59,50-59,IND/OTHER,50-64,WHITE,PROT/CHRIST,BOTH,FAVORABLE,BOTH,ISSUES,,,1.604
STATE ONLY,10.0,17.0,31.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,MCCOLLUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,MORE,NO,CITYOVER50K,EDUCATION,EXPERIENCE,NOVOTE,OMITS,NEITHERDID,BETTER,DIS/UNFAV,YES,REPUBLCN,50-500K,HSGRAD,CATHOLIC,ONCEAWEEK,,YES,NO,,18-64,OMITS,STATE,COMPLETE,MIAMI,45-59,50-59,REPUBLICAN,50-64,WHITE,CATHOLIC,OMITS,FAVORABLE,BOTH,ISSUES,,,1.61
STATE ONLY,10.0,17.0,32.0,THIRD CALL,60-64,HISP,FEMALE,BUSH,MCCOLLUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,MORE,OTHERHISP,CITYOVER50K,MEDICARE/RX,OMITS,OMITS,PROENVIR,BUSHDID,WORSE,DIS/UNFAV,YES,REPUBLCN,50-500K,NOHS,ELSE,AFEWAYEAR,,NO,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,MIAMI,60+,60+,REPUBLICAN,50-64,WHITE,OTHER,NEITHER,UNFAVORABLE,ONLYBUSH,OMITS,,,2.054
STATE ONLY,10.0,17.0,33.0,THIRD CALL,65-74,,,GORE,NELSON,BEFORE,APPROVE,FAVORABLE,GORE,MORE,NO,CITYOVER50K,MEDICARE/RX,CARES,CLINTON,PROENVIR,BUSHDID,BETTER,APP/FAV,NO,INDEPEND,50-500K,HSGRAD,JEWISH,ONCEAWEEK,50-75K,YES,NO,MODERATE,65+,REDUCNATDEBT,STATE,COMPLETE,MIAMI,60+,60+,IND/OTHER,65+,,JEWISH,ONLYGORE,UNFAVORABLE,ONLYBUSH,ISSUES,,,1.583
STATE ONLY,10.0,17.0,34.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,NELSON,BEFORE,APPROVE,FAVORABLE,GORE,MORE,NO,CITYOVER50K,WORLDAFFAIRS,COMPLEXISSUE,CLINTON,PROENVIR,NEITHERDID,BETTER,APP/FAV,NO,INDEPEND,50-500K,COLGRAD,JEWISH,AFEWAYEAR,OVER100K,YES,NO,LIBERAL,18-64,OMITS,STATE,COMPLETE,MIAMI,45-59,50-59,IND/OTHER,50-64,WHITE,JEWISH,ONLYGORE,UNFAVORABLE,BOTH,ISSUES,,,1.473
STATE ONLY,10.0,17.0,35.0,THIRD CALL,,,FEMALE,GORE,NELSON,BEFORE,OMITS,OMITS,OMITS,OMITS,,CITYOVER50K,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,50-500K,,,OMITS,,,,,,OMITS,STATE,NOTCOMPLETE,MIAMI,,,,,,,OMITS,OMITS,OMITS,OMITS,,,1.473
STATE ONLY,10.0,17.0,36.0,THIRD CALL,50-59,WHITE,MALE,GORE,NELSON,BEFORE,APPROVE,UNFAVORABLE,GORE,MORE,NO,CITYOVER50K,WORLDAFFAIRS,COMPLEXISSUE,CLINTON,PROENVIR,BOTHDID,BETTER,APP/UNFAV,YES,DEMOCRAT,50-500K,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,50-75K,YES,NO,LIBERAL,18-64,REDUCNATDEBT,STATE,COMPLETE,MIAMI,45-59,50-59,DEMOCRAT,50-64,WHITE,CATHOLIC,ONLYGORE,UNFAVORABLE,ONLYBUSH,PERSONALQUAL,,,1.536
STATE ONLY,10.0,17.0,37.0,THIRD CALL,65-74,WHITE,MALE,GORE,NELSON,BEFORE,APPROVE,FAVORABLE,GORE,MORE,NO,CITYOVER50K,MEDICARE/RX,EXPERIENCE,CLINTON,PROENVIR,NEITHERDID,WORSE,APP/FAV,NO,DEMOCRAT,50-500K,HSGRAD,JEWISH,AFEWAYEAR,50-75K,YES,NO,MODERATE,65+,OTHRPROGRAMS,STATE,COMPLETE,MIAMI,60+,60+,DEMOCRAT,65+,WHITE,JEWISH,ONLYGORE,UNFAVORABLE,NEITHER,ISSUES,,,1.649
STATE ONLY,10.0,17.0,38.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,NELSON,BEFORE,APPROVE,UNFAVORABLE,GORE,MORE,NO,CITYOVER50K,WORLDAFFAIRS,COMPLEXISSUE,CLINTON,PROENVIR,NEITHERDID,BETTER,APP/UNFAV,YES,INDEPEND,50-500K,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,50-75K,NO,NO,LIBERAL,18-64,REDUCNATDEBT,STATE,COMPLETE,MIAMI,45-59,50-59,IND/OTHER,50-64,WHITE,CATHOLIC,ONLYGORE,UNFAVORABLE,ONLYBUSH,PERSONALQUAL,,,1.473
STATE ONLY,10.0,17.0,39.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,NELSON,LAST.MONTH,APPROVE,UNFAVORABLE,GORE,MORE,NO,CITYOVER50K,OMITS,CARES,CLINTON,PROENVIR,BOTHDID,BETTER,APP/UNFAV,YES,DEMOCRAT,50-500K,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,50-75K,NO,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,MIAMI,45-59,50-59,DEMOCRAT,50-64,WHITE,CATHOLIC,BOTH,FAVORABLE,BOTH,ISSUES,,,1.473
STATE ONLY,10.0,17.0,40.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,NELSON,BEFORE,APPROVE,FAVORABLE,GORE,MORE,NO,CITYOVER50K,MEDICARE/RX,EXPERIENCE,CLINTON,PROENVIR,BUSHDID,BETTER,APP/FAV,YES,DEMOCRAT,50-500K,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,OVER100K,YES,NO,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,MIAMI,45-59,50-59,DEMOCRAT,50-64,WHITE,CATHOLIC,ONLYGORE,UNFAVORABLE,ONLYBUSH,ISSUES,,,1.473
STATE ONLY,10.0,18.0,1.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,NELSON,LAST.3DAYS,OMITS,OMITS,OMITS,LESS,NO,SUBURBS,HEALTHCARE,HONEST,OMITS,PROENVIR,OMITS,WORSE,OMITS,,,SUBURBS,,,OMITS,,,,,18-64,OMITS,STATE,COMPLETE,MIAMI,45-59,40-49,,40-49,WHITE,,OMITS,FAVORABLE,OMITS,OMITS,,,0.684
STATE ONLY,10.0,18.0,2.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,MCCOLLUM,LASTWEEK,APPROVE,UNFAVORABLE,BUSH,MORE,NO,SUBURBS,MEDICARE/RX,CARES,CLINTON,PROENVIR,BOTHDID,SAME,APP/UNFAV,NO,REPUBLCN,SUBURBS,HSGRAD,PROTESTANT,AFEWAYEAR,LESS15K,NO,NO,MODERATE,65+,SOCIALSECURI,STATE,COMPLETE,MIAMI,60+,60+,REPUBLICAN,65+,WHITE,PROT/CHRIST,BOTH,FAVORABLE,BOTH,ISSUES,,,0.739
STATE ONLY,10.0,18.0,3.0,SECOND CALL,65-74,HISP,,GORE,NELSON,BEFORE,DISAPPR,FAVORABLE,GORE,OMITS,OTHERHISP,SUBURBS,OMITS,OMITS,CLINTON,PROENVIR,BUSHDID,BETTER,DIS/FAV,NO,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,30-50K,NO,NO,LIBERAL,65+,OMITS,STATE,COMPLETE,MIAMI,60+,60+,DEMOCRAT,65+,HISP,CATHOLIC,ONLYGORE,UNFAVORABLE,ONLYBUSH,ISSUES,,,0.836
STATE ONLY,10.0,18.0,4.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,NELSON,BEFORE,APPROVE,OMITS,GORE,MORE,NO,SUBURBS,ECON/JOBS,EXPERIENCE,CLINTON,PROENVIR,BUSHDID,BETTER,OMITS,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,OVER100K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,MIAMI,30-44,30-39,DEMOCRAT,30-39,WHITE,CATHOLIC,ONLYGORE,UNFAVORABLE,BOTH,ISSUES,,,0.628
STATE ONLY,10.0,18.0,5.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,NELSON,BEFORE,APPROVE,FAVORABLE,GORE,MORE,NO,SUBURBS,WORLDAFFAIRS,EXPERIENCE,CLINTON,PROENVIR,NEITHERDID,BETTER,APP/FAV,YES,INDEPEND,SUBURBS,SOMCOL/ASSOC,PROTESTANT,AFEWAMONTH,15-30K,NO,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,MIAMI,45-59,50-59,IND/OTHER,50-64,WHITE,PROT/CHRIST,BOTH,UNFAVORABLE,BOTH,PERSONALQUAL,,,0.628
