VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,RELRIGHT,X6VOTE,ABORTION,FINSIT,JOBPERS,WORK,MIGRATGA,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,11.0,8.0,22.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,,APPROVE,FAVORABLE,GORE,LESS,CITYOVER50K,ECON/JOBS,CARES,NO,CLINTON,MOSTLGL,SAME,APP/FAV,YES,YES,DEMOCRAT,50-500K,NOHS,NONE,AFEWAYEAR,15-30K,NO,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,DEMOCRAT,30-39,NONE,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,0.879
STATE ONLY,11.0,8.0,23.0,THIRD CALL,25-29,BLACK,MALE,GORE,MILLER,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,HEALTHCARE,HONEST,YES,NOVOTE,ALWYSILL,BETTER,APP/FAV,YES,NO,DEMOCRAT,50-500K,HSGRAD,OTHERCHRIST,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,0.632
STATE ONLY,11.0,8.0,24.0,THIRD CALL,60-64,BLACK,FEMALE,GORE,MILLER,OMITS,FAVORABLE,GORE,MORE,CITYOVER50K,SOCIALSECUR,COMPLEXISSUE,OMITS,CLINTON,ALWYSILL,BETTER,OMITS,NO,NO,DEMOCRAT,50-500K,HSGRAD,CATHOLIC,MORETHAN1AWK,LESS15K,NO,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOUTH,60+,60+,DEMOCRAT,50-64,CATHOLIC,ONLYGORE,ONLYGORE,PERSONALQUAL,,,1.139
STATE ONLY,11.0,8.0,25.0,THIRD CALL,18-24,BLACK,FEMALE,GORE,MILLER,APPROVE,FAVORABLE,GORE,LESS,CITYOVER50K,EDUCATION,COMPLEXISSUE,NO,NOVOTE,MOSTLGL,BETTER,APP/FAV,NO,NO,ELSE,50-500K,HSGRAD,OTHERCHRIST,ONCEAWEEK,30-50K,NO,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOUTH,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,0.71
STATE ONLY,11.0,8.0,26.0,THIRD CALL,18-24,BLACK,MALE,GORE,MILLER,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,STRONGLEADER,NO,NOVOTE,ALWYSLGL,SAME,APP/FAV,YES,NO,DEMOCRAT,50-500K,HSGRAD,OTHERCHRIST,ONCEAWEEK,50-75K,YES,YES,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOUTH,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,0.632
STATE ONLY,11.0,8.0,27.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,MILLER,APPROVE,FAVORABLE,BUSH,MORE,CITYOVER50K,ECON/JOBS,EXPERIENCE,NO,DOLE,MOSTLGL,BETTER,APP/FAV,NO,NO,DEMOCRAT,50-500K,NOHS,PROTESTANT,OMITS,15-30K,,NO,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,ONLYGORE,NEITHER,OMITS,,,0.875
STATE ONLY,11.0,8.0,28.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,MILLER,APPROVE,FAVORABLE,GORE,LESS,CITYOVER50K,EDUCATION,CARES,NO,CLINTON,MOSTILL,SAME,APP/FAV,YES,YES,DEMOCRAT,50-500K,POSTGRAD,OTHERCHRIST,MORETHAN1AWK,30-50K,YES,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,0.875
STATE ONLY,11.0,8.0,29.0,THIRD CALL,40-44,BLACK,MALE,GORE,MILLER,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,GOODJUDGMENT,NO,CLINTON,ALWYSILL,SAME,APP/FAV,YES,NO,DEMOCRAT,50-500K,HSGRAD,,NEVER,,YES,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOUTH,30-44,40-49,DEMOCRAT,40-49,,ONLYGORE,ONLYGORE,ISSUES,,,0.778
STATE ONLY,11.0,8.0,30.0,THIRD CALL,65-74,BLACK,,GORE,MILLER,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,SOCIALSECUR,CARES,YES,CLINTON,ALWYSLGL,OMITS,APP/FAV,NO,NO,DEMOCRAT,50-500K,COLGRAD,OTHERCHRIST,MORETHAN1AWK,15-30K,,NO,LIBERAL,65+,REDUCNATDEBT,STATE,COMPLETE,NORTH/SOUTH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,OMITS,ONLYGORE,PERSONALQUAL,,,1.139
STATE ONLY,11.0,8.0,31.0,THIRD CALL,30-39,BLACK,MALE,GORE,MILLER,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,SOCIALSECUR,CARES,YES,CLINTON,MOSTILL,SAME,APP/FAV,NO,NO,DEMOCRAT,50-500K,NOHS,ELSE,AFEWAYEAR,15-30K,NO,NO,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,DEMOCRAT,30-39,OTHER,ONLYGORE,ONLYGORE,PERSONALQUAL,,,0.778
STATE ONLY,11.0,8.0,32.0,THIRD CALL,60-64,BLACK,FEMALE,GORE,MILLER,APPROVE,OMITS,GORE,LESS,CITYOVER50K,OMITS,CARES,YES,CLINTON,MOSTILL,BETTER,OMITS,YES,NO,REPUBLCN,50-500K,HSGRAD,PROTESTANT,MORETHAN1AWK,LESS15K,NO,NO,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOUTH,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,ONLYGORE,ONLYGORE,PERSONALQUAL,,,1.139
STATE ONLY,11.0,8.0,33.0,THIRD CALL,18-24,BLACK,FEMALE,GORE,MILLER,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,OMITS,GOODJUDGMENT,YES,NOVOTE,MOSTLGL,SAME,APP/FAV,YES,YES,DEMOCRAT,50-500K,NOHS,PROTESTANT,MORETHAN1AWK,LESS15K,NO,YES,,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH/SOUTH,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,ONLYGORE,ONLYGORE,PERSONALQUAL,,,0.71
STATE ONLY,11.0,8.0,34.0,THIRD CALL,45-49,BLACK,MALE,GORE,MILLER,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,EXPERIENCE,NO,CLINTON,MOSTLGL,BETTER,APP/FAV,YES,NO,INDEPEND,50-500K,SOMCOL/ASSOC,ELSE,AFEWAYEAR,LESS15K,NO,NO,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,45-59,40-49,IND/OTHER,40-49,OTHER,BOTH,ONLYBUSH,PERSONALQUAL,,,0.778
STATE ONLY,11.0,8.0,35.0,THIRD CALL,40-44,BLACK,MALE,BUCHANAN,MATTINGLY,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,WORLDAFFAIRS,COMPLEXISSUE,YES,NOVOTE,MOSTLGL,BETTER,APP/FAV,YES,YES,DEMOCRAT,50-500K,SOMCOL/ASSOC,ELSE,MORETHAN1AWK,15-30K,YES,YES,MODERATE,18-64,OMITS,STATE,COMPLETE,NORTH/SOUTH,30-44,40-49,DEMOCRAT,40-49,OTHER,BOTH,BOTH,ISSUES,,,0.316
STATE ONLY,11.0,8.0,36.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,MILLER,APPROVE,UNFAVORABLE,GORE,MORE,CITYOVER50K,EDUCATION,EXPERIENCE,NO,CLINTON,MOSTLGL,BETTER,APP/UNFAV,YES,NO,DEMOCRAT,50-500K,POSTGRAD,PROTESTANT,ONCEAWEEK,LESS15K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,1.051
STATE ONLY,11.0,11.0,1.0,SECOND CALL,50-59,WHITE,MALE,BUSH,MILLER,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,SOCIALSECUR,STRONGLEADER,NO,CLINTON,MOSTLGL,BETTER,DIS/UNFAV,YES,NO,REPUBLCN,SUBURBS,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,OVER100K,YES,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,ATLANTA,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,0.419
STATE ONLY,11.0,11.0,2.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,MILLER,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,WORLDAFFAIRS,HONEST,NO,CLINTON,MOSTLGL,SAME,APP/UNFAV,NO,NO,DEMOCRAT,SUBURBS,COLGRAD,OTHERCHRIST,AFEWAYEAR,75-100K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,ATLANTA,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,BOTH,ONLYBUSH,PERSONALQUAL,,,0.502
STATE ONLY,11.0,11.0,3.0,SECOND CALL,18-24,WHITE,MALE,GORE,MILLER,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,EDUCATION,COMPLEXISSUE,NO,CLINTON,ALWYSLGL,BETTER,APP/FAV,NO,NO,ELSE,SUBURBS,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,15-30K,NO,NO,LIBERAL,18-64,OTHRPROGRAMS,STATE,COMPLETE,ATLANTA,18-29,18-24,IND/OTHER,18-24,CATHOLIC,ONLYGORE,BOTH,ISSUES,,,0.761
STATE ONLY,11.0,11.0,4.0,SECOND CALL,50-59,BLACK,FEMALE,GORE,MILLER,OMITS,OMITS,OMITS,MORE,SUBURBS,SOCIALSECUR,CARES,OMITS,OMITS,OMITS,OMITS,,,NO,,SUBURBS,,,OMITS,,,,,18-64,OMITS,STATE,NOTCOMPLETE,ATLANTA,45-59,50-59,,50-64,,OMITS,OMITS,OMITS,,,0.463
STATE ONLY,11.0,11.0,5.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,COMPLEXISSUE,NO,DOLE,MOSTILL,SAME,DIS/UNFAV,NO,NO,REPUBLCN,SUBURBS,HSGRAD,CATHOLIC,AFEWAMONTH,15-30K,YES,NO,MODERATE,65+,SOCIALSECURI,STATE,COMPLETE,ATLANTA,60+,60+,REPUBLICAN,65+,CATHOLIC,ONLYBUSH,ONLYGORE,ISSUES,,,0.518
STATE ONLY,11.0,11.0,6.0,SECOND CALL,50-59,WHITE,MALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,COMPLEXISSUE,NO,DOLE,MOSTILL,WORSE,DIS/UNFAV,YES,NO,REPUBLCN,SUBURBS,COLGRAD,PROTESTANT,AFEWAYEAR,15-30K,NO,YES,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,ATLANTA,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,BOTH,BOTH,ISSUES,,,0.392
STATE ONLY,11.0,11.0,7.0,SECOND CALL,30-39,WHITE,MALE,BUSH,MILLER,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,OMITS,YES,OTHER,ALWYSILL,WORSE,DIS/UNFAV,YES,NO,ELSE,SUBURBS,SOMCOL/ASSOC,ELSE,MORETHAN1AWK,30-50K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,ATLANTA,30-44,30-39,IND/OTHER,30-39,OTHER,ONLYBUSH,BOTH,ISSUES,,,0.419
STATE ONLY,11.0,11.0,8.0,SECOND CALL,50-59,WHITE,MALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,NO,DOLE,MOSTILL,SAME,DIS/UNFAV,YES,NO,REPUBLCN,SUBURBS,COLGRAD,PROTESTANT,ONCEAWEEK,30-50K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,ATLANTA,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,0.392
STATE ONLY,11.0,11.0,9.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,MEDICARE/RX,HONEST,NO,DOLE,MOSTILL,SAME,DIS/UNFAV,YES,NO,REPUBLCN,SUBURBS,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,75-100K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,ATLANTA,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,0.374
STATE ONLY,11.0,11.0,10.0,SECOND CALL,30-39,WHITE,MALE,BUSH,MILLER,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,OMITS,HONEST,NO,DOLE,MOSTILL,SAME,DIS/UNFAV,YES,NO,INDEPEND,SUBURBS,COLGRAD,PROTESTANT,AFEWAMONTH,30-50K,YES,YES,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,ATLANTA,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,BOTH,ONLYGORE,ISSUES,,,0.419
STATE ONLY,11.0,11.0,11.0,SECOND CALL,30-39,BLACK,FEMALE,GORE,MILLER,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,EDUCATION,EXPERIENCE,NO,CLINTON,ALWYSLGL,BETTER,APP/FAV,NO,NO,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,OVER100K,YES,YES,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,ATLANTA,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,0.463
STATE ONLY,11.0,11.0,12.0,SECOND CALL,25-29,BLACK,FEMALE,GORE,MILLER,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,EDUCATION,CARES,NO,CLINTON,ALWYSLGL,BETTER,APP/FAV,YES,NO,DEMOCRAT,SUBURBS,HSGRAD,OTHERCHRIST,AFEWAMONTH,15-30K,YES,YES,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,ATLANTA,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,ONLYGORE,ONLYGORE,ISSUES,,,0.668
STATE ONLY,11.0,11.0,13.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,MILLER,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,WORLDAFFAIRS,LIKEABLE,YES,NOVOTE,MOSTILL,BETTER,DIS/UNFAV,YES,NO,REPUBLCN,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,30-50K,NO,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,ATLANTA,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,BOTH,BOTH,PERSONALQUAL,,,0.58
STATE ONLY,11.0,11.0,14.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,CARES,NO,DOLE,MOSTLGL,SAME,DIS/UNFAV,YES,NO,REPUBLCN,SUBURBS,COLGRAD,PROTESTANT,AFEWAYEAR,OVER100K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,ATLANTA,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,BOTH,NEITHER,PERSONALQUAL,,,0.374
STATE ONLY,11.0,11.0,15.0,SECOND CALL,30-39,WHITE,MALE,OTHER,MATTINGLY,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,LESS,SUBURBS,ECON/JOBS,GOODJUDGMENT,NO,PEROT,ALWYSLGL,BETTER,DIS/UNFAV,YES,NO,INDEPEND,SUBURBS,POSTGRAD,OTHERCHRIST,NEVER,30-50K,YES,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,ATLANTA,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,NEITHER,ONLYGORE,ISSUES,,,0.209
STATE ONLY,11.0,11.0,16.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,ECON/JOBS,GOODJUDGMENT,NO,NOVOTE,MOSTLGL,BETTER,DIS/UNFAV,YES,NO,REPUBLCN,SUBURBS,COLGRAD,ELSE,AFEWAYEAR,50-75K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,ATLANTA,18-29,25-29,REPUBLICAN,25-29,OTHER,BOTH,BOTH,ISSUES,,,0.545
STATE ONLY,11.0,11.0,17.0,SECOND CALL,60-64,WHITE,MALE,GORE,MILLER,OMITS,OMITS,OMITS,LESS,SUBURBS,MEDICARE/RX,STRONGLEADER,NO,OMITS,MOSTLGL,OMITS,,,NO,,SUBURBS,,,OMITS,,,,,18-64,OMITS,STATE,NOTCOMPLETE,ATLANTA,60+,60+,,50-64,,OMITS,OMITS,OMITS,,,0.725
STATE ONLY,11.0,11.0,18.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,MILLER,DISAPPR,UNFAVORABLE,GORE,LESS,SUBURBS,MEDICARE/RX,CARES,NO,NOVOTE,MOSTILL,BETTER,DIS/UNFAV,YES,NO,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,30-50K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,ATLANTA,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,0.463
STATE ONLY,11.0,11.0,19.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,ECON/JOBS,EXPERIENCE,NO,NOVOTE,MOSTILL,BETTER,DIS/UNFAV,YES,NO,REPUBLCN,SUBURBS,COLGRAD,PROTESTANT,ONCEAWEEK,75-100K,NO,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,ATLANTA,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,ONLYBUSH,BOTH,ISSUES,,,0.374
STATE ONLY,11.0,11.0,20.0,THIRD CALL,40-44,BLACK,MALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,HEALTHCARE,EXPERIENCE,NO,CLINTON,MOSTILL,BETTER,DIS/UNFAV,YES,NO,REPUBLCN,SUBURBS,POSTGRAD,PROTESTANT,ONCEAWEEK,OVER100K,YES,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,ATLANTA,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,BOTH,BOTH,ISSUES,,,0.36
STATE ONLY,11.0,11.0,21.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,CARES,NO,DOLE,MOSTLGL,SAME,DIS/UNFAV,YES,NO,REPUBLCN,SUBURBS,COLGRAD,ELSE,ONCEAWEEK,OVER100K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,ATLANTA,45-59,50-59,REPUBLICAN,50-64,OTHER,BOTH,NEITHER,PERSONALQUAL,,,0.374
STATE ONLY,11.0,11.0,22.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,ECON/JOBS,GOODJUDGMENT,NO,NOVOTE,MOSTLGL,BETTER,DIS/UNFAV,YES,NO,REPUBLCN,SUBURBS,COLGRAD,ELSE,AFEWAYEAR,50-75K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,ATLANTA,30-44,30-39,REPUBLICAN,30-39,OTHER,BOTH,BOTH,ISSUES,,,0.374
STATE ONLY,11.0,11.0,23.0,THIRD CALL,45-49,WHITE,MALE,BUSH,MILLER,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,EXPERIENCE,NO,DOLE,ALWYSLGL,BETTER,DIS/UNFAV,YES,NO,REPUBLCN,SUBURBS,COLGRAD,ELSE,NEVER,50-75K,,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,ATLANTA,45-59,40-49,REPUBLICAN,40-49,OTHER,ONLYBUSH,BOTH,ISSUES,,,0.419
STATE ONLY,11.0,11.0,24.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,MILLER,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,WORLDAFFAIRS,CARES,NO,OTHER,MOSTLGL,BETTER,DIS/UNFAV,YES,NO,REPUBLCN,SUBURBS,COLGRAD,OTHERCHRIST,ONCEAWEEK,75-100K,YES,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,ATLANTA,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,ONLYBUSH,BOTH,ISSUES,,,0.4
STATE ONLY,11.0,11.0,25.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,,DISAPPR,UNFAVORABLE,GORE,MORE,SUBURBS,HEALTHCARE,CARES,NO,NOVOTE,MOSTILL,BETTER,DIS/UNFAV,YES,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,30-50K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,ATLANTA,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,0.465
STATE ONLY,11.0,11.0,26.0,THIRD CALL,30-39,WHITE,MALE,BUSH,MATTINGLY,APPROVE,UNFAVORABLE,BUSH,MORE,SUBURBS,ECON/JOBS,COMPLEXISSUE,NO,CLINTON,MOSTLGL,SAME,APP/UNFAV,YES,NO,REPUBLCN,SUBURBS,COLGRAD,OTHERCHRIST,ONCEAWEEK,75-100K,YES,YES,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,ATLANTA,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,ONLYBUSH,BOTH,PERSONALQUAL,,,0.392
STATE ONLY,11.0,11.0,27.0,THIRD CALL,60-64,WHITE,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,ECON/JOBS,CARES,NO,CLINTON,MOSTILL,BETTER,DIS/UNFAV,NO,NO,REPUBLCN,SUBURBS,COLGRAD,PROTESTANT,ONCEAWEEK,50-75K,YES,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,ATLANTA,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,ONLYBUSH,BOTH,PERSONALQUAL,,,0.581
STATE ONLY,11.0,11.0,28.0,THIRD CALL,45-49,WHITE,MALE,BUSH,,APPROVE,UNFAVORABLE,BUSH,LESS,SUBURBS,ECON/JOBS,STRONGLEADER,NO,CLINTON,MOSTILL,BETTER,APP/UNFAV,YES,NO,REPUBLCN,SUBURBS,POSTGRAD,PROTESTANT,ONCEAWEEK,75-100K,YES,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,ATLANTA,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,BOTH,BOTH,ISSUES,,,0.421
STATE ONLY,11.0,11.0,29.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,MILLER,APPROVE,UNFAVORABLE,GORE,LESS,SUBURBS,MEDICARE/RX,CARES,NO,NOVOTE,ALWYSILL,BETTER,APP/UNFAV,YES,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,50-75K,NO,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,ATLANTA,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,BOTH,ONLYBUSH,PERSONALQUAL,,,0.463
STATE ONLY,11.0,11.0,30.0,THIRD CALL,50-59,WHITE,MALE,BUSH,MATTINGLY,APPROVE,UNFAVORABLE,BUSH,MORE,SUBURBS,TAXES,LIKEABLE,NO,CLINTON,MOSTILL,BETTER,APP/UNFAV,YES,NO,REPUBLCN,SUBURBS,COLGRAD,ELSE,AFEWAMONTH,75-100K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,ATLANTA,45-59,50-59,REPUBLICAN,50-64,OTHER,ONLYBUSH,BOTH,PERSONALQUAL,,,0.392
STATE ONLY,11.0,11.0,31.0,THIRD CALL,25-29,HISP,FEMALE,GORE,MILLER,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,EDUCATION,CARES,NO,CLINTON,MOSTILL,SAME,APP/UNFAV,YES,YES,DEMOCRAT,SUBURBS,COLGRAD,ELSE,AFEWAMONTH,50-75K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,ATLANTA,18-29,25-29,DEMOCRAT,25-29,OTHER,BOTH,ONLYBUSH,PERSONALQUAL,,,0.668
STATE ONLY,11.0,11.0,32.0,THIRD CALL,30-39,WHITE,MALE,OTHER,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,WORLDAFFAIRS,HONEST,NO,OTHER,MOSTILL,BETTER,DIS/UNFAV,YES,NO,ELSE,SUBURBS,COLGRAD,NONE,NEVER,75-100K,NO,NO,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,ATLANTA,30-44,30-39,IND/OTHER,30-39,NONE,NEITHER,BOTH,ISSUES,,,0.209
STATE ONLY,11.0,11.0,33.0,THIRD CALL,18-24,HISP,FEMALE,GORE,MILLER,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,TAXES,COMPLEXISSUE,YES,NOVOTE,MOSTILL,SAME,APP/FAV,NO,NO,INDEPEND,SUBURBS,HSGRAD,CATHOLIC,AFEWAMONTH,15-30K,NO,NO,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,ATLANTA,18-29,18-24,IND/OTHER,18-24,CATHOLIC,ONLYGORE,ONLYBUSH,ISSUES,,,0.668
STATE ONLY,11.0,11.0,34.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,MATTINGLY,APPROVE,UNFAVORABLE,BUSH,MORE,SUBURBS,TAXES,EXPERIENCE,NO,CLINTON,MOSTILL,SAME,APP/UNFAV,YES,NO,REPUBLCN,SUBURBS,COLGRAD,JEWISH,MORETHAN1AWK,75-100K,YES,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,ATLANTA,30-44,30-39,REPUBLICAN,30-39,JEWISH,BOTH,BOTH,PERSONALQUAL,,,0.374
