ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENHI10,GOVHI10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,GOVTDO10,HEALTHCARE10,ISSUE10,NECWORRY,OBAMA4,TEAPARTY,UNIONHH10,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEHI,TEAPARTY3,WHNCLINC,XTEAPARTYID,LINGLE2,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
912931.0,Hawaii,12.0,Call 2,Complete,Election day exit poll,0.696712851524353,Daniel Inouye,Neil Abercrombie,Female,Other,45-49,Democrat,Conservative,"$50,000-$74,999",College graduate,No,Government is doing too many things better left to businesses and individuals,Expand it,Health care,Very worried,Strongly approve,Somewhat support,Yes,Obama,Non black female,All other races,45-65,30-59,45+,45-59,40-49,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,Something else,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Native Hawaiian,Support,No,Tea Party supporters,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,Extremely High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,96826.0
915136.0,Hawaii,44.0,Call 2,Complete,Election day exit poll,1.3210266828537,Daniel Inouye,Neil Abercrombie,Female,White,65 or over,Independent,Moderate,"Under $30,000",College graduate,No,Omit,Leave it as is,The war in Afghanistan,Somewhat worried,Strongly approve,Neutral,No,Obama,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,Something else,Worried,Approve,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Neutral,No,Non-Tea Party supporters and Independents/Something else,Omit,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Downscale,96714.0
911825.0,Hawaii,24.0,Call 2,Complete,Election day exit poll,0.828797221183777,Daniel Inouye,Neil Abercrombie,Female,Asian,40-44,Independent,Liberal,"$100,000-$199,999",College graduate,No,Government should do more to solve problems,Expand it,The economy,Not too worried,Strongly approve,Somewhat oppose,Yes,Obama,Non black female,All other races,30-44,30-59,18-44,30-44,40-49,Other,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and non white,The economy,Not worried,Approve,Independent/Something else,Independent Women,All others,Independents/Something else,Asian,Oppose,No,Non-Tea Party supporters and Independents/Something else,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,96789.0
894164.0,Hawaii,44.0,Call 1,Complete,Election day exit poll,1.0873054265976,Daniel Inouye,Neil Abercrombie,Male,White,40-44,Democrat,Liberal,"Under $30,000",Some college/assoc. degree,No,Government should do more to solve problems,Expand it,Health care,Somewhat worried,Strongly approve,Strongly oppose,No,Obama,Non black male,White men,30-44,30-59,18-44,30-44,40-49,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,Something else,Worried,Approve,Democrat,Democratic Men,White Democrats,Liberal Democrats,White,Oppose,Yes,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Downscale,96714.0
919449.0,Hawaii,53.0,Call 3,Complete,Election day exit poll,1.3035831451416,Daniel Inouye,Neil Abercrombie,Female,Other,60-64,Something else,Liberal,"$75,000-$99,999",Postgraduate study,No,Government should do more to solve problems,Leave it as is,The economy,Very worried,Somewhat approve,Somewhat oppose,Yes,Obama,Non black female,All other races,45-65,60+,45+,60+,50-64,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,The economy,Worried,Approve,Independent/Something else,Independent Women,All others,Independents/Something else,Other,Oppose,No,Non-Tea Party supporters and Independents/Something else,Disapprove,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Upscale,96768.0
910704.0,Hawaii,53.0,Call 2,Complete,Election day exit poll,1.04099607467651,Daniel Inouye,Neil Abercrombie,Female,White,45-49,Democrat,Moderate,"$30,000-$49,999",Postgraduate study,No,Government should do more to solve problems,Leave it as is,The economy,Somewhat worried,Somewhat approve,Strongly oppose,No,Obama,Non black female,White women,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,The economy,Worried,Approve,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,Oppose,No,Non-Tea Party supporters and Democrats,Approve,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Upscale,96768.0
919527.0,Hawaii,53.0,Call 3,Complete,Election day exit poll,1.07294809818268,Daniel Inouye,Neil Abercrombie,Male,Other,50-59,Independent,Moderate,"$75,000-$99,999",Some college/assoc. degree,No,Government is doing too many things better left to businesses and individuals,Expand it,The economy,Somewhat worried,Somewhat approve,Strongly oppose,Yes,Obama,Non black male,All other races,45-65,30-59,45+,45-59,50-64,Other,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,The economy,Worried,Approve,Independent/Something else,Independent Men,All others,Independents/Something else,Native Hawaiian,Oppose,No,Non-Tea Party supporters and Independents/Something else,Disapprove,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Upscale,96768.0
895260.0,Hawaii,22.0,Call 1,Complete,Election day exit poll,1.09250545501709,Daniel Inouye,Neil Abercrombie,Female,Asian,50-59,Democrat,Moderate,"$50,000-$74,999",High school graduate,No,Government should do more to solve problems,Expand it,The economy,Very worried,Somewhat approve,Neutral,No,Obama,Non black female,All other races,45-65,30-59,45+,45-59,50-64,Other,No college degree,High school graduate or less,Non white no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,The economy,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Asian,Neutral,No,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,High Density Urban,80s Suburbs,High-Growth Suburban Perimeter,Upscale,96797.0
894154.0,Hawaii,10.0,Call 1,Complete,Election day exit poll,0.801170647144318,Daniel Inouye,Neil Abercrombie,Female,White,45-49,Independent,Moderate,"$100,000-$199,999",Postgraduate study,No,Government should do more to solve problems,Expand it,Health care,Somewhat worried,Strongly approve,Strongly oppose,Yes,Obama,Non black female,White women,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Something else,Worried,Approve,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Oppose,No,Non-Tea Party supporters and Independents/Something else,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96816.0
911948.0,Hawaii,24.0,Call 2,Complete,Election day exit poll,1.03785800933838,Daniel Inouye,Neil Abercrombie,Female,Asian,65 or over,Democrat,Moderate,"Under $30,000",High school graduate,No,Omit,Expand it,Health care,Not at all worried,Strongly approve,Strongly oppose,Yes,Obama,Non black female,All other races,65+,60+,45+,60+,65+,Other,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,Something else,Not worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Asian,Oppose,No,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,96789.0
914000.0,Hawaii,10.0,Call 2,Complete,Election day exit poll,0.801170647144318,Daniel Inouye,Neil Abercrombie,Female,Other,30-39,Democrat,Liberal,"$30,000-$49,999",Some college/assoc. degree,No,Government should do more to solve problems,Expand it,Health care,Not too worried,Strongly approve,Strongly oppose,No,Obama,Non black female,All other races,30-44,30-59,18-44,30-44,30-39,Other,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,Something else,Not worried,Approve,Democrat,Democratic Women,Non White Democrats,Liberal Democrats,Other,Oppose,No,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96816.0
913994.0,Hawaii,8.0,Call 2,Complete,Election day exit poll,0.812224447727203,Daniel Inouye,Neil Abercrombie,Male,Asian,30-39,Independent,Moderate,"$200,000 or more",College graduate,No,Government is doing too many things better left to businesses and individuals,Repeal it,The economy,Not too worried,Somewhat disapprove,Neutral,No,Obama,Non black male,All other races,30-44,30-59,18-44,30-44,30-39,Other,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and non white,The economy,Not worried,Disapprove,Independent/Something else,Independent Men,All others,Independents/Something else,Asian,Neutral,No,Non-Tea Party supporters and Independents/Something else,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96821.0
913122.0,Hawaii,43.0,Call 2,Complete,Election day exit poll,0.788036704063416,Daniel Inouye,Neil Abercrombie,Female,White,45-49,Democrat,Liberal,"$30,000-$49,999",Some college/assoc. degree,No,Government should do more to solve problems,Leave it as is,The economy,Not too worried,Strongly approve,Strongly oppose,Yes,Obama,Non black female,White women,45-65,30-59,45+,45-59,40-49,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,The economy,Not worried,Approve,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,Oppose,Yes,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Suburbs,Suburbs,2.0,1.0,West,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96734.0
894138.0,Hawaii,43.0,Call 1,Complete,Election day exit poll,0.812224447727203,Daniel Inouye,Neil Abercrombie,Male,Other,50-59,Democrat,Moderate,"Under $30,000",High school graduate,No,Government should do more to solve problems,Expand it,Omit,Very worried,Strongly approve,Strongly oppose,No,Obama,Non black male,All other races,45-65,30-59,45+,45-59,50-64,Other,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,Omit,Worried,Approve,Democrat,Democratic Men,Non White Democrats,Moderate/Conservative Democrats,Other,Oppose,No,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Suburbs,Suburbs,2.0,1.0,West,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96734.0
894129.0,Hawaii,44.0,Call 1,Complete,Election day exit poll,1.3210266828537,Daniel Inouye,Neil Abercrombie,Female,White,60-64,Democrat,Moderate,"$50,000-$74,999",Some college/assoc. degree,No,Government should do more to solve problems,Expand it,Health care,Somewhat worried,Somewhat approve,Neutral,Yes,Obama,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Something else,Worried,Approve,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,Neutral,No,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Downscale,96714.0
912874.0,Hawaii,10.0,Call 2,Complete,Election day exit poll,0.746371746063232,Daniel Inouye,Neil Abercrombie,Female,Asian,25-29,Democrat,Moderate,"$30,000-$49,999",Postgraduate study,No,Government is doing too many things better left to businesses and individuals,Omit,Health care,Somewhat worried,Strongly approve,Neutral,Yes,Obama,Non black female,All other races,18-29,18-29,18-44,18-29,25-29,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,Something else,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Asian,Neutral,No,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96816.0
913313.0,Hawaii,12.0,Call 2,Complete,Election day exit poll,0.696712851524353,Daniel Inouye,Neil Abercrombie,Female,White,50-59,Independent,Moderate,"$75,000-$99,999",Postgraduate study,No,Government should do more to solve problems,Expand it,Health care,Not too worried,Strongly approve,Strongly oppose,Yes,Obama,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Something else,Not worried,Approve,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Oppose,No,Non-Tea Party supporters and Independents/Something else,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,Extremely High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,96826.0
913956.0,Hawaii,8.0,Call 2,Complete,Election day exit poll,0.812224447727203,Daniel Inouye,Neil Abercrombie,Male,Asian,50-59,Independent,Moderate,,College graduate,No,Government is doing too many things better left to businesses and individuals,Leave it as is,The war in Afghanistan,Not too worried,Somewhat approve,Strongly oppose,No,Obama,Non black male,All other races,45-65,30-59,45+,45-59,50-64,Other,College graduate,More than High school graduate,Non white college degree,,,,,,Something else,Not worried,Approve,Independent/Something else,Independent Men,All others,Independents/Something else,Asian,Oppose,,Non-Tea Party supporters and Independents/Something else,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96821.0
892994.0,Hawaii,24.0,Call 1,Complete,Election day exit poll,0.8542360663414,Daniel Inouye,Neil Abercrombie,Male,Hispanic,40-44,Independent,Moderate,"$30,000-$49,999",College graduate,Yes,Government should do more to solve problems,Expand it,The economy,Somewhat worried,Strongly approve,Strongly oppose,Yes,Obama,Non black male,Latino men,30-44,30-59,18-44,30-44,40-49,Latino 30-44,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,The economy,Worried,Approve,Independent/Something else,Independent Men,All others,Independents/Something else,Hispanic/Latino,Oppose,No,Non-Tea Party supporters and Independents/Something else,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,96789.0
919465.0,Hawaii,53.0,Call 3,Complete,Election day exit poll,1.04099607467651,Daniel Inouye,Neil Abercrombie,Female,White,50-59,Democrat,Moderate,,Some college/assoc. degree,No,Government is doing too many things better left to businesses and individuals,Repeal it,The economy,Very worried,Somewhat disapprove,Somewhat oppose,No,Obama,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,The economy,Worried,Disapprove,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,Oppose,,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Upscale,96768.0
912306.0,Hawaii,24.0,Call 2,Complete,Election day exit poll,1.03785800933838,Daniel Inouye,Neil Abercrombie,Female,Asian,60-64,Democrat,Moderate,"$75,000-$99,999",College graduate,No,Government should do more to solve problems,Repeal it,The economy,Very worried,Somewhat approve,Neutral,Yes,Obama,Non black female,All other races,45-65,60+,45+,60+,50-64,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,The economy,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Asian,Neutral,No,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,96789.0
894082.0,Hawaii,43.0,Call 1,Complete,Election day exit poll,0.788036704063416,Daniel Inouye,Neil Abercrombie,Female,White,40-44,Democrat,Liberal,"$75,000-$99,999",Postgraduate study,No,Government should do more to solve problems,Expand it,Health care,Not too worried,Strongly approve,Strongly oppose,No,Obama,Non black female,White women,30-44,30-59,18-44,30-44,40-49,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Something else,Not worried,Approve,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,Oppose,No,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Suburbs,Suburbs,2.0,1.0,West,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96734.0
911877.0,Hawaii,24.0,Call 2,Not complete,Election day exit poll,0.772108733654022,Daniel Inouye,Neil Abercrombie,Female,Asian,25-29,,,,High school graduate,No,Government should do more to solve problems,,,,Strongly approve,,,,Non black female,All other races,18-29,18-29,18-44,18-29,25-29,Other,No college degree,High school graduate or less,Non white no college degree,,,,,,,,Approve,,,,,Asian,,,,,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,96789.0
912821.0,Hawaii,10.0,Call 2,Complete,Election day exit poll,0.825761556625366,Daniel Inouye,Neil Abercrombie,Male,Asian,40-44,Republican,Moderate,"$100,000-$199,999",College graduate,No,Government is doing too many things better left to businesses and individuals,Repeal it,The economy,Very worried,Somewhat disapprove,Neutral,Yes,Obama,Non black male,All other races,30-44,30-59,18-44,30-44,40-49,Other,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and non white,The economy,Worried,Disapprove,Republican,Republican Men,All others,Moderate/Liberal Republicans,Asian,Neutral,No,Non-Tea Party supporters and Republicans,Approve,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96816.0
895159.0,Hawaii,22.0,Call 1,Complete,Election day exit poll,1.36808562278748,Daniel Inouye,Neil Abercrombie,Female,Asian,60-64,Democrat,Liberal,,High school graduate,No,Government should do more to solve problems,Expand it,Health care,Very worried,Somewhat approve,Neutral,Yes,Obama,Non black female,All other races,45-65,60+,45+,60+,50-64,Other,No college degree,High school graduate or less,Non white no college degree,,,,,,Something else,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Liberal Democrats,Asian,Neutral,,Non-Tea Party supporters and Democrats,Omit,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,High Density Urban,80s Suburbs,High-Growth Suburban Perimeter,Upscale,96797.0
891844.0,Hawaii,53.0,Call 1,Complete,Election day exit poll,1.04099607467651,Daniel Inouye,Neil Abercrombie,Female,White,45-49,Independent,Conservative,"$75,000-$99,999",Some college/assoc. degree,No,Government should do more to solve problems,Expand it,The economy,Very worried,Somewhat approve,Neutral,No,Obama,Non black female,White women,45-65,30-59,45+,45-59,40-49,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,The economy,Worried,Approve,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Neutral,No,Non-Tea Party supporters and Independents/Something else,Approve,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Upscale,96768.0
894042.0,Hawaii,10.0,Call 1,Complete,Election day exit poll,0.801170647144318,Daniel Inouye,Neil Abercrombie,Female,Asian,50-59,Democrat,Moderate,"$75,000-$99,999",College graduate,No,Government should do more to solve problems,Leave it as is,The economy,Not too worried,Strongly approve,Somewhat oppose,No,Obama,Non black female,All other races,45-65,30-59,45+,45-59,50-64,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,The economy,Not worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Asian,Oppose,No,Non-Tea Party supporters and Democrats,Approve,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96816.0
894040.0,Hawaii,43.0,Call 1,Complete,Election day exit poll,0.812224447727203,Daniel Inouye,Neil Abercrombie,Male,White,50-59,Democrat,Liberal,"$100,000-$199,999",Postgraduate study,No,Government should do more to solve problems,Expand it,The war in Afghanistan,Somewhat worried,Strongly approve,Strongly oppose,No,Obama,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Something else,Worried,Approve,Democrat,Democratic Men,White Democrats,Liberal Democrats,White,Oppose,No,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Suburbs,Suburbs,2.0,1.0,West,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96734.0
912790.0,Hawaii,12.0,Call 2,Complete,Election day exit poll,0.668980777263641,Daniel Inouye,Neil Abercrombie,Male,Hispanic,18-24,Independent,Moderate,"$50,000-$74,999",Some college/assoc. degree,Yes,Government should do more to solve problems,Expand it,The economy,Somewhat worried,Strongly approve,Strongly oppose,No,Obama,Non black male,Latino men,18-29,18-29,18-44,18-29,18-24,Latino 18-29,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,The economy,Worried,Approve,Independent/Something else,Independent Men,All others,Independents/Something else,Hispanic/Latino,Oppose,No,Non-Tea Party supporters and Independents/Something else,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,Extremely High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,96826.0
912781.0,Hawaii,43.0,Call 2,Complete,Election day exit poll,0.788036704063416,Daniel Inouye,Neil Abercrombie,Female,White,50-59,Democrat,Liberal,"$100,000-$199,999",College graduate,No,Government should do more to solve problems,Leave it as is,The war in Afghanistan,Somewhat worried,Strongly approve,Strongly oppose,No,Obama,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Something else,Worried,Approve,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,Oppose,No,Non-Tea Party supporters and Democrats,Approve,State questionnaire,Suburbs,Suburbs,2.0,1.0,West,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96734.0
914983.0,Hawaii,44.0,Call 2,Complete,Election day exit poll,0.702880561351776,Daniel Inouye,Neil Abercrombie,Male,Black,50-59,Democrat,Liberal,"Under $30,000",College graduate,No,Government should do more to solve problems,Expand it,Health care,Very worried,Strongly approve,Strongly oppose,No,Obama,Black male,Black men,45-65,30-59,45+,45-59,50-64,Black 45-54,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,Something else,Worried,Approve,Democrat,Democratic Men,Non White Democrats,Liberal Democrats,Black,Oppose,No,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Downscale,96714.0
893633.0,Hawaii,12.0,Call 1,Complete,Election day exit poll,0.718097567558289,Daniel Inouye,Neil Abercrombie,Male,Asian,30-39,Democrat,Moderate,"$50,000-$74,999",Postgraduate study,No,Government should do more to solve problems,Leave it as is,The war in Afghanistan,Somewhat worried,Strongly approve,Strongly oppose,No,Obama,Non black male,All other races,30-44,30-59,18-44,30-44,30-39,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,Something else,Worried,Approve,Democrat,Democratic Men,Non White Democrats,Moderate/Conservative Democrats,Asian,Oppose,No,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,Extremely High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,96826.0
893989.0,Hawaii,10.0,Call 1,Not complete,Election day exit poll,0.801170647144318,Daniel Inouye,Neil Abercrombie,Female,Asian,50-59,,,,Postgraduate study,No,Government should do more to solve problems,,,,Somewhat approve,,,,Non black female,All other races,45-65,30-59,45+,45-59,50-64,Other,College graduate,More than High school graduate,Non white college degree,,,,,,,,Approve,,,,,Asian,,,,,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96816.0
896190.0,Hawaii,8.0,Call 1,Complete,Election day exit poll,1.01710486412048,Daniel Inouye,Neil Abercrombie,Male,White,65 or over,Democrat,Liberal,"$200,000 or more",Postgraduate study,No,Government should do more to solve problems,Expand it,The economy,Not at all worried,Strongly approve,Strongly oppose,Yes,Obama,Non black male,White men,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,The economy,Not worried,Approve,Democrat,Democratic Men,White Democrats,Liberal Democrats,White,Oppose,No,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96821.0
909650.0,Hawaii,53.0,Call 2,Complete,Election day exit poll,1.07294809818268,Daniel Inouye,Neil Abercrombie,Male,Other,50-59,Democrat,Moderate,"$100,000-$199,999",Some college/assoc. degree,No,Government should do more to solve problems,Expand it,The economy,Not too worried,Strongly approve,Neutral,Yes,Obama,Non black male,All other races,45-65,30-59,45+,45-59,50-64,Other,No college degree,More than High school graduate,Non white no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and non white,The economy,Not worried,Approve,Democrat,Democratic Men,Non White Democrats,Moderate/Conservative Democrats,Native Hawaiian,Neutral,No,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Upscale,96768.0
892873.0,Hawaii,24.0,Call 1,Complete,Election day exit poll,1.03785800933838,Daniel Inouye,Neil Abercrombie,Female,Asian,65 or over,Democrat,Moderate,"$50,000-$74,999",High school graduate,No,Government should do more to solve problems,Expand it,Health care,Very worried,Strongly approve,Neutral,No,Obama,Non black female,All other races,65+,60+,45+,60+,65+,Other,No college degree,High school graduate or less,Non white no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,Something else,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Asian,Neutral,No,Non-Tea Party supporters and Democrats,Omit,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,96789.0
