id,backside,brnagain,call,cdnum,educ12r,educcoll,educhs,educwhit,forcands,geocode,gopconv1,govtangr,govtan_1,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,issrep16,mdrprs16,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,sex,sexbyrac,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trumpvot,version,votenovc,votenovk,votenovt,wallst16,weight,whnclinc,whtevang,xage,xage3,xage8,xage45,xage49,xage60,xage65,xagebyra
582260,Complete,No,Call 2,7,College graduate,College graduate,More than High school graduate,White college degree,Against his opponents,4,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,John Kasich,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,70,Can win in November,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,Probably vote for him,Definitely vote for him,Not vote for him,Help the U.S. economy,.814794361591339,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
582275,Complete,No,Call 2,7,College graduate,College graduate,More than High school graduate,White college degree,For your candidate,4,Who the delegates think would be the best nominee,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,John Kasich,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,70,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Not vote for him,Definitely vote for him,Not vote for him,Help the U.S. economy,.814794361591339,No,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
582344,Complete,No,Call 2,7,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Against his opponents,2,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Government spending,John Kasich,Independent/Something else,White Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate,24,Tells it like it is,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,Not vote for him,Probably vote for him,Not vote for him,Hurt the U.S. economy,.961840391159058,No,All others,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29
582355,Complete,No,Call 2,7,Postgraduate study,College graduate,More than High school graduate,White college degree,For your candidate,2,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,John Kasich,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,24,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Not vote for him,Probably vote for him,Not vote for him,Help the U.S. economy,.961840391159058,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
582361,Complete,Yes,Call 2,7,High school or less,No college degree,High school graduate or less,White no college degree,For your candidate,4,With the most votes in the primaries,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,John Kasich,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,70,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Definitely vote for him,Help the U.S. economy,.891343593597412,Yes,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
582362,Complete,Yes,Call 2,7,High school or less,No college degree,High school graduate or less,White no college degree,For your candidate,4,With the most votes in the primaries,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,John Kasich,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,70,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Definitely vote for him,Help the U.S. economy,.891343593597412,Yes,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
582364,Not complete, ,Call 2,7, , , , ,For your candidate,2, , , , , , , , , , , ,John Kasich, , , , , , , ,24, ,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Not vote for him, ,.879236876964569, , ,65+,60+,65 or over,45+,50+,60+,65+,White 60+
582380,Complete,No,Call 2,7,Postgraduate study,College graduate,More than High school graduate,White college degree,For your candidate,4,With the most votes in the primaries,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Economy/Jobs,John Kasich,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,69,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Not vote for him,Definitely vote for him,Not vote for him,Help the U.S. economy,.90467894077301,No,All others,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
582401,Complete,No,Call 2,7,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,For your candidate,4,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Economy/Jobs,John Kasich,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,69,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Probably vote for him,Definitely vote for him,Not vote for him,Help the U.S. economy,.826984465122223,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
582413,Complete,No,Call 2,7,College graduate,College graduate,More than High school graduate,White college degree,For your candidate,4,With the most votes in the primaries,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Economy/Jobs,John Kasich,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,69,Can win in November,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Probably vote for him,Definitely vote for him,Probably vote for him,Help the U.S. economy,.90467894077301,No,All others,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44
582419,Complete,No,Call 2,7,Postgraduate study,College graduate,More than High school graduate,White college degree,For your candidate,4,Who the delegates think would be the best nominee,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,John Kasich,Democrat,White Democrat,Democrat,Democratic Men,Moderate/Liberal,Moderate,Moderate,69,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,Not vote for him,Probably vote for him,Not vote for him,Hurt the U.S. economy,.90467894077301,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
582420,Complete,No,Call 2,7,Postgraduate study,College graduate,More than High school graduate,White college degree,For your candidate,4,Who the delegates think would be the best nominee,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,John Kasich,Democrat,White Democrat,Democrat,Democratic Men,Moderate/Liberal,Moderate,Moderate,69,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,Not vote for him,Probably vote for him,Not vote for him,Hurt the U.S. economy,.90467894077301,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
582462,Complete,No,Call 2,1,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,For your candidate,1,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,John Kasich,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,115,Tells it like it is,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,Probably vote for him,Definitely vote for him,Not vote for him,Help the U.S. economy,1.08469104766846,Yes,All others,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29
582471,Complete,No,Call 2,1,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,For your candidate,1,With the most votes in the primaries,Angry,"Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Terrorism,John Kasich,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,115,Can bring needed change,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,Probably vote for him,Probably vote for him,Definitely vote for him,Hurt the U.S. economy,.991537034511566,Yes,All others,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
582498,Complete,No,Call 2,1,College graduate,College graduate,More than High school graduate,White college degree,For your candidate,1,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Economy/Jobs,John Kasich,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,115,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,Probably vote for him,Definitely vote for him,Probably vote for him,Hurt the U.S. economy,1.08469104766846,No,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
582514,Not complete, ,Call 2,8, , , , ,Against his opponents,3, , , , , , , , , , , ,John Kasich, , , , , , , ,86, ,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,Probably vote for him,Definitely vote for him,Not vote for him, ,.71289598941803, , ,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
582519,Complete,No,Call 2,8,Postgraduate study,College graduate,More than High school graduate,White college degree,Against his opponents,4,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Terrorism,John Kasich,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,49,Can win in November,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Not vote for him,Hurt the U.S. economy,.827101588249207,No,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
582527,Complete,No,Call 2,8,High school or less,No college degree,High school graduate or less,White no college degree,For your candidate,3,Who the delegates think would be the best nominee,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Government spending,John Kasich,Independent/Something else,White Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate,86,Can win in November,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Not vote for him,Help the U.S. economy,.71289598941803,No,All others,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29
582528,Complete,No,Call 2,8,High school or less,No college degree,High school graduate or less,White no college degree,For your candidate,3,Who the delegates think would be the best nominee,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Government spending,John Kasich,Independent/Something else,White Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate,86,Can win in November,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Not vote for him,Help the U.S. economy,.71289598941803,No,All others,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29
582587,Complete,Yes,Call 2,3,College graduate,College graduate,More than High school graduate,Non white college degree,Against his opponents,1,With the most votes in the primaries,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Economy/Jobs,John Kasich,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,10,Shares my values,Black,Black,State questionnaire,Black,Non-white,East,Male,Black men,Suburbs,Suburbs, Maryland,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Not Donald Trump,Version 1,Probably vote for him,Not vote for him,Not vote for him,Help the U.S. economy,1.09956860542297,No,All others,45-65,30-59,45-49,45+,17-49,45-59,40-49,Black 45-59
582608,Complete,Yes,Call 2,8,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Against his opponents,4,With the most votes in the primaries,Angry,"Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Government spending,John Kasich,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,49,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,Probably vote for him,Definitely vote for him,Probably vote for him,Help the U.S. economy,.756069540977478,Yes,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
582617,Complete,Yes,Call 2,5,College graduate,College graduate,More than High school graduate,White college degree,Against his opponents,1,With the most votes in the primaries,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,John Kasich,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,111,Can bring needed change,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,Not vote for him,Definitely vote for him,Not vote for him,Omit,1.21144127845764,No,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
582626,Complete,No,Call 2,3,Postgraduate study,College graduate,More than High school graduate,White college degree,For your candidate,1,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Terrorism,John Kasich,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,10,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Not vote for him,Definitely vote for him,Not vote for him,Hurt the U.S. economy,.839747309684753,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
582628,Complete,No,Call 2,8,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Against his opponents,4,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry", , , , , , , ,Government spending,John Kasich,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,49,Can win in November,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Not vote for him,Hurt the U.S. economy,.827101588249207, ,All others,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
582632,Complete,No,Call 2,3,Postgraduate study,College graduate,More than High school graduate,White college degree,Omit,1,Who the delegates think would be the best nominee,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Terrorism,John Kasich,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,10,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,Probably vote for him,Definitely vote for him,Probably vote for him,Hurt the U.S. economy,.839747309684753,No,All others,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
582635,Complete,No,Call 2,5,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,For your candidate,1,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,John Kasich,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,46,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,Not vote for him,Probably vote for him,Not vote for him,Hurt the U.S. economy,3.70678997039795,No,All others,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
582638,Complete,Yes,Call 2,8,Postgraduate study,College graduate,More than High school graduate,White college degree,Against his opponents,4,With the most votes in the primaries,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Omit,John Kasich,Independent/Something else,White Independent,Something else,Independent Women,Conservative,Conservative,Somewhat conservative,49,Can bring needed change,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,Probably vote for him,Probably vote for him,Not vote for him,Omit,.756069540977478,No,White Born-again/Evangelical Christians,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
582641,Complete,No,Call 2,5,Postgraduate study,College graduate,More than High school graduate,White college degree,For your candidate,3,With the most votes in the primaries,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Terrorism,John Kasich,Democrat,White Democrat,Democrat,Democratic Men,Conservative,Conservative,Somewhat conservative,106,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Not vote for him,Definitely vote for him,Not vote for him,Help the U.S. economy,1.18677067756653,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
582644,Complete,Yes,Call 2,5,College graduate,College graduate,More than High school graduate,White college degree,For your candidate,1,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Terrorism,John Kasich,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,46,Can win in November,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,Probably vote for him,Definitely vote for him,Probably vote for him,Hurt the U.S. economy,3.70678997039795,No,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
582655,Complete,No,Call 2,3,College graduate,College graduate,More than High school graduate,White college degree,For your candidate,1,Who the delegates think would be the best nominee,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Government spending,John Kasich,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,10,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,Not vote for him,Definitely vote for him,Not vote for him,Help the U.S. economy,.839747309684753,No,All others,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29
582658,Complete,No,Call 2,5,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Against his opponents,3,With the most votes in the primaries,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,John Kasich,Independent/Something else,White Independent,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate,106,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Not vote for him,Not vote for him,Not vote for him,Hurt the U.S. economy,1.08484995365143,No,All others,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
582659,Complete,No,Call 2,5,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,For your candidate,1,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,John Kasich,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,111,Can bring needed change,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Definitely vote for him,Omit,1.21144127845764,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
582660,Complete,No,Call 2,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,For your candidate,1,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Terrorism,John Kasich,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,10,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Probably vote for him,Probably vote for him,Probably vote for him,Hurt the U.S. economy,.767629206180573,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
582661,Complete,Yes,Call 2,2,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,For your candidate,1,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,John Kasich,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,64,Tells it like it is,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Not vote for him,Definitely vote for him,Not vote for him,Help the U.S. economy,1.95839309692383,No,White Born-again/Evangelical Christians,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44
582663,Complete,No,Call 2,8,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,For your candidate,4,With the most votes in the primaries,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,John Kasich,Independent/Something else,White Independent,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate,49,Can bring needed change,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,Not vote for him,Definitely vote for him,Probably vote for him,Hurt the U.S. economy,.756069540977478,No,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
582664,Complete,Yes,Call 2,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Against his opponents,1,Who the delegates think would be the best nominee,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,John Kasich,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,10,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,Probably vote for him,Not vote for him,Not vote for him,Help the U.S. economy,.839747309684753,No,White Born-again/Evangelical Christians,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
