id,age,age3,age8,age45,age49,age60,age65,ageblack,agebyrac,agebyr_1,backside,brnagain,call,cdnum,econrep1,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,govtangr,govtan_1,immdepor,immwall,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,intcrisi,issrep16,latino,latinos,muslimba,outsider,over45,over65,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,raceai,region,satcruz,satrubio,sattrump,scotusre,sex,sexbyrac,sharerel,sharer_1,sizeplac,sizeplc3,spanishq,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trumpvot,txrprs16,unfairre,version,weight,whnclinc,whtevang
404056,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No,Call 1,7, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,3,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white", ,Economy/Jobs,No,No,Oppose, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,58,Shares my values,White,White,State questionnaire,White,White,White,South,Dissatisfied,Satisfied,Satisfied,John Kasich,Male,White men, , ,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Marco Rubio, ,Version 1,.700731992721558,No,All others
404066,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,Latino 45-59,White 45-64,Complete,No,Call 1,7,Donald Trump,Very worried,Worried,College graduate,College graduate,More than High school graduate,Non white college degree,3, , , ,Support, , , , , , , ,Ted Cruz,Economy/Jobs,Yes,Yes, ,Be from outside the political establishment,45+,18-64,Independent/Something else,Latino Independent,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate,51,Can bring needed change,Other,White,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,South, , , , ,Female,Latino women,Not at all,Not much or not at all,Suburbs,Suburbs,English,Texas,Election day exit poll, , , , ,Donald Trump,Donald Trump,Omit,Version 2,.818253457546234, ,All others
404084,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,No,Call 1,2,Ted Cruz,Very worried,Worried,College graduate,College graduate,More than High school graduate,Non white college degree,3, , , ,Support, , , , , , , ,Ted Cruz,Terrorism, , , ,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,55,Shares my values,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,South, , , , ,Male,Latino men,A great deal,A great deal or somewhat,"Cities over 500,000","Cities over 50,000", ,Texas,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Donald Trump,Version 2,.336466073989868, ,All others
404117,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,Call 1,17, , , ,High school or less,No college degree,High school graduate or less,White no college degree,1,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Government spending,No,No,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,79,Shares my values,White,White,State questionnaire,White,White,White,South,Satisfied,Omit,Omit,Ted Cruz,Male,White men, , ,Rural,Small Cities/Rural,English,Texas,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Ted Cruz, ,Version 1,1.26185572147369,No,White Born-again/Evangelical Christians
404136,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,No,Call 1,7,Donald Trump,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,3, , , ,Support, , , , , , , ,Donald Trump,Government spending,No,No, ,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,58,Shares my values,White,White,State questionnaire,White,White,White,South, , , , ,Male,White men,Somewhat,A great deal or somewhat,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll, , , , ,Donald Trump,Donald Trump,Donald Trump,Version 2,.645448267459869, ,All others
404144,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,Call 1,7,Marco Rubio,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3, , , ,Oppose, , , , , , , ,Marco Rubio,Economy/Jobs,No,No, ,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,51,Can bring needed change,White,White,State questionnaire,White,White,White,South, , , , ,Male,White men,Somewhat,A great deal or somewhat,Suburbs,Suburbs,English,Texas,Election day exit poll, , , , ,Not Donald Trump,Marco Rubio,Donald Trump,Version 2,.503062844276428, ,White Born-again/Evangelical Christians
404159,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Yes,Call 1,2, , , ,College graduate,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Government spending,No,No,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,55,Shares my values,White,White,State questionnaire,White,White,White,South,Dissatisfied,Dissatisfied,Satisfied,Donald Trump,Female,White women, , ,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Donald Trump, ,Version 1,.332331448793411,No,White Born-again/Evangelical Christians
404162,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,Call 1,17, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,1,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Terrorism,No,No,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,79,Shares my values,White,White,State questionnaire,White,White,White,South,Satisfied,Satisfied,Satisfied,Ted Cruz,Female,White women, , ,Rural,Small Cities/Rural,English,Texas,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Ted Cruz, ,Version 1,1.29222691059113,No,All others
404210,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Call 1,17, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from, ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Omit,No,No,Support, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Very conservative,79,Tells it like it is,White,White,State questionnaire,White,White,White,South,Dissatisfied,Dissatisfied,Satisfied,Donald Trump,Male,White men, , ,Rural,Small Cities/Rural,English,Texas,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Donald Trump, ,Version 1,.936070382595062,No,All others
404227,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,No,Call 1,7,Donald Trump,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,3, , , ,Support, , , , , , , ,Ted Cruz,Government spending,No,No, ,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,58,Shares my values,White,White,State questionnaire,White,White,White,South, , , , ,Female,White women,A great deal,A great deal or somewhat,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Marco Rubio,Version 2,.913046181201935, ,All others
404248,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,Call 1,15, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,6,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Economy/Jobs,No,No,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,73,Shares my values,White,White,State questionnaire,White,White,White,South,Satisfied,Dissatisfied,Dissatisfied,Ted Cruz,Male,White men, , ,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Ted Cruz, ,Version 1,.28959646821022,No,White Born-again/Evangelical Christians
404253,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No,Call 1,17, , , ,College graduate,College graduate,More than High school graduate,White college degree,1,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from, , , , , , , , , ,Immigration,No,No,Support, ,45+,18-64,Democrat,White Democrat,Democrat,Democratic Women,Moderate/Liberal,Moderate,Moderate,79,Tells it like it is,White,White,State questionnaire,White,White,White,South,Dissatisfied,Dissatisfied,Satisfied,Donald Trump,Female,White women, , ,Rural,Small Cities/Rural,English,Texas,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Donald Trump, ,Version 1,.794036746025085,No,All others
404263,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,No,Call 1,2, , , ,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white", ,Economy/Jobs,Yes,Yes,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,55,Tells it like it is,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,South,Satisfied,Satisfied,Satisfied,Ted Cruz,Male,Latino men, , ,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll,Just today,Last few days,In the last month,This week,Donald Trump,Donald Trump, ,Version 1,.32452067732811,No,All others
404281,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,No,Call 1,7, , , ,Postgraduate study,College graduate,More than High school graduate,Non white college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white", ,Government spending,No,No,Oppose, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,51,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,South,Satisfied,Satisfied,Satisfied,Donald Trump,Male,Black men, , ,Suburbs,Suburbs,English,Texas,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Donald Trump, ,Version 1,1.00762486457825,No,All others
404286,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,Yes,Call 1,15, , , ,College graduate,College graduate,More than High school graduate,Non white college degree,6,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white", ,Immigration,Yes,Yes,Support, ,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,73,Can bring needed change,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,South,Satisfied,Dissatisfied,Satisfied,Omit,Female,Latino women, , ,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Donald Trump, ,Version 1,.395641297101974,No,All others
404292,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,Call 1,17, , , ,College graduate,College graduate,More than High school graduate,White college degree,1,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Government spending,No,No,Support, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate,79,Shares my values,White,White,State questionnaire,White,White,White,South,Satisfied,Dissatisfied,Satisfied,Ted Cruz,Male,White men, , ,Rural,Small Cities/Rural,English,Texas,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Ted Cruz, ,Version 1,1.38646268844604,No,All others
404307,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No,Call 1,7,Marco Rubio,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,3, , , ,Oppose, , , , , , , ,Marco Rubio,Immigration,No,No, ,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,58,Shares my values,White,White,State questionnaire,White,White,White,South, , , , ,Male,White men,Not much,Not much or not at all,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll, , , , ,Not Donald Trump,Marco Rubio,Ted Cruz,Version 2,.491233259439468, ,All others
404321,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,No,Call 1,15, , , ,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,6,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Offered a chance to apply for legal status, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white", ,Economy/Jobs,Yes,Yes,Oppose, ,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,73,Shares my values,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Male,Latino men, , ,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Ted Cruz, ,Version 1,.28959646821022,No,All others
404335,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Call 1,17, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from, ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Immigration,No,No,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,79,Tells it like it is,White,White,State questionnaire,White,White,White,South,Dissatisfied,Dissatisfied,Satisfied,Donald Trump,Male,White men, , ,Rural,Small Cities/Rural,English,Texas,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Donald Trump, ,Version 1,.936070382595062,Yes,White Born-again/Evangelical Christians
404359,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,Yes,Call 1,15, , , ,College graduate,College graduate,More than High school graduate,Non white college degree,6,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white", ,Government spending,Yes,Yes,Support, ,18-44,18-64,Independent/Something else,Latino Independent,Independent,Independent Men,Conservative,Conservative,Very conservative,73,Shares my values,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,South,Satisfied,Dissatisfied,Dissatisfied,Ted Cruz,Male,Latino men, , ,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Ted Cruz, ,Version 1,.28959646821022,No,All others
404372,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,No,Call 1,17, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Government spending,No,No,Oppose, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,79,Shares my values,White,White,State questionnaire,White,White,White,South,Satisfied,Satisfied,Dissatisfied,John Kasich,Male,White men, , ,Rural,Small Cities/Rural,English,Texas,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Ted Cruz, ,Version 1,1.38646268844604,No,All others
404374,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,Yes,Call 1,2,Donald Trump,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,Non white college degree,3, , , ,Oppose, , , , , , , ,John Kasich,Terrorism,Yes,Yes, ,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,55,Can win in November,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,South, , , , ,Female,Latino women,A great deal,A great deal or somewhat,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll, , , , ,Donald Trump,Donald Trump,Ted Cruz,Version 2,.407135009765625, ,All others
404387,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,Call 1,25, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Government spending,No,No,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,76,Tells it like it is,White,White,State questionnaire,White,White,White,South,Dissatisfied,Satisfied,Satisfied,Donald Trump,Male,White men, , ,Suburbs,Suburbs,English,Texas,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Donald Trump, ,Version 1,1.75914776325226,No,White Born-again/Evangelical Christians
404390,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,No,Call 1,7, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Immigration,No,No,Oppose, ,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,51,Can bring needed change,White,White,State questionnaire,White,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Female,White women, , ,Suburbs,Suburbs,English,Texas,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Ted Cruz, ,Version 1,.657356858253479,Yes,All others
404397,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No,Call 1,7, , , ,College graduate,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white", ,Terrorism,No,No,Support, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate,58,Can win in November,White,White,State questionnaire,White,White,White,South,Dissatisfied,Satisfied,Satisfied,Donald Trump,Male,White men, , ,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Donald Trump,Donald Trump, ,Version 1,.636879503726959,No,All others
404401,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,Yes,Call 1,15, , , ,High school or less,No college degree,High school graduate or less,Non white no college degree,6,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Offered a chance to apply for legal status, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white", ,Terrorism,Yes,Yes,Oppose, ,45+,18-64,Independent/Something else,Latino Independent,Independent,Independent Women,Conservative,Conservative,Very conservative,73,Shares my values,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Female,Latino women, , ,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Ted Cruz, ,Version 1,.269913047552109,No,All others
404409,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,Call 1,17, , , ,High school or less,No college degree,High school graduate or less,White no college degree,1,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from, ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Government spending,No,No,Support, ,45+,65+,Democrat,White Democrat,Democrat,Democratic Women,Moderate/Liberal,Moderate,Moderate,79,Tells it like it is,White,White,State questionnaire,White,White,White,South,Dissatisfied,Dissatisfied,Satisfied,Donald Trump,Female,White women, , ,Rural,Small Cities/Rural,English,Texas,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Donald Trump,Donald Trump, ,Version 1,.872447073459625,No,All others
404440,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,No,Call 1,15, , , ,College graduate,College graduate,More than High school graduate,Non white college degree,6,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white", ,Economy/Jobs,Yes,Yes,Oppose, ,45+,18-64,Independent/Something else,Latino Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,73,Can win in November,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,South,Satisfied,Satisfied,Dissatisfied,Marco Rubio,Male,Latino men, , ,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Marco Rubio, ,Version 1,.32901856303215,No,All others
404449,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Call 1,17, , , ,College graduate,College graduate,More than High school graduate,White college degree,1,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from, ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Terrorism,No,No,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,79,Can win in November,White,White,State questionnaire,White,White,White,South,Satisfied,Satisfied,Omit,Ted Cruz,Female,White women, , ,Rural,Small Cities/Rural,English,Texas,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Ted Cruz, ,Version 1,1.29222691059113,No,White Born-again/Evangelical Christians
404462,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Yes,Call 1,25,Marco Rubio,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5, , , ,Oppose, , , , , , , ,Marco Rubio,Government spending,No,No, ,Have experience in politics,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,76,Can win in November,White,White,State questionnaire,White,White,White,South, , , , ,Male,White men,Somewhat,A great deal or somewhat,Suburbs,Suburbs,English,Texas,Election day exit poll, , , , ,Not Donald Trump,Marco Rubio,Donald Trump,Version 2,1.51092326641083, ,White Born-again/Evangelical Christians
404473,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No,Call 1,2, , , ,High school or less,No college degree,High school graduate or less,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Omit,No,No,Oppose, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,55,Omit,White,White,State questionnaire,White,White,White,South,Dissatisfied,Dissatisfied,Satisfied,Donald Trump,Female,White women, , ,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Donald Trump, ,Version 1,.302463501691818,Yes,All others
404481,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,Yes,Call 1,15, , , ,Postgraduate study,College graduate,More than High school graduate,Non white college degree,6,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Omit, ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white", ,Government spending,Yes,Yes,Support, ,18-44,18-64,Independent/Something else,Latino Independent,Independent,Independent Women,Conservative,Conservative,Very conservative,73,Can bring needed change,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,South,Dissatisfied,Dissatisfied,Satisfied,Donald Trump,Female,Latino women, , ,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Donald Trump, ,Version 1,.595020174980164,No,All others
404496,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Yes,Call 1,7, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,3,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white", ,Terrorism,No,No,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,58,Tells it like it is,White,White,State questionnaire,White,White,White,South,Dissatisfied,Dissatisfied,Satisfied,Donald Trump,Male,White men, , ,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Donald Trump,Donald Trump, ,Version 1,.69977068901062,No,White Born-again/Evangelical Christians
