id,age,age3,age8,age45,age49,age60,age65,ageblack,agebyrac,agebyr_1,backside,betrayed,brnagain,call,cdnum,cruzhone,describs,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,gop20162,gop201_1,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,issrep16,mirprs16,muslimba,outsider,over45,over65,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,rubiohon,satcruz,satrubio,sattrump,sex,sexbyrac,sharerel,sharer_1,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trade16,trumphon,trumpvot,unfairre,version,weight,whnclinc,whtevang
441596,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No,Call 1,8,No, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3, , ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Government spending,Donald Trump,Support, ,45+,65+,Democrat,White Democrat,Democrat,Democratic Men,Moderate/Liberal,Moderate,Moderate,29,Tells it like it is,White,White,State questionnaire,White,White,Midwest,Yes,Dissatisfied,Dissatisfied,Satisfied,Male,White men, , ,Suburbs,Suburbs, Michigan,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that, ,Yes,Donald Trump, ,Version 1,.422445446252823,Yes,All others
441597,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,Yes,Call 1,2, ,I dislike the other candidates,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4,Ted Cruz,Marco Rubio, , , , , , , , , , ,Government spending,John Kasich, ,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,113,Shares my values,White,White,State questionnaire,White,White,Midwest, , , , ,Female,White women,A great deal,A great deal or somewhat,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Creates more U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,1.08935809135437, ,White Born-again/Evangelical Christians
441599,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,Yes,Yes,Call 1,13, ,I strongly favor my candidate,Somewhat worried,Worried,High school or less,No college degree,High school graduate or less,Non white no college degree,1,Donald Trump,Donald Trump, , , , , , , , , , ,Immigration,Donald Trump, ,Be from outside the political establishment,45+,65+,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,143,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Midwest, , , , ,Male,Black men,Somewhat,A great deal or somewhat,"Cities over 500,000","Cities over 50,000", Michigan,Election day exit poll, , , , ,Takes away U.S. jobs, ,Donald Trump,Ted Cruz,Version 2,.053867407143116, ,All others
441600,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Yes,Call 1,11, ,I strongly favor my candidate,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,1,Donald Trump,Donald Trump, , , , , , , , , , ,Government spending,John Kasich, ,Have experience in politics,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,153,Shares my values,White,White,State questionnaire,White,White,Midwest, , , , ,Female,White women,Somewhat,A great deal or somewhat,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Creates more U.S. jobs, ,Not Donald Trump,John Kasich,Version 2,1.9595330953598, ,White Born-again/Evangelical Christians
441601,30-44,30-59,30-39,18-44,18-49,30-44,30-39, , , ,Complete, ,No,Call 1,12,Yes, , , ,Postgraduate study,College graduate,More than High school graduate, ,1, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999", ,Terrorism,John Kasich,Oppose, ,18-44,18-64,Republican, ,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,148,Shares my values, , ,State questionnaire, , ,Midwest,Yes,Dissatisfied,Dissatisfied,Dissatisfied,Male, , , ,Suburbs,Suburbs, Michigan,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week, ,No,Not Donald Trump, ,Version 1,.939934194087982,No,All others
441602,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,No,Yes,Call 1,4, ,I strongly favor my candidate,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5,Ted Cruz,Donald Trump, , , , , , , , , , ,Economy/Jobs,Ted Cruz, ,Have experience in politics,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,112,Can bring needed change,White,White,State questionnaire,White,White,Midwest, , , , ,Female,White women,A great deal,A great deal or somewhat,Rural,Small Cities/Rural, Michigan,Election day exit poll, , , , ,Takes away U.S. jobs, ,Not Donald Trump,John Kasich,Version 2,1.37003302574158, ,White Born-again/Evangelical Christians
441603,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,No,Call 1,6, ,I like my candidate but with reservations,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4,Donald Trump,Donald Trump, , , , , , , , , , ,Government spending,Donald Trump, ,Be from outside the political establishment,45+,18-64,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,1,Shares my values,White,White,State questionnaire,White,White,Midwest, , , , ,Male,White men,Not at all,Not much or not at all,Rural,Small Cities/Rural, Michigan,Election day exit poll, , , , ,Takes away U.S. jobs, ,Donald Trump,Ted Cruz,Version 2,.904683470726013, ,All others
441604,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete, ,Yes,Call 1,6,No, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,4, , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Immigration,Marco Rubio,Oppose, ,18-44,18-64,Independent/Something else,White Independent,Something else,Independent Men,Conservative,Conservative,Somewhat conservative,131,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Dissatisfied,Male,White men, , ,Suburbs,Suburbs, Michigan,Election day exit poll,In the last few days,Last few days,In the last month,This week, ,No,Not Donald Trump, ,Version 1,.645833790302277,No,White Born-again/Evangelical Christians
441607,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Yes,Call 1,4, ,I like my candidate but with reservations,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5,Ted Cruz,Omit, , , , , , , , , , ,Government spending,Ted Cruz, ,Have experience in politics,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,22,Shares my values,White,White,State questionnaire,White,White,Midwest, , , , ,Female,White women,Omit,Omit,Rural,Small Cities/Rural, Michigan,Election day exit poll, , , , ,Takes away U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,.835731148719788, ,White Born-again/Evangelical Christians
441610,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,Yes,Call 1,2, ,I dislike the other candidates,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,4,Ted Cruz,Would not have voted, , , , , , , , , , ,Terrorism,Ted Cruz, ,Be from outside the political establishment,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,115,Shares my values,White,White,State questionnaire,White,White,Midwest, , , , ,Female,White women,A great deal,A great deal or somewhat,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Omit, ,Not Donald Trump,Ted Cruz,Version 2,.794426023960114, ,White Born-again/Evangelical Christians
441613,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 1,8,No, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Immigration,Donald Trump,Support, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate,29,Tells it like it is,White,White,State questionnaire,White,White,Midwest,No,Dissatisfied,Dissatisfied,Satisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Donald Trump, ,Version 1,.570261240005493,Yes,White Born-again/Evangelical Christians
441614,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,No,Call 1,11, ,I strongly favor my candidate,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,1,Would not have voted,Omit, , , , , , , , , , ,Economy/Jobs,John Kasich, ,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,153,Can bring needed change,White,White,State questionnaire,White,White,Midwest, , , , ,Male,White men,Not at all,Not much or not at all,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Takes away U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,1.90975880622864, ,All others
441615,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Omit,Yes,Call 1,6, ,I strongly favor my candidate,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4,Donald Trump,Donald Trump, , , , , , , , , , ,Terrorism,Donald Trump, ,Be from outside the political establishment,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate,1,Tells it like it is,White,White,State questionnaire,White,White,Midwest, , , , ,Female,White women,Not much,Not much or not at all,Rural,Small Cities/Rural, Michigan,Election day exit poll, , , , ,Takes away U.S. jobs, ,Donald Trump,Marco Rubio,Version 2,.914516150951386, ,White Born-again/Evangelical Christians
441616,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes,Call 1,4,Yes, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5, , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Deported to the country they came from,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Government spending,John Kasich,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,112,Can win in November,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Satisfied,Female,White women, , ,Rural,Small Cities/Rural, Michigan,Election day exit poll,Just today,Last few days,In the last month,This week, ,Yes,Not Donald Trump, ,Version 1,.550806224346161,Yes,White Born-again/Evangelical Christians
441617,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Yes,No,Call 1,2, ,I dislike the other candidates,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,4,Ted Cruz,Marco Rubio, , , , , , , , , , ,Economy/Jobs,John Kasich, ,Have experience in politics,18-44,18-64,Democrat,White Democrat,Democrat,Democratic Women,Moderate/Liberal,Liberal,Liberal,113,Shares my values,White,White,State questionnaire,White,White,Midwest, , , , ,Female,White women,Not much,Not much or not at all,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Takes away U.S. jobs, ,Not Donald Trump,Ted Cruz,Version 2,1.08935809135437, ,All others
441619,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,No,Call 1,6,Yes, , , ,College graduate,College graduate,More than High school graduate,White college degree,4, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Economy/Jobs,Marco Rubio,Oppose, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,131,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Dissatisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week, ,No,Not Donald Trump, ,Version 1,.585630834102631,No,All others
441621,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes,Call 1,12,Yes, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,1, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Government spending,Ted Cruz,Omit, ,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,148,Can win in November,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Satisfied,Male,White men, , ,Suburbs,Suburbs, Michigan,Election day exit poll,Just today,Last few days,In the last month,This week, ,Yes,Not Donald Trump, ,Version 1,.468713819980621,No,White Born-again/Evangelical Christians
441622,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,No,Call 1,2,No, , , ,College graduate,College graduate,More than High school graduate,White college degree,4, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,Ted Cruz,Oppose, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate,115,Omit,White,White,State questionnaire,White,White,Midwest,No,Satisfied,Dissatisfied,Dissatisfied,Male,White men, , ,Suburbs,Suburbs, Michigan,Election day exit poll,In the last few days,Last few days,In the last month,This week, ,No,Not Donald Trump, ,Version 1,.838394582271576,No,All others
441625,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, ,Yes,Call 1,4,Yes, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,Ted Cruz,Oppose, ,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,22,Shares my values,White,White,State questionnaire,White,White,Midwest,No,Satisfied,Dissatisfied,Dissatisfied,Female,White women, , ,Rural,Small Cities/Rural, Michigan,Election day exit poll,In the last few days,Last few days,In the last month,This week, ,No,Not Donald Trump, ,Version 1,.980185866355896,Yes,White Born-again/Evangelical Christians
441627,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No,Call 1,11,Yes, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,John Kasich,Oppose, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,153,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Satisfied,Male,White men, , ,Suburbs,Suburbs, Michigan,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week, ,No,Not Donald Trump, ,Version 1,1.83929574489594,Yes,All others
441630,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,No,Call 1,6, ,I dislike the other candidates,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,4,Would not have voted,Marco Rubio, , , , , , , , , , ,Economy/Jobs,Marco Rubio, ,Have experience in politics,45+,18-64,Independent/Something else,White Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate,1,Can bring needed change,White,White,State questionnaire,White,White,Midwest, , , , ,Male,White men,Not at all,Not much or not at all,Rural,Small Cities/Rural, Michigan,Election day exit poll, , , , ,Creates more U.S. jobs, ,Not Donald Trump,Ted Cruz,Version 2,.636553347110748, ,All others
441631,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes,Call 1,4,Yes, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,5, , ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Terrorism,Ted Cruz,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,112,Shares my values,White,White,State questionnaire,White,White,Midwest,No,Satisfied,Dissatisfied,Dissatisfied,Female,White women, , ,Rural,Small Cities/Rural, Michigan,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that, ,No,Not Donald Trump, ,Version 1,.72977203130722,No,White Born-again/Evangelical Christians
441632,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,No,No,Call 1,8, ,I like my candidate but with reservations,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,3,Donald Trump,Donald Trump, , , , , , , , , , ,Terrorism,Donald Trump, ,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,29,Shares my values,White,White,State questionnaire,White,White,Midwest, , , , ,Male,White men,Not much,Not much or not at all,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Creates more U.S. jobs, ,Donald Trump,Marco Rubio,Version 2,.521810531616211, ,All others
441633,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete, ,Yes,Call 1,2,Yes, , , ,College graduate,College graduate,More than High school graduate,White college degree,4, , ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Terrorism,John Kasich,Support, ,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,113,Can bring needed change,White,White,State questionnaire,White,White,Midwest,No,Dissatisfied,Dissatisfied,Dissatisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Election day exit poll,Just today,Last few days,In the last month,This week, ,No,Not Donald Trump, ,Version 1,1.74291121959686,No,White Born-again/Evangelical Christians
441634,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete, ,Yes,Call 1,2,Yes, , , ,College graduate,College graduate,More than High school graduate,White college degree,4, , ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Government spending,Ted Cruz,Support, ,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,115,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Dissatisfied,Male,White men, , ,Suburbs,Suburbs, Michigan,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that, ,No,Not Donald Trump, ,Version 1,1.04296922683716,No,White Born-again/Evangelical Christians
441636,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,No,Call 1,12, ,I strongly favor my candidate,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,1,Ted Cruz,Marco Rubio, , , , , , , , , , ,Government spending,Ted Cruz, ,Be from outside the political establishment,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,148,Tells it like it is,White,White,State questionnaire,White,White,Midwest, , , , ,Female,White women,A great deal,A great deal or somewhat,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Omit, ,Not Donald Trump,Donald Trump,Version 2,.539472281932831, ,All others
441638,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,No,Call 1,8,Yes, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Donald Trump,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,53,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Yes,Dissatisfied,Dissatisfied,Satisfied,Male,White men, , ,Suburbs,Suburbs, Michigan,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Donald Trump, ,Version 1,.423382639884949,No,All others
441639,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,No,Yes,Call 1,4, ,I strongly favor my candidate,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,5,Ted Cruz,Donald Trump, , , , , , , , , , ,Government spending,Ted Cruz, ,Have experience in politics,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,22,Tells it like it is,White,White,State questionnaire,White,White,Midwest, , , , ,Female,White women,Somewhat,A great deal or somewhat,Rural,Small Cities/Rural, Michigan,Election day exit poll, , , , ,Takes away U.S. jobs, ,Not Donald Trump,Omit,Version 2,.823355197906494, ,White Born-again/Evangelical Christians
441641,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes,Call 1,11,No, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Economy/Jobs,Donald Trump,Oppose, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,153,Tells it like it is,White,White,State questionnaire,White,White,Midwest,No,Dissatisfied,Dissatisfied,Satisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Donald Trump, ,Version 1,2.88552045822144,Yes,White Born-again/Evangelical Christians
441643,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes,Call 1,2,Yes, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,4, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,John Kasich,Support, ,45+,65+,Democrat,White Democrat,Democrat,Democratic Men,Conservative,Conservative,Somewhat conservative,113,Tells it like it is,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Dissatisfied,Male,White men, , ,Suburbs,Suburbs, Michigan,Election day exit poll,Just today,Last few days,In the last month,This week, ,No,Not Donald Trump, ,Version 1,1.03788447380066,No,White Born-again/Evangelical Christians
441644,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,No,Call 1,4, ,I dislike the other candidates,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,5,Ted Cruz,Marco Rubio, , , , , , , , , , ,Government spending,Ted Cruz, ,Have experience in politics,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,112,Can bring needed change,White,White,State questionnaire,White,White,Midwest, , , , ,Male,White men,A great deal,A great deal or somewhat,Rural,Small Cities/Rural, Michigan,Election day exit poll, , , , ,Takes away U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,.736593186855316, ,All others
441645,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,No,Yes,Call 1,6, ,I strongly favor my candidate,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,4,Ted Cruz,Marco Rubio, , , , , , , , , , ,Government spending,Marco Rubio, ,Omit,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,1,Shares my values,White,White,State questionnaire,White,White,Midwest, , , , ,Female,White women,Not much,Not much or not at all,Rural,Small Cities/Rural, Michigan,Election day exit poll, , , , ,Creates more U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,.643471777439117, ,White Born-again/Evangelical Christians
441646,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,All others,All others,Complete, ,Yes,Call 1,2,Yes, , , ,Postgraduate study,College graduate,More than High school graduate,Non white college degree,4, , ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Government spending,Ted Cruz,Support, ,18-44,18-64,Independent/Something else,All Other,Something else,Independent Men,Conservative,Conservative,Very conservative,115,Shares my values,Other,Other,State questionnaire,Other,Non-white,Midwest,No,Satisfied,Satisfied,Dissatisfied,Male,All other races, , ,Suburbs,Suburbs, Michigan,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that, ,No,Not Donald Trump, ,Version 1,1.04296922683716,No,All others
441647,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, ,Yes,Call 1,6,Yes, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4, , ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Ted Cruz,Oppose, ,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,131,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Satisfied,Male,White men, , ,Suburbs,Suburbs, Michigan,Election day exit poll,Just today,Last few days,In the last month,This week, ,Yes,Not Donald Trump, ,Version 1,.350429207086563,No,White Born-again/Evangelical Christians
441650,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,No,Yes,Call 1,8, ,I strongly favor my candidate,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,3,Donald Trump,Omit, , , , , , , , , , ,Immigration,Donald Trump, ,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,29,Tells it like it is,White,White,State questionnaire,White,White,Midwest, , , , ,Male,White men,Not much,Not much or not at all,Suburbs,Suburbs, Michigan,Election day exit poll, , , , ,Creates more U.S. jobs, ,Donald Trump,Ted Cruz,Version 2,.521810531616211, ,White Born-again/Evangelical Christians
