id,backside,break12c,breakfac,breakimp,brnagain,call,cdnum,educ12r,educcoll,educhs,educwhit,geocode,govtangr,govtan_1,issrep16,latino,latinos,nvrprs16,outsider,party,partybyr,partyia,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,raceai,region,sex,sexbyrac,sizeplac,sizeplc3,spanishq,stanum,telepoll,timeia16,timeprif,timeprim,timepriw,trumpvot,version,weight,whtevang,xage,xage3,xage8,xage45,xage49,xage60,xage65,xagebyra
121844,Complete,One of several important factors,A factor,Important, ,Call 1,1,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Immigration,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,41,Tells it like it is,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,.843836724758148,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
121845,Complete,One of several important factors,A factor,Important,No,Call 1,2,College graduate,College graduate,More than High school graduate,White college degree,3,Angry,"Dissatisfied, but not angry or Angry",Government spending,No,No,Marco Rubio,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,77,Tells it like it is,White,White,State questionnaire,White,White,White,West,Male,White men,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,.85891580581665,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121846,Complete,One of several important factors,A factor,Important,Yes,Call 1,2,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Terrorism,No,No,Marco Rubio,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,79,Tells it like it is,White,White,State questionnaire,White,White,White,West,Male,White men,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Not Donald Trump,Version 1,.563663482666016,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121847,Complete,One of several important factors,A factor,Important,Yes,Call 1,4,College graduate,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Government spending,No,No,Marco Rubio,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,114,Can win in November,White,White,State questionnaire,White,White,White,West,Male,White men,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,.525127708911896,White Born-again/Evangelical Christians,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
121848,Complete,Omit,Omit,Omit,No,Call 1,1,High school or less,No college degree,High school graduate or less,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Immigration,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,52,Tells it like it is,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,.735652506351471,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
121849,Complete,One of several important factors,A factor,Important,Yes,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Government spending,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,66,Can bring needed change,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Donald Trump,Version 1,.65591961145401,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121850,Complete,One of several important factors,A factor,Important,No,Call 1,1,College graduate,College graduate,More than High school graduate,White college degree,2,Angry,"Dissatisfied, but not angry or Angry",Immigration,No,No,Donald Trump,Be from outside the political establishment,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,20,Tells it like it is,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,.617336094379425,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121851,Complete,One of several important factors,A factor,Important,No,Call 1,3,College graduate,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Government spending,No,No,Ben Carson,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,7,Shares my values,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,1.74678528308868,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121852,Complete,The most important factor,A factor,Important,No,Call 1,2,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Terrorism,No,No,Ted Cruz,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,80,Tells it like it is,White,White,State questionnaire,White,White,White,West,Male,White men,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,.974278092384338,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121853,Complete,Omit,Omit,Omit,No,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Government spending,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,10,Can win in November,White,White,State questionnaire,White,White,White,West,Female,White women,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,.741490364074707,All others,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
121854,Complete,Not a factor at all,Not a factor,Not important,Yes,Call 1,1,Postgraduate study,College graduate,More than High school graduate,Non white college degree,2,Angry,"Dissatisfied, but not angry or Angry",Terrorism,Yes,Yes,Donald Trump,Be from outside the political establishment,Democrat,Latino Democrat,Democrat,Democratic Women,Moderate/Liberal,Liberal,Liberal,54,Can bring needed change,Other,Black,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Female,Latino women,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,.972675681114197,All others,30-44,30-59,40-44,17-44,17-49,30-44,40-49,Latino 30-44
121855,Complete,One of several important factors,A factor,Important,No,Call 1,3,Postgraduate study,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Terrorism,No,No,John Kasich,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,68,Shares my values,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Not Donald Trump,Version 1,.431171119213104,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121856,Complete,A minor factor,A factor,Not important,No,Call 1,1,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Economy/Jobs,No,No,Ted Cruz,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,41,Shares my values,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,1.2207897901535,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
121857,Complete,One of several important factors,A factor,Important,Yes,Call 1,3,College graduate,College graduate,More than High school graduate,Non white college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Economy/Jobs,Yes,Yes,Marco Rubio,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,66,Shares my values,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Male,Latino men,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,.814121186733246,All others,30-44,30-59,40-44,17-44,17-49,30-44,40-49,Latino 30-44
121858,Complete,One of several important factors,A factor,Important,No,Call 1,2,Postgraduate study,College graduate,More than High school graduate,White college degree,3,Angry,"Dissatisfied, but not angry or Angry",Government spending,No,No,Marco Rubio,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,77,Can win in November,White,White,State questionnaire,White,White,White,West,Female,White women,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,.837461054325104,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121859,Complete,The most important factor,A factor,Important,No,Call 1,1,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Terrorism,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,20,Tells it like it is,White,White,State questionnaire,White,White,White,West,Female,White women,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,.601915717124939,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121860,Complete,Not a factor at all,Not a factor,Not important,No,Call 1,1,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Immigration,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,52,Tells it like it is,White,White,State questionnaire,White,White,White,West,Female,White women,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Donald Trump,Version 1,.717276751995087,All others,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44
121861,Complete,Omit,Omit,Omit,No,Call 1,3,Postgraduate study,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Economy/Jobs,No,No,John Kasich,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,68,Shares my values,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,.471494257450104,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
121862,Complete,One of several important factors,A factor,Important,No,Call 1,4,Postgraduate study,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Terrorism,No,No,Ben Carson,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,114,Can bring needed change,White,White,State questionnaire,White,White,White,West,Female,White women,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,.804932296276093,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
121863,Complete,Omit,Omit,Omit, ,Call 1,3,College graduate,College graduate,More than High school graduate,Non white college degree,2,Angry,"Dissatisfied, but not angry or Angry",Immigration,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,10,Can bring needed change,Other,Other,State questionnaire,Other,Non-white,Other,West,Female,All other races,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,.810834586620331,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,All others
121864,Complete,Omit,Omit,Omit,No,Call 1,2,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Immigration,No,No,Ted Cruz,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,79,Can win in November,White,White,State questionnaire,White,White,White,West,Female,White women,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,.670878946781158,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
121865,Complete,Omit,Omit,Omit,Yes,Call 1,3,Postgraduate study,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Government spending,No,No,Marco Rubio,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,66,Shares my values,White,White,State questionnaire,White,White,White,West,Female,White women,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,.793785333633423,White Born-again/Evangelical Christians,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44
121866,Complete,One of several important factors,A factor,Important,Yes,Call 1,1,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Immigration,No,No,Donald Trump,Be from outside the political establishment,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Very conservative,20,Tells it like it is,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,.675069391727448,White Born-again/Evangelical Christians,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
121867,Complete,One of several important factors,A factor,Important,No,Call 1,1,Postgraduate study,College graduate,More than High school graduate,White college degree,2,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",Government spending,No,No,Donald Trump,Be from outside the political establishment,Independent/Something else,White Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate,41,Can bring needed change,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,.843836724758148,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
121868,Complete,The most important factor,A factor,Important,Yes,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Omit,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,7,Can win in November,White,White,State questionnaire,White,White,White,West,Female,White women,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,2.06237387657166,White Born-again/Evangelical Christians,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44
121869,Complete,One of several important factors,A factor,Important,No,Call 1,2,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Terrorism,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,77,Can bring needed change,White,White,State questionnaire,White,White,White,West,Female,White women,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,Just today,Last few days,In the last month,This week,Donald Trump,Version 1,.913629114627838,All others,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
121870,Complete,The most important factor,A factor,Important,Yes,Call 1,2,Postgraduate study,College graduate,More than High school graduate,White college degree,3,Angry,"Dissatisfied, but not angry or Angry",Omit,No,No,Ted Cruz,Have experience in politics,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,80,Shares my values,White,White,State questionnaire,White,White,White,West,Female,White women,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,.949941694736481,White Born-again/Evangelical Christians,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
121871,Complete,Not a factor at all,Not a factor,Not important,Yes,Call 1,3,High school or less,No college degree,High school graduate or less,Non white no college degree,2,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Government spending,No,No,Ben Carson,Be from outside the political establishment, , , , ,Moderate/Liberal,Liberal,Liberal,68,Can win in November,Other,American Indian,State questionnaire,Other,Non-white,American Indian,West,Male,All other races,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,.370128214359283,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,All others
121872,Complete,Omit,Omit,Omit,Yes,Call 1,3,College graduate,College graduate,More than High school graduate,White college degree,2,Angry,"Dissatisfied, but not angry or Angry",Economy/Jobs,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,10,Tells it like it is,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Donald Trump,Version 1,.760486483573914,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121873,Complete,One of several important factors,A factor,Important,No,Call 1,4,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Economy/Jobs,No,No,Ted Cruz,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,114,Can bring needed change,White,White,State questionnaire,White,White,White,West,Male,White men,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,.641025364398956,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
121874,Complete,The most important factor,A factor,Important,Yes,Call 1,1,High school or less,No college degree,High school graduate or less,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Immigration,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,52,Can bring needed change,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Donald Trump,Version 1,.672738015651703,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121875,Complete,The most important factor,A factor,Important,No,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Government spending,No,No,Donald Trump,Be from outside the political establishment,Independent/Something else,White Independent,Independent,Independent Women,Moderate/Liberal,Liberal,Liberal,66,Can bring needed change,White,White,State questionnaire,White,White,White,West,Female,White women,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,.6993448138237,All others,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
121876,Complete,One of several important factors,A factor,Important,No,Call 1,1,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Economy/Jobs,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,20,Can win in November,White,White,State questionnaire,White,White,White,West,Female,White women,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Just today,Last few days,In the last month,This week,Donald Trump,Version 1,.601915717124939,All others,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
121877,Complete,One of several important factors,A factor,Important,No,Call 1,1,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Government spending,No,No,Ted Cruz,Have experience in politics,Independent/Something else,White Independent,Something else,Independent Men,Conservative,Conservative,Very conservative,41,Tells it like it is,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,1.2207897901535,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
121878,Complete,The most important factor,A factor,Important,Yes,Call 1,2,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Immigration,No,No,Ted Cruz,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,79,Can win in November,White,White,State questionnaire,White,White,White,West,Male,White men,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,.688066065311432,White Born-again/Evangelical Christians,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
121879,Complete,Not a factor at all,Not a factor,Not important,No,Call 1,3,Postgraduate study,College graduate,More than High school graduate,Non white college degree,2,Angry,"Dissatisfied, but not angry or Angry",Economy/Jobs,No,No,Ben Carson,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,68,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,West,Female,Black women,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,.483171612024307,All others,45-65,30-59,45-49,45+,17-49,45-59,40-49,Black 45-59
121880,Complete,Omit,Omit,Omit,No,Call 1,3,College graduate,College graduate,More than High school graduate,Non white college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Economy/Jobs,Yes,Yes,Donald Trump,Be from outside the political establishment,Independent/Something else,Latino Independent,Something else,Independent Men,Moderate/Liberal,Moderate,Moderate,66,Can bring needed change,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Male,Latino men,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,.660512208938599,All others,17-29,17-29,25-29,17-44,17-49,17-29,25-29,Latino 17-29
121881,Complete,One of several important factors,A factor,Important,No,Call 1,2,College graduate,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Economy/Jobs,No,No,Marco Rubio,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,77,Can win in November,White,White,State questionnaire,White,White,White,West,Male,White men,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,.85891580581665,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121882,Complete,One of several important factors,A factor,Important,No,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Economy/Jobs,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,7,Tells it like it is,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,1.94785606861115,All others,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29
121883,Complete,One of several important factors,A factor,Important,No,Call 1,2,Postgraduate study,College graduate,More than High school graduate,White college degree,3,Angry,"Dissatisfied, but not angry or Angry",Economy/Jobs,No,No,Ted Cruz,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,80,Shares my values,White,White,State questionnaire,White,White,White,West,Male,White men,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,1.06539261341095,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
121884,Complete,Omit,Omit,Omit,No,Call 1,3,High school or less,No college degree,High school graduate or less,Non white no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Government spending,Yes,Yes,Ted Cruz,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,10,Shares my values,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Male,Latino men,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,1.10790932178497,All others,17-29,17-29,17-24,17-44,17-49,17-29,17-24,Latino 17-29
121885,Complete,One of several important factors,A factor,Important,Yes,Call 1,1,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Terrorism,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,20,Can win in November,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,.617336094379425,White Born-again/Evangelical Christians,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
121886,Complete,One of several important factors,A factor,Important,No,Call 1,1,High school or less,No college degree,High school graduate or less,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Immigration,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,52,Shares my values,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,.735652506351471,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
121887,Complete,Omit,Omit,Omit,Yes,Call 1,4, , , , ,3,Omit,Omit,Immigration, , ,Donald Trump,Be from outside the political establishment, , , , ,Conservative,Conservative,Somewhat conservative,114,Tells it like it is,White,White,State questionnaire,White,White,White,West,Female,White women,Rural,Small Cities/Rural, ,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,.610816955566406,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
121888,Complete,One of several important factors,A factor,Important,Yes,Call 1,1,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Economy/Jobs,No,No,Ted Cruz,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,41,Can bring needed change,Other,Other,State questionnaire,Other,Non-white,Other,West,Male,All other races,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,1.1163854598999,All others,45-65,60+,60-64,45+,50+,60+,50-64,All others
