id,age,age3,age8,age45,age49,age60,age65,ageblack,agebyrac,agebyr_1,backside,betrayed,brnagain,call,cdnum,cruzhone,cuban3,educ12r,educcoll,educhs,educwhit,flrprs16,geocode,getahead,gop20162,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,israelsu,issrep16,muslimba,outsider,over45,over65,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,raceai,region,rel5,relign10,relwhite,rubiohon,sex,sexbyrac,sizeplac,sizeplc3,socsecur,spanishq,stanum,telepoll,thirdpar,timenh16,timeprif,timeprim,timepriw,trumphon,trumpvot,unfairre,version,votenovc,votenovr,votenovt,weight,whnclinc,whtevang
495129,45-65,30-59,45-49,45+,18-49,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete, ,No,Call 1,10,Yes,No,College graduate,College graduate,More than High school graduate,Non white college degree,Ted Cruz,4,Getting ahead financially, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white", ,Economy/Jobs,Oppose, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,98,Can bring needed change,Black,Black,State questionnaire,Black,Non-white, ,South, , , ,Yes,Female,Black women,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Seriously consider voting for a third party candidate,In the last few days,Last few days,In the last month,This week,No,Not Donald Trump, ,Version 1, , , ,1.57443165779114,No,All others
495133,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 1,8,Yes,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Ted Cruz,2,Getting ahead financially, ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Government spending,Support, ,45+,18-64,Independent/Something else,White Independent,Something else,Independent Men,Conservative,Conservative,Very conservative,9,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,Yes,Male,White men,"Cities 50,000-500,000","Cities over 50,000", ,English,Florida,Election day exit poll,Seriously consider voting for a third party candidate,Before that,Earlier than that,Earlier than that,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,.472123026847839,No,White Born-again/Evangelical Christians
495158,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 1,8,Yes,No,College graduate,College graduate,More than High school graduate,White college degree,Ted Cruz,2,Holding steady financially, ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Government spending,Oppose, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,9,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,Omit,Female,White women,"Cities 50,000-500,000","Cities over 50,000", ,English,Florida,Election day exit poll,Seriously consider voting for a third party candidate,Before that,Earlier than that,Earlier than that,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,.475375443696976,No,White Born-again/Evangelical Christians
495163,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 1,10,Yes,No,Postgraduate study,College graduate,More than High school graduate,White college degree,Ted Cruz,4,Holding steady financially, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Terrorism,Support, ,45+,18-64,Independent/Something else,White Independent,Something else,Independent Men,Conservative,Conservative,Very conservative,98,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,Yes,Male,White men,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Seriously consider voting for a third party candidate,Before that,Earlier than that,Earlier than that,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,.732143044471741,No,White Born-again/Evangelical Christians
495330,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, , ,Call 1,8,Omit,No, , , , ,Ted Cruz,2,Falling behind financially, ,Omit,Omit,Offered a chance to apply for legal status, , , , , , , , ,Economy/Jobs,Omit, ,18-44,18-64, , , , , , , ,9,Can win in November,White,White,State questionnaire,White,White, ,South, , , ,Omit,Female,White women,"Cities 50,000-500,000","Cities over 50,000", ,English,Florida,Election day exit poll,Seriously consider voting for a third party candidate,In the last month,Earlier than that,In the last month,Earlier than that,Omit,Not Donald Trump, ,Version 1, , , ,.475375443696976, ,All others
495359,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes,Call 1,8,Yes,No,High school or less,No college degree,High school graduate or less,White no college degree,Ted Cruz,2,Falling behind financially, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Omit, , , , , , , , ,Terrorism,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,9,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,Omit,Male,White men,"Cities 50,000-500,000","Cities over 50,000", ,English,Florida,Election day exit poll,Be satisfied with that choice,Just today,Last few days,In the last month,This week,Omit,Not Donald Trump, ,Version 1, , , ,.474779218435287, ,White Born-again/Evangelical Christians
495595,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete, ,Yes,Call 1,18,Yes,No,High school or less,No college degree,High school graduate or less,White no college degree,Ted Cruz,2,Falling behind financially, ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from, , , , , , , , ,Government spending,Support, ,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,101,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,Yes,Female,White women,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Be satisfied with that choice,Before that,Earlier than that,Earlier than that,Earlier than that,Yes,Not Donald Trump, ,Version 1, , , ,.504293739795685, ,White Born-again/Evangelical Christians
495728,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,Latino 45-59,White 45-64,Complete, ,Yes,Call 1,25,Yes,"Yes, Cuban",College graduate,College graduate,More than High school graduate,Non white college degree,Ted Cruz,5,Holding steady financially, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white", ,Economy/Jobs,Oppose, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,18,Shares my values,Other,White,State questionnaire,Hispanic/Latino,Non-white, ,South, , , ,Yes,Male,Latino men,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Seriously consider voting for a third party candidate,Before that,Earlier than that,Earlier than that,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,.354971349239349,No,All others
495913,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes,Call 1,15,Yes,No,High school or less,No college degree,High school graduate or less,White no college degree,Ted Cruz,4,Holding steady financially, ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Terrorism,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,96,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,Yes,Female,White women,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Seriously consider voting for a third party candidate,In the last few days,Last few days,In the last month,This week,No,Not Donald Trump, ,Version 1, , , ,.91036731004715,Yes,White Born-again/Evangelical Christians
495971,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 1,15,Yes,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Ted Cruz,4,Holding steady financially, ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Terrorism,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,96,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,Yes,Male,White men,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Be satisfied with that choice,Before that,Earlier than that,Earlier than that,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,.899080514907837,No,White Born-again/Evangelical Christians
495981,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 1,20,Yes,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Ted Cruz,5,Holding steady financially, ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Omit,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,12,Omit,White,White,State questionnaire,White,White, ,South, , , ,Yes,Male,White men,"Cities 50,000-500,000","Cities over 50,000", ,English,Florida,Election day exit poll,Be satisfied with that choice,In the last month,Earlier than that,In the last month,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,.140284672379494,No,White Born-again/Evangelical Christians
495996,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 1,15,Yes,No,High school or less,No college degree,High school graduate or less,White no college degree,Ted Cruz,3,Getting ahead financially, ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Government spending,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,52,Can bring needed change,White,White,State questionnaire,White,White, ,South, , , ,No,Female,White women,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Seriously consider voting for a third party candidate,Before that,Earlier than that,Earlier than that,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,.488682478666306,No,White Born-again/Evangelical Christians
496032,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Not complete,Yes, ,Call 1,20, ,No, , , , ,Ted Cruz,5, ,Omit, , , , , , , , , , ,Not strong enough, , ,Omit,45+,65+, , , , , , , ,12, ,White,White,State questionnaire,White,White, ,South, , , , ,Female,White women,"Cities 50,000-500,000","Cities over 50,000",No,English,Florida,Election day exit poll, , , , , , ,Not Donald Trump, ,Version 2, , , ,.142045766115189, , 
496048,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,Yes,Call 1,15,Yes,No,High school or less,No college degree,High school graduate or less,White no college degree,Ted Cruz,3,Getting ahead financially, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white", ,Immigration,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,52,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,No,Female,White women,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Seriously consider voting for a third party candidate,Before that,Earlier than that,Earlier than that,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,.49143186211586,No,White Born-again/Evangelical Christians
496064,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No,Call 1,15,Yes,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Ted Cruz,3,Holding steady financially, ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Economy/Jobs,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,49,Can bring needed change,White,White,State questionnaire,White,White, ,South, , , ,Yes,Female,White women,"Cities 50,000-500,000","Cities over 50,000", ,English,Florida,Election day exit poll,Be satisfied with that choice,In the last few days,Last few days,In the last month,This week,No,Not Donald Trump, ,Version 1, , , ,.410669684410095,No,All others
496089,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Not complete, , ,Call 1,15, ,No, , , , ,Ted Cruz,3,Holding steady financially, , , ,Offered a chance to apply for legal status, , , , , , , , , , , ,45+,18-64, , , , , , , ,49, ,White,White,State questionnaire,White,White, ,South, , , , ,Female,White women,"Cities 50,000-500,000","Cities over 50,000", ,English,Florida,Election day exit poll,Seriously consider voting for a third party candidate,Before that,Earlier than that,Earlier than that,Earlier than that, ,Not Donald Trump, ,Version 1, , , ,.408372163772583, , 
496101,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Not complete,Yes, ,Call 1,15, ,No, , , , ,Ted Cruz,3, ,Donald Trump, , , , , , , , , , ,Not strong enough, , ,Be from outside the political establishment,45+,18-64, , , , , , , ,49, ,White,White,State questionnaire,White,White, ,South, , , , ,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Yes,English,Florida,Election day exit poll, , , , , , ,Not Donald Trump, ,Version 2, , , ,.405578196048737, , 
496140,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 1,15,Omit,No,College graduate,College graduate,More than High school graduate,White college degree,Ted Cruz,3,Getting ahead financially, ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Terrorism,Oppose, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,49,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,No,Female,White women,"Cities 50,000-500,000","Cities over 50,000", ,English,Florida,Election day exit poll,Seriously consider voting for a third party candidate,Just today,Last few days,In the last month,This week,No,Not Donald Trump, ,Version 1, , , ,.408372163772583,No,White Born-again/Evangelical Christians
496165,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes,Call 1,20,Yes,No,Postgraduate study,College graduate,More than High school graduate,White college degree,Ted Cruz,5,Holding steady financially, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Economy/Jobs,Oppose, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,12,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,Yes,Female,White women,"Cities 50,000-500,000","Cities over 50,000", ,English,Florida,Election day exit poll,Seriously consider voting for a third party candidate,In the last few days,Last few days,In the last month,This week,No,Not Donald Trump, ,Version 1, , , ,.142045766115189,No,White Born-again/Evangelical Christians
496197,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete, ,Yes,Call 1,15,Yes,"Yes, other Hispanic",High school or less,No college degree,High school graduate or less,Non white no college degree,Ted Cruz,4,Holding steady financially, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white", ,Terrorism,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,96,Shares my values,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white, ,South, , , ,Yes,Female,Latino women,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Omit,Before that,Earlier than that,Earlier than that,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,.905274152755737,No,All others
496207,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,Black 45-64,Complete, ,Yes,Call 1,25,Yes,"Yes, other Hispanic",College graduate,College graduate,More than High school graduate,Non white college degree,Ted Cruz,5,Getting ahead financially, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white", ,Omit,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,27,Can bring needed change,Other,Black,State questionnaire,Hispanic/Latino,Non-white, ,South, , , ,Omit,Female,Latino women,Suburbs,Suburbs, ,Spanish,Florida,Election day exit poll,Omit,Before that,Earlier than that,Earlier than that,Earlier than that,Omit,Not Donald Trump, ,Version 1, , , ,2.21502113342285,No,All others
496208,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,Black 45-64,Complete, ,Yes,Call 1,25,Yes,"Yes, other Hispanic",College graduate,College graduate,More than High school graduate,Non white college degree,Ted Cruz,5,Getting ahead financially, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white", ,Omit,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,27,Can bring needed change,Other,Black,State questionnaire,Hispanic/Latino,Non-white, ,South, , , ,Omit,Female,Latino women,Suburbs,Suburbs, ,Spanish,Florida,Election day exit poll,Omit,Before that,Earlier than that,Earlier than that,Earlier than that,Omit,Not Donald Trump, ,Version 1, , , ,2.21502113342285,No,All others
496215,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 1,15,Yes,No,College graduate,College graduate,More than High school graduate,White college degree,Ted Cruz,3,Falling behind financially, ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white", ,Terrorism,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,49,Tells it like it is,White,White,State questionnaire,White,White, ,South, , , ,No,Male,White men,"Cities 50,000-500,000","Cities over 50,000", ,English,Florida,Election day exit poll,Be satisfied with that choice,In the last few days,Last few days,In the last month,This week,Yes,Not Donald Trump, ,Version 1, , , ,.405578196048737,No,White Born-again/Evangelical Christians
496222,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes,Call 1,15,Yes,No,High school or less,No college degree,High school graduate or less,White no college degree,Ted Cruz,4,Holding steady financially, ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Terrorism,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,96,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,Yes,Female,White women,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Seriously consider voting for a third party candidate,In the last few days,Last few days,In the last month,This week,No,Not Donald Trump, ,Version 1, , , ,.91036731004715,Yes,White Born-again/Evangelical Christians
496287,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,No,Call 1,13,Yes,No,College graduate,College graduate,More than High school graduate,White college degree,Ted Cruz,3,Falling behind financially, ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Terrorism,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,93,Can win in November,White,White,State questionnaire,White,White, ,South, , , ,Yes,Female,White women,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Seriously consider voting for a third party candidate,Just today,Last few days,In the last month,This week,No,Not Donald Trump, ,Version 1, , , ,.53375369310379,No,All others
496289,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 1,22,Yes,No,College graduate,College graduate,More than High school graduate,White college degree,Ted Cruz,5,Falling behind financially, ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Economy/Jobs,Support, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,14,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,Yes,Male,White men,"Cities 50,000-500,000","Cities over 50,000", ,English,Florida,Election day exit poll,Be satisfied with that choice,Before that,Earlier than that,Earlier than that,Earlier than that,Yes,Not Donald Trump, ,Version 1, , , ,.298431694507599,No,White Born-again/Evangelical Christians
496335,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete, ,No,Call 1,27,Yes,"Yes, other Hispanic",College graduate,College graduate,More than High school graduate,Non white college degree,Ted Cruz,5,Holding steady financially, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white", ,Government spending,Support, ,45+,18-64,Independent/Something else,Latino Independent,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate,31,Shares my values,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white, ,South, , , ,No,Female,Latino women,"Cities 50,000-500,000","Cities over 50,000", ,English,Florida,Election day exit poll,Be satisfied with that choice,In the last few days,Last few days,In the last month,This week,No,Not Donald Trump, ,Version 1, , , ,.309469014406204,No,All others
496403,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,Yes,Call 1,3,Yes,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Ted Cruz,1,Holding steady financially, ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Terrorism,Support, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate,23,Can win in November,White,White,State questionnaire,White,White, ,South, , , ,No,Male,White men,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Seriously consider voting for a third party candidate,In the last few days,Last few days,In the last month,This week,No,Not Donald Trump, ,Version 1, , , ,.658277630805969,No,White Born-again/Evangelical Christians
496433,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,No,Call 1,3,No,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Ted Cruz,1,Holding steady financially, ,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Terrorism,Oppose, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,23,Can bring needed change,White,White,State questionnaire,White,White, ,South, , , ,Yes,Male,White men,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Be satisfied with that choice,In the last few days,Last few days,In the last month,This week,Yes,Not Donald Trump, ,Version 1, , , ,.654594838619232,No,All others
496448,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes,Call 1,15,Yes,No,High school or less,No college degree,High school graduate or less,White no college degree,Ted Cruz,4,Holding steady financially, ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Terrorism,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,96,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,Yes,Female,White women,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Seriously consider voting for a third party candidate,In the last few days,Last few days,In the last month,This week,No,Not Donald Trump, ,Version 1, , , ,.91036731004715,Yes,White Born-again/Evangelical Christians
496589,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,Latino 18-29,White 18-29,Complete, ,No,Call 1,4,Yes,"Yes, Cuban",College graduate,College graduate,More than High school graduate,Non white college degree,Ted Cruz,1,Holding steady financially, ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and non white", ,Terrorism,Support, ,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,42,Shares my values,Other,White,State questionnaire,Hispanic/Latino,Non-white, ,South, , , ,Yes,Female,Latino women,"Cities over 500,000","Cities over 50,000", ,English,Florida,Election day exit poll,Seriously consider voting for a third party candidate,Before that,Earlier than that,Earlier than that,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,.83636349439621,No,All others
496598,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,No,Call 1,15,Yes,No,College graduate,College graduate,More than High school graduate,White college degree,Ted Cruz,3,Getting ahead financially, ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Government spending,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,52,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,No,Male,White men,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Be satisfied with that choice,Just today,Last few days,In the last month,This week,Yes,Not Donald Trump, ,Version 1, , , ,.485339045524597,No,All others
496641,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No,Call 1,13,Yes,No,Postgraduate study,College graduate,More than High school graduate,White college degree,Ted Cruz,3,Holding steady financially, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Economy/Jobs,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,93,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,Yes,Male,White men,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Be satisfied with that choice,In the last month,Earlier than that,In the last month,Earlier than that,Yes,Not Donald Trump, ,Version 1, , , ,.530101895332336,No,All others
