ID,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BETRAYEDDEM,BREAK16PRID,BREAKFACTD,BREAKIMPD,CALL,CDNUM,CLINTONLIB,CONTACT16PRI,ECONDEM16,ECONDEMCLIN,ECONDEMSANDERS,ECONFAIR,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GEOCODE,GETAHEAD,GOVTANGR16,GOVTANGR16B,GUNOWNER12,GUNPLCY16CLIN,GUNPLCY16SAND,GUNPLCYDEM16,HEALTHDEM16,HEALTHDEMCLIN,HEALTHDEMSANDERS,HONESTDEM16,HONESTDEM16CLIN,HONESTDEM16SAND,INC100K,INC30K,INC50K,INCINEQDEM16,INCINEQDEMCLIN,INCINEQDEMSANDERS,INCOME3,INCOME4,INCOME16,INCWHITE,INTCRISISDEM16,INTCRISISDEMCLIN,INTCRISISDEMSANDERS,ISSDEM16,ISSVQUAL,LIFE,MARRIED,NHDPRS16,OBAMAPLCY,OUTSIDER16,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,REGION,REGNHDEM,SANDERSLIB,SATHCLIN,SATSANDERS,SEX,SEXBYRACE,SEXWED,SINGLEPAYER,SIZEPLAC,SIZEPLC3,STANUM,TAXINC12,TELEPOLL,TERRWORR,TERWORR2,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,VALUESCLIN,VALUESDEM16,VALUESSANDERS,VERSION,WEIGHT,WHNCLINC
112127.0,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,No,,,,Call 1,1.0,About right,Yes,,,,Favors the wealthy,,,College graduate,College graduate,More than High school graduate,White college degree,4.0,Holding steady financially,,,,,,,,,,,,,100k or more,"$30,000 or more",50k or more,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Income inequality,,About the same,Yes,Hillary Clinton,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,39.0,,Has the right experience,White,White,State questionnaire,White,White,East,Registered as Undeclared/Independent,Too liberal,,,Female,White women,Married women,,Suburbs,Suburbs,New Hampshire,,Election day exit poll,,,,,,,,,,Version 2,0.793781995773315,No
112130.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,The most important factor,A factor,Important,Call 1,2.0,,,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,,,,High school or less,No college degree,High school graduate or less,White no college degree,4.0,,,,,,,,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Less than 100k,"$30,000 or more",Less than 50k,,,,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,,Economy/Jobs,My candidate's leadership/personal qualities,,,Hillary Clinton,Generally continue Barack Obama's policies,Have experience in politics,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,103.0,,Honest and trustworthy,White,White,State questionnaire,White,White,East,,,,,Female,White women,,,Suburbs,Suburbs,New Hampshire,,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,,,,Version 1,1.59788823127747,Yes
112133.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,A minor factor,A factor,Not important,Call 1,1.0,,,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,,,,College graduate,College graduate,More than High school graduate,White college degree,1.0,,,,,,,,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,100k or more,"$30,000 or more",50k or more,,,,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,,Economy/Jobs,My candidate's positions on the issues,,,Hillary Clinton,Generally continue Barack Obama's policies,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,102.0,,Can win in November,White,White,State questionnaire,White,White,East,,,,,Female,White women,,,Suburbs,Suburbs,New Hampshire,,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,,,,Version 1,1.39274430274963,No
112137.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,,,Call 1,2.0,,,,,,,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4.0,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",No,Only Clinton or both of them,Only Sanders or both of them,Both of them,,,,,,,100k or more,"$30,000 or more",50k or more,,,,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,,,,,,Hillary Clinton,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,103.0,Yes,,White,White,State questionnaire,White,White,East,Registered as Undeclared/Independent,,Satisifed,Dissatisfied,Female,White women,,Oppose,Suburbs,Suburbs,New Hampshire,"Increase only on income over $250,000",Election day exit poll,Very worried,Very or somewhat worried,,,,,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 3,1.72720515727997,No
112148.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,,,,Call 1,2.0,,,,,,,Somewhat worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,4.0,,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",No,Omit,Omit,Omit,,,,,,,Less than 100k,"$30,000 or more",Less than 50k,,,,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,,,,,,Hillary Clinton,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,103.0,Yes,,White,White,State questionnaire,White,White,East,Registered as Democrat,,Satisifed,Satisifed,Female,White women,,Support,Suburbs,Suburbs,New Hampshire,"Increase only on income over $250,000",Election day exit poll,Very worried,Very or somewhat worried,,,,,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Version 3,1.91133058071136,Yes
112152.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,A minor factor,A factor,Not important,Call 1,1.0,,,Both of them,Only Clinton or both of them,Only Sanders or both of them,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,1.0,,,,,,,,Both of them,Only Clinton or both of them,Only Sanders or both of them,Neither of them,Only Sanders or Neither of them,Only Clinton or Neither of them,100k or more,"$30,000 or more",50k or more,,,,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",,,,Income inequality,My candidate's leadership/personal qualities,,,Hillary Clinton,Generally continue Barack Obama's policies,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,102.0,,Can win in November,White,White,State questionnaire,White,White,East,,,,,Female,White women,,,Suburbs,Suburbs,New Hampshire,,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,,,,Version 1,1.55578207969666,No
112174.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,All others,All others,Complete,,One of several important factors,A factor,Important,Call 1,1.0,,,Both of them,Only Clinton or both of them,Only Sanders or both of them,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,1.0,,,,,,,,Both of them,Only Clinton or both of them,Only Sanders or both of them,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,,,,,,,,,,,,,,Economy/Jobs,My candidate's leadership/personal qualities,,,Hillary Clinton,Generally continue Barack Obama's policies,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,102.0,,Has the right experience,Other,Asian,State questionnaire,Asian,Non-white,East,,,,,Female,All other races,,,Suburbs,Suburbs,New Hampshire,,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,,,,Version 1,1.55578207969666,No
112288.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,No,,,,Call 2,2.0,About right,Yes,,,,Favors the wealthy,,,College graduate,College graduate,More than High school graduate,White college degree,3.0,Holding steady financially,,,,,,,,,,,,,Less than 100k,"$30,000 or more",50k or more,Both of them,Only Clinton or both of them,Only Sanders or both of them,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Income inequality,,About the same,No,Hillary Clinton,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,52.0,,Has the right experience,White,White,State questionnaire,White,White,East,Registered as Undeclared/Independent,About right,,,Male,White men,Non married men,,Rural,Small Cities/Rural,New Hampshire,,Election day exit poll,,,,,,,,,,Version 2,1.26340246200562,No
112294.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,,,,Call 2,1.0,,,,,,,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,5.0,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",No,Only Clinton or both of them,Only Sanders or both of them,Both of them,,,,,,,Less than 100k,"$30,000 or more",Less than 50k,,,,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,,,,,,Hillary Clinton,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Somewhat liberal,Liberal,Liberal,22.0,Yes,,White,White,State questionnaire,White,White,East,Registered as Undeclared/Independent,,Satisifed,Satisifed,Male,White men,,Support,Rural,Small Cities/Rural,New Hampshire,"Increase only on income over $250,000",Election day exit poll,Not too worried,Not too or not at all worried,,,,,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 3,1.01643049716949,No
112305.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,The most important factor,A factor,Important,Call 2,1.0,,,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,2.0,,,,,,,,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,100k or more,"$30,000 or more",50k or more,,,,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,,Terrorism,My candidate's positions on the issues,,,Hillary Clinton,Generally continue Barack Obama's policies,Have experience in politics,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,66.0,,Can win in November,White,White,State questionnaire,White,White,East,,,,,Male,White men,,,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,,,,Version 1,0.579031765460968,No
112306.0,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,All others,All others,Complete,No,,,,Call 2,2.0,About right,Yes,,,,Favors the wealthy,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,3.0,Holding steady financially,,,,,,,,,,,,,100k or more,"$30,000 or more",50k or more,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Income inequality,,Better than life today,No,Hillary Clinton,,,18-44,18-64,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,41.0,,Has the right experience,Other,Asian,State questionnaire,Asian,Non-white,East,Registered as Democrat,Too liberal,,,Female,All other races,Non married women,,Rural,Small Cities/Rural,New Hampshire,,Election day exit poll,,,,,,,,,,Version 2,0.771782577037811,No
112312.0,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,No,,,,Call 2,1.0,About right,No,,,,Is fair to most Americans,,,High school or less,No college degree,High school graduate or less,White no college degree,2.0,Getting ahead financially,,,,,,,,,,,,,Less than 100k,"$30,000 or more",50k or more,Both of them,Only Clinton or both of them,Only Sanders or both of them,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Economy/Jobs,,Better than life today,No,Hillary Clinton,,,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,Moderate or conservative,Moderate,66.0,,Has the right experience,White,White,State questionnaire,White,White,East,Not registered,About right,,,Female,White women,Non married women,,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,,Election day exit poll,,,,,,,,,,Version 2,0.459147840738297,No
112316.0,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,No,,,,Call 2,2.0,Not liberal enough,Yes,,,,Favors the wealthy,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3.0,Getting ahead financially,,,,,,,,,,,,,100k or more,"$30,000 or more",50k or more,Only Sanders,Only Sanders or neither of them,Only Sanders or both of them,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Income inequality,,Worse than life today,No,Hillary Clinton,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,41.0,,Has the right experience,White,White,State questionnaire,White,White,East,Registered as Democrat,Too liberal,,,Female,White women,Non married women,,Rural,Small Cities/Rural,New Hampshire,,Election day exit poll,,,,,,,,,,Version 2,0.771782577037811,No
112325.0,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,No,,,,Call 2,1.0,Too liberal,No,,,,Is fair to most Americans,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,2.0,Holding steady financially,,,,,,,,,,,,,Less than 100k,"$30,000 or more",50k or more,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Terrorism,,Worse than life today,Yes,Hillary Clinton,,,18-44,18-64,,,,,,Very liberal,Liberal,Liberal,66.0,,Omit,Black,Black,State questionnaire,Black,Non-white,East,Registered as Undeclared/Independent,About right,,,Male,Black men,Married men,,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,,Election day exit poll,,,,,,,,,,Version 2,0.450341612100601,No
112328.0,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,A minor factor,A factor,Not important,Call 2,2.0,,,Both of them,Only Clinton or both of them,Only Sanders or both of them,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,3.0,,,,,,,,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,100k or more,"$30,000 or more",50k or more,,,,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,,Income inequality,My candidate's leadership/personal qualities,,,Hillary Clinton,Change to more liberal policies,Have experience in politics,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,41.0,,Can win in November,White,White,State questionnaire,White,White,East,,,,,Female,White women,,,Rural,Small Cities/Rural,New Hampshire,,Election day exit poll,,,In the last few days,Last few days,In the last month,This month,,,,Version 1,0.858318388462067,No
112333.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,A minor factor,A factor,Not important,Call 2,2.0,,,Both of them,Only Clinton or both of them,Only Sanders or both of them,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,3.0,,,,,,,,Both of them,Only Clinton or both of them,Only Sanders or both of them,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,100k or more,"$30,000 or more",50k or more,,,,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,,Health care,My candidate's positions on the issues,,,Hillary Clinton,Change to more liberal policies,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,52.0,,Can win in November,White,White,State questionnaire,White,White,East,,,,,Female,White women,,,Rural,Small Cities/Rural,New Hampshire,,Election day exit poll,,,In the last few days,Last few days,In the last month,This month,,,,Version 1,1.12007582187653,No
112336.0,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,,,,Call 2,1.0,,,,,,,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2.0,,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",No,Only Clinton or both of them,Only Clinton or neither of them,Only Clinton,,,,,,,Less than 100k,"Under $30,000",Less than 50k,,,,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,,,,,,,Hillary Clinton,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,66.0,Yes,,White,White,State questionnaire,White,White,East,Registered as Democrat,,Satisifed,Satisifed,Female,White women,,Oppose,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,"Increase only on income over $250,000",Election day exit poll,Somewhat worried,Very or somewhat worried,,,,,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 3,0.546786844730377,No
112339.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,,,Call 2,2.0,,,,,,,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,5.0,,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",No,Only Sanders or neither of them,Only Clinton or neither of them,Neither of them,,,,,,,Less than 100k,"$30,000 or more",Less than 50k,,,,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,,,,,,Hillary Clinton,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,42.0,Yes,,White,White,State questionnaire,White,White,East,Registered as Democrat,,Satisifed,Satisifed,Male,White men,,Oppose,Rural,Small Cities/Rural,New Hampshire,"Increase only on income over $250,000",Election day exit poll,Very worried,Very or somewhat worried,,,,,Only Sanders or Neither of them,Neither of them,Only Clinton or Neither of them,Version 3,0.883791565895081,No
112341.0,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,No,,,,Call 2,2.0,About right,Yes,,,,Favors the wealthy,,,College graduate,College graduate,More than High school graduate,White college degree,3.0,Holding steady financially,,,,,,,,,,,,,,,,Both of them,Only Clinton or both of them,Only Sanders or both of them,,,,,Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Economy/Jobs,,Better than life today,No,Hillary Clinton,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Somewhat liberal,Liberal,Liberal,41.0,,Has the right experience,White,White,State questionnaire,White,White,East,Registered as Undeclared/Independent,Too liberal,,,Male,White men,Non married men,,Rural,Small Cities/Rural,New Hampshire,,Election day exit poll,,,,,,,,,,Version 2,0.972310900688171,No
112342.0,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,One of several important factors,A factor,Important,Call 2,1.0,,,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,,,,College graduate,College graduate,More than High school graduate,White college degree,2.0,,,,,,,,Both of them,Only Clinton or both of them,Only Sanders or both of them,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,100k or more,"$30,000 or more",50k or more,,,,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,,Health care,My candidate's leadership/personal qualities,,,Hillary Clinton,Generally continue Barack Obama's policies,Have experience in politics,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,66.0,,Can win in November,White,White,State questionnaire,White,White,East,,,,,Male,White men,,,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,,,,Version 1,0.579031765460968,No
112344.0,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Complete,No,,,,Call 2,1.0,About right,Yes,,,,Is fair to most Americans,,,College graduate,College graduate,More than High school graduate,Non white college degree,1.0,Getting ahead financially,,,,,,,,,,,,,Less than 100k,"$30,000 or more",50k or more,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Economy/Jobs,,About the same,Yes,Hillary Clinton,,,18-44,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent,All others,Somewhat liberal,Liberal,Liberal,107.0,,Has the right experience,Black,Black,State questionnaire,Black,Non-white,East,Registered as Undeclared/Independent,About right,,,Male,Black men,Married men,,Suburbs,Suburbs,New Hampshire,,Election day exit poll,,,,,,,,,,Version 2,1.23548483848572,No
112348.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,One of several important factors,A factor,Important,Call 2,2.0,,,Both of them,Only Clinton or both of them,Only Sanders or both of them,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5.0,,,,,,,,Both of them,Only Clinton or both of them,Only Sanders or both of them,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Less than 100k,"Under $30,000",Less than 50k,,,,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,,,Economy/Jobs,My candidate's leadership/personal qualities,,,Hillary Clinton,Generally continue Barack Obama's policies,Have experience in politics,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,42.0,,Has the right experience,White,White,State questionnaire,White,White,East,,,,,Female,White women,,,Rural,Small Cities/Rural,New Hampshire,,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,,,,Version 1,0.723249971866608,Yes
112349.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,,,Call 2,1.0,About right,Yes,,,,Favors the wealthy,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5.0,Holding steady financially,,,,,,,,,,,,,Less than 100k,"$30,000 or more",Less than 50k,Both of them,Only Clinton or both of them,Only Sanders or both of them,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Income inequality,,About the same,Yes,Hillary Clinton,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,22.0,,Has the right experience,White,White,State questionnaire,White,White,East,Registered as Democrat,About right,,,Female,White women,Married women,,Rural,Small Cities/Rural,New Hampshire,,Election day exit poll,,,,,,,,,,Version 2,0.744732677936554,Yes
112351.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,,,,Call 2,1.0,,,,,,,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4.0,,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",No,Only Clinton or both of them,Only Sanders or both of them,Both of them,,,,,,,Less than 100k,"$30,000 or more",50k or more,,,,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,,,,,,Hillary Clinton,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,12.0,Yes,,White,White,State questionnaire,White,White,East,Registered as Democrat,,Satisifed,Satisifed,Male,White men,,Oppose,Suburbs,Suburbs,New Hampshire,"Increase only on income over $250,000",Election day exit poll,Somewhat worried,Very or somewhat worried,,,,,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 3,1.34864735603333,No
112353.0,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,,,,Call 2,2.0,,,,,,,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3.0,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",No,Only Clinton or both of them,Only Sanders or both of them,Both of them,,,,,,,100k or more,"$30,000 or more",50k or more,,,,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",,,,,,,,Hillary Clinton,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,41.0,No,,White,White,State questionnaire,White,White,East,Registered as Democrat,,Satisifed,Satisifed,Female,White women,,Support,Rural,Small Cities/Rural,New Hampshire,"Increase only on income over $250,000",Election day exit poll,Very worried,Very or somewhat worried,,,,,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 3,0.890231370925903,No
112354.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,,,,Call 2,2.0,,,,,,,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5.0,,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",No,Only Clinton or both of them,Only Clinton or neither of them,Only Clinton,,,,,,,Less than 100k,"$30,000 or more",50k or more,,,,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,,,,,,Hillary Clinton,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Somewhat liberal,Liberal,Liberal,42.0,Yes,,White,White,State questionnaire,White,White,East,Registered as Undeclared/Independent,,Satisifed,Dissatisfied,Female,White women,,Support,Rural,Small Cities/Rural,New Hampshire,"Increase only on income over $250,000",Election day exit poll,Very worried,Very or somewhat worried,,,,,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Version 3,0.781782507896423,No
112360.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,,,,Call 2,1.0,About right,Yes,,,,Favors the wealthy,,,High school or less,No college degree,High school graduate or less,White no college degree,1.0,Holding steady financially,,,,,,,,,,,,,Less than 100k,"$30,000 or more",50k or more,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Health care,,Worse than life today,Yes,Hillary Clinton,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,107.0,,Cares about people like me,White,White,State questionnaire,White,White,East,Registered as Undeclared/Independent,Too liberal,,,Male,White men,Married men,,Suburbs,Suburbs,New Hampshire,,Election day exit poll,,,,,,,,,,Version 2,1.793252825737,No
