id,backside,betrayed,brnagain,call,cdnum,educ12r,educcoll,educhs,educwhit,geocode,govtangr,govtan_1,hrctrump,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,issrep16,nerprs16,novtrump,party,partybyr,partyid,partysex,partyuni,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,sex,sexbyrac,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trade16,trumpvot,trumpwin,trumpw_1,version,weight,whnclinc,whtevang,xage,xage3,xage8,xage45,xage49,xage60,xage65,xagebyra
629080,Complete,Yes,No,Call 2,1,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,John Kasich,Somewhat likely,Republican,All Republicans,Republican,Republican Women,Omit,Moderate/Liberal,Moderate,Moderate,64,Shares my values,White,White,State questionnaire,White,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,1.48697412014008,Yes,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
629167,Complete,No,No,Call 2,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Vote for Donald Trump,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Terrorism,John Kasich,Somewhat likely,Republican,All Republicans,Republican,Republican Women,Will still be divided in November,Moderate/Liberal,Moderate,Moderate,9,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Female,White women,Rural,Small Cities/Rural, Nebraska,Election day exit poll,In the last few days,Last few days,In the last month,This week,Has no effect on U.S. jobs,Not Donald Trump,Optimistic,Excited or optimistic,Version 1,1.30021810531616,Yes,All others,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29
629190,Complete,Yes,Yes,Call 2,2,College graduate,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Hillary Clinton,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,John Kasich,Not too likely,Independent/Something else,White Independent,Independent,Independent Men,Will still be divided in November,Moderate/Liberal,Moderate,Moderate,30,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.601050913333893,No,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
629204,Complete,Yes,Yes,Call 2,1,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,John Kasich,Not too likely,Republican,All Republicans,Republican,Republican Women,Will still be divided in November,Moderate/Liberal,Moderate,Moderate,58,Shares my values,White,White,State questionnaire,White,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Takes away U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,3.96526432037354,Yes,White Born-again/Evangelical Christians,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
629220,Complete,Yes,No,Call 2,2,Postgraduate study,College graduate,More than High school graduate,White college degree,2,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Vote for Hillary Clinton,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Terrorism,John Kasich,Not at all likely,Republican,All Republicans,Republican,Republican Men,Will still be divided in November,Conservative,Conservative,Somewhat conservative,23,Shares my values,White,White,State questionnaire,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,1.88511419296265,No,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
629223,Complete,Yes,No,Call 2,2,College graduate,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Omit,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,John Kasich,Somewhat likely,Republican,All Republicans,Republican,Republican Women,Will still be divided in November,Conservative,Conservative,Somewhat conservative,23,Tells it like it is,White,White,State questionnaire,White,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,1.8297883272171,No,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
629228,Complete,No,No,Call 2,1,College graduate,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates, , , , , , , ,Economy/Jobs,John Kasich,Not too likely,Republican,All Republicans,Republican,Republican Men,Will still be divided in November,Moderate/Liberal,Moderate,Moderate,77,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Male,White men,Suburbs,Suburbs, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.648007988929749,No,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
629231,Complete,No,No,Call 2,3,Postgraduate study,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Donald Trump,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,John Kasich,Not too likely,Republican,All Republicans,Republican,Republican Women,Is divided now but will unite by November,Conservative,Conservative,Somewhat conservative,51,Shares my values,White,White,State questionnaire,White,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Just today,Last few days,In the last month,This week,Takes away U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,1.55249929428101,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
629291,Not complete,Yes, ,Call 2,1, , , , ,1, , ,Vote for Donald Trump, , , , , , , , ,John Kasich, , , , , , , , , ,85, ,White,White,State questionnaire,White,White,Midwest,Male,White men,Suburbs,Suburbs, Nebraska,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Takes away U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,1.36171960830688, , ,65+,60+,65 or over,45+,50+,60+,65+,White 60+
629955,Complete,No,Yes,Call 3,3,High school or less,No college degree,High school graduate or less,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Terrorism,John Kasich,Somewhat likely,Republican,All Republicans,Republican,Republican Women,Will still be divided in November,Conservative,Conservative,Very conservative,8,Shares my values,White,White,State questionnaire,White,White,Midwest,Female,White women,Rural,Small Cities/Rural, Nebraska,Election day exit poll,In the last few days,Last few days,In the last month,This week,Creates more U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,2.00033569335938,Yes,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
629992,Complete,No,No,Call 3,2,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Terrorism,John Kasich,Somewhat likely,Republican,All Republicans,Republican,Republican Women,Is divided now but will unite by November,Conservative,Conservative,Somewhat conservative,23,Shares my values,White,White,State questionnaire,White,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Creates more U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,1.8297883272171,Yes,All others,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29
630090,Complete,Yes,No,Call 3,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Hillary Clinton,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Omit,John Kasich,Not at all likely,Democrat,White Democrat,Democrat,Democratic Women,Will still be divided in November,Moderate/Liberal,Liberal,Liberal,48,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Female,White women,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,4.00067138671875,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
630096,Complete,No,No,Call 3,2,College graduate,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Donald Trump,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Immigration,John Kasich,Somewhat likely,Republican,All Republicans,Republican,Republican Men,Is divided now but will unite by November,Conservative,Conservative,Somewhat conservative,32,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Optimistic,Excited or optimistic,Version 1,.964477062225342,No,All others,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
630098,Complete,No,Yes,Call 3,2,Postgraduate study,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Terrorism,John Kasich,Not too likely,Republican,All Republicans,Republican,Republican Men,Will still be divided in November,Conservative,Conservative,Somewhat conservative,32,Shares my values,White,White,State questionnaire,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Has no effect on U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.964477062225342,No,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
630109,Complete,Yes,Yes,Call 3,1,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1,Angry,"Dissatisfied, but not angry or Angry",Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,John Kasich,Not at all likely,Republican,All Republicans,Republican,Republican Women,Will still be divided in November,Conservative,Conservative,Somewhat conservative,13,Shares my values,White,White,State questionnaire,White,White,Midwest,Female,White women,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,1.48697412014008,No,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
630115,Complete,Yes,Yes,Call 3,1,Postgraduate study,College graduate,More than High school graduate,White college degree,1,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Hillary Clinton,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,John Kasich,Not at all likely,Republican,All Republicans,Republican,Republican Women,Will still be divided in November,Conservative,Conservative,Somewhat conservative,13,Shares my values,White,White,State questionnaire,White,White,Midwest,Female,White women,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,1.48697412014008,No,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
630120,Complete,Yes,No,Call 3,1,College graduate,College graduate,More than High school graduate,White college degree,1,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,John Kasich,Not at all likely,Independent/Something else,White Independent,Independent,Independent Men,Will still be divided in November,Moderate/Liberal,Moderate,Moderate,58,Shares my values,White,White,State questionnaire,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Omit,Not Donald Trump,Concerned,Concerned or scared,Version 1,4.08515882492065,No,All others,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29
630125,Complete,Omit, ,Call 3,1,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1,Omit,Omit,Not vote for either candidates, , , , , , , ,Government spending,John Kasich,Omit,Republican,All Republicans,Republican,Republican Women,Omit,Conservative,Conservative,Somewhat conservative,13,Omit,White,White,State questionnaire,White,White,Midwest,Female,White women,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Creates more U.S. jobs,Not Donald Trump,Omit,Omit,Version 1,1.48697412014008, ,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
630126,Complete,Yes,No,Call 3,2,Postgraduate study,College graduate,More than High school graduate,White college degree,2,Angry,"Dissatisfied, but not angry or Angry",Vote for Donald Trump,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Economy/Jobs,John Kasich,Somewhat likely,Republican,All Republicans,Republican,Republican Women,Is divided now but will unite by November,Moderate/Liberal,Moderate,Moderate,30,Shares my values,White,White,State questionnaire,White,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Optimistic,Excited or optimistic,Version 1,.583410799503326,No,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
630137,Complete,No,No,Call 3,2,College graduate,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Donald Trump,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,John Kasich,Somewhat likely,Republican,All Republicans,Republican,Republican Men,Will still be divided in November,Conservative,Conservative,Somewhat conservative,30,Shares my values,White,White,State questionnaire,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.601050913333893,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
630147,Complete,No,No,Call 3,2,College graduate,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Donald Trump,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Terrorism,John Kasich,Somewhat likely,Republican,All Republicans,Republican,Republican Women,Will still be divided in November,Conservative,Conservative,Somewhat conservative,30,Shares my values,White,White,State questionnaire,White,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Has no effect on U.S. jobs,Not Donald Trump,Optimistic,Excited or optimistic,Version 1,.583410799503326,No,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
630155,Complete,Yes,No,Call 3,1,College graduate,College graduate,More than High school graduate,White college degree,1,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Donald Trump,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,John Kasich,Somewhat likely,Republican,All Republicans,Republican,Republican Men,Will still be divided in November,Moderate/Liberal,Moderate,Moderate,14,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Male,White men,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Optimistic,Excited or optimistic,Version 1,1.40636610984802,No,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
630157,Complete,Yes,No,Call 3,2,College graduate,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,John Kasich,Not too likely,Republican,All Republicans,Republican,Republican Women,Will still be divided in November,Moderate/Liberal,Moderate,Moderate,30,Shares my values,White,White,State questionnaire,White,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.583410799503326,No,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
630161,Complete,Yes,No,Call 3,1,Postgraduate study,College graduate,More than High school graduate,White college degree,1,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,John Kasich,Not at all likely,Republican,All Republicans,Republican,Republican Women,Will still be divided in November,Conservative,Conservative,Somewhat conservative,14,Shares my values,White,White,State questionnaire,White,White,Midwest,Female,White women,Rural,Small Cities/Rural, Nebraska,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,1.36509096622467,No,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
630169,Complete,Yes, ,Call 3,2,College graduate,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,John Kasich,Not too likely,Republican,All Republicans,Republican,Republican Men,Will still be divided in November,Conservative,Conservative,Somewhat conservative,30,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,.601050913333893,No,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
630190,Complete,Yes,No,Call 3,2,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Donald Trump,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,John Kasich,Somewhat likely,Republican,All Republicans,Republican,Republican Women,Will still be divided in November,Conservative,Conservative,Somewhat conservative,30,Shares my values,White,White,State questionnaire,White,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.583410799503326,No,All others, , , , , , , , 
630199,Complete,No,No,Call 3,2,College graduate,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,John Kasich,Not too likely,Republican,All Republicans,Republican,Republican Women,Is divided now but will unite by November,Moderate/Liberal,Moderate,Moderate,30,Shares my values,White,White,State questionnaire,White,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.583410799503326,No,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
630209,Complete,No,No,Call 3,2,Postgraduate study,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Economy/Jobs,John Kasich,Not at all likely,Republican,All Republicans,Republican,Republican Men,Will still be divided in November,Moderate/Liberal,Moderate,Moderate,30,Shares my values,White,White,State questionnaire,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,.601050913333893,No,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
630232,Complete,Yes,No,Call 3,1,Postgraduate study,College graduate,More than High school graduate,White college degree,2,Angry,"Dissatisfied, but not angry or Angry",Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,John Kasich,Somewhat likely,Republican,All Republicans,Republican,Republican Women,Will still be divided in November,Conservative,Conservative,Somewhat conservative,80,Shares my values,White,White,State questionnaire,White,White,Midwest,Female,White women,Suburbs,Suburbs, Nebraska,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,.856496691703796,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
630255,Complete,Yes,No,Call 3,3,High school or less,No college degree,High school graduate or less,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Government spending,John Kasich,Not too likely,Republican,All Republicans,Republican,Republican Men,Will still be divided in November,Moderate/Liberal,Moderate,Moderate,55,Shares my values,White,White,State questionnaire,White,White,Midwest,Male,White men,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,2.89628505706787,Yes,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
630257,Complete,Yes,No,Call 3,2,Postgraduate study,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Donald Trump,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,John Kasich,Not too likely,Republican,All Republicans,Republican,Republican Men,Will still be divided in November,Conservative,Conservative,Somewhat conservative,43,Shares my values,White,White,State questionnaire,White,White,Midwest,Male,White men,Suburbs,Suburbs, Nebraska,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.518406391143799,No,All others,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
630265,Complete,Yes,No,Call 3,1,Postgraduate study,College graduate,More than High school graduate,White college degree,2,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Vote for Hillary Clinton,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,John Kasich,Not at all likely,Republican,All Republicans,Republican,Republican Men,Will still be divided in November,Moderate/Liberal,Moderate,Moderate,78,Shares my values,White,White,State questionnaire,White,White,Midwest,Male,White men,Suburbs,Suburbs, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Has no effect on U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,.846377789974213,No,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
630266,Complete,Yes,No,Call 3,1,Postgraduate study,College graduate,More than High school graduate,White college degree,2,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Vote for Hillary Clinton,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,John Kasich,Not at all likely,Republican,All Republicans,Republican,Republican Men,Will still be divided in November,Moderate/Liberal,Moderate,Moderate,78,Shares my values,White,White,State questionnaire,White,White,Midwest,Male,White men,Suburbs,Suburbs, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Has no effect on U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,.846377789974213,No,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
630270,Complete,Yes,No,Call 3,2,College graduate,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Terrorism,John Kasich,Not at all likely,Republican,All Republicans,Republican,Republican Women,Will still be divided in November,Moderate/Liberal,Moderate,Moderate,43,Shares my values,White,White,State questionnaire,White,White,Midwest,Female,White women,Suburbs,Suburbs, Nebraska,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,.503191769123077,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
630308,Complete,Yes,No,Call 3,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Hillary Clinton,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,John Kasich,Not too likely,Republican,All Republicans,Republican,Republican Women,Will still be divided in November,Conservative,Conservative,Somewhat conservative,55,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Female,White women,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,2.81128239631653,No,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
