ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSGA08,SENGA08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BAILOUT,BRNAGAIN,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BAILOUT2,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4452325.0, Georgia,135.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.426867544651031,John McCain,Saxby Chambliss,Male,White,40-44,Republican,Conservative,,High school graduate,No,Somewhat disapprove,Somewhat oppose,Yes,The economy,Not so good,Very worried,No,Omit,Not a factor at all,Sometime in September,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,Oppose,No college degree,High school graduate or less,White no college degree,,,,,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4452234.0, Georgia,135.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.347964704036713,John McCain,Saxby Chambliss,Female,White,50-59,Democrat,Moderate,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,Somewhat support,Yes,The economy,Not so good,Very worried,No,Has the right experience,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Support,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4452070.0, Georgia,135.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.347964704036713,John McCain,Saxby Chambliss,Female,White,30-39,Republican,Conservative,"$30,000-$49,999",Some college or associate degree,No,Somewhat approve,Strongly oppose,Yes,The economy,Not so good,Very worried,No,Shares my values,Not a factor at all,Before that,Approve,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Oppose,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4451915.0, Georgia,135.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.328847080469131,John McCain,Saxby Chambliss,Female,White,18-24,Republican,Conservative,"$100,000-$149,999",Some college or associate degree,No,Somewhat approve,Omit,Yes,The economy,Not so good,Not too worried,No,Cares about people like me,The single most important factor,Before that,Approve,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,Omit,No college degree,More than High school graduate,White no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Not so good/Poor,Not worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Important,Factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4451844.0, Georgia,135.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.296541929244995,John McCain,Saxby Chambliss,Female,,25-29,,Moderate,"$15,000-$29,999",Some college or associate degree,No,Somewhat disapprove,Somewhat support,Yes,The economy,Poor,Very worried,No,Cares about people like me,A minor factor,Earlier in October,Disapprove,,,,,18-29,18-29,18-44,18-29,25-29,18-64,,,,Support,No college degree,More than High school graduate,,Less than 100k,Less than 50k,Less than 50 thousand,,Not so good/Poor,Worried,,,,,,,Not important,Factor,Sometime last week or earlier,Earlier in October,In the last month or before that,,All others,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4451688.0, Georgia,135.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.426867544651031,John McCain,Saxby Chambliss,Male,White,50-59,Republican,Conservative,"$200,000 or more",Some college or associate degree,No,Somewhat approve,Strongly oppose,Yes,The economy,Not so good,Very worried,No,Shares my values,Not a factor at all,Before that,Approve,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Oppose,No college degree,More than High school graduate,White no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4451582.0, Georgia,135.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.403414875268936,John McCain,Saxby Chambliss,Male,White,18-24,Republican,Conservative,"$150,000-$199,999",College graduate,No,Somewhat disapprove,Somewhat oppose,Yes,The economy,Not so good,Very worried,No,Can bring about needed change,Not a factor at all,Sometime in September,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,Oppose,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4451512.0, Georgia,135.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.426867544651031,John McCain,Saxby Chambliss,Male,White,30-39,Republican,Liberal,"$75,000-$99,999",Some college or associate degree,No,Somewhat disapprove,Strongly oppose,Yes,The economy,Not so good,Somewhat worried,No,Has the right experience,Not a factor at all,Before that,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Oppose,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4412553.0, Georgia,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.426867544651031,John McCain,Saxby Chambliss,Male,White,45-49,Republican,Conservative,"$30,000-$49,999",Postgraduate study,,Somewhat approve,Strongly oppose,Yes,Terrorism,Not so good,Not too worried,No,Shares my values,Not a factor at all,Before that,Approve,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,Oppose,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Not worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4451435.0, Georgia,135.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.426867544651031,John McCain,Saxby Chambliss,Male,White,40-44,Republican,Conservative,"$50,000-$74,999",College graduate,No,Somewhat approve,Strongly oppose,Yes,Energy policy,Poor,Very worried,No,Shares my values,Not a factor at all,Just today,Approve,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,Oppose,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4412444.0, Georgia,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.347964704036713,John McCain,Saxby Chambliss,Female,White,50-59,Republican,Conservative,"$50,000-$74,999",Some college or associate degree,No,Somewhat approve,Strongly oppose,Yes,The economy,Not so good,Very worried,No,Has the right experience,Not a factor at all,Before that,Approve,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Oppose,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4412388.0, Georgia,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.673168540000916,John McCain,Saxby Chambliss,Male,White,65-74,Independent,Moderate,,Some college or associate degree,No,Somewhat approve,Strongly oppose,Yes,The economy,Not so good,Very worried,No,Has the right experience,Not a factor at all,Before that,Approve,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Oppose,No college degree,More than High school graduate,White no college degree,,,,,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4434188.0, Georgia,135.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.403414875268936,John McCain,Saxby Chambliss,Male,White,18-24,Republican,Conservative,"$15,000-$29,999",College graduate,No,Somewhat approve,Somewhat support,No,The economy,Not so good,Somewhat worried,Yes,Can bring about needed change,A minor factor,Just today,Approve,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,Support,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Factor,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,No,All others,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4412331.0, Georgia,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.426867544651031,John McCain,Saxby Chambliss,Male,White,45-49,Republican,Conservative,"$200,000 or more",Postgraduate study,No,Somewhat approve,Somewhat support,No,The economy,Good,Very worried,No,Shares my values,Not a factor at all,Before that,Approve,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,Support,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Excellent/Good,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4412262.0, Georgia,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.347964704036713,John McCain,Saxby Chambliss,Female,White,40-44,Republican,Moderate,"$15,000-$29,999",Some college or associate degree,No,Strongly approve,Strongly oppose,Yes,The economy,Not so good,Very worried,No,Has the right experience,Not a factor at all,Before that,Approve,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,Oppose,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4412214.0, Georgia,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.347964704036713,John McCain,Saxby Chambliss,Female,White,50-59,Republican,Moderate,"$100,000-$149,999",High school graduate,No,Somewhat approve,Somewhat support,,The economy,Poor,Very worried,No,Has the right experience,Not a factor at all,Just today,Approve,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Support,No college degree,High school graduate or less,White no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,,Not important,Not a factor,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,No,All others,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4412154.0, Georgia,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.403414875268936,John McCain,Saxby Chambliss,Male,White,25-29,Independent,Moderate,"$15,000-$29,999",College graduate,No,Strongly disapprove,Strongly oppose,Yes,The economy,Poor,Very worried,No,Has the right experience,Not a factor at all,Just today,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,Oppose,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4412098.0, Georgia,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.347964704036713,John McCain,Saxby Chambliss,Female,White,30-39,Republican,Conservative,"$200,000 or more",College graduate,No,Strongly approve,Somewhat support,Yes,The economy,Not so good,Very worried,No,Shares my values,Not a factor at all,Before that,Approve,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Support,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4412047.0, Georgia,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.426867544651031,John McCain,Saxby Chambliss,Male,White,50-59,Republican,Conservative,"$100,000-$149,999",Some college or associate degree,No,Somewhat approve,Strongly oppose,Yes,The economy,Not so good,Somewhat worried,No,Shares my values,A minor factor,Before that,Approve,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Oppose,No college degree,More than High school graduate,White no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4411999.0, Georgia,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.347964704036713,John McCain,Saxby Chambliss,Female,White,30-39,Republican,Conservative,"$200,000 or more",College graduate,No,Strongly approve,Somewhat support,Yes,The war in Iraq,Good,Very worried,No,Has the right experience,A minor factor,Before that,Approve,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Support,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Excellent/Good,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4411939.0, Georgia,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.347964704036713,John McCain,Saxby Chambliss,Female,White,30-39,Republican,Conservative,"$15,000-$29,999",College graduate,No,Somewhat approve,Somewhat oppose,Yes,The economy,Not so good,Somewhat worried,No,Shares my values,Not a factor at all,Before that,Approve,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Oppose,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4411880.0, Georgia,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.426867544651031,John McCain,Saxby Chambliss,Male,White,45-49,Republican,Conservative,"$100,000-$149,999",Postgraduate study,No,Somewhat approve,Somewhat support,Yes,Terrorism,Good,Somewhat worried,No,Shares my values,Not a factor at all,Before that,Approve,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,Support,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Excellent/Good,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4411825.0, Georgia,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.426867544651031,John McCain,Saxby Chambliss,Male,White,45-49,Republican,Conservative,"$150,000-$199,999",High school graduate,,Somewhat approve,Somewhat oppose,,Energy policy,Not so good,Very worried,No,Shares my values,Not a factor at all,Before that,Approve,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,Oppose,No college degree,High school graduate or less,White no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4411773.0, Georgia,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.347964704036713,John McCain,Saxby Chambliss,Female,White,30-39,Republican,Conservative,"$30,000-$49,999",Some college or associate degree,No,Somewhat approve,Strongly oppose,Yes,The economy,Not so good,Very worried,No,Has the right experience,Not a factor at all,Before that,Approve,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Oppose,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4411702.0, Georgia,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.347964704036713,John McCain,Saxby Chambliss,Female,White,30-39,Republican,Conservative,"$150,000-$199,999",College graduate,No,Somewhat disapprove,Somewhat oppose,Yes,The war in Iraq,Poor,Very worried,No,Shares my values,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Oppose,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4411647.0, Georgia,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.347964704036713,John McCain,Saxby Chambliss,Female,White,30-39,Republican,Conservative,"$50,000-$74,999",Some college or associate degree,No,Somewhat approve,Somewhat support,Yes,The war in Iraq,Not so good,Very worried,No,Has the right experience,One of several important factors,Before that,Approve,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Support,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Important,Factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4411570.0, Georgia,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.347964704036713,John McCain,Saxby Chambliss,Female,White,40-44,Republican,Conservative,"$50,000-$74,999",College graduate,No,Somewhat approve,Somewhat support,Yes,The economy,Not so good,Very worried,No,Shares my values,Not a factor at all,Before that,Approve,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,Support,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4451988.0, Georgia,135.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.403414875268936,John McCain,Saxby Chambliss,Male,White,18-24,Independent,Liberal,"$30,000-$49,999",Some college or associate degree,No,Somewhat approve,Somewhat support,Yes,The economy,Not so good,Somewhat worried,Yes,Can bring about needed change,One of several important factors,Earlier in October,Approve,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,Support,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Important,Factor,Sometime last week or earlier,Earlier in October,In the last month or before that,Yes,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4451764.0, Georgia,135.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.347964704036713,John McCain,Saxby Chambliss,Female,White,45-49,Republican,Conservative,"$50,000-$74,999",College graduate,No,Somewhat approve,Somewhat oppose,Yes,The economy,Not so good,Very worried,No,Shares my values,Not a factor at all,Before that,Approve,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,Oppose,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4434437.0, Georgia,135.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.347964704036713,John McCain,Saxby Chambliss,Female,White,40-44,Republican,Moderate,"$50,000-$74,999",High school graduate,No,Strongly disapprove,Somewhat support,Yes,The economy,Poor,Very worried,No,Has the right experience,Not a factor at all,Sometime in September,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,Support,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4434436.0, Georgia,135.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.347964704036713,John McCain,Saxby Chambliss,Female,White,40-44,Republican,Moderate,"$50,000-$74,999",High school graduate,No,Strongly disapprove,Somewhat support,Yes,The economy,Poor,Very worried,No,Has the right experience,Not a factor at all,Sometime in September,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,Support,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
4434403.0, Georgia,135.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.426867544651031,John McCain,Saxby Chambliss,Male,White,40-44,Republican,Moderate,,Some college or associate degree,No,Strongly disapprove,Somewhat support,,The economy,Not so good,Very worried,No,Shares my values,Not a factor at all,Before that,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,Support,No college degree,More than High school graduate,White no college degree,,,,,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,,All others,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,South,Low Density Rural,Rural,Rural,Downscale,31793.0
