ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,PRESNV04,SENNV04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,EDUC,UNION4,MARRIED,MEXICAN,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,STECNV,MOVETONV,YUCCAMTN,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,UNIONHH,UNIONVOT,WOMENWED,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1495994.0,Nevada,12.0,State,1.0,Call 1,Complete,Exit poll,0.361800998449326,Kerry,Reid,Male,White,50-59,Democrat,Moderate,No,"$100,000-$149,999",Worse today,Jewish,Postgraduate study,No one does,No,No,Before that,For your candidate,Economy/Jobs,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Both of them,Only John Kerry,Very badly,Good,I moved to NV in the last 4 years,Not at all important,White male,45-59,50-64,18-64,Democrat,"$50,000 or more","$100,000 or more",Jewish,White Jewish,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Clark County,Suburbs,Suburbs,3.0,89014.0
1496006.0,Nevada,32.0,State,1.0,Call 1,Complete,Exit poll,0.50984114408493,Kerry,Reid,Female,White,40-44,Democrat,Liberal,No,"$100,000-$149,999",Worse today,None,Postgraduate study,No one does,Yes,No,Before that,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Good,I moved to NV in the last 4 years,Not too important,White female,30-44,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",None,White None,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,Married women,White,Clark County,"City over 500,000","City over 50,000",1.0,89107.0
1496017.0,Nevada,80.0,State,1.0,Call 1,Complete,Exit poll,0.394979327917099,Kerry,Did not vote,Male,White,30-39,Democrat,Moderate,No,"$75,000-$99,999",Better today,None,College graduate,"Yes, someone else does",Yes,No,Before that,Omit,Education,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Omit,Neither of them,Only John Kerry,Somewhat badly,Good,I moved to NV more than 10 years ago,Somewhat important,White male,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",None,White None,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Bush/Neither,Someone in household is union member,Voter is not union member,All others,White,Washoe County,"City: 50,000 to 500,000","City over 50,000",2.0,89506.0
1496018.0,Nevada,10.0,State,1.0,Call 1,Complete,Exit poll,0.389259546995163,Kerry,Reid,Male,White,25-29,Independent,Moderate,Yes,"$15,000-$29,999",Worse today,Other Christian,Did not complete high school,No one does,No,No,Just today,Against his opponent,Economy/Jobs,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Safer from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Good,I moved to NV more than 10 years ago,Very important,White male,18-29,25-29,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,No degree,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Clark County,Suburbs,Suburbs,3.0,89015.0
1496022.0,Nevada,36.0,State,1.0,Call 1,Complete,Exit poll,0.479323893785477,Kerry,Ziser,Male,White,25-29,Something Else,Conservative,Yes,"$50,000-$74,999",Better today,Other Christian,High school graduate,"Yes, I do",Yes,No,Just today,For your candidate,Economy/Jobs,Will bring about needed change,Somewhat approve,Somewhat approve,Safer from terrorism,Both of them,Both of them,Somewhat well,Good,I moved to NV more than 10 years ago,Somewhat important,White male,18-29,25-29,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,No degree,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Someone in household is union member,Voter is union member,All others,White,Clark County,"City over 500,000","City over 50,000",3.0,89149.0
1496024.0,Nevada,25.0,State,1.0,Call 1,Complete,Exit poll,0.271303504705429,Kerry,Did not vote,Female,Hispanic/Latino,40-44,Independent,Moderate,No,"$30,000-$49,999",About the same,Catholic,Some college/associate degree,No one does,No,Yes,Before that,For your candidate,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Safer from terrorism,Neither of them,Only John Kerry,Very badly,Good,I moved to NV in the last 4 years,Very important,Non-white female,30-44,40-49,18-64,Independent,"Under $50,000","Under $100,000",Catholic,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,Hispanic/Latino,Clark County,"City over 500,000","City over 50,000",3.0,89129.0
1496025.0,Nevada,11.0,State,1.0,Call 1,Complete,Exit poll,0.524975001811981,Bush,Ziser,Female,White,40-44,Republican,Moderate,Yes,"$30,000-$49,999",Better today,Mormon/LDS,Some college/associate degree,No one does,No,No,Before that,For your candidate,Terrorism,Has clear stands on the issues,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Very well,Good,I moved to NV more than 10 years ago,Not at all important,White female,30-44,40-49,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Clark County,"City: 50,000 to 500,000","City over 50,000",3.0,89120.0
1496030.0,Nevada,28.0,State,1.0,Call 1,Complete,Exit poll,0.484592318534851,Bush,Ziser,Female,White,30-39,Republican,Conservative,No,"$100,000-$149,999",Better today,Catholic,College graduate,No one does,Yes,No,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,I moved to NV 5-10 years ago,Not too important,White female,30-44,30-39,18-64,Republican,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,Clark County,"City over 500,000","City over 50,000",1.0,89134.0
1496055.0,Nevada,12.0,State,1.0,Call 1,Not complete,Exit poll,0.496720641851425,Bush,Ziser,Male,White,45-49,,,,,,,,,,No,Before that,For your candidate,Terrorism,Is honest and trustworthy,Strongly approve,,,,,,Excellent,I moved to NV 5-10 years ago,,White male,45-59,40-49,18-64,,,,,,All others,,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,,,,,,,,,All others,White,Clark County,Suburbs,Suburbs,3.0,89014.0
1496061.0,Nevada,20.0,State,1.0,Call 1,Complete,Exit poll,0.348400950431824,Kerry,Reid,Male,Other,30-39,Independent,Moderate,Yes,"$75,000-$99,999",Better today,Muslim,College graduate,No one does,,No,Before that,Against his opponent,Terrorism,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Excellent,I moved to NV in the last 4 years,Somewhat important,Non-white male,30-44,30-39,18-64,Independent,"$50,000 or more","Under $100,000",Something else,All others,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,Other,Clark County,Suburbs,Suburbs,3.0,89012.0
1496067.0,Nevada,4.0,State,1.0,Call 1,Complete,Exit poll,0.506526350975037,Bush,Reid,Male,White,45-49,Republican,Moderate,No,"$75,000-$99,999",Better today,Catholic,Some college/associate degree,"Yes, I do",Yes,No,In the last three days,Against his opponent,Terrorism,Is a strong leader,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Excellent,I moved to NV more than 10 years ago,Not too important,White male,45-59,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,No degree,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Someone in household is union member,Voter is union member,All others,White,Clark County,"City over 500,000","City over 50,000",3.0,89110.0
1496068.0,Nevada,35.0,State,1.0,Call 1,Complete,Exit poll,0.399980962276459,Bush,Ziser,Female,White,40-44,Democrat,Liberal,Yes,"$30,000-$49,999",About the same,Catholic,,"Yes, someone else does",No,No,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Both of them,Somewhat well,Good,I moved to NV more than 10 years ago,Somewhat important,White female,30-44,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Bush/Neither,Someone in household is union member,Voter is not union member,All others,White,Clark County,"City over 500,000","City over 50,000",3.0,89146.0
1496075.0,Nevada,10.0,State,1.0,Call 1,Not complete,Exit poll,0.585807621479034,Kerry,Reid,Female,White,75 or over,,,,,,,,,,No,Before that,For your candidate,Education,Is a strong leader,Strongly disapprove,,,,,,Good,I moved to NV more than 10 years ago,,White female,60 or over,65 or over,65 or over,,,,,,All others,,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,,,,,,,,,All others,White,Clark County,Suburbs,Suburbs,3.0,89015.0
1496084.0,Nevada,56.0,State,1.0,Call 1,Complete,Exit poll,0.552397668361664,Kerry,Reid,Female,Black,50-59,Democrat,Liberal,No,"$75,000-$99,999",Worse today,Other Christian,High school graduate,No one does,Yes,No,Before that,For your candidate,Health care,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Poor,I moved to NV more than 10 years ago,Very important,Non-white female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,Married women,Black,Clark County,"City: 50,000 to 500,000","City over 50,000",3.0,89120.0
1496085.0,Nevada,68.0,State,1.0,Call 1,Complete,Exit poll,0.780397772789001,Bush,Ziser,Female,White,40-44,Republican,Moderate,No,"$200,000 or more",Better today,Other Christian,Some college/associate degree,No one does,Yes,,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,I moved to NV 5-10 years ago,Not at all important,White female,30-44,40-49,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,Washoe County,"City: 50,000 to 500,000","City over 50,000",2.0,89509.0
1496086.0,Nevada,2.0,State,1.0,Call 1,Complete,Exit poll,1.33497023582458,Bush,Ziser,Male,White,18-24,Republican,Liberal,Yes,"$75,000-$99,999",About the same,Catholic,Some college/associate degree,"Yes, someone else does",No,No,Just today,Against his opponent,Moral values,Is a strong leader,Somewhat approve,Strongly approve,Safer from terrorism,Only George W. Bush,Both of them,Somewhat well,Good,I was born in NV,Somewhat important,White male,18-29,18-24,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,No degree,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Bush/Neither,Someone in household is union member,Voter is not union member,All others,White,Rural Counties,"City: 50,000 to 500,000","City over 50,000",2.0,89701.0
1496097.0,Nevada,15.0,State,1.0,Call 1,Complete,Exit poll,0.211496397852898,None of these candidates,Ziser,Female,White,75 or over,Independent,Conservative,No,"$200,000 or more",Worse today,Catholic,Postgraduate study,No one does,No,No,Before that,Against his opponent,Iraq,Omit,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Neither of them,Very badly,Not so good,I moved to NV more than 10 years ago,Very important,White female,60 or over,65 or over,65 or over,Independent,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Clark County,Suburbs,Suburbs,3.0,89012.0
1496099.0,Nevada,11.0,State,1.0,Call 1,Complete,Exit poll,0.391951084136963,Kerry,Reid,Male,White,30-39,Democrat,Moderate,No,"$75,000-$99,999",About the same,Something else,College graduate,No one does,Yes,No,During the last month,Against his opponent,Economy/Jobs,Is intelligent,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Both of them,Only John Kerry,Somewhat badly,Good,I moved to NV in the last 4 years,Somewhat important,White male,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",Something else,White Something else,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Clark County,"City: 50,000 to 500,000","City over 50,000",3.0,89120.0
1496107.0,Nevada,51.0,State,1.0,Call 1,Complete,Exit poll,0.587926626205444,Kerry,Reid,Male,White,40-44,Independent,Moderate,No,"$100,000-$149,999",Better today,Catholic,Postgraduate study,No one does,Yes,No,Before that,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Both of them,Only John Kerry,Very badly,Good,I moved to NV 5-10 years ago,Very important,White male,30-44,40-49,18-64,Independent,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Clark County,Suburbs,Suburbs,2.0,89052.0
1496108.0,Nevada,28.0,State,1.0,Call 1,Complete,Exit poll,0.493374019861221,Bush,Reid,Male,Asian,18-24,Republican,Moderate,Yes,"$30,000-$49,999",About the same,Protestant,Some college/associate degree,"Yes, someone else does",No,No,During the last month,For your candidate,Education,Is a strong leader,Somewhat disapprove,Somewhat disapprove,Safer from terrorism,Both of them,Neither of them,Somewhat badly,Good,I moved to NV more than 10 years ago,Not at all important,Non-white male,18-29,18-24,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Kerry/Both,Someone in household is union member,Voter is not union member,All others,Asian,Clark County,"City over 500,000","City over 50,000",1.0,89134.0
1496110.0,Nevada,76.0,National,1.0,Call 1,Complete,Exit poll,0.749117255210876,Kerry,Reid,Male,White,30-39,Independent,,No,"$150,000-$199,999",Better today,None,Postgraduate study,No one does,No,,Before that,,Omit,Omit,Strongly disapprove,Strongly disapprove,Omit,,,Very badly,,,,White male,30-44,30-39,18-64,Independent,"$50,000 or more","$100,000 or more",None,White None,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,No one in household is union member,Voter is not union member,All others,White,Washoe County,"City: 50,000 to 500,000","City over 50,000",2.0,89509.0
1496116.0,Nevada,12.0,State,1.0,Call 1,Complete,Exit poll,0.511343657970428,Bush,Ziser,Female,White,25-29,Republican,Moderate,No,"$30,000-$49,999",Better today,Catholic,Some college/associate degree,"Yes, someone else does",No,No,Before that,For your candidate,Taxes,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,I moved to NV in the last 4 years,Somewhat important,White female,18-29,25-29,18-64,Republican,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Someone in household is union member,Voter is not union member,All others,White,Clark County,Suburbs,Suburbs,3.0,89014.0
1496121.0,Nevada,36.0,State,1.0,Call 1,Complete,Exit poll,0.435465008020401,Kerry,Reid,Female,,40-44,Democrat,Moderate,No,,Worse today,Something else,Some college/associate degree,No one does,Yes,No,Before that,Against his opponent,Omit,Is intelligent,Strongly disapprove,Omit,Less safe from terrorism,Only John Kerry,Only John Kerry,Omit,Omit,I moved to NV more than 10 years ago,Very important,,30-44,40-49,18-64,Democrat,,,Something else,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Omit,Omit,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,Married women,,Clark County,"City over 500,000","City over 50,000",3.0,89149.0
1496122.0,Nevada,65.0,State,1.0,Call 1,Complete,Exit poll,0.908521831035614,Bush,Ziser,Male,White,60-64,Republican,,No,"$30,000-$49,999",Better today,Protestant,High school graduate,No one does,Yes,No,Before that,Against his opponent,Iraq,Is a strong leader,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Not so good,I was born in NV,Very important,White male,60 or over,50-64,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Rural Counties,Rural,Small cities and Rural,2.0,89008.0
1496123.0,Nevada,17.0,State,1.0,Call 1,Complete,Exit poll,0.367085635662079,Kerry,Reid,Female,Hispanic/Latino,30-39,Democrat,Conservative,Yes,"$50,000-$74,999",Better today,Something else,Postgraduate study,"Yes, I do",No,Yes,Sometime last week,For your candidate,Education,Cares about people like me,Somewhat disapprove,Somewhat approve,Less safe from terrorism,Only John Kerry,Only George W. Bush,Somewhat badly,Good,I moved to NV more than 10 years ago,Not too important,Non-white female,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",Something else,All others,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Somewhat/Very badly,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,All others,Hispanic/Latino,Clark County,Suburbs,Suburbs,3.0,89118.0
1496124.0,Nevada,72.0,State,1.0,Call 1,Complete,Exit poll,0.70505154132843,Kerry,Reid,Male,White,50-59,Independent,Moderate,No,"$200,000 or more",About the same,None,Some college/associate degree,No one does,No,No,During the last month,Omit,Iraq,Is a strong leader,Strongly disapprove,Somewhat disapprove,Safer from terrorism,Both of them,Only John Kerry,Very badly,Good,I was born in NV,Somewhat important,White male,45-59,50-64,18-64,Independent,"$50,000 or more","$100,000 or more",None,White None,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Washoe County,Suburbs,Suburbs,2.0,89451.0
1496137.0,Nevada,25.0,State,1.0,Call 1,Complete,Exit poll,0.359887897968292,Kerry,Reid,Female,White,30-39,Democrat,Moderate,No,"$100,000-$149,999",About the same,Catholic,,"Yes, I do",Yes,No,Before that,Against his opponent,Economy/Jobs,Will bring about needed change,Somewhat disapprove,Strongly disapprove,Less safe from terrorism,Both of them,Only John Kerry,Very badly,Good,I was born in NV,Very important,White female,30-44,30-39,18-64,Democrat,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Someone in household is union member,Voter is union member,Married women,White,Clark County,"City over 500,000","City over 50,000",3.0,89129.0
1496150.0,Nevada,10.0,State,1.0,Call 1,Complete,Exit poll,0.502887308597565,Kerry,Reid,Female,Black,25-29,Democrat,Liberal,Yes,"$50,000-$74,999",Worse today,Other Christian,College graduate,No one does,Yes,No,Before that,For your candidate,Economy/Jobs,Will bring about needed change,Strongly disapprove,Somewhat approve,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Poor,I moved to NV more than 10 years ago,Very important,Non-white female,18-29,25-29,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,All others,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,Married women,Black,Clark County,Suburbs,Suburbs,3.0,89015.0
1496165.0,Nevada,20.0,State,1.0,Call 1,Complete,Exit poll,0.567109763622284,Kerry,Reid,Male,White,75 or over,Democrat,Moderate,No,"$50,000-$74,999",About the same,Jewish,College graduate,No one does,Yes,No,Before that,For your candidate,Iraq,Will bring about needed change,Strongly disapprove,Somewhat approve,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Good,I moved to NV 5-10 years ago,Very important,White male,60 or over,65 or over,65 or over,Democrat,"$50,000 or more","Under $100,000",Jewish,White Jewish,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Clark County,Suburbs,Suburbs,3.0,89012.0
1496168.0,Nevada,11.0,State,1.0,Call 1,Complete,Exit poll,0.538114011287689,Bush,Ziser,Male,White,40-44,Republican,Conservative,No,"$50,000-$74,999",Better today,Protestant,Postgraduate study,No one does,Yes,No,Before that,For your candidate,Moral values,Has clear stands on the issues,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Neither of them,Somewhat badly,Good,I moved to NV 5-10 years ago,Not too important,White male,30-44,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Clark County,"City: 50,000 to 500,000","City over 50,000",3.0,89120.0
1496171.0,Nevada,4.0,State,1.0,Call 1,Complete,Exit poll,0.295474499464035,Kerry,Did not vote,Male,White,50-59,Democrat,Liberal,No,"$100,000-$149,999",Worse today,Mormon/LDS,Postgraduate study,No one does,No,No,Before that,Omit,Economy/Jobs,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Good,I moved to NV more than 10 years ago,Very important,White male,45-59,50-64,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Clark County,"City over 500,000","City over 50,000",3.0,89110.0
1496182.0,Nevada,68.0,State,1.0,Call 1,Complete,Exit poll,1.54508829116821,Bush,Reid,Female,White,65-74,Republican,Moderate,No,,About the same,,Some college/associate degree,No one does,No,No,Before that,Against his opponent,Moral values,Cares about people like me,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat badly,Good,I moved to NV more than 10 years ago,Very important,White female,60 or over,65 or over,65 or over,Republican,,,,,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Washoe County,"City: 50,000 to 500,000","City over 50,000",2.0,89509.0
