ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,PRESCO04,SENCO04,AMND36CO,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,BRNAGAIN,EDUC,MARRIED,MEXICAN,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,JOBSIT,STECCO,QUAL04CO,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,WOMENWED,QRACE,SPANISHQ,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1468875.0,Colorado,,State,1.0,,Complete,Phone survey,2.6215980052948,Kerry,Salazar,No,Female,White,60-64,Democrat,Conservative,No,"$30,000-$49,999",Worse today,Other Christian,Yes,Postgraduate study,Yes,No,,Against his opponent,Economy/Jobs,Is honest and trustworthy,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Worse today,Poor,He is my party's candidate,White female,60 or over,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Married women,White,English,Denver/Adams/Boulder,"City: 50,000 to 500,000","City over 50,000",,80229.0
1468876.0,Colorado,,State,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Male,White,40-44,Republican,Conservative,No,"Under $15,000",About the same,Other Christian,Yes,College graduate,Yes,No,,For your candidate,Moral values,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Worse today,Not so good,He shares my values,White male,30-44,40-49,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,All others,White,English,Denver/Adams/Boulder,"City: 50,000 to 500,000","City over 50,000",,80026.0
1468877.0,Colorado,,State,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Male,White,40-44,Republican,Moderate,Yes,,About the same,None,Yes,High school graduate,Yes,No,,For your candidate,Terrorism,Is honest and trustworthy,Strongly approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Very well,Worse today,Good,He has the right experience,White male,30-44,40-49,18-64,Republican,,,None,White None,All others,White evangelicals,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,All others,White,English,Arapahoe/Jefferson,"City: 50,000 to 500,000","City over 50,000",,80004.0
1468878.0,Colorado,,State,1.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Female,White,75 or over,Independent,Moderate,No,"$50,000-$74,999",Worse today,Jewish,No,College graduate,No,No,,For your candidate,Economy/Jobs,Is intelligent,Somewhat disapprove,Strongly disapprove,Less safe from terrorism,Both of them,Only John Kerry,Very badly,Worse today,Poor,He shares my values,White female,60 or over,65 or over,65 or over,Independent,"$50,000 or more","Under $100,000",Jewish,White Jewish,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,All others,White,English,West,"City: 50,000 to 500,000","City over 50,000",,80517.0
1468879.0,Colorado,,State,1.0,,Complete,Phone survey,2.6215980052948,Kerry,Salazar,No,Female,,50-59,Independent,Moderate,No,"$100,000-$149,999",About the same,,,College graduate,Yes,No,,For your candidate,Omit,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Worse today,Not so good,He has the right experience,,45-59,50-64,18-64,Independent,"$50,000 or more","$100,000 or more",,,All others,,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Married women,,English,West,"City: 50,000 to 500,000","City over 50,000",,80524.0
1468880.0,Colorado,,State,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Male,White,40-44,Republican,Conservative,No,"$100,000-$149,999",About the same,Something else,No,College graduate,Yes,No,,Against his opponent,Terrorism,Will bring about needed change,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,About the same,Not so good,He shares my values,White male,30-44,40-49,18-64,Republican,"$50,000 or more","$100,000 or more",Something else,White Something else,All others,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,All others,White,English,Arapahoe/Jefferson,"City: 50,000 to 500,000","City over 50,000",,80120.0
1468881.0,Colorado,,State,1.0,,Complete,Phone survey,2.55760765075684,Bush,Coors,Did not vote,Female,White,18-24,Republican,Conservative,No,"$100,000-$149,999",About the same,Catholic,No,College graduate,No,No,,For your candidate,Iraq,Is honest and trustworthy,Strongly approve,Somewhat approve,Omit,Only George W. Bush,Only George W. Bush,Somewhat well,Worse today,Good,He is a strong leader,White female,18-29,18-24,18-64,Republican,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,All others,White,English,West,"City: 50,000 to 500,000","City over 50,000",,80634.0
1468882.0,Colorado,,State,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Male,White,50-59,Republican,Conservative,No,"$75,000-$99,999",About the same,None,No,Some college/associate degree,Yes,No,,For your candidate,Iraq,Is honest and trustworthy,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Better today,Good,He shares my values,White male,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",None,White None,All others,All others,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,All others,White,English,Denver/Adams/Boulder,"City: 50,000 to 500,000","City over 50,000",,80022.0
1468883.0,Colorado,,State,1.0,,Complete,Phone survey,2.53099298477173,,Did not vote,Yes,Male,White,50-59,Independent,Moderate,No,"$30,000-$49,999",About the same,Protestant,Yes,College graduate,Yes,No,,Omit,Terrorism,Omit,Somewhat disapprove,Somewhat disapprove,Omit,Both of them,Neither of them,Somewhat badly,,Omit,He shares my values,White male,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Kerry/Both,All others,White,English,Central,"City: 50,000 to 500,000","City over 50,000",,81211.0
1468884.0,Colorado,,State,1.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Female,Hispanic/Latino,18-24,Something Else,Liberal,No,"$30,000-$49,999",Worse today,Other Christian,No,College graduate,Yes,Yes,,Against his opponent,Health care,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Worse today,Not so good,He shares my values,Non-white female,18-29,18-24,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Married women,White,English,Denver/Adams/Boulder,"City: 50,000 to 500,000","City over 50,000",,80203.0
1468885.0,Colorado,,State,1.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Female,White,65-74,Democrat,Liberal,No,"$15,000-$29,999",Worse today,Catholic,No,High school graduate,Yes,No,,Against his opponent,Economy/Jobs,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Worse today,Poor,He has the right experience,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Married women,White,English,Denver/Adams/Boulder,"City: 50,000 to 500,000","City over 50,000",,80229.0
1468886.0,Colorado,,State,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Female,White,30-39,Republican,Moderate,No,"$75,000-$99,999",About the same,Catholic,No,College graduate,Yes,No,,For your candidate,Iraq,Is a strong leader,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,About the same,Good,He has the right experience,White female,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Married women,White,English,Arapahoe/Jefferson,"City: 50,000 to 500,000","City over 50,000",,80004.0
1468887.0,Colorado,,State,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Female,White,75 or over,Republican,Conservative,No,"$15,000-$29,999",About the same,Mormon/LDS,Yes,Some college/associate degree,No,No,,For your candidate,Moral values,Is honest and trustworthy,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,About the same,Good,He is a strong leader,White female,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,All others,White,English,West,"City: 50,000 to 500,000","City over 50,000",,80524.0
1468888.0,Colorado,,State,1.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Female,White,18-24,Independent,Liberal,Yes,"$75,000-$99,999",About the same,Something else,No,Some college/associate degree,No,No,,Against his opponent,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Neither of them,Very badly,Worse today,Good,He is my party's candidate,White female,18-29,18-24,18-64,Independent,"$50,000 or more","Under $100,000",Something else,White Something else,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,All others,White,English,Central,"City: 50,000 to 500,000","City over 50,000",,81230.0
1468889.0,Colorado,,State,1.0,,Complete,Phone survey,2.6215980052948,Kerry,Salazar,No,Male,Hispanic/Latino,65-74,Democrat,Liberal,Yes,"$30,000-$49,999",Worse today,Catholic,No,Some college/associate degree,Yes,Yes,,For your candidate,Health care,Is a strong leader,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Worse today,Not so good,He cares about people like me,Non-white male,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Catholic,All others,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,All others,Hispanic/Latino,English,Central,"City: 50,000 to 500,000","City over 50,000",,81050.0
1468890.0,Colorado,,State,1.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Female,White,30-39,Democrat,Moderate,No,"$100,000-$149,999",About the same,Protestant,No,College graduate,Yes,No,,For your candidate,Economy/Jobs,Has clear stands on the issues,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,About the same,Not so good,He cares about people like me,White female,30-44,30-39,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Married women,White,English,Denver/Adams/Boulder,"City: 50,000 to 500,000","City over 50,000",,80233.0
1468891.0,Colorado,,State,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Male,Hispanic/Latino,30-39,Independent,Moderate,No,"$75,000-$99,999",Better today,Catholic,No,College graduate,Yes,Yes,,For your candidate,Economy/Jobs,Is a strong leader,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Both of them,Somewhat well,About the same,Good,He is a strong leader,Non-white male,30-44,30-39,18-64,Independent,"$50,000 or more","Under $100,000",Catholic,All others,All others,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Bush/Neither,All others,Hispanic/Latino,English,Arapahoe/Jefferson,"City: 50,000 to 500,000","City over 50,000",,80015.0
1468892.0,Colorado,,State,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Male,White,75 or over,Republican,Conservative,No,"$200,000 or more",About the same,Catholic,No,College graduate,No,No,,For your candidate,Iraq,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat badly,,Good,He shares my values,White male,60 or over,65 or over,65 or over,Republican,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Somewhat/Very badly,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,All others,White,English,West,"City: 50,000 to 500,000","City over 50,000",,80517.0
1468893.0,Colorado,,State,1.0,,Complete,Phone survey,2.59454655647278,Kerry,Salazar,Did not vote,Male,Black,60-64,Democrat,Liberal,No,"$15,000-$29,999",Worse today,Other Christian,No,High school graduate,No,No,,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Worse today,Good,He cares about people like me,Non-white male,60 or over,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,All others,Black,English,East,"City: 50,000 to 500,000","City over 50,000",,80906.0
1468894.0,Colorado,,State,1.0,,Complete,Phone survey,2.6215980052948,Kerry,Salazar,No,Female,Other,50-59,Democrat,Liberal,No,,About the same,Jewish,No,Some college/associate degree,Yes,No,,Against his opponent,Economy/Jobs,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Worse today,Not so good,He shares my values,Non-white female,45-59,50-64,18-64,Democrat,,,Jewish,All others,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Married women,Other,English,Arapahoe/Jefferson,"City: 50,000 to 500,000","City over 50,000",,80120.0
1468895.0,Colorado,,State,1.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Female,White,45-49,Independent,,No,"$30,000-$49,999",Worse today,Other Christian,No,Did not complete high school,Yes,No,,Against his opponent,Economy/Jobs,Will bring about needed change,Somewhat disapprove,Strongly disapprove,Omit,Both of them,Neither of them,Somewhat badly,Worse today,Not so good,He has the right experience,White female,45-59,40-49,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Kerry/Both,Married women,White,English,West,"City: 50,000 to 500,000","City over 50,000",,81416.0
1468896.0,Colorado,,State,1.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Male,White,50-59,Independent,Liberal,No,"$100,000-$149,999",Worse today,None,No,Postgraduate study,Yes,No,,For your candidate,Economy/Jobs,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Both of them,Only John Kerry,Very badly,Worse today,Not so good,Omit,White male,45-59,50-64,18-64,Independent,"$50,000 or more","$100,000 or more",None,White None,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,All others,White,English,Denver/Adams/Boulder,"City: 50,000 to 500,000","City over 50,000",,80481.0
1468897.0,Colorado,,State,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Male,White,65-74,Republican,Conservative,No,"$30,000-$49,999",About the same,Protestant,Yes,Some college/associate degree,Yes,No,,Against his opponent,Terrorism,Has clear stands on the issues,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Neither of them,Somewhat well,About the same,Good,He is a strong leader,White male,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,All others,White,English,West,"City: 50,000 to 500,000","City over 50,000",,80517.0
1468898.0,Colorado,,State,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Female,White,30-39,Republican,Moderate,No,"$75,000-$99,999",Better today,Other Christian,Yes,Some college/associate degree,Yes,No,,Against his opponent,Terrorism,Is honest and trustworthy,Somewhat approve,Somewhat approve,Omit,Both of them,Both of them,Somewhat well,Worse today,Good,He is my party's candidate,White female,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Married women,White,English,East,"City: 50,000 to 500,000","City over 50,000",,80918.0
1468899.0,Colorado,,State,1.0,,Complete,Phone survey,2.6215980052948,Kerry,Salazar,No,Male,Black,30-39,Independent,Liberal,Yes,"$15,000-$29,999",Omit,None,No,College graduate,Yes,No,,For your candidate,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,,Not so good,He has the right experience,Non-white male,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",None,All others,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,All others,Black,English,East,"City: 50,000 to 500,000","City over 50,000",,80922.0
1468900.0,Colorado,,State,1.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Female,White,50-59,Independent,Conservative,No,"$75,000-$99,999",Worse today,Other Christian,No,Some college/associate degree,Yes,No,,For your candidate,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Neither of them,Very badly,Worse today,Not so good,He has the right experience,White female,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,Married women,White,English,Central,"City: 50,000 to 500,000","City over 50,000",,81082.0
1468901.0,Colorado,,State,1.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Male,,,Democrat,Moderate,No,"$75,000-$99,999",Worse today,Protestant,No,Some college/associate degree,Yes,,,Against his opponent,Iraq,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Worse today,Not so good,He is my party's candidate,,,,,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,All others,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,All others,,,Denver/Adams/Boulder,"City: 50,000 to 500,000","City over 50,000",,80221.0
1468902.0,Colorado,,State,1.0,,Complete,Phone survey,2.6215980052948,Kerry,Salazar,No,Female,White,30-39,Democrat,Moderate,No,"$100,000-$149,999",Better today,Protestant,No,Postgraduate study,Yes,No,,For your candidate,Education,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Worse today,Not so good,He shares my values,White female,30-44,30-39,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Married women,White,English,West,Suburbs,Suburbs,,81503.0
1468903.0,Colorado,,State,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Male,White,50-59,Republican,Conservative,No,"$100,000-$149,999",Better today,None,No,Postgraduate study,Yes,No,,For your candidate,Terrorism,Has clear stands on the issues,Strongly approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,About the same,Good,He is my party's candidate,White male,45-59,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",None,White None,All others,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,All others,White,English,East,Suburbs,Suburbs,,80906.0
1468904.0,Colorado,,State,1.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Male,White,18-24,Democrat,Moderate,Yes,"$100,000-$149,999",About the same,Protestant,No,Postgraduate study,No,No,,Against his opponent,Health care,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Worse today,Not so good,He shares my values,White male,18-29,18-24,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,All others,White,English,Arapahoe/Jefferson,Suburbs,Suburbs,,80111.0
1468905.0,Colorado,,State,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Female,White,75 or over,Republican,Conservative,No,"$15,000-$29,999",About the same,Protestant,Yes,College graduate,No,No,,For your candidate,Moral values,Has strong religious faith,Strongly approve,Somewhat approve,Less safe from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,About the same,Poor,He shares my values,White female,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,All others,White,English,West,Suburbs,Suburbs,,80525.0
1468906.0,Colorado,,State,1.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Female,White,30-39,Independent,Moderate,No,"$50,000-$74,999",Worse today,Other Christian,No,Postgraduate study,Yes,No,,For your candidate,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Worse today,Poor,He has the right experience,White female,30-44,30-39,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Married women,White,English,East,Suburbs,Suburbs,,80922.0
1468907.0,Colorado,,State,1.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Female,White,45-49,Democrat,Liberal,No,"$50,000-$74,999",About the same,Protestant,No,Postgraduate study,Yes,No,,Against his opponent,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,About the same,Good,He shares my values,White female,45-59,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Married women,White,English,Central,Suburbs,Suburbs,,81082.0
1468908.0,Colorado,,State,1.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Female,White,40-44,Democrat,Liberal,No,"$30,000-$49,999",Better today,Something else,No,Some college/associate degree,Yes,No,,Against his opponent,Moral values,Cares about people like me,Strongly disapprove,Somewhat approve,Safer from terrorism,Only John Kerry,Only John Kerry,Very badly,Worse today,Good,He shares my values,White female,30-44,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Something else,White Something else,All others,All others,No degree,Somewhat/Strongly disapprove,,,Strongly/Somewhat approve,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Married women,White,English,East,Suburbs,Suburbs,,80134.0
1468909.0,Colorado,,State,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Female,White,50-59,Independent,Conservative,No,"$50,000-$74,999",Better today,Protestant,No,Some college/associate degree,Yes,No,,For your candidate,Moral values,Is a strong leader,Somewhat approve,Somewhat approve,Less safe from terrorism,Only George W. Bush,Only George W. Bush,Somewhat badly,About the same,Not so good,He shares my values,White female,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Somewhat/Very badly,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Married women,White,English,West,Suburbs,Suburbs,,80610.0
