ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSWI16,SENWI16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,MARRIED,@2WAYPRES16,ATTEND16,BRNAGAIN,CLINTONEMAIL,DESCRIBP12,FAIRJUSTICE,FAVHCLIN16,FAVTRUMP,FAVRYAN2,FINSIT,GOVTANGR16,HANDLEECON16,HANDLEFP16,HEALTHCARE16,CLINHONEST,TRUMPHONEST,IMMBETTER,IMMDEPORT,ISSUE16,JOBSIT,LIFE,NEC,OBAMA4,OBAMAPLCY16,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,TEMPCLINTON,TEMPTRUMP,TIME16,TRADE16,TRUMPWOMEN,UNIONHH12,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYSEX,PARTYWHITE,QRACE3,QRACEAI,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,ATTEND16B,CLINTONEMAILB,FAVPRES16,GOVTANGR16B,HONEST16,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,SPLITTICKET,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRUMPWOMENB,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE
136893.0,Wisconsin,,,Complete,Telephone survey,1.49985122680664,Hillary Clinton,Russ Feingold,Female,White,65 or over,Democrat,Liberal,"$100,000-$199,999",Some college/assoc. degree,,,,,,,I strongly favor my candidate,,,,,,"Dissatisfied, but not angry",,,,Yes,No,,,Omit,,,Good,,,Has good judgment,,,,Yes,No,,,,,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White women non college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,,Other,No,,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,Excellent or good,,Liberal Democrats,Liberal Democrats,,Democratic Senate - voted Clinton,Only Hillary Clinton,,,,National questionnaire,"Cities over 500,000","Cities over 50,000",4.0,Midwest,Version 2,Milwaukee County
136891.0,Wisconsin,,,Complete,Telephone survey,3.51278066635132,Hillary Clinton,Russ Feingold,Male,White,50-59,Democrat,Liberal,"$100,000-$199,999",Postgraduate study,,,,,,,I strongly favor my candidate,,,,,,Angry,,,,Yes,No,,,The economy,,,Not so good,,,Has good judgment,,,,Yes,No,,,,,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic men,Democratic Men,White Democrat,White,White,White,,Other,No,,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,Not so good or poor,,Liberal Democrats,Liberal Democrats,,Democratic Senate - voted Clinton,Only Hillary Clinton,,,,National questionnaire,Rural,Small Cities/Rural,3.0,Midwest,Version 2,Southwest
221080.0,Wisconsin,20.0,Call 3,Complete,Election day exit poll,1.1561074256897,Hillary Clinton,Russ Feingold,Female,Asian,18-24,Democrat,Liberal,,Some college/assoc. degree,No,No,,,,Not much,,,,,,About the same,,Donald Trump,Hillary Clinton,Was about right,,,Help the country,Offered a chance to apply for legal status,,About the same,Worse than life today,,,,,,,Whites are favored over minorities,,,,Takes away U.S. jobs,A lot,,All other races,Non married women,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,All others,All others,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Democrat,Non-black Democrat,All Other,Democratic women,Democratic Women,Non-White Democrats,Other,Asian,Non-white,Asian,Other,,,Not much or not at all,,,,,,Liberal Democrats,Liberal Democrats,,Democratic Senate - voted Clinton,,,,A lot or some,State questionnaire,Suburbs,Suburbs,2.0,Midwest,Version 3,Southwest
200238.0,Wisconsin,76.0,Call 2,Complete,Election day exit poll,0.910885572433472,Hillary Clinton,Russ Feingold,Male,White,65 or over,Independent,Moderate,"$30,000-$49,999",Postgraduate study,No,,,Once a week or more,Yes,,,Treats blacks unfairly,Favorable,Unfavorable,Favorable,,,,,,,,,,Terrorism,,,,Strongly approve,,Cares about people like me,Yes,No,,,,Before that,,,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White men college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent Men,White Independent,White,White,White,White,White suburban men,No,At least monthly,,Only Hillary Clinton,,,,Approve,Moderate/Liberal Republicans,Moderate Independents,Only Hillary Clinton,Democratic Senate - voted Clinton,,Before that,Before that,,State questionnaire,Suburbs,Suburbs,8.0,Midwest,Version 1,Northeast
136887.0,Wisconsin,,,Complete,Telephone survey,1.49985122680664,Hillary Clinton,Russ Feingold,Female,White,65 or over,Democrat,Liberal,"Under $30,000",High school or less,,,,,,,I dislike the other candidates,,,,,,"Dissatisfied, but not angry",,,,Yes,No,,,The economy,,,Not so good,,,Has the right experience,,,,Yes,No,,,,,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,,Other,Yes,,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,Not so good or poor,,Liberal Democrats,Liberal Democrats,,Democratic Senate - voted Clinton,Only Hillary Clinton,,,,National questionnaire,"Cities over 500,000","Cities over 50,000",4.0,Midwest,Version 2,Milwaukee County
136886.0,Wisconsin,,,Complete,Telephone survey,8.87149143218994,Hillary Clinton,Russ Feingold,Female,White,,,Moderate,,College graduate,,,,,,,Omit,,,,,,"Satisfied, but not enthusiastic",,,,Yes,No,,,Omit,,,Not so good,,,Cares about people like me,,,,Yes,No,,,,,White women,,,,,,,,,,,,,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,,,,,,,White,White,White,,Other,No,,,,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,Not so good or poor,,,,,Democratic Senate - voted Clinton,Only Hillary Clinton,,,,National questionnaire,"Cities over 500,000","Cities over 50,000",4.0,Midwest,Version 2,Milwaukee County
221067.0,Wisconsin,86.0,Call 3,Complete,Election day exit poll,0.903396964073181,Hillary Clinton,Russ Feingold,Male,Hispanic/Latino,50-59,Democrat,Liberal,,Some college/assoc. degree,Yes,No,,,,Not at all,,,,,,Better today,,Hillary Clinton,Hillary Clinton,Was about right,,,Help the country,Offered a chance to apply for legal status,,Better today,Better than life today,,,,,,,Whites are favored over minorities,,,,Creates more U.S. jobs,A lot,,Latino men,Non married men,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,Latino 45-59,Latino 45-64,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democratic Men,Non-White Democrats,Other,Hispanic/Latino,Non-white,Hispanic/Latino,Other,,,Not much or not at all,,,,,,Liberal Democrats,Liberal Democrats,,Democratic Senate - voted Clinton,,,,A lot or some,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,Midwest,Version 3,Southeast
221063.0,Wisconsin,57.0,Call 3,Complete,Election day exit poll,0.93545013666153,Hillary Clinton,Russ Feingold,Male,White,18-24,Democrat,Liberal,,Some college/assoc. degree,No,No,,,,Some,,,,,,About the same,,Hillary Clinton,Hillary Clinton,Did not go far enough,,,Help the country,Offered a chance to apply for legal status,,Omit,Better than life today,,,,,,,No group is favored,,,,Creates more U.S. jobs,Some,,White men,Non married men,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democratic Men,White Democrat,White,White,White,White,Other,,,A lot or some,,,,,,Liberal Democrats,Liberal Democrats,,Democratic Senate - voted Clinton,,,,A lot or some,State questionnaire,"Cities over 500,000","Cities over 50,000",4.0,Midwest,Version 3,Milwaukee County
221051.0,Wisconsin,76.0,Call 3,Complete,Election day exit poll,0.697685480117798,Hillary Clinton,Russ Feingold,Female,White,50-59,Democrat,Liberal,,Postgraduate study,No,Yes,,,,Not at all,,,,,,Better today,,Hillary Clinton,Hillary Clinton,Did not go far enough,,,Help the country,Offered a chance to apply for legal status,,Better today,Better than life today,,,,,,,No group is favored,,,,Creates more U.S. jobs,A lot,,White women,Married women,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,White,White suburban women,,,Not much or not at all,,,,,,Liberal Democrats,Liberal Democrats,,Democratic Senate - voted Clinton,,,,A lot or some,State questionnaire,Suburbs,Suburbs,8.0,Midwest,Version 3,Northeast
221044.0,Wisconsin,84.0,Call 3,Complete,Election day exit poll,0.687660396099091,Hillary Clinton,Russ Feingold,Male,White,30-39,Democrat,Liberal,,Some college/assoc. degree,No,,Hillary Clinton,,,,I strongly favor my candidate,,,,,,"Dissatisfied, but not angry",,,,Yes,No,,,The economy,,,Good,,Continue Barack Obama's policies,Has the right experience,,,,Yes,No,,,,No,White men,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democratic Men,White Democrat,White,White,White,White,Other,,,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,Excellent or good,,Liberal Democrats,Liberal Democrats,,Democratic Senate - voted Clinton,Only Hillary Clinton,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,Midwest,Version 2,Southeast
221043.0,Wisconsin,5.0,Call 3,Complete,Election day exit poll,1.00339245796204,Hillary Clinton,Russ Feingold,Male,White,18-24,Democrat,Moderate,"$50,000-$99,999",High school or less,No,,,A few times a year,No,,,Treats blacks unfairly,Favorable,Unfavorable,Unfavorable,,,,,,,,,,Terrorism,,,,Somewhat approve,,Can bring needed change,Yes,No,,,,In the last week,,,,White men,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic men,Democratic Men,White Democrat,White,White,White,White,Other,No,A few times a year or less,,Only Hillary Clinton,,,,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,Democratic Senate - voted Clinton,,In the last month,In the last week,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",8.0,Midwest,Version 1,Northeast
221025.0,Wisconsin,99.0,Call 3,Complete,Election day exit poll,0.799628913402557,Hillary Clinton,Russ Feingold,Female,Black,45-49,Independent,Moderate,,College graduate,No,,Hillary Clinton,,,,I strongly favor my candidate,,,,,,"Satisfied, but not enthusiastic",,,,Yes,No,,,Terrorism,,,Good,,Change to more conservative policies,Has the right experience,,,,Yes,No,,,,No,Black women,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Black 45-59,Black 45-59,Black 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,,,,,Independent/Something else,Black non-Democrat,Black Independent,Independent women,Independent Women,All others,Black,Black,Non-white,Black,Other,,,,,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,Excellent or good,,Moderate/Liberal Republicans,Moderate Independents,,Democratic Senate - voted Clinton,Only Hillary Clinton,,,,State questionnaire,Suburbs,Suburbs,5.0,Midwest,Version 2,Southeast
204186.0,Wisconsin,52.0,Call 2,Complete,Election day exit poll,0.695344030857086,Hillary Clinton,Russ Feingold,Female,White,65 or over,Democrat,,,High school or less,No,,,Never,No,,,Treats blacks unfairly,Favorable,Unfavorable,Unfavorable,,,,,,,,,,Terrorism,,,,Somewhat approve,,Cares about people like me,Yes,No,,,,Before that,,,,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,White,Other,,A few times a year or less,,Only Hillary Clinton,,,,Approve,,,Only Hillary Clinton,Democratic Senate - voted Clinton,,Before that,Before that,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,7.0,Midwest,Version 1,Northwest
221020.0,Wisconsin,52.0,Call 3,Complete,Election day exit poll,0.592186391353607,Hillary Clinton,Russ Feingold,Female,White,50-59,,,,,No,Yes,,,,Not much,,,,,,About the same,,Hillary Clinton,Hillary Clinton,Did not go far enough,,,Omit,Offered a chance to apply for legal status,,About the same,Omit,,,,,,,Omit,,,,Creates more U.S. jobs,Omit,,White women,Married women,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,,,,,,,,,,,,,,,White,White,White,White,Other,,,Not much or not at all,,,,,,,,,Democratic Senate - voted Clinton,,,,Omit,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,7.0,Midwest,Version 3,Northwest
187327.0,Wisconsin,86.0,Call 1,Complete,Election day exit poll,0.812485754489899,Hillary Clinton,Russ Feingold,Female,White,45-49,Democrat,Liberal,,College graduate,No,,Hillary Clinton,,,,I strongly favor my candidate,,,,,,"Satisfied, but not enthusiastic",,,,Yes,No,,,Terrorism,,,Good,,Continue Barack Obama's policies,Has the right experience,,,,Yes,No,,,,Yes,White women,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,White,Other,,,,,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,Excellent or good,,Liberal Democrats,Liberal Democrats,,Democratic Senate - voted Clinton,Only Hillary Clinton,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,Midwest,Version 2,Southeast
221001.0,Wisconsin,26.0,Call 3,Complete,Election day exit poll,0.963094353675842,Hillary Clinton,Russ Feingold,Female,Hispanic/Latino,50-59,Democrat,Moderate,"$100,000-$199,999",Postgraduate study,Yes,Yes,,,,,,,Favorable,Unfavorable,,,,,,,,,,,Immigration,,,,Omit,,Cares about people like me,,,,,,Before that,,,,Latino women,Married women,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,Latino 45-59,Latino 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,100k or more,50k or more,100 thousand or more,"Over $50,000 and non white",Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democratic Women,Non-White Democrats,Other,Hispanic/Latino,Non-white,Hispanic/Latino,Other,No,,,Only Hillary Clinton,,,,Omit,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Democratic Senate - voted Clinton,,Before that,Before that,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,Midwest,Version 1,Southwest
220992.0,Wisconsin,22.0,Call 3,Complete,Election day exit poll,0.688408434391022,Hillary Clinton,Russ Feingold,Male,White,30-39,Democrat,Moderate,,Postgraduate study,No,Yes,,,,Not much,,,,,,Better today,,Hillary Clinton,Hillary Clinton,Did not go far enough,,,Help the country,Offered a chance to apply for legal status,,Better today,Better than life today,,,,,,,Whites are favored over minorities,,,,Creates more U.S. jobs,A lot,,White men,Married men,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democratic Men,White Democrat,White,White,White,White,White suburban men,,,Not much or not at all,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Democratic Senate - voted Clinton,,,,A lot or some,State questionnaire,Suburbs,Suburbs,2.0,Midwest,Version 3,Southwest
220978.0,Wisconsin,47.0,Call 3,Complete,Election day exit poll,0.656956791877747,Hillary Clinton,Russ Feingold,Female,White,40-44,Something else,Moderate,,College graduate,No,,Hillary Clinton,,,,I dislike the other candidates,,,,,,"Dissatisfied, but not angry",,,,No,No,,,Terrorism,,,Good,,Change to more conservative policies,Can bring needed change,,,,Yes,No,,,,No,White women,,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent Women,White Independent,White,White,White,White,White suburban women,,,,,"Dissatisfied, but not angry or Angry",Neither,Excellent or good,,Moderate/Liberal Republicans,Moderate Independents,,Democratic Senate - voted Clinton,Only Hillary Clinton,,,,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 2,Northwest
183731.0,Wisconsin,3.0,Call 1,Complete,Election day exit poll,0.948183596134186,Hillary Clinton,Russ Feingold,Female,White,65 or over,Democrat,Liberal,,Some college/assoc. degree,No,No,,,,Not at all,,,,,,About the same,,Hillary Clinton,Hillary Clinton,Did not go far enough,,,Help the country,Offered a chance to apply for legal status,,Better today,Better than life today,,,,,,,No group is favored,,,,Creates more U.S. jobs,A lot,,White women,Non married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,White,Other,,,Not much or not at all,,,,,,Liberal Democrats,Liberal Democrats,,Democratic Senate - voted Clinton,,,,A lot or some,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",8.0,Midwest,Version 3,Northeast
204122.0,Wisconsin,52.0,Call 2,Complete,Election day exit poll,0.592186391353607,Hillary Clinton,Russ Feingold,Female,White,50-59,Democrat,Moderate,"$50,000-$99,999",High school or less,No,,,A few times a year,No,,,Treats blacks unfairly,Favorable,Unfavorable,Unfavorable,,,,,,,,,,Terrorism,,,,Strongly approve,,Has good judgment,Yes,No,,,,Before that,,,,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,High school graduate or less,White no college degree,White women non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,White,Other,No,A few times a year or less,,Only Hillary Clinton,,,,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,Democratic Senate - voted Clinton,,Before that,Before that,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,7.0,Midwest,Version 1,Northwest
220948.0,Wisconsin,23.0,Call 3,Complete,Election day exit poll,1.71463453769684,Hillary Clinton,Russ Feingold,Male,White,60-64,Democrat,Moderate,"$50,000-$99,999",High school or less,,,,,,,I like my candidate but with reservations,,,,,,"Dissatisfied, but not angry",,,,Yes,No,,,Foreign policy,,,Good,,,Has the right experience,,,,Yes,No,,,,,White men,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic men,Democratic Men,White Democrat,White,White,White,White,White suburban men,No,,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,Excellent or good,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Democratic Senate - voted Clinton,Only Hillary Clinton,,,,National questionnaire,Suburbs,Suburbs,2.0,Midwest,Version 2,Southwest
201062.0,Wisconsin,15.0,Call 2,Complete,Election day exit poll,1.32952356338501,Hillary Clinton,Russ Feingold,Female,White,18-24,Democrat,Liberal,,College graduate,No,No,,,,A lot,,,,,,Better today,,Hillary Clinton,Hillary Clinton,Did not go far enough,,,Help the country,Offered a chance to apply for legal status,,Better today,Better than life today,,,,,,,Whites are favored over minorities,,,,Has no effect on U.S. jobs,A lot,,White women,Non married women,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,White,Other,,,A lot or some,,,,,,Liberal Democrats,Liberal Democrats,,Democratic Senate - voted Clinton,,,,A lot or some,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,Midwest,Version 3,Southwest
220931.0,Wisconsin,108.0,Call 3,Complete,Election day exit poll,0.903396964073181,Hillary Clinton,Russ Feingold,Male,White,50-59,Independent,Moderate,,College graduate,No,Yes,,,,Not much,,,,,,About the same,,Hillary Clinton,Hillary Clinton,Did not go far enough,,,Help the country,Offered a chance to apply for legal status,,About the same,Better than life today,,,,,,,No group is favored,,,,Takes away U.S. jobs,A lot,,White men,Married men,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent Men,White Independent,White,White,White,White,White suburban men,,,Not much or not at all,,,,,,Moderate/Liberal Republicans,Moderate Independents,,Democratic Senate - voted Clinton,,,,A lot or some,State questionnaire,Suburbs,Suburbs,5.0,Midwest,Version 3,Southeast
200319.0,Wisconsin,22.0,Call 2,Complete,Election day exit poll,0.619132101535797,Hillary Clinton,Russ Feingold,Female,White,50-59,Democrat,Liberal,,College graduate,No,Yes,,,,Some,,,,,,Better today,,Hillary Clinton,Hillary Clinton,Went too far,,,Help the country,Offered a chance to apply for legal status,,Better today,Worse than life today,,,,,,,Whites are favored over minorities,,,,Creates more U.S. jobs,A lot,,White women,Married women,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,White,White suburban women,,,A lot or some,,,,,,Liberal Democrats,Liberal Democrats,,Democratic Senate - voted Clinton,,,,A lot or some,State questionnaire,Suburbs,Suburbs,2.0,Midwest,Version 3,Southwest
220915.0,Wisconsin,12.0,Call 3,Complete,Election day exit poll,0.806030869483948,Hillary Clinton,Russ Feingold,Male,White,50-59,Democrat,Moderate,,High school or less,No,Yes,,,,Not at all,,,,,,About the same,,Hillary Clinton,Hillary Clinton,Did not go far enough,,,Help the country,Offered a chance to apply for legal status,,Better today,Better than life today,,,,,,,Whites are favored over minorities,,,,Takes away U.S. jobs,A lot,,White men,Married men,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democratic Men,White Democrat,White,White,White,White,White suburban men,,,Not much or not at all,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Democratic Senate - voted Clinton,,,,A lot or some,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 3,Northwest
220911.0,Wisconsin,57.0,Call 3,Complete,Election day exit poll,0.805052816867828,Hillary Clinton,Russ Feingold,Female,White,60-64,Democrat,Moderate,,Postgraduate study,No,,Hillary Clinton,,,,I strongly favor my candidate,,,,,,"Satisfied, but not enthusiastic",,,,Yes,No,,,The economy,,,Not so good,,Continue Barack Obama's policies,Can bring needed change,,,,Yes,No,,,,No,White women,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,White,Other,,,,,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,Not so good or poor,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Democratic Senate - voted Clinton,Only Hillary Clinton,,,,State questionnaire,"Cities over 500,000","Cities over 50,000",4.0,Midwest,Version 2,Milwaukee County
202042.0,Wisconsin,106.0,Call 2,Complete,Election day exit poll,0.863266110420227,Hillary Clinton,Russ Feingold,Female,White,30-39,Independent,Moderate,"$50,000-$99,999",High school or less,No,,,,,,I like my candidate but with reservations,,,,,,"Dissatisfied, but not angry",,,,Yes,No,,,Terrorism,,,Not so good,,,Can bring needed change,,,,Yes,No,,,,,White women,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,No college degree,High school graduate or less,White no college degree,White women non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent Women,White Independent,White,White,White,White,Other,No,,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,Not so good or poor,,Moderate/Liberal Republicans,Moderate Independents,,Democratic Senate - voted Clinton,Only Hillary Clinton,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,Midwest,Version 2,Southeast
220889.0,Wisconsin,5.0,Call 3,Complete,Election day exit poll,0.863524317741394,Hillary Clinton,Russ Feingold,Female,White,60-64,Democrat,Conservative,"$50,000-$99,999",Some college/assoc. degree,No,,,A few times a year,No,,,Treats all people fairly,Favorable,Unfavorable,Unfavorable,,,,,,,,,,Terrorism,,,,Strongly approve,,Has the right experience,Yes,No,,,,Before that,,,,White women,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,White,Other,No,A few times a year or less,,Only Hillary Clinton,,,,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,Democratic Senate - voted Clinton,,Before that,Before that,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",8.0,Midwest,Version 1,Northeast
204048.0,Wisconsin,52.0,Call 2,Complete,Election day exit poll,0.773147940635681,Hillary Clinton,Russ Feingold,Male,White,60-64,Democrat,Moderate,,Some college/assoc. degree,No,,Hillary Clinton,,,,I strongly favor my candidate,,,,,,"Satisfied, but not enthusiastic",,,,Yes,Omit,,,The economy,,,Good,,Continue Barack Obama's policies,Has good judgment,,,,Yes,No,,,,Yes,White men,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democratic Men,White Democrat,White,White,White,White,Other,,,,,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,Excellent or good,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Democratic Senate - voted Clinton,Only Hillary Clinton,,,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,7.0,Midwest,Version 2,Northwest
