ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSPA16,SENPA16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,MARRIED,@2WAYPRES16,CLINTONEMAIL,DESCRIBP12,FAVHCLIN16,FAVTRUMP,GOTV16,GOVTANGR16,CLINHONEST,TRUMPHONEST,IMMDEPORT,ISSUE16,LIFE,NEC,OBAMA4,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,TEMPCLINTON,TEMPTRUMP,TIME16,TRUMPWOMEN,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYSEX,PARTYWHITE,QRACE3,QRACEAI,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,CLINTONEMAILB,FAVPRES16,GOTVCLINTON,GOTVTRUMP,GOVTANGR16B,HONEST16,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,SPLITTICKET,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRADE16,TRUMPWOMENB,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE
200760.0,Pennsylvania,119.0,Call 2,Complete,Election day exit poll,0.846292734146118,Donald Trump,Pat Toomey,Male,White,50-59,Republican,Conservative,,High school or less,No,Yes,,Some,I strongly favor my candidate,,,,"Dissatisfied, but not angry",No,Yes,Deported to the country they came from,,,Not so good,,,,,Minorities are favored over whites,No,Yes,,Some,White men,Married men,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,White,Other,,A lot or some,,,,"Dissatisfied, but not angry or Angry",Only Donald Trump,Not so good or poor,,Independent/Something else,Conservative Republicans,,Republican Senate - Voted Trump,Only Donald Trump,,,Takes away U.S. jobs,A lot or some,State questionnaire,Rural,Small Cities/Rural,11.0,East,Version 2,Central
183901.0,Pennsylvania,108.0,Call 1,Complete,Election day exit poll,2.5043625831604,Donald Trump,Pat Toomey,Male,White,30-39,Republican,Conservative,"$250,000 or more",Postgraduate study,No,,Donald Trump,,,Unfavorable,Favorable,"No, not contacted by either",,,,,The economy,Worse than life today,,Strongly disapprove,Can bring needed change,No,Yes,,,,Before that,,White men,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White men college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,White,White suburban men,No,,Only Donald Trump,Not contacted by Hillary Clinton,Not contacted by Donald Trump,,,,Disapprove,Independent/Something else,Conservative Republicans,Only Donald Trump,Republican Senate - Voted Trump,,Before that,Before that,,,State questionnaire,Suburbs,Suburbs,13.0,East,Version 1,Philly Suburbs
217563.0,Pennsylvania,97.0,Call 3,Complete,Election day exit poll,0.728123962879181,Donald Trump,Pat Toomey,Male,White,25-29,Republican,Conservative,"$50,000-$99,999",Some college/assoc. degree,No,,Donald Trump,,,Unfavorable,Favorable,"Yes, for both candidates",,,,,Immigration,Better than life today,,Somewhat disapprove,Can bring needed change,Yes,Yes,,,,In October,,White men,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White men non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,White,White suburban men,No,,Only Donald Trump,Contacted by Hillary Clinton,Contacted by Donald Trump,,,,Disapprove,Independent/Something else,Conservative Republicans,Both,Republican Senate - Voted Trump,,In the last month,Before that,,,State questionnaire,Suburbs,Suburbs,11.0,East,Version 1,Northeast
197645.0,Pennsylvania,65.0,Call 2,Complete,Election day exit poll,0.971961200237274,Donald Trump,Pat Toomey,Female,White,50-59,Republican,Conservative,"$100,000-$199,999",College graduate,No,,Donald Trump,,,Unfavorable,Unfavorable,"No, not contacted by either",,,,,Terrorism,Worse than life today,,Strongly disapprove,Can bring needed change,No,Yes,,,,Before that,,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,Republican Women,White Republican,White,White,White,White,Other,No,,Neither,Not contacted by Hillary Clinton,Not contacted by Donald Trump,,,,Disapprove,Independent/Something else,Conservative Republicans,Only Donald Trump,Republican Senate - Voted Trump,,Before that,Before that,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,East,Version 1,West
199378.0,Pennsylvania,103.0,Call 2,Complete,Election day exit poll,0.905166625976563,Donald Trump,Pat Toomey,Female,White,65 or over,Republican,Liberal,"$30,000-$49,999",High school or less,No,,Donald Trump,,,Omit,Favorable,"Yes, for Donald Trump",,,,,Terrorism,About the same,,Strongly disapprove,Can bring needed change,No,Yes,,,,Before that,,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,Republican Women,White Republican,White,White,White,White,White suburban women,Yes,,Only Donald Trump,Not contacted by Hillary Clinton,Contacted by Donald Trump,,,,Disapprove,Conservative Republicans,Mod./Liberal Republicans,Only Donald Trump,Republican Senate - Voted Trump,,Before that,Before that,,,State questionnaire,Suburbs,Suburbs,3.0,East,Version 1,West
217537.0,Pennsylvania,83.0,Call 3,Complete,Election day exit poll,1.11087596416473,Donald Trump,Pat Toomey,Female,White,65 or over,Republican,Conservative,,Some college/assoc. degree,No,Yes,,A lot,I like my candidate but with reservations,,,,"Dissatisfied, but not angry",No,Omit,Offered a chance to apply for legal status,,,Not so good,,,,,Whites are favored over minorities,Yes,No,,A lot,White women,Married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican Women,White Republican,White,White,White,White,White suburban women,,A lot or some,,,,"Dissatisfied, but not angry or Angry",Omit,Not so good or poor,,Independent/Something else,Conservative Republicans,,Republican Senate - Voted Trump,Only Hillary Clinton,,,Takes away U.S. jobs,A lot or some,State questionnaire,Suburbs,Suburbs,16.0,East,Version 2,Central
183848.0,Pennsylvania,97.0,Call 1,Complete,Election day exit poll,0.677533268928528,Donald Trump,Pat Toomey,Female,White,18-24,Republican,Conservative,,Some college/assoc. degree,No,No,,A lot,I strongly favor my candidate,,,,Enthusiastic,No,Yes,Deported to the country they came from,,,Good,,,,,No group is favored,No,Yes,,Not at all,White women,Non married women,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican Women,White Republican,White,White,White,White,White suburban women,,A lot or some,,,,"Enthusiastic or satisfied, but not enthusiastic",Only Donald Trump,Excellent or good,,Independent/Something else,Conservative Republicans,,Republican Senate - Voted Trump,Only Donald Trump,,,Takes away U.S. jobs,Not much or not at all,State questionnaire,Suburbs,Suburbs,11.0,East,Version 2,Northeast
200684.0,Pennsylvania,119.0,Call 2,Complete,Election day exit poll,0.948224067687988,Donald Trump,Pat Toomey,Male,White,65 or over,Republican,Conservative,,High school or less,,,Donald Trump,,,Unfavorable,Favorable,"No, not contacted by either",,,,,Immigration,Better than life today,,Somewhat disapprove,Can bring needed change,No,Yes,,,,In the last week,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,White,Other,,,Only Donald Trump,Not contacted by Hillary Clinton,Not contacted by Donald Trump,,,,Disapprove,Independent/Something else,Conservative Republicans,Only Donald Trump,Republican Senate - Voted Trump,,In the last month,In the last week,,,State questionnaire,Rural,Small Cities/Rural,11.0,East,Version 1,Central
217514.0,Pennsylvania,89.0,Call 3,Complete,Election day exit poll,0.800130307674408,Donald Trump,Pat Toomey,Male,White,18-24,Republican,Moderate,,High school or less,No,No,,Some,I like my candidate but with reservations,,,,"Satisfied, but not enthusiastic",No,No,Deported to the country they came from,,,Good,,,,,No group is favored,No,Yes,,Not at all,White men,Non married men,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,White,Other,,A lot or some,,,,"Enthusiastic or satisfied, but not enthusiastic",Neither,Excellent or good,,Conservative Republicans,Mod./Liberal Republicans,,Republican Senate - Voted Trump,Only Donald Trump,,,Takes away U.S. jobs,Not much or not at all,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",15.0,East,Version 2,Northeast
200655.0,Pennsylvania,97.0,Call 2,Complete,Election day exit poll,0.728123962879181,Donald Trump,Pat Toomey,Male,White,25-29,Something else,Conservative,,College graduate,No,Yes,,A lot,I strongly favor my candidate,,,,Angry,No,Yes,Deported to the country they came from,,,Not so good,,,,,No group is favored,No,Yes,,Some,White men,Married men,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent Men,White Independent,White,White,White,White,White suburban men,,A lot or some,,,,"Dissatisfied, but not angry or Angry",Only Donald Trump,Not so good or poor,,Moderate/Liberal Republicans,Conservative Independents,,Republican Senate - Voted Trump,Only Donald Trump,,,Creates more U.S. jobs,A lot or some,State questionnaire,Suburbs,Suburbs,11.0,East,Version 2,Northeast
183815.0,Pennsylvania,7.0,Call 1,Not complete,Election day exit poll,1.00256049633026,Donald Trump,Pat Toomey,Male,Black,18-24,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,Black men,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Black 18-29,Black 18-29,Black 18-29,,,,,,,,,,,,,,,Black,Black,Non-white,Black,Other,,,,,,,,,,,,,Republican Senate - Voted Trump,,,,,,National questionnaire,Suburbs,Suburbs,12.0,East,Version 4,West
217481.0,Pennsylvania,19.0,Call 3,Complete,Election day exit poll,0.997766196727753,Donald Trump,Pat Toomey,Male,White,40-44,Republican,Conservative,"$50,000-$99,999",College graduate,No,,Donald Trump,,,Unfavorable,Favorable,"No, not contacted by either",,,,,The economy,Better than life today,,Strongly disapprove,Can bring needed change,No,Yes,,,,In October,,White men,,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White men college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,White,White suburban men,No,,Only Donald Trump,Not contacted by Hillary Clinton,Not contacted by Donald Trump,,,,Disapprove,Independent/Something else,Conservative Republicans,Only Donald Trump,Republican Senate - Voted Trump,,In the last month,Before that,,,State questionnaire,Suburbs,Suburbs,12.0,East,Version 1,West
217452.0,Pennsylvania,97.0,Call 3,Complete,Election day exit poll,0.677533268928528,Donald Trump,Pat Toomey,Female,White,25-29,Republican,Moderate,"$50,000-$99,999",College graduate,No,,Donald Trump,,,Omit,Favorable,"Yes, for Donald Trump",,,,,The economy,Better than life today,,Somewhat disapprove,Has the right experience,Yes,Yes,,,,Before that,,White women,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,Republican Women,White Republican,White,White,White,White,White suburban women,No,,Only Donald Trump,Not contacted by Hillary Clinton,Contacted by Donald Trump,,,,Disapprove,Conservative Republicans,Mod./Liberal Republicans,Both,Republican Senate - Voted Trump,,Before that,Before that,,,State questionnaire,Suburbs,Suburbs,11.0,East,Version 1,Northeast
183769.0,Pennsylvania,71.0,Call 1,Complete,Election day exit poll,1.03394436836243,Donald Trump,Pat Toomey,Male,White,25-29,Republican,Conservative,,Postgraduate study,No,Yes,,Not much,I strongly favor my candidate,,,,"Dissatisfied, but not angry",No,No,Deported to the country they came from,,,Not so good,,,,,No group is favored,No,Yes,,Not much,White men,Married men,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,White,Other,,Not much or not at all,,,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,Independent/Something else,Conservative Republicans,,Republican Senate - Voted Trump,Only Donald Trump,,,Takes away U.S. jobs,Not much or not at all,State questionnaire,Rural,Small Cities/Rural,5.0,East,Version 2,Central
200603.0,Pennsylvania,119.0,Call 2,Complete,Election day exit poll,0.7874915599823,Donald Trump,Pat Toomey,Female,Hispanic/Latino,30-39,Republican,Conservative,"$100,000-$199,999",College graduate,Yes,,Donald Trump,,,Unfavorable,Favorable,"Yes, for both candidates",,,,,Terrorism,Worse than life today,,Strongly disapprove,Can bring needed change,No,Yes,,,,Before that,,Latino women,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,Latino 30-44,Latino 30-44,College graduate,More than High school graduate,Non white college degree,Non-whites,100k or more,50k or more,100 thousand or more,"Over $50,000 and non white",Republican,Non-black non-Democrat,All Republicans,Republican women,Republican Women,All others,Other,Hispanic/Latino,Non-white,Hispanic/Latino,Other,No,,Only Donald Trump,Contacted by Hillary Clinton,Contacted by Donald Trump,,,,Disapprove,Independent/Something else,Conservative Republicans,Only Donald Trump,Republican Senate - Voted Trump,,Before that,Before that,,,State questionnaire,Rural,Small Cities/Rural,11.0,East,Version 1,Central
217425.0,Pennsylvania,15.0,Call 3,Complete,Election day exit poll,0.955004751682281,Donald Trump,Pat Toomey,Male,White,50-59,Republican,Conservative,"$100,000-$199,999",College graduate,,,Donald Trump,,,Unfavorable,Unfavorable,"No, not contacted by either",,,,,The economy,Better than life today,,Somewhat approve,Can bring needed change,Yes,Yes,,,,In the last few days,,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,White,Other,No,,Neither,Not contacted by Hillary Clinton,Not contacted by Donald Trump,,,,Approve,Independent/Something else,Conservative Republicans,Both,Republican Senate - Voted Trump,,In the last month,In the last week,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",18.0,East,Version 1,West
183744.0,Pennsylvania,64.0,Call 1,Complete,Election day exit poll,1.39255261421204,Donald Trump,Pat Toomey,Female,White,60-64,Republican,Conservative,,College graduate,No,,,,,,,,,,,,,,,,,,,,,,,,White women,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican Women,White Republican,White,White,White,White,White suburban women,,,,,,,,,,Independent/Something else,Conservative Republicans,,Republican Senate - Voted Trump,,,,,,National questionnaire,Suburbs,Suburbs,7.0,East,Version 4,Philly Suburbs
183201.0,Pennsylvania,64.0,Call 1,Complete,Election day exit poll,1.2428572177887,Donald Trump,Pat Toomey,Female,White,50-59,Republican,Conservative,,College graduate,No,,Donald Trump,,,,,,,,,Offered a chance to apply for legal status,,Worse than life today,,,,No,Yes,,,,,,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican Women,White Republican,White,White,White,White,White suburban women,,,,,,,,,,Independent/Something else,Conservative Republicans,Only Donald Trump,Republican Senate - Voted Trump,,,,Takes away U.S. jobs,,National questionnaire,Suburbs,Suburbs,7.0,East,Version 3,Philly Suburbs
217410.0,Pennsylvania,103.0,Call 3,Complete,Election day exit poll,0.807863831520081,Donald Trump,Pat Toomey,Female,White,40-44,Republican,Moderate,"$50,000-$99,999",Some college/assoc. degree,No,,Donald Trump,,,Unfavorable,Favorable,"No, not contacted by either",,,,,The economy,Worse than life today,,Strongly disapprove,Can bring needed change,No,Yes,,,,In October,,White women,,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,Republican Women,White Republican,White,White,White,White,White suburban women,No,,Only Donald Trump,Not contacted by Hillary Clinton,Not contacted by Donald Trump,,,,Disapprove,Conservative Republicans,Mod./Liberal Republicans,Only Donald Trump,Republican Senate - Voted Trump,,In the last month,Before that,,,State questionnaire,Suburbs,Suburbs,3.0,East,Version 1,West
217387.0,Pennsylvania,97.0,Call 3,Complete,Election day exit poll,0.731829643249512,Donald Trump,Pat Toomey,Female,White,65 or over,Republican,Moderate,"$30,000-$49,999",Some college/assoc. degree,No,,Donald Trump,,,Unfavorable,Favorable,"Yes, for both candidates",,,,,Immigration,Worse than life today,,Strongly disapprove,Can bring needed change,No,Yes,,,,Before that,,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,Republican Women,White Republican,White,White,White,White,White suburban women,Yes,,Only Donald Trump,Contacted by Hillary Clinton,Contacted by Donald Trump,,,,Disapprove,Conservative Republicans,Mod./Liberal Republicans,Only Donald Trump,Republican Senate - Voted Trump,,Before that,Before that,,,State questionnaire,Suburbs,Suburbs,11.0,East,Version 1,Northeast
217379.0,Pennsylvania,19.0,Call 3,Complete,Election day exit poll,1.03499865531921,Donald Trump,Pat Toomey,Male,White,18-24,Republican,Conservative,,College graduate,No,No,,Some,I like my candidate but with reservations,,,,"Satisfied, but not enthusiastic",Yes,No,Offered a chance to apply for legal status,,,Good,,,,,Minorities are favored over whites,No,No,,Not much,White men,Non married men,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,White,White suburban men,,A lot or some,,,,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,Excellent or good,,Independent/Something else,Conservative Republicans,,Republican Senate - Voted Trump,Neither,,,Creates more U.S. jobs,Not much or not at all,State questionnaire,Suburbs,Suburbs,12.0,East,Version 2,West
216460.0,Pennsylvania,35.0,Call 3,Complete,Election day exit poll,1.60279202461243,Donald Trump,Pat Toomey,Male,White,50-59,Republican,Moderate,,Some college/assoc. degree,No,Yes,,A lot,I strongly favor my candidate,,,,Angry,No,Yes,Offered a chance to apply for legal status,,,Not so good,,,,,Whites are favored over minorities,No,Yes,,A lot,White men,Married men,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,White,White suburban men,,A lot or some,,,,"Dissatisfied, but not angry or Angry",Only Donald Trump,Not so good or poor,,Conservative Republicans,Mod./Liberal Republicans,,Republican Senate - Voted Trump,Only Donald Trump,,,Takes away U.S. jobs,A lot or some,State questionnaire,Suburbs,Suburbs,8.0,East,Version 2,Philly Suburbs
200534.0,Pennsylvania,97.0,Call 2,Complete,Election day exit poll,0.677533268928528,Donald Trump,Pat Toomey,Female,White,25-29,Republican,Conservative,"$30,000-$49,999",College graduate,No,,Donald Trump,,,Unfavorable,Favorable,"No, not contacted by either",,,,,Immigration,Worse than life today,,Strongly disapprove,Can bring needed change,No,Yes,,,,Before that,,White women,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,Republican Women,White Republican,White,White,White,White,White suburban women,No,,Only Donald Trump,Not contacted by Hillary Clinton,Not contacted by Donald Trump,,,,Disapprove,Independent/Something else,Conservative Republicans,Only Donald Trump,Republican Senate - Voted Trump,,Before that,Before that,,,State questionnaire,Suburbs,Suburbs,11.0,East,Version 1,Northeast
183695.0,Pennsylvania,7.0,Call 1,Not complete,Election day exit poll,1.08553755283356,Donald Trump,Pat Toomey,Male,White,65 or over,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,,,,,,,,,,,,,,,White,White,White,White,White suburban men,,,,,,,,,,,,,Republican Senate - Voted Trump,,,,,,National questionnaire,Suburbs,Suburbs,12.0,East,Version 5,West
216625.0,Pennsylvania,84.0,Call 3,Complete,Election day exit poll,0.746814072132111,Donald Trump,Pat Toomey,Female,White,40-44,Republican,Conservative,"$250,000 or more",Postgraduate study,No,Yes,,,,Unfavorable,Unfavorable,,,,,,The economy,,,Strongly disapprove,Can bring needed change,,,,,,In October,,White women,Married women,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,Republican Women,White Republican,White,White,White,White,White suburban women,No,,Neither,,,,,,Disapprove,Independent/Something else,Conservative Republicans,,Republican Senate - Voted Trump,,In the last month,Before that,,,National questionnaire,Suburbs,Suburbs,16.0,East,Version 1,Central
217363.0,Pennsylvania,37.0,Call 3,Complete,Election day exit poll,0.900583207607269,Donald Trump,Pat Toomey,Male,White,18-24,Republican,Conservative,,Some college/assoc. degree,No,,Donald Trump,,,,,,,,,Offered a chance to apply for legal status,,Better than life today,,,,No,Yes,,,,,,White men,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,White,White suburban men,,,,,,,,,,Independent/Something else,Conservative Republicans,Only Donald Trump,Republican Senate - Voted Trump,,,,Creates more U.S. jobs,,National questionnaire,Suburbs,Suburbs,3.0,East,Version 3,West
183686.0,Pennsylvania,71.0,Call 1,Complete,Election day exit poll,1.03394436836243,Donald Trump,Pat Toomey,Male,White,25-29,Republican,Conservative,"$30,000-$49,999",College graduate,No,,Donald Trump,,,Unfavorable,Favorable,"Yes, for both candidates",,,,,The economy,Worse than life today,,Strongly disapprove,Can bring needed change,No,Yes,,,,Before that,,White men,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,White men college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,White,Other,No,,Only Donald Trump,Contacted by Hillary Clinton,Contacted by Donald Trump,,,,Disapprove,Independent/Something else,Conservative Republicans,Only Donald Trump,Republican Senate - Voted Trump,,Before that,Before that,,,State questionnaire,Rural,Small Cities/Rural,5.0,East,Version 1,Central
217361.0,Pennsylvania,37.0,Call 3,Complete,Election day exit poll,0.900583207607269,Donald Trump,Pat Toomey,Male,White,18-24,Republican,Conservative,,Some college/assoc. degree,No,,Donald Trump,,,,,,,,,Offered a chance to apply for legal status,,Better than life today,,,,No,Yes,,,,,,White men,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,White,White suburban men,,,,,,,,,,Independent/Something else,Conservative Republicans,Only Donald Trump,Republican Senate - Voted Trump,,,,Creates more U.S. jobs,,National questionnaire,Suburbs,Suburbs,3.0,East,Version 3,West
200518.0,Pennsylvania,119.0,Call 2,Complete,Election day exit poll,0.948224067687988,Donald Trump,Pat Toomey,Male,White,60-64,Republican,Moderate,"$30,000-$49,999",High school or less,No,,Donald Trump,,,Unfavorable,Favorable,"Yes, for both candidates",,,,,The economy,About the same,,Somewhat approve,Cares about people like me,No,Yes,,,,In the last few days,,White men,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,White,Other,Yes,,Only Donald Trump,Contacted by Hillary Clinton,Contacted by Donald Trump,,,,Approve,Conservative Republicans,Mod./Liberal Republicans,Only Donald Trump,Republican Senate - Voted Trump,,In the last month,In the last week,,,State questionnaire,Rural,Small Cities/Rural,11.0,East,Version 1,Central
183666.0,Pennsylvania,64.0,Call 1,Complete,Election day exit poll,1.33565998077393,Donald Trump,Pat Toomey,Male,White,40-44,Republican,Conservative,,Postgraduate study,No,,Donald Trump,,,,,,,,,Deported to the country they came from,,Worse than life today,,,,No,Yes,,,,,,White men,,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,White,White suburban men,,,,,,,,,,Independent/Something else,Conservative Republicans,Only Donald Trump,Republican Senate - Voted Trump,,,,Has no effect on U.S. jobs,,National questionnaire,Suburbs,Suburbs,7.0,East,Version 3,Philly Suburbs
