State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Governor Vote,Clinton Approval,Congress Approval,Phys-Ass-Suicide,Reason for Cong Vote,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),Feiger opinion,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places),Clinton as person,Union member in HH
23.0,37.0,19.0,Second call,18-24,White,Male,Engler,Disapprove,Disapprove,No,Neither,Yes,Yes,Yes,Better,Perot,Something else,Some college,15 to 30K,Moderate,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,18 to 29,18 to 24,Independent/Other,18 to 24,0.40700000000000003,Unfavorable,No
23.0,37.0,20.0,Second call,50-59,White,Female,Feiger,Approve,Disapprove,No,,,,,,,,,,,18 to 64,Favorable,State,Not complete,Unvrsty/Upper,45 to 59,50 to 59,,50 to 64,0.295,Favorable,Yes
23.0,37.0,21.0,Second call,50-59,White,Female,Engler,Approve,Approve,No,Neither,No,No,Yes,Same,Clinton,Democrat,College grad,100K or more,Moderate,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,45 to 59,50 to 59,Democrat,50 to 64,0.34299999999999997,Favorable,No
23.0,37.0,22.0,Third call,25-29,White,Female,Engler,Approve,Approve,No,Neither,No,No,Yes,Better,Clinton,Republican,Some college,50 to 75K,Moderate,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,18 to 29,25 to 29,Republican,25 to 29,0.367,Favorable,Yes
23.0,37.0,23.0,Third call,25-29,White,Male,Engler,Approve,Approve,No,Support Clinton,No,No,No,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,18 to 29,25 to 29,Democrat,25 to 29,0.40700000000000003,Favorable,
23.0,37.0,24.0,Third call,65 and over,White,Female,Engler,Disapprove,Approve,Yes,Neither,Yes,Yes,Yes,Same,Dole,Republican,Some college,30 to 50K,Moderate,65 and over,,State,Complete,Unvrsty/Upper,60 and over,60 and over,Republican,65 and over,0.414,Unfavorable,No
23.0,37.0,25.0,Third call,45-49,White,Male,Feiger,Approve,Disapprove,Yes,Neither,No,No,No,Better,Clinton,Independent,Some college,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,Unvrsty/Upper,45 to 59,40 to 49,Independent/Other,40 to 49,0.32299999999999995,Favorable,No
23.0,37.0,26.0,Third call,18-24,White,Female,Engler,Disapprove,Approve,No,Neither,No,No,No,Better,Dole,Republican,Some college,50 to 75K,Conservative,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,18 to 29,18 to 24,Republican,18 to 24,0.367,Unfavorable,No
23.0,37.0,27.0,Third call,50-59,White,Male,Feiger,Approve,Approve,No,Neither,No,Yes,No,Better,Clinton,Independent,HS grad,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,Unvrsty/Upper,45 to 59,50 to 59,Independent/Other,50 to 64,0.32999999999999996,Unfavorable,No
23.0,37.0,28.0,Third call,40-44,White,Male,Feiger,Disapprove,Disapprove,Yes,Neither,Yes,Yes,Yes,Better,Perot,,,Under 15K,Liberal,18 to 64,Favorable,State,Complete,Unvrsty/Upper,30 to 44,40 to 49,,40 to 49,0.32299999999999995,Unfavorable,No
23.0,37.0,29.0,Third call,40-44,White,Female,Engler,Approve,Approve,No,Neither,No,No,No,Same,Clinton,Independent,HS grad,Under 15K,Moderate,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,30 to 44,40 to 49,Independent/Other,40 to 49,0.34299999999999997,Favorable,Yes
23.0,37.0,30.0,Third call,40-44,White,Female,Engler,Approve,Approve,Yes,Neither,No,No,Yes,Better,Clinton,Republican,Some college,,Moderate,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,30 to 44,40 to 49,Republican,40 to 49,0.33499999999999996,Favorable,No
23.0,37.0,31.0,Third call,50-59,White,Female,Feiger,Approve,Approve,Yes,Neither,No,No,,Same,Clinton,Democrat,Some college,75 to 100K,Moderate,18 to 64,Favorable,State,Complete,Unvrsty/Upper,45 to 59,50 to 59,Democrat,50 to 64,0.28800000000000003,,No
23.0,37.0,32.0,Third call,45-49,White,Male,Feiger,Disapprove,Disapprove,Yes,Neither,Yes,Yes,Yes,Worse,Dole,Independent,College grad,75 to 100K,Liberal,18 to 64,Favorable,State,Complete,Unvrsty/Upper,45 to 59,40 to 49,Independent/Other,40 to 49,0.32299999999999995,Unfavorable,No
23.0,42.0,1.0,First call,50-59,White,Male,Feiger,Approve,Disapprove,Yes,Neither,No,No,No,Same,Clinton,Democrat,Postgrad,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,Southwest,45 to 59,50 to 59,Democrat,50 to 64,1.1219999999999999,Favorable,No
23.0,42.0,2.0,First call,50-59,White,Male,Engler,Disapprove,Approve,No,Neither,No,Yes,,Same,Dole,Republican,Postgrad,75 to 100K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,50 to 59,Republican,50 to 64,1.6400000000000001,Unfavorable,Yes
23.0,42.0,3.0,First call,50-59,White,Male,Engler,Disapprove,Disapprove,No,Neither,Yes,Yes,Yes,Better,Other,Republican,College grad,50 to 75K,Conservative,18 to 64,Favorable,State,Complete,Southwest,45 to 59,50 to 59,Republican,50 to 64,1.6400000000000001,Unfavorable,No
23.0,42.0,4.0,First call,45-49,White,Male,Engler,Disapprove,Approve,Yes,Neither,Yes,Yes,No,Better,Dole,Republican,Postgrad,100K or more,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,40 to 49,Republican,40 to 49,1.6059999999999999,Unfavorable,No
23.0,42.0,5.0,First call,30-39,White,Female,Engler,Disapprove,Approve,No,Oppose Clinton,Yes,Yes,Yes,Better,Dole,Republican,College grad,30 to 50K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,30 to 39,Republican,30 to 39,1.611,Unfavorable,Yes
23.0,42.0,6.0,First call,30-39,White,Female,Engler,Disapprove,,No,Oppose Clinton,Yes,Yes,Yes,Better,Dole,Republican,HS grad,Under 15K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,30 to 39,Republican,30 to 39,1.611,Unfavorable,Yes
23.0,42.0,7.0,First call,65 and over,White,Male,Engler,Approve,Disapprove,No,Neither,No,No,No,Same,Clinton,Independent,HS grad,75 to 100K,Conservative,65 and over,Favorable,State,Complete,Southwest,60 and over,60 and over,Independent/Other,65 and over,2.069,Favorable,No
23.0,42.0,8.0,First call,60-64,White,Male,Engler,Disapprove,,Yes,Oppose Clinton,,Yes,Yes,Better,Dole,Republican,College grad,75 to 100K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,60 and over,60 and over,Republican,50 to 64,2.022,Unfavorable,No
23.0,42.0,9.0,Second call,18-24,White,Male,Feiger,Approve,Approve,Yes,Neither,No,No,No,Same,Did not vote,Independent,No HS,50 to 75K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,18 to 29,18 to 24,Independent/Other,18 to 24,2.0,Unfavorable,Yes
23.0,42.0,10.0,Second call,45-49,White,Female,Engler,Approve,Disapprove,No,Support Clinton,No,No,No,Better,Clinton,Independent,College grad,75 to 100K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,40 to 49,Independent/Other,40 to 49,1.611,Favorable,No
23.0,42.0,11.0,Second call,45-49,White,Male,Engler,Approve,Approve,No,Neither,Yes,Yes,Yes,Better,Clinton,Democrat,College grad,50 to 75K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,40 to 49,Democrat,40 to 49,1.6400000000000001,Unfavorable,No
23.0,42.0,12.0,Second call,45-49,White,Female,Engler,,Approve,Yes,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,College grad,75 to 100K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,40 to 49,Republican,40 to 49,1.575,Unfavorable,No
23.0,42.0,13.0,Third call,40-44,White,Male,Engler,Approve,Approve,No,Neither,Yes,Yes,Yes,Same,Dole,Independent,College grad,75 to 100K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,40 to 49,Independent/Other,40 to 49,1.6400000000000001,Unfavorable,No
23.0,42.0,14.0,Third call,40-44,White,Male,Engler,Disapprove,Approve,No,Oppose Clinton,Yes,Yes,Yes,Better,Dole,Republican,Some college,100K or more,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,40 to 49,Republican,40 to 49,1.6400000000000001,Unfavorable,No
23.0,42.0,15.0,Third call,30-39,White,Male,Feiger,Approve,Disapprove,No,Neither,No,No,No,Same,Clinton,Democrat,College grad,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,Southwest,30 to 44,30 to 39,Democrat,30 to 39,1.147,Favorable,Yes
23.0,42.0,16.0,Third call,30-39,White,Female,Engler,Disapprove,Disapprove,No,Neither,No,Yes,No,Same,Perot,Independent,Some college,30 to 50K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,30 to 39,Independent/Other,30 to 39,1.611,Unfavorable,Yes
23.0,42.0,17.0,Third call,40-44,White,Female,Engler,Disapprove,Approve,No,Oppose Clinton,Yes,Yes,No,Better,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,40 to 49,Republican,40 to 49,1.611,Unfavorable,No
23.0,42.0,18.0,Third call,30-39,White,Male,Engler,Disapprove,Disapprove,Yes,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,30 to 39,Republican,30 to 39,1.6059999999999999,Unfavorable,No
23.0,42.0,19.0,Third call,50-59,White,Male,Feiger,Approve,Disapprove,Yes,Support Clinton,No,No,No,Worse,Clinton,Independent,College grad,75 to 100K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,50 to 59,Independent/Other,50 to 64,1.1219999999999999,Favorable,Yes
23.0,42.0,20.0,Third call,50-59,White,Male,Engler,Disapprove,Approve,No,Neither,Yes,Yes,Yes,Better,Dole,Republican,Postgrad,75 to 100K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,50 to 59,Republican,50 to 64,1.6400000000000001,Unfavorable,Yes
23.0,42.0,21.0,Third call,50-59,Black,Male,Engler,Approve,Approve,No,Neither,No,No,Yes,Better,Dole,Republican,College grad,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,Southwest,45 to 59,50 to 59,Republican,50 to 64,2.398,Unfavorable,No
23.0,42.0,22.0,Third call,50-59,White,Female,Engler,Approve,Disapprove,No,Support Clinton,No,No,Yes,Same,Clinton,Independent,Some college,75 to 100K,Moderate,18 to 64,,State,Complete,Southwest,45 to 59,50 to 59,Independent/Other,50 to 64,1.611,Favorable,No
23.0,42.0,23.0,Third call,50-59,White,Female,Engler,Disapprove,Disapprove,Yes,Neither,Yes,Yes,Yes,Same,Dole,Republican,Some college,75 to 100K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,50 to 59,Republican,50 to 64,1.575,Unfavorable,No
23.0,42.0,24.0,Third call,40-44,White,Female,,Approve,Approve,No,Neither,No,Yes,Yes,Same,Clinton,Republican,Some college,15 to 30K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,40 to 49,Republican,40 to 49,1.445,Unfavorable,No
23.0,42.0,25.0,Third call,40-44,White,Female,Engler,Disapprove,Approve,No,Neither,No,Yes,No,Same,Dole,Independent,Postgrad,50 to 75K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,40 to 49,Independent/Other,40 to 49,1.611,Unfavorable,Yes
23.0,42.0,26.0,Third call,40-44,White,Male,Engler,Disapprove,Disapprove,No,Oppose Clinton,Yes,Yes,No,Same,Dole,Republican,HS grad,15 to 30K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,40 to 49,Republican,40 to 49,1.6400000000000001,Unfavorable,No
23.0,42.0,27.0,Third call,30-39,White,Male,Feiger,Approve,Disapprove,No,Neither,No,No,No,Better,Clinton,Democrat,College grad,50 to 75K,Conservative,18 to 64,Favorable,State,Complete,Southwest,30 to 44,30 to 39,Democrat,30 to 39,1.147,Favorable,Yes
23.0,42.0,28.0,Third call,50-59,White,Male,Engler,Approve,Approve,Yes,Neither,,,,Better,Dole,Independent,Some college,100K or more,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,50 to 59,Independent/Other,50 to 64,1.6059999999999999,Unfavorable,No
23.0,42.0,29.0,Third call,45-49,White,Male,Engler,Disapprove,Disapprove,No,Neither,Yes,Yes,Yes,Better,Dole,Republican,Some college,50 to 75K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,40 to 49,Republican,40 to 49,1.6400000000000001,Unfavorable,Yes
23.0,43.0,1.0,First call,60-64,White,Male,Feiger,Disapprove,Disapprove,No,Oppose Clinton,Yes,Yes,No,Same,Dole,Republican,College grad,75 to 100K,Moderate,18 to 64,Favorable,State,Complete,Southwest,60 and over,60 and over,Republican,50 to 64,1.082,Unfavorable,No
23.0,43.0,2.0,First call,65 and over,White,Female,Feiger,Approve,Disapprove,No,,,,,,,,,,,65 and over,Favorable,State,Not complete,Southwest,60 and over,60 and over,,65 and over,1.064,Favorable,
23.0,43.0,3.0,First call,30-39,Other,Male,Engler,Disapprove,Approve,No,Oppose Clinton,Yes,Yes,No,Better,Dole,Independent,Postgrad,50 to 75K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,30 to 39,Independent/Other,30 to 39,1.229,Unfavorable,No
23.0,43.0,4.0,First call,50-59,White,Female,Feiger,Disapprove,Approve,Yes,Neither,Yes,Yes,No,Same,Perot,Independent,HS grad,75 to 100K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,50 to 59,Independent/Other,50 to 64,0.8260000000000001,Unfavorable,No
23.0,43.0,5.0,First call,50-59,White,Female,Engler,Disapprove,Approve,Yes,Neither,No,Yes,Yes,Same,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,50 to 59,Republican,50 to 64,1.181,Unfavorable,No
23.0,43.0,6.0,First call,65 and over,White,Female,Other,Approve,Approve,No,Neither,No,,Yes,Same,Perot,Something else,,15 to 30K,Moderate,65 and over,Unfavorable,State,Complete,Southwest,60 and over,60 and over,Independent/Other,65 and over,1.3639999999999999,Unfavorable,Yes
23.0,43.0,7.0,First call,40-44,White,Male,Engler,Disapprove,,Yes,Neither,No,Yes,Yes,Better,Clinton,Democrat,Postgrad,30 to 50K,Liberal,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,40 to 49,Democrat,40 to 49,1.202,Favorable,
23.0,43.0,8.0,First call,30-39,White,Male,Engler,Approve,Approve,No,Neither,Yes,No,Yes,Better,Clinton,Independent,College grad,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,Southwest,30 to 44,30 to 39,Independent/Other,30 to 39,1.229,Unfavorable,No
23.0,43.0,9.0,Second call,65 and over,White,Male,Engler,Disapprove,Disapprove,No,Neither,No,Yes,Yes,Same,Dole,Something else,HS grad,15 to 30K,Moderate,65 and over,Unfavorable,State,Complete,Southwest,60 and over,60 and over,Independent/Other,65 and over,1.547,Unfavorable,No
23.0,43.0,10.0,Second call,50-59,White,Female,Engler,Disapprove,Approve,No,Neither,Yes,Yes,,Same,Dole,Republican,HS grad,15 to 30K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,50 to 59,Republican,50 to 64,1.208,Unfavorable,No
23.0,43.0,11.0,Second call,65 and over,White,Female,Engler,Disapprove,,Yes,Neither,,,,Same,Dole,Republican,HS grad,Under 15K,Conservative,65 and over,Unfavorable,State,Complete,Southwest,60 and over,60 and over,Republican,65 and over,1.488,Favorable,No
23.0,43.0,12.0,Second call,65 and over,White,Female,Engler,Disapprove,Approve,No,Neither,No,Yes,Yes,Better,Dole,Independent,Postgrad,50 to 75K,Moderate,65 and over,Unfavorable,State,Complete,Southwest,60 and over,60 and over,Independent/Other,65 and over,1.521,Unfavorable,Yes
23.0,43.0,13.0,Second call,65 and over,White,Female,Feiger,Approve,Disapprove,Yes,Support Clinton,No,No,No,Better,Clinton,Democrat,Postgrad,Under 15K,Conservative,65 and over,Favorable,State,Complete,Southwest,60 and over,60 and over,Democrat,65 and over,1.039,Favorable,No
23.0,43.0,14.0,Second call,65 and over,White,Male,Feiger,Approve,Disapprove,No,Neither,No,No,No,Same,Clinton,Democrat,,,Moderate,65 and over,Favorable,State,Complete,Southwest,60 and over,60 and over,Democrat,65 and over,1.082,Favorable,
23.0,43.0,15.0,Second call,30-39,White,Male,Engler,Disapprove,Approve,No,Oppose Clinton,No,Yes,No,Worse,Dole,Republican,College grad,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,Southwest,30 to 44,30 to 39,Republican,30 to 39,1.229,Unfavorable,No
23.0,43.0,16.0,Third call,40-44,White,Female,Feiger,Approve,Disapprove,No,Neither,No,No,No,Better,Clinton,Democrat,Postgrad,75 to 100K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,40 to 49,Democrat,40 to 49,0.8440000000000001,Favorable,No
23.0,43.0,17.0,Third call,30-39,White,Female,Engler,Approve,Disapprove,No,Neither,No,No,No,Better,Clinton,Democrat,College grad,75 to 100K,Liberal,18 to 64,,State,Complete,Southwest,30 to 44,30 to 39,Democrat,30 to 39,1.208,Favorable,No
23.0,43.0,18.0,Third call,18-24,White,Male,Feiger,Approve,Disapprove,Yes,Support Clinton,No,No,No,Worse,Clinton,Democrat,Some college,30 to 50K,Liberal,18 to 64,Favorable,State,Complete,Southwest,18 to 29,18 to 24,Democrat,18 to 24,1.499,Favorable,No
23.0,43.0,19.0,Third call,40-44,White,Male,Engler,Disapprove,Approve,No,Neither,Yes,Yes,Yes,Same,Perot,Independent,College grad,75 to 100K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,40 to 49,Independent/Other,40 to 49,1.229,Unfavorable,No
23.0,43.0,20.0,Third call,40-44,White,Female,Engler,Approve,,No,Neither,,No,,Better,Clinton,Republican,HS grad,30 to 50K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,40 to 49,Republican,40 to 49,1.208,Unfavorable,No
23.0,43.0,21.0,Third call,50-59,White,Male,Engler,Disapprove,Disapprove,No,Neither,Yes,Yes,No,Same,Dole,Republican,Postgrad,75 to 100K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,50 to 59,Republican,50 to 64,1.229,Unfavorable,No
23.0,43.0,22.0,Third call,65 and over,White,Male,Feiger,Approve,Disapprove,No,Neither,No,No,No,Same,Clinton,Democrat,Some college,15 to 30K,Moderate,65 and over,Favorable,State,Complete,Southwest,60 and over,60 and over,Democrat,65 and over,1.082,Favorable,No
23.0,43.0,23.0,Third call,40-44,White,Female,Engler,Disapprove,Approve,No,Neither,Yes,Yes,Yes,Same,Perot,Republican,College grad,30 to 50K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,40 to 49,Republican,40 to 49,1.208,Unfavorable,No
23.0,43.0,24.0,Third call,45-49,White,Female,Engler,Disapprove,Disapprove,No,Neither,Yes,Yes,Yes,Same,Dole,Republican,College grad,30 to 50K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,40 to 49,Republican,40 to 49,1.208,Unfavorable,No
23.0,43.0,25.0,Third call,30-39,White,Male,Feiger,Approve,Disapprove,No,Support Clinton,No,No,No,Same,Clinton,Democrat,HS grad,,Liberal,18 to 64,Favorable,State,Complete,Southwest,30 to 44,30 to 39,Democrat,30 to 39,0.86,Favorable,No
23.0,43.0,26.0,Third call,65 and over,White,Female,Engler,Approve,Approve,No,Neither,No,No,No,Same,Clinton,Democrat,Some college,30 to 50K,Moderate,65 and over,Unfavorable,State,Complete,Southwest,60 and over,60 and over,Democrat,65 and over,1.521,Favorable,No
23.0,43.0,27.0,Third call,50-59,White,Male,Engler,Disapprove,Disapprove,No,Oppose Clinton,Yes,Yes,No,Worse,Dole,Republican,HS grad,50 to 75K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,50 to 59,Republican,50 to 64,1.229,Unfavorable,Yes
23.0,43.0,28.0,Third call,50-59,White,Female,Engler,Approve,Disapprove,Yes,Neither,No,No,No,Better,Clinton,Independent,Some college,30 to 50K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,50 to 59,Independent/Other,50 to 64,1.181,Unfavorable,No
23.0,43.0,29.0,Third call,40-44,White,Female,Feiger,Approve,Approve,No,Neither,No,Yes,Yes,Better,Clinton,Democrat,College grad,50 to 75K,Liberal,18 to 64,Favorable,State,Complete,Southwest,30 to 44,40 to 49,Democrat,40 to 49,0.8440000000000001,Unfavorable,Yes
23.0,44.0,1.0,First call,65 and over,White,Male,,Approve,Disapprove,No,Neither,No,No,Yes,Same,Clinton,Something else,,,Moderate,65 and over,,State,Complete,Southwest,60 and over,60 and over,Independent/Other,65 and over,2.178,Favorable,No
23.0,44.0,2.0,Second call,65 and over,White,Female,,,,No,,,,,,,,,,,65 and over,Unfavorable,State,Not complete,Southwest,60 and over,60 and over,,65 and over,2.1390000000000002,,No
23.0,44.0,3.0,Second call,25-29,White,Female,Feiger,Approve,Approve,,,No,No,No,Better,Clinton,Republican,College grad,30 to 50K,Liberal,18 to 64,Favorable,State,Complete,Southwest,18 to 29,25 to 29,Republican,25 to 29,2.342,Favorable,No
23.0,44.0,4.0,Second call,60-64,White,Female,Feiger,Approve,Disapprove,No,Neither,No,No,No,Same,Clinton,Democrat,HS grad,30 to 50K,Liberal,18 to 64,Favorable,State,Complete,Southwest,60 and over,60 and over,Democrat,50 to 64,1.668,Favorable,No
23.0,44.0,5.0,Second call,50-59,White,Male,Engler,Approve,Approve,No,Neither,No,,Yes,Same,Clinton,Independent,Postgrad,30 to 50K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,50 to 59,Independent/Other,50 to 64,1.927,Unfavorable,No
23.0,44.0,6.0,Second call,30-39,White,Female,Engler,Disapprove,Approve,No,Neither,Yes,Yes,Yes,Same,Dole,Republican,Some college,50 to 75K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,30 to 39,Republican,30 to 39,1.8920000000000001,Unfavorable,Yes
23.0,44.0,7.0,Second call,50-59,White,Female,Engler,,Approve,No,Neither,,Yes,,Same,Dole,Republican,Some college,,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,50 to 59,Republican,50 to 64,1.8920000000000001,Unfavorable,No
23.0,44.0,8.0,Second call,50-59,White,Male,Engler,Approve,Approve,No,Neither,No,No,No,Same,Dole,Independent,HS grad,50 to 75K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,50 to 59,Independent/Other,50 to 64,1.927,Unfavorable,Yes
23.0,44.0,9.0,Second call,45-49,White,Male,Engler,Disapprove,Disapprove,No,Oppose Clinton,Yes,Yes,No,Better,Dole,Republican,Postgrad,50 to 75K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,40 to 49,Republican,40 to 49,1.927,Unfavorable,No
23.0,44.0,10.0,Second call,65 and over,White,Female,Engler,Disapprove,Approve,Yes,Neither,No,Yes,Yes,Worse,Dole,Republican,HS grad,15 to 30K,Moderate,65 and over,Unfavorable,State,Complete,Southwest,60 and over,60 and over,Republican,65 and over,2.332,Unfavorable,No
23.0,44.0,11.0,Second call,65 and over,White,Female,Feiger,Approve,Disapprove,No,Support Clinton,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Liberal,65 and over,Favorable,State,Complete,Southwest,60 and over,60 and over,Democrat,65 and over,1.668,Favorable,No
23.0,44.0,12.0,Second call,45-49,White,Female,,Disapprove,Disapprove,No,Neither,Yes,Yes,Yes,Better,Dole,Something else,College grad,50 to 75K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,40 to 49,Independent/Other,40 to 49,1.697,Unfavorable,Yes
23.0,44.0,13.0,Second call,40-44,White,Male,Engler,Disapprove,Disapprove,No,Oppose Clinton,No,No,No,Better,Dole,Something else,HS grad,Under 15K,Liberal,18 to 64,Favorable,State,Complete,Southwest,30 to 44,40 to 49,Independent/Other,40 to 49,1.927,Favorable,No
23.0,44.0,14.0,Second call,60-64,White,Male,Engler,Disapprove,Disapprove,Yes,Oppose Clinton,Yes,Yes,No,Same,Dole,Republican,No HS,100K or more,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,60 and over,60 and over,Republican,50 to 64,2.375,Unfavorable,No
23.0,44.0,15.0,Second call,60-64,White,Female,Engler,,,No,Oppose Clinton,Yes,Yes,,Same,Dole,Republican,Some college,,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,60 and over,60 and over,Republican,50 to 64,2.384,Unfavorable,No
23.0,44.0,16.0,Second call,30-39,White,Female,Engler,Disapprove,,No,,,,,,,,,,,18 to 64,Unfavorable,State,Not complete,Southwest,30 to 44,30 to 39,,30 to 39,1.8920000000000001,Unfavorable,No
23.0,44.0,17.0,Second call,50-59,White,Male,Engler,Disapprove,Approve,No,Oppose Clinton,,,Yes,Same,Dole,Republican,Postgrad,30 to 50K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,50 to 59,Republican,50 to 64,1.927,Unfavorable,No
23.0,44.0,18.0,Second call,18-24,White,Male,Engler,Approve,Approve,No,,,,,,,,,,,18 to 64,Unfavorable,State,Not complete,Southwest,18 to 29,18 to 24,,18 to 24,3.438,Unfavorable,No
23.0,44.0,19.0,Third call,40-44,White,Female,,Approve,Approve,No,,,Yes,,Same,Clinton,Independent,College grad,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,Southwest,30 to 44,40 to 49,Independent/Other,40 to 49,1.697,Unfavorable,Yes
23.0,44.0,20.0,Third call,50-59,White,Female,Feiger,Approve,Approve,No,Neither,No,No,No,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,50 to 59,Democrat,50 to 64,1.322,Unfavorable,Yes
23.0,44.0,21.0,Third call,60-64,White,Male,Engler,Approve,Disapprove,No,Neither,No,No,Yes,Better,Clinton,Independent,Some college,50 to 75K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,60 and over,60 and over,Independent/Other,50 to 64,2.428,Unfavorable,No
23.0,44.0,22.0,Third call,45-49,White,Male,Feiger,Approve,Disapprove,No,Neither,No,No,No,Same,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,Southwest,45 to 59,40 to 49,Democrat,40 to 49,1.3479999999999999,Unfavorable,Yes
23.0,44.0,23.0,Third call,40-44,White,Male,Engler,Disapprove,Approve,No,Neither,Yes,Yes,No,Same,Clinton,Republican,Some college,50 to 75K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,40 to 49,Republican,40 to 49,1.927,,Yes
23.0,44.0,24.0,Third call,18-24,White,Female,Feiger,Approve,Disapprove,Yes,Neither,No,No,No,Better,Other,Something else,Some college,Under 15K,Liberal,18 to 64,Favorable,State,Complete,Southwest,18 to 29,18 to 24,Independent/Other,18 to 24,2.307,Favorable,
23.0,44.0,25.0,Third call,65 and over,White,Male,Engler,Disapprove,Disapprove,Yes,Oppose Clinton,,Yes,,Better,Dole,Republican,,,Moderate,65 and over,Unfavorable,State,Complete,Southwest,60 and over,60 and over,Republican,65 and over,2.375,Unfavorable,No
