State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Race,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Finanacial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),Hillary Opinion,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 decimal pl,Clinton as person
4.0,38.0,12.0,First call,45-49,White,Female,Lincoln,Bristow,Disapprove,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,,15 to 30K,Moderate,18 to 64,Favorable,State,Complete,Northwest,45 to 59,40 to 49,Democrat,40 to 49,0.9560000000000001,Favorable
4.0,38.0,13.0,First call,50-59,White,Male,Boozman,Huckabee,Approve,Disapprove,,Yes,,,,,,,,,,18 to 64,Unfavorable,State,Not complete,Northwest,45 to 59,50 to 59,,50 to 64,1.157,Unfavorable
4.0,38.0,14.0,Second call,50-59,White,Male,Lincoln,Bristow,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,HS grad,Under 15K,Moderate,18 to 64,Favorable,State,Complete,Northwest,45 to 59,50 to 59,Democrat,50 to 64,0.9660000000000001,Unfavorable
4.0,38.0,15.0,Second call,65 and over,White,Female,Lincoln,Bristow,Approve,,Support Clinton,Yes,No,No,,Same,Clinton,Democrat,No HS,Under 15K,,65 and over,Favorable,State,Complete,Northwest,60 and over,60 and over,Democrat,65 and over,0.993,Favorable
4.0,38.0,16.0,Second call,40-44,White,Female,Lincoln,Bristow,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,HS grad,Under 15K,Moderate,18 to 64,Favorable,State,Complete,Northwest,30 to 44,40 to 49,Democrat,40 to 49,0.9560000000000001,Favorable
4.0,38.0,17.0,Second call,30-39,White,Female,Heffley,Huckabee,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,HS grad,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,Northwest,30 to 44,30 to 39,Democrat,30 to 39,0.626,Favorable
4.0,38.0,18.0,Second call,45-49,White,Female,Lincoln,Bristow,,Approve,Support Clinton,No,No,No,No,Same,Clinton,Democrat,HS grad,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,Northwest,45 to 59,40 to 49,Democrat,40 to 49,0.9560000000000001,Favorable
4.0,38.0,19.0,Second call,50-59,White,Female,Boozman,Bristow,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Something else,HS grad,Under 15K,Moderate,18 to 64,Favorable,State,Complete,Northwest,45 to 59,50 to 59,Independent/Other,50 to 64,1.183,Favorable
4.0,38.0,20.0,Second call,60-64,White,Female,Lincoln,Huckabee,Approve,Disapprove,Neither,Yes,No,No,,Same,Clinton,Democrat,No HS,Under 15K,,18 to 64,Unfavorable,State,Complete,Northwest,60 and over,60 and over,Democrat,50 to 64,0.9620000000000001,Unfavorable
4.0,38.0,21.0,Second call,30-39,White,Male,Boozman,Huckabee,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,College grad,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,Northwest,30 to 44,30 to 39,Democrat,30 to 39,1.157,Unfavorable
4.0,38.0,22.0,Second call,30-39,White,Female,Boozman,Huckabee,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,No HS,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,Northwest,30 to 44,30 to 39,Democrat,30 to 39,1.145,Favorable
4.0,38.0,23.0,Third call,50-59,White,Female,Lincoln,Bristow,Approve,,Neither,Yes,No,Yes,No,Better,Clinton,Democrat,,30 to 50K,Conservative,18 to 64,Favorable,State,Complete,Northwest,45 to 59,50 to 59,Democrat,50 to 64,0.9560000000000001,Favorable
4.0,38.0,24.0,Third call,30-39,White,Female,Boozman,Huckabee,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Better,Dole,Republican,College grad,30 to 50K,Conservative,18 to 64,Unfavorable,State,Complete,Northwest,30 to 44,30 to 39,Republican,30 to 39,1.145,Unfavorable
4.0,38.0,25.0,Third call,25-29,White,Male,Lincoln,Huckabee,Approve,Disapprove,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,Some college,15 to 30K,Moderate,18 to 64,Favorable,State,Complete,Northwest,18 to 29,25 to 29,Democrat,25 to 29,0.807,Favorable
4.0,38.0,26.0,Third call,50-59,White,Female,Lincoln,Bristow,Approve,Disapprove,Support Clinton,No,No,No,No,Same,Clinton,Independent,Some college,15 to 30K,Moderate,18 to 64,Favorable,State,Complete,Northwest,45 to 59,50 to 59,Independent/Other,50 to 64,0.9560000000000001,
4.0,38.0,27.0,Third call,40-44,White,Female,Lincoln,Huckabee,Approve,Approve,Neither,Yes,No,Yes,Yes,Better,Clinton,Republican,Postgrad,50 to 75K,Conservative,18 to 64,Unfavorable,State,Complete,Northwest,30 to 44,40 to 49,Republican,40 to 49,0.925,Unfavorable
4.0,38.0,28.0,Third call,50-59,White,Male,Boozman,Huckabee,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,No,Same,Perot,Independent,No HS,100K or more,Conservative,18 to 64,Unfavorable,State,Complete,Northwest,45 to 59,50 to 59,Independent/Other,50 to 64,1.157,Unfavorable
4.0,38.0,29.0,Third call,30-39,White,Male,Boozman,Huckabee,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Worse,Dole,Independent,Postgrad,100K or more,Conservative,18 to 64,Unfavorable,State,Complete,Northwest,30 to 44,30 to 39,Independent/Other,30 to 39,1.157,Unfavorable
4.0,38.0,30.0,Third call,45-49,White,Female,Lincoln,Bristow,Approve,Approve,Neither,No,No,No,Yes,Same,Clinton,Democrat,HS grad,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,Northwest,45 to 59,40 to 49,Democrat,40 to 49,0.9560000000000001,Unfavorable
4.0,38.0,31.0,Third call,30-39,White,Female,Lincoln,Huckabee,Disapprove,Disapprove,Oppose Clinton,No,,Yes,No,Same,Perot,Independent,HS grad,30 to 50K,Moderate,18 to 64,Unfavorable,State,Complete,Northwest,30 to 44,30 to 39,Independent/Other,30 to 39,0.925,Unfavorable
4.0,38.0,32.0,Third call,40-44,White,Male,Boozman,Huckabee,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,Unfavorable,State,Complete,Northwest,30 to 44,40 to 49,Republican,40 to 49,1.157,Unfavorable
4.0,38.0,33.0,Third call,50-59,White,Male,Lincoln,Huckabee,Disapprove,Disapprove,Neither,Yes,No,No,No,Better,Clinton,Democrat,No HS,,Conservative,18 to 64,Favorable,State,Complete,Northwest,45 to 59,50 to 59,Democrat,50 to 64,0.9349999999999999,Unfavorable
4.0,38.0,34.0,Third call,40-44,,Female,Boozman,Huckabee,Disapprove,Approve,Neither,Yes,Yes,Yes,No,Worse,Perot,Democrat,College grad,15 to 30K,Conservative,18 to 64,Unfavorable,State,Complete,Northwest,30 to 44,40 to 49,Democrat,40 to 49,1.145,Unfavorable
4.0,38.0,35.0,Third call,18-24,White,Male,Boozman,Bristow,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Same,Dole,Independent,College grad,Under 15K,Moderate,18 to 64,Unfavorable,State,Complete,Northwest,18 to 29,18 to 24,Independent/Other,18 to 24,1.035,Unfavorable
4.0,38.0,36.0,Third call,45-49,White,Female,Boozman,Bristow,Approve,Disapprove,Neither,No,No,No,No,Worse,Clinton,Democrat,Postgrad,75 to 100K,Liberal,18 to 64,Favorable,State,Complete,Northwest,45 to 59,40 to 49,Democrat,40 to 49,1.183,Unfavorable
4.0,38.0,37.0,Third call,40-44,White,Female,Lincoln,Bristow,Approve,Approve,Neither,Yes,No,No,Yes,Better,Clinton,Democrat,HS grad,30 to 50K,Liberal,18 to 64,Favorable,State,Complete,Northwest,30 to 44,40 to 49,Democrat,40 to 49,0.9560000000000001,Unfavorable
4.0,38.0,38.0,Third call,25-29,White,Male,Lincoln,Bristow,Approve,Approve,Neither,No,,,,Better,Clinton,Democrat,,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,Northwest,18 to 29,25 to 29,Democrat,25 to 29,0.837,
4.0,38.0,39.0,Third call,60-64,White,Female,Lincoln,Bristow,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Democrat,Postgrad,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,Northwest,60 and over,60 and over,Democrat,50 to 64,0.993,Favorable
4.0,42.0,1.0,First call,65 and over,White,Female,Lincoln,Huckabee,Approve,Disapprove,Support Clinton,No,No,No,Yes,Same,Clinton,Independent,Some college,15 to 30K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Independent/Other,65 and over,2.977,Unfavorable
4.0,42.0,2.0,First call,65 and over,White,,Boozman,Huckabee,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Yes,Same,Clinton,Independent,Postgrad,15 to 30K,Conservative,65 and over,Unfavorable,State,Complete,South,60 and over,60 and over,Independent/Other,65 and over,2.9859999999999998,Unfavorable
4.0,42.0,3.0,First call,30-39,White,Male,Boozman,Huckabee,Approve,Approve,Neither,No,No,Yes,,Same,Perot,Republican,No HS,Under 15K,Moderate,18 to 64,Favorable,State,Complete,South,30 to 44,30 to 39,Republican,30 to 39,2.5060000000000002,
4.0,42.0,4.0,First call,65 and over,White,Male,,Huckabee,Approve,Disapprove,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,No HS,15 to 30K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Democrat,65 and over,2.813,Favorable
4.0,42.0,5.0,First call,65 and over,White,Female,Boozman,Huckabee,Disapprove,Approve,Neither,Yes,Yes,Yes,No,Same,Dole,Republican,HS grad,15 to 30K,Conservative,65 and over,Unfavorable,State,Complete,South,60 and over,60 and over,Republican,65 and over,2.9859999999999998,Unfavorable
4.0,42.0,6.0,First call,30-39,White,Female,Lincoln,Bristow,Approve,Disapprove,Neither,No,No,No,,Same,Clinton,Democrat,HS grad,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,South,30 to 44,30 to 39,Democrat,30 to 39,2.787,Unfavorable
4.0,42.0,7.0,First call,65 and over,White,Female,Boozman,Huckabee,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Same,Dole,Republican,Some college,50 to 75K,Conservative,65 and over,Unfavorable,State,Complete,South,60 and over,60 and over,Republican,65 and over,2.9859999999999998,Unfavorable
4.0,42.0,8.0,First call,65 and over,Asian,,Lincoln,Bristow,Approve,Approve,Support Clinton,No,No,No,No,Worse,Clinton,Democrat,HS grad,30 to 50K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Democrat,65 and over,2.851,Favorable
4.0,42.0,9.0,First call,65 and over,White,Female,Lincoln,Huckabee,Approve,Approve,Neither,No,Yes,No,Yes,Same,Clinton,Democrat,Some college,15 to 30K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Democrat,65 and over,2.977,Favorable
4.0,42.0,10.0,First call,25-29,White,Female,Lincoln,Huckabee,Approve,Disapprove,,,No,No,No,Same,Clinton,Democrat,College grad,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,South,18 to 29,25 to 29,Democrat,25 to 29,2.95,Favorable
4.0,42.0,11.0,First call,65 and over,White,Male,Lincoln,Bristow,Approve,Disapprove,Oppose Clinton,No,No,No,No,Same,Clinton,Democrat,Postgrad,50 to 75K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Democrat,65 and over,2.851,Favorable
4.0,42.0,12.0,First call,60-64,White,Female,Lincoln,Bristow,Approve,Disapprove,Support Clinton,No,No,No,No,Same,Clinton,Democrat,HS grad,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,South,60 and over,60 and over,Democrat,50 to 64,3.074,Favorable
4.0,42.0,13.0,First call,65 and over,,Female,Lincoln,Huckabee,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,HS grad,,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Democrat,65 and over,2.977,Favorable
4.0,42.0,14.0,Second call,65 and over,White,Male,Boozman,Bristow,Disapprove,Disapprove,Neither,No,Yes,Yes,No,Same,Dole,Independent,College grad,30 to 50K,Moderate,65 and over,Unfavorable,State,Complete,South,60 and over,60 and over,Independent/Other,65 and over,2.859,Unfavorable
4.0,42.0,15.0,Second call,65 and over,White,Female,Lincoln,Huckabee,Approve,Approve,Neither,No,No,No,Yes,Same,Clinton,Republican,Some college,15 to 30K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Republican,65 and over,2.977,Unfavorable
4.0,42.0,16.0,Second call,30-39,White,Female,Lincoln,Bristow,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Better,Clinton,Democrat,,Under 15K,Moderate,18 to 64,Unfavorable,State,Complete,South,30 to 44,30 to 39,Democrat,30 to 39,2.787,Unfavorable
4.0,42.0,17.0,Second call,65 and over,White,Female,Lincoln,Bristow,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Independent,HS grad,30 to 50K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Independent/Other,65 and over,3.074,Favorable
4.0,42.0,18.0,Second call,65 and over,White,Male,Lincoln,Bristow,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,College grad,30 to 50K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Democrat,65 and over,2.851,Favorable
4.0,42.0,19.0,Second call,65 and over,Black,Male,Lincoln,Huckabee,Approve,Disapprove,Support Clinton,,No,No,Yes,Same,Clinton,Independent,No HS,30 to 50K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Independent/Other,65 and over,3.181,Favorable
4.0,42.0,20.0,Second call,65 and over,White,Female,Lincoln,Huckabee,Approve,Disapprove,Support Clinton,No,No,No,No,Same,Clinton,Democrat,No HS,Under 15K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Democrat,65 and over,2.977,Favorable
4.0,42.0,21.0,Second call,45-49,White,Male,Boozman,Huckabee,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Yes,Same,Dole,Republican,Some college,15 to 30K,Moderate,18 to 64,Unfavorable,State,Complete,South,45 to 59,40 to 49,Republican,40 to 49,2.5060000000000002,Unfavorable
4.0,42.0,22.0,Second call,65 and over,White,Female,Boozman,Huckabee,Disapprove,,Neither,Yes,,Yes,Yes,Worse,Dole,Republican,HS grad,Under 15K,Conservative,65 and over,,State,Complete,South,60 and over,60 and over,Republican,65 and over,2.9859999999999998,
4.0,42.0,23.0,Second call,65 and over,White,Female,Boozman,Huckabee,Disapprove,Approve,Neither,Yes,No,No,Yes,Worse,Dole,Something else,Some college,,Moderate,65 and over,,State,Complete,South,60 and over,60 and over,Independent/Other,65 and over,2.9859999999999998,Unfavorable
4.0,42.0,24.0,Second call,50-59,White,Female,Lincoln,,Approve,Approve,,No,No,No,Yes,Same,,Democrat,Some college,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,South,45 to 59,50 to 59,Democrat,50 to 64,2.732,
4.0,42.0,25.0,Second call,65 and over,White,Female,Lincoln,Huckabee,Approve,,Support Clinton,,No,No,No,Same,Clinton,Democrat,HS grad,30 to 50K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Democrat,65 and over,2.977,Favorable
4.0,42.0,26.0,Third call,40-44,White,Male,Lincoln,Huckabee,Approve,Approve,Neither,No,No,No,Yes,Better,Clinton,Democrat,College grad,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,South,30 to 44,40 to 49,Democrat,40 to 49,2.499,Unfavorable
4.0,42.0,28.0,Third call,25-29,White,Male,Boozman,Huckabee,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Better,Dole,Republican,College grad,30 to 50K,Conservative,18 to 64,Unfavorable,State,Complete,South,18 to 29,25 to 29,Republican,25 to 29,2.741,Unfavorable
4.0,45.0,1.0,First call,65 and over,,Female,Lincoln,Bristow,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Democrat,HS grad,50 to 75K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Democrat,65 and over,0.806,Favorable
4.0,45.0,2.0,First call,65 and over,White,Male,Lincoln,Bristow,Approve,Disapprove,Support Clinton,No,No,No,Yes,Better,Clinton,Democrat,HS grad,30 to 50K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Democrat,65 and over,0.7469999999999999,Favorable
4.0,45.0,3.0,First call,65 and over,White,Male,Lincoln,Bristow,Approve,Disapprove,Support Clinton,No,No,No,No,Same,Clinton,Democrat,College grad,50 to 75K,Liberal,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Democrat,65 and over,0.7469999999999999,Unfavorable
4.0,45.0,4.0,First call,18-24,White,Male,Lincoln,Bristow,Disapprove,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,Postgrad,100K or more,Liberal,18 to 64,Favorable,State,Complete,South,18 to 29,18 to 24,Democrat,18 to 24,0.74,Favorable
4.0,45.0,5.0,First call,65 and over,White,Male,Boozman,Bristow,Disapprove,Approve,Neither,,Yes,Yes,Yes,Better,Dole,Independent,College grad,,Conservative,65 and over,,State,Complete,South,60 and over,60 and over,Independent/Other,65 and over,0.7489999999999999,Unfavorable
4.0,45.0,6.0,First call,65 and over,White,Male,Boozman,Huckabee,Disapprove,Approve,,No,,,,,,,,,,65 and over,Unfavorable,State,Not complete,South,60 and over,60 and over,,65 and over,0.725,Unfavorable
4.0,45.0,7.0,First call,65 and over,White,Female,Boozman,Huckabee,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Same,Dole,Republican,Some college,50 to 75K,Moderate,65 and over,,State,Complete,South,60 and over,60 and over,Republican,65 and over,0.7840000000000001,Unfavorable
4.0,45.0,8.0,First call,50-59,White,Male,Boozman,Huckabee,Disapprove,Approve,Neither,No,No,Yes,No,Same,Dole,Republican,Some college,75 to 100K,Moderate,18 to 64,Unfavorable,State,Complete,South,45 to 59,50 to 59,Republican,50 to 64,0.6569999999999999,Unfavorable
4.0,45.0,9.0,First call,60-64,White,Male,Boozman,Huckabee,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,College grad,100K or more,Conservative,18 to 64,Unfavorable,State,Complete,South,60 and over,60 and over,Republican,50 to 64,0.725,Unfavorable
4.0,45.0,10.0,First call,65 and over,White,Female,Boozman,Huckabee,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Same,Perot,Republican,Postgrad,50 to 75K,Moderate,65 and over,Unfavorable,State,Complete,South,60 and over,60 and over,Republican,65 and over,0.7840000000000001,Unfavorable
4.0,45.0,11.0,First call,65 and over,White,Male,Boozman,Huckabee,Disapprove,Disapprove,Neither,No,Yes,Yes,No,Same,Dole,Republican,Some college,30 to 50K,Conservative,65 and over,Unfavorable,State,Complete,South,60 and over,60 and over,Republican,65 and over,0.725,Unfavorable
4.0,45.0,12.0,First call,65 and over,White,Female,Boozman,Huckabee,Approve,Disapprove,Neither,No,,,Yes,Better,Dole,Independent,Postgrad,50 to 75K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Independent/Other,65 and over,0.7840000000000001,Unfavorable
4.0,45.0,13.0,First call,65 and over,White,Male,Boozman,Huckabee,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Same,Dole,Republican,College grad,,Moderate,65 and over,Unfavorable,State,Complete,South,60 and over,60 and over,Republican,65 and over,0.725,Unfavorable
4.0,45.0,14.0,Second call,65 and over,White,Male,Boozman,Huckabee,Disapprove,Approve,Oppose Clinton,,,,Yes,Same,Dole,Republican,College grad,30 to 50K,Conservative,65 and over,Unfavorable,State,Complete,South,60 and over,60 and over,Republican,65 and over,0.725,Unfavorable
4.0,45.0,15.0,Second call,65 and over,White,Female,Boozman,Huckabee,Disapprove,Disapprove,Oppose Clinton,Yes,,Yes,Yes,Worse,Dole,Republican,Some college,30 to 50K,Moderate,65 and over,,State,Complete,South,60 and over,60 and over,Republican,65 and over,0.7840000000000001,Unfavorable
4.0,45.0,16.0,Second call,50-59,White,Female,Boozman,Huckabee,Disapprove,Disapprove,Neither,No,Yes,Yes,No,Worse,Dole,Republican,HS grad,30 to 50K,Conservative,18 to 64,Unfavorable,State,Complete,South,45 to 59,50 to 59,Republican,50 to 64,0.7089999999999999,Unfavorable
4.0,45.0,17.0,Second call,50-59,White,Male,Boozman,Huckabee,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Better,Dole,Republican,Postgrad,30 to 50K,Conservative,18 to 64,Unfavorable,State,Complete,South,45 to 59,50 to 59,Republican,50 to 64,0.6569999999999999,Unfavorable
4.0,45.0,18.0,Second call,65 and over,White,Female,Lincoln,Huckabee,Disapprove,Approve,Neither,No,,,Yes,Same,Dole,Republican,,30 to 50K,Conservative,65 and over,Unfavorable,State,Complete,South,60 and over,60 and over,Republican,65 and over,0.7820000000000001,Unfavorable
4.0,45.0,19.0,Second call,65 and over,White,Male,Boozman,Bristow,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Same,Dole,Independent,College grad,15 to 30K,Conservative,65 and over,Unfavorable,State,Complete,South,60 and over,60 and over,Independent/Other,65 and over,0.7489999999999999,Unfavorable
4.0,45.0,20.0,Second call,65 and over,White,Male,Boozman,Huckabee,Disapprove,Approve,Neither,,Yes,Yes,No,Better,Dole,Republican,Postgrad,75 to 100K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Republican,65 and over,0.725,Unfavorable
4.0,45.0,21.0,Second call,60-64,White,Male,Boozman,Huckabee,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,No,Same,Dole,Something else,College grad,100K or more,Moderate,18 to 64,Unfavorable,State,Complete,South,60 and over,60 and over,Independent/Other,50 to 64,0.725,Unfavorable
4.0,45.0,22.0,Second call,65 and over,White,Male,Lincoln,Huckabee,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Democrat,HS grad,15 to 30K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Democrat,65 and over,0.723,Unfavorable
4.0,45.0,23.0,Second call,45-49,White,Female,Boozman,Huckabee,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,No,Worse,Dole,Republican,Some college,15 to 30K,Conservative,18 to 64,Unfavorable,State,Complete,South,45 to 59,40 to 49,Republican,40 to 49,0.7089999999999999,Unfavorable
4.0,45.0,24.0,Second call,40-44,White,Female,Boozman,Bristow,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,,Did not vote,Republican,Postgrad,,,18 to 64,Unfavorable,State,Complete,South,30 to 44,40 to 49,Republican,40 to 49,0.731,Unfavorable
4.0,45.0,25.0,Second call,65 and over,White,Male,Boozman,Huckabee,,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Independent,Postgrad,75 to 100K,Moderate,65 and over,Unfavorable,State,Complete,South,60 and over,60 and over,Independent/Other,65 and over,0.725,Unfavorable
4.0,45.0,26.0,Third call,65 and over,White,Female,Boozman,Huckabee,Disapprove,Disapprove,Oppose Clinton,No,No,Yes,Yes,Same,Dole,Republican,Some college,30 to 50K,Moderate,65 and over,Unfavorable,State,Complete,South,60 and over,60 and over,Republican,65 and over,0.7840000000000001,Unfavorable
4.0,45.0,27.0,Third call,25-29,White,Female,Boozman,Huckabee,Approve,Approve,Neither,No,No,No,No,Better,Clinton,Democrat,Postgrad,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,South,18 to 29,25 to 29,Democrat,25 to 29,0.778,Favorable
4.0,45.0,28.0,Third call,50-59,White,Female,Boozman,Huckabee,Disapprove,Approve,,No,,,,,,,,,,18 to 64,Unfavorable,State,Not complete,South,45 to 59,50 to 59,,50 to 64,0.7089999999999999,Unfavorable
4.0,45.0,29.0,Third call,65 and over,White,Male,Boozman,Huckabee,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,College grad,50 to 75K,Moderate,65 and over,Unfavorable,State,Complete,South,60 and over,60 and over,Republican,65 and over,0.725,Unfavorable
4.0,45.0,30.0,Third call,65 and over,White,Male,Boozman,Huckabee,Disapprove,Approve,Neither,No,Yes,No,,Same,Dole,Republican,Postgrad,50 to 75K,Moderate,65 and over,Unfavorable,State,Complete,South,60 and over,60 and over,Republican,65 and over,0.725,Unfavorable
4.0,45.0,31.0,Third call,50-59,White,Female,Lincoln,Bristow,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,South,45 to 59,50 to 59,Democrat,50 to 64,0.7289999999999999,Favorable
4.0,45.0,32.0,Third call,65 and over,White,Male,Lincoln,Bristow,Approve,Disapprove,Neither,No,No,No,No,Better,Dole,Independent,College grad,50 to 75K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Independent/Other,65 and over,0.7469999999999999,Unfavorable
4.0,45.0,33.0,Third call,65 and over,White,Female,Lincoln,Bristow,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,Postgrad,30 to 50K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Democrat,65 and over,0.806,Favorable
4.0,45.0,34.0,Third call,65 and over,White,Male,Lincoln,Huckabee,Approve,Disapprove,Neither,No,No,Yes,No,Better,Clinton,Democrat,Some college,30 to 50K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Democrat,65 and over,0.723,Unfavorable
4.0,45.0,35.0,Third call,18-24,White,Female,Boozman,Huckabee,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,No,Worse,Dole,Republican,No HS,Under 15K,Moderate,18 to 64,Favorable,State,Complete,South,18 to 29,18 to 24,Republican,18 to 24,0.778,Unfavorable
4.0,45.0,36.0,Third call,18-24,White,Male,Boozman,Huckabee,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,No,Worse,Did not vote,Republican,Some college,15 to 30K,Conservative,18 to 64,Favorable,State,Complete,South,18 to 29,18 to 24,Republican,18 to 24,0.7189999999999999,Unfavorable
4.0,45.0,37.0,Third call,50-59,White,Male,Lincoln,Huckabee,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Yes,Same,Perot,Independent,College grad,15 to 30K,Conservative,18 to 64,Unfavorable,State,Complete,South,45 to 59,50 to 59,Independent/Other,50 to 64,0.6549999999999999,Unfavorable
4.0,49.0,1.0,First call,65 and over,White,Male,Boozman,Huckabee,Disapprove,Approve,,No,,,,,,,,,,65 and over,Unfavorable,State,Not complete,East,60 and over,60 and over,,65 and over,0.451,Unfavorable
4.0,49.0,2.0,First call,40-44,White,Female,Lincoln,Huckabee,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,East,30 to 44,40 to 49,Democrat,40 to 49,1.066,Favorable
4.0,49.0,3.0,First call,65 and over,White,Female,Lincoln,Huckabee,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Democrat,College grad,,Moderate,65 and over,Favorable,State,Complete,East,60 and over,60 and over,Democrat,65 and over,1.01,Unfavorable
4.0,49.0,4.0,First call,,White,Female,Lincoln,Bristow,,,Support Clinton,,No,No,No,Better,Clinton,Democrat,,Under 15K,Moderate,,Favorable,State,Complete,East,,,Democrat,,1.101,Favorable
4.0,49.0,5.0,First call,30-39,White,Male,Boozman,Huckabee,Disapprove,Approve,Neither,No,No,Yes,No,Better,Dole,Republican,Postgrad,100K or more,Conservative,18 to 64,Unfavorable,State,Complete,East,30 to 44,30 to 39,Republican,30 to 39,0.47700000000000004,Unfavorable
