State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Attorney Gen Vote,Governor Race,Clinton Approval,Congress Approval,Reason for Cong Vote,State economy condition,Why improve schools?,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Kerry good as Pres?,Party ID,Education,Religion,Income,Ideology,Age (65 and over),Child in public school,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places),Governor issues,Future of st economy,Clinton as person,Gov: decided to vote
22.0,13.0,36.0,Third call,50-59,White,Female,,Cellucci,Approve,Disapprove,Support Clinton,Good,Harshbarger,No,No,No,Same,Clinton,No,Independent,Some college,Protestant,15 to 30K,Moderate,18 to 64,No,State,Complete,East,45 to 59,50 to 59,Independent/Other,50 to 64,1.157,Health care,Same,Unfavorable,Last month
22.0,13.0,37.0,Third call,30-39,White,Male,Bailey,,Approve,Disapprove,Neither,Not so good,Neither,No,No,Yes,Same,Clinton,Yes,Independent,College grad,Catholic,50 to 75K,Moderate,18 to 64,No,State,Complete,East,30 to 44,30 to 39,Independent/Other,30 to 39,1.051,Ethic/moral,Same,Favorable,
22.0,13.0,38.0,Third call,50-59,White,Male,Bailey,Cellucci,Disapprove,Disapprove,Neither,Good,Both,Yes,Yes,Yes,Better,Dole,No,Independent,,Catholic,100K or more,Conservative,18 to 64,No,State,Complete,East,45 to 59,50 to 59,Independent/Other,50 to 64,1.118,Ethic/moral,Worse,Unfavorable,Last month
22.0,13.0,39.0,Third call,60-64,White,Male,,Cellucci,Approve,Disapprove,Neither,Good,Harshbarger,No,No,No,Same,Clinton,Yes,Independent,College grad,Catholic,50 to 75K,Conservative,18 to 64,No,State,Complete,East,60 and over,60 and over,Independent/Other,50 to 64,1.391,Health care,Same,Unfavorable,Last 3 days
22.0,13.0,40.0,Third call,50-59,White,Male,Reilly,Cellucci,Approve,Approve,Neither,Good,Both,No,No,Yes,Worse,Dole,Yes,Independent,Postgrad,Protestant,15 to 30K,Moderate,18 to 64,No,State,Complete,East,45 to 59,50 to 59,Independent/Other,50 to 64,1.209,Education,Worse,Unfavorable,Before that
22.0,13.0,41.0,Third call,18-24,White,Female,Reilly,Cellucci,Approve,Approve,Neither,Good,Cellucci,No,No,Yes,Better,Clinton,No,Democrat,HS grad,Catholic,30 to 50K,Moderate,18 to 64,No,State,Complete,East,18 to 29,18 to 24,Democrat,18 to 24,1.718,Health care,Same,Favorable,Last month
22.0,13.0,42.0,Third call,30-39,White,Male,Bailey,Cellucci,Disapprove,Approve,Oppose Clinton,Excellent,Both,Yes,Yes,No,Better,Dole,No,Republican,College grad,,100K or more,Moderate,18 to 64,No,State,Complete,East,30 to 44,30 to 39,Republican,30 to 39,1.118,State taxes,Same,Unfavorable,Before that
22.0,13.0,43.0,Third call,45-49,White,Female,Reilly,Harschbarger,Disapprove,Disapprove,Neither,Good,Both,Yes,Yes,Yes,Better,Clinton,Yes,Independent,Some college,Protestant,50 to 75K,Moderate,18 to 64,Yes,State,Complete,East,45 to 59,40 to 49,Independent/Other,40 to 49,1.043,Ethic/moral,Worse,Unfavorable,Last week
22.0,13.0,44.0,Third call,25-29,Asian,Female,Reilly,Harschbarger,Approve,Disapprove,Neither,Good,Harshbarger,No,No,No,Same,Clinton,No,Democrat,Some college,None,30 to 50K,Moderate,18 to 64,Yes,State,Complete,East,18 to 29,25 to 29,Democrat,25 to 29,1.509,Ethic/moral,Same,Favorable,Last 3 days
22.0,13.0,45.0,Third call,40-44,White,Female,Reilly,Cellucci,Disapprove,Disapprove,Neither,Good,Both,No,No,Yes,Better,Perot,No,Republican,College grad,Protestant,50 to 75K,Moderate,18 to 64,Yes,State,Complete,East,30 to 44,40 to 49,Republican,40 to 49,1.189,Economy/jobs,Worse,Unfavorable,Before that
22.0,13.0,46.0,Third call,40-44,White,Male,Bailey,Cellucci,Disapprove,Approve,Neither,Good,Cellucci,Yes,Yes,No,Better,Dole,No,Republican,College grad,Catholic,50 to 75K,Conservative,18 to 64,Yes,State,Complete,East,30 to 44,40 to 49,Republican,40 to 49,1.118,,Same,Unfavorable,Before that
22.0,15.0,1.0,First call,45-49,White,Female,Reilly,Harschbarger,Approve,Approve,Neither,Good,Harshbarger,No,No,No,Worse,Clinton,Yes,Independent,College grad,Catholic,30 to 50K,Conservative,18 to 64,Yes,State,Complete,Other lrg cities,45 to 59,40 to 49,Independent/Other,40 to 49,0.976,Education,Same,Favorable,Before that
22.0,15.0,2.0,First call,50-59,White,Female,Reilly,Harschbarger,Approve,Disapprove,Neither,Good,Both,No,No,Yes,Same,Clinton,No,Independent,HS grad,Catholic,30 to 50K,Moderate,18 to 64,No,State,Complete,Other lrg cities,45 to 59,50 to 59,Independent/Other,50 to 64,0.976,Economy/jobs,Same,Unfavorable,Last 3 days
22.0,15.0,3.0,First call,50-59,White,Male,Reilly,Cellucci,Approve,Approve,Neither,Good,Cellucci,No,No,No,Better,Clinton,No,Independent,Postgrad,Catholic,100K or more,Moderate,18 to 64,No,State,Complete,Other lrg cities,45 to 59,50 to 59,Independent/Other,50 to 64,1.538,Education,Same,Unfavorable,Before that
22.0,15.0,4.0,First call,50-59,White,Male,Reilly,Harschbarger,Approve,Disapprove,Neither,Good,Neither,No,No,No,Better,Clinton,No,Something else,College grad,None,30 to 50K,Liberal,18 to 64,No,State,Complete,Other lrg cities,45 to 59,50 to 59,Independent/Other,50 to 64,0.943,Economy/jobs,Same,Favorable,Before that
22.0,15.0,5.0,First call,40-44,White,Male,Reilly,Harschbarger,Approve,Disapprove,Neither,Good,Harshbarger,No,No,Yes,Better,Clinton,Yes,Democrat,No HS,Protestant,50 to 75K,Moderate,18 to 64,Yes,State,Complete,Other lrg cities,30 to 44,40 to 49,Democrat,40 to 49,0.943,Education,Same,Favorable,Before that
22.0,15.0,6.0,First call,40-44,White,Male,Reilly,Cellucci,Approve,Disapprove,Neither,Not so good,Neither,No,No,Yes,Same,Clinton,No,Independent,HS grad,Catholic,15 to 30K,Conservative,18 to 64,No,State,Complete,Other lrg cities,30 to 44,40 to 49,Independent/Other,40 to 49,1.538,State taxes,Worse,Unfavorable,Before that
22.0,15.0,7.0,First call,40-44,White,Male,Bailey,Cellucci,Disapprove,Approve,Oppose Clinton,Good,Cellucci,Yes,Yes,No,Better,Dole,No,Independent,Postgrad,Other Christian,30 to 50K,Conservative,18 to 64,No,State,Complete,Other lrg cities,30 to 44,40 to 49,Independent/Other,40 to 49,1.421,Ethic/moral,Better,Unfavorable,Before that
22.0,15.0,8.0,First call,50-59,White,Male,Bailey,Cellucci,Disapprove,Approve,Oppose Clinton,Good,Cellucci,No,Yes,Yes,Worse,Dole,No,Republican,Some college,Protestant,50 to 75K,Conservative,18 to 64,Yes,State,Complete,Other lrg cities,45 to 59,50 to 59,Republican,50 to 64,1.421,Economy/jobs,Same,Unfavorable,Before that
22.0,15.0,9.0,First call,60-64,White,Male,Reilly,Harschbarger,Approve,Approve,Neither,Good,Both,No,No,No,Better,Clinton,Yes,Democrat,No HS,Protestant,50 to 75K,Moderate,18 to 64,No,State,Complete,Other lrg cities,60 and over,60 and over,Democrat,50 to 64,1.068,Ethic/moral,Better,Favorable,Before that
22.0,15.0,10.0,First call,50-59,White,Female,Other,Other,Approve,Disapprove,Oppose Clinton,Good,Neither,Yes,Yes,No,Same,Dole,No,Independent,Postgrad,Protestant,50 to 75K,Moderate,18 to 64,Yes,State,Complete,Other lrg cities,45 to 59,50 to 59,Independent/Other,50 to 64,1.121,Ethic/moral,Worse,Unfavorable,Last month
22.0,15.0,11.0,First call,30-39,White,Female,Reilly,Harschbarger,Approve,Approve,Support Clinton,Good,Both,No,No,,Better,Clinton,,Democrat,Some college,Catholic,30 to 50K,Moderate,18 to 64,Yes,State,Complete,Other lrg cities,30 to 44,30 to 39,Democrat,30 to 39,0.976,Economy/jobs,Same,Favorable,Last month
22.0,15.0,12.0,First call,50-59,White,Male,Bailey,Cellucci,Disapprove,Disapprove,Neither,Excellent,Cellucci,No,Yes,Yes,Better,Clinton,No,Independent,College grad,Catholic,75 to 100K,Moderate,18 to 64,No,State,Complete,Other lrg cities,45 to 59,50 to 59,Independent/Other,50 to 64,1.421,Ethic/moral,Same,Unfavorable,Last month
22.0,15.0,13.0,First call,60-64,White,Female,Bailey,Harschbarger,Approve,Disapprove,Neither,Good,Both,No,No,Yes,Better,Clinton,No,Independent,Postgrad,Protestant,100K or more,Moderate,18 to 64,No,State,Complete,Other lrg cities,60 and over,60 and over,Independent/Other,50 to 64,1.021,Ethic/moral,Same,Unfavorable,Last 3 days
22.0,15.0,14.0,Second call,50-59,White,Female,Reilly,Harschbarger,Disapprove,Approve,Neither,Good,,Yes,Yes,No,Better,Clinton,,Democrat,No HS,Catholic,15 to 30K,Liberal,18 to 64,No,State,Complete,Other lrg cities,45 to 59,50 to 59,Democrat,50 to 64,0.976,Economy/jobs,Better,Unfavorable,Last 3 days
22.0,15.0,15.0,Second call,65 and over,White,Male,Bailey,Cellucci,Disapprove,Disapprove,Oppose Clinton,Excellent,Both,Yes,Yes,Yes,Same,Dole,No,Republican,College grad,Protestant,50 to 75K,Moderate,65 and over,No,State,Complete,Other lrg cities,60 and over,60 and over,Republican,65 and over,1.609,Economy/jobs,Same,Unfavorable,Before that
22.0,15.0,16.0,Second call,65 and over,White,Male,Bailey,Cellucci,Disapprove,Disapprove,Neither,Good,Cellucci,Yes,Yes,No,Same,Dole,No,Republican,Postgrad,Protestant,,Moderate,65 and over,No,State,Complete,Other lrg cities,60 and over,60 and over,Republican,65 and over,1.609,Ethic/moral,Same,Unfavorable,Before that
22.0,15.0,17.0,Second call,65 and over,White,Male,Reilly,Harschbarger,,,,,Harshbarger,,,,,,No,,,None,,,65 and over,,State,Not complete,Other lrg cities,60 and over,60 and over,,65 and over,1.068,Education,,,Before that
22.0,15.0,18.0,Second call,60-64,White,Female,Reilly,Harschbarger,Approve,Disapprove,Support Clinton,Good,Harshbarger,No,No,No,Better,Did not vote,Yes,Democrat,HS grad,Protestant,50 to 75K,Liberal,18 to 64,No,State,Complete,Other lrg cities,60 and over,60 and over,Democrat,50 to 64,1.107,Ethic/moral,Better,Favorable,Before that
22.0,15.0,19.0,Second call,30-39,White,Male,Bailey,Harschbarger,Approve,Disapprove,Neither,Excellent,Harshbarger,No,No,No,Better,Clinton,Yes,Something else,College grad,None,50 to 75K,Moderate,18 to 64,Yes,State,Complete,Other lrg cities,30 to 44,30 to 39,Independent/Other,30 to 39,0.871,,Better,Favorable,Before that
22.0,15.0,20.0,Second call,50-59,White,Female,Reilly,Cellucci,Disapprove,Disapprove,Neither,Excellent,Neither,,,Yes,Same,Dole,,Independent,Postgrad,Protestant,,Moderate,18 to 64,No,State,Complete,Other lrg cities,45 to 59,50 to 59,Independent/Other,50 to 64,1.593,Ethic/moral,Same,Unfavorable,Last week
22.0,15.0,21.0,Second call,50-59,White,Male,Reilly,Cellucci,Disapprove,Disapprove,Neither,Good,Cellucci,No,Yes,,Better,Clinton,No,Democrat,Postgrad,Catholic,50 to 75K,Moderate,18 to 64,No,State,Complete,Other lrg cities,45 to 59,50 to 59,Democrat,50 to 64,1.538,Health care,Same,Unfavorable,Before that
22.0,15.0,22.0,Second call,18-24,White,Male,Bailey,Cellucci,Disapprove,Approve,Neither,Good,Both,No,Yes,No,Worse,Dole,Yes,Republican,College grad,Other Christian,15 to 30K,Moderate,18 to 64,No,State,Complete,Other lrg cities,18 to 29,18 to 24,Republican,18 to 24,1.858,Economy/jobs,Worse,Unfavorable,Before that
22.0,15.0,23.0,Second call,50-59,White,Male,Bailey,Cellucci,Disapprove,Approve,Neither,Good,Neither,Yes,Yes,No,Same,Dole,No,Independent,HS grad,Something else,30 to 50K,Conservative,18 to 64,No,State,Complete,Other lrg cities,45 to 59,50 to 59,Independent/Other,50 to 64,1.421,Ethic/moral,Worse,Unfavorable,Last 3 days
22.0,15.0,24.0,Second call,65 and over,White,Male,Reilly,Cellucci,,,,,,,,,,,No,,,Catholic,,,65 and over,,State,Not complete,Other lrg cities,60 and over,60 and over,,65 and over,1.744,,,,Last week
22.0,15.0,25.0,Second call,65 and over,White,Female,Reilly,Harschbarger,Approve,Disapprove,Support Clinton,Good,,No,No,,Better,Clinton,,Democrat,No HS,Catholic,,Liberal,65 and over,No,State,Complete,Other lrg cities,60 and over,60 and over,Democrat,65 and over,1.107,Health care,Better,,
22.0,15.0,26.0,Second call,25-29,White,Female,Bailey,Harschbarger,Approve,Disapprove,Support Clinton,Good,Harshbarger,No,No,No,Better,Clinton,Yes,Independent,Postgrad,None,100K or more,Liberal,18 to 64,No,State,Complete,Other lrg cities,18 to 29,25 to 29,Independent/Other,25 to 29,1.179,Education,Worse,Unfavorable,Before that
22.0,15.0,27.0,Second call,60-64,White,Male,Bailey,Cellucci,Disapprove,Approve,Neither,Good,Both,Yes,Yes,Yes,Better,Dole,No,Independent,Postgrad,Protestant,100K or more,Conservative,18 to 64,No,State,Complete,Other lrg cities,60 and over,60 and over,Independent/Other,50 to 64,1.609,State taxes,Same,Unfavorable,Last 3 days
22.0,15.0,28.0,Second call,50-59,White,Female,Reilly,Harschbarger,Approve,Disapprove,Support Clinton,Good,Both,No,No,No,Better,Clinton,Yes,Independent,Postgrad,Other Christian,50 to 75K,Moderate,18 to 64,No,State,Complete,Other lrg cities,45 to 59,50 to 59,Independent/Other,50 to 64,0.976,Education,Better,Favorable,Last month
22.0,15.0,29.0,Second call,50-59,White,Female,Bailey,Cellucci,Approve,Approve,Neither,Good,Both,No,Yes,,Same,Dole,,Republican,Some college,Protestant,50 to 75K,Moderate,18 to 64,No,State,Complete,Other lrg cities,45 to 59,50 to 59,Republican,50 to 64,1.471,,Same,Unfavorable,Last 3 days
22.0,15.0,30.0,Third call,65 and over,White,Female,Bailey,Cellucci,Disapprove,Disapprove,Neither,Good,Harshbarger,No,No,No,Same,Dole,No,,HS grad,Protestant,,Conservative,65 and over,No,State,Complete,Other lrg cities,60 and over,60 and over,,65 and over,1.665,Ethic/moral,Same,Unfavorable,Before that
22.0,15.0,31.0,Third call,60-64,White,Female,Bailey,Cellucci,Disapprove,Disapprove,Oppose Clinton,Excellent,,No,Yes,Yes,Better,Dole,No,Republican,College grad,Protestant,100K or more,Moderate,18 to 64,No,State,Complete,Other lrg cities,60 and over,60 and over,Republican,50 to 64,1.665,State taxes,Same,Unfavorable,Before that
22.0,15.0,32.0,Third call,45-49,White,Female,Reilly,Harschbarger,Approve,Disapprove,Support Clinton,Good,Harshbarger,No,No,No,Same,Clinton,Yes,Democrat,Postgrad,None,50 to 75K,Liberal,18 to 64,No,State,Complete,Other lrg cities,45 to 59,40 to 49,Democrat,40 to 49,0.976,Education,Better,Favorable,Before that
22.0,15.0,33.0,Third call,50-59,White,Female,Reilly,Harschbarger,Approve,Disapprove,,Good,Both,No,No,No,Better,Clinton,Yes,Independent,Postgrad,Catholic,75 to 100K,Moderate,18 to 64,No,State,Complete,Other lrg cities,45 to 59,50 to 59,Independent/Other,50 to 64,0.976,Education,Better,,Last month
22.0,15.0,34.0,Third call,65 and over,White,Female,Reilly,Harschbarger,Approve,Disapprove,Neither,Good,Both,No,No,No,Same,Clinton,Yes,Democrat,Postgrad,Protestant,15 to 30K,Liberal,65 and over,No,State,Complete,Other lrg cities,60 and over,60 and over,Democrat,65 and over,1.107,,Same,Favorable,Last 3 days
22.0,15.0,35.0,Third call,65 and over,White,Female,Reilly,Harschbarger,Approve,Disapprove,Neither,Good,,No,No,No,Same,Clinton,No,Democrat,College grad,Other Christian,,Liberal,65 and over,No,State,Complete,Other lrg cities,60 and over,60 and over,Democrat,65 and over,1.107,,Better,Favorable,Last 3 days
22.0,15.0,36.0,Third call,40-44,White,Female,,Cellucci,Disapprove,Disapprove,Neither,Good,,Yes,Yes,No,Same,Dole,,Independent,College grad,Other Christian,30 to 50K,Conservative,18 to 64,No,State,Complete,Other lrg cities,30 to 44,40 to 49,Independent/Other,40 to 49,1.55,Ethic/moral,Same,Unfavorable,Last 3 days
22.0,15.0,37.0,Third call,40-44,White,Female,Bailey,Cellucci,Disapprove,Disapprove,Neither,Not so good,Both,No,No,Yes,Better,Dole,Yes,Republican,College grad,Protestant,30 to 50K,Moderate,18 to 64,Yes,State,Complete,Other lrg cities,30 to 44,40 to 49,Republican,40 to 49,1.471,,Better,Unfavorable,Before that
22.0,15.0,38.0,Third call,40-44,White,Female,Reilly,Harschbarger,Approve,Disapprove,Neither,Good,Harshbarger,No,No,Yes,Worse,Clinton,Yes,Democrat,Some college,Protestant,15 to 30K,Liberal,18 to 64,Yes,State,Complete,Other lrg cities,30 to 44,40 to 49,Democrat,40 to 49,0.976,Environment,Worse,Favorable,Before that
22.0,15.0,39.0,Third call,30-39,White,Male,Bailey,Cellucci,Disapprove,Approve,Oppose Clinton,Poor,Cellucci,Yes,Yes,Yes,Same,Perot,Yes,Republican,Some college,Catholic,50 to 75K,Moderate,18 to 64,No,State,Complete,Other lrg cities,30 to 44,30 to 39,Republican,30 to 39,1.421,Environment,Worse,Unfavorable,Last month
22.0,15.0,40.0,Third call,45-49,White,Male,Reilly,Harschbarger,Approve,Disapprove,Neither,Not so good,Harshbarger,No,No,No,Same,Clinton,No,Independent,College grad,Catholic,30 to 50K,Liberal,18 to 64,No,State,Complete,Other lrg cities,45 to 59,40 to 49,Independent/Other,40 to 49,0.943,Economy/jobs,Same,Favorable,Last month
22.0,15.0,41.0,Third call,40-44,White,Female,Reilly,Harschbarger,Approve,Disapprove,Neither,Good,Harshbarger,No,No,No,Better,Did not vote,Yes,Democrat,College grad,Protestant,100K or more,Conservative,18 to 64,No,State,Complete,Other lrg cities,30 to 44,40 to 49,Democrat,40 to 49,0.976,Education,Better,Favorable,Before that
22.0,15.0,42.0,Third call,30-39,White,Female,Reilly,Harschbarger,Approve,Disapprove,Support Clinton,Good,Harshbarger,No,No,No,Same,Clinton,Yes,Independent,Postgrad,Catholic,75 to 100K,Moderate,18 to 64,Yes,State,Complete,Other lrg cities,30 to 44,30 to 39,Independent/Other,30 to 39,0.976,Education,Same,Unfavorable,Before that
22.0,15.0,43.0,Third call,50-59,White,Female,Reilly,Harschbarger,Approve,Disapprove,Neither,Good,Harshbarger,No,No,Yes,Better,Clinton,Yes,Independent,College grad,Catholic,50 to 75K,Conservative,18 to 64,No,State,Complete,Other lrg cities,45 to 59,50 to 59,Independent/Other,50 to 64,0.976,Ethic/moral,Better,Favorable,Last month
22.0,15.0,44.0,Third call,60-64,White,Female,Reilly,Cellucci,Disapprove,Disapprove,Oppose Clinton,Excellent,Cellucci,,,Yes,Same,Dole,No,Independent,Postgrad,Protestant,100K or more,Moderate,18 to 64,No,State,Complete,Other lrg cities,60 and over,60 and over,Independent/Other,50 to 64,1.804,,Better,Unfavorable,Last 3 days
22.0,15.0,45.0,Third call,30-39,White,Female,Bailey,Cellucci,Disapprove,Disapprove,Neither,Not so good,Cellucci,Yes,Yes,Yes,Better,Perot,,Independent,College grad,None,100K or more,Conservative,18 to 64,Yes,State,Complete,Other lrg cities,30 to 44,30 to 39,Independent/Other,30 to 39,1.471,,Better,Unfavorable,Last month
22.0,15.0,46.0,Third call,60-64,White,Male,Reilly,Harschbarger,Disapprove,Approve,Neither,Good,Harshbarger,No,Yes,Yes,Same,Clinton,No,Independent,Postgrad,Catholic,75 to 100K,Moderate,18 to 64,No,State,Complete,Other lrg cities,60 and over,60 and over,Independent/Other,50 to 64,1.068,Ethic/moral,Same,Unfavorable,Before that
22.0,15.0,47.0,Third call,50-59,White,Female,Reilly,Harschbarger,Approve,,Neither,Not so good,Harshbarger,No,No,Yes,Better,Clinton,Yes,Democrat,Some college,Catholic,30 to 50K,,18 to 64,No,State,Complete,Other lrg cities,45 to 59,50 to 59,Democrat,50 to 64,0.976,Economy/jobs,Better,Favorable,Last 3 days
22.0,15.0,48.0,Third call,30-39,White,Male,Reilly,Harschbarger,Approve,Disapprove,Neither,Excellent,Both,No,No,Yes,Better,Clinton,No,Republican,Postgrad,Protestant,100K or more,Conservative,18 to 64,No,State,Complete,Other lrg cities,30 to 44,30 to 39,Republican,30 to 39,0.943,Environment,Better,Unfavorable,Last month
22.0,15.0,49.0,Third call,65 and over,White,Male,,Cellucci,Disapprove,Approve,Oppose Clinton,Good,Cellucci,Yes,Yes,,Better,Dole,No,Independent,Postgrad,Protestant,30 to 50K,Moderate,65 and over,No,State,Complete,Other lrg cities,60 and over,60 and over,Independent/Other,65 and over,1.697,Economy/jobs,Worse,Unfavorable,Before that
22.0,15.0,50.0,Third call,50-59,White,Male,Reilly,Cellucci,,,,,Both,,,,,,No,,,Catholic,,,18 to 64,,State,Not complete,Other lrg cities,45 to 59,50 to 59,,50 to 64,1.538,Education,,,Last 3 days
22.0,15.0,51.0,Third call,45-49,White,Female,Reilly,Harschbarger,Approve,Disapprove,Support Clinton,Not so good,Neither,No,No,No,Better,Clinton,No,Democrat,Postgrad,Catholic,50 to 75K,Moderate,18 to 64,No,State,Complete,Other lrg cities,45 to 59,40 to 49,Democrat,40 to 49,0.976,Environment,Same,Favorable,Last 3 days
22.0,15.0,52.0,Third call,40-44,White,Female,,Harschbarger,Approve,Disapprove,Neither,Good,,No,No,No,Same,Clinton,,Independent,HS grad,None,50 to 75K,Conservative,18 to 64,No,State,Complete,Other lrg cities,30 to 44,40 to 49,Independent/Other,40 to 49,0.9500000000000001,,Same,,Last 3 days
22.0,15.0,53.0,Third call,30-39,White,Male,,Cellucci,,Disapprove,Neither,Good,,No,No,No,Better,Clinton,,Independent,College grad,Something else,,Moderate,18 to 64,No,State,Complete,Other lrg cities,30 to 44,30 to 39,Independent/Other,30 to 39,1.498,Health care,Better,Unfavorable,Before that
22.0,15.0,54.0,Third call,30-39,White,Male,Reilly,Harschbarger,Approve,Disapprove,Neither,Not so good,Neither,No,No,Yes,Better,Perot,No,Independent,Some college,,30 to 50K,Liberal,18 to 64,No,State,Complete,Other lrg cities,30 to 44,30 to 39,Independent/Other,30 to 39,0.943,State taxes,Better,Favorable,Last week
22.0,15.0,55.0,Third call,65 and over,White,Male,Bailey,Cellucci,Disapprove,Approve,Neither,Good,Both,Yes,Yes,Yes,Worse,Dole,No,Republican,Postgrad,Protestant,100K or more,Conservative,65 and over,No,State,Complete,Other lrg cities,60 and over,60 and over,Republican,65 and over,1.609,Economy/jobs,Same,Unfavorable,Last month
22.0,15.0,56.0,Third call,30-39,White,Male,Reilly,Cellucci,Approve,,Neither,Good,,No,No,No,Better,Clinton,Yes,Democrat,,Catholic,30 to 50K,Moderate,18 to 64,Yes,State,Complete,Other lrg cities,30 to 44,30 to 39,Democrat,30 to 39,1.538,Economy/jobs,Better,Favorable,Last month
22.0,19.0,1.0,First call,60-64,White,Male,Reilly,Harschbarger,Disapprove,Disapprove,Neither,Good,Harshbarger,Yes,Yes,Yes,Same,Dole,No,Democrat,Postgrad,Catholic,75 to 100K,Moderate,18 to 64,Yes,State,Complete,Shores/Cape Cod,60 and over,60 and over,Democrat,50 to 64,1.3860000000000001,Ethic/moral,Better,Unfavorable,Last 3 days
22.0,19.0,2.0,First call,50-59,White,Male,Reilly,Harschbarger,Approve,Disapprove,Support Clinton,Good,Both,No,No,No,Same,Clinton,Yes,Independent,Postgrad,Protestant,75 to 100K,Moderate,18 to 64,No,State,Complete,Shores/Cape Cod,45 to 59,50 to 59,Independent/Other,50 to 64,1.209,Ethic/moral,Same,,Last week
22.0,19.0,3.0,First call,50-59,White,Female,Reilly,Harschbarger,Approve,Disapprove,Neither,Not so good,Neither,No,No,Yes,Same,Clinton,No,Democrat,Postgrad,Jewish,75 to 100K,Liberal,18 to 64,No,State,Complete,Shores/Cape Cod,45 to 59,50 to 59,Democrat,50 to 64,1.06,,Worse,Unfavorable,Before that
22.0,19.0,4.0,First call,30-39,White,Female,Bailey,Cellucci,Disapprove,Approve,Oppose Clinton,Good,Cellucci,Yes,Yes,No,Better,Dole,No,Republican,Postgrad,Catholic,100K or more,Moderate,18 to 64,No,State,Complete,Shores/Cape Cod,30 to 44,30 to 39,Republican,30 to 39,1.145,Ethic/moral,Worse,Unfavorable,Last month
22.0,19.0,5.0,First call,50-59,White,Male,Reilly,Cellucci,Disapprove,Disapprove,Neither,Good,Both,No,Yes,Yes,Better,Dole,No,Republican,Postgrad,Protestant,,Moderate,18 to 64,No,State,Complete,Shores/Cape Cod,45 to 59,50 to 59,Republican,50 to 64,1.413,Crime/drugs,Same,Unfavorable,Before that
22.0,19.0,6.0,First call,65 and over,White,Female,Bailey,Harschbarger,Disapprove,Disapprove,Oppose Clinton,Not so good,Harshbarger,Yes,Yes,Yes,Better,Dole,No,Republican,Postgrad,Protestant,30 to 50K,Conservative,65 and over,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Republican,65 and over,1.124,Education,Same,Unfavorable,Last month
22.0,19.0,7.0,First call,60-64,White,Female,Reilly,Harschbarger,Approve,Disapprove,Support Clinton,Excellent,Harshbarger,No,No,No,Better,Clinton,Yes,Independent,Postgrad,None,100K or more,Liberal,18 to 64,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Independent/Other,50 to 64,1.216,Ethic/moral,Worse,Favorable,Last month
22.0,19.0,8.0,First call,65 and over,White,Male,Bailey,Harschbarger,Approve,Disapprove,Neither,Good,Harshbarger,No,No,No,Same,Clinton,No,Democrat,Postgrad,Something else,100K or more,Moderate,65 and over,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Democrat,65 and over,1.281,Ethic/moral,Same,Favorable,Last month
22.0,19.0,9.0,First call,40-44,White,Male,Reilly,Harschbarger,Approve,Disapprove,Support Clinton,Not so good,Harshbarger,No,No,No,Better,Did not vote,Yes,Independent,College grad,None,30 to 50K,Liberal,18 to 64,No,State,Complete,Shores/Cape Cod,30 to 44,40 to 49,Independent/Other,40 to 49,1.209,Environment,Worse,Favorable,Before that
22.0,19.0,10.0,First call,50-59,White,Male,Bailey,Cellucci,Disapprove,Approve,Oppose Clinton,Good,Cellucci,Yes,Yes,Yes,Same,Clinton,No,Independent,Postgrad,None,100K or more,Moderate,18 to 64,No,State,Complete,Shores/Cape Cod,45 to 59,50 to 59,Independent/Other,50 to 64,1.306,Ethic/moral,Worse,Unfavorable,Before that
22.0,19.0,11.0,First call,65 and over,White,Female,Reilly,Harschbarger,Approve,Disapprove,Support Clinton,Not so good,Both,No,,Yes,Same,Clinton,Yes,Democrat,Postgrad,Protestant,30 to 50K,Liberal,65 and over,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Democrat,65 and over,1.216,Ethic/moral,Worse,,Before that
22.0,19.0,12.0,First call,30-39,White,Male,Bailey,Cellucci,Disapprove,Approve,Oppose Clinton,Good,Both,Yes,Yes,No,Worse,Dole,No,Independent,College grad,Protestant,50 to 75K,Moderate,18 to 64,No,State,Complete,Shores/Cape Cod,30 to 44,30 to 39,Independent/Other,30 to 39,1.306,Economy/jobs,Worse,Unfavorable,Last month
22.0,19.0,13.0,Second call,50-59,White,Male,Reilly,Cellucci,Approve,Disapprove,Neither,Good,Both,No,No,No,Same,Clinton,No,Independent,Some college,Catholic,75 to 100K,Moderate,18 to 64,No,State,Complete,Shores/Cape Cod,45 to 59,50 to 59,Independent/Other,50 to 64,1.413,Ethic/moral,Worse,Unfavorable,Last 3 days
22.0,19.0,14.0,Second call,50-59,White,Female,Reilly,Cellucci,Approve,Approve,Neither,Good,Both,No,No,Yes,Worse,Dole,No,Independent,College grad,Protestant,30 to 50K,Moderate,18 to 64,No,State,Complete,Shores/Cape Cod,45 to 59,50 to 59,Independent/Other,50 to 64,1.24,Crime/drugs,Better,Unfavorable,Before that
