State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Vote,Clinton Approval,Congress Approval,State lottery,Beasley: Personal life,Reason for Cong Vote,Religious Right,Hollings: Too long?,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),Video Poker,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 implied dec,Senate issues,Governor issues,Clinton as person
41.0,21.0,34.0,Third call,30-39,White,Female,Hollings,Beasley,Disapprove,Approve,Oppose,Not a factor,Neither,No,No,Yes,Yes,Yes,Same,Did not vote,Democrat,Postgrad,15 to 30K,Conservative,18 to 64,Oppose,State,Complete,Rural,30 to 44,30 to 39,Democrat,30 to 39,1.388,Foreign Policy,Education,Unfavorable
41.0,24.0,1.0,First call,60-64,Black,Male,Inglis,Hodges,Approve,Approve,Favor,Not a factor,Support Clinton,No,Yes,No,No,No,Same,Clinton,Democrat,No HS,15 to 30K,Moderate,18 to 64,Favor,State,Complete,Rural,60 and over,60 and over,Democrat,50 to 64,0.40800000000000003,Social Security,Economy/jobs,Favorable
41.0,24.0,2.0,First call,30-39,White,Male,Hollings,Hodges,Approve,Approve,Favor,Not a factor,Neither,No,No,No,No,No,Better,Clinton,Democrat,Some college,30 to 50K,Conservative,18 to 64,Favor,State,Complete,Rural,30 to 44,30 to 39,Democrat,30 to 39,0.307,Economy/jobs,Education,Favorable
41.0,24.0,3.0,First call,30-39,White,Female,Inglis,Beasley,Disapprove,Approve,Favor,Not a factor,Neither,No,Yes,No,Yes,Yes,Better,Clinton,Democrat,HS grad,30 to 50K,Liberal,18 to 64,Favor,State,Complete,Rural,30 to 44,30 to 39,Democrat,30 to 39,0.27499999999999997,Health Care,Gambling,Unfavorable
41.0,24.0,4.0,First call,65 and over,White,Female,Hollings,Hodges,,,,,,,No,,,,,,,,,,65 and over,,State,Not complete,Rural,60 and over,60 and over,,65 and over,0.369,Social Security,Intl trade,
41.0,24.0,5.0,First call,65 and over,White,Male,Hollings,Beasley,Approve,Disapprove,Favor,Not a factor,Neither,No,No,No,Yes,No,Same,Perot,Democrat,Postgrad,50 to 75K,Moderate,65 and over,Oppose,State,Complete,Rural,60 and over,60 and over,Democrat,65 and over,0.367,Taxes,Education,Unfavorable
41.0,24.0,6.0,First call,45-49,Black,Female,Hollings,Hodges,Approve,Approve,Oppose,Not a factor,Support Clinton,Yes,Yes,No,No,No,Worse,Clinton,Democrat,Some college,Under 15K,Moderate,18 to 64,Oppose,State,Complete,Rural,45 to 59,40 to 49,Democrat,40 to 49,0.367,Economy/jobs,Gambling,Favorable
41.0,24.0,7.0,First call,45-49,Black,Female,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Neither,Yes,No,No,No,Yes,Better,Clinton,Democrat,HS grad,15 to 30K,Liberal,18 to 64,Oppose,State,Complete,Rural,45 to 59,40 to 49,Democrat,40 to 49,0.367,Social Security,Education,Favorable
41.0,24.0,8.0,First call,45-49,Black,Male,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Neither,Yes,Yes,No,No,No,Better,Clinton,Democrat,HS grad,30 to 50K,Liberal,18 to 64,Favor,State,Complete,Rural,45 to 59,40 to 49,Democrat,40 to 49,0.37,Social Security,Economy/jobs,Favorable
41.0,24.0,9.0,First call,40-44,Black,Female,Inglis,Beasley,Approve,Approve,Favor,Not a factor,Neither,No,Yes,No,No,No,Same,Clinton,Democrat,HS grad,Under 15K,Moderate,18 to 64,Favor,State,Complete,Rural,30 to 44,40 to 49,Democrat,40 to 49,0.33099999999999996,Health Care,Education,Favorable
41.0,24.0,10.0,Second call,30-39,White,Male,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Neither,Yes,No,No,No,No,Worse,Perot,Democrat,Postgrad,100K or more,Moderate,18 to 64,Favor,State,Complete,Rural,30 to 44,30 to 39,Democrat,30 to 39,0.307,,Economy/jobs,Unfavorable
41.0,24.0,11.0,Third call,50-59,White,Male,Inglis,Beasley,Disapprove,Disapprove,Oppose,One factor,Oppose Clinton,No,Yes,Yes,Yes,Yes,Same,Dole,Republican,HS grad,30 to 50K,Conservative,18 to 64,Oppose,State,Complete,Rural,45 to 59,50 to 59,Republican,50 to 64,0.277,Health Care,Gambling,Unfavorable
41.0,24.0,12.0,Third call,30-39,Black,Female,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Neither,No,No,No,No,No,Same,Clinton,Democrat,HS grad,,Moderate,18 to 64,Favor,State,Complete,Rural,30 to 44,30 to 39,Democrat,30 to 39,0.367,Social Security,Education,Favorable
41.0,24.0,13.0,Third call,65 and over,White,Male,Inglis,Beasley,Approve,Disapprove,Favor,One factor,Neither,No,Yes,No,No,Yes,Better,Dole,Republican,Some college,50 to 75K,Conservative,65 and over,Favor,State,Complete,Rural,60 and over,60 and over,Republican,65 and over,0.33499999999999996,Taxes,Moral/ethic,Unfavorable
41.0,24.0,14.0,Third call,45-49,Black,Female,Hollings,Hodges,Approve,Approve,Favor,Most important,Support Clinton,,Yes,Yes,No,No,Better,Clinton,Democrat,HS grad,75 to 100K,Liberal,18 to 64,Favor,State,Complete,Rural,45 to 59,40 to 49,Democrat,40 to 49,0.367,Social Security,State taxes,Favorable
41.0,24.0,15.0,Third call,40-44,Black,Female,Other,Other,Approve,Disapprove,Favor,Not a factor,Neither,Yes,Yes,No,No,No,Better,Clinton,Democrat,,30 to 50K,Liberal,18 to 64,Favor,State,Complete,Rural,30 to 44,40 to 49,Democrat,40 to 49,0.468,Education,Education,Favorable
41.0,24.0,16.0,Third call,25-29,Black,Female,Hollings,Hodges,Approve,,Favor,Most important,Support Clinton,No,,No,No,No,Same,Clinton,Democrat,Some college,Under 15K,,18 to 64,Favor,State,Complete,Rural,18 to 29,25 to 29,Democrat,25 to 29,0.386,,,Favorable
41.0,24.0,17.0,Third call,30-39,Black,Female,Hollings,Hodges,Disapprove,Disapprove,Favor,Not a factor,,Yes,No,Yes,No,,Better,,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Oppose,State,Complete,Rural,30 to 44,30 to 39,Democrat,30 to 39,0.367,Economy/jobs,Education,Unfavorable
41.0,24.0,18.0,Third call,,Black,,Hollings,Hodges,,,Oppose,,Support Clinton,,No,Yes,,,,Clinton,Democrat,,,,,Oppose,State,Complete,Rural,,,Democrat,,0.37,,,
41.0,24.0,19.0,Third call,40-44,Black,Female,,Hodges,Approve,Disapprove,Favor,Not a factor,Neither,Yes,Yes,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Conservative,18 to 64,Favor,State,Complete,Rural,30 to 44,40 to 49,Democrat,40 to 49,0.357,Health Care,Education,Favorable
41.0,24.0,20.0,Third call,30-39,Black,Female,Hollings,Hodges,Approve,Approve,Favor,Not a factor,Support Clinton,No,,No,No,,Same,Clinton,Democrat,,15 to 30K,Liberal,18 to 64,Favor,State,Complete,Rural,30 to 44,30 to 39,Democrat,30 to 39,0.367,,Education,Favorable
41.0,24.0,21.0,Third call,30-39,Black,Female,Hollings,Hodges,Approve,Approve,Favor,Not a factor,Neither,Yes,No,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Favor,State,Complete,Rural,30 to 44,30 to 39,Democrat,30 to 39,0.367,Education,Gambling,Favorable
41.0,24.0,22.0,Third call,30-39,Black,Male,Hollings,Hodges,Approve,Approve,Favor,Not a factor,Neither,Yes,No,No,No,Yes,Same,Clinton,Democrat,HS grad,15 to 30K,Liberal,18 to 64,Favor,State,Complete,Rural,30 to 44,30 to 39,Democrat,30 to 39,0.37,Education,Gambling,Favorable
41.0,24.0,23.0,Third call,65 and over,Black,Female,Hollings,Hodges,Approve,,Favor,One factor,Support Clinton,,Yes,No,No,Yes,Better,Clinton,Democrat,HS grad,Under 15K,,65 and over,Favor,State,Complete,Rural,60 and over,60 and over,Democrat,65 and over,0.443,,Gambling,Favorable
41.0,24.0,24.0,Third call,18-24,Black,Female,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Support Clinton,Yes,No,No,No,No,Better,Clinton,Democrat,College grad,15 to 30K,Moderate,18 to 64,Oppose,State,Complete,Rural,18 to 29,18 to 24,Democrat,18 to 24,0.386,Education,Education,Favorable
41.0,24.0,25.0,Third call,18-24,Black,Female,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Support Clinton,No,No,No,No,No,Same,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Favor,State,Complete,Rural,18 to 29,18 to 24,Democrat,18 to 24,0.386,Education,Economy/jobs,Favorable
41.0,24.0,26.0,Third call,40-44,Black,Female,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Neither,No,,No,No,No,Same,Clinton,Democrat,HS grad,15 to 30K,,18 to 64,Favor,State,Complete,Rural,30 to 44,40 to 49,Democrat,40 to 49,0.367,,,Favorable
41.0,24.0,27.0,Third call,30-39,Black,Male,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Neither,No,No,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Favor,State,Complete,Rural,30 to 44,30 to 39,Democrat,30 to 39,0.37,,Education,Favorable
41.0,24.0,28.0,Third call,40-44,Black,Male,Hollings,Hodges,Approve,Approve,Favor,One factor,Support Clinton,No,No,No,Yes,No,Better,Clinton,Democrat,No HS,15 to 30K,Conservative,18 to 64,Favor,State,Complete,Rural,30 to 44,40 to 49,Democrat,40 to 49,0.37,Social Security,Confederate flag,Favorable
41.0,24.0,29.0,Third call,50-59,Black,Female,Hollings,Hodges,Approve,Approve,,Not a factor,Support Clinton,No,No,No,No,Yes,Better,Clinton,Democrat,No HS,15 to 30K,Moderate,18 to 64,,State,Complete,Rural,45 to 59,50 to 59,Democrat,50 to 64,0.367,,,Favorable
41.0,24.0,30.0,Third call,45-49,Black,,Hollings,Hodges,Approve,Approve,Favor,Not a factor,,Yes,No,No,No,Yes,Same,Clinton,Democrat,No HS,15 to 30K,Moderate,18 to 64,Favor,State,Complete,Rural,45 to 59,40 to 49,Democrat,40 to 49,0.367,Clin/Lwnsky,Education,Favorable
41.0,24.0,31.0,Third call,40-44,Black,Female,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Neither,No,Yes,No,No,No,Better,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,Favor,State,Complete,Rural,30 to 44,40 to 49,Democrat,40 to 49,0.367,Education,Education,Favorable
41.0,24.0,32.0,Third call,30-39,Black,Female,Hollings,Hodges,Approve,Disapprove,Favor,One factor,Neither,Yes,No,No,No,No,Better,Clinton,Democrat,HS grad,50 to 75K,Moderate,18 to 64,Favor,State,Complete,Rural,30 to 44,30 to 39,Democrat,30 to 39,0.367,Health Care,Gambling,Favorable
41.0,24.0,33.0,Third call,30-39,Black,Female,Hollings,Hodges,Approve,Approve,,Not a factor,Neither,Yes,No,No,No,No,Same,Clinton,Democrat,HS grad,Under 15K,Conservative,18 to 64,Favor,State,Complete,Rural,30 to 44,30 to 39,Democrat,30 to 39,0.367,,Education,Unfavorable
41.0,24.0,34.0,Third call,25-29,Black,Female,Hollings,Hodges,Approve,Disapprove,Favor,One factor,Support Clinton,Yes,No,No,No,Yes,Better,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Favor,State,Complete,Rural,18 to 29,25 to 29,Democrat,25 to 29,0.386,Foreign Policy,Economy/jobs,Favorable
41.0,24.0,35.0,Third call,45-49,,Male,Hollings,Hodges,,,,,,,No,,,,,,,,,,18 to 64,,State,Not complete,Rural,45 to 59,40 to 49,,40 to 49,0.307,Social Security,,
41.0,24.0,36.0,Third call,18-24,Black,Female,Hollings,Hodges,Approve,Approve,Favor,One factor,Support Clinton,Yes,No,No,No,No,Better,Did not vote,Democrat,HS grad,Under 15K,Conservative,18 to 64,Favor,State,Complete,Rural,18 to 29,18 to 24,Democrat,18 to 24,0.386,,Education,Favorable
41.0,27.0,1.0,First call,30-39,White,Female,Inglis,Other,Disapprove,Disapprove,Oppose,,,Yes,,,,,Same,Dole,Republican,Postgrad,,Conservative,18 to 64,Oppose,State,Complete,High Republican,30 to 44,30 to 39,Republican,30 to 39,1.294,,,Unfavorable
41.0,27.0,2.0,First call,60-64,White,Male,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Support Clinton,No,No,No,No,Yes,Worse,Clinton,Independent,College grad,15 to 30K,Moderate,18 to 64,Oppose,State,Complete,High Republican,60 and over,60 and over,Independent/Other,50 to 64,2.045,Social Security,State taxes,Unfavorable
41.0,27.0,3.0,First call,30-39,Black,Female,Hollings,Hodges,Approve,Disapprove,,Not a factor,Neither,No,Yes,No,No,No,Better,Clinton,Democrat,HS grad,30 to 50K,Moderate,18 to 64,Oppose,State,Complete,High Republican,30 to 44,30 to 39,Democrat,30 to 39,1.532,Social Security,Education,Favorable
41.0,27.0,4.0,First call,30-39,Black,Female,Other,Other,Approve,Disapprove,Favor,Not a factor,Support Clinton,Yes,No,No,No,No,Better,Clinton,Republican,HS grad,Under 15K,Liberal,18 to 64,Favor,State,Complete,High Republican,30 to 44,30 to 39,Republican,30 to 39,1.943,Social Security,Intl trade,Favorable
41.0,27.0,5.0,First call,40-44,White,Female,Inglis,Beasley,Disapprove,Disapprove,Favor,Not a factor,Neither,No,Yes,Yes,Yes,Yes,Better,Dole,Republican,Some college,50 to 75K,Conservative,18 to 64,Oppose,State,Complete,High Republican,30 to 44,40 to 49,Republican,40 to 49,1.294,Education,State taxes,Unfavorable
41.0,27.0,6.0,First call,30-39,White,Female,Hollings,Beasley,Approve,Disapprove,Oppose,One factor,Neither,No,No,No,No,No,Same,Dole,Independent,Postgrad,50 to 75K,Conservative,18 to 64,Oppose,State,Complete,High Republican,30 to 44,30 to 39,Independent/Other,30 to 39,1.3860000000000001,Education,Moral/ethic,Unfavorable
41.0,27.0,7.0,First call,50-59,White,Female,Inglis,Beasley,Disapprove,Disapprove,Oppose,One factor,,Yes,No,,,,,Clinton,Something else,No HS,,,18 to 64,Oppose,State,Complete,High Republican,45 to 59,50 to 59,Independent/Other,50 to 64,1.294,,,Unfavorable
41.0,27.0,8.0,First call,30-39,White,Female,Inglis,Hodges,,,Favor,Not a factor,Neither,No,Yes,,,,Worse,Did not vote,,HS grad,50 to 75K,,18 to 64,Favor,State,Complete,High Republican,30 to 44,30 to 39,,30 to 39,1.312,Education,Gambling,
41.0,27.0,9.0,Second call,65 and over,White,Male,Inglis,Beasley,Approve,Disapprove,Oppose,One factor,Neither,No,Yes,No,Yes,No,Same,Dole,Independent,Postgrad,50 to 75K,Conservative,65 and over,Oppose,State,Complete,High Republican,60 and over,60 and over,Independent/Other,65 and over,1.885,Taxes,Gambling,Unfavorable
41.0,27.0,10.0,Second call,60-64,White,Female,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Neither,No,No,No,No,Yes,Better,Clinton,Democrat,Some college,50 to 75K,Liberal,18 to 64,Oppose,State,Complete,High Republican,60 and over,60 and over,Democrat,50 to 64,2.038,,,Favorable
41.0,27.0,11.0,Second call,60-64,Black,Male,Hollings,Hodges,Approve,Approve,Favor,,Neither,No,No,No,No,No,Same,Clinton,Democrat,No HS,15 to 30K,Liberal,18 to 64,Oppose,State,Complete,High Republican,60 and over,60 and over,Democrat,50 to 64,2.231,Social Security,Education,Favorable
41.0,27.0,12.0,Second call,65 and over,White,Female,Hollings,Hodges,Disapprove,Disapprove,Favor,,,Yes,,No,No,,,,Democrat,,,,65 and over,Favor,State,Complete,High Republican,60 and over,60 and over,Democrat,65 and over,2.038,Social Security,State taxes,Favorable
41.0,27.0,13.0,Second call,40-44,White,Male,Hollings,Hodges,Disapprove,Approve,Favor,Not a factor,Neither,No,No,Yes,Yes,Yes,Same,Dole,Something else,Some college,75 to 100K,Moderate,18 to 64,Favor,State,Complete,High Republican,30 to 44,40 to 49,Independent/Other,40 to 49,1.408,Economy/jobs,Gambling,Unfavorable
41.0,27.0,14.0,Second call,60-64,White,Male,Inglis,Hodges,Disapprove,Disapprove,Favor,One factor,Oppose Clinton,No,Yes,Yes,Yes,Yes,Same,Dole,Republican,HS grad,Under 15K,Conservative,18 to 64,Favor,State,Complete,High Republican,60 and over,60 and over,Republican,50 to 64,1.9100000000000001,,,Unfavorable
41.0,27.0,15.0,Third call,18-24,White,Female,Other,Moultrie,Approve,Disapprove,Favor,Not a factor,Neither,No,No,No,Yes,No,Better,Dole,Something else,Some college,50 to 75K,Moderate,18 to 64,Favor,State,Complete,High Republican,18 to 29,18 to 24,Independent/Other,18 to 24,1.242,,,Unfavorable
41.0,27.0,16.0,Third call,65 and over,White,Female,Inglis,Beasley,Disapprove,Disapprove,Favor,One factor,Neither,Yes,,Yes,Yes,Yes,Same,Clinton,Republican,HS grad,Under 15K,Moderate,65 and over,Oppose,State,Complete,High Republican,60 and over,60 and over,Republican,65 and over,1.879,Social Security,Moral/ethic,Unfavorable
41.0,27.0,17.0,Third call,25-29,Black,Female,Other,Hodges,,,,Not a factor,,,No,,,,,,,,,,18 to 64,,State,Not complete,High Republican,18 to 29,25 to 29,,25 to 29,2.056,,,
41.0,27.0,18.0,Third call,50-59,White,Female,Hollings,Hodges,Approve,Approve,Favor,Not a factor,Neither,No,No,Yes,Yes,No,Worse,Clinton,Republican,Some college,30 to 50K,Moderate,18 to 64,Oppose,State,Complete,High Republican,45 to 59,50 to 59,Republican,50 to 64,1.404,Education,Education,Unfavorable
41.0,27.0,19.0,Third call,25-29,White,Female,Inglis,Hodges,Disapprove,Approve,Favor,Not a factor,Neither,No,No,No,Yes,No,Same,Dole,Republican,,15 to 30K,Liberal,18 to 64,Favor,State,Complete,High Republican,18 to 29,25 to 29,Republican,25 to 29,1.37,Education,Education,Favorable
41.0,27.0,20.0,Third call,45-49,White,Female,Inglis,Beasley,Disapprove,Disapprove,Favor,Not a factor,Neither,No,Yes,Yes,Yes,Yes,Better,Dole,Republican,College grad,30 to 50K,Moderate,18 to 64,Oppose,State,Complete,High Republican,45 to 59,40 to 49,Republican,40 to 49,1.294,Taxes,State taxes,Unfavorable
41.0,27.0,21.0,Third call,40-44,White,Male,Hollings,Beasley,Disapprove,Approve,Oppose,Not a factor,Neither,No,Yes,No,No,Yes,Better,Dole,Republican,HS grad,50 to 75K,Conservative,18 to 64,Oppose,State,Complete,High Republican,30 to 44,40 to 49,Republican,40 to 49,1.39,Education,Education,Unfavorable
41.0,27.0,22.0,Third call,18-24,Black,Female,Hollings,Hodges,Disapprove,Approve,Favor,Not a factor,Neither,Yes,No,Yes,Yes,No,Better,Did not vote,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Favor,State,Complete,High Republican,18 to 29,18 to 24,Democrat,18 to 24,1.6,Education,Education,Unfavorable
41.0,27.0,23.0,Third call,50-59,White,Female,Inglis,Other,Disapprove,Disapprove,Favor,Not a factor,Neither,No,Yes,Yes,Yes,Yes,Same,Dole,Independent,Postgrad,50 to 75K,Moderate,18 to 64,,State,Complete,High Republican,45 to 59,50 to 59,Independent/Other,50 to 64,1.294,Education,Education,Unfavorable
41.0,27.0,24.0,Third call,45-49,White,Male,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Neither,No,Yes,No,No,No,Better,Clinton,Democrat,Postgrad,75 to 100K,Moderate,18 to 64,Oppose,State,Complete,High Republican,45 to 59,40 to 49,Democrat,40 to 49,1.408,,,Favorable
41.0,27.0,25.0,Third call,50-59,White,Female,Inglis,Beasley,Disapprove,Approve,Oppose,Not a factor,Neither,Yes,Yes,Yes,Yes,,Same,Dole,Republican,HS grad,,Conservative,18 to 64,Oppose,State,Complete,High Republican,45 to 59,50 to 59,Republican,50 to 64,1.294,Social Security,,Unfavorable
41.0,27.0,26.0,Third call,30-39,Black,Male,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Support Clinton,No,No,No,No,No,Better,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,Favor,State,Complete,High Republican,30 to 44,30 to 39,Democrat,30 to 39,1.537,Education,Education,Favorable
41.0,30.0,1.0,First call,25-29,Black,Female,Hollings,Hodges,Disapprove,Disapprove,Favor,Most important,Support Clinton,Yes,Yes,No,No,No,Better,Did not vote,Democrat,Some college,30 to 50K,Liberal,18 to 64,Favor,State,Complete,Swing counties,18 to 29,25 to 29,Democrat,25 to 29,1.094,Education,Economy/jobs,Favorable
41.0,30.0,2.0,First call,45-49,White,Female,Inglis,Beasley,Disapprove,Disapprove,Oppose,One factor,Oppose Clinton,Yes,Yes,Yes,Yes,Yes,Better,Dole,Republican,College grad,75 to 100K,Conservative,18 to 64,Oppose,State,Complete,Swing counties,45 to 59,40 to 49,Republican,40 to 49,1.042,Clin/Lwnsky,Gambling,Unfavorable
41.0,30.0,3.0,First call,30-39,Black,Female,Hollings,Hodges,Approve,Disapprove,Favor,One factor,Support Clinton,No,No,No,No,No,Better,Clinton,Democrat,College grad,15 to 30K,Liberal,18 to 64,Favor,State,Complete,Swing counties,30 to 44,30 to 39,Democrat,30 to 39,1.076,Education,Education,Favorable
41.0,30.0,4.0,First call,30-39,White,Male,Hollings,Beasley,Disapprove,Approve,Oppose,Not a factor,Neither,No,No,Yes,Yes,Yes,Same,Did not vote,Republican,HS grad,,Moderate,18 to 64,Oppose,State,Complete,Swing counties,30 to 44,30 to 39,Republican,30 to 39,1.205,Economy/jobs,,Unfavorable
41.0,30.0,5.0,First call,50-59,White,Female,Hollings,Beasley,Disapprove,Approve,Oppose,One factor,Neither,No,No,,,Yes,Same,Dole,Republican,HS grad,50 to 75K,Moderate,18 to 64,Oppose,State,Complete,Swing counties,45 to 59,50 to 59,Republican,50 to 64,1.171,Social Security,Moral/ethic,Unfavorable
41.0,30.0,6.0,First call,45-49,White,Female,Inglis,Hodges,Disapprove,Disapprove,Favor,Not a factor,Oppose Clinton,No,Yes,,Yes,Yes,Same,Dole,Republican,Some college,,Moderate,18 to 64,Favor,State,Complete,Swing counties,45 to 59,40 to 49,Republican,40 to 49,1.055,Taxes,State taxes,Unfavorable
41.0,30.0,7.0,First call,65 and over,Black,,Hollings,Hodges,Approve,Approve,Favor,,Support Clinton,No,No,No,No,No,Worse,Clinton,Democrat,HS grad,15 to 30K,Moderate,65 and over,Favor,State,Complete,Swing counties,60 and over,60 and over,Democrat,65 and over,1.509,Health Care,Education,Favorable
41.0,30.0,8.0,Second call,25-29,Black,Female,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Support Clinton,,Yes,No,No,No,Better,Clinton,Democrat,College grad,15 to 30K,Liberal,18 to 64,Favor,State,Complete,Swing counties,18 to 29,25 to 29,Democrat,25 to 29,1.094,Education,Education,Favorable
41.0,30.0,9.0,Second call,65 and over,White,Female,Hollings,Hodges,Approve,Approve,Favor,One factor,Support Clinton,Yes,,No,No,No,Better,Did not vote,Democrat,HS grad,15 to 30K,Moderate,65 and over,,State,Complete,Swing counties,60 and over,60 and over,Democrat,65 and over,1.6189999999999998,,,Favorable
41.0,30.0,10.0,Second call,40-44,White,Female,Hollings,Beasley,Disapprove,Approve,Favor,Not a factor,Oppose Clinton,No,No,Yes,Yes,No,Better,Dole,Republican,College grad,30 to 50K,Conservative,18 to 64,Oppose,State,Complete,Swing counties,30 to 44,40 to 49,Republican,40 to 49,1.171,Taxes,Moral/ethic,Unfavorable
41.0,30.0,11.0,Second call,30-39,Black,Female,Hollings,Hodges,Approve,Disapprove,Oppose,Not a factor,Neither,Yes,No,No,No,No,Better,Clinton,Democrat,Some college,15 to 30K,Liberal,18 to 64,Oppose,State,Complete,Swing counties,30 to 44,30 to 39,Democrat,30 to 39,1.076,Economy/jobs,Economy/jobs,Favorable
41.0,30.0,12.0,Second call,40-44,Black,Male,Hollings,Beasley,Approve,Disapprove,Favor,Not a factor,Support Clinton,Yes,Yes,No,No,No,Same,Clinton,Democrat,College grad,30 to 50K,Moderate,18 to 64,Oppose,State,Complete,Swing counties,30 to 44,40 to 49,Democrat,40 to 49,1.092,Education,Economy/jobs,Favorable
41.0,30.0,13.0,Second call,45-49,Black,Male,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Neither,Yes,Yes,No,No,No,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,Oppose,State,Complete,Swing counties,45 to 59,40 to 49,Democrat,40 to 49,1.106,Taxes,Moral/ethic,Favorable
41.0,30.0,14.0,Second call,25-29,White,Female,Inglis,Beasley,Disapprove,Disapprove,Oppose,Not a factor,Oppose Clinton,Yes,Yes,Yes,Yes,No,Better,Perot,Republican,College grad,100K or more,Moderate,18 to 64,Favor,State,Complete,Swing counties,18 to 29,25 to 29,Republican,25 to 29,1.059,Taxes,,Unfavorable
41.0,30.0,15.0,Second call,50-59,White,Male,Inglis,Beasley,Disapprove,Disapprove,Oppose,Not a factor,Oppose Clinton,Yes,Yes,Yes,Yes,,Same,Dole,Independent,College grad,75 to 100K,Conservative,18 to 64,Oppose,State,Complete,Swing counties,45 to 59,50 to 59,Independent/Other,50 to 64,1.071,Taxes,Gambling,Unfavorable
41.0,30.0,16.0,Third call,45-49,Black,Female,Inglis,Hodges,Disapprove,Disapprove,Oppose,Most important,Oppose Clinton,Yes,Yes,Yes,Yes,No,Better,Clinton,Democrat,HS grad,Under 15K,Conservative,18 to 64,Oppose,State,Complete,Swing counties,45 to 59,40 to 49,Democrat,40 to 49,0.955,Economy/jobs,Economy/jobs,Favorable
41.0,30.0,17.0,Third call,40-44,Black,Female,Hollings,Hodges,Approve,Disapprove,Oppose,Not a factor,Neither,No,No,No,No,No,Same,Clinton,Democrat,College grad,15 to 30K,Moderate,18 to 64,Oppose,State,Complete,Swing counties,30 to 44,40 to 49,Democrat,40 to 49,1.076,Economy/jobs,Moral/ethic,Favorable
41.0,30.0,18.0,Third call,45-49,White,Female,Inglis,Hodges,Approve,Disapprove,Favor,One factor,Neither,Yes,Yes,No,No,No,Same,Other,Something else,HS grad,Under 15K,Moderate,18 to 64,Favor,State,Complete,Swing counties,45 to 59,40 to 49,Independent/Other,40 to 49,1.055,Economy/jobs,Moral/ethic,Favorable
41.0,30.0,19.0,Third call,30-39,White,Female,Hollings,Beasley,Approve,Disapprove,Favor,One factor,Neither,No,No,No,No,Yes,Better,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,Oppose,State,Complete,Swing counties,30 to 44,30 to 39,Republican,30 to 39,1.171,Health Care,Moral/ethic,Unfavorable
41.0,30.0,20.0,Third call,40-44,Black,Female,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Neither,No,No,No,No,No,Better,Clinton,Democrat,College grad,15 to 30K,Moderate,18 to 64,Oppose,State,Complete,Swing counties,30 to 44,40 to 49,Democrat,40 to 49,1.076,Education,Education,Unfavorable
41.0,30.0,21.0,Third call,30-39,Hispanic,Female,Inglis,,Approve,Disapprove,Favor,Not a factor,Neither,No,,No,No,No,Better,Clinton,Democrat,,,Moderate,18 to 64,,State,Complete,Swing counties,30 to 44,30 to 39,Democrat,30 to 39,0.9440000000000001,,,Favorable
41.0,30.0,22.0,Third call,40-44,Black,Female,Hollings,Beasley,Approve,Approve,Favor,Not a factor,Support Clinton,Yes,,No,No,No,Same,Other,Democrat,Some college,Under 15K,Moderate,18 to 64,Favor,State,Complete,Swing counties,30 to 44,40 to 49,Democrat,40 to 49,1.062,Economy/jobs,Economy/jobs,Favorable
41.0,30.0,23.0,Third call,30-39,Black,Female,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Neither,No,No,No,No,No,Better,Clinton,Independent,HS grad,15 to 30K,Liberal,18 to 64,Favor,State,Complete,Swing counties,30 to 44,30 to 39,Independent/Other,30 to 39,1.076,Education,Education,Favorable
