State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Governor Vote,Clinton Approval,Congress Approval,If only these cands,Reason for Cong Vote,State economy condition,Carry weapon easier?,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Taxes for stadiums,Party ID,Education,Income,Ideology,Age (65 and over),State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places),Governor issues,Future of st economy,Clinton as person
24.0,26.0,33.0,Third call,50-59,White,Female,Coleman,Approve,Approve,Humphrey,Support Clinton,Not so good,No,No,No,No,Same,Clinton,Oppose,Republican,,15 to 30K,Moderate,18 to 64,2.0,Complete,Dem areas,45 to 59,50 to 59,Republican,50 to 64,1.1280000000000001,State taxes,Better,Favorable
24.0,26.0,34.0,Third call,65 and over,White,Female,Humphrey,Approve,Disapprove,Humphrey,Support Clinton,Good,No,No,No,Yes,Same,Clinton,Oppose,Independent,Postgrad,15 to 30K,Moderate,65 and over,2.0,Complete,Dem areas,60 and over,60 and over,Independent/Other,65 and over,0.9520000000000001,Education,About the same,Favorable
24.0,26.0,35.0,Third call,30-39,White,Male,Ventura,Disapprove,Approve,Coleman,Neither,Good,Yes,Yes,Yes,Yes,Same,Dole,Oppose,Republican,HS grad,15 to 30K,Conservative,18 to 64,2.0,Complete,Dem areas,30 to 44,30 to 39,Republican,30 to 39,0.8380000000000001,State taxes,About the same,Unfavorable
24.0,26.0,36.0,Third call,30-39,White,Male,Other,Approve,Disapprove,Would not vote,Neither,Good,No,No,No,No,Worse,Clinton,Oppose,Independent,Some college,Under 15K,Moderate,18 to 64,2.0,Complete,Dem areas,30 to 44,30 to 39,Independent/Other,30 to 39,1.018,State taxes,Worse,Favorable
24.0,26.0,37.0,Third call,50-59,White,Female,Ventura,Approve,Disapprove,Coleman,Support Clinton,Not so good,No,No,No,No,Worse,Clinton,Oppose,Independent,HS grad,Under 15K,Conservative,18 to 64,2.0,Complete,Dem areas,45 to 59,50 to 59,Independent/Other,50 to 64,0.799,Economy/jobs,About the same,Favorable
24.0,26.0,38.0,Third call,18-24,White,Female,Ventura,Approve,Approve,Would not vote,Neither,Excellent,No,No,No,No,Same,Did not vote,Oppose,Independent,No HS,15 to 30K,Moderate,18 to 64,2.0,Complete,Dem areas,18 to 29,18 to 24,Independent/Other,18 to 24,0.978,Education,About the same,Favorable
24.0,26.0,39.0,Third call,30-39,White,Male,Ventura,Approve,Approve,Humphrey,Neither,Excellent,Yes,No,No,No,Better,Dole,Oppose,Republican,Some college,30 to 50K,Liberal,18 to 64,2.0,Complete,Dem areas,30 to 44,30 to 39,Republican,30 to 39,0.8380000000000001,Crime/drugs,Better,Favorable
24.0,26.0,40.0,Third call,50-59,White,Female,Ventura,,,,,,No,,,,,,Oppose,,,,,18 to 64,2.0,Not complete,Dem areas,45 to 59,50 to 59,,50 to 64,0.799,,,
24.0,26.0,41.0,Third call,45-49,White,Male,Ventura,Disapprove,Disapprove,Coleman,Oppose Clinton,Good,No,Yes,Yes,Yes,Better,Perot,Oppose,Democrat,College grad,30 to 50K,Liberal,18 to 64,2.0,Complete,Dem areas,45 to 59,40 to 49,Democrat,40 to 49,0.8380000000000001,,Better,Unfavorable
24.0,26.0,42.0,Third call,65 and over,White,Male,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,Yes,Same,Clinton,Oppose,Democrat,Postgrad,75 to 100K,Liberal,65 and over,2.0,Complete,Dem areas,60 and over,60 and over,Democrat,65 and over,0.998,Abortion,About the same,Favorable
24.0,26.0,43.0,Third call,25-29,White,Male,Coleman,Approve,Approve,Coleman,Neither,Good,No,Yes,Yes,No,Better,Clinton,Oppose,Something else,College grad,50 to 75K,Moderate,18 to 64,2.0,Complete,Dem areas,18 to 29,25 to 29,Independent/Other,25 to 29,1.442,,About the same,Unfavorable
24.0,26.0,44.0,Third call,18-24,White,Male,Ventura,Disapprove,Approve,Would not vote,Neither,Good,Yes,No,Yes,No,Better,Did not vote,Oppose,Democrat,No HS,30 to 50K,Liberal,18 to 64,2.0,Complete,Dem areas,18 to 29,18 to 24,Democrat,18 to 24,1.024,Economy/jobs,Better,Unfavorable
24.0,26.0,45.0,Third call,60-64,White,Male,Ventura,Approve,Approve,Coleman,Neither,Good,No,No,No,Yes,Worse,Dole,Oppose,Republican,HS grad,Under 15K,Conservative,18 to 64,2.0,Complete,Dem areas,60 and over,60 and over,Republican,50 to 64,0.781,Economy/jobs,About the same,Unfavorable
24.0,26.0,46.0,Third call,30-39,White,Female,Coleman,Disapprove,,Coleman,Oppose Clinton,Not so good,No,Yes,Yes,Yes,Same,Dole,Oppose,Republican,College grad,30 to 50K,Conservative,18 to 64,2.0,Complete,Dem areas,30 to 44,30 to 39,Republican,30 to 39,1.1280000000000001,Abortion,About the same,Unfavorable
24.0,26.0,47.0,Third call,30-39,White,Male,Ventura,Approve,Disapprove,Would not vote,Neither,Excellent,No,No,No,,Better,Clinton,Oppose,Republican,College grad,50 to 75K,Moderate,18 to 64,2.0,Complete,Dem areas,30 to 44,30 to 39,Republican,30 to 39,0.8380000000000001,Education,About the same,Unfavorable
24.0,26.0,48.0,Third call,30-39,White,Male,Coleman,Disapprove,Approve,Coleman,Neither,Good,,No,Yes,Yes,Better,Clinton,Oppose,Republican,College grad,75 to 100K,Moderate,18 to 64,2.0,Complete,Dem areas,30 to 44,30 to 39,Republican,30 to 39,1.181,State taxes,Worse,Unfavorable
24.0,26.0,49.0,Third call,40-44,White,Male,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,Yes,No,No,No,Same,Clinton,Oppose,Democrat,College grad,15 to 30K,Moderate,18 to 64,2.0,Complete,Dem areas,30 to 44,40 to 49,Democrat,40 to 49,1.069,Economy/jobs,About the same,Favorable
24.0,26.0,50.0,Third call,50-59,White,Female,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,Yes,Same,Clinton,Oppose,Democrat,Postgrad,75 to 100K,Moderate,18 to 64,2.0,Complete,Dem areas,45 to 59,50 to 59,Democrat,50 to 64,1.021,Education,About the same,Unfavorable
24.0,26.0,51.0,Third call,18-24,Hispanic,Male,Ventura,Approve,Disapprove,Would not vote,Support Clinton,Excellent,Yes,No,No,No,Better,Clinton,Oppose,Independent,Some college,Under 15K,Liberal,18 to 64,2.0,Complete,Dem areas,18 to 29,18 to 24,Independent/Other,18 to 24,0.704,Gun Control,Worse,Favorable
24.0,26.0,52.0,Third call,18-24,White,Male,Other,Approve,Approve,Coleman,Neither,Good,Yes,Yes,Yes,No,Same,Other,Oppose,Independent,Some college,100K or more,Conservative,18 to 64,2.0,Complete,Dem areas,18 to 29,18 to 24,Independent/Other,18 to 24,1.242,Economy/jobs,About the same,Favorable
24.0,26.0,53.0,Third call,60-64,White,Male,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,Yes,Better,Clinton,Oppose,Independent,No HS,50 to 75K,Moderate,18 to 64,2.0,Complete,Dem areas,60 and over,60 and over,Independent/Other,50 to 64,0.998,Economy/jobs,Worse,Unfavorable
24.0,26.0,54.0,Third call,18-24,White,Female,Coleman,Approve,Disapprove,Coleman,Neither,Good,No,No,No,Yes,Better,Clinton,Oppose,Independent,College grad,15 to 30K,Moderate,18 to 64,2.0,Complete,Dem areas,18 to 29,18 to 24,Independent/Other,18 to 24,1.377,State taxes,Better,Unfavorable
24.0,27.0,1.0,First call,50-59,White,Female,Ventura,Disapprove,Disapprove,Would not vote,Neither,Excellent,No,Yes,Yes,Yes,Better,Perot,,Republican,HS grad,30 to 50K,Moderate,18 to 64,2.0,Complete,Twin Cities,45 to 59,50 to 59,Republican,50 to 64,1.101,Education,About the same,Unfavorable
24.0,27.0,2.0,First call,40-44,White,Female,Ventura,Approve,Approve,Humphrey,Neither,Good,No,No,No,No,Better,Clinton,Oppose,Democrat,HS grad,30 to 50K,Moderate,18 to 64,2.0,Complete,Twin Cities,30 to 44,40 to 49,Democrat,40 to 49,1.101,,About the same,Favorable
24.0,27.0,3.0,First call,30-39,White,Male,Coleman,Disapprove,Approve,Coleman,Neither,Good,No,Yes,Yes,No,Same,Dole,Favor,Independent,Postgrad,,Moderate,18 to 64,2.0,Complete,Twin Cities,30 to 44,30 to 39,Independent/Other,30 to 39,1.288,State taxes,Worse,Unfavorable
24.0,27.0,4.0,First call,40-44,White,Female,Humphrey,Approve,Approve,,Neither,Good,No,No,,Yes,Better,Clinton,,Democrat,College grad,15 to 30K,Liberal,18 to 64,2.0,Complete,Twin Cities,30 to 44,40 to 49,Democrat,40 to 49,1.244,Education,Better,Unfavorable
24.0,27.0,5.0,First call,30-39,White,Female,Humphrey,,,,Neither,Good,No,,,,Better,Clinton,,Democrat,Postgrad,75 to 100K,Moderate,18 to 64,2.0,Complete,Twin Cities,30 to 44,30 to 39,Democrat,30 to 39,1.244,,About the same,
24.0,27.0,6.0,First call,65 and over,White,Female,Humphrey,Approve,Disapprove,Humphrey,Support Clinton,Good,No,No,No,No,Same,Clinton,Favor,Democrat,HS grad,15 to 30K,Moderate,65 and over,2.0,Complete,Twin Cities,60 and over,60 and over,Democrat,65 and over,1.367,Education,Better,
24.0,27.0,7.0,First call,30-39,White,Male,Ventura,Disapprove,Approve,Coleman,Neither,Excellent,,No,No,Yes,Better,Dole,Oppose,Independent,College grad,30 to 50K,Moderate,18 to 64,2.0,Complete,Twin Cities,30 to 44,30 to 39,Independent/Other,30 to 39,1.204,,Better,Unfavorable
24.0,27.0,8.0,First call,50-59,White,Female,Humphrey,Approve,Disapprove,Coleman,Neither,Good,No,No,No,No,Same,Clinton,Oppose,Independent,HS grad,,Moderate,18 to 64,2.0,Complete,Twin Cities,45 to 59,50 to 59,Independent/Other,50 to 64,1.244,Farm policy,About the same,Unfavorable
24.0,27.0,9.0,First call,65 and over,White,Male,Ventura,Approve,Disapprove,Humphrey,Neither,Good,Yes,No,No,Yes,Worse,Clinton,Oppose,Democrat,HS grad,Under 15K,Moderate,65 and over,2.0,Complete,Twin Cities,60 and over,60 and over,Democrat,65 and over,1.322,State taxes,About the same,Favorable
24.0,27.0,10.0,First call,45-49,White,Male,Humphrey,Approve,Disapprove,Coleman,Oppose Clinton,Good,No,No,Yes,Yes,Same,Dole,Favor,Democrat,Some college,50 to 75K,Conservative,18 to 64,2.0,Complete,Twin Cities,45 to 59,40 to 49,Democrat,40 to 49,1.3599999999999999,Economy/jobs,Worse,Unfavorable
24.0,27.0,11.0,First call,30-39,White,Male,Coleman,Disapprove,Approve,Coleman,Neither,Excellent,No,No,Yes,No,Better,Clinton,Oppose,Independent,College grad,50 to 75K,Moderate,18 to 64,2.0,Complete,Twin Cities,30 to 44,30 to 39,Independent/Other,30 to 39,1.288,State taxes,About the same,Unfavorable
24.0,27.0,12.0,First call,30-39,White,Male,Ventura,Approve,Disapprove,Coleman,Neither,Excellent,No,No,No,No,Better,Other,Oppose,Republican,Postgrad,50 to 75K,Conservative,18 to 64,2.0,Complete,Twin Cities,30 to 44,30 to 39,Republican,30 to 39,1.204,Economy/jobs,About the same,Unfavorable
24.0,27.0,13.0,First call,25-29,White,Male,Ventura,Disapprove,Disapprove,Would not vote,Neither,Not so good,Yes,Yes,Yes,Yes,Same,Perot,Oppose,Democrat,HS grad,15 to 30K,,18 to 64,2.0,Complete,Twin Cities,18 to 29,25 to 29,Democrat,25 to 29,1.179,Economy/jobs,About the same,Unfavorable
24.0,27.0,14.0,First call,40-44,,,Ventura,,Disapprove,Would not vote,Neither,Good,Yes,,Yes,,Worse,,Oppose,Independent,Some college,50 to 75K,Moderate,18 to 64,2.0,Complete,Twin Cities,30 to 44,40 to 49,Independent/Other,40 to 49,1.101,State taxes,Worse,
24.0,27.0,15.0,Second call,65 and over,White,Female,Humphrey,Approve,Approve,Humphrey,Neither,Good,No,No,No,No,Same,Clinton,Oppose,Democrat,No HS,Under 15K,Conservative,65 and over,2.0,Complete,Twin Cities,60 and over,60 and over,Democrat,65 and over,1.367,State taxes,About the same,Favorable
24.0,27.0,16.0,Second call,30-39,White,Female,Ventura,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,Yes,Better,Clinton,Oppose,Democrat,Some college,75 to 100K,Liberal,18 to 64,2.0,Complete,Twin Cities,30 to 44,30 to 39,Democrat,30 to 39,1.101,Crime/drugs,Worse,Unfavorable
24.0,27.0,17.0,Second call,45-49,White,Female,Coleman,Disapprove,Approve,Coleman,Neither,Excellent,No,Yes,Yes,Yes,Same,Dole,Oppose,Republican,College grad,15 to 30K,Conservative,18 to 64,2.0,Complete,Twin Cities,45 to 59,40 to 49,Republican,40 to 49,1.179,Abortion,About the same,Unfavorable
24.0,27.0,18.0,Second call,30-39,White,Male,Coleman,Disapprove,Approve,Coleman,Neither,Good,No,Yes,Yes,Yes,Better,Dole,Oppose,Republican,HS grad,30 to 50K,Conservative,18 to 64,2.0,Complete,Twin Cities,30 to 44,30 to 39,Republican,30 to 39,1.288,Education,About the same,Unfavorable
24.0,27.0,19.0,Second call,40-44,White,Female,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,No,Worse,Clinton,Oppose,Democrat,Postgrad,30 to 50K,Liberal,18 to 64,2.0,Complete,Twin Cities,30 to 44,40 to 49,Democrat,40 to 49,1.244,Education,About the same,Favorable
24.0,27.0,20.0,Second call,50-59,Black,Male,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,Yes,Same,Other,Oppose,Independent,College grad,75 to 100K,Moderate,18 to 64,2.0,Complete,Twin Cities,45 to 59,50 to 59,Independent/Other,50 to 64,1.203,Crime/drugs,About the same,Unfavorable
24.0,27.0,21.0,Second call,40-44,White,Male,Ventura,Disapprove,Disapprove,Coleman,Neither,Good,No,No,Yes,No,Better,Clinton,Favor,Democrat,Postgrad,100K or more,,18 to 64,2.0,Complete,Twin Cities,30 to 44,40 to 49,Democrat,40 to 49,1.204,,About the same,Unfavorable
24.0,27.0,22.0,Second call,30-39,White,Male,Ventura,Disapprove,Disapprove,Humphrey,Neither,Good,No,No,Yes,Yes,Same,Clinton,Oppose,Democrat,College grad,75 to 100K,Liberal,18 to 64,2.0,Complete,Twin Cities,30 to 44,30 to 39,Democrat,30 to 39,1.204,Economy/jobs,About the same,Unfavorable
24.0,27.0,23.0,Second call,18-24,White,Female,Ventura,Disapprove,Disapprove,Would not vote,Neither,Not so good,No,Yes,Yes,Yes,Better,Clinton,Oppose,Independent,HS grad,15 to 30K,Liberal,18 to 64,2.0,Complete,Twin Cities,18 to 29,18 to 24,Independent/Other,18 to 24,1.079,,Worse,Unfavorable
24.0,27.0,24.0,Second call,50-59,White,Female,Humphrey,Approve,Approve,Humphrey,Neither,Good,No,No,Yes,Yes,Same,Clinton,Oppose,Democrat,HS grad,Under 15K,Moderate,18 to 64,2.0,Complete,Twin Cities,45 to 59,50 to 59,Democrat,50 to 64,1.244,State taxes,About the same,Unfavorable
24.0,27.0,25.0,Second call,30-39,White,Female,Ventura,Approve,Disapprove,Humphrey,Neither,Good,,No,No,No,Better,Clinton,Oppose,Democrat,HS grad,,Moderate,18 to 64,2.0,Complete,Twin Cities,30 to 44,30 to 39,Democrat,30 to 39,1.101,Crime/drugs,About the same,Favorable
24.0,27.0,26.0,Second call,65 and over,White,Female,Coleman,Disapprove,Approve,Coleman,Oppose Clinton,Excellent,No,Yes,Yes,Yes,Same,Dole,Oppose,Republican,HS grad,30 to 50K,Conservative,65 and over,2.0,Complete,Twin Cities,60 and over,60 and over,Republican,65 and over,1.294,State taxes,About the same,Unfavorable
24.0,27.0,27.0,Third call,25-29,White,Female,Ventura,Approve,Approve,Would not vote,Neither,Good,Yes,No,No,Yes,Same,Clinton,Oppose,Independent,HS grad,30 to 50K,Liberal,18 to 64,2.0,Complete,Twin Cities,18 to 29,25 to 29,Independent/Other,25 to 29,1.079,Education,About the same,Favorable
24.0,27.0,28.0,Third call,40-44,White,Male,Ventura,Approve,Disapprove,Coleman,Neither,Good,Yes,No,Yes,Yes,Better,,Oppose,Something else,HS grad,,Moderate,18 to 64,2.0,Complete,Twin Cities,30 to 44,40 to 49,Independent/Other,40 to 49,1.204,,Better,Favorable
24.0,27.0,29.0,Third call,45-49,Hispanic,Male,Ventura,Approve,Disapprove,Would not vote,Neither,Good,No,No,No,No,Better,Perot,Oppose,Republican,College grad,100K or more,Moderate,18 to 64,2.0,Complete,Twin Cities,45 to 59,40 to 49,Republican,40 to 49,1.065,State taxes,About the same,Unfavorable
24.0,27.0,30.0,Third call,25-29,White,Male,Ventura,Approve,Disapprove,Coleman,Neither,Good,Yes,No,No,No,Better,Clinton,Oppose,Something else,Some college,Under 15K,Liberal,18 to 64,2.0,Complete,Twin Cities,18 to 29,25 to 29,Independent/Other,25 to 29,1.179,Crime/drugs,About the same,Unfavorable
24.0,27.0,31.0,Third call,60-64,White,Male,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,No,Same,Clinton,Oppose,Democrat,HS grad,50 to 75K,Conservative,18 to 64,2.0,Complete,Twin Cities,60 and over,60 and over,Democrat,50 to 64,1.494,Crime/drugs,About the same,Favorable
24.0,27.0,32.0,Third call,50-59,White,Male,Coleman,Approve,Disapprove,Coleman,Neither,Good,No,Yes,Yes,No,Better,Dole,Oppose,Independent,College grad,50 to 75K,Conservative,18 to 64,2.0,Complete,Twin Cities,45 to 59,50 to 59,Independent/Other,50 to 64,1.288,Abortion,Worse,Unfavorable
24.0,27.0,33.0,Third call,30-39,White,Male,Coleman,Disapprove,Disapprove,Coleman,Neither,Good,No,No,Yes,Yes,Better,Other,Favor,Independent,Postgrad,50 to 75K,Moderate,18 to 64,2.0,Complete,Twin Cities,30 to 44,30 to 39,Independent/Other,30 to 39,1.288,Economy/jobs,Worse,Unfavorable
24.0,27.0,34.0,Third call,40-44,White,Male,Coleman,Disapprove,Disapprove,Coleman,Oppose Clinton,Good,Yes,Yes,Yes,No,Same,Dole,Oppose,Republican,Postgrad,75 to 100K,Conservative,18 to 64,2.0,Complete,Twin Cities,30 to 44,40 to 49,Republican,40 to 49,1.288,State taxes,About the same,Unfavorable
24.0,27.0,35.0,Third call,25-29,White,Female,Coleman,Disapprove,Approve,Coleman,Neither,Good,No,Yes,Yes,Yes,Better,Dole,,Republican,College grad,50 to 75K,Conservative,18 to 64,2.0,Complete,Twin Cities,18 to 29,25 to 29,Republican,25 to 29,1.155,Abortion,Worse,Unfavorable
24.0,27.0,36.0,Third call,40-44,White,Male,Coleman,Approve,Approve,Coleman,Neither,Good,No,Yes,Yes,Yes,Better,Dole,Favor,Republican,Some college,30 to 50K,Moderate,18 to 64,2.0,Complete,Twin Cities,30 to 44,40 to 49,Republican,40 to 49,1.288,State taxes,About the same,Unfavorable
24.0,27.0,37.0,Third call,45-49,White,Female,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,Yes,Better,Clinton,Favor,Democrat,HS grad,50 to 75K,Moderate,18 to 64,2.0,Complete,Twin Cities,45 to 59,40 to 49,Democrat,40 to 49,1.244,Crime/drugs,About the same,Favorable
24.0,27.0,38.0,Third call,60-64,White,Female,Humphrey,Approve,Approve,Humphrey,Neither,Good,No,No,No,No,Better,Clinton,Oppose,Democrat,HS grad,,Moderate,18 to 64,2.0,Complete,Twin Cities,60 and over,60 and over,Democrat,50 to 64,1.367,,Better,Favorable
24.0,27.0,39.0,Third call,45-49,White,Male,Ventura,Disapprove,Approve,Coleman,Oppose Clinton,Good,No,Yes,Yes,No,Better,Dole,Oppose,Independent,College grad,Under 15K,Moderate,18 to 64,2.0,Complete,Twin Cities,45 to 59,40 to 49,Independent/Other,40 to 49,1.204,Crime/drugs,About the same,Unfavorable
24.0,27.0,40.0,Third call,30-39,White,Male,Ventura,Approve,Disapprove,Would not vote,Neither,Not so good,Yes,No,No,No,Better,Clinton,Favor,Something else,College grad,,Moderate,18 to 64,2.0,Complete,Twin Cities,30 to 44,30 to 39,Independent/Other,30 to 39,1.204,State taxes,Better,Unfavorable
24.0,27.0,41.0,Third call,45-49,White,Female,Ventura,Approve,Disapprove,Humphrey,Neither,Excellent,Yes,No,No,No,Better,Clinton,Oppose,Independent,Some college,100K or more,Liberal,18 to 64,2.0,Complete,Twin Cities,45 to 59,40 to 49,Independent/Other,40 to 49,1.101,Abortion,Better,Favorable
24.0,27.0,42.0,Third call,50-59,White,Male,Ventura,Approve,Disapprove,Humphrey,Neither,Good,Yes,No,No,Yes,Same,Clinton,Oppose,Democrat,Some college,50 to 75K,Liberal,18 to 64,2.0,Complete,Twin Cities,45 to 59,50 to 59,Democrat,50 to 64,1.204,Crime/drugs,About the same,Favorable
24.0,27.0,43.0,Third call,45-49,White,Female,Ventura,Approve,Disapprove,Would not vote,Support Clinton,Excellent,No,No,No,No,Better,Clinton,,Democrat,Postgrad,50 to 75K,Liberal,18 to 64,2.0,Complete,Twin Cities,45 to 59,40 to 49,Democrat,40 to 49,1.101,Abortion,About the same,Favorable
24.0,27.0,44.0,Third call,60-64,,Female,Coleman,Approve,,Coleman,,,No,,,,,,Oppose,,,,,18 to 64,2.0,Not complete,Twin Cities,60 and over,60 and over,,50 to 64,1.294,Economy/jobs,,
24.0,27.0,45.0,Third call,45-49,Black,Male,Other,Approve,Disapprove,Would not vote,Support Clinton,Not so good,No,No,No,No,Better,Clinton,Oppose,Democrat,HS grad,15 to 30K,Conservative,18 to 64,2.0,Complete,Twin Cities,45 to 59,40 to 49,Democrat,40 to 49,1.135,State taxes,Worse,Favorable
24.0,27.0,46.0,Third call,25-29,White,Female,Humphrey,Approve,Approve,Humphrey,Neither,Good,No,No,No,No,Better,Clinton,Favor,Democrat,College grad,100K or more,Liberal,18 to 64,2.0,Complete,Twin Cities,18 to 29,25 to 29,Democrat,25 to 29,1.218,Education,Better,Favorable
24.0,27.0,47.0,Third call,50-59,White,Female,Humphrey,Approve,Disapprove,Humphrey,Oppose Clinton,Good,No,No,No,Yes,Better,Dole,Oppose,Republican,Some college,50 to 75K,Conservative,18 to 64,2.0,Complete,Twin Cities,45 to 59,50 to 59,Republican,50 to 64,1.244,Education,About the same,Unfavorable
24.0,27.0,48.0,Third call,18-24,White,Male,Ventura,Approve,Approve,Would not vote,Support Clinton,Good,No,No,Yes,No,Same,Did not vote,Oppose,Democrat,Some college,30 to 50K,Moderate,18 to 64,2.0,Complete,Twin Cities,18 to 29,18 to 24,Democrat,18 to 24,1.179,State taxes,Better,Favorable
24.0,27.0,49.0,Third call,25-29,White,Male,Ventura,Approve,Approve,Coleman,Neither,Good,No,Yes,Yes,Yes,Better,Clinton,Oppose,Independent,Some college,15 to 30K,Conservative,18 to 64,2.0,Complete,Twin Cities,18 to 29,25 to 29,Independent/Other,25 to 29,1.179,State taxes,About the same,Unfavorable
24.0,27.0,50.0,Third call,45-49,White,Female,Ventura,Approve,,Humphrey,Neither,Not so good,No,No,Yes,,Worse,Perot,Oppose,Democrat,Some college,15 to 30K,Conservative,18 to 64,2.0,Complete,Twin Cities,45 to 59,40 to 49,Democrat,40 to 49,1.101,Crime/drugs,About the same,Unfavorable
24.0,27.0,51.0,Third call,60-64,White,Female,Ventura,Disapprove,Disapprove,Would not vote,Neither,Good,No,No,Yes,Yes,Same,Clinton,Oppose,Democrat,College grad,,Moderate,18 to 64,2.0,Complete,Twin Cities,60 and over,60 and over,Democrat,50 to 64,1.21,Economy/jobs,About the same,Unfavorable
24.0,27.0,52.0,Third call,45-49,White,Female,Ventura,,Disapprove,Humphrey,Neither,Good,No,No,Yes,Yes,Better,Clinton,,,College grad,50 to 75K,Liberal,18 to 64,2.0,Complete,Twin Cities,45 to 59,40 to 49,,40 to 49,1.101,Education,Worse,Unfavorable
24.0,27.0,53.0,Third call,40-44,White,Female,Humphrey,Approve,Disapprove,Humphrey,Support Clinton,Excellent,No,No,No,Yes,Better,Clinton,Oppose,Democrat,College grad,75 to 100K,Liberal,18 to 64,2.0,Complete,Twin Cities,30 to 44,40 to 49,Democrat,40 to 49,1.244,Education,About the same,Favorable
24.0,34.0,1.0,First call,65 and over,White,Male,Ventura,Approve,Disapprove,Coleman,Support Clinton,Good,Yes,No,No,Yes,Same,Clinton,Oppose,Democrat,No HS,15 to 30K,Conservative,65 and over,2.0,Complete,Twin Cities,60 and over,60 and over,Democrat,65 and over,1.013,Gun Control,Better,Unfavorable
24.0,34.0,2.0,First call,65 and over,White,Female,Ventura,Approve,Disapprove,Would not vote,Support Clinton,Good,Yes,No,No,,Better,Clinton,Oppose,Democrat,HS grad,30 to 50K,Conservative,65 and over,2.0,Complete,Twin Cities,60 and over,60 and over,Democrat,65 and over,0.926,State taxes,About the same,Favorable
24.0,34.0,3.0,First call,40-44,Black,Female,Ventura,Approve,Disapprove,,Oppose Clinton,Not so good,No,Yes,Yes,Yes,Same,Dole,Oppose,Independent,HS grad,30 to 50K,Conservative,18 to 64,2.0,Complete,Twin Cities,30 to 44,40 to 49,Independent/Other,40 to 49,0.746,Education,About the same,Unfavorable
24.0,34.0,4.0,First call,65 and over,White,Male,Ventura,Disapprove,Disapprove,Would not vote,Oppose Clinton,Good,Yes,Yes,Yes,Yes,Same,Perot,Oppose,Independent,Some college,15 to 30K,Conservative,65 and over,2.0,Complete,Twin Cities,60 and over,60 and over,Independent/Other,65 and over,1.013,Education,Worse,Unfavorable
24.0,34.0,5.0,First call,45-49,White,Female,Coleman,Disapprove,Disapprove,Coleman,Neither,Good,,Yes,Yes,,Same,Perot,Oppose,Independent,Some college,100K or more,Moderate,18 to 64,2.0,Complete,Twin Cities,45 to 59,40 to 49,Independent/Other,40 to 49,0.902,State taxes,About the same,Unfavorable
24.0,34.0,6.0,First call,50-59,White,Female,Ventura,Disapprove,Disapprove,Would not vote,Neither,Good,No,Yes,Yes,Yes,Better,Dole,Oppose,Republican,Some college,50 to 75K,Moderate,18 to 64,2.0,Complete,Twin Cities,45 to 59,50 to 59,Republican,50 to 64,0.843,State taxes,About the same,Unfavorable
24.0,34.0,7.0,First call,18-24,Other,Male,Coleman,Disapprove,Approve,Coleman,Neither,Good,No,Yes,Yes,Yes,Better,Dole,Favor,Independent,Some college,30 to 50K,Conservative,18 to 64,2.0,Complete,Twin Cities,18 to 29,18 to 24,Independent/Other,18 to 24,0.9660000000000001,State taxes,About the same,Unfavorable
24.0,34.0,8.0,First call,25-29,White,Male,Coleman,Disapprove,,Coleman,Neither,Good,No,Yes,,,Same,Dole,,Republican,Postgrad,30 to 50K,Conservative,18 to 64,2.0,Complete,Twin Cities,18 to 29,25 to 29,Republican,25 to 29,0.9660000000000001,Abortion,Worse,Unfavorable
24.0,34.0,9.0,First call,30-39,,Female,Humphrey,Approve,Approve,Humphrey,Support Clinton,Good,No,No,No,No,Same,Clinton,Oppose,Democrat,HS grad,,Liberal,18 to 64,2.0,Complete,Twin Cities,30 to 44,30 to 39,Democrat,30 to 39,0.9520000000000001,,Better,Favorable
24.0,34.0,10.0,First call,45-49,White,Female,Ventura,Approve,Approve,Humphrey,Neither,Excellent,No,No,No,No,Worse,Clinton,Oppose,Independent,Postgrad,15 to 30K,Liberal,18 to 64,2.0,Complete,Twin Cities,45 to 59,40 to 49,Independent/Other,40 to 49,0.843,Education,Better,Unfavorable
24.0,34.0,11.0,First call,50-59,White,Male,Coleman,Disapprove,Disapprove,Coleman,Oppose Clinton,Good,Yes,Yes,,,Same,Dole,Favor,Republican,College grad,15 to 30K,Conservative,18 to 64,2.0,Complete,Twin Cities,45 to 59,50 to 59,Republican,50 to 64,0.986,Abortion,About the same,Unfavorable
