State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Finanacial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),In touch with avg person,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 decimal pl,Clinton as person
37.0,12.0,24.0,Second call,25-29,White,Male,Nickles,Keating,Approve,Approve,Neither,No,No,Yes,No,Better,Dole,Republican,College grad,50 to 75K,Moderate,18 to 64,Both are,State,Complete,Okla City area,18 to 29,25 to 29,Republican,25 to 29,1.115,Unfavorable
37.0,12.0,25.0,Second call,50-59,White,Male,Carroll,Boyd,Approve,Disapprove,Support Clinton,No,No,No,Yes,Better,Clinton,Democrat,HS grad,30 to 50K,Liberal,18 to 64,Boyd is,State,Complete,Okla City area,45 to 59,50 to 59,Democrat,50 to 64,0.7449999999999999,Favorable
37.0,12.0,26.0,Second call,60-64,,Female,Other,Boyd,Approve,,Neither,No,No,No,No,Better,Clinton,Something else,Postgrad,,Moderate,18 to 64,Both are,State,Complete,Okla City area,60 and over,60 and over,Independent/Other,50 to 64,2.424,Favorable
37.0,12.0,27.0,Second call,30-39,White,Female,Carroll,Boyd,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,Some college,15 to 30K,Moderate,18 to 64,Both are,State,Complete,Okla City area,30 to 44,30 to 39,Democrat,30 to 39,0.945,Favorable
37.0,12.0,28.0,Second call,45-49,White,Female,Carroll,Boyd,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,Some college,15 to 30K,Moderate,18 to 64,Boyd is,State,Complete,Okla City area,45 to 59,40 to 49,Democrat,40 to 49,0.945,Favorable
37.0,12.0,29.0,Third call,18-24,Other,Female,Nickles,Boyd,Approve,Approve,Neither,No,No,No,No,Same,Did not vote,Republican,Some college,Under 15K,Moderate,18 to 64,Both are,State,Complete,Okla City area,18 to 29,18 to 24,Republican,18 to 24,1.7069999999999999,Favorable
37.0,12.0,30.0,Third call,45-49,White,Male,Nickles,Keating,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Worse,Dole,Republican,Some college,15 to 30K,Moderate,18 to 64,Keating is,State,Complete,Okla City area,45 to 59,40 to 49,Republican,40 to 49,0.712,Unfavorable
37.0,12.0,31.0,Third call,50-59,White,Male,Nickles,Keating,Approve,Approve,Neither,No,No,No,No,Better,Clinton,Independent,Some college,50 to 75K,Moderate,18 to 64,Both are,State,Complete,Okla City area,45 to 59,50 to 59,Independent/Other,50 to 64,0.712,Unfavorable
37.0,12.0,32.0,Third call,25-29,White,Female,Carroll,Boyd,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Something else,Postgrad,30 to 50K,Moderate,18 to 64,Boyd is,State,Complete,Okla City area,18 to 29,25 to 29,Independent/Other,25 to 29,1.479,Unfavorable
37.0,12.0,33.0,Third call,18-24,White,Male,Carroll,Keating,Approve,Disapprove,Neither,No,No,No,No,Same,Did not vote,Democrat,Some college,Under 15K,Liberal,18 to 64,Both are,State,Complete,Okla City area,18 to 29,18 to 24,Democrat,18 to 24,0.9660000000000001,Favorable
37.0,12.0,34.0,Third call,30-39,Other,Female,Nickles,Boyd,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Some college,15 to 30K,Liberal,18 to 64,Boyd is,State,Complete,Okla City area,30 to 44,30 to 39,Democrat,30 to 39,1.09,Favorable
37.0,12.0,35.0,Third call,25-29,Black,Female,Carroll,Boyd,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,College grad,30 to 50K,Moderate,18 to 64,Boyd is,State,Complete,Okla City area,18 to 29,25 to 29,Democrat,25 to 29,1.205,Favorable
37.0,12.0,36.0,Third call,45-49,White,Male,Carroll,Boyd,Disapprove,Disapprove,Neither,No,No,Yes,No,Better,Clinton,Independent,College grad,75 to 100K,Conservative,18 to 64,Boyd is,State,Complete,Okla City area,45 to 59,40 to 49,Independent/Other,40 to 49,0.7449999999999999,Unfavorable
37.0,12.0,37.0,Third call,30-39,Other,Male,Carroll,Boyd,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Democrat,Some college,15 to 30K,Liberal,18 to 64,Boyd is,State,Complete,Okla City area,30 to 44,30 to 39,Democrat,30 to 39,0.7449999999999999,Favorable
37.0,12.0,38.0,Third call,30-39,White,Female,Carroll,Boyd,Approve,Approve,Neither,No,No,No,No,Worse,Clinton,Democrat,Some college,Under 15K,Liberal,18 to 64,Boyd is,State,Complete,Okla City area,30 to 44,30 to 39,Democrat,30 to 39,0.945,Favorable
37.0,12.0,39.0,Third call,50-59,White,Female,Nickles,Other,Disapprove,Approve,Neither,Yes,Yes,No,No,Worse,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,Neither are,State,Complete,Okla City area,45 to 59,50 to 59,Republican,50 to 64,0.498,Unfavorable
37.0,12.0,40.0,Third call,30-39,White,Female,Carroll,Boyd,Approve,Approve,Neither,No,No,No,No,Same,Did not vote,Independent,Postgrad,Under 15K,Liberal,18 to 64,Boyd is,State,Complete,Okla City area,30 to 44,30 to 39,Independent/Other,30 to 39,0.945,Unfavorable
37.0,12.0,41.0,Third call,30-39,Hispanic,Male,Nickles,Boyd,Approve,Approve,Neither,No,No,No,No,Better,Clinton,Democrat,Postgrad,15 to 30K,Moderate,18 to 64,Boyd is,State,Complete,Okla City area,30 to 44,30 to 39,Democrat,30 to 39,0.702,Unfavorable
37.0,15.0,1.0,First call,40-44,White,Male,Nickles,Keating,Disapprove,Approve,Neither,No,No,No,No,Same,Dole,Independent,Postgrad,30 to 50K,Moderate,18 to 64,Both are,State,Complete,West,30 to 44,40 to 49,Independent/Other,40 to 49,0.8320000000000001,Unfavorable
37.0,15.0,2.0,First call,65 and over,White,Female,Carroll,Boyd,,Disapprove,Support Clinton,No,No,No,No,Same,Clinton,Democrat,HS grad,15 to 30K,Moderate,65 and over,Boyd is,State,Complete,West,60 and over,60 and over,Democrat,65 and over,0.8420000000000001,Favorable
37.0,15.0,3.0,First call,65 and over,White,Male,Nickles,Keating,Approve,Disapprove,Neither,Yes,No,Yes,Yes,Same,Perot,Democrat,HS grad,15 to 30K,Conservative,65 and over,Both are,State,Complete,West,60 and over,60 and over,Democrat,65 and over,0.963,Unfavorable
37.0,15.0,4.0,First call,65 and over,White,Female,Carroll,Boyd,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Democrat,HS grad,30 to 50K,Liberal,65 and over,Boyd is,State,Complete,West,60 and over,60 and over,Democrat,65 and over,0.8420000000000001,Favorable
37.0,15.0,5.0,First call,65 and over,White,Male,Carroll,Boyd,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Moderate,65 and over,Boyd is,State,Complete,West,60 and over,60 and over,Democrat,65 and over,0.896,Favorable
37.0,15.0,6.0,First call,50-59,White,Male,Nickles,Keating,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Democrat,Some college,30 to 50K,Conservative,18 to 64,Keating is,State,Complete,West,45 to 59,50 to 59,Democrat,50 to 64,0.8320000000000001,Unfavorable
37.0,15.0,7.0,First call,50-59,White,Female,Nickles,Keating,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Same,Dole,Democrat,Some college,30 to 50K,Moderate,18 to 64,Keating is,State,Complete,West,45 to 59,50 to 59,Democrat,50 to 64,0.7820000000000001,Unfavorable
37.0,15.0,8.0,First call,25-29,White,Male,Carroll,Keating,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,College grad,15 to 30K,Moderate,18 to 64,Both are,State,Complete,West,18 to 29,25 to 29,Democrat,25 to 29,0.789,Unfavorable
37.0,15.0,9.0,First call,65 and over,White,Male,Carroll,Boyd,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Moderate,65 and over,Boyd is,State,Complete,West,60 and over,60 and over,Democrat,65 and over,0.896,Favorable
37.0,15.0,10.0,First call,50-59,White,Male,Nickles,Keating,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Democrat,Some college,30 to 50K,Conservative,18 to 64,Keating is,State,Complete,West,45 to 59,50 to 59,Democrat,50 to 64,0.8320000000000001,Unfavorable
37.0,15.0,11.0,First call,50-59,White,Female,Nickles,Keating,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Same,Dole,Democrat,Some college,30 to 50K,Moderate,18 to 64,Keating is,State,Complete,West,45 to 59,50 to 59,Democrat,50 to 64,0.7820000000000001,Unfavorable
37.0,15.0,12.0,First call,25-29,White,Male,Carroll,Keating,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,College grad,15 to 30K,Moderate,18 to 64,Both are,State,Complete,West,18 to 29,25 to 29,Democrat,25 to 29,0.789,Unfavorable
37.0,15.0,13.0,First call,65 and over,White,Male,Carroll,Boyd,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Moderate,65 and over,Boyd is,State,Complete,West,60 and over,60 and over,Democrat,65 and over,0.896,Favorable
37.0,15.0,14.0,First call,50-59,White,Male,Nickles,Keating,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Democrat,Some college,30 to 50K,Conservative,18 to 64,Keating is,State,Complete,West,45 to 59,50 to 59,Democrat,50 to 64,0.8320000000000001,Unfavorable
37.0,15.0,15.0,Second call,65 and over,White,Male,Nickles,Boyd,,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Moderate,65 and over,Boyd is,State,Complete,West,60 and over,60 and over,Democrat,65 and over,1.034,Favorable
37.0,15.0,16.0,Second call,60-64,White,Male,Nickles,Keating,Approve,Disapprove,Neither,No,No,Yes,Yes,Same,Dole,Republican,No HS,15 to 30K,Moderate,18 to 64,Both are,State,Complete,West,60 and over,60 and over,Republican,50 to 64,0.963,Favorable
37.0,15.0,17.0,Second call,65 and over,White,Female,Carroll,Boyd,Approve,,,Yes,,,,,,,,,,65 and over,Boyd is,State,Not complete,West,60 and over,60 and over,,65 and over,0.8420000000000001,Favorable
37.0,15.0,18.0,Second call,25-29,White,Male,Nickles,Keating,Disapprove,Approve,Neither,Yes,No,Yes,Yes,Better,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,Keating is,State,Complete,West,18 to 29,25 to 29,Republican,25 to 29,0.91,Unfavorable
37.0,15.0,19.0,Second call,40-44,Black,Male,Carroll,Boyd,Approve,Disapprove,Neither,Yes,No,No,No,Same,Clinton,Democrat,HS grad,15 to 30K,Conservative,18 to 64,Boyd is,State,Complete,West,30 to 44,40 to 49,Democrat,40 to 49,0.636,Favorable
37.0,15.0,20.0,Second call,60-64,White,Male,Carroll,Boyd,,,,,,,,,,,,,,18 to 64,Boyd is,State,Not complete,West,60 and over,60 and over,,50 to 64,0.896,
37.0,15.0,21.0,Second call,65 and over,White,Male,Carroll,Boyd,,,,,,,,,,,,,,65 and over,Both are,State,Not complete,West,60 and over,60 and over,,65 and over,0.896,
37.0,15.0,22.0,Second call,45-49,White,Male,Nickles,Keating,Disapprove,Approve,Oppose Clinton,No,No,Yes,Yes,Worse,Dole,Republican,No HS,75 to 100K,Moderate,18 to 64,Keating is,State,Complete,West,45 to 59,40 to 49,Republican,40 to 49,0.8320000000000001,Unfavorable
37.0,15.0,23.0,Second call,50-59,Black,Male,Nickles,Keating,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,No,Same,Dole,Republican,HS grad,Under 15K,Conservative,18 to 64,Keating is,State,Complete,West,45 to 59,50 to 59,Republican,50 to 64,0.684,Unfavorable
37.0,15.0,24.0,Second call,50-59,White,Female,Nickles,Keating,Disapprove,Approve,Neither,Yes,Yes,Yes,No,Same,Dole,Republican,Some college,50 to 75K,Moderate,18 to 64,Keating is,State,Complete,West,45 to 59,50 to 59,Republican,50 to 64,0.7820000000000001,Unfavorable
37.0,15.0,25.0,Second call,65 and over,Hispanic,Female,Nickles,Keating,,Approve,,Yes,,,,,,,,,,65 and over,Keating is,State,Not complete,West,60 and over,60 and over,,65 and over,0.7429999999999999,Favorable
37.0,15.0,26.0,Second call,50-59,White,Female,Nickles,Keating,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,No,Better,Perot,Democrat,HS grad,30 to 50K,Conservative,18 to 64,Keating is,State,Complete,West,45 to 59,50 to 59,Democrat,50 to 64,0.7820000000000001,Unfavorable
37.0,15.0,27.0,Second call,60-64,White,Male,Nickles,Keating,Disapprove,Approve,Neither,No,No,No,Yes,Same,Dole,Democrat,Some college,50 to 75K,Conservative,18 to 64,Keating is,State,Complete,West,60 and over,60 and over,Democrat,50 to 64,0.963,Unfavorable
37.0,15.0,28.0,Second call,50-59,White,Female,Nickles,Boyd,Approve,Disapprove,Neither,No,No,No,Yes,Worse,Clinton,Democrat,College grad,Under 15K,Moderate,18 to 64,Neither are,State,Complete,West,45 to 59,50 to 59,Democrat,50 to 64,0.8420000000000001,Unfavorable
37.0,15.0,29.0,Second call,65 and over,White,Female,Nickles,Keating,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,Some college,15 to 30K,Conservative,65 and over,Keating is,State,Complete,West,60 and over,60 and over,Democrat,65 and over,0.903,Unfavorable
37.0,15.0,30.0,Third call,45-49,White,Male,Nickles,Keating,Disapprove,Disapprove,Neither,Yes,Yes,Yes,No,Better,Dole,Republican,Some college,50 to 75K,Conservative,18 to 64,Both are,State,Complete,West,45 to 59,40 to 49,Republican,40 to 49,0.8320000000000001,Unfavorable
37.0,15.0,31.0,Third call,30-39,White,Male,Nickles,Boyd,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,Some college,15 to 30K,Moderate,18 to 64,Neither are,State,Complete,West,30 to 44,30 to 39,Republican,30 to 39,0.895,Unfavorable
37.0,15.0,32.0,Third call,60-64,White,Female,Nickles,Boyd,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Republican,Postgrad,30 to 50K,Moderate,18 to 64,Keating is,State,Complete,West,60 and over,60 and over,Republican,50 to 64,0.973,Favorable
37.0,15.0,33.0,Third call,65 and over,White,Male,Nickles,Keating,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,,30 to 50K,Conservative,65 and over,Keating is,State,Complete,West,60 and over,60 and over,Republican,65 and over,0.963,Unfavorable
37.0,15.0,34.0,Third call,50-59,White,Female,Carroll,Boyd,Approve,Disapprove,Neither,,No,No,No,Worse,Perot,Something else,College grad,Under 15K,Moderate,18 to 64,Boyd is,State,Complete,West,45 to 59,50 to 59,Independent/Other,50 to 64,0.726,Favorable
37.0,15.0,35.0,Third call,30-39,White,Female,Carroll,Boyd,Approve,Disapprove,Support Clinton,No,No,No,No,Same,Clinton,Democrat,Some college,Under 15K,Liberal,18 to 64,Both are,State,Complete,West,30 to 44,30 to 39,Democrat,30 to 39,0.726,Favorable
37.0,15.0,36.0,Third call,50-59,White,Female,Nickles,Keating,Approve,Approve,Neither,No,No,No,Yes,Same,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Both are,State,Complete,West,45 to 59,50 to 59,Democrat,50 to 64,0.7820000000000001,Favorable
37.0,15.0,37.0,Third call,40-44,White,Male,Other,Boyd,Approve,Disapprove,Neither,No,No,No,Yes,Better,Other,Something else,Postgrad,30 to 50K,Liberal,18 to 64,Neither are,State,Complete,West,30 to 44,40 to 49,Independent/Other,40 to 49,1.689,Favorable
37.0,15.0,38.0,Third call,65 and over,White,Female,Nickles,Keating,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Better,Dole,Republican,College grad,15 to 30K,Conservative,65 and over,Keating is,State,Complete,West,60 and over,60 and over,Republican,65 and over,0.903,Unfavorable
37.0,15.0,39.0,Third call,50-59,White,Male,Carroll,Boyd,,Approve,Oppose Clinton,Yes,No,No,No,Same,Dole,Democrat,No HS,15 to 30K,Liberal,18 to 64,Boyd is,State,Complete,West,45 to 59,50 to 59,Democrat,50 to 64,0.7740000000000001,Unfavorable
37.0,15.0,40.0,Third call,25-29,White,Female,Nickles,Boyd,Disapprove,Approve,Neither,No,No,No,No,Better,Clinton,Democrat,College grad,15 to 30K,Liberal,18 to 64,Both are,State,Complete,West,18 to 29,25 to 29,Democrat,25 to 29,0.92,Unfavorable
37.0,15.0,41.0,Third call,30-39,White,Female,Nickles,Keating,Approve,Disapprove,Neither,Yes,No,Yes,Yes,Same,Clinton,Republican,Some college,50 to 75K,Conservative,18 to 64,Both are,State,Complete,West,30 to 44,30 to 39,Republican,30 to 39,0.7820000000000001,Unfavorable
37.0,15.0,42.0,Third call,65 and over,White,Female,Nickles,Keating,Approve,Disapprove,Support Clinton,No,No,No,No,Same,Clinton,Democrat,No HS,Under 15K,,65 and over,Keating is,State,Complete,West,60 and over,60 and over,Democrat,65 and over,0.903,Favorable
37.0,15.0,43.0,Third call,30-39,White,Male,Nickles,Keating,Disapprove,Approve,Neither,No,Yes,Yes,No,Same,Dole,Republican,Some college,15 to 30K,Conservative,18 to 64,Keating is,State,Complete,West,30 to 44,30 to 39,Republican,30 to 39,0.8320000000000001,Unfavorable
37.0,15.0,44.0,Third call,50-59,Other,Male,Nickles,Keating,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,No,Same,Perot,Democrat,Some college,,Moderate,18 to 64,Neither are,State,Complete,West,45 to 59,50 to 59,Democrat,50 to 64,0.8320000000000001,Unfavorable
37.0,15.0,45.0,Third call,45-49,White,Female,Nickles,Boyd,Disapprove,Disapprove,Neither,No,Yes,Yes,No,Worse,Perot,Republican,Some college,30 to 50K,Moderate,18 to 64,Both are,State,Complete,West,45 to 59,40 to 49,Republican,40 to 49,0.8420000000000001,Unfavorable
37.0,15.0,46.0,Third call,30-39,White,Female,Carroll,Boyd,Approve,Disapprove,Neither,Yes,No,Yes,No,Same,Clinton,Democrat,HS grad,Under 15K,Conservative,18 to 64,Boyd is,State,Complete,West,30 to 44,30 to 39,Democrat,30 to 39,0.726,Favorable
37.0,20.0,1.0,First call,30-39,White,Male,Nickles,Keating,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Same,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,Both are,State,Complete,West,30 to 44,30 to 39,Republican,30 to 39,0.3,Unfavorable
37.0,20.0,2.0,First call,45-49,White,Male,Nickles,Boyd,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Worse,Dole,Independent,College grad,75 to 100K,Conservative,18 to 64,Both are,State,Complete,West,45 to 59,40 to 49,Independent/Other,40 to 49,0.322,Unfavorable
37.0,20.0,3.0,First call,50-59,White,Male,Carroll,Boyd,Approve,Approve,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,Boyd is,State,Complete,West,45 to 59,50 to 59,Democrat,50 to 64,0.279,Favorable
37.0,20.0,4.0,First call,40-44,White,Male,Carroll,Keating,,Approve,Neither,No,No,No,No,Better,Clinton,Democrat,College grad,30 to 50K,Moderate,18 to 64,Both are,State,Complete,West,30 to 44,40 to 49,Democrat,40 to 49,0.259,Favorable
37.0,20.0,5.0,First call,60-64,Hispanic,Female,Nickles,Keating,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Same,Dole,Republican,HS grad,30 to 50K,Moderate,18 to 64,Keating is,State,Complete,West,60 and over,60 and over,Republican,50 to 64,0.266,Unfavorable
37.0,20.0,6.0,First call,30-39,White,Female,Nickles,Keating,Approve,Disapprove,Neither,Yes,No,No,No,Better,Dole,Republican,Some college,30 to 50K,Moderate,18 to 64,Both are,State,Complete,West,30 to 44,30 to 39,Republican,30 to 39,0.28099999999999997,Unfavorable
37.0,20.0,7.0,First call,40-44,White,Female,Nickles,Keating,Disapprove,,Oppose Clinton,Yes,Yes,Yes,Yes,Worse,Dole,Republican,Postgrad,30 to 50K,Conservative,18 to 64,Keating is,State,Complete,West,30 to 44,40 to 49,Republican,40 to 49,0.28099999999999997,Unfavorable
37.0,20.0,8.0,First call,40-44,White,Male,Nickles,Boyd,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Worse,Dole,Republican,Some college,30 to 50K,Moderate,18 to 64,Boyd is,State,Complete,West,30 to 44,40 to 49,Republican,40 to 49,0.322,Unfavorable
37.0,20.0,9.0,First call,60-64,White,Male,Nickles,Keating,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Same,Dole,Republican,Postgrad,30 to 50K,Conservative,18 to 64,Keating is,State,Complete,West,60 and over,60 and over,Republican,50 to 64,0.34600000000000003,Unfavorable
37.0,20.0,10.0,First call,30-39,White,Female,Nickles,Keating,Disapprove,Disapprove,Neither,Yes,Yes,Yes,,Better,Dole,Republican,HS grad,15 to 30K,Moderate,18 to 64,Keating is,State,Complete,West,30 to 44,30 to 39,Republican,30 to 39,0.28099999999999997,Unfavorable
37.0,20.0,11.0,First call,65 and over,White,Female,Nickles,Keating,Disapprove,Disapprove,Neither,Yes,No,No,Yes,Better,Dole,Republican,No HS,15 to 30K,Conservative,65 and over,Keating is,State,Complete,West,60 and over,60 and over,Republican,65 and over,0.32499999999999996,Unfavorable
37.0,20.0,12.0,First call,50-59,White,Male,Nickles,Keating,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Democrat,Some college,50 to 75K,Conservative,18 to 64,Both are,State,Complete,West,45 to 59,50 to 59,Democrat,50 to 64,0.3,Unfavorable
37.0,20.0,13.0,First call,40-44,White,Male,Nickles,Keating,,Approve,Neither,No,No,Yes,Yes,Same,Perot,Republican,HS grad,30 to 50K,Moderate,18 to 64,Both are,State,Complete,West,30 to 44,40 to 49,Republican,40 to 49,0.3,Unfavorable
37.0,20.0,14.0,First call,65 and over,White,Female,Nickles,Keating,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,HS grad,15 to 30K,Moderate,65 and over,Keating is,State,Complete,West,60 and over,60 and over,Republican,65 and over,0.32499999999999996,Unfavorable
37.0,20.0,15.0,First call,65 and over,White,,Nickles,Keating,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,,Same,Dole,Republican,HS grad,30 to 50K,Conservative,65 and over,Keating is,State,Complete,West,60 and over,60 and over,Republican,65 and over,0.34600000000000003,Unfavorable
37.0,20.0,16.0,First call,65 and over,White,Male,Carroll,Boyd,,Disapprove,Neither,No,No,No,No,Worse,Clinton,Democrat,HS grad,Under 15K,Liberal,65 and over,Boyd is,State,Complete,West,60 and over,60 and over,Democrat,65 and over,0.321,Favorable
37.0,20.0,17.0,Second call,50-59,White,Male,Nickles,Keating,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Independent,Postgrad,50 to 75K,Moderate,18 to 64,,State,Complete,West,45 to 59,50 to 59,Independent/Other,50 to 64,0.3,Unfavorable
37.0,20.0,18.0,Second call,40-44,White,Male,Nickles,Keating,Disapprove,Approve,Neither,No,Yes,Yes,No,Better,Dole,Republican,Some college,50 to 75K,Conservative,18 to 64,,State,Complete,West,30 to 44,40 to 49,Republican,40 to 49,0.3,Unfavorable
37.0,20.0,19.0,Second call,65 and over,White,Female,Nickles,Keating,Disapprove,Disapprove,Oppose Clinton,,No,Yes,Yes,Same,Dole,Republican,Postgrad,,Conservative,65 and over,Keating is,State,Complete,West,60 and over,60 and over,Republican,65 and over,0.32499999999999996,Unfavorable
37.0,20.0,20.0,Second call,40-44,White,Male,Nickles,Keating,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Democrat,Some college,50 to 75K,Conservative,18 to 64,Both are,State,Complete,West,30 to 44,40 to 49,Democrat,40 to 49,0.3,Unfavorable
37.0,20.0,21.0,Second call,60-64,White,Female,Nickles,Keating,Disapprove,Approve,Neither,Yes,Yes,Yes,,Same,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,Keating is,State,Complete,West,60 and over,60 and over,Republican,50 to 64,0.32499999999999996,Unfavorable
37.0,20.0,22.0,Second call,60-64,White,Female,Nickles,Keating,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,,No,Same,Dole,Independent,HS grad,,Conservative,18 to 64,Keating is,State,Complete,West,60 and over,60 and over,Independent/Other,50 to 64,0.32499999999999996,Unfavorable
37.0,20.0,23.0,Second call,50-59,White,Female,Nickles,Keating,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Same,Dole,Republican,College grad,75 to 100K,Conservative,18 to 64,Keating is,State,Complete,West,45 to 59,50 to 59,Republican,50 to 64,0.28099999999999997,Unfavorable
37.0,20.0,24.0,Second call,65 and over,White,Male,Carroll,Keating,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,College grad,15 to 30K,Moderate,65 and over,Both are,State,Complete,West,60 and over,60 and over,Democrat,65 and over,0.3,Unfavorable
37.0,20.0,25.0,Second call,60-64,White,Female,Nickles,Keating,Approve,Disapprove,Support Clinton,,No,No,No,Better,Clinton,Democrat,HS grad,,Moderate,18 to 64,Both are,State,Complete,West,60 and over,60 and over,Democrat,50 to 64,0.32499999999999996,Favorable
37.0,20.0,26.0,Second call,50-59,White,Male,Nickles,Keating,Approve,Approve,Neither,Yes,Yes,Yes,No,Better,Dole,Republican,College grad,100K or more,Conservative,18 to 64,Keating is,State,Complete,West,45 to 59,50 to 59,Republican,50 to 64,0.3,Unfavorable
37.0,20.0,27.0,Second call,30-39,White,Male,Nickles,Keating,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,Keating is,State,Complete,West,30 to 44,30 to 39,Republican,30 to 39,0.3,Unfavorable
37.0,20.0,28.0,Second call,40-44,White,Female,Nickles,Keating,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Worse,Dole,Republican,College grad,30 to 50K,Conservative,18 to 64,Keating is,State,Complete,West,30 to 44,40 to 49,Republican,40 to 49,0.28099999999999997,Unfavorable
37.0,20.0,29.0,Second call,25-29,White,Male,Nickles,Keating,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Better,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,Keating is,State,Complete,West,18 to 29,25 to 29,Republican,25 to 29,0.328,Unfavorable
37.0,20.0,30.0,Second call,60-64,White,Male,Nickles,Boyd,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,No,Worse,Dole,Republican,HS grad,Under 15K,Conservative,18 to 64,Both are,State,Complete,West,60 and over,60 and over,Republican,50 to 64,0.371,Unfavorable
37.0,20.0,31.0,Second call,25-29,White,Male,Nickles,Keating,Disapprove,Approve,Neither,Yes,Yes,No,No,Better,Dole,Republican,Postgrad,50 to 75K,Conservative,18 to 64,Both are,State,Complete,West,18 to 29,25 to 29,Republican,25 to 29,0.328,Favorable
37.0,20.0,32.0,Second call,65 and over,Asian,Female,Carroll,Boyd,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Some college,30 to 50K,Moderate,65 and over,Both are,State,Complete,West,60 and over,60 and over,Democrat,65 and over,0.304,Favorable
37.0,20.0,33.0,Second call,65 and over,,,Carroll,Boyd,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Postgrad,30 to 50K,Moderate,65 and over,Both are,State,Complete,West,60 and over,60 and over,Democrat,65 and over,0.304,Favorable
