V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46
1.0,0.0,G,44.0,47.0,6.0,First call,1.0,50-59,White,Female,Mauro,Sharp,Mattox,No,Approve,Disapprove,More Likely,White,Local Level,Support Clinton,No,Excellent,Run for President,No,No,Yes,Same,Clinton,Independent,College Graduate,"$75,000-$100,000",Moderate,18-64,Yes,State,Complete,Dallas/Fort Worth,45-59,50-59,Independent/Other,50-64,0.5549999999999999,Economy/Jobs,Better,Favorable
1.0,0.0,G,44.0,47.0,7.0,First call,1.0,40-44,White,Male,Bush,Perry,Cornyn,No,Disapprove,Disapprove,Less Likely,White,Local Level,Oppose Clinton,No,Good,Run for President,Yes,Yes,No,Same,Dole,Republican,Some College,"100,000 or More",Conservative,18-64,Yes,State,Complete,Dallas/Fort Worth,30-44,40-49,Republican,40-49,0.712,Taxes,Same,Unfavorable
1.0,0.0,G,44.0,47.0,8.0,First call,1.0,30-39,White,Male,Bush,Perry,Cornyn,No,Disapprove,Approve,Less Likely,White,Local Level,Neither,No,Good,Run for President,Yes,Yes,No,Better,Dole,Something Else,Some College,,Conservative,18-64,Yes,State,Complete,Dallas/Fort Worth,30-44,30-39,Independent/Other,30-39,0.712,Education,Same,Unfavorable
1.0,0.0,G,44.0,47.0,9.0,First call,1.0,50-59,White,Female,Mauro,Sharp,Mattox,No,Approve,Disapprove,No Effect,White,State Level,Support Clinton,No,Excellent,Serve out Term,No,No,No,Better,Clinton,Democrat,College Graduate,"$30,000-$50,000",Liberal,18-64,No,State,Complete,Dallas/Fort Worth,45-59,50-59,Democrat,50-64,0.5549999999999999,State Surplus,Same,Unfavorable
1.0,0.0,G,44.0,47.0,10.0,First call,1.0,50-59,Black,Male,Mauro,Sharp,Mattox,No,Approve,Disapprove,No Effect,Black,Local Level,Neither,No,Good,Run for President,No,No,Yes,Better,Clinton,Democrat,Postgrad,"$75,000-$100,000",Moderate,18-64,Yes,State,Complete,Dallas/Fort Worth,45-59,50-59,Democrat,50-64,0.6,State Surplus,Better,Unfavorable
1.0,0.0,G,44.0,47.0,11.0,First call,1.0,50-59,White,Male,Bush,Perry,Cornyn,No,Disapprove,Approve,No Effect,White,Local Level,Neither,No,Good,Run for President,No,Yes,Yes,Same,Perot,Republican,College Graduate,"$50,000-$75,000",Conservative,18-64,Yes,State,Complete,Dallas/Fort Worth,45-59,50-59,Republican,50-64,0.712,Economy/Jobs,Same,Unfavorable
1.0,0.0,G,44.0,47.0,12.0,First call,1.0,50-59,White,Male,Bush,Sharp,Cornyn,No,Disapprove,Approve,No Effect,White,Local Level,Neither,No,Not So Good,Run for President,Yes,Yes,No,Worse,Dole,Republican,College Graduate,"$30,000-$50,000",Conservative,18-64,Yes,State,Complete,Dallas/Fort Worth,45-59,50-59,Republican,50-64,0.723,Education,Worse,Unfavorable
1.0,0.0,G,44.0,47.0,13.0,Second call,1.0,18-24,Asian,Male,Bush,Perry,Cornyn,,Disapprove,Approve,Less Likely,Asian,,Oppose Clinton,No,Good,Run for President,Yes,Yes,No,Better,Did Not Vote,Republican,Some College,"100,000 or More",Conservative,18-64,Yes,State,Complete,Dallas/Fort Worth,18-29,18-24,Republican,18-24,0.738,Economy/Jobs,Better,Unfavorable
1.0,0.0,G,44.0,47.0,14.0,Second call,1.0,60-64,White,Female,Bush,Perry,Cornyn,No,Disapprove,Disapprove,No Effect,White,Local Level,Neither,Yes,Good,Run for President,Yes,Yes,Yes,Same,Dole,Republican,Some College,,Conservative,18-64,Yes,State,Complete,Dallas/Fort Worth,60 and Over,60 and Over,Republican,50-64,1.202,Education,Same,Unfavorable
1.0,0.0,G,44.0,47.0,15.0,Second call,1.0,30-39,White,Female,Bush,Perry,Cornyn,No,Disapprove,Disapprove,Less Likely,White,State Level,Oppose Clinton,No,Good,Run for President,Yes,Yes,Yes,Same,Did Not Vote,Republican,Some College,"$50,000-$75,000",Moderate,18-64,Yes,State,Complete,Dallas/Fort Worth,30-44,30-39,Republican,30-39,0.873,Education,Same,Unfavorable
1.0,0.0,G,44.0,47.0,16.0,Second call,1.0,65 and over,White,Male,Bush,Perry,Cornyn,No,Disapprove,Disapprove,Less Likely,White,Local Level,Neither,Yes,Good,Serve out Term,Yes,Yes,No,Same,Dole,Independent,College Graduate,"$15,000-$30,000",Conservative,65 and Over,Yes,State,Complete,Dallas/Fort Worth,60 and Over,60 and Over,Independent/Other,65 and Over,0.98,Education,Worse,Unfavorable
1.0,0.0,G,44.0,47.0,17.0,Second call,1.0,18-24,White,Male,Bush,Perry,Cornyn,No,Disapprove,Approve,Less Likely,White,State Level,Oppose Clinton,Yes,Good,Run for President,Yes,No,No,Same,Dole,Republican,College Graduate,"$30,000-$50,000",Conservative,18-64,Yes,State,Complete,Dallas/Fort Worth,18-29,18-24,Republican,18-24,0.738,Taxes,Better,Unfavorable
1.0,0.0,G,44.0,47.0,18.0,Second call,1.0,50-59,White,Female,Mauro,Sharp,Mattox,No,,,No Effect,White,,Neither,No,Good,,No,No,,Better,Clinton,Democrat,Postgrad,"100,000 or More",Liberal,18-64,,State,Complete,Dallas/Fort Worth,45-59,50-59,Democrat,50-64,0.5549999999999999,Education,Same,
1.0,0.0,G,44.0,47.0,19.0,Second call,1.0,45-49,White,Male,Bush,Sharp,Cornyn,No,Disapprove,Disapprove,Less Likely,White,Local Level,Oppose Clinton,Yes,Good,Run for President,Yes,Yes,Yes,Better,Dole,Republican,College Graduate,"$30,000-$50,000",Conservative,18-64,Yes,State,Complete,Dallas/Fort Worth,45-59,40-49,Republican,40-49,0.723,Education,Better,Unfavorable
1.0,0.0,G,44.0,47.0,20.0,Second call,1.0,50-59,White,Male,Mauro,Sharp,Mattox,No,Approve,Disapprove,No Effect,White,Local Level,Neither,No,Excellent,Run for President,No,No,No,Better,Clinton,Independent,Postgrad,"100,000 or More",Liberal,18-64,Yes,State,Complete,Dallas/Fort Worth,45-59,50-59,Independent/Other,50-64,0.452,Education,Same,Unfavorable
1.0,0.0,G,44.0,47.0,21.0,Second call,1.0,40-44,White,Male,Bush,Perry,Cornyn,No,Disapprove,Approve,Less Likely,White,State Level,Oppose Clinton,Yes,Good,Run for President,Yes,Yes,Yes,Same,Did Not Vote,Republican,Postgrad,"$30,000-$50,000",Conservative,18-64,Yes,State,Complete,Dallas/Fort Worth,30-44,40-49,Republican,40-49,0.712,Education,Same,Unfavorable
1.0,0.0,G,44.0,47.0,22.0,Second call,1.0,60-64,White,Female,Bush,Perry,Cornyn,No,Disapprove,Approve,Less Likely,White,Local Level,Oppose Clinton,No,Excellent,Run for President,Yes,Yes,No,Same,Dole,Republican,High School Graduate,"$50,000-$75,000",Conservative,18-64,Yes,State,Complete,Dallas/Fort Worth,60 and Over,60 and Over,Republican,50-64,1.202,Economy/Jobs,Same,Unfavorable
1.0,0.0,G,44.0,47.0,23.0,Second call,1.0,65 and over,White,Female,Mauro,Sharp,Mattox,No,Approve,Disapprove,No Effect,White,,Neither,No,Good,Serve out Term,No,No,Yes,Worse,Clinton,Independent,Some College,"$50,000-$75,000",Moderate,65 and Over,No,State,Complete,Dallas/Fort Worth,60 and Over,60 and Over,Independent/Other,65 and Over,0.7629999999999999,Taxes,Same,
1.0,0.0,G,44.0,47.0,24.0,Second call,1.0,60-64,White,Female,Bush,Perry,Cornyn,No,Disapprove,Disapprove,No Effect,White,Local Level,Oppose Clinton,Yes,Good,Run for President,Yes,Yes,Yes,Better,Dole,Independent,High School Graduate,"$75,000-$100,000",Moderate,18-64,Yes,State,Complete,Dallas/Fort Worth,60 and Over,60 and Over,Independent/Other,50-64,1.202,Crime/Drugs,Better,Unfavorable
1.0,0.0,G,44.0,47.0,25.0,Third call,1.0,45-49,White,Male,Bush,Perry,Cornyn,No,Disapprove,Approve,Less Likely,White,Local Level,Neither,Yes,Good,Run for President,Yes,Yes,Yes,Same,Dole,Something Else,Some College,"$50,000-$75,000",Conservative,18-64,Yes,State,Complete,Dallas/Fort Worth,45-59,40-49,Independent/Other,40-49,0.712,Crime/Drugs,Better,Unfavorable
1.0,0.0,G,44.0,47.0,26.0,Third call,1.0,25-29,White,Female,Bush,Perry,Cornyn,No,Disapprove,Approve,Less Likely,White,State Level,Oppose Clinton,Yes,Good,Run for President,No,Yes,Yes,Same,Dole,Republican,Postgrad,"$75,000-$100,000",Conservative,18-64,Yes,State,Complete,Dallas/Fort Worth,18-29,25-29,Republican,25-29,0.901,Education,Better,Unfavorable
1.0,0.0,G,44.0,47.0,27.0,Third call,1.0,50-59,White,Female,Mauro,Sharp,Mattox,No,Approve,Disapprove,No Effect,White,,Neither,No,Good,Serve out Term,No,No,No,Better,Clinton,Democrat,Some College,"$50,000-$75,000",Moderate,18-64,,State,Complete,Dallas/Fort Worth,45-59,50-59,Democrat,50-64,0.5549999999999999,Education,Same,Favorable
1.0,0.0,G,44.0,47.0,28.0,Third call,1.0,50-59,White,Female,Bush,Perry,Cornyn,No,Disapprove,Approve,Less Likely,White,State Level,Neither,No,Good,Run for President,Yes,Yes,Yes,Better,Dole,Republican,Some College,"100,000 or More",Conservative,18-64,Yes,State,Complete,Dallas/Fort Worth,45-59,50-59,Republican,50-64,0.873,Education,Same,Unfavorable
1.0,0.0,G,44.0,47.0,29.0,Third call,1.0,30-39,White,Male,Bush,Perry,Cornyn,No,Approve,Disapprove,No Effect,White,Local Level,Neither,No,Good,Serve out Term,No,No,Yes,Same,Dole,Republican,College Graduate,"$50,000-$75,000",Moderate,18-64,Yes,State,Complete,Dallas/Fort Worth,30-44,30-39,Republican,30-39,0.712,State Surplus,Worse,Favorable
1.0,0.0,G,44.0,47.0,30.0,Third call,1.0,40-44,White,Male,Bush,Sharp,Cornyn,No,Disapprove,Disapprove,Less Likely,White,State Level,Oppose Clinton,No,Good,Run for President,Yes,Yes,No,Better,Dole,Republican,High School Graduate,"$30,000-$50,000",Conservative,18-64,Yes,State,Complete,Dallas/Fort Worth,30-44,40-49,Republican,40-49,0.723,Economy/Jobs,Better,Unfavorable
1.0,0.0,G,44.0,47.0,31.0,Third call,1.0,25-29,Hispanic,Female,Bush,Perry,Mattox,Yes,Disapprove,Disapprove,Less Likely,Hispanic,Local Level,Oppose Clinton,Yes,Not So Good,Run for President,Yes,Yes,Yes,Worse,Did Not Vote,Something Else,High School Graduate,"Under $15,000",,18-64,Yes,State,Complete,Dallas/Fort Worth,18-29,25-29,Independent/Other,25-29,1.07,Welfare,Worse,Unfavorable
1.0,0.0,G,44.0,47.0,32.0,Third call,1.0,45-49,White,Female,Mauro,Sharp,Mattox,No,Approve,Disapprove,No Effect,White,State Level,Oppose Clinton,No,Excellent,Serve out Term,No,No,Yes,Same,Clinton,Democrat,Postgrad,"100,000 or More",Liberal,18-64,No,State,Complete,Dallas/Fort Worth,45-59,40-49,Democrat,40-49,0.5549999999999999,,Same,Unfavorable
1.0,0.0,G,44.0,47.0,33.0,Third call,1.0,18-24,White,Male,Bush,Sharp,Cornyn,No,Disapprove,Disapprove,Less Likely,White,Local Level,Neither,Yes,Good,Run for President,No,Yes,,Better,Did Not Vote,Independent,Some College,"$50,000-$75,000",Conservative,18-64,Yes,State,Complete,Dallas/Fort Worth,18-29,18-24,Independent/Other,18-24,0.748,Welfare,Same,Unfavorable
1.0,0.0,G,44.0,47.0,34.0,Third call,1.0,45-49,Hispanic,Male,,,Mattox,Yes,Approve,Disapprove,,Hispanic,State Level,Support Clinton,No,Excellent,,No,No,Yes,Better,,Something Else,Some College,"$30,000-$50,000",Moderate,18-64,,State,Complete,Dallas/Fort Worth,45-59,40-49,Independent/Other,40-49,0.7549999999999999,Education,Same,Unfavorable
1.0,0.0,G,44.0,47.0,35.0,Third call,1.0,30-39,White,Female,Bush,Perry,Mattox,No,Disapprove,Disapprove,Less Likely,White,Local Level,Oppose Clinton,No,Good,Run for President,Yes,Yes,Yes,Better,Perot,Republican,College Graduate,"$50,000-$75,000",Liberal,18-64,Yes,State,Complete,Dallas/Fort Worth,30-44,30-39,Republican,30-39,0.781,Taxes,Better,Unfavorable
1.0,0.0,G,44.0,47.0,36.0,Third call,1.0,40-44,White,,Mauro,Sharp,Mattox,No,Approve,Disapprove,More Likely,White,State Level,Support Clinton,Yes,Excellent,Run for President,No,No,No,Better,Clinton,Democrat,College Graduate,"$75,000-$100,000",Liberal,18-64,No,State,Complete,Dallas/Fort Worth,30-44,40-49,Democrat,40-49,0.5549999999999999,,Better,Favorable
1.0,0.0,G,44.0,48.0,1.0,Third call,1.0,18-24,Hispanic,Female,Mauro,Sharp,,No,Approve,Disapprove,,Hispanic,,Support Clinton,No,,,No,No,No,Same,Did Not Vote,Democrat,No High School,"$15,000-$30,000",Moderate,18-64,,National,Complete,Dallas/Fort Worth,18-29,18-24,Democrat,18-24,2.064,,,Favorable
1.0,0.0,G,44.0,48.0,2.0,Third call,1.0,30-39,Black,Female,Mauro,Sharp,,No,Approve,Disapprove,,Black,,Neither,No,,,No,No,No,Same,Clinton,Democrat,High School Graduate,"$15,000-$30,000",Moderate,18-64,,National,Complete,Dallas/Fort Worth,30-44,30-39,Democrat,30-39,1.996,,,Favorable
1.0,0.0,G,44.0,48.0,3.0,Third call,1.0,18-24,Black,Male,Bush,Perry,,No,Disapprove,Approve,,Black,,Oppose Clinton,No,,,Yes,Yes,Yes,Better,Dole,Republican,College Graduate,"$15,000-$30,000",Conservative,18-64,,National,Complete,Dallas/Fort Worth,18-29,18-24,Republican,18-24,2.372,,,Unfavorable
1.0,0.0,G,44.0,48.0,4.0,Third call,1.0,,Hispanic,Male,Bush,Sharp,,Yes,Disapprove,Disapprove,,Hispanic,,Neither,No,,,No,No,No,Same,Did Not Vote,Democrat,High School Graduate,,Moderate,,,National,Complete,Dallas/Fort Worth,,,Democrat,,2.329,,,
1.0,0.0,G,44.0,48.0,5.0,Third call,1.0,65 and over,Black,Male,Mauro,Sharp,,No,Approve,Disapprove,,Black,,Neither,No,,,No,No,No,Same,Clinton,Democrat,High School Graduate,"$15,000-$30,000",Moderate,65 and Over,,National,Complete,Dallas/Fort Worth,60 and Over,60 and Over,Democrat,65 and Over,2.243,,,Favorable
1.0,0.0,G,44.0,48.0,6.0,Third call,1.0,40-44,Black,Male,Bush,Sharp,,No,Disapprove,Disapprove,,Black,,Neither,No,,,No,No,No,Same,Clinton,Democrat,No High School,,Moderate,18-64,,National,Complete,Dallas/Fort Worth,30-44,40-49,Democrat,40-49,2.329,,,Favorable
1.0,0.0,G,44.0,48.0,7.0,Third call,1.0,30-39,Black,Male,Mauro,Sharp,,No,Approve,Disapprove,,Black,,Neither,No,,,No,No,No,Same,Did Not Vote,Democrat,High School Graduate,"$15,000-$30,000",Moderate,18-64,,National,Complete,Dallas/Fort Worth,30-44,30-39,Democrat,30-39,1.63,,,Favorable
1.0,0.0,G,44.0,48.0,8.0,Third call,1.0,18-24,Hispanic,Female,Bush,Perry,,Yes,Disapprove,Approve,,Hispanic,,Oppose Clinton,Yes,,,Yes,Yes,Yes,Better,Dole,Republican,College Graduate,"Under $15,000",Conservative,18-64,,National,Complete,Dallas/Fort Worth,18-29,18-24,Republican,18-24,2.907,,,Unfavorable
1.0,0.0,G,44.0,48.0,9.0,Third call,1.0,,Black,Male,Mauro,Sharp,,No,Approve,Disapprove,,Black,,Neither,No,,,No,No,No,Same,Dole,Democrat,High School Graduate,,Moderate,,,National,Complete,Dallas/Fort Worth,,,Democrat,,1.63,,,Favorable
1.0,0.0,G,44.0,48.0,10.0,Third call,1.0,45-49,Black,Male,Mauro,Sharp,,No,Approve,Disapprove,,Black,,Oppose Clinton,No,,,No,No,No,Same,Clinton,Democrat,,"$15,000-$30,000",Moderate,18-64,,National,Complete,Dallas/Fort Worth,45-59,40-49,Democrat,40-49,1.63,,,Favorable
1.0,0.0,G,44.0,48.0,11.0,Third call,1.0,30-39,Black,Male,Mauro,Sharp,,No,Approve,,,Black,,,,,,,,,Better,,Democrat,,,Moderate,18-64,,National,Complete,Dallas/Fort Worth,30-44,30-39,Democrat,30-39,1.63,,,
1.0,0.0,G,44.0,48.0,12.0,Third call,1.0,65 and over,Black,Male,Mauro,Sharp,,No,Approve,,,Black,,,,,,,,,Better,,Democrat,,,Moderate,65 and Over,,National,Complete,Dallas/Fort Worth,60 and Over,60 and Over,Democrat,65 and Over,2.243,,,
1.0,0.0,G,44.0,48.0,13.0,Third call,1.0,18-24,Hispanic,Male,Mauro,Sharp,,Yes,Approve,,,Hispanic,,,,,,,,,Better,,Democrat,,"$15,000-$30,000",Moderate,18-64,,National,Complete,Dallas/Fort Worth,18-29,18-24,Democrat,18-24,1.6829999999999998,,,
1.0,0.0,G,44.0,48.0,14.0,Third call,1.0,50-59,Black,Male,Mauro,Sharp,,No,Approve,,,Black,,,,,,,,,Better,,Democrat,,"Under $15,000",Moderate,18-64,,National,Complete,Dallas/Fort Worth,45-59,50-59,Democrat,50-64,1.63,,,
1.0,0.0,G,44.0,48.0,15.0,Third call,1.0,25-29,Black,Male,Bush,Perry,,No,Disapprove,,,Black,,,,,,,,,Better,,Republican,,"$15,000-$30,000",Conservative,18-64,,National,Complete,Dallas/Fort Worth,18-29,25-29,Republican,25-29,2.372,,,
1.0,0.0,G,44.0,48.0,16.0,Third call,1.0,,Hispanic,Female,Bush,Perry,,Yes,Disapprove,,,Hispanic,,,,,,,,,Same,,Republican,,,Conservative,,,National,Complete,Dallas/Fort Worth,,,Republican,,2.815,,,
1.0,0.0,G,44.0,48.0,17.0,Third call,1.0,30-39,Black,Male,Mauro,Sharp,,No,Approve,,,Black,,,,,,,,,Same,,Democrat,,"$15,000-$30,000",Moderate,18-64,,National,Complete,Dallas/Fort Worth,30-44,30-39,Democrat,30-39,1.63,,,
1.0,0.0,G,44.0,48.0,18.0,Third call,1.0,60-64,Black,Male,Mauro,Sharp,,No,Approve,,,Black,,,,,,,,,Same,,Democrat,,,Moderate,18-64,,National,Complete,Dallas/Fort Worth,60 and Over,60 and Over,Democrat,50-64,2.243,,,
1.0,0.0,G,44.0,54.0,1.0,First call,1.0,60-64,White,Female,Bush,Perry,Cornyn,No,Disapprove,Disapprove,,White,State Level,Neither,Yes,Not So Good,Run for President,No,No,,Better,Dole,Republican,Some College,"$15,000-$30,000",Conservative,18-64,Yes,State,Complete,West,60 and Over,60 and Over,Republican,50-64,1.593,Economy/Jobs,Worse,Unfavorable
1.0,0.0,G,44.0,54.0,2.0,First call,1.0,65 and over,Hispanic,Female,Bush,Sharp,Mattox,Yes,,Disapprove,No Effect,Hispanic,Local Level,Neither,No,Excellent,Serve out Term,No,No,No,Same,Clinton,Independent,No High School,"$15,000-$30,000",Liberal,65 and Over,Yes,State,Complete,West,60 and Over,60 and Over,Independent/Other,65 and Over,1.249,Welfare,Same,Favorable
1.0,0.0,G,44.0,54.0,3.0,First call,1.0,30-39,White,Male,Bush,Perry,Mattox,,,,No Effect,White,State Level,,,,Run for President,,,,,,,,,,18-64,Yes,State,Not Complete,West,30-44,30-39,,30-39,1.433,Education,,
1.0,0.0,G,44.0,54.0,4.0,First call,1.0,65 and over,Hispanic,Female,Bush,Sharp,Mattox,Yes,Approve,Disapprove,No Effect,White,State Level,Neither,No,Excellent,Serve out Term,Yes,Yes,Yes,Same,Perot,Independent,Postgrad,"$75,000-$100,000",Moderate,65 and Over,No,State,Complete,West,60 and Over,60 and Over,Independent/Other,65 and Over,1.249,Education,Better,Unfavorable
1.0,0.0,G,44.0,54.0,5.0,First call,1.0,40-44,White,Male,Bush,Perry,Cornyn,No,Disapprove,Disapprove,Less Likely,White,State Level,Oppose Clinton,No,Good,Run for President,Yes,Yes,No,Better,Dole,Republican,Some College,"100,000 or More",Conservative,18-64,Yes,State,Complete,West,30-44,40-49,Republican,40-49,1.605,,Better,Unfavorable
1.0,0.0,G,44.0,54.0,6.0,First call,1.0,65 and over,White,Male,Bush,Perry,Cornyn,No,Approve,Approve,,White,State Level,Neither,No,Excellent,,Yes,,Yes,Same,Dole,Republican,No High School,"$15,000-$30,000",Conservative,65 and Over,Yes,State,Complete,West,60 and Over,60 and Over,Republican,65 and Over,1.874,Education,Worse,Unfavorable
1.0,0.0,G,44.0,54.0,7.0,First call,1.0,30-39,White,Male,Bush,Perry,Cornyn,No,Disapprove,Approve,No Effect,White,Local Level,Neither,Yes,Excellent,Run for President,Yes,Yes,Yes,Same,Dole,Republican,College Graduate,"$30,000-$50,000",Conservative,18-64,Yes,State,Complete,West,30-44,30-39,Republican,30-39,1.605,Education,Same,Unfavorable
1.0,0.0,G,44.0,54.0,8.0,First call,1.0,50-59,White,Male,Bush,Perry,Cornyn,No,Approve,Disapprove,No Effect,White,Local Level,Neither,No,Good,Run for President,No,No,Yes,Better,Clinton,Democrat,College Graduate,"$30,000-$50,000",Moderate,18-64,Yes,State,Complete,West,45-59,50-59,Democrat,50-64,1.605,Education,Better,Favorable
1.0,0.0,G,44.0,54.0,9.0,First call,1.0,40-44,White,Female,Bush,Perry,Cornyn,No,Disapprove,Approve,Less Likely,White,Local Level,Oppose Clinton,No,Poor,Run for President,Yes,Yes,,Same,Dole,Republican,High School Graduate,"100,000 or More",Conservative,18-64,Yes,State,Complete,West,30-44,40-49,Republican,40-49,1.362,Education,Same,Unfavorable
1.0,0.0,G,44.0,54.0,10.0,First call,1.0,65 and over,White,Female,Bush,Perry,Cornyn,No,Approve,,No Effect,White,,Neither,,,,No,No,,Better,Clinton,Republican,,"$15,000-$30,000",Moderate,65 and Over,,State,Complete,West,60 and Over,60 and Over,Republican,65 and Over,1.593,,,Favorable
1.0,0.0,G,44.0,54.0,11.0,First call,1.0,45-49,White,Female,Bush,Sharp,Cornyn,No,Approve,Disapprove,No Effect,White,Local Level,Neither,No,Good,Serve out Term,No,No,Yes,Same,Dole,Republican,College Graduate,"$50,000-$75,000",Moderate,18-64,No,State,Complete,West,45-59,40-49,Republican,40-49,1.381,State Surplus,Worse,Unfavorable
1.0,0.0,G,44.0,54.0,12.0,First call,1.0,65 and over,White,Male,Bush,,Other,No,Disapprove,Disapprove,Less Likely,White,State Level,Neither,,Good,Run for President,No,No,Yes,Same,Dole,Independent,No High School,"$30,000-$50,000",Conservative,65 and Over,Yes,State,Complete,West,60 and Over,60 and Over,Independent/Other,65 and Over,1.674,,Better,Unfavorable
1.0,0.0,G,44.0,54.0,13.0,Second call,1.0,50-59,White,Male,Bush,Perry,Cornyn,No,Disapprove,Approve,Less Likely,White,Local Level,Neither,Yes,Good,Run for President,,,Yes,Same,Dole,Independent,College Graduate,,Conservative,18-64,Yes,State,Complete,West,45-59,50-59,Independent/Other,50-64,1.605,,Worse,Unfavorable
1.0,0.0,G,44.0,54.0,14.0,Second call,1.0,65 and over,White,Male,Bush,Perry,Cornyn,No,Disapprove,Approve,Less Likely,White,Local Level,Neither,No,Good,Run for President,Yes,Yes,No,Same,Dole,Independent,Postgrad,"$50,000-$75,000",Moderate,65 and Over,Yes,State,Complete,West,60 and Over,60 and Over,Independent/Other,65 and Over,1.874,Crime/Drugs,Same,Unfavorable
1.0,0.0,G,44.0,54.0,15.0,Second call,1.0,40-44,Hispanic,Male,Mauro,Sharp,Cornyn,Yes,Approve,Disapprove,No Effect,Hispanic,State Level,Neither,No,Not So Good,Serve out Term,No,No,No,Same,Clinton,Independent,College Graduate,"$50,000-$75,000",Moderate,18-64,No,State,Complete,West,30-44,40-49,Independent/Other,40-49,1.306,Taxes,Better,Favorable
1.0,0.0,G,44.0,54.0,16.0,Second call,1.0,40-44,White,Female,Bush,Perry,Cornyn,No,Disapprove,Disapprove,No Effect,White,Local Level,Neither,No,Good,Serve out Term,No,No,Yes,Same,Did Not Vote,Republican,Some College,"$30,000-$50,000",Moderate,18-64,Yes,State,Complete,West,30-44,40-49,Republican,40-49,1.362,Education,Same,Unfavorable
1.0,0.0,G,44.0,54.0,17.0,Second call,1.0,40-44,White,Female,Mauro,Sharp,Mattox,No,Approve,Disapprove,More Likely,White,Local Level,Support Clinton,No,Good,Serve out Term,No,No,No,Better,Clinton,Democrat,College Graduate,"$15,000-$30,000",Liberal,18-64,No,State,Complete,West,30-44,40-49,Democrat,40-49,1.146,Economy/Jobs,Same,Favorable
1.0,0.0,G,44.0,54.0,18.0,Second call,1.0,50-59,White,Female,Bush,Sharp,Cornyn,No,Disapprove,Approve,No Effect,White,State Level,Oppose Clinton,Yes,Good,Run for President,Yes,Yes,Yes,Better,Dole,Independent,Some College,"$30,000-$50,000",Conservative,18-64,Yes,State,Complete,West,45-59,50-59,Independent/Other,50-64,1.381,Education,Same,Unfavorable
1.0,0.0,G,44.0,54.0,19.0,Second call,1.0,45-49,Hispanic,Female,Mauro,Sharp,Mattox,Yes,Approve,Disapprove,No Effect,Hispanic,State Level,Neither,No,Not So Good,Serve out Term,No,No,,Better,Clinton,Democrat,Postgrad,"$30,000-$50,000",Moderate,18-64,Yes,State,Complete,West,45-59,40-49,Democrat,40-49,0.993,Education,Better,Unfavorable
1.0,0.0,G,44.0,54.0,20.0,Second call,1.0,45-49,White,Male,Bush,Perry,Cornyn,No,Disapprove,Disapprove,No Effect,White,Local Level,Neither,Yes,Good,Run for President,Yes,Yes,No,Worse,Dole,Independent,Some College,"$30,000-$50,000",Conservative,18-64,Yes,State,Complete,West,45-59,40-49,Independent/Other,40-49,1.605,Economy/Jobs,Better,Unfavorable
1.0,0.0,G,44.0,54.0,21.0,Second call,1.0,60-64,Hispanic,Female,Mauro,Sharp,Mattox,Yes,Approve,,No Effect,Hispanic,State Level,Neither,No,Good,Serve out Term,No,No,No,Better,Clinton,Democrat,College Graduate,"$50,000-$75,000",Moderate,18-64,No,State,Complete,West,60 and Over,60 and Over,Democrat,50-64,1.161,Economy/Jobs,Same,Favorable
1.0,0.0,G,44.0,54.0,22.0,Second call,1.0,65 and over,White,Female,Bush,Perry,Cornyn,No,Disapprove,Disapprove,Less Likely,White,Local Level,Oppose Clinton,Yes,Not So Good,Serve out Term,Yes,Yes,Yes,Same,Dole,Republican,,"$15,000-$30,000",Conservative,65 and Over,Yes,State,Complete,West,60 and Over,60 and Over,Republican,65 and Over,1.593,Education,Worse,Unfavorable
1.0,0.0,G,44.0,54.0,23.0,Second call,1.0,25-29,White,Female,Bush,Perry,Mattox,No,,,No Effect,White,,Neither,,Good,Run for President,No,No,,Better,Dole,Independent,College Graduate,"$30,000-$50,000",,18-64,Yes,State,Complete,West,18-29,25-29,Independent/Other,25-29,1.343,,Same,
1.0,0.0,G,44.0,54.0,24.0,Third call,1.0,18-24,White,Male,Bush,Sharp,Cornyn,No,Disapprove,Approve,No Effect,White,State Level,Oppose Clinton,No,Good,Run for President,Yes,Yes,Yes,Worse,Dole,Republican,High School Graduate,"$15,000-$30,000",Moderate,18-64,Yes,State,Complete,West,18-29,18-24,Republican,18-24,1.79,Crime/Drugs,Worse,Unfavorable
1.0,0.0,G,44.0,54.0,25.0,Third call,1.0,45-49,White,Male,Mauro,Perry,Cornyn,No,Approve,Approve,No Effect,White,Local Level,Neither,No,Good,Serve out Term,No,No,No,Same,Dole,Independent,Postgrad,"$75,000-$100,000",Conservative,18-64,Yes,State,Complete,West,45-59,40-49,Independent/Other,40-49,1.49,Education,Same,Unfavorable
1.0,0.0,G,44.0,54.0,26.0,Third call,1.0,60-64,White,Male,Bush,Perry,Cornyn,No,Disapprove,Disapprove,No Effect,White,State Level,Neither,No,Good,Serve out Term,No,No,Yes,Same,Dole,Republican,High School Graduate,"$50,000-$75,000",Moderate,18-64,Yes,State,Complete,West,60 and Over,60 and Over,Republican,50-64,1.874,Education,Same,Unfavorable
