V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40
1.0,0.0,G,10.0,49.0,1.0,First call,1.0,45-49,Black,Female,Graham,MacKay,No,Approve,Approve,Black,Oppose,,Yes,,,,,,,,,,18 to 64,State,Not complete,Miami/Gold Coast,45 to 59,40 to 49,,40 to 49,0.207,Cares about me,Favorable
1.0,0.0,G,10.0,49.0,2.0,First call,1.0,,Black,Female,,MacKay,No,,,Black,,,,,,,,,,,,,,State,Not complete,Miami/Gold Coast,,,,,0.198,,
1.0,0.0,G,10.0,49.0,3.0,First call,1.0,65 and over,,Female,Graham,MacKay,No,Approve,Approve,,Support,Support Clinton,No,No,No,No,Same,Clinton,Democrat,HS grad,Under 15K,Liberal,65 and over,State,Complete,Miami/Gold Coast,60 and over,60 and over,Democrat,65 and over,0.33499999999999996,Honest/Trust,Favorable
1.0,0.0,G,10.0,49.0,4.0,First call,1.0,40-44,Black,Female,Graham,MacKay,No,Approve,Approve,Black,Oppose,Support Clinton,No,No,No,No,Better,Clinton,Democrat,College grad,75 to 100K,Liberal,18 to 64,State,Complete,Miami/Gold Coast,30 to 44,40 to 49,Democrat,40 to 49,0.207,Get things done,Favorable
1.0,0.0,G,10.0,49.0,5.0,First call,1.0,30-39,Black,Female,Graham,MacKay,No,Approve,,Black,Oppose,Neither,,No,No,,Better,Clinton,Democrat,Some college,15 to 30K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,30 to 44,30 to 39,Democrat,30 to 39,0.207,My view of govt.,Favorable
1.0,0.0,G,10.0,49.0,6.0,First call,1.0,18-24,Black,Female,Graham,MacKay,No,Approve,Approve,Black,Oppose,Support Clinton,No,No,No,Yes,Better,Clinton,Democrat,HS grad,Under 15K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,18 to 29,18 to 24,Democrat,18 to 24,0.249,Bring change,Favorable
1.0,0.0,G,10.0,49.0,7.0,First call,1.0,50-59,Black,Male,Graham,MacKay,No,Approve,Disapprove,Black,Oppose,Support Clinton,No,No,No,No,Same,Clinton,Independent,Some college,75 to 100K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,50 to 59,Independent/Other,50 to 64,0.22800000000000004,,Favorable
1.0,0.0,G,10.0,49.0,8.0,First call,1.0,65 and over,Black,Male,Graham,MacKay,No,Approve,Disapprove,Black,Oppose,Support Clinton,No,No,,No,Same,Clinton,Democrat,No HS,15 to 30K,Moderate,65 and over,State,Complete,Miami/Gold Coast,60 and over,60 and over,Democrat,65 and over,0.32399999999999995,,Favorable
1.0,0.0,G,10.0,49.0,9.0,First call,1.0,60-64,Black,Female,Graham,MacKay,No,Approve,Approve,Black,Oppose,Neither,,No,No,No,Better,Clinton,Democrat,Postgrad,50 to 75K,Conservative,18 to 64,State,Complete,Miami/Gold Coast,60 and over,60 and over,Democrat,50 to 64,0.297,,Favorable
1.0,0.0,G,10.0,49.0,10.0,First call,1.0,25-29,Black,Female,Graham,MacKay,No,Approve,Disapprove,Black,Oppose,Neither,No,No,No,No,Same,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,18 to 29,25 to 29,Democrat,25 to 29,0.249,My view of govt.,Favorable
1.0,0.0,G,10.0,49.0,11.0,First call,1.0,50-59,Black,Female,Graham,MacKay,No,,Disapprove,Black,Support,Support Clinton,Yes,No,Yes,No,Better,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,50 to 59,Democrat,50 to 64,0.207,My view of govt.,Favorable
1.0,0.0,G,10.0,49.0,12.0,First call,1.0,45-49,Black,Female,Graham,MacKay,No,,Approve,Black,Support,Neither,No,No,No,Yes,Better,Clinton,Democrat,No HS,30 to 50K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,40 to 49,Democrat,40 to 49,0.207,Experience,Favorable
1.0,0.0,G,10.0,49.0,13.0,First call,1.0,50-59,Black,Female,Graham,MacKay,No,Approve,Approve,Black,Support,Neither,,,No,,Same,Clinton,Something else,Some college,15 to 30K,,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,50 to 59,Independent/Other,50 to 64,0.207,Honest/Trust,Unfavorable
1.0,0.0,G,10.0,49.0,14.0,Second call,1.0,18-24,Black,Female,Graham,MacKay,No,Approve,Disapprove,Black,Oppose,Neither,No,No,No,No,Better,Clinton,Democrat,Some college,15 to 30K,Liberal,18 to 64,State,Complete,Miami/Gold Coast,18 to 29,18 to 24,Democrat,18 to 24,0.249,Cares about me,Favorable
1.0,0.0,G,10.0,49.0,15.0,Second call,1.0,30-39,Black,Female,Graham,MacKay,No,Approve,Approve,Black,Oppose,Neither,Yes,No,No,Yes,Better,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,30 to 44,30 to 39,Democrat,30 to 39,0.207,My party,Favorable
1.0,0.0,G,10.0,49.0,16.0,Second call,1.0,65 and over,Black,Female,Graham,MacKay,No,Approve,Approve,Black,,Support Clinton,,No,No,,Better,Clinton,Democrat,No HS,,Conservative,65 and over,State,Complete,Miami/Gold Coast,60 and over,60 and over,Democrat,65 and over,0.297,,Favorable
1.0,0.0,G,10.0,49.0,17.0,Second call,1.0,18-24,Black,Female,Crist,MacKay,No,Disapprove,Disapprove,Black,Oppose,Neither,Yes,No,Yes,No,Same,Clinton,Independent,Some college,,Moderate,18 to 64,State,Complete,Miami/Gold Coast,18 to 29,18 to 24,Independent/Other,18 to 24,0.221,My view of govt.,Unfavorable
1.0,0.0,G,10.0,49.0,18.0,Second call,1.0,45-49,Black,Female,Graham,MacKay,,Approve,Approve,Black,,,,,,,,,,,,,18 to 64,State,Not complete,Miami/Gold Coast,45 to 59,40 to 49,,40 to 49,0.207,Experience,
1.0,0.0,G,10.0,49.0,19.0,Second call,1.0,50-59,Other,Female,Graham,MacKay,,Approve,Approve,Other,Oppose,Support Clinton,,No,No,,,Clinton,Democrat,HS grad,Under 15K,,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,50 to 59,Democrat,50 to 64,0.236,My party,
1.0,0.0,G,10.0,49.0,20.0,Second call,1.0,25-29,Black,Female,Graham,MacKay,No,Approve,Disapprove,Black,Oppose,Support Clinton,No,No,No,No,Better,Clinton,Democrat,College grad,75 to 100K,Liberal,18 to 64,State,Complete,Miami/Gold Coast,18 to 29,25 to 29,Democrat,25 to 29,0.249,Bring change,Favorable
1.0,0.0,G,10.0,49.0,21.0,Second call,1.0,50-59,Black,Male,,MacKay,No,Approve,Disapprove,Black,Oppose,Neither,,No,No,No,Same,Clinton,Something else,College grad,30 to 50K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,50 to 59,Independent/Other,50 to 64,0.217,,Favorable
1.0,0.0,G,10.0,49.0,22.0,Second call,1.0,45-49,Hispanic,Female,Other,Other,Yes,,Approve,Black,Support,Neither,Yes,No,No,No,Better,Clinton,Democrat,Some college,15 to 30K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,40 to 49,Democrat,40 to 49,0.234,Experience,Favorable
1.0,0.0,G,10.0,49.0,23.0,Second call,1.0,30-39,Black,Male,Graham,MacKay,No,Approve,Disapprove,Black,Oppose,Support Clinton,No,No,No,No,Better,Clinton,Independent,Some college,30 to 50K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,30 to 44,30 to 39,Independent/Other,30 to 39,0.22800000000000004,Cares about me,Favorable
1.0,0.0,G,10.0,49.0,24.0,Second call,1.0,65 and over,Black,Female,Graham,MacKay,No,Approve,Approve,Black,Oppose,,,,,,,,,,,,65 and over,State,Not complete,Miami/Gold Coast,60 and over,60 and over,,65 and over,0.297,Honest/Trust,Favorable
1.0,0.0,G,10.0,49.0,25.0,Third call,1.0,40-44,Black,Female,Graham,MacKay,No,Approve,Disapprove,Black,Oppose,Support Clinton,Yes,No,No,,Better,Clinton,Democrat,Some college,,Liberal,18 to 64,State,Complete,Miami/Gold Coast,30 to 44,40 to 49,Democrat,40 to 49,0.207,My party,Favorable
1.0,0.0,G,10.0,49.0,26.0,Third call,1.0,40-44,Black,Male,Graham,MacKay,No,Approve,Disapprove,Black,Support,Neither,No,No,No,No,Better,Clinton,Democrat,,Under 15K,Liberal,18 to 64,State,Complete,Miami/Gold Coast,30 to 44,40 to 49,Democrat,40 to 49,0.22800000000000004,Cares about me,Favorable
1.0,0.0,G,10.0,49.0,27.0,Third call,1.0,50-59,Black,Female,Graham,MacKay,No,Approve,Disapprove,Black,Oppose,,No,,,,,,,,,,18 to 64,State,Not complete,Miami/Gold Coast,45 to 59,50 to 59,,50 to 64,0.207,My view of govt.,Favorable
1.0,0.0,G,10.0,49.0,28.0,Third call,1.0,45-49,Black,Male,Graham,MacKay,No,Approve,Disapprove,Black,Oppose,Neither,No,No,No,Yes,Same,Clinton,Independent,College grad,15 to 30K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,40 to 49,Independent/Other,40 to 49,0.22800000000000004,Cares about me,Favorable
1.0,0.0,G,10.0,49.0,29.0,Third call,1.0,65 and over,Black,Female,Graham,MacKay,No,Approve,Approve,Black,Oppose,Support Clinton,Yes,No,No,No,Worse,Clinton,Democrat,College grad,15 to 30K,Moderate,65 and over,State,Complete,Miami/Gold Coast,60 and over,60 and over,Democrat,65 and over,0.297,Cares about me,Favorable
1.0,0.0,G,10.0,49.0,30.0,Third call,1.0,65 and over,Black,Female,Graham,MacKay,,Approve,Approve,Black,Oppose,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Moderate,65 and over,State,Complete,Miami/Gold Coast,60 and over,60 and over,Democrat,65 and over,0.297,Honest/Trust,Favorable
1.0,0.0,G,10.0,49.0,31.0,Third call,1.0,60-64,Black,Female,Graham,MacKay,,Approve,,Black,Oppose,,,,,,,,,,,,18 to 64,State,Not complete,Miami/Gold Coast,60 and over,60 and over,,50 to 64,0.297,,Favorable
1.0,0.0,G,10.0,49.0,32.0,Third call,1.0,30-39,Black,Female,Graham,,No,Approve,Approve,Black,Oppose,Support Clinton,Yes,No,No,,Better,Clinton,Democrat,Some college,30 to 50K,Conservative,18 to 64,State,Complete,Miami/Gold Coast,30 to 44,30 to 39,Democrat,30 to 39,0.245,Cares about me,Favorable
1.0,0.0,G,10.0,49.0,33.0,Third call,1.0,65 and over,Black,Male,Graham,MacKay,No,Approve,,Black,,Support Clinton,Yes,No,No,,Better,Clinton,Democrat,No HS,,Conservative,65 and over,State,Complete,Miami/Gold Coast,60 and over,60 and over,Democrat,65 and over,0.32399999999999995,,Favorable
1.0,0.0,G,10.0,49.0,34.0,Third call,1.0,30-39,Black,Female,Graham,MacKay,No,Approve,Approve,Black,Oppose,,No,,,,,,,,,,18 to 64,State,Not complete,Miami/Gold Coast,30 to 44,30 to 39,,30 to 39,0.207,My party,Favorable
1.0,0.0,G,10.0,49.0,35.0,Third call,1.0,30-39,Other,Male,Graham,MacKay,No,Approve,Disapprove,Other,Support,,Yes,,,,,,,,,,18 to 64,State,Not complete,Miami/Gold Coast,30 to 44,30 to 39,,30 to 39,0.255,Cares about me,Favorable
1.0,0.0,G,10.0,49.0,36.0,Third call,1.0,45-49,Hispanic,Female,Graham,Bush,No,Approve,Disapprove,Hispanic,Oppose,Neither,Yes,No,No,No,Same,Clinton,Democrat,No HS,Under 15K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,40 to 49,Democrat,40 to 49,0.3,Honest/Trust,Favorable
1.0,0.0,G,10.0,49.0,37.0,Third call,1.0,40-44,Black,Female,Graham,MacKay,No,Approve,Disapprove,Black,Oppose,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,Some college,30 to 50K,Liberal,18 to 64,State,Complete,Miami/Gold Coast,30 to 44,40 to 49,Democrat,40 to 49,0.207,Honest/Trust,Favorable
1.0,0.0,G,10.0,49.0,38.0,Third call,1.0,40-44,Black,Male,Graham,MacKay,No,Approve,Approve,Black,Oppose,Neither,Yes,No,No,No,Worse,Clinton,Democrat,Some college,30 to 50K,Liberal,18 to 64,State,Complete,Miami/Gold Coast,30 to 44,40 to 49,Democrat,40 to 49,0.22800000000000004,Experience,Favorable
1.0,0.0,G,10.0,49.0,39.0,Third call,1.0,50-59,Black,Female,Graham,MacKay,No,Approve,Disapprove,Black,Oppose,Support Clinton,No,No,No,Yes,Better,Clinton,Democrat,College grad,30 to 50K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,50 to 59,Democrat,50 to 64,0.207,My view of govt.,Favorable
1.0,0.0,G,10.0,49.0,40.0,Third call,1.0,25-29,Black,Female,Graham,Bush,No,Approve,Approve,Black,Oppose,Neither,No,No,No,No,Better,Clinton,Democrat,College grad,30 to 50K,Liberal,18 to 64,State,Complete,Miami/Gold Coast,18 to 29,25 to 29,Democrat,25 to 29,0.36,Bring change,Favorable
1.0,0.0,G,10.0,49.0,41.0,Third call,1.0,40-44,Black,Female,Graham,MacKay,No,Approve,Disapprove,Black,Support,Support Clinton,No,No,No,Yes,Better,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,30 to 44,40 to 49,Democrat,40 to 49,0.207,My view of govt.,Favorable
1.0,0.0,G,10.0,49.0,42.0,Third call,1.0,60-64,Hispanic,Female,Graham,MacKay,Yes,,Disapprove,Hispanic,Oppose,,No,,,,,,,,,,18 to 64,State,Not complete,Miami/Gold Coast,60 and over,60 and over,,50 to 64,0.297,,Favorable
1.0,0.0,G,10.0,49.0,43.0,Third call,1.0,25-29,Black,Female,Graham,MacKay,No,Approve,Disapprove,Black,Oppose,Neither,No,No,No,No,Better,Clinton,Democrat,College grad,30 to 50K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,18 to 29,25 to 29,Democrat,25 to 29,0.249,,Favorable
1.0,0.0,G,10.0,49.0,44.0,Third call,1.0,25-29,Black,Male,Graham,MacKay,No,Approve,Disapprove,Black,Support,Support Clinton,No,No,No,No,Better,Clinton,Democrat,College grad,50 to 75K,Liberal,18 to 64,State,Complete,Miami/Gold Coast,18 to 29,25 to 29,Democrat,25 to 29,0.271,Honest/Trust,Favorable
1.0,0.0,G,10.0,49.0,45.0,Third call,1.0,30-39,Black,Male,Graham,MacKay,No,Approve,Approve,Black,Support,Support Clinton,No,No,No,No,Same,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,30 to 44,30 to 39,Democrat,30 to 39,0.22800000000000004,Honest/Trust,Favorable
1.0,0.0,G,10.0,49.0,46.0,Third call,1.0,18-24,Black,Female,Graham,MacKay,No,Approve,Approve,Black,Support,Support Clinton,No,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Liberal,18 to 64,State,Complete,Miami/Gold Coast,18 to 29,18 to 24,Democrat,18 to 24,0.249,Cares about me,Favorable
1.0,0.0,G,10.0,49.0,47.0,Third call,1.0,50-59,Black,Male,Graham,MacKay,No,Approve,Approve,Black,Oppose,Neither,No,No,No,No,Better,Clinton,Democrat,Some college,,Liberal,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,50 to 59,Democrat,50 to 64,0.22800000000000004,Experience,Favorable
1.0,0.0,G,10.0,49.0,48.0,Third call,1.0,30-39,Black,Female,Graham,MacKay,No,Approve,Disapprove,Black,Oppose,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,College grad,15 to 30K,Liberal,18 to 64,State,Complete,Miami/Gold Coast,30 to 44,30 to 39,Democrat,30 to 39,0.207,,Favorable
1.0,0.0,G,10.0,58.0,1.0,First call,1.0,65 and over,Hispanic,Male,Graham,MacKay,Yes,Approve,Disapprove,Hispanic,Oppose,Support Clinton,No,No,No,No,Same,Clinton,Democrat,Postgrad,75 to 100K,Moderate,65 and over,State,Complete,Miami/Gold Coast,60 and over,60 and over,Democrat,65 and over,1.211,Experience,Favorable
1.0,0.0,G,10.0,58.0,2.0,First call,1.0,50-59,Hispanic,Male,Crist,Bush,Yes,Disapprove,Approve,,Support,Neither,Yes,Yes,Yes,Yes,Same,Dole,Republican,Some college,15 to 30K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,50 to 59,Republican,50 to 64,1.086,Honest/Trust,Unfavorable
1.0,0.0,G,10.0,58.0,3.0,First call,1.0,50-59,Hispanic,Male,Crist,Bush,Yes,Disapprove,Approve,,Support,Support Clinton,Yes,No,Yes,Yes,Better,Dole,Republican,Postgrad,50 to 75K,Conservative,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,50 to 59,Republican,50 to 64,1.086,Honest/Trust,Unfavorable
1.0,0.0,G,10.0,58.0,4.0,First call,1.0,60-64,Hispanic,Female,Graham,Bush,Yes,Approve,Disapprove,Hispanic,Support,Neither,Yes,No,No,No,Same,Other,Independent,College grad,75 to 100K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,60 and over,60 and over,Independent/Other,50 to 64,1.607,Cares about me,Unfavorable
1.0,0.0,G,10.0,58.0,5.0,First call,1.0,50-59,White,Female,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Support Clinton,No,No,No,Yes,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,50 to 59,Democrat,50 to 64,0.876,Experience,Unfavorable
1.0,0.0,G,10.0,58.0,6.0,First call,1.0,50-59,White,Female,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Support Clinton,No,No,No,No,Same,Clinton,Independent,Some college,100K or more,Moderate,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,50 to 59,Independent/Other,50 to 64,0.876,My view of govt.,Favorable
1.0,0.0,G,10.0,58.0,7.0,First call,1.0,,White,Female,Crist,Bush,No,,,White,,Neither,,,Yes,,Same,Dole,Independent,Some college,50 to 75K,Conservative,,State,Complete,Miami/Gold Coast,,,Independent/Other,,1.12,Bring change,Unfavorable
1.0,0.0,G,10.0,58.0,8.0,First call,1.0,50-59,White,Male,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Neither,No,No,No,No,Same,Clinton,Independent,Postgrad,75 to 100K,Conservative,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,50 to 59,Independent/Other,50 to 64,0.953,Experience,Unfavorable
1.0,0.0,G,10.0,58.0,9.0,First call,1.0,30-39,Hispanic,Male,Graham,Bush,Yes,Approve,Approve,White,Support,Neither,No,Yes,No,No,Worse,Clinton,Republican,College grad,75 to 100K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,30 to 44,30 to 39,Republican,30 to 39,1.227,Honest/Trust,Unfavorable
1.0,0.0,G,10.0,58.0,10.0,First call,1.0,30-39,Asian,Female,Graham,MacKay,No,Approve,Disapprove,Asian,Oppose,,No,,,,,,,,,,18 to 64,State,Not complete,Miami/Gold Coast,30 to 44,30 to 39,,30 to 39,0.876,My view of govt.,Favorable
1.0,0.0,G,10.0,58.0,11.0,First call,1.0,50-59,Hispanic,Male,Graham,MacKay,Yes,Approve,Disapprove,White,Oppose,Support Clinton,No,No,No,No,Better,Clinton,Democrat,Postgrad,100K or more,Moderate,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,50 to 59,Democrat,50 to 64,0.849,,Unfavorable
1.0,0.0,G,10.0,58.0,12.0,First call,1.0,50-59,White,Male,Graham,MacKay,No,Approve,Approve,White,Oppose,Neither,No,No,No,Yes,Better,Clinton,Democrat,Postgrad,75 to 100K,Liberal,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,50 to 59,Democrat,50 to 64,0.953,Experience,Favorable
1.0,0.0,G,10.0,58.0,13.0,First call,1.0,,White,Female,,Bush,,,,White,,,,,,,,,,,,,,State,Not complete,Miami/Gold Coast,,,,,1.209,,
1.0,0.0,G,10.0,58.0,14.0,First call,1.0,50-59,Hispanic,Male,Crist,Bush,Yes,Disapprove,Approve,Hispanic,Support,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,Postgrad,100K or more,Conservative,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,50 to 59,Republican,50 to 64,1.086,Honest/Trust,Unfavorable
1.0,0.0,G,10.0,58.0,15.0,Second call,1.0,65 and over,White,Male,Graham,Bush,No,Disapprove,Approve,White,Support,Neither,Yes,Yes,Yes,No,Same,Dole,Independent,Postgrad,50 to 75K,Conservative,65 and over,State,Complete,Miami/Gold Coast,60 and over,60 and over,Independent/Other,65 and over,1.963,My view of govt.,Favorable
1.0,0.0,G,10.0,58.0,16.0,Second call,1.0,40-44,White,Male,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Neither,No,No,No,Yes,Same,Clinton,Democrat,Postgrad,75 to 100K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,30 to 44,40 to 49,Democrat,40 to 49,0.953,Experience,Unfavorable
1.0,0.0,G,10.0,58.0,17.0,Second call,1.0,65 and over,White,Female,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Neither,No,No,No,Yes,Same,Clinton,Independent,Some college,75 to 100K,Moderate,65 and over,State,Complete,Miami/Gold Coast,60 and over,60 and over,Independent/Other,65 and over,1.251,My view of govt.,Unfavorable
1.0,0.0,G,10.0,58.0,18.0,Second call,1.0,45-49,Hispanic,Male,Graham,MacKay,Yes,Approve,Approve,Hispanic,Oppose,Neither,No,No,No,No,Same,,Something else,Some college,50 to 75K,Liberal,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,40 to 49,Independent/Other,40 to 49,0.849,Experience,
1.0,0.0,G,10.0,58.0,19.0,Second call,1.0,60-64,White,Female,Crist,Bush,No,Disapprove,Approve,White,Support,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,HS grad,75 to 100K,Conservative,18 to 64,State,Complete,Miami/Gold Coast,60 and over,60 and over,Republican,50 to 64,1.596,Bring change,Unfavorable
1.0,0.0,G,10.0,58.0,20.0,Third call,1.0,50-59,Hispanic,Female,Graham,Bush,Yes,Approve,Approve,Hispanic,Oppose,Neither,No,No,No,No,Same,Clinton,Democrat,College grad,75 to 100K,Liberal,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,50 to 59,Democrat,50 to 64,1.129,My view of govt.,Unfavorable
1.0,0.0,G,10.0,58.0,21.0,Third call,1.0,40-44,White,Female,Graham,Bush,No,Approve,Approve,White,Oppose,Neither,No,No,No,No,Better,Dole,Republican,College grad,100K or more,Moderate,18 to 64,State,Complete,Miami/Gold Coast,30 to 44,40 to 49,Republican,40 to 49,1.267,Honest/Trust,Unfavorable
1.0,0.0,G,10.0,58.0,22.0,Third call,1.0,50-59,Hispanic,Female,Graham,MacKay,Yes,Approve,Disapprove,Hispanic,Oppose,Support Clinton,No,No,No,Yes,Same,Clinton,Democrat,College grad,50 to 75K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,50 to 59,Democrat,50 to 64,0.779,My view of govt.,Favorable
1.0,0.0,G,10.0,58.0,23.0,Third call,1.0,25-29,White,Female,Graham,MacKay,No,Approve,Approve,White,Oppose,Neither,No,No,No,No,Better,Clinton,Democrat,Some college,30 to 50K,Liberal,18 to 64,State,Complete,Miami/Gold Coast,18 to 29,25 to 29,Democrat,25 to 29,1.045,Experience,Unfavorable
1.0,0.0,G,10.0,58.0,24.0,Third call,1.0,50-59,White,Male,Graham,MacKay,No,Approve,Approve,White,Oppose,Neither,No,No,No,No,Better,Clinton,Democrat,Some college,50 to 75K,Liberal,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,50 to 59,Democrat,50 to 64,0.953,Experience,Favorable
1.0,0.0,G,10.0,58.0,25.0,Third call,1.0,25-29,White,Male,Graham,MacKay,No,Approve,Approve,White,Support,Neither,No,Yes,No,No,Same,Perot,Independent,Some college,50 to 75K,Liberal,18 to 64,State,Complete,Miami/Gold Coast,18 to 29,25 to 29,Independent/Other,25 to 29,1.138,Experience,Unfavorable
1.0,0.0,G,10.0,58.0,26.0,Third call,1.0,50-59,White,Female,Graham,MacKay,No,Approve,Approve,White,Oppose,Neither,No,Yes,No,No,Same,Clinton,Democrat,College grad,100K or more,Liberal,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,50 to 59,Democrat,50 to 64,0.876,Honest/Trust,Unfavorable
1.0,0.0,G,10.0,58.0,27.0,Third call,1.0,25-29,White,Male,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Support Clinton,No,No,No,Yes,Better,Clinton,Independent,Postgrad,100K or more,Moderate,18 to 64,State,Complete,Miami/Gold Coast,18 to 29,25 to 29,Independent/Other,25 to 29,1.138,My party,Favorable
1.0,0.0,G,10.0,58.0,28.0,Third call,1.0,60-64,White,Male,Graham,,No,Approve,Disapprove,White,Oppose,Neither,No,No,No,No,Same,Clinton,Independent,Postgrad,100K or more,Liberal,18 to 64,State,Complete,Miami/Gold Coast,60 and over,60 and over,Independent/Other,50 to 64,1.5939999999999999,My view of govt.,Favorable
1.0,0.0,G,10.0,58.0,29.0,Third call,1.0,40-44,Hispanic,Male,Graham,Bush,Yes,Approve,Approve,Hispanic,Oppose,Neither,Yes,No,No,No,Better,Dole,Republican,College grad,100K or more,Moderate,18 to 64,State,Complete,Miami/Gold Coast,30 to 44,40 to 49,Republican,40 to 49,1.227,,Favorable
1.0,0.0,G,10.0,58.0,30.0,Third call,1.0,45-49,White,Female,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Neither,No,No,No,No,Better,Clinton,Democrat,Postgrad,100K or more,Liberal,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,40 to 49,Democrat,40 to 49,0.876,My view of govt.,Unfavorable
1.0,0.0,G,10.0,58.0,31.0,Third call,1.0,45-49,White,Male,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Neither,No,No,No,Yes,Better,Perot,Independent,Some college,50 to 75K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,40 to 49,Independent/Other,40 to 49,0.953,Cares about me,Unfavorable
1.0,0.0,G,10.0,58.0,32.0,Third call,1.0,25-29,White,Female,Graham,Bush,No,Disapprove,Disapprove,White,Support,Neither,No,Yes,Yes,Yes,Worse,Dole,Republican,Some college,30 to 50K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,18 to 29,25 to 29,Republican,25 to 29,1.509,Bring change,Unfavorable
1.0,0.0,G,10.0,58.0,33.0,Third call,1.0,50-59,White,Male,Graham,Bush,No,Approve,Approve,White,Support,Neither,No,No,No,No,Worse,Clinton,Democrat,Postgrad,75 to 100K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,50 to 59,Democrat,50 to 64,1.3780000000000001,Get things done,Unfavorable
1.0,0.0,G,10.0,58.0,34.0,Third call,1.0,65 and over,White,Male,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Support Clinton,No,No,No,No,Better,Clinton,Democrat,Postgrad,100K or more,Liberal,65 and over,State,Complete,Miami/Gold Coast,60 and over,60 and over,Democrat,65 and over,1.359,My party,Favorable
1.0,0.0,G,10.0,58.0,35.0,Third call,1.0,50-59,White,Male,Graham,MacKay,No,Approve,Disapprove,White,Support,Neither,No,No,No,Yes,Worse,Clinton,Democrat,Postgrad,Under 15K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,45 to 59,50 to 59,Democrat,50 to 64,0.953,Experience,Unfavorable
1.0,0.0,G,10.0,58.0,36.0,Third call,1.0,30-39,Black,Male,Graham,MacKay,No,Approve,Disapprove,Black,Oppose,Neither,No,No,No,No,Better,Clinton,Independent,Postgrad,75 to 100K,Moderate,18 to 64,State,Complete,Miami/Gold Coast,30 to 44,30 to 39,Independent/Other,30 to 39,0.849,Experience,Favorable
