State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Race,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Finanacial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),Lottery to fund educ,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 decimal pl
1.0,31.0,5.0,Second call,30-39,White,Male,Shelby,James,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,No,Better,Dole,Independent,Some college,15 to 30K,Conservative,18 to 64,Oppose,State,Complete,South,30 to 44,30 to 39,Independent/Other,30 to 39,0.41800000000000004
1.0,31.0,6.0,Second call,30-39,White,Female,,Siegelman,Approve,,Neither,No,No,No,,Better,Clinton,Independent,Some college,15 to 30K,Liberal,18 to 64,Favor,State,Complete,South,30 to 44,30 to 39,Independent/Other,30 to 39,0.43100000000000005
1.0,31.0,7.0,Second call,30-39,White,Male,Shelby,Siegelman,Approve,Disapprove,Neither,No,No,No,No,Worse,Clinton,Independent,No HS,30 to 50K,Liberal,18 to 64,Oppose,State,Complete,South,30 to 44,30 to 39,Independent/Other,30 to 39,0.31399999999999995
1.0,31.0,8.0,Second call,40-44,White,Female,Sudith,Siegelman,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,College grad,30 to 50K,Liberal,18 to 64,Favor,State,Complete,South,30 to 44,40 to 49,Democrat,40 to 49,0.523
1.0,31.0,9.0,Second call,45-49,White,Male,Sudith,Siegelman,Approve,Disapprove,Neither,Yes,No,No,No,Better,Clinton,Democrat,College grad,50 to 75K,Moderate,18 to 64,Favor,State,Complete,South,45 to 59,40 to 49,Democrat,40 to 49,0.42700000000000005
1.0,31.0,10.0,Second call,40-44,White,Female,Sudith,Siegelman,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,Favor,State,Complete,South,30 to 44,40 to 49,Democrat,40 to 49,0.523
1.0,31.0,11.0,Second call,45-49,White,Male,Sudith,Siegelman,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,,15 to 30K,Conservative,18 to 64,Favor,State,Complete,South,45 to 59,40 to 49,Democrat,40 to 49,0.42700000000000005
1.0,31.0,12.0,Second call,40-44,Black,Male,Shelby,Siegelman,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Something else,Some college,30 to 50K,Moderate,18 to 64,Favor,State,Complete,South,30 to 44,40 to 49,Independent/Other,40 to 49,0.177
1.0,31.0,13.0,Second call,45-49,Black,Female,Sudith,Siegelman,Approve,Approve,Neither,Yes,No,No,Yes,Better,Clinton,Democrat,Some college,Under 15K,Moderate,18 to 64,Favor,State,Complete,South,45 to 59,40 to 49,Democrat,40 to 49,0.294
1.0,31.0,14.0,Second call,30-39,Black,Female,Sudith,Siegelman,Approve,Approve,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,Some college,30 to 50K,,18 to 64,Favor,State,Complete,South,30 to 44,30 to 39,Democrat,30 to 39,0.294
1.0,31.0,15.0,Second call,30-39,Black,Female,Sudith,Siegelman,Approve,Disapprove,Support Clinton,Yes,No,No,No,Worse,Clinton,Democrat,HS grad,Under 15K,Conservative,18 to 64,Favor,State,Complete,South,30 to 44,30 to 39,Democrat,30 to 39,0.294
1.0,31.0,16.0,Second call,50-59,White,Female,Sudith,Siegelman,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Independent,HS grad,50 to 75K,Liberal,18 to 64,Oppose,State,Complete,South,45 to 59,50 to 59,Independent/Other,50 to 64,0.523
1.0,31.0,17.0,Second call,65 and over,Black,Female,Sudith,Siegelman,Approve,Approve,Neither,Yes,No,No,No,Same,Clinton,Democrat,No HS,,Conservative,65 and over,Favor,State,Complete,South,60 and over,65 and over,Democrat,65 and over,0.498
1.0,31.0,18.0,Second call,50-59,Black,Female,Sudith,Siegelman,Approve,Disapprove,,No,No,No,No,Same,Did not vote,Independent,Some college,15 to 30K,,18 to 64,Favor,State,Complete,South,45 to 59,50 to 59,Independent/Other,50 to 64,0.294
1.0,31.0,19.0,Second call,50-59,Black,Female,Sudith,Siegelman,Approve,Approve,Support Clinton,Yes,No,No,No,Better,Clinton,,HS grad,Under 15K,Moderate,18 to 64,Favor,State,Complete,South,45 to 59,50 to 59,,50 to 64,0.294
1.0,31.0,20.0,Third call,30-39,White,Male,Sudith,Siegelman,Approve,Approve,Support Clinton,No,No,No,Yes,Same,Clinton,Democrat,Some college,15 to 30K,Liberal,18 to 64,Favor,State,Complete,South,30 to 44,30 to 39,Democrat,30 to 39,0.42700000000000005
1.0,31.0,21.0,Third call,40-44,Black,Female,Sudith,James,Disapprove,Disapprove,Support Clinton,Yes,No,No,Yes,Same,Clinton,Democrat,Postgrad,15 to 30K,Moderate,18 to 64,Oppose,State,Complete,South,30 to 44,40 to 49,Democrat,40 to 49,0.38899999999999996
1.0,31.0,22.0,Third call,40-44,Black,Female,Sudith,James,Disapprove,Disapprove,Support Clinton,Yes,No,No,Yes,Same,Clinton,Democrat,Postgrad,15 to 30K,Moderate,18 to 64,Oppose,State,Complete,South,30 to 44,40 to 49,Democrat,40 to 49,0.38899999999999996
1.0,31.0,23.0,Third call,65 and over,White,Male,Shelby,James,Approve,Approve,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,No HS,,Moderate,65 and over,Oppose,State,Complete,South,60 and over,65 and over,Democrat,65 and over,0.707
1.0,31.0,24.0,Third call,30-39,White,Female,Shelby,James,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Better,Perot,Something else,Some college,30 to 50K,Conservative,18 to 64,Oppose,State,Complete,South,30 to 44,30 to 39,Independent/Other,30 to 39,0.511
1.0,31.0,25.0,Third call,65 and over,Black,Male,,Siegelman,Approve,,Support Clinton,Yes,No,No,Yes,Better,Clinton,Democrat,No HS,30 to 50K,Conservative,65 and over,Favor,State,Complete,South,60 and over,65 and over,Democrat,65 and over,0.33399999999999996
1.0,31.0,26.0,Third call,45-49,White,Female,Sudith,Siegelman,Approve,Disapprove,Support Clinton,No,No,No,No,Worse,Clinton,Independent,Some college,30 to 50K,Liberal,18 to 64,Favor,State,Complete,South,45 to 59,40 to 49,Independent/Other,40 to 49,0.523
1.0,31.0,27.0,Third call,50-59,White,Male,Sudith,Siegelman,Approve,Disapprove,Support Clinton,No,No,No,No,Worse,Clinton,Democrat,Postgrad,30 to 50K,Moderate,18 to 64,Favor,State,Complete,South,45 to 59,50 to 59,Democrat,50 to 64,0.42700000000000005
1.0,31.0,28.0,Third call,40-44,Black,Female,Sudith,Siegelman,Approve,Approve,Support Clinton,Yes,No,No,Yes,Better,Clinton,Democrat,No HS,Under 15K,Conservative,18 to 64,Favor,State,Complete,South,30 to 44,40 to 49,Democrat,40 to 49,0.294
1.0,31.0,29.0,Third call,40-44,Black,Female,Sudith,Siegelman,Approve,Approve,Support Clinton,No,No,No,No,Same,Clinton,Democrat,HS grad,30 to 50K,Moderate,18 to 64,Favor,State,Complete,South,30 to 44,40 to 49,Democrat,40 to 49,0.294
1.0,31.0,30.0,Third call,40-44,Black,Male,Sudith,Siegelman,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,College grad,50 to 75K,Moderate,18 to 64,Oppose,State,Complete,South,30 to 44,40 to 49,Democrat,40 to 49,0.24
1.0,31.0,31.0,Third call,50-59,White,Male,Shelby,Siegelman,Disapprove,Approve,Neither,No,Yes,Yes,No,Better,Dole,Independent,Some college,30 to 50K,Moderate,18 to 64,Favor,State,Complete,South,45 to 59,50 to 59,Independent/Other,50 to 64,0.31399999999999995
1.0,31.0,32.0,Third call,25-29,Black,Female,Shelby,Siegelman,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Favor,State,Complete,South,18 to 29,25 to 29,Democrat,25 to 29,0.20500000000000002
1.0,31.0,33.0,Third call,65 and over,Black,Female,,Siegelman,Approve,Approve,Support Clinton,Yes,No,No,No,Worse,Clinton,Democrat,No HS,Under 15K,Conservative,65 and over,Favor,State,Complete,South,60 and over,65 and over,Democrat,65 and over,0.41000000000000003
1.0,31.0,34.0,Third call,30-39,White,Female,Shelby,James,Disapprove,Disapprove,Neither,Yes,Yes,Yes,No,Better,Clinton,Republican,College grad,15 to 30K,Moderate,18 to 64,Favor,State,Complete,South,30 to 44,30 to 39,Republican,30 to 39,0.511
1.0,31.0,35.0,Third call,65 and over,White,Female,Shelby,James,Disapprove,Approve,Oppose Clinton,No,No,Yes,Yes,Better,Clinton,Republican,Some college,15 to 30K,Moderate,65 and over,Oppose,State,Complete,South,60 and over,65 and over,Republican,65 and over,0.868
1.0,31.0,36.0,Third call,25-29,Black,Female,Sudith,James,Approve,Disapprove,Support Clinton,No,No,No,Yes,Better,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,Oppose,State,Complete,South,18 to 29,25 to 29,Democrat,25 to 29,0.366
1.0,31.0,37.0,Third call,40-44,Black,Female,Sudith,James,Approve,Disapprove,Neither,Yes,No,No,No,Same,Did not vote,Independent,HS grad,Under 15K,Moderate,18 to 64,Oppose,State,Complete,South,30 to 44,40 to 49,Independent/Other,40 to 49,0.38899999999999996
1.0,31.0,38.0,Third call,40-44,Black,Male,Sudith,Siegelman,Approve,Disapprove,Support Clinton,Yes,No,No,Yes,Same,Did not vote,Democrat,No HS,Under 15K,Moderate,18 to 64,Favor,State,Complete,South,30 to 44,40 to 49,Democrat,40 to 49,0.24
1.0,31.0,39.0,Third call,45-49,White,Female,,Siegelman,Disapprove,Approve,Neither,Yes,No,No,Yes,Worse,Perot,Independent,Some college,Under 15K,Moderate,18 to 64,Favor,State,Complete,South,45 to 59,40 to 49,Independent/Other,40 to 49,0.43100000000000005
1.0,32.0,1.0,First call,60-64,White,Female,Sudith,Siegelman,Approve,Disapprove,Support Clinton,No,No,No,No,Same,Clinton,Democrat,HS grad,Under 15K,Liberal,18 to 64,Favor,State,Complete,North,60 and over,65 and over,Democrat,50 to 64,1.466
1.0,32.0,2.0,First call,45-49,White,Male,Shelby,Siegelman,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Independent,College grad,50 to 75K,Conservative,18 to 64,Favor,State,Complete,North,45 to 59,40 to 49,Independent/Other,40 to 49,1.009
1.0,32.0,3.0,First call,65 and over,White,Male,Shelby,Siegelman,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,No HS,15 to 30K,Liberal,65 and over,Favor,State,Complete,North,60 and over,65 and over,Democrat,65 and over,1.062
1.0,32.0,4.0,First call,45-49,White,Male,Shelby,James,Disapprove,Disapprove,Neither,No,No,No,Yes,Same,Dole,Independent,No HS,30 to 50K,Moderate,18 to 64,Oppose,State,Complete,North,45 to 59,40 to 49,Independent/Other,40 to 49,1.752
1.0,32.0,5.0,First call,60-64,White,Female,Shelby,James,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Same,Dole,Independent,Some college,Under 15K,Conservative,18 to 64,Favor,State,Complete,North,60 and over,65 and over,Independent/Other,50 to 64,1.877
1.0,32.0,6.0,First call,65 and over,White,Female,Shelby,James,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Yes,Better,Dole,Democrat,HS grad,75 to 100K,Liberal,65 and over,Favor,State,Complete,North,60 and over,65 and over,Democrat,65 and over,1.877
1.0,32.0,7.0,First call,50-59,White,Female,Sudith,James,Approve,Disapprove,Support Clinton,No,No,No,No,Same,Clinton,Independent,HS grad,Under 15K,Conservative,18 to 64,Oppose,State,Complete,North,45 to 59,50 to 59,Independent/Other,50 to 64,2.416
1.0,32.0,8.0,First call,50-59,White,Male,Sudith,Siegelman,Approve,Disapprove,Support Clinton,No,No,No,Yes,Better,Clinton,Democrat,College grad,50 to 75K,Moderate,18 to 64,Favor,State,Complete,North,45 to 59,50 to 59,Democrat,50 to 64,1.369
1.0,32.0,9.0,First call,30-39,White,Male,Sudith,Siegelman,Disapprove,Disapprove,Support Clinton,Yes,Yes,Yes,Yes,Worse,Clinton,Democrat,HS grad,100K or more,Moderate,18 to 64,Favor,State,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,1.369
1.0,32.0,10.0,First call,30-39,White,Male,Sudith,Siegelman,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,Favor,State,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,1.369
1.0,32.0,11.0,First call,60-64,White,Female,Sudith,Siegelman,Approve,Disapprove,Support Clinton,No,No,No,Yes,Same,Clinton,Democrat,No HS,15 to 30K,Moderate,18 to 64,Favor,State,Complete,North,60 and over,65 and over,Democrat,50 to 64,1.466
1.0,32.0,12.0,First call,50-59,White,Male,Shelby,Siegelman,Disapprove,Disapprove,Oppose Clinton,No,No,Yes,No,Worse,Perot,Independent,College grad,75 to 100K,Conservative,18 to 64,Favor,State,Complete,North,45 to 59,50 to 59,Independent/Other,50 to 64,1.009
1.0,32.0,13.0,First call,40-44,White,Female,Shelby,James,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,No,Same,Dole,Republican,HS grad,15 to 30K,Conservative,18 to 64,Oppose,State,Complete,North,30 to 44,40 to 49,Republican,40 to 49,1.7840000000000003
1.0,32.0,14.0,Second call,50-59,White,Female,Shelby,James,Approve,Approve,Neither,Yes,No,No,Yes,Worse,Dole,Something else,College grad,30 to 50K,Moderate,18 to 64,Oppose,State,Complete,North,45 to 59,50 to 59,Independent/Other,50 to 64,1.7840000000000003
1.0,32.0,15.0,Second call,50-59,White,Female,Shelby,James,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Better,Dole,Republican,Postgrad,100K or more,Conservative,18 to 64,Oppose,State,Complete,North,45 to 59,50 to 59,Republican,50 to 64,1.7840000000000003
1.0,32.0,16.0,Second call,30-39,White,Male,Shelby,Siegelman,Approve,Approve,Support Clinton,No,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Liberal,18 to 64,Favor,State,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,1.009
1.0,32.0,17.0,Second call,65 and over,White,Female,Sudith,Siegelman,Approve,Approve,Support Clinton,Yes,No,No,No,Same,Clinton,Democrat,Some college,15 to 30K,Conservative,65 and over,Oppose,State,Complete,North,60 and over,65 and over,Democrat,65 and over,1.466
1.0,32.0,18.0,Second call,60-64,White,Male,Shelby,James,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,No,Same,Dole,Republican,No HS,15 to 30K,Conservative,18 to 64,Oppose,State,Complete,North,60 and over,65 and over,Republican,50 to 64,1.843
1.0,32.0,19.0,Second call,65 and over,White,Female,Shelby,Siegelman,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Same,Dole,Republican,HS grad,15 to 30K,Moderate,65 and over,Oppose,State,Complete,North,60 and over,65 and over,Republican,65 and over,1.083
1.0,32.0,20.0,Second call,50-59,White,Male,Shelby,James,Approve,Approve,Neither,Yes,No,No,No,Same,Perot,Independent,College grad,Under 15K,Moderate,18 to 64,Favor,State,Complete,North,45 to 59,50 to 59,Independent/Other,50 to 64,1.752
1.0,32.0,21.0,Second call,65 and over,White,Female,Shelby,Siegelman,Approve,Approve,,Yes,,,,,,,,,,65 and over,Favor,State,Not complete,North,60 and over,65 and over,,65 and over,1.083
1.0,32.0,22.0,Second call,50-59,White,Male,Shelby,Siegelman,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Same,Dole,Democrat,College grad,50 to 75K,Moderate,18 to 64,Oppose,State,Complete,North,45 to 59,50 to 59,Democrat,50 to 64,1.009
1.0,32.0,23.0,Second call,50-59,White,Female,Sudith,Siegelman,Approve,Approve,Neither,No,No,No,Yes,Better,Clinton,Democrat,Postgrad,100K or more,Moderate,18 to 64,Favor,State,Complete,North,45 to 59,50 to 59,Democrat,50 to 64,1.392
1.0,32.0,24.0,Second call,30-39,White,Male,Shelby,Siegelman,Approve,Approve,Support Clinton,No,No,No,No,Better,Clinton,Democrat,Some college,15 to 30K,Moderate,18 to 64,Favor,State,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,1.009
1.0,32.0,25.0,Third call,40-44,White,Male,Sudith,James,Approve,Approve,Neither,Yes,No,No,Yes,Better,Clinton,Democrat,HS grad,50 to 75K,Moderate,18 to 64,Oppose,State,Complete,North,30 to 44,40 to 49,Democrat,40 to 49,2.371
1.0,32.0,26.0,Third call,30-39,White,Male,Sudith,Siegelman,Approve,Disapprove,Support Clinton,No,No,No,No,Worse,Clinton,Democrat,HS grad,50 to 75K,Conservative,18 to 64,Favor,State,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,1.369
1.0,32.0,27.0,Third call,18-24,White,Male,Sudith,Siegelman,Approve,Disapprove,Neither,No,No,No,No,Worse,Clinton,Democrat,Some college,,Conservative,18 to 64,Favor,State,Complete,North,18 to 29,18 to 24,Democrat,18 to 24,1.4809999999999999
1.0,32.0,28.0,Third call,65 and over,White,Male,,Siegelman,Approve,Disapprove,Support Clinton,Yes,No,Yes,Yes,Same,Clinton,Democrat,HS grad,15 to 30K,Moderate,65 and over,Favor,State,Complete,North,60 and over,65 and over,Democrat,65 and over,1.181
1.0,32.0,29.0,Third call,50-59,White,Female,Sudith,Siegelman,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,No HS,15 to 30K,Conservative,18 to 64,Favor,State,Complete,North,45 to 59,50 to 59,Democrat,50 to 64,1.392
1.0,32.0,30.0,Third call,18-24,White,Female,Shelby,James,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Better,Did not vote,Republican,Some college,15 to 30K,Moderate,18 to 64,Favor,State,Complete,North,18 to 29,18 to 24,Republican,18 to 24,1.933
1.0,32.0,31.0,Third call,60-64,White,Male,Shelby,Siegelman,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,,Same,Dole,Independent,Postgrad,75 to 100K,Conservative,18 to 64,Favor,State,Complete,North,60 and over,65 and over,Independent/Other,50 to 64,1.062
1.0,32.0,32.0,Third call,30-39,White,Female,,Siegelman,Approve,Disapprove,Neither,No,No,No,Yes,Better,Did not vote,Republican,Postgrad,50 to 75K,Moderate,18 to 64,Favor,State,Complete,North,30 to 44,30 to 39,Republican,30 to 39,1.143
1.0,32.0,33.0,Third call,45-49,White,Male,Shelby,James,Disapprove,Approve,Neither,No,No,Yes,Yes,Better,Dole,Republican,Some college,50 to 75K,Moderate,18 to 64,Favor,State,Complete,North,45 to 59,40 to 49,Republican,40 to 49,1.752
1.0,32.0,34.0,Third call,45-49,White,Male,Shelby,Siegelman,Approve,Approve,Neither,No,No,Yes,Yes,Same,Clinton,Independent,HS grad,50 to 75K,Moderate,18 to 64,Favor,State,Complete,North,45 to 59,40 to 49,Independent/Other,40 to 49,1.009
1.0,32.0,35.0,Third call,30-39,White,Female,Shelby,Siegelman,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Worse,Clinton,Democrat,Postgrad,30 to 50K,Moderate,18 to 64,Favor,State,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,1.028
1.0,32.0,36.0,Third call,30-39,White,Female,Sudith,Siegelman,Approve,Disapprove,Support Clinton,No,No,No,Yes,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,Favor,State,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,1.392
1.0,32.0,37.0,Third call,45-49,White,Female,Sudith,Siegelman,Approve,Approve,Support Clinton,No,No,No,Yes,Better,Clinton,Something else,Some college,50 to 75K,Moderate,18 to 64,Favor,State,Complete,North,45 to 59,40 to 49,Independent/Other,40 to 49,1.392
1.0,32.0,38.0,Third call,50-59,White,Female,,Siegelman,Approve,,Neither,,,,Yes,Same,Clinton,Democrat,HS grad,30 to 50K,,18 to 64,,State,Complete,North,45 to 59,50 to 59,Democrat,50 to 64,1.143
1.0,32.0,39.0,Third call,30-39,White,Female,Shelby,James,Disapprove,,Neither,Yes,Yes,Yes,,Same,Dole,Republican,College grad,15 to 30K,Conservative,18 to 64,Oppose,State,Complete,North,30 to 44,30 to 39,Republican,30 to 39,1.7840000000000003
1.0,32.0,40.0,Third call,50-59,White,Male,Shelby,James,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,Some college,50 to 75K,Conservative,18 to 64,Oppose,State,Complete,North,45 to 59,50 to 59,Republican,50 to 64,1.752
1.0,32.0,41.0,Third call,40-44,White,Male,Shelby,Siegelman,Approve,Approve,Neither,No,Yes,Yes,Yes,Better,Clinton,Independent,Some college,100K or more,Conservative,18 to 64,Favor,State,Complete,North,30 to 44,40 to 49,Independent/Other,40 to 49,1.009
1.0,35.0,1.0,Second call,65 and over,White,Female,Shelby,James,Disapprove,Disapprove,,Yes,,,,,,,,,,65 and over,Oppose,State,Not complete,Jefferson County,60 and over,65 and over,,65 and over,0.97
1.0,35.0,2.0,Second call,65 and over,White,Female,Shelby,James,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,No,Same,Dole,Republican,Some college,,Conservative,65 and over,Oppose,State,Complete,Jefferson County,60 and over,65 and over,Republican,65 and over,0.97
1.0,35.0,3.0,Second call,65 and over,White,Male,Shelby,James,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,No,Same,Dole,Republican,College grad,50 to 75K,Conservative,65 and over,Oppose,State,Complete,Jefferson County,60 and over,65 and over,Republican,65 and over,1.006
1.0,35.0,4.0,Second call,25-29,White,Female,Shelby,Siegelman,Approve,Disapprove,,No,,,,,,,,,,18 to 64,Favor,State,Not complete,Jefferson County,18 to 29,25 to 29,,25 to 29,0.803
1.0,35.0,5.0,Second call,60-64,White,Male,Shelby,James,Disapprove,Approve,,No,,,,,,,,,,18 to 64,Oppose,State,Not complete,Jefferson County,60 and over,65 and over,,50 to 64,1.006
1.0,35.0,6.0,Second call,50-59,White,Male,Sudith,Siegelman,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Postgrad,75 to 100K,Liberal,18 to 64,Favor,State,Complete,Jefferson County,45 to 59,50 to 59,Democrat,50 to 64,1.278
1.0,35.0,7.0,Second call,30-39,Black,Male,Sudith,Siegelman,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Independent,College grad,15 to 30K,Moderate,18 to 64,Favor,State,Complete,Jefferson County,30 to 44,30 to 39,Independent/Other,30 to 39,1.312
1.0,35.0,8.0,Second call,40-44,White,Male,Shelby,James,Disapprove,Approve,,Yes,,,,,,,,,,18 to 64,Oppose,State,Not complete,Jefferson County,30 to 44,40 to 49,,40 to 49,0.899
1.0,35.0,9.0,Second call,30-39,White,Male,Shelby,James,Disapprove,,,Yes,,,,,,,,,,18 to 64,Favor,State,Not complete,Jefferson County,30 to 44,30 to 39,,30 to 39,0.899
1.0,35.0,10.0,Second call,65 and over,White,Female,Shelby,James,Disapprove,Approve,Oppose Clinton,No,No,Yes,Yes,Same,Dole,Republican,Some college,15 to 30K,Moderate,65 and over,Oppose,State,Complete,Jefferson County,60 and over,65 and over,Republican,65 and over,0.97
1.0,35.0,11.0,Second call,30-39,Black,Male,Sudith,Siegelman,Approve,Approve,Neither,No,No,No,No,Better,Dole,Independent,Postgrad,100K or more,Moderate,18 to 64,Oppose,State,Complete,Jefferson County,30 to 44,30 to 39,Independent/Other,30 to 39,1.312
1.0,35.0,12.0,Second call,30-39,White,Female,Shelby,Siegelman,Approve,,Neither,,,,Yes,Better,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,Favor,State,Complete,Jefferson County,30 to 44,30 to 39,Republican,30 to 39,0.912
1.0,35.0,13.0,Second call,25-29,White,Male,Shelby,Siegelman,Approve,Approve,Neither,No,No,No,No,Better,Dole,Republican,Postgrad,75 to 100K,Conservative,18 to 64,Favor,State,Complete,Jefferson County,18 to 29,25 to 29,Republican,25 to 29,0.8320000000000001
1.0,35.0,14.0,Second call,30-39,White,Male,Sudith,Siegelman,Approve,Approve,Support Clinton,No,No,No,No,Same,Clinton,Democrat,College grad,15 to 30K,Liberal,18 to 64,Favor,State,Complete,Jefferson County,30 to 44,30 to 39,Democrat,30 to 39,1.278
1.0,35.0,15.0,Second call,30-39,White,Female,Shelby,James,Disapprove,Approve,Neither,No,No,Yes,Yes,Better,Dole,Republican,Some college,30 to 50K,Moderate,18 to 64,Oppose,State,Complete,Jefferson County,30 to 44,30 to 39,Republican,30 to 39,0.8660000000000001
1.0,35.0,16.0,Second call,18-24,White,Male,Shelby,James,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Better,Dole,Republican,College grad,15 to 30K,Conservative,18 to 64,Oppose,State,Complete,Jefferson County,18 to 29,18 to 24,Republican,18 to 24,0.794
1.0,35.0,17.0,Second call,25-29,Black,Female,Shelby,James,Disapprove,Disapprove,Neither,No,No,Yes,Yes,Better,Dole,Independent,College grad,100K or more,Conservative,18 to 64,Oppose,State,Complete,Jefferson County,18 to 29,25 to 29,Independent/Other,25 to 29,0.7840000000000001
1.0,35.0,18.0,Second call,25-29,White,Female,Shelby,Siegelman,Approve,Approve,Neither,No,No,No,No,Better,Dole,Independent,Postgrad,30 to 50K,Moderate,18 to 64,Favor,State,Complete,Jefferson County,18 to 29,25 to 29,Independent/Other,25 to 29,0.803
1.0,35.0,19.0,Second call,18-24,White,Female,Shelby,Siegelman,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Same,Dole,Republican,Some college,50 to 75K,Conservative,18 to 64,Favor,State,Complete,Jefferson County,18 to 29,18 to 24,Republican,18 to 24,0.803
1.0,35.0,20.0,Second call,30-39,Black,Female,Sudith,Siegelman,Approve,Approve,Support Clinton,No,No,No,No,Better,Clinton,Democrat,Some college,30 to 50K,Liberal,18 to 64,Favor,State,Complete,Jefferson County,30 to 44,30 to 39,Democrat,30 to 39,1.265
1.0,35.0,21.0,Second call,30-39,White,Male,Sudith,Siegelman,Approve,Approve,Support Clinton,No,No,No,No,Same,Clinton,Independent,Postgrad,50 to 75K,Moderate,18 to 64,Favor,State,Complete,Jefferson County,30 to 44,30 to 39,Independent/Other,30 to 39,1.278
1.0,35.0,22.0,Second call,18-24,White,Female,Sudith,Siegelman,Approve,Disapprove,Neither,No,No,Yes,No,Same,Clinton,Democrat,Some college,15 to 30K,Liberal,18 to 64,Favor,State,Complete,Jefferson County,18 to 29,18 to 24,Democrat,18 to 24,1.088
1.0,35.0,23.0,Second call,65 and over,White,Male,Sudith,Siegelman,Approve,Disapprove,Support Clinton,No,No,No,Yes,Better,Clinton,Independent,HS grad,30 to 50K,,65 and over,Favor,State,Complete,Jefferson County,60 and over,65 and over,Independent/Other,65 and over,1.433
1.0,35.0,24.0,Second call,25-29,White,Male,Sudith,Siegelman,Approve,Disapprove,Neither,No,No,No,Yes,Better,Perot,Independent,Some college,30 to 50K,Moderate,18 to 64,Favor,State,Complete,Jefferson County,18 to 29,25 to 29,Independent/Other,25 to 29,1.127
1.0,35.0,25.0,Second call,25-29,Black,Male,Sudith,Siegelman,Approve,Disapprove,,No,,,,,,,,,,18 to 64,Favor,State,Not complete,Jefferson County,18 to 29,25 to 29,,25 to 29,1.155
1.0,35.0,26.0,Third call,18-24,White,Female,Sudith,Siegelman,Approve,Disapprove,Neither,No,No,No,No,Better,Did not vote,Democrat,HS grad,30 to 50K,Liberal,18 to 64,Favor,State,Complete,Jefferson County,18 to 29,18 to 24,Democrat,18 to 24,1.088
