State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Governor Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Income,Ideology,Age (65 and over),State or national poll,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places)
20.0,14.0,25.0,Second call,45-49,White,Female,Other,Approve,Disapprove,Neither,No,No,No,Better,Clinton,Democrat,30 to 50K,Liberal,18 to 64,State,Cd #1,45 to 59,40 to 49,Democrat,40 to 49,0.7489999999999999
20.0,14.0,26.0,Second call,65 and over,White,Male,Longley,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Worse,Dole,Republican,Under 15K,Conservative,65 and over,State,Cd #1,60 and over,60 and over,Republican,65 and over,0.8089999999999999
20.0,14.0,27.0,Second call,65 and over,White,Female,King,Disapprove,Approve,,No,Yes,,Worse,Dole,Republican,,Conservative,65 and over,State,Cd #1,60 and over,60 and over,Republican,65 and over,1.068
20.0,14.0,28.0,Third call,40-44,White,Female,King,Approve,Disapprove,Neither,No,No,Yes,Better,Dole,Independent,30 to 50K,Moderate,18 to 64,State,Cd #1,30 to 44,40 to 49,Independent/Other,40 to 49,0.86
20.0,14.0,29.0,Third call,40-44,White,Male,King,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Independent,50 to 75K,Liberal,18 to 64,State,Cd #1,30 to 44,40 to 49,Independent/Other,40 to 49,0.827
20.0,14.0,30.0,Third call,40-44,White,Male,King,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Worse,Clinton,Independent,15 to 30K,Conservative,18 to 64,State,Cd #1,30 to 44,40 to 49,Independent/Other,40 to 49,0.827
20.0,14.0,31.0,Third call,40-44,White,Male,King,Approve,Disapprove,Neither,No,No,No,Better,Clinton,Independent,75 to 100K,Liberal,18 to 64,State,Cd #1,30 to 44,40 to 49,Independent/Other,40 to 49,0.827
20.0,14.0,32.0,Third call,45-49,White,Male,King,Disapprove,Approve,Neither,No,Yes,Yes,Same,Clinton,Democrat,30 to 50K,Conservative,18 to 64,State,Cd #1,45 to 59,40 to 49,Democrat,40 to 49,0.827
20.0,14.0,33.0,Third call,30-39,White,Female,King,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Independent,50 to 75K,Liberal,18 to 64,State,Cd #1,30 to 44,30 to 39,Independent/Other,30 to 39,0.86
20.0,14.0,34.0,Third call,40-44,White,Female,King,,Disapprove,Neither,No,No,Yes,Same,Dole,Independent,30 to 50K,Moderate,18 to 64,State,Cd #1,30 to 44,40 to 49,Independent/Other,40 to 49,0.86
20.0,14.0,35.0,Third call,30-39,White,Male,King,Approve,,Neither,No,No,No,Better,Perot,Independent,50 to 75K,Moderate,18 to 64,State,Cd #1,30 to 44,30 to 39,Independent/Other,30 to 39,0.827
20.0,14.0,36.0,Third call,40-44,White,Female,King,Approve,Approve,Neither,No,No,No,Better,Clinton,Independent,50 to 75K,Conservative,18 to 64,State,Cd #1,30 to 44,40 to 49,Independent/Other,40 to 49,0.86
20.0,14.0,37.0,Third call,40-44,White,Male,Connelly,Approve,Approve,Support Clinton,No,No,No,Same,Clinton,Independent,50 to 75K,Moderate,18 to 64,State,Cd #1,30 to 44,40 to 49,Independent/Other,40 to 49,0.542
20.0,14.0,38.0,Third call,40-44,White,Male,King,Approve,Disapprove,Neither,No,No,No,Worse,Clinton,Something else,30 to 50K,Moderate,18 to 64,State,Cd #1,30 to 44,40 to 49,Independent/Other,40 to 49,0.827
20.0,14.0,39.0,Third call,50-59,White,Male,Longley,Disapprove,Approve,Neither,Yes,Yes,No,Better,Dole,Republican,50 to 75K,Conservative,18 to 64,State,Cd #1,45 to 59,50 to 59,Republican,50 to 64,0.652
20.0,14.0,40.0,Third call,25-29,White,Male,Other,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Independent,30 to 50K,Liberal,18 to 64,State,Cd #1,18 to 29,25 to 29,Independent/Other,25 to 29,0.867
20.0,14.0,41.0,Third call,45-49,White,Female,Longley,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,State,Cd #1,45 to 59,40 to 49,Republican,40 to 49,0.6779999999999999
20.0,14.0,42.0,Third call,45-49,White,Male,Other,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,No,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,State,Cd #1,45 to 59,40 to 49,Republican,40 to 49,0.7189999999999999
20.0,14.0,43.0,Third call,45-49,White,Male,Connelly,Approve,Disapprove,Neither,No,Yes,Yes,Better,Clinton,Democrat,75 to 100K,Liberal,18 to 64,State,Cd #1,45 to 59,40 to 49,Democrat,40 to 49,0.542
20.0,14.0,44.0,Third call,60-64,White,Male,Connelly,Approve,Disapprove,Neither,No,No,No,Worse,Clinton,Independent,50 to 75K,Liberal,18 to 64,State,Cd #1,60 and over,60 and over,Independent/Other,50 to 64,0.672
20.0,14.0,45.0,Third call,45-49,White,Female,King,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,30 to 50K,Liberal,18 to 64,State,Cd #1,45 to 59,40 to 49,Democrat,40 to 49,0.86
20.0,14.0,46.0,Third call,40-44,White,Female,King,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Independent,75 to 100K,Moderate,18 to 64,State,Cd #1,30 to 44,40 to 49,Independent/Other,40 to 49,0.86
20.0,14.0,47.0,Third call,18-24,White,Male,Longley,Disapprove,Approve,Neither,Yes,Yes,Yes,Better,Dole,Republican,50 to 75K,Moderate,18 to 64,State,Cd #1,18 to 29,18 to 24,Republican,18 to 24,0.785
20.0,14.0,48.0,Third call,40-44,White,Male,King,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,30 to 50K,Moderate,18 to 64,State,Cd #1,30 to 44,40 to 49,Democrat,40 to 49,0.827
20.0,14.0,49.0,Third call,50-59,White,Male,King,Approve,Disapprove,Neither,No,No,No,Better,Clinton,Independent,50 to 75K,Conservative,18 to 64,State,Cd #1,45 to 59,50 to 59,Independent/Other,50 to 64,0.827
20.0,14.0,50.0,Third call,18-24,White,Female,King,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,100K or more,Conservative,18 to 64,State,Cd #1,18 to 29,18 to 24,Republican,18 to 24,1.036
20.0,14.0,51.0,Third call,40-44,White,Female,King,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Better,Perot,Republican,,Moderate,18 to 64,State,Cd #1,30 to 44,40 to 49,Republican,40 to 49,0.86
20.0,14.0,52.0,Third call,65 and over,White,Female,King,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,,Liberal,65 and over,State,Cd #1,60 and over,60 and over,Democrat,65 and over,1.068
20.0,21.0,1.0,First call,30-39,White,Female,King,Approve,Disapprove,Neither,No,No,No,Better,Clinton,Democrat,50 to 75K,Conservative,18 to 64,State,Cd #1,30 to 44,30 to 39,Democrat,30 to 39,0.7649999999999999
20.0,21.0,2.0,First call,25-29,White,Male,Longley,Disapprove,Approve,Neither,Yes,Yes,No,Better,Dole,Republican,,Conservative,18 to 64,State,Cd #1,18 to 29,25 to 29,Republican,25 to 29,0.699
20.0,21.0,3.0,First call,65 and over,White,Female,Longley,Disapprove,Approve,Neither,Yes,Yes,No,Same,Dole,Independent,15 to 30K,Moderate,65 and over,State,Cd #1,60 and over,60 and over,Independent/Other,65 and over,0.7489999999999999
20.0,21.0,4.0,First call,30-39,White,Male,King,Approve,Disapprove,Support Clinton,No,No,Yes,Same,Clinton,Democrat,15 to 30K,Moderate,18 to 64,State,Cd #1,30 to 44,30 to 39,Democrat,30 to 39,0.736
20.0,21.0,5.0,First call,50-59,White,Male,Longley,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,State,Cd #1,45 to 59,50 to 59,Republican,50 to 64,0.58
20.0,21.0,6.0,First call,65 and over,White,Male,Connelly,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Worse,Perot,Democrat,30 to 50K,Moderate,65 and over,State,Cd #1,60 and over,60 and over,Democrat,65 and over,0.598
20.0,21.0,7.0,First call,45-49,White,Female,King,Approve,Disapprove,Neither,No,Yes,Yes,Same,Clinton,Democrat,30 to 50K,Liberal,18 to 64,State,Cd #1,45 to 59,40 to 49,Democrat,40 to 49,0.7649999999999999
20.0,21.0,8.0,First call,45-49,White,Female,Longley,Disapprove,Disapprove,Neither,Yes,Yes,No,Same,Dole,Republican,15 to 30K,Conservative,18 to 64,State,Cd #1,45 to 59,40 to 49,Republican,40 to 49,0.603
20.0,21.0,9.0,Second call,30-39,White,Male,Longley,Disapprove,Approve,Neither,Yes,Yes,Yes,Same,Dole,Republican,100K or more,Conservative,18 to 64,State,Cd #1,30 to 44,30 to 39,Republican,30 to 39,0.58
20.0,21.0,10.0,Second call,65 and over,White,Female,King,Approve,Approve,Support Clinton,No,No,No,Better,Clinton,Democrat,15 to 30K,Moderate,65 and over,State,Cd #1,60 and over,60 and over,Democrat,65 and over,0.9500000000000001
20.0,21.0,11.0,Second call,18-24,White,Male,King,Disapprove,Approve,Neither,Yes,Yes,Yes,Same,Dole,Republican,15 to 30K,Liberal,18 to 64,State,Cd #1,18 to 29,18 to 24,Republican,18 to 24,0.886
20.0,21.0,12.0,Second call,25-29,White,Female,King,Approve,Disapprove,Neither,No,No,,Better,Clinton,Independent,15 to 30K,Moderate,18 to 64,State,Cd #1,18 to 29,25 to 29,Independent/Other,25 to 29,0.921
20.0,21.0,13.0,Second call,30-39,White,Female,King,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,30 to 50K,Liberal,18 to 64,State,Cd #1,30 to 44,30 to 39,Democrat,30 to 39,0.7649999999999999
20.0,21.0,14.0,Second call,30-39,White,Female,King,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Democrat,50 to 75K,Moderate,18 to 64,State,Cd #1,30 to 44,30 to 39,Democrat,30 to 39,0.7649999999999999
20.0,21.0,15.0,Second call,30-39,White,Female,King,Approve,Approve,Neither,No,No,Yes,Better,Dole,Republican,30 to 50K,Moderate,18 to 64,State,Cd #1,30 to 44,30 to 39,Republican,30 to 39,0.7649999999999999
20.0,21.0,16.0,Second call,65 and over,White,Female,King,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Democrat,30 to 50K,Liberal,65 and over,State,Cd #1,60 and over,60 and over,Democrat,65 and over,0.9500000000000001
20.0,21.0,17.0,Second call,45-49,White,Female,Connelly,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,30 to 50K,Liberal,18 to 64,State,Cd #1,45 to 59,40 to 49,Democrat,40 to 49,0.5
20.0,21.0,18.0,Second call,45-49,White,Female,King,Approve,Disapprove,Neither,No,No,Yes,Worse,Clinton,Independent,30 to 50K,Liberal,18 to 64,State,Cd #1,45 to 59,40 to 49,Independent/Other,40 to 49,0.7649999999999999
20.0,21.0,19.0,Second call,30-39,White,Female,King,Approve,Disapprove,Neither,No,No,No,Worse,Did not vote,Democrat,50 to 75K,Liberal,18 to 64,State,Cd #1,30 to 44,30 to 39,Democrat,30 to 39,0.7649999999999999
20.0,21.0,20.0,Second call,18-24,White,Male,King,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,100K or more,Liberal,18 to 64,State,Cd #1,18 to 29,18 to 24,Democrat,18 to 24,0.886
20.0,21.0,21.0,Second call,30-39,White,Female,Connelly,Approve,Approve,Neither,No,Yes,No,Better,Perot,Independent,15 to 30K,Moderate,18 to 64,State,Cd #1,30 to 44,30 to 39,Independent/Other,30 to 39,0.5
20.0,21.0,22.0,Second call,65 and over,White,Male,King,Approve,Approve,Neither,No,No,No,Better,Clinton,Democrat,,Moderate,65 and over,State,Cd #1,60 and over,60 and over,Democrat,65 and over,0.913
20.0,21.0,23.0,Second call,50-59,White,Female,Other,Disapprove,Approve,Neither,Yes,Yes,Yes,Better,Dole,Independent,100K or more,Moderate,18 to 64,State,Cd #1,45 to 59,50 to 59,Independent/Other,50 to 64,0.666
20.0,21.0,24.0,Second call,45-49,White,Female,Connelly,,,Neither,,,,,Other,Independent,,,18 to 64,State,Cd #1,45 to 59,40 to 49,Independent/Other,40 to 49,0.5
20.0,21.0,25.0,Second call,30-39,White,Male,King,Approve,Disapprove,Neither,No,No,No,Better,Clinton,Something else,30 to 50K,Conservative,18 to 64,State,Cd #1,30 to 44,30 to 39,Independent/Other,30 to 39,0.736
20.0,21.0,26.0,Second call,65 and over,White,Female,King,Approve,Approve,Neither,No,No,No,Better,Clinton,Democrat,30 to 50K,Liberal,65 and over,State,Cd #1,60 and over,60 and over,Democrat,65 and over,0.9500000000000001
20.0,21.0,27.0,Second call,30-39,White,Female,King,Approve,Disapprove,Neither,No,No,,Same,Clinton,Democrat,75 to 100K,Moderate,18 to 64,State,Cd #1,30 to 44,30 to 39,Democrat,30 to 39,0.7649999999999999
20.0,21.0,28.0,Third call,40-44,White,Male,Longley,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,State,Cd #1,30 to 44,40 to 49,Republican,40 to 49,0.58
20.0,21.0,29.0,Third call,40-44,White,Male,Connelly,Approve,Disapprove,Neither,No,No,Yes,Better,Perot,Democrat,50 to 75K,Moderate,18 to 64,State,Cd #1,30 to 44,40 to 49,Democrat,40 to 49,0.481
20.0,21.0,30.0,Third call,50-59,White,Male,King,Approve,Disapprove,Neither,No,No,No,Worse,Clinton,Democrat,50 to 75K,Moderate,18 to 64,State,Cd #1,45 to 59,50 to 59,Democrat,50 to 64,0.736
20.0,21.0,31.0,Third call,45-49,Other,Male,King,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,,Same,Dole,Republican,50 to 75K,Moderate,18 to 64,State,Cd #1,45 to 59,40 to 49,Republican,40 to 49,0.736
20.0,21.0,32.0,Third call,50-59,White,Female,King,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Worse,Dole,Republican,Under 15K,Moderate,18 to 64,State,Cd #1,45 to 59,50 to 59,Republican,50 to 64,0.7649999999999999
20.0,21.0,33.0,Third call,30-39,White,Male,King,Approve,Disapprove,Neither,No,Yes,No,Better,Perot,Independent,30 to 50K,Moderate,18 to 64,State,Cd #1,30 to 44,30 to 39,Independent/Other,30 to 39,0.736
20.0,21.0,34.0,Third call,50-59,White,Male,Other,Disapprove,Disapprove,Neither,No,Yes,Yes,Worse,Clinton,Independent,15 to 30K,Moderate,18 to 64,State,Cd #1,45 to 59,50 to 59,Independent/Other,50 to 64,0.64
20.0,21.0,35.0,Third call,45-49,White,Female,Other,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Democrat,30 to 50K,Moderate,18 to 64,State,Cd #1,45 to 59,40 to 49,Democrat,40 to 49,0.666
20.0,21.0,36.0,Third call,40-44,White,Female,Longley,Approve,Disapprove,Neither,No,Yes,Yes,Same,Clinton,Independent,50 to 75K,Moderate,18 to 64,State,Cd #1,30 to 44,40 to 49,Independent/Other,40 to 49,0.603
20.0,21.0,37.0,Third call,50-59,,Female,King,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Democrat,30 to 50K,Liberal,18 to 64,State,Cd #1,45 to 59,50 to 59,Democrat,50 to 64,0.7649999999999999
20.0,21.0,38.0,Third call,45-49,White,Male,Longley,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,No,Same,Perot,Independent,75 to 100K,Conservative,18 to 64,State,Cd #1,45 to 59,40 to 49,Independent/Other,40 to 49,0.58
20.0,21.0,39.0,Third call,30-39,Black,Male,Longley,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Better,Dole,Republican,30 to 50K,Moderate,18 to 64,State,Cd #1,30 to 44,30 to 39,Republican,30 to 39,0.579
20.0,21.0,40.0,Third call,45-49,White,Female,King,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Democrat,15 to 30K,Liberal,18 to 64,State,Cd #1,45 to 59,40 to 49,Democrat,40 to 49,0.7649999999999999
20.0,21.0,41.0,Third call,30-39,White,Female,King,Approve,Disapprove,Neither,No,No,No,Better,Clinton,Democrat,,Moderate,18 to 64,State,Cd #1,30 to 44,30 to 39,Democrat,30 to 39,0.7649999999999999
20.0,21.0,42.0,Third call,45-49,White,Male,King,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Democrat,50 to 75K,Moderate,18 to 64,State,Cd #1,45 to 59,40 to 49,Democrat,40 to 49,0.736
20.0,21.0,43.0,Third call,30-39,White,Female,Other,,Disapprove,Neither,No,No,Yes,Same,Other,Independent,30 to 50K,Liberal,18 to 64,State,Cd #1,30 to 44,30 to 39,Independent/Other,30 to 39,0.666
20.0,21.0,44.0,Third call,40-44,White,Male,King,Disapprove,Disapprove,Neither,No,No,No,Better,Perot,Democrat,50 to 75K,Conservative,18 to 64,State,Cd #1,30 to 44,40 to 49,Democrat,40 to 49,0.736
20.0,21.0,45.0,Third call,45-49,White,Female,King,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Better,Clinton,Independent,100K or more,Moderate,18 to 64,State,Cd #1,45 to 59,40 to 49,Independent/Other,40 to 49,0.7649999999999999
20.0,21.0,46.0,Third call,25-29,White,Female,King,Approve,Disapprove,Neither,No,No,Yes,Same,Perot,Independent,50 to 75K,Liberal,18 to 64,State,Cd #1,18 to 29,25 to 29,Independent/Other,25 to 29,0.921
20.0,21.0,47.0,Third call,45-49,,Male,Connelly,,Disapprove,,,,,Better,,Democrat,50 to 75K,Liberal,18 to 64,State,Cd #1,45 to 59,40 to 49,Democrat,40 to 49,0.481
20.0,26.0,1.0,First call,25-29,White,Female,Longley,Disapprove,Disapprove,Neither,Yes,Yes,No,Same,Dole,Republican,100K or more,Conservative,18 to 64,National,Cd #1,18 to 29,25 to 29,Republican,25 to 29,1.5310000000000001
20.0,26.0,2.0,First call,40-44,White,Male,Connelly,Approve,Disapprove,,No,No,No,Same,Perot,Independent,30 to 50K,Conservative,18 to 64,National,Cd #1,30 to 44,40 to 49,Independent/Other,40 to 49,1.015
20.0,26.0,3.0,First call,30-39,White,Female,Connelly,Approve,Approve,Neither,No,No,Yes,Better,Clinton,Democrat,30 to 50K,Liberal,18 to 64,National,Cd #1,30 to 44,30 to 39,Democrat,30 to 39,1.055
20.0,26.0,4.0,First call,50-59,White,Male,King,Approve,Disapprove,Neither,No,No,No,Worse,Perot,Republican,15 to 30K,Moderate,18 to 64,National,Cd #1,45 to 59,50 to 59,Republican,50 to 64,1.549
20.0,26.0,5.0,First call,45-49,White,Male,Other,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,National,Cd #1,45 to 59,40 to 49,Republican,40 to 49,1.349
20.0,26.0,6.0,First call,45-49,White,Female,King,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Democrat,50 to 75K,Moderate,18 to 64,National,Cd #1,45 to 59,40 to 49,Democrat,40 to 49,1.611
20.0,26.0,7.0,First call,30-39,White,Female,King,Disapprove,Approve,Oppose Clinton,,,,,,,,,18 to 64,National,Cd #1,30 to 44,30 to 39,,30 to 39,1.611
20.0,26.0,8.0,First call,45-49,White,Female,King,Approve,,,,,,Better,,Independent,30 to 50K,Liberal,18 to 64,National,Cd #1,45 to 59,40 to 49,Independent/Other,40 to 49,1.611
20.0,26.0,9.0,First call,45-49,White,Female,,Disapprove,,,,,,Worse,,Independent,Under 15K,Conservative,18 to 64,National,Cd #1,45 to 59,40 to 49,Independent/Other,40 to 49,1.435
20.0,26.0,10.0,First call,45-49,White,Male,Longley,Disapprove,,,,,,Worse,,Republican,100K or more,Conservative,18 to 64,National,Cd #1,45 to 59,40 to 49,Republican,40 to 49,1.222
20.0,26.0,11.0,First call,,,,King,,,,,,,Same,,Independent,30 to 50K,,,National,Cd #1,,,Independent/Other,,1.611
20.0,26.0,12.0,First call,50-59,White,Female,Connelly,Disapprove,,,,,,Better,,Republican,100K or more,Conservative,18 to 64,National,Cd #1,45 to 59,50 to 59,Republican,50 to 64,1.055
20.0,26.0,13.0,First call,40-44,White,Male,Longley,Disapprove,,,,,,Better,,Republican,75 to 100K,Conservative,18 to 64,National,Cd #1,30 to 44,40 to 49,Republican,40 to 49,1.222
20.0,26.0,14.0,First call,40-44,White,Female,Connelly,Disapprove,,,,,,Better,,Independent,30 to 50K,Liberal,18 to 64,National,Cd #1,30 to 44,40 to 49,Independent/Other,40 to 49,1.055
20.0,26.0,15.0,Second call,30-39,White,Female,Connelly,Approve,Disapprove,Neither,No,Yes,No,Same,Clinton,Independent,50 to 75K,,18 to 64,National,Cd #1,30 to 44,30 to 39,Independent/Other,30 to 39,1.055
20.0,26.0,16.0,Second call,40-44,Other,Female,Connelly,Disapprove,,Neither,No,Yes,,Same,,Independent,100K or more,Moderate,18 to 64,National,Cd #1,30 to 44,40 to 49,Independent/Other,40 to 49,1.055
20.0,26.0,17.0,Second call,50-59,White,Female,Longley,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,,Moderate,18 to 64,National,Cd #1,45 to 59,50 to 59,Democrat,50 to 64,1.272
20.0,26.0,18.0,Second call,65 and over,White,Male,King,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Republican,30 to 50K,Moderate,65 and over,National,Cd #1,60 and over,60 and over,Republican,65 and over,1.924
20.0,26.0,19.0,Second call,18-24,White,Female,King,,Disapprove,Neither,No,No,,Better,Did not vote,Independent,30 to 50K,Conservative,18 to 64,National,Cd #1,18 to 29,18 to 24,Independent/Other,18 to 24,1.94
20.0,26.0,20.0,Second call,45-49,White,Female,King,Disapprove,Disapprove,Neither,No,Yes,Yes,Better,Clinton,Democrat,75 to 100K,Moderate,18 to 64,National,Cd #1,45 to 59,40 to 49,Democrat,40 to 49,1.611
20.0,26.0,21.0,Second call,30-39,White,Female,Connelly,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,50 to 75K,Moderate,18 to 64,National,Cd #1,30 to 44,30 to 39,Democrat,30 to 39,1.055
20.0,26.0,22.0,Second call,40-44,White,Male,Longley,Approve,Disapprove,Support Clinton,No,No,No,Worse,Clinton,Independent,30 to 50K,Moderate,18 to 64,National,Cd #1,30 to 44,40 to 49,Independent/Other,40 to 49,1.222
20.0,26.0,23.0,Second call,30-39,White,Male,King,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,100K or more,Conservative,18 to 64,National,Cd #1,30 to 44,30 to 39,Democrat,30 to 39,1.549
20.0,26.0,24.0,Second call,40-44,White,Male,King,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Independent,50 to 75K,Conservative,18 to 64,National,Cd #1,30 to 44,40 to 49,Independent/Other,40 to 49,1.549
20.0,26.0,25.0,Second call,65 and over,White,Male,King,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Worse,Dole,Republican,30 to 50K,Conservative,65 and over,National,Cd #1,60 and over,60 and over,Republican,65 and over,1.924
20.0,26.0,26.0,Second call,50-59,White,Female,King,Approve,Approve,Neither,No,No,No,Worse,Dole,Independent,Under 15K,Conservative,18 to 64,National,Cd #1,45 to 59,50 to 59,Independent/Other,50 to 64,1.611
20.0,26.0,27.0,Second call,30-39,White,Female,Connelly,Approve,,,,,,Worse,,Democrat,30 to 50K,Moderate,18 to 64,National,Cd #1,30 to 44,30 to 39,Democrat,30 to 39,1.055
20.0,26.0,28.0,Second call,65 and over,,Female,King,Approve,,,,,,,,,,,65 and over,National,Cd #1,60 and over,60 and over,,65 and over,2.0
20.0,26.0,29.0,Second call,65 and over,,Male,King,Approve,,,,,,Better,,Democrat,15 to 30K,Liberal,65 and over,National,Cd #1,60 and over,60 and over,Democrat,65 and over,1.924
20.0,26.0,30.0,Second call,45-49,White,Female,King,Disapprove,,,,,,Same,,Republican,100K or more,Moderate,18 to 64,National,Cd #1,45 to 59,40 to 49,Republican,40 to 49,1.611
20.0,26.0,31.0,Second call,40-44,White,Female,King,Disapprove,,,,,,Same,,Republican,50 to 75K,Moderate,18 to 64,National,Cd #1,30 to 44,40 to 49,Republican,40 to 49,1.611
20.0,26.0,32.0,Second call,40-44,White,Female,Longley,Approve,,,,,,Better,,Independent,100K or more,Moderate,18 to 64,National,Cd #1,30 to 44,40 to 49,Independent/Other,40 to 49,1.272
20.0,26.0,33.0,Second call,65 and over,White,Female,King,Approve,,,,,,Same,,Republican,,Moderate,65 and over,National,Cd #1,60 and over,60 and over,Republican,65 and over,2.0
20.0,26.0,34.0,Second call,45-49,White,Female,Connelly,Approve,,,,,,Same,,Republican,75 to 100K,Moderate,18 to 64,National,Cd #1,45 to 59,40 to 49,Republican,40 to 49,1.055
20.0,26.0,35.0,Second call,50-59,White,Male,,Disapprove,,,,,,Same,,Something else,75 to 100K,Moderate,18 to 64,National,Cd #1,45 to 59,50 to 59,Independent/Other,50 to 64,1.38
20.0,26.0,36.0,Second call,65 and over,White,Female,King,Approve,,,,,,Better,,Independent,30 to 50K,Moderate,65 and over,National,Cd #1,60 and over,60 and over,Independent/Other,65 and over,2.0
20.0,26.0,37.0,Second call,65 and over,White,Female,Connelly,Approve,,,,,,Same,,Democrat,,Moderate,65 and over,National,Cd #1,60 and over,60 and over,Democrat,65 and over,1.31
20.0,26.0,38.0,Second call,45-49,White,Female,King,Approve,,,,,,,,,,,18 to 64,National,Cd #1,45 to 59,40 to 49,,40 to 49,1.611
20.0,26.0,39.0,Third call,40-44,White,Male,Connelly,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,,,18 to 64,National,Cd #1,30 to 44,40 to 49,Democrat,40 to 49,1.015
20.0,26.0,40.0,Third call,50-59,White,Male,Longley,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Better,Dole,Republican,75 to 100K,Moderate,18 to 64,National,Cd #1,45 to 59,50 to 59,Republican,50 to 64,1.222
20.0,26.0,41.0,Third call,50-59,White,Male,Longley,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Better,Dole,Republican,30 to 50K,Conservative,18 to 64,National,Cd #1,45 to 59,50 to 59,Republican,50 to 64,1.222
20.0,26.0,42.0,Third call,30-39,White,Female,King,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Independent,15 to 30K,Conservative,18 to 64,National,Cd #1,30 to 44,30 to 39,Independent/Other,30 to 39,1.611
20.0,26.0,43.0,Third call,45-49,White,Male,King,Disapprove,Disapprove,Neither,Yes,No,Yes,Better,Clinton,Independent,30 to 50K,Liberal,18 to 64,National,Cd #1,45 to 59,40 to 49,Independent/Other,40 to 49,1.549
20.0,26.0,44.0,Third call,30-39,White,Female,Longley,Disapprove,Approve,Neither,Yes,Yes,No,Same,Dole,Republican,100K or more,Conservative,18 to 64,National,Cd #1,30 to 44,30 to 39,Republican,30 to 39,1.272
20.0,26.0,45.0,Third call,25-29,White,Male,King,Approve,Approve,Support Clinton,No,No,No,Same,Clinton,Democrat,,Moderate,18 to 64,National,Cd #1,18 to 29,25 to 29,Democrat,25 to 29,1.866
20.0,26.0,46.0,Third call,45-49,White,Male,Connelly,Approve,Disapprove,Neither,No,No,Yes,Better,Dole,Democrat,50 to 75K,Moderate,18 to 64,National,Cd #1,45 to 59,40 to 49,Democrat,40 to 49,1.015
20.0,26.0,47.0,Third call,50-59,White,Female,King,Approve,Approve,Neither,No,No,No,Worse,Clinton,Democrat,30 to 50K,Moderate,18 to 64,National,Cd #1,45 to 59,50 to 59,Democrat,50 to 64,1.611
20.0,26.0,48.0,Third call,65 and over,White,Female,King,Approve,Disapprove,,,,,,,Independent,,Moderate,65 and over,National,Cd #1,60 and over,60 and over,Independent/Other,65 and over,2.0
