V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38
1.0,0.0,G,38.0,3.0,28.0,Third call,1.0,50-59,White,Female,Wyden,Kitzhaber,Approve,Disapprove,Support Clinton,No,No,No,Yes,Worse,Clinton,Democrat,Postgrad,50 to 75K,Moderate,18 to 64,Pro-growth,State,Complete,NW Pacific Coast,45 to 59,50 to 59,Democrat,50 to 64,0.247,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,29.0,Third call,1.0,50-59,White,Male,Lim,Kitzhaber,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Independent,College grad,50 to 75K,Moderate,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,45 to 59,50 to 59,Independent/Other,50 to 64,0.28800000000000003,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,30.0,Third call,1.0,18-24,,Male,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,No,Worse,Clinton,Democrat,Some college,100K or more,Moderate,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,18 to 29,18 to 24,Democrat,18 to 24,0.241,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,31.0,Third call,1.0,18-24,White,Male,Lim,Kitzhaber,,,Neither,No,No,No,No,Worse,Did not vote,Something else,Some college,Under 15K,Liberal,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,18 to 29,18 to 24,Independent/Other,18 to 24,0.257,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,32.0,Third call,1.0,18-24,White,Male,Wyden,Kitzhaber,Approve,Disapprove,,No,,,,,,,,,,18 to 64,Pro-growth,State,Not complete,NW Pacific Coast,18 to 29,18 to 24,,18 to 24,0.241,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,33.0,Third call,1.0,65 and over,White,Female,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Independent,Some college,15 to 30K,Liberal,65 and over,Pro-environment,State,Complete,NW Pacific Coast,60 and over,60 and over,Independent/Other,65 and over,0.246,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,34.0,Third call,1.0,65 and over,White,Female,Wyden,Kitzhaber,,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Same,Clinton,Independent,HS grad,Under 15K,Moderate,65 and over,Pro-environment,State,Complete,NW Pacific Coast,60 and over,60 and over,Independent/Other,65 and over,0.246,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,35.0,Third call,1.0,40-44,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,Yes,Worse,Dole,Republican,College grad,75 to 100K,Conservative,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,30 to 44,40 to 49,Republican,40 to 49,0.271,Favorable,Exit poll
1.0,0.0,G,38.0,3.0,36.0,Third call,1.0,50-59,White,Female,Wyden,Kitzhaber,Approve,Approve,Neither,No,No,No,No,Same,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,45 to 59,50 to 59,Democrat,50 to 64,0.247,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,37.0,Third call,1.0,30-39,White,Female,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,HS grad,30 to 50K,Moderate,18 to 64,Pro-growth,State,Complete,NW Pacific Coast,30 to 44,30 to 39,Democrat,30 to 39,0.247,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,38.0,Third call,1.0,65 and over,White,Female,Wyden,Kitzhaber,,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,College grad,,Moderate,65 and over,Pro-environment,State,Complete,NW Pacific Coast,60 and over,60 and over,Democrat,65 and over,0.246,Favorable,Exit poll
1.0,0.0,G,38.0,3.0,39.0,Third call,1.0,30-39,White,Female,Wyden,Kitzhaber,Disapprove,Disapprove,Neither,No,No,No,,Worse,Clinton,Something else,College grad,100K or more,Liberal,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,30 to 44,30 to 39,Independent/Other,30 to 39,0.247,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,40.0,Third call,1.0,50-59,White,Male,Wyden,Kitzhaber,Disapprove,Disapprove,Neither,No,No,Yes,Yes,Same,Dole,Independent,Postgrad,100K or more,Moderate,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,45 to 59,50 to 59,Independent/Other,50 to 64,0.271,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,41.0,Third call,1.0,18-24,White,Male,Lim,Sizemore,Disapprove,Approve,Neither,No,No,No,Yes,Worse,Dole,Republican,Some college,100K or more,Moderate,18 to 64,Pro-growth,State,Complete,NW Pacific Coast,18 to 29,18 to 24,Republican,18 to 24,0.256,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,42.0,Third call,1.0,18-24,White,Male,Lim,Sizemore,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,,Better,Dole,Republican,Some college,Under 15K,Conservative,18 to 64,Pro-growth,State,Complete,NW Pacific Coast,18 to 29,18 to 24,Republican,18 to 24,0.256,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,43.0,Third call,1.0,40-44,White,Female,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Postgrad,30 to 50K,Liberal,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,30 to 44,40 to 49,Democrat,40 to 49,0.247,Favorable,Exit poll
1.0,0.0,G,38.0,3.0,44.0,Third call,1.0,50-59,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Postgrad,100K or more,Liberal,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,45 to 59,50 to 59,Democrat,50 to 64,0.271,Favorable,Exit poll
1.0,0.0,G,38.0,3.0,45.0,Third call,1.0,50-59,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Postgrad,75 to 100K,Moderate,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,45 to 59,50 to 59,Democrat,50 to 64,0.271,Favorable,Exit poll
1.0,0.0,G,38.0,3.0,46.0,Third call,1.0,50-59,White,Male,Wyden,Kitzhaber,Approve,Approve,Neither,No,,,Yes,Worse,Clinton,Something else,Postgrad,15 to 30K,Liberal,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,45 to 59,50 to 59,Independent/Other,50 to 64,0.271,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,47.0,Third call,1.0,40-44,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,Yes,Yes,Same,Clinton,Democrat,Postgrad,50 to 75K,Moderate,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,30 to 44,40 to 49,Democrat,40 to 49,0.271,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,48.0,Third call,1.0,30-39,White,Female,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Something else,Postgrad,30 to 50K,Liberal,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,30 to 44,30 to 39,Independent/Other,30 to 39,0.247,,Exit poll
1.0,0.0,G,38.0,3.0,49.0,Third call,1.0,30-39,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Independent,Postgrad,30 to 50K,Liberal,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,30 to 44,30 to 39,Independent/Other,30 to 39,0.271,,Exit poll
1.0,0.0,G,38.0,3.0,50.0,Third call,1.0,50-59,White,Female,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,College grad,30 to 50K,Liberal,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,45 to 59,50 to 59,Democrat,50 to 64,0.247,Favorable,Exit poll
1.0,0.0,G,38.0,3.0,51.0,Third call,1.0,40-44,White,Female,Wyden,Kitzhaber,Approve,,Neither,No,No,No,Yes,Better,Clinton,Democrat,Postgrad,30 to 50K,Liberal,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,30 to 44,40 to 49,Democrat,40 to 49,0.247,Favorable,Exit poll
1.0,0.0,G,38.0,3.0,52.0,Third call,1.0,60-64,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Perot,Republican,Postgrad,30 to 50K,Moderate,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,60 and over,60 and over,Republican,50 to 64,0.269,Favorable,Exit poll
1.0,0.0,G,38.0,3.0,53.0,Third call,1.0,40-44,Other,Male,Wyden,Other,Approve,Disapprove,Neither,No,No,No,No,Better,Other,Independent,Postgrad,30 to 50K,Moderate,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,30 to 44,40 to 49,Independent/Other,40 to 49,0.26399999999999996,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,54.0,Third call,1.0,40-44,,Female,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Postgrad,75 to 100K,Liberal,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,30 to 44,40 to 49,Democrat,40 to 49,0.247,,Exit poll
1.0,0.0,G,38.0,3.0,55.0,Third call,1.0,18-24,White,Female,Lim,Sizemore,Disapprove,Approve,Neither,Yes,,,,Same,Did not vote,Republican,College grad,15 to 30K,Conservative,18 to 64,Pro-growth,State,Complete,NW Pacific Coast,18 to 29,18 to 24,Republican,18 to 24,0.234,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,56.0,Third call,1.0,40-44,White,Female,Lim,Kitzhaber,Disapprove,Approve,,Yes,Yes,Yes,Yes,Better,Dole,Republican,College grad,75 to 100K,Moderate,18 to 64,Pro-growth,State,Complete,NW Pacific Coast,30 to 44,40 to 49,Republican,40 to 49,0.262,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,57.0,Third call,1.0,18-24,White,Male,Lim,Sizemore,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Same,Dole,Republican,Some college,75 to 100K,Conservative,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,18 to 29,18 to 24,Republican,18 to 24,0.256,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,58.0,Third call,1.0,50-59,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Postgrad,100K or more,Moderate,18 to 64,,State,Complete,NW Pacific Coast,45 to 59,50 to 59,Democrat,50 to 64,0.271,,Exit poll
1.0,0.0,G,38.0,3.0,59.0,Third call,1.0,45-49,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Support Clinton,No,No,No,Yes,Better,Clinton,Independent,College grad,75 to 100K,Moderate,18 to 64,Pro-growth,State,Complete,NW Pacific Coast,45 to 59,40 to 49,Independent/Other,40 to 49,0.271,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,60.0,Third call,1.0,30-39,White,Male,Wyden,Sizemore,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,HS grad,30 to 50K,Conservative,18 to 64,Pro-growth,State,Complete,NW Pacific Coast,30 to 44,30 to 39,Democrat,30 to 39,0.269,Favorable,Exit poll
1.0,0.0,G,38.0,3.0,61.0,Third call,1.0,40-44,Asian,Female,Wyden,Kitzhaber,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Better,Clinton,Democrat,Postgrad,75 to 100K,Liberal,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,30 to 44,40 to 49,Democrat,40 to 49,0.247,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,62.0,Third call,1.0,18-24,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Some college,Under 15K,Moderate,18 to 64,,State,Complete,NW Pacific Coast,18 to 29,18 to 24,Democrat,18 to 24,0.241,Favorable,Exit poll
1.0,0.0,G,38.0,3.0,63.0,Third call,1.0,45-49,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,,Yes,Same,Clinton,Independent,Postgrad,,Moderate,18 to 64,,State,Complete,NW Pacific Coast,45 to 59,40 to 49,Independent/Other,40 to 49,0.271,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,64.0,Third call,1.0,40-44,White,Male,Wyden,Kitzhaber,Approve,Approve,Neither,No,No,No,Yes,Worse,Clinton,Democrat,No HS,50 to 75K,Moderate,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,30 to 44,40 to 49,Democrat,40 to 49,0.271,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,65.0,Third call,1.0,30-39,White,Male,Wyden,Kitzhaber,Approve,Approve,Neither,No,No,No,Yes,,Clinton,Democrat,HS grad,,Moderate,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,30 to 44,30 to 39,Democrat,30 to 39,0.271,Favorable,Exit poll
1.0,0.0,G,38.0,3.0,66.0,Third call,1.0,18-24,White,Male,Lim,Kitzhaber,Disapprove,Approve,Neither,Yes,Yes,Yes,,Better,Dole,Republican,College grad,15 to 30K,Conservative,18 to 64,,State,Complete,NW Pacific Coast,18 to 29,18 to 24,Republican,18 to 24,0.257,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,67.0,Third call,1.0,18-24,White,Female,Lim,Other,Disapprove,Approve,,No,,,,,,,,,,18 to 64,,State,Not complete,NW Pacific Coast,18 to 29,18 to 24,,18 to 24,0.22800000000000004,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,68.0,Third call,1.0,30-39,White,Female,Lim,Sizemore,Disapprove,Disapprove,Neither,No,No,Yes,Yes,Same,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,Pro-growth,State,Complete,NW Pacific Coast,30 to 44,30 to 39,Republican,30 to 39,0.261,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,69.0,Third call,1.0,40-44,White,Male,Other,Other,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Something else,Postgrad,75 to 100K,Liberal,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,30 to 44,40 to 49,Independent/Other,40 to 49,1.483,Unfavorable,Exit poll
1.0,0.0,G,38.0,3.0,70.0,Third call,1.0,45-49,White,Female,Wyden,Kitzhaber,Approve,,Neither,No,No,No,Yes,Better,Clinton,Democrat,College grad,30 to 50K,Liberal,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,45 to 59,40 to 49,Democrat,40 to 49,0.247,,Exit poll
1.0,0.0,G,38.0,3.0,71.0,Third call,1.0,45-49,White,Female,Wyden,Kitzhaber,Disapprove,Approve,Neither,,No,Yes,Yes,Same,Dole,Independent,Postgrad,30 to 50K,Moderate,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,45 to 59,40 to 49,Independent/Other,40 to 49,0.247,Unfavorable,Exit poll
1.0,0.0,G,38.0,17.0,1.0,First call,1.0,30-39,White,Male,Lim,Sizemore,Disapprove,Approve,Neither,Yes,Yes,Yes,,Better,Dole,Republican,College grad,30 to 50K,Conservative,18 to 64,Pro-growth,State,Complete,East/West,30 to 44,30 to 39,Republican,30 to 39,0.37499999999999994,Unfavorable,Exit poll
1.0,0.0,G,38.0,17.0,2.0,First call,1.0,40-44,Hispanic,Male,Lim,Sizemore,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Better,Dole,Republican,College grad,100K or more,Conservative,18 to 64,,State,Complete,East/West,30 to 44,40 to 49,Republican,40 to 49,0.26,Unfavorable,Exit poll
1.0,0.0,G,38.0,17.0,3.0,First call,1.0,30-39,White,Male,Lim,Sizemore,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,No,,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,,State,Complete,East/West,30 to 44,30 to 39,Republican,30 to 39,0.37499999999999994,Unfavorable,Exit poll
1.0,0.0,G,38.0,17.0,4.0,First call,1.0,30-39,White,Male,Lim,,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Worse,Dole,Republican,Postgrad,30 to 50K,Moderate,18 to 64,Pro-environment,State,Complete,East/West,30 to 44,30 to 39,Republican,30 to 39,0.36399999999999993,Unfavorable,Exit poll
1.0,0.0,G,38.0,17.0,5.0,First call,1.0,45-49,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,No,Worse,Clinton,Democrat,Postgrad,75 to 100K,Conservative,18 to 64,Pro-environment,State,Complete,East/West,45 to 59,40 to 49,Democrat,40 to 49,0.40800000000000003,,Exit poll
1.0,0.0,G,38.0,17.0,6.0,First call,1.0,50-59,White,Female,Lim,Sizemore,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Worse,Dole,Republican,Some college,50 to 75K,Conservative,18 to 64,Pro-growth,State,Complete,East/West,45 to 59,50 to 59,Republican,50 to 64,0.358,Unfavorable,Exit poll
1.0,0.0,G,38.0,17.0,7.0,Second call,1.0,45-49,White,Male,Lim,Sizemore,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,Postgrad,75 to 100K,Conservative,18 to 64,Pro-growth,State,Complete,East/West,45 to 59,40 to 49,Republican,40 to 49,0.37499999999999994,Unfavorable,Exit poll
1.0,0.0,G,38.0,17.0,8.0,Second call,1.0,45-49,White,Female,Lim,Sizemore,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,College grad,75 to 100K,Conservative,18 to 64,Pro-growth,State,Complete,East/West,45 to 59,40 to 49,Republican,40 to 49,0.358,Unfavorable,Exit poll
1.0,0.0,G,38.0,17.0,9.0,Second call,1.0,40-44,,Female,Other,Kitzhaber,,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,,15 to 30K,Moderate,18 to 64,Pro-environment,State,Complete,East/West,30 to 44,40 to 49,Democrat,40 to 49,2.065,Favorable,Exit poll
1.0,0.0,G,38.0,17.0,10.0,Second call,1.0,65 and over,White,Female,Wyden,,Disapprove,Disapprove,Neither,No,No,No,Yes,Same,Did not vote,Republican,HS grad,15 to 30K,Moderate,65 and over,Pro-environment,State,Complete,East/West,60 and over,60 and over,Republican,65 and over,0.345,Unfavorable,Exit poll
1.0,0.0,G,38.0,17.0,11.0,Second call,1.0,45-49,White,Female,Lim,Sizemore,Disapprove,Approve,Neither,Yes,,Yes,,Better,Perot,Republican,HS grad,,Conservative,18 to 64,,State,Complete,East/West,45 to 59,40 to 49,Republican,40 to 49,0.358,,Exit poll
1.0,0.0,G,38.0,17.0,12.0,Second call,1.0,45-49,Asian,Female,Lim,Sizemore,Approve,Approve,Oppose Clinton,Yes,Yes,Yes,No,Same,Clinton,Democrat,College grad,30 to 50K,Conservative,18 to 64,Pro-growth,State,Complete,East/West,45 to 59,40 to 49,Democrat,40 to 49,0.358,Unfavorable,Exit poll
1.0,0.0,G,38.0,17.0,13.0,Third call,1.0,30-39,White,Female,Lim,Sizemore,Disapprove,,Neither,Yes,Yes,Yes,,Better,Dole,Republican,College grad,,Conservative,18 to 64,Pro-growth,State,Complete,East/West,30 to 44,30 to 39,Republican,30 to 39,0.358,Unfavorable,Exit poll
1.0,0.0,G,38.0,17.0,14.0,Third call,1.0,40-44,White,Female,Wyden,Kitzhaber,Approve,Disapprove,Support Clinton,No,No,No,No,Same,Clinton,Independent,Some college,30 to 50K,Moderate,18 to 64,,State,Complete,East/West,30 to 44,40 to 49,Independent/Other,40 to 49,0.387,Favorable,Exit poll
1.0,0.0,G,38.0,17.0,15.0,Third call,1.0,30-39,White,Male,Lim,Sizemore,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Same,Dole,Republican,Some college,50 to 75K,Conservative,18 to 64,Pro-growth,State,Complete,East/West,30 to 44,30 to 39,Republican,30 to 39,0.37499999999999994,Unfavorable,Exit poll
1.0,0.0,G,38.0,17.0,16.0,Third call,1.0,45-49,White,Female,Lim,Sizemore,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Same,Dole,Republican,Some college,50 to 75K,Conservative,18 to 64,Pro-growth,State,Complete,East/West,45 to 59,40 to 49,Republican,40 to 49,0.358,Unfavorable,Exit poll
1.0,0.0,G,38.0,17.0,17.0,Third call,1.0,30-39,White,Male,Wyden,Kitzhaber,Approve,Approve,Support Clinton,No,No,Yes,No,Better,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Pro-environment,State,Complete,East/West,30 to 44,30 to 39,Democrat,30 to 39,0.40800000000000003,Favorable,Exit poll
1.0,0.0,G,38.0,17.0,18.0,Third call,1.0,25-29,White,Male,Wyden,Sizemore,Approve,Approve,Neither,No,Yes,Yes,Yes,Worse,Dole,Democrat,No HS,30 to 50K,Liberal,18 to 64,Pro-environment,State,Complete,East/West,18 to 29,25 to 29,Democrat,25 to 29,0.597,Unfavorable,Exit poll
1.0,0.0,G,38.0,24.0,1.0,First call,1.0,65 and over,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Independent,Postgrad,50 to 75K,Moderate,65 and over,Pro-environment,State,Complete,East/West,60 and over,60 and over,Independent/Other,65 and over,0.8540000000000001,Favorable,Exit poll
1.0,0.0,G,38.0,24.0,2.0,First call,1.0,65 and over,White,Female,Wyden,Kitzhaber,Disapprove,Disapprove,Neither,No,No,Yes,Yes,Same,Dole,Republican,Postgrad,50 to 75K,Moderate,65 and over,,State,Complete,East/West,60 and over,60 and over,Republican,65 and over,0.8130000000000001,Unfavorable,Exit poll
1.0,0.0,G,38.0,24.0,3.0,First call,1.0,65 and over,White,Male,Wyden,Kitzhaber,Disapprove,Disapprove,Oppose Clinton,No,No,Yes,Yes,Better,Dole,Independent,College grad,30 to 50K,Moderate,65 and over,Pro-environment,State,Complete,East/West,60 and over,60 and over,Independent/Other,65 and over,0.8540000000000001,Unfavorable,Exit poll
1.0,0.0,G,38.0,24.0,4.0,First call,1.0,65 and over,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,,Yes,Same,Clinton,Independent,College grad,,Moderate,65 and over,,State,Complete,East/West,60 and over,60 and over,Independent/Other,65 and over,0.8540000000000001,Unfavorable,Exit poll
1.0,0.0,G,38.0,24.0,5.0,First call,1.0,65 and over,White,Female,Wyden,Kitzhaber,,Approve,Neither,No,No,Yes,Yes,Same,Clinton,Democrat,College grad,50 to 75K,Moderate,65 and over,Pro-environment,State,Complete,East/West,60 and over,60 and over,Democrat,65 and over,0.8130000000000001,Unfavorable,Exit poll
1.0,0.0,G,38.0,24.0,6.0,First call,1.0,65 and over,White,Female,Lim,Sizemore,,Disapprove,Neither,No,Yes,Yes,Yes,Same,Dole,Independent,Some college,75 to 100K,Moderate,65 and over,Pro-environment,State,Complete,East/West,60 and over,60 and over,Independent/Other,65 and over,0.748,Unfavorable,Exit poll
1.0,0.0,G,38.0,24.0,7.0,First call,1.0,65 and over,White,Female,Lim,Kitzhaber,,Approve,Neither,Yes,No,No,Yes,Same,Clinton,Republican,Some college,15 to 30K,Conservative,65 and over,Pro-environment,State,Complete,East/West,60 and over,60 and over,Republican,65 and over,0.751,Unfavorable,Exit poll
1.0,0.0,G,38.0,24.0,8.0,First call,1.0,65 and over,White,Female,Lim,Other,Disapprove,Disapprove,Neither,No,No,Yes,,Same,Perot,Independent,Some college,15 to 30K,Moderate,65 and over,,State,Complete,East/West,60 and over,60 and over,Independent/Other,65 and over,0.732,Unfavorable,Exit poll
1.0,0.0,G,38.0,24.0,9.0,First call,1.0,65 and over,White,Male,Wyden,Kitzhaber,Disapprove,Disapprove,Neither,No,No,No,No,Same,Dole,Independent,College grad,50 to 75K,Moderate,65 and over,Pro-environment,State,Complete,East/West,60 and over,60 and over,Independent/Other,65 and over,0.8540000000000001,Unfavorable,Exit poll
1.0,0.0,G,38.0,24.0,10.0,First call,1.0,65 and over,White,Female,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Democrat,Postgrad,,Moderate,65 and over,Pro-environment,State,Complete,East/West,60 and over,60 and over,Democrat,65 and over,0.8130000000000001,Unfavorable,Exit poll
1.0,0.0,G,38.0,24.0,11.0,First call,1.0,65 and over,White,Female,Wyden,Kitzhaber,Approve,,Neither,No,No,No,,Same,Clinton,Democrat,Postgrad,,Moderate,65 and over,,State,Complete,East/West,60 and over,60 and over,Democrat,65 and over,0.8130000000000001,,Exit poll
1.0,0.0,G,38.0,24.0,12.0,First call,1.0,65 and over,,Female,Wyden,Kitzhaber,Approve,,Neither,No,No,No,Yes,Same,Dole,,Postgrad,30 to 50K,Moderate,65 and over,,State,Complete,East/West,60 and over,60 and over,,65 and over,0.8130000000000001,Unfavorable,Exit poll
1.0,0.0,G,38.0,24.0,13.0,First call,1.0,65 and over,White,,Wyden,Kitzhaber,Disapprove,Disapprove,Neither,Yes,No,No,Yes,Same,Dole,Republican,HS grad,50 to 75K,Moderate,65 and over,Pro-growth,State,Complete,East/West,60 and over,60 and over,Republican,65 and over,0.8130000000000001,Unfavorable,Exit poll
1.0,0.0,G,38.0,24.0,14.0,First call,1.0,65 and over,White,Female,Lim,Sizemore,Disapprove,Disapprove,,Yes,,,,,,,,,,65 and over,Pro-environment,State,Not complete,East/West,60 and over,60 and over,,65 and over,0.748,Unfavorable,Exit poll
1.0,0.0,G,38.0,24.0,15.0,First call,1.0,65 and over,White,Female,Lim,Kitzhaber,Disapprove,Approve,Oppose Clinton,No,No,Yes,Yes,Same,Dole,Republican,HS grad,50 to 75K,Moderate,65 and over,Pro-growth,State,Complete,East/West,60 and over,60 and over,Republican,65 and over,0.751,Unfavorable,Exit poll
1.0,0.0,G,38.0,24.0,16.0,First call,1.0,65 and over,White,Male,Wyden,Kitzhaber,,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Democrat,Postgrad,100K or more,Moderate,65 and over,Pro-environment,State,Complete,East/West,60 and over,60 and over,Democrat,65 and over,0.8540000000000001,Unfavorable,Exit poll
1.0,0.0,G,38.0,24.0,17.0,Second call,1.0,65 and over,Asian,Female,Lim,Sizemore,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,No,Same,Dole,Independent,College grad,50 to 75K,Moderate,65 and over,Pro-growth,State,Complete,East/West,60 and over,60 and over,Independent/Other,65 and over,0.748,Unfavorable,Exit poll
1.0,0.0,G,38.0,24.0,18.0,Second call,1.0,65 and over,White,Female,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Independent,Some college,75 to 100K,Moderate,65 and over,,State,Complete,East/West,60 and over,60 and over,Independent/Other,65 and over,0.8130000000000001,Unfavorable,Exit poll
1.0,0.0,G,38.0,24.0,19.0,Second call,1.0,65 and over,White,Female,Wyden,Kitzhaber,Approve,,,No,No,No,,Better,Clinton,Democrat,College grad,100K or more,Moderate,65 and over,,State,Complete,East/West,60 and over,60 and over,Democrat,65 and over,0.8130000000000001,Unfavorable,Exit poll
1.0,0.0,G,38.0,24.0,20.0,Second call,1.0,65 and over,White,Female,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Democrat,Some college,30 to 50K,Moderate,65 and over,Pro-environment,State,Complete,East/West,60 and over,60 and over,Democrat,65 and over,0.8130000000000001,Unfavorable,Exit poll
1.0,0.0,G,38.0,24.0,21.0,Second call,1.0,65 and over,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Support Clinton,No,No,No,Yes,Same,Clinton,Democrat,Postgrad,30 to 50K,Liberal,65 and over,Pro-environment,State,Complete,East/West,60 and over,60 and over,Democrat,65 and over,0.8540000000000001,Unfavorable,Exit poll
