State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),Which is more important,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places),Clinton as person
16.0,48.0,24.0,Second call,60-64,White,Male,Grassley,Lightfoot,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Independent,HS grad,30 to 50K,Moderate,18 to 64,Cut taxes,State,Complete,Central,60 and over,60 and over,Independent/Other,50 to 64,0.969,Unfavorable
16.0,48.0,25.0,Third call,40-44,White,Female,Grassley,Lightfoot,Disapprove,Disapprove,Neither,No,Yes,Yes,No,Same,Clinton,Independent,No HS,50 to 75K,Liberal,18 to 64,Cut taxes,State,Complete,Central,30 to 44,40 to 49,Independent/Other,40 to 49,0.8520000000000001,Unfavorable
16.0,48.0,26.0,Third call,50-59,White,Female,Grassley,Lightfoot,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Yes,Same,Perot,Republican,College grad,100K or more,Conservative,18 to 64,Spend on educ,State,Complete,Central,45 to 59,50 to 59,Republican,50 to 64,0.8520000000000001,Unfavorable
16.0,48.0,27.0,Third call,50-59,White,Male,Grassley,Vilsack,Approve,Disapprove,Support Clinton,Yes,No,No,No,Better,Clinton,Independent,Some college,50 to 75K,Moderate,18 to 64,Cut taxes,State,Complete,Central,45 to 59,50 to 59,Independent/Other,50 to 64,0.878,Favorable
16.0,48.0,28.0,Third call,50-59,White,Male,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Independent,Some college,75 to 100K,Moderate,18 to 64,Spend on educ,State,Complete,Central,45 to 59,50 to 59,Independent/Other,50 to 64,0.887,Unfavorable
16.0,48.0,29.0,Third call,45-49,White,Male,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,Yes,No,Same,Perot,Democrat,College grad,75 to 100K,Moderate,18 to 64,Spend on educ,State,Complete,Central,45 to 59,40 to 49,Democrat,40 to 49,0.887,Unfavorable
16.0,48.0,30.0,Third call,50-59,White,Female,Osterberg,Vilsack,Approve,Approve,Neither,No,No,No,No,Better,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,Cut taxes,State,Complete,Central,45 to 59,50 to 59,Democrat,50 to 64,0.877,Favorable
16.0,48.0,31.0,Third call,45-49,Black,Female,Grassley,Vilsack,Disapprove,Approve,Neither,No,Yes,No,Yes,Better,Dole,Independent,HS grad,50 to 75K,Moderate,18 to 64,Cut taxes,State,Complete,Central,45 to 59,40 to 49,Independent/Other,40 to 49,1.114,Unfavorable
16.0,48.0,32.0,Third call,30-39,White,Female,Grassley,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Independent,HS grad,30 to 50K,Conservative,18 to 64,Spend on educ,State,Complete,Central,30 to 44,30 to 39,Independent/Other,30 to 39,0.868,Favorable
16.0,48.0,33.0,Third call,18-24,White,Female,Grassley,Vilsack,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Better,Did not vote,Independent,HS grad,30 to 50K,Moderate,18 to 64,Spend on educ,State,Complete,Central,18 to 29,18 to 24,Independent/Other,18 to 24,0.8380000000000001,Unfavorable
16.0,48.0,34.0,Third call,40-44,White,Male,Osterberg,Vilsack,Approve,Disapprove,Support Clinton,No,No,No,No,Worse,Clinton,Independent,HS grad,15 to 30K,Liberal,18 to 64,Spend on educ,State,Complete,Central,30 to 44,40 to 49,Independent/Other,40 to 49,0.887,Favorable
16.0,48.0,35.0,Third call,30-39,White,Female,Osterberg,Vilsack,Disapprove,Approve,Neither,Yes,Yes,Yes,No,Same,Clinton,Independent,Some college,50 to 75K,Moderate,18 to 64,Spend on educ,State,Complete,Central,30 to 44,30 to 39,Independent/Other,30 to 39,0.877,Unfavorable
16.0,48.0,36.0,Third call,30-39,White,Female,Grassley,Lightfoot,Approve,Approve,Neither,No,No,No,No,Same,Clinton,Republican,College grad,75 to 100K,Moderate,18 to 64,Spend on educ,State,Complete,Central,30 to 44,30 to 39,Republican,30 to 39,0.8520000000000001,Unfavorable
16.0,48.0,37.0,Third call,50-59,White,Male,Grassley,Vilsack,Approve,Disapprove,Neither,No,Yes,Yes,,Worse,Clinton,Independent,Some college,30 to 50K,Liberal,18 to 64,Spend on educ,State,Complete,Central,45 to 59,50 to 59,Independent/Other,50 to 64,0.878,Favorable
16.0,48.0,38.0,Third call,30-39,White,Male,Grassley,Vilsack,Approve,Disapprove,Neither,Yes,,No,No,Worse,Dole,Independent,Some college,15 to 30K,Conservative,18 to 64,Spend on educ,State,Complete,Central,30 to 44,30 to 39,Independent/Other,30 to 39,0.878,Unfavorable
16.0,48.0,39.0,Third call,45-49,White,Female,,Vilsack,Approve,Approve,Oppose Clinton,Yes,No,No,Yes,,Clinton,Democrat,HS grad,30 to 50K,Liberal,18 to 64,Cut taxes,State,Complete,Central,45 to 59,40 to 49,Democrat,40 to 49,0.876,Favorable
16.0,48.0,40.0,Third call,45-49,White,Male,Osterberg,Vilsack,Approve,Approve,Neither,No,No,Yes,Yes,Better,Clinton,Independent,Some college,50 to 75K,Moderate,18 to 64,Spend on educ,State,Complete,Central,45 to 59,40 to 49,Independent/Other,40 to 49,0.887,Favorable
16.0,48.0,41.0,Third call,40-44,White,Female,Grassley,Lightfoot,Approve,Disapprove,Neither,Yes,No,No,No,Better,Clinton,Republican,College grad,75 to 100K,Conservative,18 to 64,Cut taxes,State,Complete,Central,30 to 44,40 to 49,Republican,40 to 49,0.8520000000000001,Unfavorable
16.0,48.0,42.0,Third call,40-44,White,Male,Grassley,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Independent,Some college,50 to 75K,Moderate,18 to 64,Spend on educ,State,Complete,Central,30 to 44,40 to 49,Independent/Other,40 to 49,0.878,Unfavorable
16.0,48.0,43.0,Third call,30-39,White,Female,Grassley,Vilsack,Disapprove,Approve,Oppose Clinton,No,No,Yes,Yes,Worse,Dole,Republican,Postgrad,50 to 75K,Moderate,18 to 64,Cut taxes,State,Complete,Central,30 to 44,30 to 39,Republican,30 to 39,0.868,Unfavorable
16.0,48.0,44.0,Third call,30-39,White,Female,Grassley,Lightfoot,,Disapprove,Neither,Yes,Yes,Yes,Yes,Same,Dole,Independent,Some college,50 to 75K,Moderate,18 to 64,Cut taxes,State,Complete,Central,30 to 44,30 to 39,Independent/Other,30 to 39,0.8520000000000001,Unfavorable
16.0,48.0,45.0,Third call,25-29,Black,Female,Grassley,Lightfoot,Disapprove,Disapprove,Neither,No,Yes,Yes,No,Better,Dole,Republican,Some college,100K or more,Conservative,18 to 64,Spend on educ,State,Complete,Central,18 to 29,25 to 29,Republican,25 to 29,1.057,Unfavorable
16.0,48.0,46.0,Third call,50-59,Black,Female,Grassley,Vilsack,Approve,Disapprove,Support Clinton,No,Yes,Yes,No,Better,Dole,Republican,HS grad,50 to 75K,Moderate,18 to 64,Spend on educ,State,Complete,Central,45 to 59,50 to 59,Republican,50 to 64,1.114,Unfavorable
16.0,48.0,47.0,Third call,50-59,White,Male,Grassley,Lightfoot,Disapprove,Disapprove,Oppose Clinton,No,No,Yes,No,Worse,Dole,Republican,HS grad,30 to 50K,Moderate,18 to 64,Cut taxes,State,Complete,Central,45 to 59,50 to 59,Republican,50 to 64,0.8620000000000001,Unfavorable
16.0,48.0,48.0,Third call,50-59,White,Male,Grassley,Lightfoot,Approve,Disapprove,Neither,No,No,Yes,No,Same,Dole,Independent,Some college,50 to 75K,Moderate,18 to 64,Cut taxes,State,Complete,Central,45 to 59,50 to 59,Independent/Other,50 to 64,0.8620000000000001,Unfavorable
16.0,48.0,49.0,Third call,25-29,White,Male,Grassley,Lightfoot,Disapprove,Disapprove,Neither,No,No,Yes,Yes,Same,Dole,Republican,College grad,50 to 75K,Moderate,18 to 64,Spend on educ,State,Complete,Central,18 to 29,25 to 29,Republican,25 to 29,0.8330000000000001,Unfavorable
16.0,48.0,50.0,Third call,50-59,White,Male,Osterberg,Vilsack,Approve,Disapprove,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,HS grad,30 to 50K,Moderate,18 to 64,Cut taxes,State,Complete,Central,45 to 59,50 to 59,Democrat,50 to 64,0.887,Favorable
16.0,48.0,51.0,Third call,40-44,White,Male,Grassley,Lightfoot,Disapprove,Approve,Neither,No,No,Yes,Yes,Same,Perot,Republican,College grad,50 to 75K,Moderate,18 to 64,Cut taxes,State,Complete,Central,30 to 44,40 to 49,Republican,40 to 49,0.8620000000000001,Unfavorable
16.0,48.0,52.0,Third call,65 and over,White,Male,Osterberg,Vilsack,Disapprove,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,HS grad,50 to 75K,Liberal,65 and over,Spend on educ,State,Complete,Central,60 and over,60 and over,Democrat,65 and over,0.997,Favorable
16.0,48.0,53.0,Third call,30-39,White,Male,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,College grad,30 to 50K,Moderate,18 to 64,Cut taxes,State,Complete,Central,30 to 44,30 to 39,Democrat,30 to 39,0.887,Unfavorable
16.0,48.0,54.0,Third call,50-59,Black,Female,Grassley,Vilsack,Approve,Disapprove,Support Clinton,No,No,No,No,Same,Clinton,Democrat,Postgrad,30 to 50K,Liberal,18 to 64,Spend on educ,State,Complete,Central,45 to 59,50 to 59,Democrat,50 to 64,1.114,Favorable
16.0,48.0,55.0,Third call,25-29,,,Grassley,Lightfoot,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Same,Dole,Independent,Some college,30 to 50K,Moderate,18 to 64,Spend on educ,State,Complete,Central,18 to 29,25 to 29,Independent/Other,25 to 29,0.8330000000000001,Unfavorable
16.0,48.0,56.0,Third call,50-59,White,Female,Grassley,Vilsack,Disapprove,Disapprove,Oppose Clinton,No,No,No,Yes,Worse,Perot,Republican,College grad,50 to 75K,Moderate,18 to 64,Cut taxes,State,Complete,Central,45 to 59,50 to 59,Republican,50 to 64,0.868,Unfavorable
16.0,48.0,57.0,Third call,18-24,White,Female,Osterberg,Vilsack,Approve,Disapprove,Oppose Clinton,No,No,No,No,Same,Clinton,Independent,Some college,30 to 50K,Moderate,18 to 64,Spend on educ,State,Complete,Central,18 to 29,18 to 24,Independent/Other,18 to 24,0.847,Unfavorable
16.0,48.0,58.0,Third call,50-59,White,Male,Grassley,Vilsack,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Same,Perot,Independent,Some college,50 to 75K,Conservative,18 to 64,Cut taxes,State,Complete,Central,45 to 59,50 to 59,Independent/Other,50 to 64,0.878,Unfavorable
16.0,48.0,59.0,Third call,45-49,White,Female,Grassley,Vilsack,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Same,Dole,Independent,College grad,75 to 100K,Moderate,18 to 64,Spend on educ,State,Complete,Central,45 to 59,40 to 49,Independent/Other,40 to 49,0.868,Unfavorable
16.0,48.0,60.0,Third call,50-59,White,,Osterberg,Vilsack,Approve,Disapprove,Neither,No,Yes,Yes,Yes,Worse,Dole,Republican,Some college,50 to 75K,Moderate,18 to 64,Cut taxes,State,Complete,Central,45 to 59,50 to 59,Republican,50 to 64,0.877,Unfavorable
16.0,48.0,61.0,Third call,30-39,White,Male,Grassley,Vilsack,Disapprove,Approve,Neither,No,No,Yes,Yes,Better,Perot,Independent,Postgrad,50 to 75K,Moderate,18 to 64,Cut taxes,State,Complete,Central,30 to 44,30 to 39,Independent/Other,30 to 39,0.878,Unfavorable
16.0,53.0,1.0,First call,65 and over,White,Male,Grassley,Vilsack,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Independent,College grad,Under 15K,Moderate,65 and over,Spend on educ,State,Complete,East,60 and over,60 and over,Independent/Other,65 and over,0.73,Unfavorable
16.0,53.0,2.0,First call,25-29,White,Male,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,Yes,Same,Other,Democrat,Some college,Under 15K,Liberal,18 to 64,Cut taxes,State,Complete,East,18 to 29,25 to 29,Democrat,25 to 29,0.797,Unfavorable
16.0,53.0,3.0,First call,25-29,Black,Male,Osterberg,Vilsack,Approve,Disapprove,Support Clinton,No,No,No,Yes,Better,Clinton,Democrat,College grad,50 to 75K,Liberal,18 to 64,Spend on educ,State,Complete,East,18 to 29,25 to 29,Democrat,25 to 29,0.595,Favorable
16.0,53.0,4.0,First call,25-29,White,Female,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,College grad,50 to 75K,Liberal,18 to 64,Spend on educ,State,Complete,East,18 to 29,25 to 29,Democrat,25 to 29,0.752,Favorable
16.0,53.0,5.0,First call,25-29,White,Male,Osterberg,Vilsack,Approve,Approve,Neither,No,No,No,No,Better,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,Spend on educ,State,Complete,East,18 to 29,25 to 29,Democrat,25 to 29,0.797,Favorable
16.0,53.0,6.0,First call,40-44,White,Male,Grassley,Lightfoot,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Better,Dole,Republican,Postgrad,100K or more,Conservative,18 to 64,Cut taxes,State,Complete,East,30 to 44,40 to 49,Republican,40 to 49,0.628,Unfavorable
16.0,53.0,7.0,First call,30-39,White,Female,Grassley,Lightfoot,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Better,Dole,Republican,College grad,75 to 100K,Moderate,18 to 64,,State,Complete,East,30 to 44,30 to 39,Republican,30 to 39,0.593,Unfavorable
16.0,53.0,8.0,First call,30-39,White,Male,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Postgrad,100K or more,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,30 to 39,Democrat,30 to 39,0.6699999999999999,Favorable
16.0,53.0,9.0,First call,25-29,White,Female,Osterberg,Vilsack,Approve,Disapprove,Support Clinton,No,Yes,No,Yes,Better,Clinton,Democrat,Postgrad,100K or more,Moderate,18 to 64,Spend on educ,State,Complete,East,18 to 29,25 to 29,Democrat,25 to 29,0.752,Unfavorable
16.0,53.0,10.0,First call,25-29,White,Male,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Democrat,Postgrad,100K or more,Moderate,18 to 64,Spend on educ,State,Complete,East,18 to 29,25 to 29,Democrat,25 to 29,0.797,Unfavorable
16.0,53.0,11.0,First call,30-39,White,Male,Osterberg,Vilsack,Approve,Disapprove,Support Clinton,No,No,No,Yes,Better,Clinton,Independent,Postgrad,Under 15K,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,30 to 39,Independent/Other,30 to 39,0.6699999999999999,Unfavorable
16.0,53.0,12.0,First call,40-44,White,Male,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Postgrad,100K or more,Liberal,18 to 64,Spend on educ,State,Complete,East,30 to 44,40 to 49,Democrat,40 to 49,0.6699999999999999,Favorable
16.0,53.0,13.0,First call,40-44,White,Male,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Democrat,Postgrad,100K or more,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,40 to 49,Democrat,40 to 49,0.6699999999999999,Unfavorable
16.0,53.0,14.0,First call,30-39,White,Female,Osterberg,Vilsack,Approve,Disapprove,Support Clinton,No,No,No,Yes,Better,Clinton,Democrat,Postgrad,75 to 100K,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,30 to 39,Democrat,30 to 39,0.632,Unfavorable
16.0,53.0,15.0,First call,45-49,White,Female,Grassley,Vilsack,,,,,,,,Same,Perot,Independent,Some college,,Conservative,18 to 64,Cut taxes,State,Complete,East,45 to 59,40 to 49,Independent/Other,40 to 49,0.603,
16.0,53.0,16.0,Second call,25-29,White,Female,Grassley,Lightfoot,Disapprove,Disapprove,,No,,,,,,,,,,18 to 64,Cut taxes,State,Not complete,East,18 to 29,25 to 29,,25 to 29,0.706,Unfavorable
16.0,53.0,17.0,Second call,30-39,White,Female,Grassley,Lightfoot,Disapprove,Approve,Neither,No,No,Yes,Yes,Same,Dole,Republican,Postgrad,100K or more,Conservative,18 to 64,Spend on educ,State,Complete,East,30 to 44,30 to 39,Republican,30 to 39,0.593,Unfavorable
16.0,53.0,18.0,Second call,30-39,Asian,Male,Osterberg,Vilsack,Approve,Approve,Neither,No,No,No,,Same,Clinton,Independent,Postgrad,100K or more,Liberal,18 to 64,Spend on educ,State,Complete,East,30 to 44,30 to 39,Independent/Other,30 to 39,0.6699999999999999,Favorable
16.0,53.0,19.0,Second call,40-44,White,Female,Grassley,Lightfoot,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,No,Better,Dole,Independent,College grad,50 to 75K,Moderate,18 to 64,Cut taxes,State,Complete,East,30 to 44,40 to 49,Independent/Other,40 to 49,0.593,Unfavorable
16.0,53.0,20.0,Second call,30-39,White,Male,Grassley,Lightfoot,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Same,Dole,Republican,College grad,100K or more,Conservative,18 to 64,Cut taxes,State,Complete,East,30 to 44,30 to 39,Republican,30 to 39,0.628,Unfavorable
16.0,53.0,21.0,Second call,40-44,White,Male,Grassley,Vilsack,Approve,Disapprove,Neither,No,No,Yes,Yes,Better,Clinton,Independent,College grad,100K or more,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,40 to 49,Independent/Other,40 to 49,0.638,Unfavorable
16.0,53.0,22.0,Second call,18-24,White,Female,Grassley,Vilsack,Approve,Approve,Neither,No,No,No,Yes,Same,Did not vote,Independent,HS grad,50 to 75K,Moderate,18 to 64,Spend on educ,State,Complete,East,18 to 29,18 to 24,Independent/Other,18 to 24,0.7189999999999999,Favorable
16.0,53.0,23.0,Second call,25-29,White,Male,Grassley,Lightfoot,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,No,Same,Did not vote,Republican,Postgrad,50 to 75K,Moderate,18 to 64,Spend on educ,State,Complete,East,18 to 29,25 to 29,Republican,25 to 29,0.746,Unfavorable
16.0,53.0,24.0,Second call,45-49,White,Female,Osterberg,Vilsack,Approve,Approve,Neither,No,No,No,,Same,Clinton,Independent,Some college,15 to 30K,Moderate,18 to 64,Cut taxes,State,Complete,East,45 to 59,40 to 49,Independent/Other,40 to 49,0.632,Favorable
16.0,53.0,25.0,Second call,25-29,Black,Female,Osterberg,Vilsack,Approve,Disapprove,Neither,Yes,No,No,No,Same,Clinton,Democrat,College grad,Under 15K,Moderate,18 to 64,Spend on educ,State,Complete,East,18 to 29,25 to 29,Democrat,25 to 29,0.562,Favorable
16.0,53.0,26.0,Second call,30-39,White,Female,Grassley,Lightfoot,Approve,,Neither,No,No,No,Yes,Better,Clinton,Independent,Postgrad,100K or more,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,30 to 39,Independent/Other,30 to 39,0.593,Unfavorable
16.0,53.0,27.0,Second call,30-39,White,Female,Grassley,Lightfoot,Disapprove,Disapprove,Neither,No,Yes,Yes,No,Same,Dole,Independent,College grad,15 to 30K,Moderate,18 to 64,Cut taxes,State,Complete,East,30 to 44,30 to 39,Independent/Other,30 to 39,0.593,Unfavorable
16.0,53.0,28.0,Second call,30-39,White,Female,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Postgrad,15 to 30K,Liberal,18 to 64,Spend on educ,State,Complete,East,30 to 44,30 to 39,Democrat,30 to 39,0.632,Unfavorable
16.0,53.0,29.0,Second call,40-44,Black,Female,Osterberg,Vilsack,,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Democrat,Some college,30 to 50K,Liberal,18 to 64,Spend on educ,State,Complete,East,30 to 44,40 to 49,Democrat,40 to 49,0.473,Favorable
16.0,53.0,30.0,Second call,25-29,White,Female,Osterberg,Vilsack,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,Postgrad,30 to 50K,Liberal,18 to 64,Spend on educ,State,Complete,East,18 to 29,25 to 29,Democrat,25 to 29,0.752,Favorable
16.0,53.0,31.0,Third call,25-29,White,Male,Grassley,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Independent,Postgrad,30 to 50K,Moderate,18 to 64,Cut taxes,State,Complete,East,18 to 29,25 to 29,Independent/Other,25 to 29,0.7599999999999999,Favorable
16.0,53.0,32.0,Third call,40-44,White,Male,Grassley,Lightfoot,Disapprove,Disapprove,Oppose Clinton,No,No,Yes,No,Same,Dole,Republican,Postgrad,30 to 50K,Conservative,18 to 64,Cut taxes,State,Complete,East,30 to 44,40 to 49,Republican,40 to 49,0.628,Unfavorable
16.0,53.0,33.0,Third call,40-44,White,Female,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,College grad,50 to 75K,Liberal,18 to 64,Spend on educ,State,Complete,East,30 to 44,40 to 49,Democrat,40 to 49,0.632,Unfavorable
16.0,53.0,34.0,Third call,25-29,White,Female,Grassley,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,Postgrad,15 to 30K,Moderate,18 to 64,Cut taxes,State,Complete,East,18 to 29,25 to 29,Democrat,25 to 29,0.7189999999999999,Unfavorable
16.0,53.0,35.0,Third call,18-24,White,Female,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,Yes,Better,Did not vote,Democrat,College grad,50 to 75K,Liberal,18 to 64,Spend on educ,State,Complete,East,18 to 29,18 to 24,Democrat,18 to 24,0.752,Unfavorable
16.0,53.0,36.0,Third call,40-44,Black,Female,Osterberg,Vilsack,Approve,Disapprove,Support Clinton,No,No,,,Same,Clinton,Democrat,College grad,Under 15K,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,40 to 49,Democrat,40 to 49,0.473,Favorable
16.0,53.0,37.0,Third call,18-24,Black,Female,Osterberg,Vilsack,Approve,Disapprove,Support Clinton,Yes,No,No,Yes,Better,Clinton,Democrat,HS grad,Under 15K,Liberal,18 to 64,Spend on educ,State,Complete,East,18 to 29,18 to 24,Democrat,18 to 24,0.562,Favorable
16.0,53.0,38.0,Third call,40-44,Asian,Female,Grassley,Vilsack,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Democrat,Postgrad,100K or more,Liberal,18 to 64,Spend on educ,State,Complete,East,30 to 44,40 to 49,Democrat,40 to 49,0.603,
16.0,53.0,39.0,Third call,18-24,White,Female,Grassley,Vilsack,Approve,Approve,Neither,No,No,No,No,Better,Clinton,Republican,College grad,30 to 50K,Liberal,18 to 64,Spend on educ,State,Complete,East,18 to 29,18 to 24,Republican,18 to 24,0.7189999999999999,Favorable
16.0,53.0,40.0,Third call,25-29,White,Male,Grassley,Vilsack,Approve,Approve,Neither,No,No,Yes,Yes,Better,Clinton,Independent,Postgrad,15 to 30K,Moderate,18 to 64,Spend on educ,State,Complete,East,18 to 29,25 to 29,Independent/Other,25 to 29,0.7599999999999999,Unfavorable
16.0,53.0,41.0,Third call,30-39,White,Male,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,College grad,15 to 30K,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,30 to 39,Democrat,30 to 39,0.6699999999999999,Favorable
16.0,53.0,42.0,Third call,18-24,White,Female,Osterberg,Vilsack,,Disapprove,Support Clinton,No,No,Yes,No,Same,Clinton,Democrat,Some college,75 to 100K,Liberal,18 to 64,Spend on educ,State,Complete,East,18 to 29,18 to 24,Democrat,18 to 24,0.752,Favorable
16.0,53.0,43.0,Third call,45-49,White,Female,Osterberg,Vilsack,Approve,Disapprove,Support Clinton,No,No,No,Yes,Better,Clinton,Democrat,Postgrad,100K or more,Moderate,18 to 64,Spend on educ,State,Complete,East,45 to 59,40 to 49,Democrat,40 to 49,0.632,Favorable
16.0,53.0,44.0,Third call,50-59,White,Male,Grassley,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Independent,Postgrad,100K or more,Moderate,18 to 64,Spend on educ,State,Complete,East,45 to 59,50 to 59,Independent/Other,50 to 64,0.638,Unfavorable
16.0,53.0,45.0,Third call,30-39,White,Male,Grassley,Lightfoot,Disapprove,Approve,,Yes,,,,,,,,,,18 to 64,,State,Not complete,East,30 to 44,30 to 39,,30 to 39,0.628,Unfavorable
16.0,53.0,46.0,Third call,25-29,Black,Female,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Democrat,Postgrad,15 to 30K,Liberal,18 to 64,Spend on educ,State,Complete,East,18 to 29,25 to 29,Democrat,25 to 29,0.562,Unfavorable
16.0,53.0,47.0,Third call,30-39,White,Male,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,Some college,15 to 30K,Liberal,18 to 64,Spend on educ,State,Complete,East,30 to 44,30 to 39,Democrat,30 to 39,0.6699999999999999,Favorable
16.0,53.0,48.0,Third call,40-44,White,Male,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,,Same,Clinton,Democrat,College grad,50 to 75K,Liberal,18 to 64,Spend on educ,State,Complete,East,30 to 44,40 to 49,Democrat,40 to 49,0.6699999999999999,Unfavorable
16.0,53.0,49.0,Third call,40-44,White,Male,Grassley,Lightfoot,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,Postgrad,100K or more,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,40 to 49,Republican,40 to 49,0.628,Unfavorable
16.0,53.0,50.0,Third call,18-24,White,Female,Osterberg,Vilsack,Approve,Approve,Neither,No,No,No,No,Same,Clinton,Democrat,College grad,50 to 75K,Liberal,18 to 64,Spend on educ,State,Complete,East,18 to 29,18 to 24,Democrat,18 to 24,0.752,Favorable
16.0,54.0,1.0,First call,18-24,White,Male,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,Yes,Better,Did not vote,Independent,HS grad,15 to 30K,Liberal,18 to 64,Spend on educ,State,Complete,East,18 to 29,18 to 24,Independent/Other,18 to 24,0.377,Unfavorable
16.0,54.0,2.0,First call,18-24,White,Female,Grassley,Vilsack,Approve,Approve,Neither,No,No,No,Yes,Same,Did not vote,Independent,HS grad,50 to 75K,Moderate,18 to 64,Spend on educ,State,Complete,East,18 to 29,18 to 24,Independent/Other,18 to 24,0.33999999999999997,Unfavorable
16.0,54.0,3.0,First call,18-24,White,Female,Osterberg,Vilsack,Approve,Approve,Neither,No,No,No,Yes,Same,Did not vote,Democrat,HS grad,50 to 75K,Liberal,18 to 64,Spend on educ,State,Complete,East,18 to 29,18 to 24,Democrat,18 to 24,0.356,Favorable
16.0,54.0,4.0,First call,50-59,White,Male,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Postgrad,30 to 50K,Moderate,18 to 64,Spend on educ,State,Complete,East,45 to 59,50 to 59,Democrat,50 to 64,0.317,Favorable
16.0,54.0,5.0,First call,18-24,White,Male,Osterberg,Vilsack,Approve,Approve,Neither,No,No,No,No,Better,Did not vote,Democrat,HS grad,30 to 50K,Moderate,18 to 64,Spend on educ,State,Complete,East,18 to 29,18 to 24,Democrat,18 to 24,0.377,Favorable
16.0,54.0,6.0,First call,25-29,White,Female,Osterberg,Vilsack,Approve,Approve,Neither,No,No,No,No,Same,Did not vote,Democrat,Postgrad,Under 15K,Liberal,18 to 64,Spend on educ,State,Complete,East,18 to 29,25 to 29,Democrat,25 to 29,0.356,Unfavorable
