ID,SENNJ18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CONTROLSEN,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,ETHHUGIN,ETHMENENDEZ,ETHNJ18,FAVHUGIN,FAVMENENDEZ,FAVSENNJ18,FTVOTER18,GEOCODE,HEALTHCARE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,LATINO,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,RUSSIA18,SEN,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TRUMP2,TRUMP4,TRUMPIMM,VERSION,WEIGHT,WHNCLINC,ZIPCODE
61581.0,Bob Menendez,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Not complete,Call 3,1.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,5.0,,,,,,,,,,Yes,,,18-44,18-64,,,,,,,,,42.0,,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,,The Democratic candidate,Male,Latino men,Suburbs,Suburbs,English,New Jersey,Other,,Election day exit poll,,,,Version 1,0.402629256248474,,8080.0
66663.0,Bob Menendez,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,Call 3,6.0,The Democratic Party,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,Bob Hugin does not,Bob Menendez does,Only Bob Menendez does,Unfavorable,Favorable,Only Bob Menendez,Yes,4.0,Major changes,Yes,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and non white",Health care,Yes,Poor,Not so good or poor,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Moderate,58.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,Politically motivated,The Democratic candidate,Female,Latino women,Suburbs,Suburbs,English,New Jersey,Other,Hurt,Election day exit poll,Strongly or somewhat approve,Somewhat approve,Too tough,Version 1,0.687921345233917,No,8854.0
43488.0,Bob Menendez,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,All others,Latino 65+,Complete,Call 2,9.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,2.0,Major changes,Yes,,,,,,,Health care,No,,,18-44,18-64,Democrat,Non-black Democrat,All Other,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,7.0,Liberal Democrats,Liberal Democrats,Other,Other,National questionnaire,Other,Non-white,Other,East,Justified,The Democratic candidate,Female,All other races,Suburbs,Suburbs,English,New Jersey,Other,,Election day exit poll,,,Too tough,Version 2,0.594495117664337,,7605.0
43486.0,Bob Menendez,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,Latino 18-29,,Complete,Call 2,5.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,No,3.0,,,,,,,,,,Yes,,,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,102.0,Liberal Democrats,Liberal Democrats,Other,,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,,The Democratic candidate,Female,Latino women,Suburbs,Suburbs,English,New Jersey,Other,,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,,Version 1,0.472929626703262,,7860.0
43485.0,Bob Menendez,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,Call 2,8.0,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,1.0,Minor changes,Yes,,,,,,,The economy,Yes,,,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Liberal,108.0,Liberal Democrats,Liberal Democrats,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,Politically motivated,The Democratic candidate,Male,Latino men,Suburbs,Suburbs,English,New Jersey,Other,,Election day exit poll,,,Too tough,Version 2,1.18306386470795,,7202.0
31897.0,Bob Menendez,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Call 1,7.0,The Democratic Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Bob Hugin does not,Bob Menendez does not,Neither does,Unfavorable,Unfavorable,Neither,No,3.0,Major changes,No,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",Health care,No,Good,Excellent or good,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Moderate,113.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,White,East,Justified,The Democratic candidate,Male,White men,Suburbs,Suburbs,English,New Jersey,White suburban men,Hurt,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,1.75564932823181,No,8808.0
43435.0,Bob Menendez,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Call 2,11.0,The Democratic Party,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Bob Hugin does,Bob Menendez does not,Only Bob Hugin does,Unfavorable,Unfavorable,Neither,No,1.0,Major changes,Yes,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Gun policy,No,Poor,Not so good or poor,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,31.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,White,East,Justified,The Democratic candidate,Female,White women,Suburbs,Suburbs,English,New Jersey,White suburban women,Helped,Election day exit poll,Strongly or somewhat disapprove,Somewhat disapprove,About right,Version 1,0.835678279399872,Yes,7003.0
43479.0,Bob Menendez,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Call 2,5.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,,2.0,Major changes,Yes,,,,,,,Gun policy,No,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Moderate,13.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,White,East,Politically motivated,The Democratic candidate,Female,White women,Suburbs,Suburbs,English,New Jersey,White suburban women,,Election day exit poll,,,Too tough,Version 2,0.882489204406738,,7481.0
61884.0,Bob Menendez,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,Call 3,8.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,1.0,,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and non white",,Yes,Not so good,Not so good or poor,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,108.0,Liberal Democrats,Liberal Democrats,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,,The Democratic candidate,Female,Latino women,Suburbs,Suburbs,English,New Jersey,Other,No impact,Election day exit poll,,,,Version 4,0.433028101921082,No,7202.0
43474.0,Bob Menendez,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,Call 2,8.0,The Democratic Party,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Bob Hugin does not,Bob Menendez does not,Neither does,Unfavorable,Unfavorable,Neither,No,1.0,Minor changes,Yes,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and non white",Immigration,No,Not so good,Not so good or poor,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Moderate,35.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,Non-white,Black,East,Politically motivated,The Democratic candidate,Male,Black men,"Cities 50,000-500,000","Cities over 50,000",English,New Jersey,Other,Hurt,Election day exit poll,Strongly or somewhat approve,Somewhat approve,Too tough,Version 1,1.22921085357666,No,7104.0
68052.0,Bob Menendez,45-65,30-59,45-49,45+,18-49,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete,Call 3,8.0,The Democratic Party,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Omit,Omit,Omit,Favorable,Favorable,Both,No,1.0,Omit,Yes,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and non white",Health care,No,Poor,Not so good or poor,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Moderate,35.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,Non-white,Black,East,Politically motivated,The Democratic candidate,Female,Black women,"Cities 50,000-500,000","Cities over 50,000",English,New Jersey,Other,Hurt,Election day exit poll,Strongly or somewhat disapprove,Somewhat disapprove,Too tough,Version 1,0.970217168331146,No,7104.0
31881.0,Bob Menendez,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,All others,All others,Complete,Call 1,9.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,2.0,Major changes,Yes,,,,,,,Health care,No,,,18-44,18-64,Democrat,Non-black Democrat,All Other,Democratic men,Democrat,Democratic Men,Non-White Democrats,Moderate,7.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,Asian,National questionnaire,Asian,Non-white,Asian,East,Justified,The Democratic candidate,Male,All other races,Suburbs,Suburbs,English,New Jersey,Other,,Election day exit poll,,,Too tough,Version 2,0.753192067146301,,7605.0
60843.0,Bob Menendez,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 3,1.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,,,,5.0,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",,No,Excellent,Excellent or good,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,42.0,Moderate/Liberal Republicans,Conservative Independents,White,White,National questionnaire,White,White,White,East,,The Democratic candidate,Male,White men,Suburbs,Suburbs,English,New Jersey,White suburban men,No impact,Election day exit poll,,,,Version 4,0.693262815475464,No,8080.0
64704.0,Bob Menendez,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,Call 3,6.0,The Democratic Party,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Bob Hugin does,Bob Menendez does not,Only Bob Hugin does,Unfavorable,Unfavorable,Neither,No,4.0,Major changes,No,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and non white",The economy,Yes,Good,Excellent or good,18-44,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Something else,Independent Men,All others,Moderate,58.0,Moderate/Liberal Republicans,Moderate Independents,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,Justified,The Democratic candidate,Male,Latino men,Suburbs,Suburbs,English,New Jersey,Other,No impact,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,0.871557772159576,No,8854.0
43462.0,Bob Menendez,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 2,8.0,The Democratic Party,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Bob Hugin does not,Bob Menendez does not,Neither does,Unfavorable,Unfavorable,Neither,No,1.0,Major changes,Yes,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",The economy,No,Good,Excellent or good,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Liberal,46.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,White,East,Justified,The Democratic candidate,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English,New Jersey,Other,Helped,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,0.832818269729614,No,7302.0
60836.0,Bob Menendez,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,Complete,Call 3,1.0,The Democratic Party,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,Bob Hugin does not,Bob Menendez does,Only Bob Menendez does,Unfavorable,Favorable,Only Bob Menendez,Yes,5.0,Major changes,Yes,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and non white",Gun policy,No,Not so good,Not so good or poor,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,39.0,Liberal Democrats,Liberal Democrats,Black,Black,State questionnaire,Black,Non-white,Black,East,Justified,The Democratic candidate,Female,Black women,Suburbs,Suburbs,English,New Jersey,Other,Hurt,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,0.693649351596832,No,8080.0
60832.0,Bob Menendez,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 3,7.0,The Democratic Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Bob Hugin does not,Bob Menendez does,Only Bob Menendez does,Unfavorable,Favorable,Only Bob Menendez,No,3.0,Minor changes,Yes,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",Health care,No,Good,Excellent or good,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,114.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,White,East,Omit,The Democratic candidate,Female,White women,Suburbs,Suburbs,English,New Jersey,White suburban women,No impact,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,0.625224709510803,No,8886.0
43452.0,Bob Menendez,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Call 2,3.0,The Democratic Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Bob Hugin does,Bob Menendez does,Both do,Favorable,Favorable,Both,No,5.0,Major changes,Yes,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Health care,No,Good,Excellent or good,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,Independent Women,White Independent,Moderate,87.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,White,East,Justified,The Democratic candidate,Female,White women,Suburbs,Suburbs,English,New Jersey,White suburban women,No impact,Election day exit poll,Strongly or somewhat disapprove,Somewhat disapprove,Too tough,Version 1,0.397260874509811,No,8753.0
31864.0,Bob Menendez,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Call 1,7.0,The Democratic Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Bob Hugin does not,Bob Menendez does not,Neither does,Unfavorable,Favorable,Only Bob Menendez,No,3.0,Major changes,Yes,,,,,,,Health care,No,Good,Excellent or good,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,113.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,White,East,Justified,The Democratic candidate,Female,White women,Suburbs,Suburbs,English,New Jersey,White suburban women,Hurt,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,1.38573563098907,No,8808.0
43448.0,Bob Menendez,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,Call 2,9.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,No,2.0,,,,,,,,,,Yes,,,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,,7.0,,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,,The Democratic candidate,Female,Latino women,Suburbs,Suburbs,English,New Jersey,Other,,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,,Version 1,1.17268788814545,,7605.0
43442.0,Bob Menendez,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,Call 2,8.0,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,1.0,,,,,,,,,Health care,Yes,,,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Moderate,108.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,,The Democratic candidate,Female,Latino women,Suburbs,Suburbs,English,New Jersey,Other,,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,,Version 3,1.05098950862885,,7202.0
30284.0,Bob Menendez,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Call 1,1.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,5.0,,,,,,,,,Health care,No,,,45+,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent men,Independent,Independent Men,All others,Liberal,42.0,Moderate/Liberal Republicans,Liberal Independents,Black,Black,National questionnaire,Black,Non-white,Black,East,,The Democratic candidate,Male,Black men,Suburbs,Suburbs,English,New Jersey,Other,,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,,Version 3,0.402629256248474,,8080.0
43434.0,Bob Menendez,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,Latino 60+,White 65+,Not complete,Call 2,1.0,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,No,5.0,,,,,,,,,,Yes,Good,Excellent or good,45+,65+,,,,,,,,,27.0,,,Other,White,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,,The Democratic candidate,Female,Latino women,"Cities 10,000-50,000",Small Cities/Rural,Spanish,New Jersey,Other,Hurt,Election day exit poll,,,Too tough,Version 1,1.12212610244751,,8037.0
31847.0,Bob Menendez,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,2.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,,5.0,,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",,No,Good,Excellent or good,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Moderate,38.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,White,East,,The Democratic candidate,Male,White men,Suburbs,Suburbs,English,New Jersey,White suburban men,Helped,Election day exit poll,,,,Version 4,0.743499279022217,No,8312.0
31846.0,Bob Menendez,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,2.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,,5.0,,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",,No,Good,Excellent or good,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Moderate,38.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,White,East,,The Democratic candidate,Male,White men,Suburbs,Suburbs,English,New Jersey,White suburban men,Helped,Election day exit poll,,,,Version 4,0.743499279022217,No,8312.0
43075.0,Bob Menendez,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,Call 2,11.0,The Democratic Party,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,Bob Hugin does,Bob Menendez does,Both do,Unfavorable,Unfavorable,Neither,No,1.0,Major changes,Yes,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and non white",The economy,No,Not so good,Not so good or poor,18-44,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,Independent,Independent Women,All others,Liberal,31.0,Moderate/Liberal Republicans,Liberal Independents,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,Politically motivated,The Democratic candidate,Female,Latino women,Suburbs,Suburbs,English,New Jersey,Other,Helped,Election day exit poll,Strongly or somewhat approve,Somewhat approve,Not tough enough,Version 1,0.593935251235962,No,7003.0
62738.0,Bob Menendez,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 3,9.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,No,2.0,,,,,,,,,,No,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,7.0,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,White,East,,The Democratic candidate,Female,White women,Suburbs,Suburbs,English,New Jersey,White suburban women,,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,,Version 1,0.622126579284668,,7605.0
43426.0,Bob Menendez,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 2,5.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,,3.0,,,,,,,,,Gun policy,No,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,102.0,Liberal Democrats,Liberal Democrats,White,White,National questionnaire,White,White,White,East,,The Democratic candidate,Female,White women,Suburbs,Suburbs,English,New Jersey,White suburban women,,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,,Version 3,0.654997289180756,,7860.0
66008.0,Bob Menendez,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44,Black 30-44,Complete,Call 3,6.0,The Democratic Party,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,Bob Hugin does not,Bob Menendez does,Only Bob Menendez does,Unfavorable,Favorable,Only Bob Menendez,No,4.0,Major changes,Yes,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and non white",Immigration,Yes,Poor,Not so good or poor,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,58.0,Liberal Democrats,Liberal Democrats,Other,Black,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,Justified,The Democratic candidate,Female,Latino women,Suburbs,Suburbs,English,New Jersey,Other,No impact,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,0.271908044815063,No,8854.0
31835.0,Bob Menendez,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,Latino 45-59,Latino 45-64,Not complete,Call 1,9.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,2.0,,,,,,,,,,Yes,,,45+,18-64,,,,,,,,,7.0,,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,,The Democratic candidate,Male,Latino men,Suburbs,Suburbs,English,New Jersey,Other,,Election day exit poll,,,,Version 1,0.753192067146301,,7605.0
43417.0,Bob Menendez,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,All others,All others,Complete,Call 2,8.0,The Democratic Party,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,Bob Hugin does not,Bob Menendez does not,Neither does,Favorable,Unfavorable,Only Bob Hugin,No,1.0,Major changes,No,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000",$200.000 or more,"Over $50,000 and non white",The economy,No,Good,Excellent or good,45+,65+,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Independent,Independent Women,All others,Moderate,46.0,Moderate/Liberal Republicans,Moderate Independents,Other,Asian,State questionnaire,Asian,Non-white,Asian,East,Politically motivated,The Democratic candidate,Female,All other races,"Cities 50,000-500,000","Cities over 50,000",English,New Jersey,Other,Helped,Election day exit poll,Strongly or somewhat approve,Somewhat approve,Too tough,Version 1,1.01252067089081,No,7302.0
31829.0,Bob Menendez,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Call 1,7.0,The Democratic Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Bob Hugin does not,Bob Menendez does not,Neither does,Unfavorable,Unfavorable,Neither,Yes,3.0,Major changes,Yes,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",Health care,No,Good,Excellent or good,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,113.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,White,East,Justified,The Democratic candidate,Female,White women,Suburbs,Suburbs,English,New Jersey,White suburban women,Hurt,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,1.38573563098907,No,8808.0
