ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENWI06,GOVWI06,AMD1WI,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,EDUC,UNION4,BUSH4,IRAQWAR,IMPIRAQS,IMPTERRS,IMPECONS,IMPCORR,FEINPRES,STECWI,STEC2,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,ATTEND2,ATTREL,COLLEDUC,HSEDUC,BUSH,IRAQWAR2,UNIONHH,UNIONVOT,UNIONMEM,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
20241.0,Wisconsin,74.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.41970908641815,Other,Jim Doyle (Dem),Yes,Female,Black,60-64,Democratic,Moderate,$15k-$30k,Other Christian,More than once a week,,No one does,Strongly approve,Strongly disapprove,Extremely important,Extremely important,Extremely important,Extremely important,Yes,Not so good,Not so good/Poor,Non-white female,Non-white,60 or over,50-64,18-64,60 or over,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,Non-White,Weekly,All others,,,Approve,Disapprove,No,No,No (no union member in household),Black,Suburbs,Suburbs,2.0,Strong Democratic,South,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,53511.0
20255.0,Wisconsin,17.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.728915214538574,Herb Kohl (Dem),Jim Doyle (Dem),No,Male,White,25-29,Independent,Moderate,$50k-$75k,None,Never,College graduate,"Yes, I do",Strongly disapprove,Strongly disapprove,Extremely important,Not at all important,No answer,Extremely important,Yes,Good,Excellent/Good,White male,White male,18-29,25-29,18-64,18-29,Independent/Something else,$50k or more,Less than $100k,None,White None,Never,All others,College graduate,At least some college,Disapprove,Disapprove,Yes,Yes,I am (voter is member),White,"Cities 50,000-500,000","Cities over 50,000",2.0,Strong Democratic,South,Extremely High Density Urban,Urban,Urban Core,Very downscale,53715.0
20259.0,Wisconsin,96.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.499555021524429,Herb Kohl (Dem),Mark Green (Rep),No,Female,White,50-59,Independent,Moderate,$200k or more,,,Postgraduate study,No one does,,Strongly disapprove,,,,,,,,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,$100k or more,,,,,College graduate,At least some college,,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,5.0,Strong Republican,Milwaukee Vicinity,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,53072.0
20276.0,Wisconsin,68.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.12047374248505,Herb Kohl (Dem),Mark Green (Rep),Yes,Male,White,65-74,Republican,Conservative,$50k-$75k,Catholic,More than once a week,Some college or associate degree,No one does,Somewhat disapprove,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Somewhat important,No Answer,Good,Excellent/Good,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,$50k or more,Less than $100k,Catholic,White Catholic,Weekly,Catholic/Attend weekly,Did not graduate from college,At least some college,Disapprove,Approve,No,No,No (no union member in household),White,Rural,Small Cities/Rural,7.0,Strong Democratic,Northwest,Extremely Low Density Rural,Rural,Rural,Very downscale,54005.0
20294.0,Wisconsin,66.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.660197556018829,Herb Kohl (Dem),Jim Doyle (Dem),No,Male,White,50-59,Democratic,Liberal,$50k-$75k,Protestant,More than once a week,Some college or associate degree,"Yes, I do",Strongly disapprove,Strongly disapprove,Not at all important,Not at all important,Extremely important,Somewhat important,Yes,Not so good,Not so good/Poor,White male,White male,45-59,50-64,18-64,30-59,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,Did not graduate from college,At least some college,Disapprove,Disapprove,Yes,Yes,I am (voter is member),White,Suburbs,Suburbs,5.0,Strong Republican,Milwaukee Vicinity,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,53074.0
20302.0,Wisconsin,10.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.468164265155792,Robert Lorge (Rep),Mark Green (Rep),Yes,Male,White,40-44,Republican,Conservative,$30k-$50k,Other Christian,More than once a week,Some college or associate degree,No one does,Strongly approve,Strongly approve,Extremely important,Somewhat important,Somewhat important,Extremely important,No,Good,Excellent/Good,White male,White male,30-44,40-49,18-64,30-59,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,All others,Did not graduate from college,At least some college,Approve,Approve,No,No,No (no union member in household),White,Suburbs,Suburbs,7.0,Strong Democratic,Northwest,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,54729.0
20303.0,Wisconsin,64.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.913254499435425,Herb Kohl (Dem),Jim Doyle (Dem),Yes,Male,White,60-64,Democratic,Liberal,$75k-$100k,Protestant,A few time a year,Some college or associate degree,No one does,Strongly disapprove,Strongly disapprove,Extremely important,Somewhat important,Extremely important,Not at all important,No,Not so good,Not so good/Poor,White male,White male,60 or over,50-64,18-64,60 or over,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,Protestant/Do not attend weekly,Did not graduate from college,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,5.0,Strong Republican,Milwaukee Vicinity,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,53012.0
20305.0,Wisconsin,56.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.939107477664948,Herb Kohl (Dem),Jim Doyle (Dem),No,Female,White,50-59,Democratic,Liberal,$50k-$75k,Other Christian,Once a week,Some college or associate degree,"Yes, someone else does",Strongly disapprove,Strongly disapprove,Extremely important,Extremely important,Extremely important,Extremely important,No,Not so good,Not so good/Poor,White female,White female,45-59,50-64,18-64,30-59,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,All others,Did not graduate from college,At least some college,Disapprove,Disapprove,Yes,No,"Else in HH (member in household, but not voter",White,"Cities 50,000-500,000","Cities over 50,000",5.0,Strong Republican,Milwaukee,High Density Urban,Urban,Urban Core,Downscale,53214.0
20306.0,Wisconsin,26.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.699032723903656,Herb Kohl (Dem),Jim Doyle (Dem),No,Male,White,30-39,Democratic,Moderate,$150k-$200k,Catholic,A few time a year,Some college or associate degree,"Yes, I do",Strongly disapprove,Strongly disapprove,Extremely important,Extremely important,Extremely important,Extremely important,Yes,Good,Excellent/Good,White male,White male,30-44,30-39,18-64,30-59,Democratic,$50k or more,$100k or more,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,Did not graduate from college,At least some college,Disapprove,Disapprove,Yes,Yes,I am (voter is member),White,"Cities 10,000-50,000",Small Cities/Rural,6.0,Unopposed Republican,Milwaukee Vicinity,Suburb,Rural,Rural,Upscale,54935.0
20325.0,Wisconsin,82.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.978424251079559,Other,Other,Yes,Female,White,65-74,Democratic,Moderate,$15k-$30k,Catholic,More than once a week,Did not complete high school,No one does,Strongly disapprove,Strongly disapprove,Extremely important,Extremely important,Extremely important,Extremely important,No,Not so good,Not so good/Poor,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Catholic,White Catholic,Weekly,Catholic/Attend weekly,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,No,No,No (no union member in household),White,"Cities 50,000-500,000","Cities over 50,000",6.0,Unopposed Republican,Milwaukee Vicinity,Suburb,Urban,Urban Core,Downscale,53081.0
20338.0,Wisconsin,54.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.982312679290771,Herb Kohl (Dem),Jim Doyle (Dem),No,Female,,65-74,Democratic,Conservative,Under $15k,Other Christian,More than once a week,,,Strongly disapprove,Strongly disapprove,,,,,,,,,,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,Non-White,Weekly,All others,,,Disapprove,Disapprove,,,,,"Cities over 500,000","Cities over 50,000",4.0,Strong Democratic,Milwaukee,High Density Urban,Urban,Urban Core,Upscale,53225.0
20340.0,Wisconsin,74.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.736166059970856,Herb Kohl (Dem),Jim Doyle (Dem),No,Male,White,60-64,Democratic,Liberal,$15k-$30k,Catholic,A few time a year,Some college or associate degree,"Yes, someone else does",Strongly disapprove,Strongly disapprove,Extremely important,Somewhat important,Extremely important,Somewhat important,Yes,Poor,Not so good/Poor,White male,White male,60 or over,50-64,18-64,60 or over,Democratic,Less than $50k,Less than $100k,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,Did not graduate from college,At least some college,Disapprove,Disapprove,Yes,No,"Else in HH (member in household, but not voter",White,Suburbs,Suburbs,2.0,Strong Democratic,South,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,53511.0
20343.0,Wisconsin,17.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.645456194877625,Herb Kohl (Dem),Jim Doyle (Dem),No,Male,White,30-39,Democratic,Liberal,$200k or more,None,Never,Postgraduate study,No one does,Strongly disapprove,Strongly disapprove,Extremely important,Extremely important,Somewhat important,Somewhat important,Yes,Good,Excellent/Good,White male,White male,30-44,30-39,18-64,30-59,Democratic,$50k or more,$100k or more,None,White None,Never,All others,College graduate,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),White,"Cities 50,000-500,000","Cities over 50,000",2.0,Strong Democratic,South,Extremely High Density Urban,Urban,Urban Core,Very downscale,53715.0
20346.0,Wisconsin,61.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.72554183006287,Herb Kohl (Dem),Jim Doyle (Dem),No,Male,White,60-64,Democratic,Moderate,$150k-$200k,Catholic,Never,Postgraduate study,"Yes, I do and someone else does",Strongly disapprove,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Somewhat important,Yes,Good,Excellent/Good,White male,White male,60 or over,50-64,18-64,60 or over,Democratic,$50k or more,$100k or more,Catholic,White Catholic,Never,Catholic/Do not attend weekly,College graduate,At least some college,Disapprove,Disapprove,Yes,Yes,I am (voter is member),White,Suburbs,Suburbs,8.0,Competitive,Northeast,Suburb,70s Suburbs,Urban Perimeter,Very upscale,54914.0
20368.0,Wisconsin,66.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.716567099094391,Herb Kohl (Dem),Jim Doyle (Dem),No,Female,White,25-29,Independent,Liberal,$100k-$150k,None,Never,College graduate,No one does,Strongly disapprove,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Not at all important,Yes,Not so good,Not so good/Poor,White female,White female,18-29,25-29,18-64,18-29,Independent/Something else,$50k or more,$100k or more,None,White None,Never,All others,College graduate,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,5.0,Strong Republican,Milwaukee Vicinity,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,53074.0
20370.0,Wisconsin,56.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.11442697048187,Herb Kohl (Dem),Jim Doyle (Dem),No,Male,White,65-74,,,,,,,,Strongly disapprove,,,,,Extremely important,Yes,Not so good,Not so good/Poor,White male,White male,60 or over,65 or over,65 or over,60 or over,,,,,,,,,,Disapprove,,,,,White,"Cities 50,000-500,000","Cities over 50,000",5.0,Strong Republican,Milwaukee,High Density Urban,Urban,Urban Core,Downscale,53214.0
20380.0,Wisconsin,26.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.740742027759552,Robert Lorge (Rep),Mark Green (Rep),Yes,Female,White,45-49,,,,,,,No one does,Strongly approve,,,,,Extremely important,No,Good,Excellent/Good,White female,White female,45-59,40-49,18-64,30-59,,,,,,,,,,Approve,,No,No,No (no union member in household),White,"Cities 10,000-50,000",Small Cities/Rural,6.0,Unopposed Republican,Milwaukee Vicinity,Suburb,Rural,Rural,Upscale,54935.0
20391.0,Wisconsin,68.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.999787509441376,Herb Kohl (Dem),Jim Doyle (Dem),Yes,Female,White,75 or over,Republican,Moderate,,Other Christian,A few time a year,Did not complete high school,No one does,Strongly approve,Strongly approve,Somewhat important,Somewhat important,Somewhat important,Extremely important,No Answer,Good,Excellent/Good,White female,White female,60 or over,65 or over,65 or over,60 or over,Republican,,,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,All others,Did not graduate from college,High school graduate or less,Approve,Approve,No,No,No (no union member in household),White,Rural,Small Cities/Rural,7.0,Strong Democratic,Northwest,Extremely Low Density Rural,Rural,Rural,Very downscale,54005.0
20395.0,Wisconsin,96.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.572227418422699,Herb Kohl (Dem),Mark Green (Rep),Yes,Female,White,45-49,Republican,Conservative,$200k or more,,,Some college or associate degree,No one does,,Somewhat approve,,,,,,,,White female,White female,45-59,40-49,18-64,30-59,Republican,$50k or more,$100k or more,,,,,Did not graduate from college,At least some college,,Approve,No,No,No (no union member in household),White,Suburbs,Suburbs,5.0,Strong Republican,Milwaukee Vicinity,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,53072.0
20396.0,Wisconsin,82.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.913254499435425,Herb Kohl (Dem),Jim Doyle (Dem),Yes,Male,White,65-74,Democratic,Moderate,Under $15k,Other Christian,A few time a year,,No one does,Strongly disapprove,Somewhat disapprove,Somewhat important,Somewhat important,Extremely important,Extremely important,Yes,Not so good,Not so good/Poor,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,All others,,,Disapprove,Disapprove,No,No,No (no union member in household),White,"Cities 50,000-500,000","Cities over 50,000",6.0,Unopposed Republican,Milwaukee Vicinity,Suburb,Urban,Urban Core,Downscale,53081.0
20421.0,Wisconsin,64.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.817191481590271,Herb Kohl (Dem),Mark Green (Rep),Yes,Male,White,45-49,Independent,Moderate,$200k or more,Catholic,Once a week,Postgraduate study,No one does,Somewhat approve,Somewhat disapprove,Somewhat important,Somewhat important,Extremely important,Somewhat important,Yes,Good,Excellent/Good,White male,White male,45-59,40-49,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Catholic,White Catholic,Weekly,Catholic/Attend weekly,College graduate,At least some college,Approve,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,5.0,Strong Republican,Milwaukee Vicinity,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,53012.0
20423.0,Wisconsin,17.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.645456194877625,Herb Kohl (Dem),Jim Doyle (Dem),No,Male,White,40-44,Democratic,Liberal,$75k-$100k,Protestant,A few time a year,College graduate,No one does,Strongly disapprove,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Extremely important,Yes,Good,Excellent/Good,White male,White male,30-44,40-49,18-64,30-59,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,Protestant/Do not attend weekly,College graduate,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),White,"Cities 50,000-500,000","Cities over 50,000",2.0,Strong Democratic,South,Extremely High Density Urban,Urban,Urban Core,Very downscale,53715.0
20428.0,Wisconsin,74.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.707535862922668,Herb Kohl (Dem),Jim Doyle (Dem),No,Female,White,65-74,Democratic,Moderate,Under $15k,Other Christian,A few time a year,Did not complete high school,"Yes, someone else does",Strongly disapprove,Strongly disapprove,Somewhat important,Somewhat important,Extremely important,Somewhat important,No Answer,Not so good,Not so good/Poor,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,All others,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,Yes,No,"Else in HH (member in household, but not voter",White,Suburbs,Suburbs,2.0,Strong Democratic,South,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,53511.0
20437.0,Wisconsin,10.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.972103536128998,Herb Kohl (Dem),Jim Doyle (Dem),No,Female,White,25-29,Democratic,Liberal,$75k-$100k,None,A few time a year,Some college or associate degree,No one does,Strongly disapprove,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Somewhat important,Yes,Not so good,Not so good/Poor,White female,White female,18-29,25-29,18-64,18-29,Democratic,$50k or more,Less than $100k,None,White None,Ocassionally,All others,Did not graduate from college,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,7.0,Strong Democratic,Northwest,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,54729.0
20456.0,Wisconsin,61.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.5496917963028003,Herb Kohl (Dem),Jim Doyle (Dem),Yes,Male,White,50-59,Independent,Liberal,$50k-$75k,Catholic,Once a week,High school graduate,"Yes, I do",Strongly disapprove,Somewhat approve,Somewhat important,Somewhat important,Extremely important,Extremely important,Yes,Good,Excellent/Good,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Catholic,White Catholic,Weekly,Catholic/Attend weekly,Did not graduate from college,High school graduate or less,Disapprove,Approve,Yes,Yes,I am (voter is member),White,Suburbs,Suburbs,8.0,Competitive,Northeast,Suburb,70s Suburbs,Urban Perimeter,Very upscale,54914.0
20466.0,Wisconsin,56.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.645965933799744,Did not vote,Mark Green (Rep),Yes,Male,White,30-39,Republican,Conservative,$75k-$100k,Other Christian,More than once a week,Postgraduate study,No one does,Strongly approve,Strongly approve,Extremely important,Extremely important,Extremely important,Extremely important,No,Good,Excellent/Good,White male,White male,30-44,30-39,18-64,30-59,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,All others,College graduate,At least some college,Approve,Approve,No,No,No (no union member in household),White,"Cities 50,000-500,000","Cities over 50,000",5.0,Strong Republican,Milwaukee,High Density Urban,Urban,Urban Core,Downscale,53214.0
20469.0,Wisconsin,54.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.731816291809082,Herb Kohl (Dem),Jim Doyle (Dem),Yes,Male,White,75 or over,Independent,Moderate,$15k-$30k,Protestant,A few time a year,,,Strongly disapprove,Strongly disapprove,,,,,,,,White male,White male,60 or over,65 or over,65 or over,60 or over,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,Protestant/Do not attend weekly,,,Disapprove,Disapprove,,,,White,"Cities over 500,000","Cities over 50,000",4.0,Strong Democratic,Milwaukee,High Density Urban,Urban,Urban Core,Upscale,53225.0
20478.0,Wisconsin,26.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.671846687793732,Herb Kohl (Dem),Jim Doyle (Dem),No,Female,White,50-59,Democratic,Moderate,$100k-$150k,Catholic,A few times a month,Some college or associate degree,"Yes, someone else does",Somewhat disapprove,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Extremely important,No Answer,Good,Excellent/Good,White female,White female,45-59,50-64,18-64,30-59,Democratic,$50k or more,$100k or more,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,Did not graduate from college,At least some college,Disapprove,Disapprove,Yes,No,"Else in HH (member in household, but not voter",White,"Cities 10,000-50,000",Small Cities/Rural,6.0,Unopposed Republican,Milwaukee Vicinity,Suburb,Rural,Rural,Upscale,54935.0
20479.0,Wisconsin,82.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.797272026538849,Herb Kohl (Dem),Jim Doyle (Dem),No,Male,White,75 or over,Democratic,Moderate,,Catholic,No answer,Did not complete high school,"Yes, I do",Strongly disapprove,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Extremely important,Yes,Excellent,Excellent/Good,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,,,Catholic,White Catholic,No answer,Catholic/Do not attend weekly,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,Yes,Yes,I am (voter is member),White,"Cities 50,000-500,000","Cities over 50,000",6.0,Unopposed Republican,Milwaukee Vicinity,Suburb,Urban,Urban Core,Downscale,53081.0
20482.0,Wisconsin,96.0,National questionnaire,Version 2,Call 1,Not complete,Election day exit poll,0.583384573459625,Herb Kohl (Dem),Jim Doyle (Dem),Yes,Male,White,40-44,,,,,,,No one does,,,,,,,,,,White male,White male,30-44,40-49,18-64,30-59,,,,,,,,,,,,No,No,No (no union member in household),White,Suburbs,Suburbs,5.0,Strong Republican,Milwaukee Vicinity,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,53072.0
20487.0,Wisconsin,66.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.745562672615051,Herb Kohl (Dem),Jim Doyle (Dem),No,Male,White,25-29,Democratic,Liberal,$100k-$150k,None,Never,College graduate,No one does,Strongly disapprove,Strongly disapprove,Extremely important,Extremely important,Extremely important,Somewhat important,Yes,Good,Excellent/Good,White male,White male,18-29,25-29,18-64,18-29,Democratic,$50k or more,$100k or more,None,White None,Never,All others,College graduate,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,5.0,Strong Republican,Milwaukee Vicinity,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,53074.0
20497.0,Wisconsin,68.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.04024350643158,Herb Kohl (Dem),Jim Doyle (Dem),Yes,Male,White,75 or over,Independent,Moderate,$15k-$30k,Protestant,A few times a month,High school graduate,"Yes, someone else does",Strongly approve,Strongly approve,Somewhat important,Somewhat important,Extremely important,Somewhat important,Yes,Good,Excellent/Good,White male,White male,60 or over,65 or over,65 or over,60 or over,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,Protestant/Do not attend weekly,Did not graduate from college,High school graduate or less,Approve,Approve,Yes,No,"Else in HH (member in household, but not voter",White,Rural,Small Cities/Rural,7.0,Strong Democratic,Northwest,Extremely Low Density Rural,Rural,Rural,Very downscale,54005.0
20505.0,Wisconsin,17.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.620353817939758,Herb Kohl (Dem),Jim Doyle (Dem),No,Female,White,45-49,Independent,Moderate,$100k-$150k,None,A few time a year,Postgraduate study,No one does,Strongly disapprove,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Somewhat important,Yes,Good,Excellent/Good,White female,White female,45-59,40-49,18-64,30-59,Independent/Something else,$50k or more,$100k or more,None,White None,Ocassionally,All others,College graduate,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),White,"Cities 50,000-500,000","Cities over 50,000",2.0,Strong Democratic,South,Extremely High Density Urban,Urban,Urban Core,Very downscale,53715.0
20516.0,Wisconsin,10.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.86080002784729,Herb Kohl (Dem),Jim Doyle (Dem),No,Female,White,50-59,Something else,Moderate,$50k-$75k,Other Christian,A few time a year,Some college or associate degree,No one does,Strongly disapprove,Somewhat disapprove,Somewhat important,Somewhat important,Extremely important,No answer,No Answer,Good,Excellent/Good,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,All others,Did not graduate from college,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,7.0,Strong Democratic,Northwest,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,54729.0
20532.0,Wisconsin,59.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,2.24730110168457,Herb Kohl (Dem),Jim Doyle (Dem),No,Male,White,75 or over,Democratic,Moderate,$30k-$50k,,,Some college or associate degree,"Yes, I do",,Somewhat disapprove,,,,,,,,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,,,,,Did not graduate from college,At least some college,,Disapprove,Yes,Yes,I am (voter is member),White,Rural,Small Cities/Rural,7.0,Strong Democratic,Northwest,Low Density Rural,Rural,Rural,Downscale,54501.0
20536.0,Wisconsin,64.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.870371282100677,Robert Lorge (Rep),Mark Green (Rep),Yes,Male,White,25-29,Republican,Moderate,$75k-$100k,Other Christian,A few times a month,College graduate,"Yes, someone else does",Somewhat approve,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,No Answer,Good,Excellent/Good,White male,White male,18-29,25-29,18-64,18-29,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,All others,College graduate,At least some college,Approve,Disapprove,Yes,No,"Else in HH (member in household, but not voter",White,Suburbs,Suburbs,5.0,Strong Republican,Milwaukee Vicinity,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,53012.0
20542.0,Wisconsin,56.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.06053638458252,Herb Kohl (Dem),Jim Doyle (Dem),No,Female,White,25-29,Democratic,Liberal,$75k-$100k,None,Never,College graduate,No one does,Strongly disapprove,Strongly disapprove,Somewhat important,Somewhat important,Extremely important,Somewhat important,Yes,Good,Excellent/Good,White female,White female,18-29,25-29,18-64,18-29,Democratic,$50k or more,Less than $100k,None,White None,Never,All others,College graduate,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),White,"Cities 50,000-500,000","Cities over 50,000",5.0,Strong Republican,Milwaukee,High Density Urban,Urban,Urban Core,Downscale,53214.0
20545.0,Wisconsin,82.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.877737164497375,Herb Kohl (Dem),Jim Doyle (Dem),Yes,Female,White,75 or over,Democratic,Conservative,$15k-$30k,Catholic,More than once a week,College graduate,"Yes, someone else does",Strongly disapprove,Somewhat disapprove,Extremely important,Extremely important,Extremely important,Extremely important,Yes,Poor,Not so good/Poor,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Catholic,White Catholic,Weekly,Catholic/Attend weekly,College graduate,At least some college,Disapprove,Disapprove,Yes,No,"Else in HH (member in household, but not voter",White,"Cities 50,000-500,000","Cities over 50,000",6.0,Unopposed Republican,Milwaukee Vicinity,Suburb,Urban,Urban Core,Downscale,53081.0
20552.0,Wisconsin,61.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.48942291736603,Herb Kohl (Dem),Jim Doyle (Dem),Yes,Female,White,50-59,,,,,,,No one does,Strongly disapprove,,,,,Extremely important,No Answer,Not so good,Not so good/Poor,White female,White female,45-59,50-64,18-64,30-59,,,,,,,,,,Disapprove,,No,No,No (no union member in household),White,Suburbs,Suburbs,8.0,Competitive,Northeast,Suburb,70s Suburbs,Urban Perimeter,Very upscale,54914.0
