ID,WEIGHT,MSDPRS20,ATTEND20,ATTEND20B,BACKSIDE,CALL,CDNUM,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,GEOCODE,ISSDEM20B,LATINO,LGBT,MARRIED,OBAMAPLCY20,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT20DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACERELDEM20JTB,REGION,SEX,SEXBYRACE,SEXWED,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIMEJT20,TIMEPRIFEWDAYS,TIMEPRIMTH,TRUMPANG,VERSION,WINORISS20,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,ZIPCODE
277229290.0,0.480166375637054,Joe Biden,Never,Never,Complete,Call 1,2.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,1.0,Income inequality,No,No,No,Change to more liberal policies,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,40.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Male,Black men,Non married men,Support,"Cities 50,000-500,000","Cities over 50,000", Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 1,Can beat Donald Trump,45-65,30-59,45-49,45+,17-49,45-59,40-49,39204.0
277229291.0,2.20797491073608,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,2.0,Never attended college,No college degree,High school graduate or less,,,1.0,Income inequality,No,No,,Return to Barack Obama's policies,Democrat,,,Democratic men,Democrat,,Moderate,Moderate or Conservative,Moderate,104.0,Yes,Can unite the country,,,State questionnaire,,,,Biden,South,Male,,,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,"Dissatisfied, but not angry",Version 1,Agrees with you on major issues,45-65,60+,60-64,45+,50+,60+,50-64,38722.0
277229292.0,0.92179811000824,Joe Biden,,,Not complete,Call 1,3.0,,,,,,2.0,,No,,,,,,,,,,,,,99.0,Yes,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Male,Black men,,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,,Version 1,,65+,60+,65 or over,45+,50+,60+,65+,39074.0
277229293.0,0.282913446426392,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,3.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,2.0,Income inequality,No,No,No,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,60.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Non married women,Oppose,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,In February,Earlier than that,Earlier than that,"Dissatisfied, but not angry",Version 1,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,39305.0
277229294.0,0.504582107067108,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,2.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,1.0,Health care,No,No,No,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,4.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Non married women,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 1,Agrees with you on major issues,17-29,17-29,25-29,17-44,17-49,17-29,25-29,38732.0
277229295.0,1.77598488330841,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 2,1.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,3.0,Health care,,,No,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,58.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Non married women,Oppose,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,"Dissatisfied, but not angry",Version 1,Agrees with you on major issues,65+,60+,65 or over,45+,50+,60+,65+,38655.0
277229296.0,1.42598378658295,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,3.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,1.0,Health care,No,No,Yes,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,88.0,Yes,Omit,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Male,Black men,Married men,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,"Dissatisfied, but not angry",Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,39666.0
277229297.0,0.522764325141907,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,1.0,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,3.0,Health care,No,Yes,No,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,10.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Non married women,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,"Dissatisfied, but not angry",Version 1,Can beat Donald Trump,17-29,17-29,25-29,17-44,17-49,17-29,25-29,39773.0
277229298.0,1.96091425418854,Other,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,2.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,1.0,Income inequality,No,No,No,Change to more conservative policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,39.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Non married women,Oppose,"Cities 50,000-500,000","Cities over 50,000", Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,"Dissatisfied, but not angry",Version 1,Agrees with you on major issues,65+,60+,65 or over,45+,50+,60+,65+,39206.0
277229299.0,2.20797491073608,Joe Biden,,,Not complete,Call 1,2.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,,,1.0,,No,,,,,,,,,,,,,104.0,Yes,,,,State questionnaire,,,,,South,Male,,,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Just today,Last few days,In the last month,,Version 1,,45-65,60+,60-64,45+,50+,60+,50-64,38722.0
277229300.0,0.848775446414948,Bernie Sanders,Occasionally,Once a week or more or Occasionally,Complete,Call 1,1.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,3.0,Omit,No,No,No,Change to more conservative policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,91.0,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Omit,South,Male,White men,Non married men,Oppose,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,In the last few days,Last few days,In the last month,"Dissatisfied, but not angry",Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,38829.0
277229301.0,0.241337612271309,Bernie Sanders,Never,Never,Complete,Call 1,1.0,,,,,,3.0,Health care,No,No,Yes,Change to more conservative policies,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,111.0,,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Sanders,South,Male,Black men,Married men,Oppose,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Earlier this month,Earlier than that,In the last month,"Dissatisfied, but not angry",Version 1,Agrees with you on major issues,30-44,30-59,30-39,17-44,17-49,30-44,30-39,39339.0
277229302.0,1.18829202651978,Joe Biden,,,Complete,Call 1,2.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,1.0,Health care,No,No,No,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,40.0,Yes,Omit,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Non married women,Oppose,"Cities 50,000-500,000","Cities over 50,000", Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,"Dissatisfied, but not angry",Version 1,Omit,45-65,30-59,50-59,45+,50+,45-59,50-64,39204.0
277229303.0,0.991988778114319,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,3.0,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,2.0,Health care,No,No,Yes,Return to Barack Obama's policies,Democrat,Non-black Democrat,All Other,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,60.0,Yes,Can bring needed change,Other,American Indian,State questionnaire,Other,Non-white,American Indian,Biden,South,Female,All other races,Married women,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Earlier this month,Earlier than that,In the last month,Angry,Version 1,Agrees with you on major issues,45-65,60+,60-64,45+,50+,60+,50-64,39305.0
277229304.0,1.36402666568756,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,3.0,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,2.0,Health care,No,No,Yes,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,99.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Married women,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,39074.0
277229305.0,0.486524224281311,Bernie Sanders,Never,Never,Complete,Call 1,1.0,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,3.0,Climate change,No,Yes,No,Change to more conservative policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,72.0,Yes,Is a fighter,White,White,State questionnaire,White,White,White,Biden,South,Female,White women,Non married women,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 1,Can beat Donald Trump,30-44,30-59,40-44,17-44,17-49,30-44,40-49,39702.0
277229308.0,2.20797491073608,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,2.0,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,1.0,Income inequality,No,No,Yes,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Conservative,Moderate or Conservative,Conservative,104.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Married women,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,"Dissatisfied, but not angry",Version 1,Agrees with you on major issues,45-65,60+,60-64,45+,50+,60+,50-64,38722.0
277229309.0,1.51650452613831,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,1.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,3.0,Health care,No,No,Yes,Change to more conservative policies,,,,,,,,,,66.0,No,Can bring needed change,White,White,State questionnaire,White,White,White,Warren,South,Female,White women,Married women,Oppose,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Enthusiastic,Version 1,Agrees with you on major issues,45-65,30-59,50-59,45+,50+,45-59,50-64,38804.0
277229310.0,0.448814988136292,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,1.0,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,3.0,Health care,No,No,Yes,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,,,,10.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Married women,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 1,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,39773.0
277229311.0,1.05111443996429,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,2.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,1.0,Health care,No,No,Yes,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,39.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Male,Black men,Married men,Support,"Cities 50,000-500,000","Cities over 50,000", Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,"Dissatisfied, but not angry",Version 1,Agrees with you on major issues,65+,60+,65 or over,45+,50+,60+,65+,39206.0
277229312.0,0.648288309574127,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 2,1.0,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,3.0,Health care,No,No,,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,58.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Just today,Last few days,In the last month,Angry,Version 1,Agrees with you on major issues,45-65,30-59,50-59,45+,50+,45-59,50-64,38655.0
277229313.0,0.262137204408646,Bernie Sanders,Occasionally,Once a week or more or Occasionally,Complete,Call 1,1.0,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,3.0,Race relations,No,No,Yes,Change to more liberal policies,,,,,,,Somewhat liberal,Liberal,Liberal,111.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Sanders,South,Male,Black men,Married men,Oppose,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 1,Agrees with you on major issues,17-29,17-29,25-29,17-44,17-49,17-29,25-29,39339.0
277229314.0,0.991988778114319,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,3.0,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,2.0,Health care,No,No,Yes,Change to more conservative policies,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Moderate,Moderate or Conservative,Moderate,60.0,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,Biden,South,Male,White men,Married men,Oppose,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Earlier this month,Earlier than that,In the last month,Enthusiastic,Version 1,Agrees with you on major issues,65+,60+,65 or over,45+,50+,60+,65+,39305.0
277229315.0,1.27979040145874,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,2.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,1.0,Climate change,No,No,No,Omit,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,40.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Omit,South,Female,Black women,Non married women,Omit,"Cities 50,000-500,000","Cities over 50,000", Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,"Dissatisfied, but not angry",Version 1,Agrees with you on major issues,45-65,60+,60-64,45+,50+,60+,50-64,39204.0
277229316.0,2.20797491073608,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,2.0,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,1.0,Health care,No,No,Yes,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,104.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Married women,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,"Dissatisfied, but not angry",Version 1,Agrees with you on major issues,45-65,60+,60-64,45+,50+,60+,50-64,38722.0
277229317.0,0.758439779281616,Bernie Sanders,Never,Never,Complete,Call 1,3.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,,,1.0,Income inequality,No,No,No,Return to Barack Obama's policies,Democrat,,,Democratic men,Democrat,,Somewhat liberal,Liberal,Liberal,88.0,Yes,Cares about people like me,,,State questionnaire,,,,Sanders,South,Male,,Non married men,Oppose,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,In February,Earlier than that,Earlier than that,"Dissatisfied, but not angry",Version 1,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,39666.0
277229318.0,1.10598421096802,Joe Biden,Never,Never,Complete,Call 1,2.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,1.0,Health care,No,No,No,Return to Barack Obama's policies,Independent/Something else,Black non-Democrat,Black Independent,Independent women,Independent,All others,Moderate,Moderate or Conservative,Moderate,39.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Non married women,Support,"Cities 50,000-500,000","Cities over 50,000", Mississippi,Other,Election day exit poll,Just today,Last few days,In the last month,"Dissatisfied, but not angry",Version 1,Agrees with you on major issues,17-29,17-29,25-29,17-44,17-49,17-29,25-29,39206.0
277229319.0,1.36402666568756,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,3.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,2.0,Income inequality,No,No,No,Return to Barack Obama's policies,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,99.0,Yes,Cares about people like me,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Biden,South,Female,Latino women,Non married women,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,"Dissatisfied, but not angry",Version 1,Agrees with you on major issues,65+,60+,65 or over,45+,50+,60+,65+,39074.0
277229320.0,0.262137204408646,Bernie Sanders,Occasionally,Once a week or more or Occasionally,Complete,Call 1,1.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,3.0,Income inequality,No,No,Yes,Return to Barack Obama's policies,,,,,,,Somewhat liberal,Liberal,Liberal,111.0,Yes,Is a fighter,Black,Black,State questionnaire,Black,Non-white,Black,Sanders,South,Female,Black women,Married women,Oppose,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 1,Can beat Donald Trump,17-29,17-29,25-29,17-44,17-49,17-29,25-29,39339.0
277229322.0,0.411843866109848,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,3.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,2.0,Income inequality,No,No,Yes,Change to more conservative policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Conservative,Moderate or Conservative,Conservative,60.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Married women,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,"Satisfied, but not enthusiastic",Version 1,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,39305.0
277229323.0,1.77728450298309,Joe Biden,Occasionally,Once a week or more or Occasionally,Complete,Call 1,2.0,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,1.0,Health care,No,No,,Omit,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,,,,104.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,In the last few days,Last few days,In the last month,"Dissatisfied, but not angry",Version 1,Agrees with you on major issues,30-44,30-59,30-39,17-44,17-49,30-44,30-39,38722.0
277229325.0,1.36402666568756,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,3.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,2.0,Health care,No,No,No,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,99.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Non married women,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,In the last few days,Last few days,In the last month,"Satisfied, but not enthusiastic",Version 1,Agrees with you on major issues,45-65,60+,60-64,45+,50+,60+,50-64,39074.0
277229326.0,1.36402666568756,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,3.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,2.0,Health care,No,No,No,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,99.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Non married women,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,In the last few days,Last few days,In the last month,"Satisfied, but not enthusiastic",Version 1,Agrees with you on major issues,45-65,60+,60-64,45+,50+,60+,50-64,39074.0
277229327.0,1.02264773845673,Joe Biden,Occasionally,Once a week or more or Occasionally,Complete,Call 1,2.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,1.0,Race relations,No,No,Yes,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,39.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Married women,Oppose,"Cities 50,000-500,000","Cities over 50,000", Mississippi,Other,Election day exit poll,Earlier this month,Earlier than that,In the last month,"Dissatisfied, but not angry",Version 1,Agrees with you on major issues,45-65,60+,60-64,45+,50+,60+,50-64,39206.0
277229329.0,1.77598488330841,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 2,1.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,3.0,Health care,No,No,Yes,Omit,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,58.0,Yes,Omit,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Married women,Oppose,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,In February,Earlier than that,Earlier than that,"Dissatisfied, but not angry",Version 1,Agrees with you on major issues,65+,60+,65 or over,45+,50+,60+,65+,38655.0
277229330.0,1.34453010559082,Bernie Sanders,Never,Never,Complete,Call 1,3.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,1.0,Health care,No,No,No,Change to more liberal policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,White Independent,Very liberal,Liberal,Liberal,88.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Sanders,South,Male,White men,Non married men,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 1,Agrees with you on major issues,17-29,17-29,25-29,17-44,17-49,17-29,25-29,39666.0
277229331.0,0.649104118347168,Joe Biden,,,Not complete,Call 1,1.0,,,,,,3.0,,No,,,,,,,,,,,,,111.0,Yes,,,,State questionnaire,,,,,South,Female,,,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,,Version 1,,45-65,60+,60-64,45+,50+,60+,50-64,39339.0
277229332.0,1.27979040145874,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,2.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,1.0,Health care,No,No,Yes,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,40.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Married women,Oppose,"Cities 50,000-500,000","Cities over 50,000", Mississippi,Other,Election day exit poll,Earlier this month,Earlier than that,In the last month,Angry,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,39204.0
277229333.0,0.411843866109848,Joe Biden,Occasionally,Once a week or more or Occasionally,Complete,Call 1,3.0,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,2.0,Income inequality,No,No,No,Change to more liberal policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Conservative,Moderate or Conservative,Conservative,60.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Non married women,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 1,Can beat Donald Trump,45-65,30-59,45-49,45+,17-49,45-59,40-49,39305.0
277229334.0,0.365505218505859,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,1.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,3.0,Health care,No,No,No,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,10.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Male,Black men,Non married men,Omit,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,In the last few days,Last few days,In the last month,"Dissatisfied, but not angry",Version 1,Agrees with you on major issues,30-44,30-59,40-44,17-44,17-49,30-44,40-49,39773.0
277229335.0,2.20797491073608,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,2.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,1.0,Income inequality,No,No,No,Change to more conservative policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Conservative,Moderate or Conservative,Conservative,104.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Non married women,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,"Dissatisfied, but not angry",Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,38722.0
