ID,@2WAYGOVNJ,AGE,AGE3,AGE45,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BREAK09ANJ,BREAK09BNJ,BREAK09NJ,CALL,CDNUM,EDUC,EDUCCOLL,EDUCHS,EDUCWHITE,FAVCHRIS,FAVCHRIS2,FAVCORZ,FAVCORZ2,FAVDAGG,FAVDAGG2,FORCANDSNJ,FOROBAMAG,GEOCODE,GOVTDO,INC100K,INC50K,INCOME09,INCOME3,INCWHITE,ISSUE09NJ,LATINO,NECWORR2,NECWORRY,NJGOV09,OBAMA2,OBAMA4,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PROPTAXNJ,QLTNJ09,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME09,TIME3D09,TIME4,TIMEWK09,UNFRCHRIS,UNFRCORZ,UNFRNJ09,UNION4,UNIONHH,UNIONMEM,UNIONVOT,VERSION,VOTE05NJ,WHITEREL,WHNCLINC,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
4553165.0,Jon Corzine,45-65,30-59,45+,45-59,40-49,45-49,,White 45-59,White 45-64,Complete,,,,Call 1,2.0,Some college or associate degree,No college degree,More than High school graduate,White no college degree,,,,,,,,To express support for Barack Obama,5.0,,Less than 100k,50k or more,"$75,000-$99,999",50 to 100 thousand,"Over $50,000 and white",Health care,No,Worried,Somewhat worried,Jon Corzine,Approve,Somewhat approve,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,31.0,,Has the right experience,White,State questionnaire,White,East,,,Female,Non-black female,White women,White female,White female,"Cities 50,000-500,000","Cities over 50,000",New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did not,Only Christie did,,,,,Version 2,,,No,Suburb,Urban,Urban Core,Very downscale,8360.0,0.854872286319733
4553164.0,Jon Corzine,45-65,30-59,45+,45-59,40-49,45-49,,White 45-59,White 45-64,Complete,,,,Call 1,2.0,Some college or associate degree,No college degree,More than High school graduate,White no college degree,,,,,,,,To express support for Barack Obama,5.0,,Less than 100k,50k or more,"$75,000-$99,999",50 to 100 thousand,"Over $50,000 and white",Health care,No,Worried,Somewhat worried,Jon Corzine,Approve,Somewhat approve,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,31.0,,Has the right experience,White,State questionnaire,White,East,,,Female,Non-black female,White women,White female,White female,"Cities 50,000-500,000","Cities over 50,000",New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did not,Only Christie did,,,,,Version 2,,,No,Suburb,Urban,Urban Core,Very downscale,8360.0,0.854872286319733
4553151.0,Jon Corzine,45-65,30-59,45+,45-59,50-64,50-59,,White 45-59,White 45-64,Complete,,,,Call 1,3.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,,,,Barack Obama was not a factor,5.0,,Less than 100k,50k or more,"$75,000-$99,999",50 to 100 thousand,"Over $50,000 and white",Omit,No,Worried,Very worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,18.0,,Has the right experience,White,State questionnaire,White,East,,,Female,Non-black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did not,Only Christie did,,,,,Version 2,,,No,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,8048.0,0.915934562683105
4553141.0,Jon Corzine,45-65,30-59,45+,45-59,50-64,50-59,Black 45-59,Black 45-59,Black 45-64,Complete,,,,Call 1,6.0,Some college or associate degree,No college degree,More than High school graduate,Non white no college degree,,,,,,,,To express support for Barack Obama,4.0,,Less than 100k,50k or more,"$50,000-$74,999",50 to 100 thousand,"Over $50,000 and non white",Economy/Jobs,No,Not worried,Not too worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,73.0,,Shares my values,Black,State questionnaire,Black,East,,,Male,Black male,Black men,Non-white male,Non-white,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,No,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,7740.0,0.865431666374207
4553136.0,Jon Corzine,45-65,30-59,45+,45-59,40-49,45-49,,Latino 45-59,Latino 45-64,Complete,,,,Call 1,5.0,College graduate,College graduate,More than High school graduate,Non white college degree,,,,,,,,To express support for Barack Obama,2.0,,,,,,,Property taxes,Yes,Worried,Very worried,Jon Corzine,Approve,Somewhat approve,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Moderate,99.0,,Can bring needed change,Hispanic/Latino,State questionnaire,Hispanic/Latino,East,,,Female,Non-black female,Latino women,Non-white female,Non-white,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,7421.0,0.784878015518188
4553134.0,Jon Corzine,45-65,30-59,45+,45-59,50-64,50-59,,White 45-59,White 45-64,Complete,,,,Call 1,2.0,Did not complete high school,No college degree,High school graduate or less,White no college degree,,,,,,,,Barack Obama was not a factor,5.0,,100k or more,50k or more,"$100,000-$149,999",100 thousand or more,"Over $50,000 and white",Omit,No,Worried,Very worried,Jon Corzine,Omit,Omit,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Conservative,31.0,,Omit,White,State questionnaire,White,East,,,Male,Non-black male,White men,White male,White male,"Cities 50,000-500,000","Cities over 50,000",New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,No,Suburb,Urban,Urban Core,Very downscale,8360.0,0.839880645275116
4553133.0,Jon Corzine,45-65,30-59,45+,45-59,40-49,45-49,Black 45-59,Black 45-59,Black 45-64,Complete,,,,Call 1,6.0,Some college or associate degree,No college degree,More than High school graduate,Non white no college degree,,,,,,,,Barack Obama was not a factor,4.0,,Less than 100k,Less than 50k,"Under $15,000",Less than 50 thousand,"Under $50,000 and non white",Economy/Jobs,,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,73.0,,Can bring needed change,Black,State questionnaire,Black,East,,,Female,Black female,Black women,Non-white female,Non-white,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,No,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,7740.0,0.880879402160645
4553128.0,Jon Corzine,45-65,30-59,45+,45-59,50-64,50-59,,White 45-59,White 45-64,Complete,,,,Call 1,2.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,,,,To express support for Barack Obama,5.0,,Less than 100k,Less than 50k,"$30,000-$49,999",Less than 50 thousand,"Under $50,000 and white",Economy/Jobs,No,Not worried,Not too worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,,31.0,,Has the right experience,White,State questionnaire,White,East,,,Male,Non-black male,White men,White male,White male,"Cities 50,000-500,000","Cities over 50,000",New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,Yes,Suburb,Urban,Urban Core,Very downscale,8360.0,0.839880645275116
4553109.0,Jon Corzine,45-65,30-59,45+,45-59,40-49,45-49,,White 45-59,White 45-64,Complete,,,,Call 1,6.0,Some college or associate degree,No college degree,More than High school graduate,White no college degree,,,,,,,,Barack Obama was not a factor,4.0,,100k or more,50k or more,"$100,000-$149,999",100 thousand or more,"Over $50,000 and white",Economy/Jobs,No,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,73.0,,Has the right experience,White,State questionnaire,White,East,,,Male,Non-black male,White men,White male,White male,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did not,Only Christie did,,,,,Version 2,,,No,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,7740.0,0.733308911323547
4553093.0,Jon Corzine,45-65,30-59,45+,45-59,50-64,50-59,,White 45-59,White 45-64,Complete,,,,Call 1,6.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,,,To express support for Barack Obama,4.0,,100k or more,50k or more,"$200,000 or more",100 thousand or more,"Over $50,000 and white",Economy/Jobs,No,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,73.0,,Shares my values,White,State questionnaire,White,East,,,Male,Non-black male,White men,White male,White male,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,No,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,7740.0,0.733308911323547
4553089.0,Jon Corzine,45-65,30-59,45+,45-59,50-64,50-59,,White 45-59,White 45-64,Complete,,,,Call 1,5.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,,,,Barack Obama was not a factor,2.0,,Less than 100k,50k or more,"$75,000-$99,999",50 to 100 thousand,"Over $50,000 and white",Economy/Jobs,No,Worried,Somewhat worried,Jon Corzine,Approve,Somewhat approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,99.0,,Shares my values,White,State questionnaire,White,East,,,Female,Non-black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,No,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,7421.0,0.784878015518188
4553065.0,Jon Corzine,45-65,30-59,45+,45-59,50-64,50-59,,White 45-59,White 45-64,Complete,,,,Call 1,11.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,,,Barack Obama was not a factor,1.0,,100k or more,50k or more,"$200,000 or more",100 thousand or more,"Over $50,000 and white",Economy/Jobs,No,Worried,Very worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,35.0,,Has the right experience,White,State questionnaire,White,East,,,Male,Non-black male,White men,White male,White male,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,No,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,7039.0,0.739369332790375
4553055.0,Jon Corzine,45-65,30-59,45+,45-59,50-64,50-59,Black 45-59,Black 45-59,Black 45-64,Complete,,,,Call 1,6.0,Some college or associate degree,No college degree,More than High school graduate,Non white no college degree,,,,,,,,Barack Obama was not a factor,4.0,,Less than 100k,Less than 50k,"Under $15,000",Less than 50 thousand,"Under $50,000 and non white",Health care,No,Not worried,Not too worried,Jon Corzine,Approve,Strongly approve,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent,Non-White Democrats,Moderate,73.0,,Can bring needed change,Black,State questionnaire,Black,East,,,Male,Black male,Black men,Non-white male,Non-white,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did not,Jon Corzine did not,Neither did,,,,,Version 2,,,No,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,7740.0,0.865431666374207
4553051.0,Jon Corzine,45-65,30-59,45+,45-59,50-64,50-59,,White 45-59,White 45-64,Complete,,,,Call 1,2.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,,,,Barack Obama was not a factor,5.0,,Less than 100k,50k or more,"$50,000-$74,999",50 to 100 thousand,"Over $50,000 and white",Omit,No,Worried,Very worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,31.0,,Is honest,White,State questionnaire,White,East,,,Male,Non-black male,White men,White male,White male,"Cities 50,000-500,000","Cities over 50,000",New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,No,Suburb,Urban,Urban Core,Very downscale,8360.0,0.839880645275116
4553048.0,Jon Corzine,45-65,60+,45+,60+,50-64,60-64,,White 60+,White 45-64,Complete,,,,Call 1,11.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,,,,Barack Obama was not a factor,1.0,,Less than 100k,50k or more,"$75,000-$99,999",50 to 100 thousand,"Over $50,000 and white",Health care,No,Worried,Somewhat worried,Jon Corzine,Approve,Somewhat approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,35.0,,Shares my values,White,State questionnaire,White,East,,,Female,Non-black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did not,Only Christie did,,,,,Version 2,,,No,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,7039.0,0.851631939411163
4553015.0,Jon Corzine,45-65,30-59,45+,45-59,50-64,50-59,,White 45-59,White 45-64,Complete,,,,Call 1,5.0,Some college or associate degree,No college degree,More than High school graduate,White no college degree,,,,,,,,To express support for Barack Obama,3.0,,Less than 100k,50k or more,"$50,000-$74,999",50 to 100 thousand,"Over $50,000 and white",Health care,No,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,111.0,,Shares my values,White,State questionnaire,White,East,,,Female,Non-black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did not,Only Christie did,,,,,Version 2,,,No,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,7860.0,1.22066736221313
4552992.0,Jon Corzine,45-65,30-59,45+,45-59,50-64,50-59,,White 45-59,White 45-64,Complete,,,,Call 1,3.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,,,,To express support for Barack Obama,5.0,,Less than 100k,Less than 50k,"$30,000-$49,999",Less than 50 thousand,"Under $50,000 and white",Property taxes,No,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,18.0,,Has the right experience,White,State questionnaire,White,East,,,Female,Non-black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did not,Only Christie did,,,,,Version 2,,,Yes,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,8048.0,0.915934562683105
4552989.0,Jon Corzine,45-65,30-59,45+,45-59,40-49,45-49,,White 45-59,White 45-64,Complete,,,,Call 1,5.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,,,,To express support for Barack Obama,2.0,,100k or more,50k or more,"$150,000-$199,999",100 thousand or more,"Over $50,000 and white",Health care,No,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,99.0,,Has the right experience,White,State questionnaire,White,East,,,Female,Non-black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,No,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,7421.0,0.784878015518188
4552937.0,Jon Corzine,45-65,60+,45+,60+,50-64,60-64,,White 60+,White 45-64,Complete,,,,Call 1,5.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,,,,Barack Obama was not a factor,2.0,,Less than 100k,Less than 50k,"$30,000-$49,999",Less than 50 thousand,"Under $50,000 and white",Omit,No,Worried,Very worried,Jon Corzine,Approve,Somewhat approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,99.0,,Shares my values,White,State questionnaire,White,East,,,Male,Non-black male,White men,White male,White male,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Omit,Omit,Omit,,,,,Version 2,,,Yes,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,7421.0,0.872620344161987
4552929.0,Jon Corzine,45-65,60+,45+,60+,50-64,60-64,,Latino 60+,Latino 45-64,Complete,,,,Call 1,3.0,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,,,,,,To express support for Barack Obama,5.0,,Less than 100k,50k or more,"$75,000-$99,999",50 to 100 thousand,"Over $50,000 and non white",Health care,Yes,Worried,Very worried,Jon Corzine,Approve,Somewhat approve,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Liberal,86.0,,Has the right experience,White,State questionnaire,Hispanic/Latino,East,,,Female,Non-black female,Latino women,Non-white female,Non-white,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,No,Suburb,80s Suburbs,Low-Growth Suburban Perimeter,Very downscale,8757.0,1.31918787956238
4552928.0,Jon Corzine,45-65,30-59,45+,45-59,50-64,50-59,,All others,All others,Complete,,,,Call 1,13.0,College graduate,College graduate,More than High school graduate,Non white college degree,,,,,,,,Barack Obama was not a factor,1.0,,100k or more,50k or more,"$150,000-$199,999",100 thousand or more,"Over $50,000 and non white",Economy/Jobs,No,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Liberal,51.0,,Shares my values,Other,State questionnaire,Other,East,,,Male,Non-black male,All other races,Non-white male,Non-white,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did not,Only Christie did,,,,,Version 2,,,No,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Downscale,7302.0,0.821521461009979
4552904.0,Jon Corzine,45-65,30-59,45+,45-59,50-64,50-59,Black 45-59,Black 45-59,Black 45-64,Complete,,,,Call 1,2.0,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,,,,To express support for Barack Obama,5.0,,Less than 100k,50k or more,"$50,000-$74,999",50 to 100 thousand,"Over $50,000 and non white",Health care,No,Omit,Omit,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,103.0,,Shares my values,Black,State questionnaire,Black,East,,,Male,Black male,Black men,Non-white male,Non-white,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did not,Jon Corzine did not,Neither did,,,,,Version 2,,,No,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,8079.0,0.991204798221588
4552884.0,Jon Corzine,45-65,30-59,45+,45-59,50-64,50-59,,,,Complete,,,,Call 1,2.0,Postgraduate study,College graduate,More than High school graduate,,,,,,,,,Barack Obama was not a factor,5.0,,Less than 100k,50k or more,"$50,000-$74,999",50 to 100 thousand,,Economy/Jobs,No,Worried,Very worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,,,Democrat,,Moderate,103.0,,Shares my values,,State questionnaire,,East,,,Female,,,,,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did not,Jon Corzine did not,Neither did,,,,,Version 2,,,,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,8079.0,0.765275716781616
4552852.0,Jon Corzine,45-65,30-59,45+,45-59,50-64,50-59,,White 45-59,White 45-64,Complete,,,,Call 1,9.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,,,,Barack Obama was not a factor,2.0,,100k or more,50k or more,"$200,000 or more",100 thousand or more,"Over $50,000 and white",Economy/Jobs,No,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,6.0,,Has the right experience,White,State questionnaire,White,East,,,Female,Non-black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did not,Jon Corzine did not,Neither did,,,,,Version 2,,,No,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,7410.0,0.811942756175995
4552844.0,Jon Corzine,45-65,30-59,45+,45-59,50-64,50-59,Black 45-59,Black 45-59,Black 45-64,Complete,,,,Call 1,2.0,College graduate,College graduate,More than High school graduate,Non white college degree,,,,,,,,Barack Obama was not a factor,5.0,,Less than 100k,Less than 50k,"$30,000-$49,999",Less than 50 thousand,"Under $50,000 and non white",Property taxes,No,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,103.0,,Can bring needed change,Black,State questionnaire,Black,East,,,Female,Black female,Black women,Non-white female,Non-white,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did not,Jon Corzine did not,Neither did,,,,,Version 2,,,No,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,8079.0,1.00889754295349
4552830.0,Jon Corzine,45-65,60+,45+,60+,50-64,60-64,,Latino 60+,Latino 45-64,Complete,,,,Call 1,2.0,Some college or associate degree,No college degree,More than High school graduate,Non white no college degree,,,,,,,,Barack Obama was not a factor,5.0,,Less than 100k,50k or more,"$50,000-$74,999",50 to 100 thousand,"Over $50,000 and non white",Health care,Yes,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Moderate,103.0,,Shares my values,Hispanic/Latino,State questionnaire,Hispanic/Latino,East,,,Male,Non-black male,Latino men,Non-white male,Non-white,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did not,Only Christie did,,,,,Version 2,,,No,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,8079.0,0.950439393520355
4552828.0,Jon Corzine,45-65,60+,45+,60+,50-64,60-64,,White 60+,White 45-64,Complete,,,,Call 1,13.0,Some college or associate degree,No college degree,More than High school graduate,White no college degree,,,,,,,,Barack Obama was not a factor,1.0,,Less than 100k,Less than 50k,"$30,000-$49,999",Less than 50 thousand,"Under $50,000 and white",Economy/Jobs,No,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,51.0,,Has the right experience,White,State questionnaire,White,East,,,Female,Non-black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,Yes,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Downscale,7302.0,0.946257710456848
4552823.0,Jon Corzine,45-65,30-59,45+,45-59,50-64,50-59,,White 45-59,White 45-64,Complete,,,,Call 1,9.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,,,,Barack Obama was not a factor,2.0,,Less than 100k,50k or more,"$50,000-$74,999",50 to 100 thousand,"Over $50,000 and white",Corruption in government,No,Worried,Somewhat worried,Jon Corzine,Approve,Somewhat approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,6.0,,Omit,White,State questionnaire,White,East,,,Female,Non-black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,No,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,7410.0,0.811942756175995
4552793.0,Jon Corzine,45-65,30-59,45+,45-59,40-49,45-49,,White 45-59,White 45-64,Complete,,,,Call 1,9.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,,,,Barack Obama was not a factor,2.0,,100k or more,50k or more,"$200,000 or more",100 thousand or more,"Over $50,000 and white",Property taxes,No,Worried,Somewhat worried,Jon Corzine,Approve,Somewhat approve,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,6.0,,Has the right experience,White,State questionnaire,White,East,,,Male,Non-black male,White men,White male,White male,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,No,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,7410.0,0.797703981399536
4552788.0,Jon Corzine,45-65,60+,45+,60+,50-64,60-64,Black 60+,Black 60+,Black 45-64,Complete,,,,Call 1,2.0,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,,,,Barack Obama was not a factor,5.0,,Less than 100k,Less than 50k,"$15,000-$29,999",Less than 50 thousand,"Under $50,000 and non white",Health care,No,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,103.0,,Can bring needed change,Black,State questionnaire,Black,East,,,Female,Black female,Black women,Non-white female,Non-white,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did not,Only Christie did,,,,,Version 2,,,No,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,8079.0,1.14170503616333
4552787.0,Jon Corzine,45-65,30-59,45+,45-59,50-64,50-59,,White 45-59,White 45-64,Complete,,,,Call 1,11.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,,,Barack Obama was not a factor,1.0,,100k or more,50k or more,"$200,000 or more",100 thousand or more,"Over $50,000 and white",Economy/Jobs,No,Not worried,Not too worried,Jon Corzine,Approve,Somewhat approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,35.0,,Has the right experience,White,State questionnaire,White,East,,,Male,Non-black male,White men,White male,White male,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,No,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,7039.0,0.739369332790375
4552774.0,Jon Corzine,45-65,60+,45+,60+,50-64,60-64,Black 60+,Black 60+,Black 45-64,Complete,,,,Call 1,2.0,Some college or associate degree,No college degree,More than High school graduate,Non white no college degree,,,,,,,,Barack Obama was not a factor,5.0,,Less than 100k,Less than 50k,"$15,000-$29,999",Less than 50 thousand,"Under $50,000 and non white",Health care,,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Independent/Something else,Black non-Democrat,Black Independent,Something else,Non-White Democrats,Liberal,103.0,,Has the right experience,Black,State questionnaire,Black,East,,,Male,Black male,Black men,Non-white male,Non-white,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,No,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,8079.0,1.12168335914612
4552766.0,Jon Corzine,45-65,30-59,45+,45-59,50-64,50-59,,Latino 45-59,Latino 45-64,Complete,,,,Call 1,12.0,Some college or associate degree,No college degree,More than High school graduate,Non white no college degree,,,,,,,,To express support for Barack Obama,4.0,,100k or more,50k or more,"$150,000-$199,999",100 thousand or more,"Over $50,000 and non white",Economy/Jobs,Yes,Worried,Very worried,Jon Corzine,Approve,Somewhat approve,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Moderate,75.0,,Has the right experience,Hispanic/Latino,State questionnaire,Hispanic/Latino,East,,,Female,Non-black female,Latino women,Non-white female,Non-white,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,No,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,7726.0,1.04148590564728
