STATE,PCT,SEQ,CALL,AGE9,SEX,REPVOTE,RELRIGHT,BUSHKNOW,PARTYID,RELIGION,INCOME,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,GEOCODE,AGE4,PARTY,AGE65,AGE75,BUSH,MCCAIN,GORE,JBUSH,GORBSH3,HISPANIC,REL5,WEIGHT
10.0,54.0,3.0,FIRST CALL,50-59,MALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,MIAMI,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.731
10.0,54.0,4.0,FIRST CALL,40-44,FEMALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,MIAMI,30-44,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.725
10.0,54.0,5.0,FIRST CALL,50-59,FEMALE,BUSH,NO,YES,INDEPENDENT,CATHOLIC,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,MIAMI,45-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,OMITS,FAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.725
10.0,54.0,6.0,FIRST CALL,40-44,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,MIAMI,30-44,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.731
10.0,54.0,7.0,FIRST CALL,,MALE,BUSH,YES,YES,,CATHOLIC,,,,,,STATE,MIAMI,,,,,FAVORABLE,OMITS,OMITS,FAVORABLE,BUSH,,CATHOLIC,0.718
10.0,54.0,8.0,FIRST CALL,75+,,BUSH,YES,YES,REPUBLICAN,CATHOLIC,,,,65+,75+,STATE,MIAMI,60+,REPUBLICAN,65+,75+,FAVORABLE,OMITS,OMITS,FAVORABLE,BUSH,,CATHOLIC,0.792
10.0,54.0,9.0,FIRST CALL,75+,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,MIAMI,60+,REPUBLICAN,65+,75+,FAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.8130000000000001
10.0,54.0,10.0,FIRST CALL,75+,,BUSH,OMITS,YES,REPUBLICAN,CATHOLIC,"UNDER $15,000",,,65+,75+,STATE,MIAMI,60+,REPUBLICAN,65+,75+,FAVORABLE,OMITS,OMITS,FAVORABLE,BUSH,YES,CATHOLIC,0.8130000000000001
10.0,54.0,11.0,FIRST CALL,30-39,MALE,BUSH,YES,YES,REPUBLICAN,NONE,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,MIAMI,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,YES,NONE,0.731
10.0,54.0,12.0,FIRST CALL,75+,MALE,BUSH,OMITS,YES,REPUBLICAN,CATHOLIC,"$30,000-$49,000",,,65+,75+,STATE,MIAMI,60+,REPUBLICAN,65+,75+,FAVORABLE,OMITS,OMITS,FAVORABLE,BUSH,YES,CATHOLIC,0.8130000000000001
10.0,54.0,13.0,FIRST CALL,75+,MALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"UNDER $15,000",VERY LIBERAL,LIBERAL,65+,75+,STATE,MIAMI,60+,REPUBLICAN,65+,75+,FAVORABLE,FAVORABLE,OMITS,FAVORABLE,BUSH,YES,CATHOLIC,0.8130000000000001
10.0,54.0,14.0,FIRST CALL,30-39,FEMALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,MIAMI,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.725
10.0,54.0,15.0,FIRST CALL,75+,,BUSH,YES,OMITS,,PROTESTANT,"UNDER $15,000",,,65+,75+,STATE,MIAMI,60+,,65+,75+,FAVORABLE,OMITS,FAVORABLE,FAVORABLE,OMITS,,PROTESTANT/OTHER CHRISTIAN,0.792
10.0,54.0,16.0,FIRST CALL,50-59,FEMALE,BUSH,NO,YES,INDEPENDENT,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,MIAMI,45-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,PROTESTANT/OTHER CHRISTIAN,0.725
10.0,54.0,17.0,SECOND CALL,65-74,FEMALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"UNDER $15,000",VERY LIBERAL,LIBERAL,65+,18-74,STATE,MIAMI,60+,REPUBLICAN,65+,65-74,FAVORABLE,OMITS,OMITS,FAVORABLE,BUSH,YES,CATHOLIC,0.807
10.0,54.0,18.0,SECOND CALL,,MALE,BUSH,OMITS,OMITS,,,,,,,,STATE,MIAMI,,,,,OMITS,OMITS,OMITS,OMITS,OMITS,,,0.718
10.0,54.0,19.0,SECOND CALL,,FEMALE,BUSH,OMITS,OMITS,,,,,,,,STATE,MIAMI,,,,,OMITS,OMITS,OMITS,OMITS,OMITS,,,0.711
10.0,54.0,20.0,SECOND CALL,50-59,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,MIAMI,45-59,REPUBLICAN,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,BUSH,YES,PROTESTANT/OTHER CHRISTIAN,0.731
10.0,54.0,21.0,SECOND CALL,60-64,,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,MIAMI,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.8130000000000001
10.0,54.0,22.0,SECOND CALL,65-74,,BUSH,NO,YES,REPUBLICAN,CATHOLIC,,VERY LIBERAL,LIBERAL,65+,18-74,STATE,MIAMI,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.807
10.0,54.0,23.0,SECOND CALL,75+,FEMALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,MIAMI,60+,REPUBLICAN,65+,75+,FAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.807
10.0,54.0,24.0,SECOND CALL,65-74,FEMALE,BUSH,OMITS,YES,REPUBLICAN,CATHOLIC,"UNDER $15,000",MODERATE,MODERATE,65+,18-74,STATE,MIAMI,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.807
10.0,54.0,25.0,SECOND CALL,50-59,FEMALE,MCCAIN,NO,YES,REPUBLICAN,OTHER CHRISTIAN,"UNDER $15,000",MODERATE,MODERATE,18-64,18-74,STATE,MIAMI,45-59,REPUBLICAN,50-64,50-64,OMITS,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,PROTESTANT/OTHER CHRISTIAN,1.063
10.0,54.0,26.0,SECOND CALL,75+,FEMALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"UNDER $15,000",VERY CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,MIAMI,60+,REPUBLICAN,65+,75+,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.807
10.0,54.0,27.0,SECOND CALL,75+,,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,MIAMI,60+,REPUBLICAN,65+,75+,FAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.8130000000000001
10.0,54.0,28.0,SECOND CALL,75+,,BUSH,YES,YES,REPUBLICAN,CATHOLIC,,,,65+,75+,STATE,MIAMI,60+,REPUBLICAN,65+,75+,FAVORABLE,OMITS,OMITS,FAVORABLE,BUSH,YES,CATHOLIC,0.807
10.0,54.0,29.0,SECOND CALL,75+,FEMALE,BUSH,OMITS,YES,REPUBLICAN,,"UNDER $15,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,MIAMI,60+,REPUBLICAN,65+,75+,FAVORABLE,OMITS,OMITS,FAVORABLE,BUSH,,,0.792
10.0,54.0,30.0,SECOND CALL,60-64,FEMALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"UNDER $15,000",MODERATE,MODERATE,18-64,18-74,STATE,MIAMI,60+,REPUBLICAN,50-64,50-64,FAVORABLE,OMITS,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.807
10.0,54.0,31.0,SECOND CALL,75+,,BUSH,OMITS,YES,REPUBLICAN,CATHOLIC,"UNDER $15,000",,,65+,75+,STATE,MIAMI,60+,REPUBLICAN,65+,75+,FAVORABLE,OMITS,OMITS,FAVORABLE,OMITS,YES,CATHOLIC,0.8130000000000001
10.0,54.0,32.0,SECOND CALL,65-74,,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"UNDER $15,000",VERY LIBERAL,LIBERAL,65+,18-74,STATE,MIAMI,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.807
10.0,54.0,33.0,SECOND CALL,65-74,FEMALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"UNDER $15,000",VERY LIBERAL,LIBERAL,65+,18-74,STATE,MIAMI,60+,REPUBLICAN,65+,65-74,FAVORABLE,OMITS,OMITS,FAVORABLE,BUSH,YES,CATHOLIC,0.807
10.0,54.0,34.0,SECOND CALL,65-74,FEMALE,BUSH,NO,YES,INDEPENDENT,CATHOLIC,"UNDER $15,000",VERY LIBERAL,LIBERAL,65+,18-74,STATE,MIAMI,60+,INDEPENDENT/OTHER,65+,65-74,FAVORABLE,OMITS,OMITS,FAVORABLE,BUSH,YES,CATHOLIC,0.807
10.0,54.0,35.0,SECOND CALL,75+,FEMALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,,VERY LIBERAL,LIBERAL,65+,75+,STATE,MIAMI,60+,REPUBLICAN,65+,75+,FAVORABLE,FAVORABLE,OMITS,FAVORABLE,BUSH,YES,CATHOLIC,0.807
10.0,54.0,36.0,SECOND CALL,75+,,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,MIAMI,60+,REPUBLICAN,65+,75+,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.8130000000000001
10.0,54.0,37.0,SECOND CALL,65-74,FEMALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"UNDER $15,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,MIAMI,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.807
10.0,54.0,38.0,SECOND CALL,75+,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"UNDER $15,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,MIAMI,60+,REPUBLICAN,65+,75+,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.8130000000000001
10.0,54.0,39.0,SECOND CALL,65-74,,BUSH,OMITS,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,MIAMI,60+,REPUBLICAN,65+,65-74,OMITS,OMITS,OMITS,FAVORABLE,BUSH,YES,CATHOLIC,0.807
10.0,54.0,40.0,THIRD CALL,50-59,FEMALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,MIAMI,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.725
10.0,54.0,41.0,THIRD CALL,50-59,FEMALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,MIAMI,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,YES,CATHOLIC,0.725
10.0,54.0,42.0,THIRD CALL,60-64,FEMALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,MIAMI,60+,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,GORE,YES,CATHOLIC,0.807
10.0,54.0,43.0,THIRD CALL,50-59,FEMALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,MIAMI,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.725
10.0,54.0,44.0,THIRD CALL,50-59,FEMALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,MIAMI,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.725
10.0,54.0,45.0,THIRD CALL,65-74,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,65+,18-74,STATE,MIAMI,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,YES,CATHOLIC,0.8130000000000001
10.0,54.0,46.0,THIRD CALL,50-59,MALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,MIAMI,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.731
10.0,54.0,47.0,THIRD CALL,65-74,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,65+,18-74,STATE,MIAMI,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,FAVORABLE,FAVORABLE,BUSH,NO,CATHOLIC,0.798
10.0,54.0,48.0,THIRD CALL,75+,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,65+,75+,STATE,MIAMI,60+,REPUBLICAN,65+,75+,FAVORABLE,OMITS,OMITS,OMITS,BUSH,YES,CATHOLIC,0.8130000000000001
10.0,54.0,49.0,THIRD CALL,75+,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",VERY CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,MIAMI,60+,REPUBLICAN,65+,75+,OMITS,FAVORABLE,FAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.8130000000000001
10.0,54.0,50.0,THIRD CALL,50-59,MALE,BUSH,YES,OMITS,REPUBLICAN,OTHER CHRISTIAN,"UNDER $15,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,MIAMI,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,OMITS,OMITS,FAVORABLE,BUSH,YES,PROTESTANT/OTHER CHRISTIAN,0.731
10.0,54.0,51.0,THIRD CALL,75+,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,MIAMI,60+,REPUBLICAN,65+,75+,FAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,NEITHER,YES,PROTESTANT/OTHER CHRISTIAN,0.807
10.0,54.0,52.0,THIRD CALL,75+,FEMALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"UNDER $15,000",MODERATE,MODERATE,65+,75+,STATE,MIAMI,60+,REPUBLICAN,65+,75+,FAVORABLE,OMITS,OMITS,OMITS,BUSH,YES,CATHOLIC,0.807
10.0,54.0,53.0,THIRD CALL,65-74,FEMALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,65+,18-74,STATE,MIAMI,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,OMITS,OMITS,BUSH,YES,CATHOLIC,0.807
10.0,54.0,54.0,THIRD CALL,60-64,FEMALE,BUSH,OMITS,YES,REPUBLICAN,OTHER CHRISTIAN,"UNDER $15,000",MODERATE,MODERATE,18-64,18-74,STATE,MIAMI,60+,REPUBLICAN,50-64,50-64,FAVORABLE,OMITS,OMITS,OMITS,BUSH,YES,PROTESTANT/OTHER CHRISTIAN,0.807
10.0,58.0,1.0,FIRST CALL,60-64,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,MIAMI,60+,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,CATHOLIC,0.398
10.0,58.0,2.0,FIRST CALL,40-44,MALE,MCCAIN,NO,YES,REPUBLICAN,JEWISH,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,MIAMI,30-44,REPUBLICAN,40-49,40-49,UNFAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,NEITHER,NO,JEWISH,0.524
10.0,58.0,3.0,FIRST CALL,60-64,MALE,MCCAIN,NO,NO,REPUBLICAN,CATHOLIC,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,MIAMI,60+,REPUBLICAN,50-64,50-64,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,CATHOLIC,0.584
10.0,58.0,4.0,FIRST CALL,50-59,MALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$100,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,MIAMI,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.364
10.0,58.0,5.0,FIRST CALL,50-59,FEMALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,MIAMI,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.361
10.0,58.0,6.0,FIRST CALL,60-64,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,MIAMI,60+,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,YES,PROTESTANT/OTHER CHRISTIAN,0.403
10.0,58.0,7.0,FIRST CALL,30-39,MALE,MCCAIN,NO,NO,SOMETHING ELSE,PROTESTANT,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,MIAMI,30-44,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,YES,PROTESTANT/OTHER CHRISTIAN,0.534
10.0,58.0,8.0,FIRST CALL,75+,MALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"UNDER $15,000",,,65+,75+,STATE,MIAMI,60+,REPUBLICAN,65+,75+,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.406
10.0,58.0,9.0,FIRST CALL,65-74,FEMALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"UNDER $15,000",,,65+,18-74,STATE,MIAMI,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.403
10.0,58.0,10.0,FIRST CALL,30-39,,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,MIAMI,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,CATHOLIC,0.358
10.0,58.0,11.0,SECOND CALL,45-49,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,MIAMI,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,OMITS,OMITS,FAVORABLE,BUSH,YES,CATHOLIC,0.364
10.0,58.0,12.0,SECOND CALL,40-44,FEMALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$100,000 OR MORE",MODERATE,MODERATE,18-64,18-74,STATE,MIAMI,30-44,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.361
10.0,58.0,13.0,SECOND CALL,65-74,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,MIAMI,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,CATHOLIC,0.398
10.0,58.0,14.0,SECOND CALL,65-74,FEMALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,MIAMI,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.403
10.0,58.0,15.0,SECOND CALL,75+,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,65+,75+,STATE,MIAMI,60+,REPUBLICAN,65+,75+,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.406
10.0,58.0,16.0,SECOND CALL,,,BUSH,OMITS,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,,,STATE,MIAMI,,REPUBLICAN,,,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.361
10.0,58.0,17.0,SECOND CALL,50-59,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,MIAMI,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.358
10.0,58.0,18.0,SECOND CALL,60-64,FEMALE,BUSH,OMITS,NO,REPUBLICAN,CATHOLIC,,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,MIAMI,60+,REPUBLICAN,50-64,50-64,FAVORABLE,OMITS,OMITS,FAVORABLE,BUSH,,CATHOLIC,0.395
10.0,58.0,19.0,THIRD CALL,50-59,FEMALE,MCCAIN,NO,YES,INDEPENDENT,PROTESTANT,,MODERATE,MODERATE,18-64,18-74,STATE,MIAMI,45-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,PROTESTANT/OTHER CHRISTIAN,0.52
10.0,58.0,20.0,THIRD CALL,25-29,MALE,KEYES,YES,YES,REPUBLICAN,OTHER CHRISTIAN,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,MIAMI,18-29,REPUBLICAN,25-29,25-29,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.41200000000000003
10.0,58.0,21.0,THIRD CALL,60-64,MALE,MCCAIN,NO,NO,INDEPENDENT,CATHOLIC,"$100,000 OR MORE",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,MIAMI,60+,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,OMITS,GORE,YES,CATHOLIC,0.595
10.0,58.0,22.0,THIRD CALL,75+,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$15,000-$29,000",,,65+,75+,STATE,MIAMI,60+,REPUBLICAN,65+,75+,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.395
10.0,58.0,23.0,THIRD CALL,50-59,FEMALE,MCCAIN,NO,NO,DEMOCRAT,JEWISH,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,MIAMI,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,JEWISH,0.52
10.0,58.0,24.0,THIRD CALL,50-59,FEMALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,MIAMI,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,OMITS,FAVORABLE,BUSH,YES,CATHOLIC,0.361
10.0,58.0,25.0,THIRD CALL,45-49,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,MIAMI,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.364
10.0,58.0,26.0,THIRD CALL,65-74,FEMALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$30,000-$49,000",MODERATE,MODERATE,65+,18-74,STATE,MIAMI,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.403
10.0,58.0,27.0,THIRD CALL,40-44,MALE,MCCAIN,NO,YES,REPUBLICAN,CATHOLIC,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,MIAMI,30-44,REPUBLICAN,40-49,40-49,UNFAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.534
