QTYPE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,REPVOTE,TIME,CANDSOK,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,FINSIT,SSTAX,PARTYID,EDUC,BUSHUNFR,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,BACKSIDE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,STR8TALK,MCSAYDO,REFORMER,CONFEDER,PREVPRI,VETVOTER,LOYALREP,INTERNET,BORNSC,DEBATE,BEATDEM,WEIGHT
STATE,COASTAL,41.0,11.0,8.0,FIRST CALL,45-49,WHITE,FEMALE,KEYES,TODAY,LIKE SOMEONE ELSE TO ENTER,MORAL VALUES,STANDS UP FOR BELIEFS,OMITS,YES,LEGAL IN ALL CASES,NO,WORSE,OMITS,INDEPENDENT,HIGH SCHOOL GRADUATE,YES,"UNDER $15,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,UNFAVORABLE,NEITHER,NO,NEITHER,YES,NO,YES,NOT TIED TO PARTY LEADERS,NO,NO,NO,OMITS,1.441
STATE,COASTAL,41.0,11.0,9.0,FIRST CALL,40-44,WHITE,FEMALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,SOMETHING ELSE,COLLEGE GRADUATE,YES,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,FAVORABLE,MCCAIN,NO,BOTH,NO,NO,NO,NOT TIED TO PARTY LEADERS,YES,NO,NO,MCCAIN,1.346
STATE,COASTAL,41.0,11.0,10.0,FIRST CALL,45-49,WHITE,FEMALE,MCCAIN,THIS YEAR,LIKE SOMEONE ELSE TO ENTER,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,DEMOCRAT,COLLEGE GRADUATE,YES,"$30,000-$49,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,MCCAIN,NO,NEITHER,NO,NO,NO,NOT TIED TO PARTY LEADERS,YES,NO,NO,MCCAIN,1.346
STATE,COASTAL,41.0,11.0,11.0,FIRST CALL,50-59,BLACK,MALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,OMITS,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,NO,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,BUSH,YES,BUSH,OMITS,YES,YES,LOYAL REPUBLICAN,YES,NO,YES,BUSH,1.178
STATE,COASTAL,41.0,11.0,12.0,FIRST CALL,75+,WHITE,MALE,MCCAIN,BEFORE THAT,SATISFIED WITH CANDIDATES,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,HIGH SCHOOL GRADUATE,YES,"$30,000-$49,000",NO,MODERATE,MODERATE,65+,75+,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,75+,UNFAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,NO,NO,YES,NOT TIED TO PARTY LEADERS,NO,NO,NO,MCCAIN,1.7810000000000001
STATE,COASTAL,41.0,11.0,13.0,FIRST CALL,30-39,WHITE,MALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,WORLD AFFAIRS,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,MCCAIN,NO,BOTH,NO,YES,YES,LOYAL REPUBLICAN,YES,NO,YES,MCCAIN,1.3800000000000001
STATE,COASTAL,41.0,11.0,14.0,FIRST CALL,75+,WHITE,FEMALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,POST GRADUATE STUDY,YES,"$15,000-$29,000",NO,MODERATE,MODERATE,65+,75+,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,75+,UNFAVORABLE,FAVORABLE,MCCAIN,YES,BOTH,NO,YES,NO,NOT TIED TO PARTY LEADERS,NO,NO,YES,MCCAIN,1.737
STATE,COASTAL,41.0,11.0,15.0,FIRST CALL,45-49,WHITE,MALE,BUSH,WITHIN LAST WEEK,SATISFIED WITH CANDIDATES,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,SAME,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,BUSH,NO,NEITHER,YES,NO,NO,LOYAL REPUBLICAN,YES,NO,NO,BUSH,1.3840000000000001
STATE,COASTAL,41.0,11.0,16.0,SECOND CALL,45-49,WHITE,MALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,DEMOCRAT,POST GRADUATE STUDY,YES,"$75,000-$99,999",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,40-49,DEMOCRAT,40-49,40-49,OMITS,FAVORABLE,MCCAIN,NO,BOTH,NO,NO,NO,NOT TIED TO PARTY LEADERS,YES,NO,NO,BUSH,1.3800000000000001
STATE,COASTAL,41.0,11.0,17.0,SECOND CALL,60-64,HISPANIC/LATINO,MALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,OMITS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,NO,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,60+,60+,REPUBLICAN,50-64,50-64,UNFAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,NO,YES,NO,LOYAL REPUBLICAN,YES,NO,NO,MCCAIN,1.514
STATE,COASTAL,41.0,11.0,18.0,SECOND CALL,30-39,WHITE,MALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,WORLD AFFAIRS,HAS RIGHT EXPERIENCE,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,NO,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,MCCAIN,YES,BOTH,NO,YES,NO,NOT TIED TO PARTY LEADERS,YES,NO,NO,MCCAIN,1.3800000000000001
STATE,COASTAL,41.0,11.0,19.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,BEFORE THAT,SATISFIED WITH CANDIDATES,MORAL VALUES,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,BUSH,NO,BOTH,NO,YES,NO,NOT TIED TO PARTY LEADERS,NO,NO,NO,BUSH,1.35
STATE,COASTAL,41.0,11.0,20.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,60+,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,NEITHER,NO,BOTH,YES,YES,NO,NOT TIED TO PARTY LEADERS,NO,NO,NO,BUSH,1.743
STATE,COASTAL,41.0,11.0,21.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,ABORTION,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,18-29,25-29,REPUBLICAN,25-29,25-29,FAVORABLE,UNFAVORABLE,BUSH,YES,BUSH,YES,NO,NO,LOYAL REPUBLICAN,YES,YES,YES,MCCAIN,1.502
STATE,COASTAL,41.0,11.0,22.0,SECOND CALL,60-64,WHITE,MALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,WORLD AFFAIRS,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,WORSE,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,YES,"$15,000-$29,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,60+,60+,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,BOTH,NO,BOTH,YES,YES,YES,NOT TIED TO PARTY LEADERS,NO,NO,NO,OMITS,1.7850000000000001
STATE,COASTAL,41.0,11.0,23.0,SECOND CALL,25-29,WHITE,MALE,BUSH,WITHIN LAST WEEK,SATISFIED WITH CANDIDATES,TAXES,OMITS,CANDS POSITIONS ON ISSUES,NO,OMITS,YES,SAME,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,NO,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,18-29,25-29,REPUBLICAN,25-29,25-29,FAVORABLE,FAVORABLE,BUSH,YES,BUSH,NO,NO,NO,LOYAL REPUBLICAN,YES,YES,YES,OMITS,1.539
STATE,COASTAL,41.0,11.0,24.0,SECOND CALL,65-74,WHITE,MALE,BUSH,TODAY,SATISFIED WITH CANDIDATES,TAXES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,"$30,000-$49,000",NO,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,60+,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,BUSH,YES,BUSH,YES,YES,YES,LOYAL REPUBLICAN,NO,YES,YES,BUSH,1.7850000000000001
STATE,COASTAL,41.0,11.0,25.0,SECOND CALL,50-59,WHITE,MALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,OMITS,OMITS,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,YES,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,UNFAVORABLE,FAVORABLE,MCCAIN,NO,BOTH,YES,NO,YES,NOT TIED TO PARTY LEADERS,YES,NO,NO,MCCAIN,1.3800000000000001
STATE,COASTAL,41.0,11.0,26.0,SECOND CALL,18-24,WHITE,FEMALE,BUSH,WITHIN LAST WEEK,LIKE SOMEONE ELSE TO ENTER,ABORTION,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,SAME,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$15,000-$29,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,18-29,18-24,REPUBLICAN,18-24,18-24,FAVORABLE,FAVORABLE,BOTH,NO,BOTH,NO,NO,NO,LOYAL REPUBLICAN,NO,NO,YES,BUSH,1.502
STATE,COASTAL,41.0,11.0,27.0,SECOND CALL,50-59,WHITE,FEMALE,KEYES,TODAY,SATISFIED WITH CANDIDATES,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,YES,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,MCCAIN,NO,BOTH,NO,YES,NO,NOT TIED TO PARTY LEADERS,NO,YES,NO,MCCAIN,1.441
STATE,COASTAL,41.0,11.0,28.0,SECOND CALL,75+,WHITE,FEMALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,60+,60+,REPUBLICAN,65+,75+,UNFAVORABLE,FAVORABLE,MCCAIN,NO,BOTH,NO,YES,NO,NOT TIED TO PARTY LEADERS,NO,NO,YES,MCCAIN,1.737
STATE,COASTAL,41.0,11.0,29.0,SECOND CALL,45-49,WHITE,MALE,MCCAIN,WITHIN LAST 3 DAYS,SATISFIED WITH CANDIDATES,TAXES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,BETTER,TAX CUT,INDEPENDENT,POST GRADUATE STUDY,YES,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,FAVORABLE,BOTH,NO,BOTH,NO,YES,NO,LOYAL REPUBLICAN,YES,NO,YES,MCCAIN,1.3800000000000001
STATE,COASTAL,41.0,11.0,30.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,NO,"$15,000-$29,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,BUSH,YES,BUSH,YES,NO,YES,LOYAL REPUBLICAN,YES,YES,NO,BUSH,1.35
STATE,COASTAL,41.0,11.0,31.0,SECOND CALL,50-59,HISPANIC/LATINO,FEMALE,BUSH,BEFORE THAT,SATISFIED WITH CANDIDATES,MORAL VALUES,STRONG LEADER,CANDS POSITIONS ON ISSUES,YES,LEGAL IN ALL CASES,YES,WORSE,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,COLLEGE GRADUATE,NO,"UNDER $15,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,OMITS,BUSH,YES,BOTH,NO,NO,NO,LOYAL REPUBLICAN,NO,NO,NO,BUSH,1.149
STATE,COASTAL,41.0,11.0,32.0,THIRD CALL,40-44,,FEMALE,BUSH,WITHIN LAST 3 DAYS,LIKE SOMEONE ELSE TO ENTER,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,40-49,REPUBLICAN,40-49,40-49,UNFAVORABLE,FAVORABLE,BOTH,YES,BOTH,NO,YES,NO,LOYAL REPUBLICAN,YES,YES,YES,BUSH,1.35
STATE,COASTAL,41.0,11.0,33.0,THIRD CALL,18-24,BLACK,MALE,BUSH,TODAY,SATISFIED WITH CANDIDATES,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,OMITS,NO,LEGAL IN ALL CASES,YES,OMITS,OMITS,,,OMITS,,OMITS,,,18-64,18-74,NOT COMPLETE,18-29,18-24,,18-24,18-24,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,OMITS,NO,OMITS,OMITS,OMITS,1.31
STATE,COASTAL,41.0,11.0,34.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,WITHIN LAST WEEK,SATISFIED WITH CANDIDATES,ABORTION,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,WORSE,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,YES,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,UNFAVORABLE,FAVORABLE,BUSH,NO,BUSH,YES,YES,YES,LOYAL REPUBLICAN,NO,NO,NO,MCCAIN,1.35
STATE,COASTAL,41.0,11.0,35.0,THIRD CALL,18-24,WHITE,MALE,BUSH,WITHIN LAST WEEK,SATISFIED WITH CANDIDATES,ABORTION,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,YES,LEGAL IN MOST CASES,YES,BETTER,TAX CUT,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,YES,"UNDER $15,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,18-29,18-24,DEMOCRAT,18-24,18-24,FAVORABLE,UNFAVORABLE,BOTH,NO,BUSH,YES,NO,YES,NOT TIED TO PARTY LEADERS,NO,YES,NO,MCCAIN,1.539
STATE,COASTAL,41.0,11.0,36.0,THIRD CALL,50-59,WHITE,MALE,BUSH,BEFORE THAT,SATISFIED WITH CANDIDATES,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,NO,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,BUSH,YES,BUSH,YES,YES,YES,NOT TIED TO PARTY LEADERS,YES,YES,YES,BUSH,1.3840000000000001
STATE,COASTAL,41.0,11.0,37.0,THIRD CALL,60-64,WHITE,MALE,KEYES,WITHIN LAST WEEK,SATISFIED WITH CANDIDATES,SOCIAL SECURITY/MEDICARE,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,NO,WORSE,STRENGTHEN SOCIAL SECURITY,DEMOCRAT,HIGH SCHOOL GRADUATE,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,60+,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,NEITHER,NO,NEITHER,YES,YES,YES,NOT TIED TO PARTY LEADERS,YES,NO,NO,OMITS,1.905
STATE,COASTAL,41.0,11.0,38.0,THIRD CALL,45-49,WHITE,FEMALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,TAXES,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,WORSE,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,COLLEGE GRADUATE,NO,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,40-49,REPUBLICAN,40-49,40-49,UNFAVORABLE,FAVORABLE,NEITHER,NO,NEITHER,YES,YES,NO,OMITS,NO,YES,YES,MCCAIN,1.346
STATE,COASTAL,41.0,11.0,39.0,THIRD CALL,30-39,WHITE,MALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,ABORTION,OMITS,OMITS,YES,ILLEGAL IN MOST CASES,YES,SAME,TAX CUT,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,BOTH,YES,MCCAIN,YES,YES,,LOYAL REPUBLICAN,YES,YES,YES,MCCAIN,1.3840000000000001
STATE,COASTAL,41.0,11.0,40.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,WITHIN LAST WEEK,SATISFIED WITH CANDIDATES,TAXES,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,COLLEGE GRADUATE,NO,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,40-49,REPUBLICAN,40-49,40-49,UNFAVORABLE,FAVORABLE,BUSH,YES,MCCAIN,NO,YES,YES,NOT TIED TO PARTY LEADERS,YES,YES,YES,BUSH,1.35
STATE,COASTAL,41.0,11.0,41.0,THIRD CALL,45-49,WHITE,MALE,BUSH,WITHIN LAST 3 DAYS,OMITS,MORAL VALUES,STANDS UP FOR BELIEFS,OMITS,OMITS,ILLEGAL IN ALL CASES,YES,OMITS,OMITS,,,OMITS,,OMITS,,,18-64,18-74,NOT COMPLETE,45-59,40-49,,40-49,40-49,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,,OMITS,,OMITS,OMITS,OMITS,1.3840000000000001
STATE,COASTAL,41.0,11.0,42.0,THIRD CALL,25-29,WHITE,MALE,BUSH,WITHIN LAST WEEK,SATISFIED WITH CANDIDATES,ABORTION,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,YES,LEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,YES,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,18-29,25-29,REPUBLICAN,25-29,25-29,FAVORABLE,UNFAVORABLE,BUSH,NO,BUSH,YES,YES,YES,LOYAL REPUBLICAN,NO,YES,YES,MCCAIN,1.539
STATE,COASTAL,41.0,11.0,43.0,THIRD CALL,50-59,WHITE,MALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,NO,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,BUSH,NO,BUSH,YES,YES,NO,LOYAL REPUBLICAN,YES,YES,YES,BUSH,1.3840000000000001
STATE,COASTAL,41.0,11.0,44.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,WITHIN LAST 3 DAYS,OMITS,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,YES,SAME,OMITS,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OMITS,"$100,000 OR MORE",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,OMITS,OMITS,OMITS,NO,YES,NO,OMITS,YES,NO,NO,BUSH,1.35
STATE,COASTAL,41.0,11.0,45.0,THIRD CALL,45-49,WHITE,MALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,YES,LEGAL IN MOST CASES,YES,WORSE,STRENGTHEN SOCIAL SECURITY,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,NO,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,OMITS,NO,BUSH,YES,YES,NO,LOYAL REPUBLICAN,NO,NO,YES,BUSH,1.3800000000000001
STATE,COASTAL,41.0,11.0,46.0,THIRD CALL,45-49,WHITE,MALE,MCCAIN,WITHIN LAST WEEK,SATISFIED WITH CANDIDATES,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,BETTER,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,40-49,REPUBLICAN,40-49,40-49,UNFAVORABLE,FAVORABLE,MCCAIN,NO,BUSH,YES,YES,YES,LOYAL REPUBLICAN,NO,NO,YES,BUSH,1.3800000000000001
STATE,COASTAL,41.0,11.0,47.0,THIRD CALL,40-44,BLACK,MALE,KEYES,WITHIN LAST WEEK,SATISFIED WITH CANDIDATES,ABORTION,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,YES,LEGAL IN ALL CASES,YES,SAME,TAX CUT,DEMOCRAT,HIGH SCHOOL GRADUATE,NO,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,NEITHER,NO,NEITHER,NO,YES,YES,LOYAL REPUBLICAN,NO,YES,NO,OMITS,1.256
STATE,COASTAL,41.0,13.0,1.0,FIRST CALL,30-39,WHITE,FEMALE,MCCAIN,BEFORE THAT,SATISFIED WITH CANDIDATES,TAXES,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,BETTER,TAX CUT,DEMOCRAT,POST GRADUATE STUDY,YES,"$75,000-$99,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,MCCAIN,NO,BOTH,NO,NO,NO,NOT TIED TO PARTY LEADERS,YES,NO,NO,MCCAIN,0.581
