STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,ISSUE,QUALITY,CLINTON,HLTHPLAN,ISSVQUAL,ABORTION,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,STR8DEMS,GORE2LIB,BRAD2LIB,QTYPE,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,GOREBUSH,GOREMCAN,PREVPRID,GORE,BRADLEY,BCPERSON,SENOHD,REL5,WEIGHT
36.0,17.0,24.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,NOT COMPLETE,CUYAHOGA COUNTY,45-59,50-59,,50-64,50-64,OMITS,OMITS,GORE,GORE,,OMITS,OMITS,OMITS,CELESTE,,0.996
36.0,17.0,25.0,THIRD CALL,45-49,BLACK,MALE,GORE,THIS YEAR,ECONOMY/JOBS,STANDS UP FOR BELIEFS,APPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,SAME,YES,INDEPENDENT,DID NOT COMPLETE HIGH SCHOOL,SOMETHING ELSE,NO,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NEITHER,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,CUYAHOGA COUNTY,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,OMITS,FAVORABLE,MCMICKLE,SOMETHING ELSE,0.896
36.0,17.0,26.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,THIS YEAR,OMITS,OMITS,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,SAME,YES,DEMOCRAT,COLLEGE GRADUATE,OTHER CHRISTIAN,YES,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,NEITHER,TOO LIBERAL,TOO LIBERAL,STATE,COMPLETE,CUYAHOGA COUNTY,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.9430000000000001
36.0,17.0,27.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,NO,DEMOCRAT,POST GRADUATE STUDY,OTHER CHRISTIAN,NO,"$30,000-$49,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,CUYAHOGA COUNTY,30-44,40-49,DEMOCRAT,40-49,40-49,FAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,UNFAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.9430000000000001
36.0,17.0,28.0,THIRD CALL,65-74,WHITE,MALE,BRADLEY,WITHIN LAST WEEK,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,DISAPPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,SAME,NO,INDEPENDENT,COLLEGE GRADUATE,NONE,NO,"$30,000-$49,000",YES,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,CUYAHOGA COUNTY,60+,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,CORDAY,NONE,1.329
36.0,17.0,29.0,THIRD CALL,75+,WHITE,FEMALE,GORE,WITHIN LAST WEEK,OMITS,HAS RIGHT EXPERIENCE,DISAPPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,SAME,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,PROTESTANT,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,65+,75+,OMITS,ABOUT RIGHT,OMITS,STATE,COMPLETE,CUYAHOGA COUNTY,60+,60+,DEMOCRAT,65+,75+,UNFAVORABLE,OMITS,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.925
36.0,17.0,30.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,SAME,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,NO,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,CUYAHOGA COUNTY,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.9430000000000001
36.0,17.0,31.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,BEFORE THAT,ECONOMY/JOBS,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,YES,"$30,000-$49,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,CUYAHOGA COUNTY,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.9430000000000001
36.0,17.0,32.0,THIRD CALL,60-64,WHITE,FEMALE,BRADLEY,WITHIN LAST WEEK,RACE RELATIONS,STANDS UP FOR BELIEFS,APPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,SAME,NO,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,CUYAHOGA COUNTY,60+,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,1.065
36.0,17.0,33.0,THIRD CALL,75+,BLACK,MALE,GORE,THIS YEAR,ECONOMY/JOBS,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,NO,"$100,000 OR MORE",NO,MODERATE,MODERATE,65+,75+,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,CUYAHOGA COUNTY,60+,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.92
36.0,17.0,34.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,TODAY,OMITS,STANDS UP FOR BELIEFS,OMITS,BOTH THE SAME,CANDS PERSONAL QUALITIES,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,CUYAHOGA COUNTY,45-59,50-59,,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,,FAVORABLE,FAVORABLE,OMITS,MCMICKLE,,0.901
36.0,17.0,35.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,THIS YEAR,ECONOMY/JOBS,OMITS,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,JEWISH,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,GORE,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,CUYAHOGA COUNTY,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,MCMICKLE,JEWISH,0.9430000000000001
36.0,17.0,36.0,THIRD CALL,65-74,WHITE,MALE,GORE,BEFORE THAT,HEALTH CARE,OMITS,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,JEWISH,NO,"$75,000-$99,999",NO,VERY LIBERAL,LIBERAL,65+,18-74,OMITS,OMITS,OMITS,STATE,COMPLETE,CUYAHOGA COUNTY,60+,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,,JEWISH,0.9590000000000001
36.0,17.0,37.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,WITHIN LAST WEEK,OMITS,NOT TYPICAL POLITICIAN,APPROVE,OMITS,CANDS PERSONAL QUALITIES,ILLEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,,OTHER CHRISTIAN,OMITS,"$15,000-$29,000",OMITS,MODERATE,MODERATE,18-64,18-74,OMITS,OMITS,OMITS,STATE,COMPLETE,CUYAHOGA COUNTY,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,OMITS,FAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.9430000000000001
36.0,17.0,38.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,BEFORE THAT,RACE RELATIONS,HAS RIGHT EXPERIENCE,APPROVE,OMITS,CANDS POSITIONS ON ISSUES,ILLEGAL IN ALL CASES,WORSE,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,YES,"$30,000-$49,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,NEITHER,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,CUYAHOGA COUNTY,45-59,50-59,DEMOCRAT,50-64,50-64,OMITS,OMITS,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.9430000000000001
36.0,17.0,39.0,THIRD CALL,45-49,WHITE,FEMALE,BRADLEY,WITHIN LAST 3 DAYS,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,NO,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,OMITS,ABOUT RIGHT,STATE,COMPLETE,CUYAHOGA COUNTY,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,YES,UNFAVORABLE,FAVORABLE,FAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,1.037
36.0,18.0,1.0,FIRST CALL,45-49,BLACK,FEMALE,GORE,WITHIN LAST 3 DAYS,HEALTH CARE,NOT TYPICAL POLITICIAN,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,NOT COMPLETE,CUYAHOGA COUNTY,45-59,40-49,,40-49,40-49,OMITS,OMITS,GORE,GORE,,OMITS,OMITS,OMITS,MCMICKLE,,0.441
36.0,18.0,2.0,FIRST CALL,45-49,BLACK,MALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,NO,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,BRADLEY,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,CUYAHOGA COUNTY,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.421
36.0,18.0,3.0,FIRST CALL,40-44,BLACK,MALE,GORE,WITHIN LAST WEEK,RACE RELATIONS,NOT TYPICAL POLITICIAN,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,BOTH,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,CUYAHOGA COUNTY,30-44,40-49,DEMOCRAT,40-49,40-49,FAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.421
36.0,18.0,4.0,FIRST CALL,60-64,,,,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,OMITS,,OMITS,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,ABOUT RIGHT,OMITS,STATE,COMPLETE,CUYAHOGA COUNTY,60+,60+,DEMOCRAT,50-64,50-64,OMITS,OMITS,GORE,OMITS,YES,FAVORABLE,OMITS,FAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.451
36.0,18.0,5.0,FIRST CALL,60-64,BLACK,FEMALE,GORE,WITHIN LAST WEEK,EDUCATION,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ABOUT RIGHT,TOO LIBERAL,STATE,NOT COMPLETE,CUYAHOGA COUNTY,60+,60+,,50-64,50-64,OMITS,OMITS,GORE,GORE,,OMITS,OMITS,OMITS,CORDAY,,0.593
36.0,18.0,6.0,FIRST CALL,65-74,BLACK,MALE,GORE,THIS YEAR,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,65+,18-74,OMITS,OMITS,OMITS,STATE,NOT COMPLETE,CUYAHOGA COUNTY,60+,60+,,65+,65-74,OMITS,OMITS,GORE,GORE,,OMITS,OMITS,OMITS,,,0.46900000000000003
36.0,18.0,7.0,FIRST CALL,45-49,BLACK,FEMALE,GORE,TODAY,ECONOMY/JOBS,HAS RIGHT EXPERIENCE,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,YES,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,BOTH,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,CUYAHOGA COUNTY,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.441
36.0,18.0,8.0,FIRST CALL,75+,BLACK,MALE,GORE,THIS YEAR,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,65+,75+,OMITS,ABOUT RIGHT,TOO LIBERAL,STATE,NOT COMPLETE,CUYAHOGA COUNTY,60+,60+,,65+,75+,OMITS,OMITS,GORE,GORE,,OMITS,OMITS,OMITS,MCMICKLE,,0.432
36.0,18.0,9.0,FIRST CALL,45-49,BLACK,FEMALE,,TODAY,RACE RELATIONS,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,ILLEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,,OTHER CHRISTIAN,YES,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,CUYAHOGA COUNTY,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,NO,FAVORABLE,UNFAVORABLE,FAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.46
36.0,18.0,10.0,SECOND CALL,50-59,BLACK,MALE,GORE,TODAY,CAMPAIGN FINANCE REFORM,STRONG LEADER,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,NO,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,CUYAHOGA COUNTY,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.421
36.0,18.0,11.0,SECOND CALL,45-49,BLACK,MALE,GORE,WITHIN LAST WEEK,HEALTH CARE,NOT TYPICAL POLITICIAN,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,OMITS,OMITS,STATE,NOT COMPLETE,CUYAHOGA COUNTY,45-59,40-49,,40-49,40-49,OMITS,OMITS,GORE,MCCAIN,,OMITS,OMITS,OMITS,MCMICKLE,,0.421
36.0,18.0,12.0,SECOND CALL,65-74,BLACK,FEMALE,GORE,THIS YEAR,RACE RELATIONS,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,OMITS,,NO,MODERATE,MODERATE,65+,18-74,GORE,ABOUT RIGHT,OMITS,STATE,COMPLETE,CUYAHOGA COUNTY,60+,60+,DEMOCRAT,65+,65-74,OMITS,OMITS,GORE,GORE,YES,FAVORABLE,OMITS,FAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.452
36.0,18.0,13.0,SECOND CALL,65-74,BLACK,MALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,,YES,"$30,000-$49,000",NO,MODERATE,MODERATE,65+,18-74,GORE,ABOUT RIGHT,OMITS,STATE,COMPLETE,CUYAHOGA COUNTY,60+,60+,DEMOCRAT,65+,65-74,OMITS,OMITS,GORE,GORE,YES,FAVORABLE,OMITS,FAVORABLE,MCMICKLE,,0.432
36.0,18.0,14.0,SECOND CALL,50-59,BLACK,MALE,GORE,THIS YEAR,OMITS,NEW IDEAS,OMITS,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,OMITS,OMITS,,,,,OMITS,,YES,,,18-64,18-74,GORE,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,CUYAHOGA COUNTY,45-59,50-59,,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,,FAVORABLE,UNFAVORABLE,OMITS,,,0.457
36.0,18.0,15.0,SECOND CALL,60-64,BLACK,FEMALE,GORE,THIS YEAR,HEALTH CARE,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,WORSE,YES,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,OMITS,"UNDER $15,000",OMITS,MODERATE,MODERATE,18-64,18-74,NEITHER,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,CUYAHOGA COUNTY,60+,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.452
36.0,18.0,16.0,SECOND CALL,75+,BLACK,FEMALE,GORE,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,OMITS,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,OMITS,"$15,000-$29,000",OMITS,VERY LIBERAL,LIBERAL,65+,75+,GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,CUYAHOGA COUNTY,60+,60+,DEMOCRAT,65+,75+,OMITS,OMITS,GORE,GORE,YES,FAVORABLE,OMITS,OMITS,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.452
36.0,18.0,17.0,SECOND CALL,45-49,BLACK,MALE,GORE,THIS YEAR,ECONOMY/JOBS,HAS RIGHT EXPERIENCE,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,NOT LIBERAL ENOUGH,TOO LIBERAL,STATE,NOT COMPLETE,CUYAHOGA COUNTY,45-59,40-49,,40-49,40-49,OMITS,OMITS,GORE,GORE,,OMITS,OMITS,OMITS,MCMICKLE,,0.421
36.0,18.0,18.0,SECOND CALL,65-74,BLACK,FEMALE,,THIS YEAR,SOCIAL SECURITY/MEDICARE,STRONG LEADER,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,ILLEGAL IN ALL CASES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,YES,"UNDER $15,000",YES,MODERATE,MODERATE,65+,18-74,BOTH,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,CUYAHOGA COUNTY,60+,60+,DEMOCRAT,65+,65-74,FAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,MCMICKLE,CATHOLIC,0.47200000000000003
36.0,18.0,19.0,SECOND CALL,75+,,,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,65+,75+,OMITS,ABOUT RIGHT,OMITS,STATE,NOT COMPLETE,CUYAHOGA COUNTY,60+,60+,,65+,75+,OMITS,OMITS,GORE,GORE,,OMITS,OMITS,OMITS,MCMICKLE,,0.41200000000000003
36.0,18.0,20.0,THIRD CALL,60-64,BLACK,FEMALE,GORE,TODAY,CAMPAIGN FINANCE REFORM,HAS RIGHT EXPERIENCE,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,YES,,NO,MODERATE,MODERATE,18-64,18-74,GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,CUYAHOGA COUNTY,60+,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,OMITS,YES,FAVORABLE,FAVORABLE,FAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.452
36.0,18.0,21.0,THIRD CALL,30-39,BLACK,MALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,OMITS,BETTER,YES,SOMETHING ELSE,COLLEGE GRADUATE,,NO,,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,CUYAHOGA COUNTY,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,FAVORABLE,FAVORABLE,BUSH,MCCAIN,,FAVORABLE,FAVORABLE,OMITS,MCMICKLE,,0.421
36.0,18.0,22.0,THIRD CALL,65-74,BLACK,MALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,NO,"$15,000-$29,000",NO,MODERATE,MODERATE,65+,18-74,GORE,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,CUYAHOGA COUNTY,60+,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.432
36.0,18.0,23.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,NO,"$15,000-$29,000",YES,MODERATE,MODERATE,18-64,18-74,GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,CUYAHOGA COUNTY,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.441
36.0,18.0,24.0,THIRD CALL,75+,BLACK,FEMALE,,BEFORE THAT,OMITS,NEW IDEAS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,65+,75+,OMITS,ABOUT RIGHT,OMITS,STATE,NOT COMPLETE,CUYAHOGA COUNTY,60+,60+,,65+,75+,OMITS,OMITS,OMITS,GORE,,OMITS,OMITS,OMITS,MCMICKLE,,0.47200000000000003
36.0,18.0,25.0,THIRD CALL,40-44,BLACK,MALE,GORE,BEFORE THAT,EDUCATION,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,WORSE,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,YES,"UNDER $15,000",NO,MODERATE,MODERATE,18-64,18-74,GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,CUYAHOGA COUNTY,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,,PROTESTANT/OTHER CHRISTIAN,0.457
