STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,MCSAYDO,REFORMER,PREVPRI,VETVOTER,LOYALREP,BEATDEM,REGREPMD,REL5,WEIGHT
21.0,19.0,22.0,SECOND CALL,40-44,FEMALE,BUSH,THIS YEAR,WORLD AFFAIRS,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$100,000 OR MORE",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,30-44,40-49,REPUBLICAN,40-49,40-49,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BUSH,YES,BUSH,YES,NO,LOYAL REPUBLICAN,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,0.797
21.0,19.0,23.0,THIRD CALL,60-64,MALE,BUSH,THIS YEAR,OMITS,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,OMITS,OMITS,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,YES,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,1.103
21.0,19.0,24.0,THIRD CALL,18-24,MALE,BUSH,THIS YEAR,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,18-29,18-24,REPUBLICAN,18-24,18-24,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,NO,NEITHER,YES,NO,LOYAL REPUBLICAN,BUSH,REPUBLICAN,CATHOLIC,0.802
21.0,19.0,25.0,THIRD CALL,50-59,FEMALE,BUSH,WITHIN LAST WEEK,OMITS,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,OMITS,OMITS,YES,NO,NOT TIED TO PARTY LEADERS,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,0.797
21.0,19.0,26.0,THIRD CALL,50-59,MALE,BUSH,BEFORE THAT,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,45-59,50-59,REPUBLICAN,50-64,50-64,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,BUSH,YES,NO,NOT TIED TO PARTY LEADERS,BUSH,REPUBLICAN,CATHOLIC,0.8250000000000001
21.0,19.0,27.0,THIRD CALL,40-44,FEMALE,KEYES,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,30-44,40-49,REPUBLICAN,40-49,40-49,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,NEITHER,YES,NO,LOYAL REPUBLICAN,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,0.727
21.0,22.0,1.0,FIRST CALL,50-59,MALE,MCCAIN,BEFORE THAT,CAMPAIGN FINANCE REFORM,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"UNDER $15,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,45-59,50-59,REPUBLICAN,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,YES,LOYAL REPUBLICAN,MCCAIN,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,0.381
21.0,22.0,2.0,FIRST CALL,65-74,MALE,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,CATHOLIC,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,60+,60+,REPUBLICAN,65+,65-74,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,NEITHER,YES,YES,LOYAL REPUBLICAN,BUSH,REPUBLICAN,CATHOLIC,0.534
21.0,22.0,3.0,FIRST CALL,65-74,MALE,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BOTH,NO,BOTH,YES,YES,NOT TIED TO PARTY LEADERS,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,0.534
21.0,22.0,4.0,FIRST CALL,65-74,FEMALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,60+,60+,INDEPENDENT/OTHER,65+,65-74,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BUSH,YES,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,0.516
21.0,22.0,5.0,FIRST CALL,30-39,FEMALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$50,000-$74,999",NO,VERY LIBERAL,LIBERAL,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,GORE,ABOUT RIGHT,NEITHER,NO,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,MCCAIN,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,0.368
21.0,22.0,6.0,FIRST CALL,40-44,MALE,BUSH,THIS YEAR,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,OTHER CHRISTIAN,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,BUSH,YES,NO,LOYAL REPUBLICAN,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,0.4
21.0,22.0,7.0,FIRST CALL,60-64,FEMALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,OMITS,NO,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,MCCAIN,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,0.491
21.0,22.0,8.0,FIRST CALL,25-29,MALE,MCCAIN,THIS YEAR,OMITS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,18-29,25-29,REPUBLICAN,25-29,25-29,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,BOTH,YES,NO,NOT TIED TO PARTY LEADERS,MCCAIN,REPUBLICAN,CATHOLIC,0.37
21.0,22.0,9.0,FIRST CALL,45-49,FEMALE,BUSH,THIS YEAR,ABORTION,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$75,000-$99,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,GORE,NOT CONSERVATIVE ENOUGH,BUSH,YES,BUSH,YES,NO,LOYAL REPUBLICAN,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,0.386
21.0,22.0,10.0,FIRST CALL,30-39,MALE,MCCAIN,THIS YEAR,OMITS,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,30-44,30-39,REPUBLICAN,30-39,30-39,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,MCCAIN,REPUBLICAN,CATHOLIC,0.381
21.0,22.0,11.0,FIRST CALL,50-59,MALE,BUSH,OMITS,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,,OMITS,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,OMITS,BUSH,YES,YES,LOYAL REPUBLICAN,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,0.4
21.0,22.0,12.0,SECOND CALL,40-44,FEMALE,KEYES,BEFORE THAT,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,TAX CUT,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,UNFAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,MCCAIN,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,0.353
21.0,22.0,13.0,SECOND CALL,45-49,MALE,BUSH,WITHIN LAST WEEK,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,BUSH,NO,NO,LOYAL REPUBLICAN,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,0.4
21.0,22.0,14.0,SECOND CALL,40-44,MALE,MCCAIN,THIS YEAR,MORAL VALUES,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,NO,TAX CUT,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,30-44,40-49,REPUBLICAN,40-49,40-49,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,NEITHER,YES,YES,LOYAL REPUBLICAN,MCCAIN,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,0.381
21.0,22.0,15.0,SECOND CALL,18-24,MALE,BUSH,WITHIN LAST 3 DAYS,TAXES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,NONE,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,18-29,18-24,REPUBLICAN,18-24,18-24,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,GORE,NOT CONSERVATIVE ENOUGH,BUSH,YES,BUSH,YES,NO,LOYAL REPUBLICAN,BUSH,REPUBLICAN,NONE,0.389
21.0,22.0,16.0,SECOND CALL,45-49,FEMALE,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,OMITS,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,CATHOLIC,"$15,000-$29,000",YES,VERY LIBERAL,LIBERAL,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,YES,BOTH,YES,NO,LOYAL REPUBLICAN,BUSH,REPUBLICAN,CATHOLIC,0.386
21.0,22.0,17.0,SECOND CALL,18-24,FEMALE,BUSH,WITHIN LAST WEEK,ABORTION,OMITS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,NONE,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,18-29,18-24,INDEPENDENT/OTHER,18-24,18-24,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,GORE,GORE,TOO CONSERVATIVE,NEITHER,NO,OMITS,NO,NO,NOT TIED TO PARTY LEADERS,BUSH,UNDECLARED/INDEPENDENT,NONE,0.376
21.0,22.0,18.0,SECOND CALL,45-49,MALE,KEYES,BEFORE THAT,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,BOTH,YES,NO,LOYAL REPUBLICAN,OMITS,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,0.366
21.0,22.0,19.0,SECOND CALL,30-39,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,TAX CUT,YES,INDEPENDENT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,NO,NO,NOT TIED TO PARTY LEADERS,MCCAIN,UNDECLARED/INDEPENDENT,PROTESTANT/OTHER CHRISTIAN,0.381
21.0,22.0,20.0,SECOND CALL,75+,FEMALE,BUSH,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,DID NOT COMPLETE HIGH SCHOOL,CATHOLIC,"UNDER $15,000",YES,VERY CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,COMPLETED,SUBURBAN BALTIMORE,60+,60+,INDEPENDENT/OTHER,65+,75+,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,TOO CONSERVATIVE,BOTH,YES,BOTH,NO,NO,LOYAL REPUBLICAN,BUSH,REPUBLICAN,CATHOLIC,0.516
21.0,22.0,21.0,SECOND CALL,60-64,FEMALE,BUSH,THIS YEAR,ABORTION,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,SOMETHING ELSE,DID NOT COMPLETE HIGH SCHOOL,CATHOLIC,"UNDER $15,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,TOO CONSERVATIVE,BUSH,NO,BOTH,YES,NO,LOYAL REPUBLICAN,BUSH,REPUBLICAN,CATHOLIC,0.516
21.0,22.0,22.0,SECOND CALL,18-24,MALE,BUSH,THIS YEAR,EDUCATION,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,18-29,18-24,REPUBLICAN,18-24,18-24,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BOTH,YES,BOTH,NO,NO,LOYAL REPUBLICAN,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,0.389
21.0,22.0,23.0,SECOND CALL,40-44,MALE,KEYES,BEFORE THAT,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,OMITS,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$75,000-$99,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,30-44,40-49,REPUBLICAN,40-49,40-49,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,GORE,NOT CONSERVATIVE ENOUGH,BUSH,YES,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,BUSH,REPUBLICAN,CATHOLIC,0.366
21.0,22.0,24.0,SECOND CALL,30-39,FEMALE,BUSH,WITHIN LAST WEEK,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,30-44,30-39,REPUBLICAN,30-39,30-39,OMITS,FAVORABLE,UNFAVORABLE,GORE,GORE,NOT CONSERVATIVE ENOUGH,BUSH,YES,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,BUSH,REPUBLICAN,CATHOLIC,0.386
21.0,22.0,25.0,SECOND CALL,30-39,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,30-44,30-39,REPUBLICAN,30-39,30-39,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,MCCAIN,UNDECLARED/INDEPENDENT,CATHOLIC,0.368
21.0,22.0,26.0,SECOND CALL,65-74,FEMALE,BUSH,THIS YEAR,OMITS,REPRESENTS CONSERVATIVE VALUES,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,,OMITS,,,65+,18-74,STATE,NOT COMPLETED,SUBURBAN BALTIMORE,60+,60+,,65+,65-74,OMITS,OMITS,OMITS,BUSH,OMITS,OMITS,OMITS,OMITS,OMITS,YES,,NOT TIED TO PARTY LEADERS,OMITS,REPUBLICAN,,0.516
21.0,22.0,27.0,SECOND CALL,40-44,FEMALE,BUSH,THIS YEAR,EDUCATION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,BUSH,NO,NO,LOYAL REPUBLICAN,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,0.386
21.0,22.0,28.0,SECOND CALL,50-59,FEMALE,BUSH,BEFORE THAT,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,CATHOLIC,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,BUSH,YES,NO,LOYAL REPUBLICAN,BUSH,REPUBLICAN,CATHOLIC,0.386
21.0,22.0,29.0,SECOND CALL,45-49,MALE,BUSH,WITHIN LAST 3 DAYS,WORLD AFFAIRS,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,YES,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,BOTH,YES,YES,NOT TIED TO PARTY LEADERS,BUSH,REPUBLICAN,CATHOLIC,0.4
21.0,22.0,30.0,THIRD CALL,40-44,MALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,COMPLETED,SUBURBAN BALTIMORE,30-44,40-49,REPUBLICAN,40-49,40-49,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,OMITS,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,0.4
